Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-01-09; 14:04:35
File Name; D:\Mahlo\TR\180109140435FP 4576_257 GSM0_THICKNESS2.txt

6952.0; 14:04:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.617887; 0.617578; 0.618422; 0.619340; 0.619548; 0.618113; 0.615667; 0.613862; 0.612492; 0.610445; 0.609784; 0.610618; 0.612034; 0.613729; 0.614779; 0.615443; 0.616190; 0.615136; 0.612521; 0.610579; 0.610761; 0.612716; 0.614032; 0.616996; 0.620787; 0.621441; 0.620772; 0.621838; 0.623073; 0.624339; 0.626038; 0.628120; 0.630558; 0.632690; 0.634673; 0.635742; 0.636224; 0.635579; 0.634310; 0.632883; 0.633084; 0.634013; 0.633997; 0.634140; 0.632318; 0.629903; 0.627860; 0.627756; 0.629560; 0.631864; 0.634262; 0.636371; 0.637428; 0.638244; 0.638413; 0.638566; 0.637687; 0.635966; 0.636059; 0.639069; 0.641778; 0.643815; 0.643985; 0.641963; 0.640336; 0.638555; 0.637497; 0.637825; 0.638612; 0.639885; 0.640428; 0.641871; 0.643781; 0.642971; 0.642525; 0.642323; 0.641883; 0.642458; 0.644230; 0.643973; 0.644593; 0.646872; 0.648896; 0.649627; 0.650332; 0.651851; 0.651739; 0.653048; 0.653912; 0.653644; 0.653770; 0.654424; 0.654778; 0.655010; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6956.3; 14:04:55; (); (); (); (); (); (); (); (); 0.606906; 0.607915; 0.607913; 0.608543; 0.606698; 0.606038; 0.606185; 0.607288; 0.607939; 0.605998; 0.603190; 0.600986; 0.599105; 0.597430; 0.595847; 0.594791; 0.594143; 0.592688; 0.591772; 0.592968; 0.593470; 0.593376; 0.592930; 0.593218; 0.595326; 0.596702; 0.599144; 0.602420; 0.604468; 0.605313; 0.607065; 0.609332; 0.609983; 0.610076; 0.610786; 0.611153; 0.611348; 0.613531; 0.615460; 0.614858; 0.616126; 0.616656; 0.616301; 0.615710; 0.616415; 0.614270; 0.611905; 0.610838; 0.610988; 0.612372; 0.614455; 0.617500; 0.617955; 0.617199; 0.617747; 0.618594; 0.619154; 0.621729; 0.624386; 0.624849; 0.626499; 0.629715; 0.633806; 0.636229; 0.636246; 0.636203; 0.637041; 0.637541; 0.639848; 0.643346; 0.646259; 0.648697; 0.649719; 0.650734; 0.651955; 0.652617; 0.653508; 0.655203; 0.657786; 0.659976; 0.661972; 0.662256; 0.662943; 0.663941; 0.664118; 0.663469; 0.662838; 0.663182; 0.663793; 0.664796; 0.666754; 0.668781; 0.668334; 0.666980; 0.665601; 0.664170; 0.664261; 0.664652; 0.664384; 0.663323; 0.662435; 0.662827; 0.663302; 0.663751; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6959.6; 14:05:03; (); (); (); (); (); (); (); (); 0.596674; 0.597948; 0.599914; 0.603617; 0.606593; 0.608146; 0.609465; 0.610052; 0.609028; 0.608281; 0.608907; 0.610031; 0.609380; 0.610713; 0.610867; 0.610028; 0.608768; 0.606920; 0.605003; 0.603364; 0.602048; 0.601110; 0.600889; 0.599947; 0.599879; 0.600884; 0.603036; 0.606032; 0.607277; 0.608090; 0.610193; 0.613119; 0.614197; 0.612686; 0.612016; 0.612513; 0.612675; 0.612394; 0.614144; 0.616616; 0.617991; 0.618270; 0.618608; 0.618348; 0.617909; 0.615125; 0.611598; 0.609767; 0.610511; 0.611229; 0.611080; 0.611033; 0.612263; 0.612170; 0.611863; 0.611402; 0.610830; 0.610160; 0.610906; 0.611951; 0.615184; 0.619788; 0.623065; 0.624735; 0.625190; 0.626915; 0.628912; 0.629976; 0.631329; 0.632674; 0.634266; 0.635852; 0.637424; 0.638195; 0.639679; 0.642188; 0.644519; 0.645717; 0.646710; 0.648740; 0.650040; 0.651180; 0.652579; 0.654183; 0.654897; 0.657317; 0.659761; 0.661906; 0.663596; 0.664230; 0.663214; 0.663125; 0.664652; 0.666684; 0.668850; 0.669477; 0.668938; 0.668817; 0.668515; 0.669077; 0.667131; 0.665044; 0.665375; 0.667002; 0.669352; 0.671888; 0.673293; 0.673771; 0.673181; 0.671962; 0.672997; 0.674563; 0.677696; 0.680488; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6962.8; 14:05:12; (); (); (); (); (); (); (); (); 0.618791; 0.620393; 0.622141; 0.621724; 0.620532; 0.620025; 0.620446; 0.622132; 0.622984; 0.623986; 0.625863; 0.628156; 0.627996; 0.626895; 0.626859; 0.627246; 0.626877; 0.625346; 0.623247; 0.622745; 0.622848; 0.621548; 0.619256; 0.617808; 0.615703; 0.613081; 0.611586; 0.611925; 0.614675; 0.616123; 0.616312; 0.615067; 0.613737; 0.615720; 0.617664; 0.619080; 0.621630; 0.624919; 0.626883; 0.628659; 0.630040; 0.629677; 0.628041; 0.625635; 0.625307; 0.626004; 0.627520; 0.630331; 0.629560; 0.626972; 0.624126; 0.622654; 0.622778; 0.622827; 0.621754; 0.621800; 0.623799; 0.626557; 0.627397; 0.626826; 0.626331; 0.626677; 0.628342; 0.632729; 0.637431; 0.641257; 0.643173; 0.642832; 0.643215; 0.645326; 0.646234; 0.645958; 0.646549; 0.648808; 0.650209; 0.652199; 0.653987; 0.653767; 0.652605; 0.651289; 0.650849; 0.650650; 0.650269; 0.650082; 0.649729; 0.651322; 0.653271; 0.652609; 0.651866; 0.651591; 0.650551; 0.650540; 0.651253; 0.652716; 0.652947; 0.651939; 0.651234; 0.652365; 0.653537; 0.655887; 0.657292; 0.657745; 0.658276; 0.659076; 0.660749; 0.662300; 0.662295; 0.662136; 0.661878; 0.663066; 0.665832; 0.668436; 0.670100; 0.671244; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6966.2; 14:05:20; (); (); (); (); (); (); (); (); 0.595018; 0.595524; 0.596613; 0.599377; 0.602727; 0.604482; 0.605526; 0.606791; 0.607526; 0.605699; 0.605427; 0.607571; 0.610416; 0.612762; 0.612056; 0.611964; 0.612916; 0.613289; 0.613025; 0.610148; 0.607902; 0.605968; 0.604300; 0.604451; 0.606296; 0.607809; 0.608683; 0.608379; 0.608304; 0.611185; 0.611439; 0.611157; 0.611437; 0.611397; 0.612796; 0.614681; 0.616672; 0.617734; 0.617257; 0.618498; 0.620329; 0.622246; 0.624225; 0.625352; 0.624717; 0.623750; 0.620759; 0.618306; 0.618355; 0.619161; 0.620319; 0.621987; 0.624149; 0.626188; 0.625012; 0.622015; 0.618782; 0.616755; 0.615815; 0.616185; 0.620855; 0.626481; 0.631973; 0.635060; 0.636160; 0.635998; 0.636186; 0.637717; 0.640987; 0.644248; 0.647208; 0.649551; 0.651399; 0.653209; 0.654501; 0.654011; 0.652889; 0.651773; 0.650829; 0.651087; 0.653151; 0.654192; 0.653135; 0.651551; 0.651957; 0.652796; 0.653826; 0.654024; 0.654117; 0.653893; 0.654111; 0.655253; 0.657353; 0.659052; 0.659286; 0.656473; 0.655797; 0.656153; 0.656558; 0.657426; 0.659010; 0.660757; 0.662327; 0.663566; 0.665199; 0.665568; 0.665086; 0.664131; 0.663289; 0.664189; 0.667433; 0.668811; 0.671019; 0.670741; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6969.5; 14:05:28; (); (); (); (); (); (); (); (); 0.618484; 0.617517; 0.616380; 0.615784; 0.615518; 0.614677; 0.615153; 0.615746; 0.615573; 0.614670; 0.613706; 0.612344; 0.610640; 0.608284; 0.606796; 0.604914; 0.603402; 0.602023; 0.601111; 0.600583; 0.599749; 0.597552; 0.596193; 0.594979; 0.594352; 0.594568; 0.594868; 0.596546; 0.598839; 0.600114; 0.600712; 0.602105; 0.603271; 0.604525; 0.606576; 0.609238; 0.611687; 0.612493; 0.613540; 0.616293; 0.619597; 0.621358; 0.622796; 0.623842; 0.624718; 0.624792; 0.623294; 0.621925; 0.620358; 0.618729; 0.618511; 0.618348; 0.619430; 0.620795; 0.619599; 0.614854; 0.612700; 0.612013; 0.612276; 0.612583; 0.615094; 0.619003; 0.622681; 0.625839; 0.627520; 0.627132; 0.627450; 0.627503; 0.627822; 0.629849; 0.632892; 0.634153; 0.634177; 0.634910; 0.635538; 0.635073; 0.634605; 0.631337; 0.629323; 0.629193; 0.630305; 0.631399; 0.632992; 0.632976; 0.632896; 0.633770; 0.635084; 0.634707; 0.634653; 0.635685; 0.637726; 0.638427; 0.640715; 0.643232; 0.645276; 0.647228; 0.648304; 0.647593; 0.648247; 0.648774; 0.647904; 0.646018; 0.647217; 0.648153; 0.647591; 0.647243; 0.648752; 0.649773; 0.649518; 0.648023; 0.646454; 0.645360; 0.645302; 0.644882; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6972.8; 14:05:37; (); (); (); (); (); (); (); (); 0.620642; 0.620461; 0.621424; 0.621948; 0.621828; 0.621126; 0.620122; 0.620544; 0.623370; 0.625327; 0.623647; 0.620209; 0.618458; 0.617605; 0.617232; 0.616095; 0.614517; 0.614638; 0.615581; 0.615245; 0.614072; 0.613238; 0.611509; 0.610624; 0.610376; 0.610878; 0.613129; 0.614104; 0.613693; 0.611954; 0.611966; 0.613908; 0.613126; 0.610975; 0.611134; 0.613219; 0.615404; 0.617313; 0.618756; 0.620236; 0.621639; 0.621539; 0.623228; 0.626694; 0.629682; 0.631474; 0.631961; 0.633181; 0.634526; 0.634842; 0.633577; 0.633993; 0.635440; 0.634381; 0.632928; 0.631698; 0.630345; 0.630178; 0.630030; 0.630329; 0.631672; 0.633801; 0.633923; 0.634971; 0.637725; 0.642062; 0.643632; 0.643706; 0.646072; 0.647830; 0.649791; 0.652851; 0.652959; 0.653781; 0.653491; 0.651318; 0.649723; 0.649851; 0.649950; 0.649397; 0.648190; 0.649073; 0.652485; 0.655692; 0.658512; 0.660186; 0.661144; 0.663207; 0.662790; 0.662824; 0.663870; 0.665409; 0.666139; 0.667241; 0.667896; 0.669045; 0.670862; 0.670715; 0.667969; 0.665840; 0.665222; 0.665137; 0.665536; 0.667216; 0.670361; 0.672928; 0.674369; 0.676045; 0.676736; 0.678544; 0.678592; 0.676474; 0.676134; 0.678237; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6976.1; 14:05:45; (); (); (); (); (); (); (); (); 0.612885; 0.611750; 0.612636; 0.613495; 0.613894; 0.614328; 0.614832; 0.615911; 0.615970; 0.613930; 0.612708; 0.613207; 0.614150; 0.614289; 0.614741; 0.615351; 0.614873; 0.612905; 0.610897; 0.609357; 0.607415; 0.605711; 0.605090; 0.605017; 0.606414; 0.605999; 0.605844; 0.605621; 0.605409; 0.604913; 0.605559; 0.607594; 0.609274; 0.611073; 0.614063; 0.616001; 0.615589; 0.616883; 0.619120; 0.621062; 0.624242; 0.625953; 0.626332; 0.625885; 0.624628; 0.623481; 0.620786; 0.619622; 0.619404; 0.619390; 0.618882; 0.621306; 0.621745; 0.619730; 0.616800; 0.613541; 0.611710; 0.612254; 0.614706; 0.617518; 0.620725; 0.623459; 0.626110; 0.627727; 0.626813; 0.627719; 0.628574; 0.629489; 0.631030; 0.634511; 0.636126; 0.636682; 0.637223; 0.637360; 0.637289; 0.636400; 0.636897; 0.637054; 0.638889; 0.641610; 0.643191; 0.642343; 0.641638; 0.640912; 0.639640; 0.639778; 0.640378; 0.640623; 0.641167; 0.641621; 0.642561; 0.644504; 0.643670; 0.642804; 0.642413; 0.642619; 0.645109; 0.647081; 0.647447; 0.646893; 0.646459; 0.644907; 0.646605; 0.649791; 0.652711; 0.653888; 0.653206; 0.654111; 0.654811; 0.655214; 0.655453; 0.654161; 0.653733; 0.655449; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6979.4; 14:05:53; (); (); (); (); (); (); (); (); 0.609174; 0.607851; 0.607497; 0.608596; 0.610466; 0.611187; 0.612106; 0.612555; 0.612205; 0.613441; 0.613348; 0.612982; 0.613087; 0.613906; 0.616240; 0.617531; 0.618543; 0.619449; 0.620017; 0.618999; 0.618679; 0.617361; 0.615626; 0.613778; 0.613170; 0.612072; 0.612475; 0.613244; 0.613217; 0.611790; 0.611753; 0.612490; 0.611816; 0.610994; 0.611885; 0.612250; 0.613900; 0.615723; 0.618559; 0.620927; 0.624039; 0.625451; 0.625883; 0.626134; 0.627064; 0.627320; 0.627204; 0.627208; 0.627772; 0.629622; 0.631390; 0.633016; 0.634135; 0.634485; 0.633267; 0.631128; 0.630977; 0.631324; 0.632039; 0.635577; 0.638308; 0.639914; 0.641928; 0.643149; 0.642010; 0.642661; 0.643518; 0.644460; 0.645928; 0.648821; 0.651417; 0.652322; 0.653274; 0.653906; 0.651886; 0.648917; 0.648508; 0.648709; 0.648808; 0.649486; 0.648896; 0.647640; 0.646413; 0.645548; 0.645425; 0.647168; 0.648518; 0.649814; 0.650958; 0.652325; 0.655307; 0.656346; 0.656985; 0.656755; 0.656041; 0.656513; 0.657446; 0.658684; 0.659551; 0.658781; 0.655541; 0.653109; 0.651909; 0.651580; 0.652224; 0.651296; 0.650844; 0.651052; 0.651869; 0.652911; 0.652635; 0.652512; 0.651908; 0.650898; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6982.7; 14:06:02; (); (); (); (); (); (); (); (); 0.627159; 0.627715; 0.626992; 0.627331; 0.628544; 0.629089; 0.629710; 0.630858; 0.630355; 0.627490; 0.626895; 0.626468; 0.626614; 0.627216; 0.626931; 0.626835; 0.626115; 0.624319; 0.622284; 0.620003; 0.616852; 0.615606; 0.615627; 0.616981; 0.619690; 0.620808; 0.621992; 0.620967; 0.619067; 0.618176; 0.615329; 0.616349; 0.619005; 0.622065; 0.624375; 0.626841; 0.628077; 0.628859; 0.629585; 0.630130; 0.631514; 0.631457; 0.631958; 0.633281; 0.634995; 0.638623; 0.638581; 0.638034; 0.637275; 0.636090; 0.636426; 0.636420; 0.636147; 0.634953; 0.632387; 0.630465; 0.632144; 0.633410; 0.633697; 0.633566; 0.635495; 0.638632; 0.639875; 0.640361; 0.640683; 0.641211; 0.642260; 0.645051; 0.649189; 0.651876; 0.653622; 0.653262; 0.653717; 0.654578; 0.654659; 0.653089; 0.651498; 0.651494; 0.652883; 0.655031; 0.656902; 0.657108; 0.654282; 0.652089; 0.651146; 0.651668; 0.652384; 0.651691; 0.651198; 0.650955; 0.650453; 0.650478; 0.650808; 0.650465; 0.649397; 0.649006; 0.648492; 0.650492; 0.651485; 0.650316; 0.647576; 0.645024; 0.644504; 0.645266; 0.648046; 0.650018; 0.651922; 0.651293; 0.651292; 0.651254; 0.650763; 0.650325; 0.648207; 0.647756; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6986.0; 14:06:10; (); (); (); (); (); (); (); (); 0.625540; 0.623680; 0.624377; 0.625162; 0.625626; 0.625950; 0.624017; 0.622576; 0.624295; 0.625546; 0.625274; 0.623030; 0.620681; 0.617838; 0.616015; 0.616803; 0.616808; 0.616071; 0.614905; 0.612576; 0.609823; 0.608783; 0.609728; 0.610925; 0.610982; 0.609932; 0.610347; 0.609763; 0.610608; 0.612244; 0.611003; 0.611628; 0.610942; 0.610306; 0.610379; 0.612710; 0.615704; 0.617371; 0.618393; 0.620501; 0.623708; 0.625000; 0.626523; 0.626884; 0.627359; 0.628803; 0.628765; 0.630732; 0.633767; 0.636809; 0.637492; 0.636944; 0.636968; 0.637976; 0.638349; 0.636377; 0.636043; 0.637061; 0.638169; 0.639148; 0.639777; 0.641822; 0.642808; 0.643622; 0.644792; 0.646739; 0.648513; 0.649308; 0.648262; 0.648450; 0.649748; 0.651557; 0.652621; 0.651787; 0.651250; 0.652539; 0.652284; 0.651223; 0.652057; 0.653024; 0.652923; 0.652093; 0.649545; 0.648416; 0.647947; 0.647324; 0.647101; 0.646044; 0.646506; 0.647958; 0.648495; 0.649300; 0.649665; 0.649215; 0.648123; 0.648363; 0.651259; 0.652790; 0.652742; 0.653014; 0.653483; 0.654413; 0.656537; 0.655944; 0.654520; 0.654319; 0.654963; 0.655308; 0.654418; 0.654402; 0.653769; 0.651897; 0.654150; 0.656780; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
