Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-01-09; 14:04:35
File Name; D:\Mahlo\TR\180109140435FP 4576_257 GSM0_FMI2.txt

6952.0; 14:04:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 255.945563; 256.137222; 256.361187; 256.219923; 255.716562; 255.334198; 254.828483; 254.340857; 254.222840; 253.917366; 253.951341; 254.359215; 254.739225; 254.957080; 255.077869; 255.003691; 254.660726; 254.419297; 254.535496; 254.742950; 254.780382; 254.745781; 255.016237; 255.148917; 255.520403; 255.925357; 255.916893; 255.975664; 256.224900; 256.332994; 256.447047; 256.566077; 256.657124; 256.800264; 257.105798; 257.565647; 258.034438; 258.174568; 258.261412; 258.253157; 258.051872; 258.159071; 258.218229; 257.983476; 257.594436; 257.610232; 258.054167; 258.168370; 257.987231; 257.953376; 257.751405; 257.837713; 258.376390; 258.907348; 259.060860; 258.955657; 258.736432; 258.490533; 258.288413; 258.363098; 258.323550; 258.258343; 258.228093; 258.535296; 258.739561; 259.093821; 259.113789; 258.801162; 258.489430; 258.210957; 258.017004; 257.974952; 257.970899; 257.965446; 257.608056; 257.330030; 256.960839; 256.693542; 256.486923; 256.535709; 256.248653; 256.273955; 256.413817; 256.375432; 256.584078; 256.648391; 256.536245; 256.502062; 256.709397; 257.124335; 257.397741; 257.787228; 258.224189; 258.334011; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6956.3; 14:04:55; (); (); (); (); (); (); (); (); 252.122521; 252.971709; 253.539503; 253.770143; 253.767818; 253.761500; 253.845304; 253.998876; 253.969729; 254.008532; 254.009962; 254.057854; 254.489362; 255.052894; 255.076379; 254.696488; 254.368395; 254.102528; 253.618360; 253.943205; 254.322857; 254.361421; 254.515857; 254.794776; 254.809618; 255.131811; 255.269974; 255.042195; 254.916400; 254.882187; 254.976451; 254.866868; 254.746348; 254.546583; 254.116774; 253.768414; 253.707618; 253.707975; 253.909469; 254.324526; 254.160732; 254.122168; 254.240453; 254.461169; 254.462719; 254.372746; 254.364759; 254.456609; 254.854411; 254.948318; 255.084276; 255.102903; 255.153835; 255.014777; 255.052835; 255.494148; 255.741745; 255.875319; 255.505025; 255.458206; 255.632281; 255.643100; 255.935133; 256.472319; 257.027298; 257.775217; 258.589447; 259.202510; 259.642214; 259.936869; 260.378331; 260.981202; 261.600345; 262.556225; 263.462961; 264.238298; 264.990389; 265.747517; 266.009450; 266.038448; 265.927970; 265.800744; 265.605986; 265.469223; 265.062094; 264.624178; 264.068127; 263.492227; 262.732446; 262.072891; 261.521488; 260.643870; 259.655714; 259.291500; 258.914173; 258.302599; 257.836729; 257.401168; 257.156163; 256.982148; 256.613433; 256.402016; 256.277025; 256.146312; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6959.6; 14:05:03; (); (); (); (); (); (); (); (); 257.497668; 256.676286; 256.067455; 255.850971; 255.710870; 255.476952; 255.523801; 255.468756; 255.014032; 254.423648; 254.107118; 254.060298; 253.949970; 253.611475; 253.454059; 253.229767; 252.883196; 252.908349; 252.959371; 253.369093; 253.597438; 253.413707; 253.187031; 252.882123; 252.656072; 252.614796; 252.490163; 252.548069; 252.865165; 253.144771; 253.414631; 253.691465; 253.495991; 253.252834; 252.761394; 252.196223; 251.996666; 251.986206; 251.909763; 251.715064; 251.589358; 251.016021; 250.597209; 250.173837; 249.874264; 249.652013; 249.690399; 249.753922; 249.639496; 249.752432; 249.996394; 250.282168; 250.590444; 251.205266; 251.655459; 251.929730; 252.380788; 252.659291; 252.956629; 253.133863; 253.766060; 254.467428; 255.040109; 255.359262; 255.468279; 255.834609; 256.004214; 256.115139; 255.994499; 256.423473; 256.958514; 257.177860; 257.588446; 257.864445; 258.125067; 257.770628; 257.394463; 257.261336; 257.176965; 257.302254; 257.384539; 257.436067; 257.349044; 257.337779; 257.232815; 257.045388; 256.840765; 256.603479; 256.457895; 256.373435; 256.720245; 257.089674; 257.508099; 257.788420; 258.146495; 258.713543; 259.204835; 259.607673; 259.972841; 260.020554; 260.383427; 261.378169; 261.992484; 262.370020; 263.116956; 263.651013; 264.083892; 264.269263; 264.611572; 264.591008; 264.450431; 264.562666; 265.057057; 265.482724; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6962.8; 14:05:12; (); (); (); (); (); (); (); (); 258.301526; 257.715285; 257.413477; 257.318884; 257.125676; 257.158816; 257.134914; 257.075578; 256.833166; 256.531030; 256.298393; 256.462008; 256.667942; 256.872594; 257.061154; 257.153332; 257.172674; 256.947935; 256.454080; 256.356090; 256.168306; 256.085187; 256.086856; 256.155252; 256.447732; 256.814003; 256.685495; 256.266594; 255.666018; 255.606323; 255.565852; 255.373895; 255.531460; 255.719274; 255.898744; 256.039470; 256.072521; 256.151915; 256.232321; 256.012380; 255.378067; 255.111337; 254.929096; 254.762352; 254.783064; 254.832864; 254.977971; 254.698992; 254.569918; 254.421681; 254.090935; 253.980696; 254.000038; 253.924578; 253.966182; 253.830671; 253.730655; 254.078895; 254.342020; 254.108459; 253.918886; 253.964990; 254.294962; 254.658878; 254.878134; 255.357444; 255.787432; 256.049037; 256.336480; 256.763548; 257.330120; 257.697523; 258.180737; 258.619100; 259.095758; 259.439766; 259.790868; 259.843677; 259.771228; 259.971261; 260.256290; 260.262638; 260.169774; 260.237157; 259.997725; 259.867370; 259.756982; 259.401351; 258.946836; 258.751899; 258.523732; 258.535951; 258.738160; 258.711576; 258.559555; 258.563071; 258.796573; 258.919120; 258.993566; 259.201080; 259.233177; 259.521455; 259.780020; 259.944379; 260.207951; 260.569751; 260.738581; 260.948598; 261.320144; 261.598587; 261.282742; 261.038840; 261.027664; 260.883778; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6966.2; 14:05:20; (); (); (); (); (); (); (); (); 254.301161; 254.281998; 254.804790; 255.197674; 255.363733; 255.590200; 255.938679; 256.239176; 256.519645; 256.774426; 256.897926; 257.343054; 257.495433; 257.698506; 257.690817; 257.591754; 257.073939; 256.331772; 255.812615; 255.316287; 254.628807; 254.013896; 253.597558; 253.159285; 252.821326; 252.337158; 251.865298; 251.592875; 251.241416; 251.008809; 251.139045; 251.406699; 251.699060; 251.908481; 252.077043; 252.397954; 252.647191; 252.727836; 252.922863; 253.108919; 253.276289; 253.430486; 253.325939; 253.298044; 253.266215; 253.192276; 252.893358; 252.551258; 252.629131; 252.712756; 252.498537; 252.405614; 252.283901; 252.215147; 252.386659; 252.748698; 253.275603; 254.028589; 254.527658; 254.645497; 254.588306; 255.101323; 255.853355; 256.142884; 256.467640; 257.023603; 257.263988; 257.336885; 257.041901; 256.952822; 256.957173; 256.934643; 256.783396; 256.458700; 256.632179; 256.639063; 256.097317; 255.713552; 255.395919; 255.235940; 255.297273; 255.153060; 255.328774; 255.559534; 255.306512; 254.809976; 254.340529; 253.866404; 253.668308; 253.485471; 253.810167; 254.074037; 254.246235; 254.610866; 254.504949; 254.204333; 253.955513; 253.539532; 253.305972; 253.123492; 252.933323; 252.788156; 252.930075; 253.303558; 253.559381; 253.633678; 253.679931; 253.625631; 253.251106; 252.964467; 252.997100; 253.207803; 253.482878; 253.836304; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6969.5; 14:05:28; (); (); (); (); (); (); (); (); 255.836457; 254.638970; 254.238844; 253.963441; 253.841579; 253.837705; 253.729254; 253.524154; 253.240347; 252.844483; 252.422571; 252.306163; 252.132535; 251.666367; 251.510680; 251.958370; 252.086759; 252.186030; 252.101392; 251.824886; 251.346469; 251.029998; 250.882894; 250.785351; 250.921935; 251.304984; 251.628667; 251.801163; 251.814216; 252.006948; 252.038240; 251.775801; 251.545906; 251.507521; 251.869589; 252.616912; 253.309160; 253.927529; 254.632890; 254.988283; 254.788488; 254.661590; 254.269034; 254.144669; 253.902823; 253.822654; 254.120201; 254.003942; 253.796071; 253.443748; 253.190100; 252.832770; 252.361983; 251.709133; 251.329809; 251.577646; 251.526147; 251.865000; 251.999170; 252.314687; 252.648503; 253.041744; 253.545582; 254.320353; 254.852921; 255.068809; 255.371839; 255.729914; 256.105989; 256.246567; 256.102979; 256.158113; 256.493121; 256.900728; 257.039309; 257.148921; 257.214576; 257.021010; 256.640881; 256.591350; 256.688416; 256.846517; 256.867796; 257.032096; 257.358551; 257.499337; 257.441849; 257.213861; 256.815016; 256.486893; 256.038398; 255.616784; 255.533010; 255.379677; 255.281657; 254.810661; 254.457861; 254.362881; 254.080981; 253.935963; 253.870487; 253.873885; 253.749728; 253.808051; 253.918946; 254.432589; 254.888356; 255.124688; 255.549401; 255.632639; 255.974174; 256.085515; 256.120801; 256.168008; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6972.8; 14:05:37; (); (); (); (); (); (); (); (); 257.454693; 257.284194; 257.189244; 257.205009; 257.512599; 257.733345; 257.792950; 257.891536; 257.873863; 257.266432; 256.680042; 256.592065; 256.667346; 256.871909; 256.763935; 256.725907; 256.653428; 256.442606; 256.255150; 255.876899; 255.471259; 255.278796; 254.936099; 254.878879; 255.293012; 255.847573; 255.978614; 255.897105; 255.807966; 256.152898; 256.317079; 256.424546; 256.487846; 256.436318; 256.700248; 256.982118; 257.211506; 257.497162; 257.732093; 258.082330; 258.106738; 258.107185; 258.420080; 258.482724; 258.239061; 258.126110; 258.434474; 258.625537; 258.648604; 258.354485; 258.122563; 257.955223; 257.734150; 257.427603; 257.252067; 257.347971; 257.196486; 256.772369; 256.527573; 256.468505; 256.267965; 255.812109; 255.961150; 256.228477; 256.590158; 257.019728; 257.252514; 257.508099; 257.722795; 257.694840; 257.568181; 257.804692; 258.125573; 258.454293; 258.751184; 259.182245; 259.270698; 259.176701; 259.165525; 259.070426; 258.794129; 258.869380; 259.060204; 259.255558; 259.265214; 258.955300; 258.495480; 258.152217; 257.805049; 257.676363; 257.568598; 257.868946; 257.990927; 258.047044; 258.131117; 258.249938; 258.195072; 258.115023; 257.855207; 257.734597; 257.873952; 257.989854; 258.238047; 258.508801; 258.800536; 259.180665; 259.317696; 259.358943; 259.347767; 259.324968; 259.281188; 259.284973; 259.572089; 259.955883; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6976.1; 14:05:45; (); (); (); (); (); (); (); (); 257.303059; 256.663620; 256.412864; 256.672800; 257.016897; 256.907403; 256.831616; 256.666869; 256.663024; 256.656945; 256.460160; 255.742222; 255.397350; 255.103350; 254.845530; 255.028933; 255.348623; 255.288064; 254.776806; 254.187077; 253.888696; 253.489494; 253.213525; 252.864271; 252.148330; 252.070040; 252.256095; 252.217531; 252.264559; 251.925677; 251.304269; 251.007915; 250.643909; 250.225127; 250.164628; 249.983892; 249.978736; 249.838307; 249.687165; 249.588579; 249.225318; 248.753309; 248.636350; 248.448774; 248.839751; 249.386534; 249.569476; 249.694243; 249.887958; 249.964893; 250.056386; 250.257045; 250.400096; 250.380605; 250.396907; 250.556350; 250.651717; 250.392228; 249.985382; 249.728218; 249.463350; 249.390587; 249.473974; 249.654472; 250.088751; 250.525057; 250.760525; 251.218915; 252.158642; 253.187448; 253.961325; 254.682094; 255.539834; 256.275237; 256.506294; 256.958067; 257.371336; 257.390082; 257.501304; 257.534891; 257.545292; 257.411450; 257.102430; 256.824225; 256.589264; 256.621867; 256.840080; 256.864250; 256.623954; 256.207883; 255.518466; 255.153984; 255.510688; 255.455643; 255.515635; 255.448669; 255.516142; 255.634904; 255.961865; 255.940616; 255.660981; 255.447835; 255.445331; 255.799919; 256.514847; 256.980568; 257.292390; 257.360727; 257.572979; 257.441044; 257.620692; 257.844120; 257.905096; 257.577568; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6979.4; 14:05:53; (); (); (); (); (); (); (); (); 254.831225; 254.601687; 254.749894; 255.214363; 255.445957; 255.637079; 255.834281; 255.981088; 256.335348; 256.967157; 257.425636; 257.750303; 258.085251; 258.424580; 258.616269; 258.483857; 258.399457; 257.992983; 257.510811; 257.303059; 257.023692; 256.731421; 256.655663; 256.382942; 255.734205; 255.090892; 254.555941; 253.700435; 253.013134; 252.830207; 253.080219; 253.112018; 253.109455; 253.099561; 252.893537; 252.903730; 252.887994; 252.783120; 252.799213; 253.057241; 253.386021; 253.419906; 253.714234; 254.020780; 254.178971; 254.042387; 254.085749; 254.501671; 254.846483; 255.202889; 255.449504; 255.394012; 255.367011; 255.140662; 254.768014; 254.474312; 254.805535; 255.293876; 255.766392; 256.011188; 256.191283; 256.480604; 256.556004; 256.721407; 257.118464; 257.631689; 258.301616; 258.882225; 259.588271; 260.385096; 261.054516; 261.455864; 261.785567; 261.864930; 262.183338; 262.447625; 262.493938; 262.746513; 263.031691; 262.686908; 262.233555; 261.967778; 261.459619; 260.773331; 260.300815; 259.672105; 258.913338; 258.134127; 257.491410; 256.848037; 256.680995; 256.639749; 256.126821; 255.616099; 255.505860; 255.285949; 255.106419; 255.204886; 255.576670; 255.681604; 256.009072; 256.290138; 256.587595; 257.042021; 257.492244; 257.705986; 257.799149; 258.044630; 258.289576; 258.424819; 258.706659; 258.974701; 259.013563; 258.925587; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6982.7; 14:06:02; (); (); (); (); (); (); (); (); 252.711535; 252.801776; 253.363252; 254.123062; 254.790336; 255.112916; 255.396515; 256.094217; 256.871492; 257.338464; 257.405132; 257.915735; 258.409560; 258.863598; 259.563118; 259.651989; 259.608150; 259.245753; 258.465707; 258.031815; 258.135438; 258.316100; 258.465827; 258.412123; 258.236229; 258.312821; 258.092463; 257.843852; 258.067429; 258.296162; 258.949310; 259.707540; 260.063440; 260.533899; 261.008710; 261.318177; 261.310607; 261.261225; 261.417270; 261.845171; 262.060732; 262.348861; 262.576371; 262.572885; 262.304634; 261.813134; 261.254042; 260.775208; 260.563731; 260.263920; 259.819865; 259.480685; 259.090662; 258.611888; 257.980406; 257.458508; 257.188499; 257.051528; 256.807864; 256.812096; 256.900847; 256.693602; 256.658882; 256.537050; 256.541282; 256.880939; 257.295072; 257.712394; 258.291751; 258.717388; 259.135723; 259.264171; 259.312570; 259.370714; 259.157270; 258.978039; 258.977264; 259.155065; 259.280980; 259.022474; 258.340180; 257.608086; 257.088810; 256.631702; 256.310523; 256.047815; 255.703628; 255.342424; 254.673719; 254.025668; 253.740251; 253.585339; 253.241003; 252.936333; 252.722442; 252.764732; 252.683818; 251.931071; 251.167983; 250.932246; 250.730783; 250.861049; 251.169056; 251.794636; 252.516925; 252.768874; 252.984554; 253.218740; 253.382981; 253.477454; 253.487498; 253.880203; 254.755229; 255.556285; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6986.0; 14:06:10; (); (); (); (); (); (); (); (); 254.216224; 254.432976; 254.427135; 254.595399; 255.080909; 255.260378; 255.198866; 255.048126; 254.957527; 255.163729; 255.187958; 254.984051; 255.081832; 255.125999; 255.499125; 255.722582; 255.480170; 255.295038; 255.125552; 254.868597; 254.661709; 254.770428; 254.843175; 254.421324; 254.212499; 254.364192; 254.559726; 254.598618; 254.753679; 254.653275; 254.359215; 254.369706; 254.474491; 254.468948; 254.511386; 254.574627; 254.530668; 254.724532; 255.219817; 255.273879; 255.089134; 255.031437; 255.182624; 255.276918; 255.516618; 255.736947; 255.906165; 256.211489; 256.551623; 256.584913; 256.842017; 257.019758; 257.114440; 257.030666; 257.029146; 257.282346; 257.408887; 257.286370; 257.083923; 256.966591; 256.969988; 257.136583; 257.528126; 258.026451; 258.646309; 258.935004; 259.107828; 259.047151; 259.204179; 259.354144; 259.594589; 259.973526; 260.484129; 260.939121; 261.186451; 261.535913; 261.583328; 261.201888; 260.649353; 260.357261; 260.186821; 259.917766; 259.738982; 259.700209; 259.633064; 259.184986; 258.844495; 258.259714; 257.733941; 257.270455; 256.854564; 256.641090; 256.751776; 256.995797; 256.593287; 256.340206; 255.909622; 255.640954; 255.280226; 254.908800; 254.751712; 254.531920; 254.581600; 254.769117; 255.079120; 255.149275; 255.110413; 254.760921; 254.334837; 254.250139; 254.016906; 254.304171; 254.692137; 255.276293; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
