Roll Number; 0
Recipe Name; FP 4576_570 GSM
Start Time; 2018-01-09; 18:04:26
File Name; D:\Mahlo\TR\180109180426FP 4576_570 GSM0_XMF2.txt

10103.6; 18:04:37; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.719244; 3.670406; 3.451478; 3.283625; 3.127240; 2.995520; 2.911310; 2.810713; 2.675159; 2.539853; 2.385172; 2.249807; 2.114446; 1.979091; 1.843752; 1.689090; 1.592440; 1.592487; 1.592655; 1.592848; 1.592958; 1.593037; 1.593105; 1.593169; 1.593195; 1.593206; 1.593151; 1.592952; 1.592690; 1.592339; 1.591847; 1.591302; 1.590811; 1.590268; 1.589674; 1.589165; 1.588745; 1.588354; 1.587976; 1.587705; 1.587592; 1.587780; 1.588154; 1.588664; 1.589369; 1.590058; 1.590739; 1.591425; 1.591936; 1.592255; 1.592494; 1.592745; 1.593039; 1.593282; 1.593457; 1.593583; 1.593574; 1.593491; 1.593355; 1.593201; 1.593085; 1.593043; 1.593193; 1.593495; 1.593868; 1.594236; 1.594527; 1.594688; 1.594772; 1.594827; 1.594971; 1.595116; 1.595228; 1.595358; 1.595500; 1.595582; 1.595592; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10111.9; 18:05:21; (); (); (); (); (); (); 1.648365; 1.648069; 1.647287; 1.646734; 1.646416; 1.646266; 1.646185; 1.646088; 1.645868; 1.645663; 1.645566; 1.645532; 1.645562; 1.645612; 1.645630; 1.645681; 1.645974; 1.646642; 1.647372; 1.648011; 1.648564; 1.649063; 1.649569; 1.650144; 1.650553; 1.650774; 1.650883; 1.650901; 1.650916; 1.651029; 1.651168; 1.651264; 1.651249; 1.651037; 1.650761; 1.650464; 1.650143; 1.649941; 1.649785; 1.649738; 1.649874; 1.650131; 1.650462; 1.650833; 1.651172; 1.651479; 1.651805; 1.652217; 1.652752; 1.653237; 1.653541; 1.653810; 1.654028; 1.654217; 1.654292; 1.654200; 1.653778; 1.653008; 1.651895; 1.650691; 1.649362; 1.647921; 1.646347; 1.644456; 1.642933; 1.641519; 1.639785; 1.638152; 1.636443; 1.634572; 1.632850; 1.631548; 1.630604; 1.629919; 1.629593; 1.629417; 1.629197; 1.628942; 1.628674; 1.628223; 1.627833; 1.627557; 1.627278; 1.627077; 1.626976; 1.626972; 1.627011; 1.626959; 1.626909; 1.626893; 1.626928; 1.627224; 1.627920; 1.628673; 1.629461; 1.630372; 1.631233; 1.632240; 1.633312; 1.634229; 1.634988; 1.635789; 1.636754; 1.637533; 1.638250; 1.638878; 1.639247; 1.639421; 1.639544; 1.639910; 1.640292; 1.640562; 1.640691; 1.640899; 1.641228; 1.641527; 1.641692; 1.641684; 1.641604; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10113.4; 18:05:29; (); (); (); (); (); (); 1.658489; 1.657799; 1.657442; 1.657169; 1.656923; 1.656785; 1.656651; 1.656230; 1.655884; 1.655724; 1.655670; 1.655649; 1.655807; 1.656300; 1.657189; 1.658022; 1.658666; 1.659547; 1.660444; 1.661297; 1.661999; 1.662799; 1.663900; 1.664907; 1.665833; 1.666658; 1.667419; 1.668114; 1.668703; 1.669279; 1.669813; 1.670268; 1.670546; 1.670868; 1.671215; 1.671438; 1.671466; 1.671154; 1.670414; 1.669474; 1.668563; 1.667568; 1.666581; 1.665183; 1.663353; 1.661498; 1.659750; 1.658312; 1.656950; 1.655642; 1.654416; 1.653136; 1.652123; 1.651358; 1.650895; 1.650649; 1.650570; 1.650759; 1.651215; 1.651825; 1.652466; 1.652949; 1.653311; 1.653524; 1.653540; 1.653378; 1.653149; 1.652868; 1.652493; 1.651960; 1.651216; 1.650457; 1.649431; 1.648330; 1.647373; 1.646462; 1.645643; 1.644846; 1.644314; 1.644022; 1.643921; 1.644110; 1.644527; 1.645021; 1.645596; 1.646164; 1.646779; 1.647390; 1.647987; 1.648710; 1.649375; 1.649938; 1.650270; 1.650409; 1.650430; 1.650329; 1.650031; 1.649486; 1.648743; 1.648055; 1.647315; 1.646564; 1.645766; 1.644433; 1.643161; 1.642129; 1.640992; 1.639806; 1.638741; 1.637864; 1.636931; 1.636217; 1.635820; 1.635340; 1.634679; 1.633944; 1.633194; 1.632542; 1.632474; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10115.0; 18:05:38; (); (); (); (); (); (); 1.662145; 1.661676; 1.661164; 1.660827; 1.660511; 1.660295; 1.660200; 1.660041; 1.659617; 1.659122; 1.658608; 1.657935; 1.657137; 1.656261; 1.655275; 1.654309; 1.653804; 1.653321; 1.652687; 1.652168; 1.651542; 1.650626; 1.649964; 1.649576; 1.649257; 1.649088; 1.649178; 1.649396; 1.649787; 1.650402; 1.651106; 1.651872; 1.652774; 1.653659; 1.654453; 1.655269; 1.656408; 1.657591; 1.658599; 1.659664; 1.660642; 1.661416; 1.662108; 1.662689; 1.663102; 1.663581; 1.663990; 1.664202; 1.664312; 1.664384; 1.664381; 1.664298; 1.664186; 1.664016; 1.663785; 1.663625; 1.663464; 1.663208; 1.662901; 1.662536; 1.662103; 1.661619; 1.661045; 1.660428; 1.659794; 1.659266; 1.658842; 1.658430; 1.657896; 1.657161; 1.656431; 1.655830; 1.655329; 1.654937; 1.654607; 1.654271; 1.653960; 1.653707; 1.653584; 1.653503; 1.653380; 1.653024; 1.652655; 1.652501; 1.652555; 1.652658; 1.652875; 1.653145; 1.653315; 1.653429; 1.653634; 1.654054; 1.654601; 1.655248; 1.656144; 1.657254; 1.658437; 1.659674; 1.660700; 1.661506; 1.662349; 1.663474; 1.664643; 1.665847; 1.667065; 1.667951; 1.668893; 1.669718; 1.670448; 1.671054; 1.671404; 1.671669; 1.671858; 1.672167; 1.672615; 1.672991; 1.673228; 1.673322; 1.673378; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10116.6; 18:05:47; (); (); (); (); (); 1.648582; 1.648118; 1.647579; 1.647311; 1.647220; 1.647251; 1.647430; 1.647699; 1.647840; 1.648032; 1.648498; 1.649106; 1.649718; 1.650397; 1.651379; 1.652584; 1.653651; 1.655128; 1.656567; 1.657585; 1.658816; 1.659882; 1.660713; 1.661648; 1.662309; 1.662728; 1.663134; 1.663483; 1.663638; 1.663722; 1.663604; 1.663276; 1.662913; 1.662513; 1.662047; 1.661594; 1.661148; 1.660616; 1.659869; 1.659182; 1.658521; 1.657679; 1.656854; 1.656134; 1.655519; 1.654970; 1.654400; 1.653944; 1.653640; 1.653420; 1.653280; 1.653268; 1.653324; 1.653557; 1.653943; 1.654493; 1.655233; 1.655987; 1.656846; 1.657884; 1.658873; 1.659904; 1.660896; 1.661774; 1.662518; 1.662956; 1.663225; 1.663491; 1.663746; 1.663912; 1.663926; 1.663959; 1.664053; 1.664079; 1.664007; 1.663884; 1.663835; 1.663859; 1.664009; 1.664385; 1.664978; 1.665644; 1.666330; 1.666998; 1.667596; 1.668191; 1.668759; 1.669226; 1.669494; 1.669689; 1.669739; 1.669532; 1.669108; 1.668456; 1.667607; 1.666752; 1.665745; 1.664773; 1.663909; 1.663012; 1.662265; 1.661485; 1.660522; 1.659995; 1.660248; 1.660644; 1.661076; 1.661679; 1.662531; 1.663418; 1.664284; 1.665221; 1.665887; 1.666506; 1.667175; 1.667888; 1.668875; 1.670308; 1.671444; 1.673378; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10118.1; 18:05:55; (); (); (); (); (); 1.653525; 1.653477; 1.652656; 1.651942; 1.651453; 1.651186; 1.651074; 1.650939; 1.650699; 1.650424; 1.650266; 1.650140; 1.650058; 1.649948; 1.649751; 1.649582; 1.649504; 1.650019; 1.650659; 1.651224; 1.651553; 1.651598; 1.651672; 1.651863; 1.651902; 1.651689; 1.651330; 1.651010; 1.650733; 1.650582; 1.650500; 1.650370; 1.650115; 1.649639; 1.649040; 1.648704; 1.648709; 1.648815; 1.648920; 1.649193; 1.649620; 1.650055; 1.650396; 1.650589; 1.650653; 1.650685; 1.650673; 1.650626; 1.650703; 1.650925; 1.651173; 1.651287; 1.651281; 1.651239; 1.651184; 1.651066; 1.650996; 1.651080; 1.651238; 1.651412; 1.651521; 1.651707; 1.652150; 1.652706; 1.653031; 1.653257; 1.653539; 1.653844; 1.654277; 1.654793; 1.655263; 1.655708; 1.656177; 1.656653; 1.657001; 1.657305; 1.657484; 1.657499; 1.657516; 1.657536; 1.657411; 1.657131; 1.656652; 1.655806; 1.654805; 1.653735; 1.652679; 1.651492; 1.650461; 1.649790; 1.649201; 1.648594; 1.647811; 1.646966; 1.646029; 1.644928; 1.643958; 1.643327; 1.643000; 1.642861; 1.642717; 1.642543; 1.642477; 1.642503; 1.642516; 1.642526; 1.642726; 1.643143; 1.643716; 1.644606; 1.645844; 1.647332; 1.648563; 1.649432; 1.650078; 1.650805; 1.651641; 1.652505; 1.653483; 1.654458; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10119.7; 18:06:04; (); (); (); (); (); 1.661238; 1.661688; 1.662028; 1.662239; 1.662480; 1.662863; 1.663272; 1.663689; 1.664373; 1.664973; 1.665322; 1.665198; 1.664941; 1.664628; 1.664286; 1.663990; 1.663771; 1.663575; 1.663397; 1.663069; 1.662427; 1.661722; 1.661036; 1.660286; 1.659412; 1.658596; 1.658226; 1.658077; 1.657998; 1.657806; 1.657446; 1.657094; 1.656892; 1.656772; 1.656771; 1.657133; 1.657970; 1.658955; 1.660032; 1.661300; 1.662339; 1.663102; 1.663942; 1.664686; 1.665412; 1.666342; 1.667139; 1.667910; 1.668632; 1.669202; 1.669721; 1.669995; 1.670087; 1.670305; 1.670726; 1.671424; 1.672262; 1.673140; 1.674121; 1.674906; 1.675567; 1.676028; 1.676152; 1.676141; 1.676041; 1.675621; 1.674828; 1.673905; 1.672473; 1.670665; 1.668834; 1.666605; 1.664588; 1.662902; 1.660680; 1.658579; 1.657166; 1.655674; 1.654037; 1.652458; 1.650988; 1.649810; 1.648805; 1.647939; 1.647211; 1.646554; 1.646178; 1.645976; 1.645856; 1.645843; 1.645850; 1.645959; 1.646163; 1.646422; 1.646894; 1.647700; 1.648675; 1.649545; 1.650442; 1.651563; 1.652470; 1.653077; 1.653377; 1.653485; 1.654104; 1.654756; 1.655323; 1.655917; 1.656527; 1.656982; 1.657307; 1.657640; 1.657854; 1.657972; 1.658021; 1.658102; 1.658417; 1.659204; 1.660166; 1.660282; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10121.3; 18:06:13; (); (); (); (); (); 1.655056; 1.654841; 1.653988; 1.653233; 1.652623; 1.652159; 1.651848; 1.651640; 1.651230; 1.650781; 1.650375; 1.649939; 1.649545; 1.649192; 1.648731; 1.648285; 1.648006; 1.648226; 1.648571; 1.648847; 1.649027; 1.649255; 1.649579; 1.650011; 1.650543; 1.651161; 1.651838; 1.652620; 1.653335; 1.654010; 1.654704; 1.655530; 1.656399; 1.657267; 1.658397; 1.659632; 1.660744; 1.661583; 1.662284; 1.662881; 1.663377; 1.663714; 1.663819; 1.663821; 1.663835; 1.663808; 1.663600; 1.663228; 1.662681; 1.661786; 1.660625; 1.659377; 1.658222; 1.657203; 1.656285; 1.655206; 1.654143; 1.653384; 1.652692; 1.651832; 1.650807; 1.649924; 1.649229; 1.648651; 1.648272; 1.648125; 1.648152; 1.648103; 1.648039; 1.648101; 1.648316; 1.648501; 1.648627; 1.648855; 1.649328; 1.650156; 1.651007; 1.651464; 1.651583; 1.651497; 1.651021; 1.650233; 1.649374; 1.648665; 1.648049; 1.647250; 1.646371; 1.645484; 1.644415; 1.643137; 1.642056; 1.641166; 1.640550; 1.640380; 1.640471; 1.640758; 1.641049; 1.641242; 1.641256; 1.641118; 1.641008; 1.641043; 1.641291; 1.641717; 1.642116; 1.642287; 1.642227; 1.642004; 1.641698; 1.641543; 1.641703; 1.642335; 1.643310; 1.643740; 1.644277; 1.644837; 1.645247; 1.645493; 1.645811; 1.660282; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10122.9; 18:06:21; (); (); (); (); (); 1.638207; 1.638642; 1.639396; 1.640006; 1.640604; 1.641084; 1.641546; 1.642099; 1.642822; 1.643635; 1.644582; 1.645555; 1.646420; 1.647330; 1.648432; 1.649405; 1.650288; 1.651213; 1.652075; 1.652829; 1.653743; 1.654702; 1.655690; 1.656798; 1.657687; 1.658488; 1.659314; 1.660012; 1.660623; 1.661128; 1.661630; 1.662192; 1.662611; 1.662898; 1.663123; 1.663226; 1.663220; 1.663210; 1.663301; 1.663550; 1.663914; 1.664177; 1.664305; 1.664311; 1.664182; 1.663877; 1.663410; 1.662909; 1.662434; 1.661973; 1.661477; 1.660963; 1.660320; 1.659475; 1.658365; 1.657028; 1.655925; 1.654949; 1.654113; 1.653568; 1.653277; 1.653138; 1.652943; 1.652580; 1.652053; 1.651312; 1.650253; 1.649227; 1.648274; 1.647240; 1.646172; 1.645240; 1.644335; 1.643305; 1.642365; 1.641260; 1.640007; 1.638961; 1.638323; 1.637861; 1.637613; 1.637596; 1.637830; 1.638431; 1.639259; 1.640142; 1.641108; 1.642167; 1.643071; 1.643836; 1.644940; 1.646240; 1.647141; 1.648066; 1.649151; 1.650123; 1.651187; 1.652398; 1.653539; 1.654570; 1.655457; 1.656315; 1.656955; 1.657581; 1.658429; 1.659164; 1.659729; 1.660389; 1.661016; 1.661300; 1.661548; 1.661847; 1.662009; 1.662084; 1.662151; 1.662251; 1.662286; 1.662296; 1.662357; 1.662372; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10124.4; 18:06:30; (); (); (); (); (); 1.638058; 1.638025; 1.637617; 1.637310; 1.637190; 1.637104; 1.637023; 1.637037; 1.637137; 1.637333; 1.637591; 1.637856; 1.638128; 1.638452; 1.638892; 1.639317; 1.639800; 1.640747; 1.641654; 1.642458; 1.643455; 1.644455; 1.645430; 1.646291; 1.646823; 1.647270; 1.647708; 1.648094; 1.648515; 1.649023; 1.649530; 1.649915; 1.650135; 1.650314; 1.650634; 1.650855; 1.650878; 1.650885; 1.651041; 1.651382; 1.651870; 1.652347; 1.652723; 1.652952; 1.653078; 1.653234; 1.653485; 1.653764; 1.653989; 1.654142; 1.654325; 1.654609; 1.654878; 1.655126; 1.655323; 1.655426; 1.655539; 1.655736; 1.656136; 1.656593; 1.656923; 1.657104; 1.657245; 1.657448; 1.657560; 1.657635; 1.657693; 1.657724; 1.657757; 1.657783; 1.657850; 1.657860; 1.657839; 1.657780; 1.657673; 1.657644; 1.657704; 1.657750; 1.657737; 1.657704; 1.657592; 1.657392; 1.657080; 1.656717; 1.656388; 1.655992; 1.655526; 1.655068; 1.654636; 1.654227; 1.653793; 1.653328; 1.653009; 1.652926; 1.652934; 1.653032; 1.653287; 1.653663; 1.654071; 1.654557; 1.655245; 1.656188; 1.657046; 1.657896; 1.658626; 1.659243; 1.660008; 1.660727; 1.661319; 1.661861; 1.662489; 1.663163; 1.663667; 1.664012; 1.664294; 1.664443; 1.664455; 1.664473; 1.664752; 1.662372; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10126.0; 18:06:39; (); (); (); (); (); 1.649481; 1.649511; 1.649374; 1.649395; 1.649646; 1.649926; 1.650210; 1.650377; 1.650628; 1.651039; 1.651554; 1.652149; 1.652549; 1.652830; 1.653110; 1.653504; 1.654209; 1.655110; 1.655885; 1.656499; 1.657044; 1.657669; 1.658605; 1.659411; 1.660047; 1.660686; 1.661387; 1.662061; 1.662805; 1.663526; 1.664099; 1.664556; 1.664833; 1.665109; 1.665374; 1.665601; 1.665787; 1.665894; 1.666115; 1.666408; 1.666690; 1.666918; 1.667035; 1.666958; 1.666755; 1.666594; 1.666435; 1.666270; 1.665991; 1.665561; 1.665070; 1.664612; 1.664170; 1.663576; 1.662924; 1.662237; 1.661416; 1.660810; 1.660384; 1.660118; 1.660062; 1.660074; 1.660041; 1.660058; 1.660145; 1.660200; 1.660219; 1.660314; 1.660485; 1.660642; 1.660930; 1.661379; 1.661812; 1.662259; 1.662676; 1.663093; 1.663637; 1.664317; 1.665162; 1.666017; 1.666798; 1.667545; 1.668087; 1.668569; 1.669071; 1.669497; 1.669865; 1.670188; 1.670431; 1.670559; 1.670571; 1.670412; 1.670065; 1.669518; 1.668901; 1.668482; 1.668196; 1.667976; 1.667763; 1.667645; 1.667498; 1.667215; 1.666838; 1.666462; 1.666091; 1.665778; 1.665504; 1.665312; 1.665182; 1.665055; 1.664941; 1.664801; 1.664674; 1.664552; 1.664330; 1.664101; 1.663971; 1.663946; 1.663891; 1.663883; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
