Roll Number; 0
Recipe Name; FP 4576_570 GSM
Start Time; 2018-01-09; 18:04:26
File Name; D:\Mahlo\TR\180109180426FP 4576_570 GSM0_THICKNESS2.txt

10103.6; 18:04:37; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.401450; 1.402852; 1.409067; 1.415476; 1.419864; 1.422527; 1.421209; 1.417363; 1.412893; 1.409796; 1.410853; 1.410754; 1.410812; 1.412127; 1.415437; 1.417253; 1.416276; 1.411828; 1.405208; 1.397145; 1.391304; 1.391462; 1.395277; 1.399011; 1.399156; 1.397257; 1.394768; 1.392264; 1.389363; 1.387026; 1.385699; 1.384559; 1.384119; 1.384031; 1.385718; 1.387670; 1.384377; 1.380097; 1.377539; 1.379574; 1.382011; 1.383402; 1.383282; 1.383137; 1.382920; 1.382318; 1.379941; 1.378208; 1.380039; 1.382383; 1.382556; 1.383332; 1.386084; 1.387844; 1.385737; 1.381030; 1.379215; 1.379513; 1.382010; 1.385220; 1.385983; 1.387401; 1.388126; 1.387909; 1.389781; 1.393669; 1.396726; 1.395660; 1.393619; 1.393283; 1.396856; 1.397893; 1.399378; 1.399251; 1.396493; 1.397174; 1.399121; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10111.9; 18:05:21; (); (); (); (); (); (); 1.436180; 1.435359; 1.436422; 1.440400; 1.446596; 1.452566; 1.456825; 1.459619; 1.463141; 1.466096; 1.464184; 1.463057; 1.463000; 1.463069; 1.465083; 1.464238; 1.463208; 1.461444; 1.456687; 1.448796; 1.438866; 1.431688; 1.426458; 1.419300; 1.415550; 1.413209; 1.410587; 1.408007; 1.405192; 1.402579; 1.404193; 1.406063; 1.407518; 1.408474; 1.409107; 1.410779; 1.412269; 1.414656; 1.420615; 1.423111; 1.424451; 1.423051; 1.422485; 1.422773; 1.419611; 1.417146; 1.413148; 1.408510; 1.404981; 1.404802; 1.404845; 1.403026; 1.399602; 1.394983; 1.394969; 1.395568; 1.397292; 1.398374; 1.399551; 1.403186; 1.399778; 1.399989; 1.401872; 1.404499; 1.406042; 1.407607; 1.409553; 1.410249; 1.407388; 1.402193; 1.399713; 1.399479; 1.400643; 1.401556; 1.399608; 1.403682; 1.404716; 1.403351; 1.400960; 1.398402; 1.397037; 1.396022; 1.396657; 1.400222; 1.403341; 1.403931; 1.403513; 1.402046; 1.400769; 1.400539; 1.399409; 1.397323; 1.396269; 1.396939; 1.399583; 1.402941; 1.403096; 1.402796; 1.402871; 1.401849; 1.402162; 1.401373; 1.399471; 1.397838; 1.397214; 1.397108; 1.398549; 1.401299; 1.401834; 1.397035; 1.392915; 1.389627; 1.387614; 1.385822; 1.384530; 1.381798; 1.380831; 1.381585; 1.382036; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10113.4; 18:05:29; (); (); (); (); (); (); 1.383931; 1.386617; 1.388778; 1.392326; 1.397086; 1.402466; 1.405584; 1.405813; 1.405700; 1.408642; 1.416983; 1.424939; 1.428073; 1.428323; 1.428281; 1.430992; 1.432097; 1.434188; 1.432501; 1.430655; 1.429937; 1.429052; 1.428775; 1.427534; 1.424639; 1.421007; 1.419467; 1.418256; 1.419336; 1.422227; 1.419552; 1.413143; 1.409220; 1.406665; 1.402698; 1.397874; 1.397010; 1.399877; 1.401887; 1.401151; 1.399913; 1.396910; 1.394861; 1.392587; 1.389651; 1.387191; 1.389305; 1.388203; 1.386946; 1.386604; 1.384820; 1.379203; 1.373022; 1.371181; 1.372419; 1.374518; 1.378192; 1.379884; 1.381377; 1.383234; 1.383834; 1.384027; 1.386386; 1.388463; 1.390317; 1.393420; 1.399449; 1.403481; 1.405318; 1.402825; 1.399803; 1.397669; 1.395091; 1.391976; 1.391326; 1.393047; 1.393525; 1.395965; 1.396552; 1.395943; 1.395074; 1.391192; 1.388338; 1.385972; 1.383838; 1.382909; 1.384034; 1.386997; 1.391607; 1.394592; 1.394005; 1.391794; 1.388041; 1.385195; 1.384074; 1.383706; 1.383314; 1.383432; 1.383550; 1.383603; 1.382454; 1.379066; 1.373636; 1.365838; 1.360542; 1.357290; 1.355967; 1.356334; 1.356398; 1.355584; 1.355140; 1.354216; 1.351637; 1.350650; 1.350485; 1.349627; 1.348125; 1.348651; 1.349306; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10115.0; 18:05:38; (); (); (); (); (); (); 1.479345; 1.481090; 1.479470; 1.476458; 1.469071; 1.460017; 1.458739; 1.459684; 1.460832; 1.460242; 1.456884; 1.453573; 1.452888; 1.451349; 1.446717; 1.443710; 1.440825; 1.439391; 1.439607; 1.442076; 1.445016; 1.442813; 1.440097; 1.438251; 1.436289; 1.432835; 1.430446; 1.423079; 1.414081; 1.406488; 1.399908; 1.396602; 1.393683; 1.390436; 1.387193; 1.384815; 1.381207; 1.380266; 1.381396; 1.384280; 1.390092; 1.388695; 1.389328; 1.395106; 1.399599; 1.401806; 1.400206; 1.396579; 1.393099; 1.391822; 1.393310; 1.396189; 1.395295; 1.391977; 1.386526; 1.380868; 1.381612; 1.382544; 1.383145; 1.385039; 1.388329; 1.392857; 1.398491; 1.402272; 1.403496; 1.404327; 1.401871; 1.400835; 1.399511; 1.398156; 1.399541; 1.397362; 1.395010; 1.392188; 1.389399; 1.387228; 1.384987; 1.381562; 1.382686; 1.385103; 1.384793; 1.385176; 1.383008; 1.381680; 1.382081; 1.381196; 1.382797; 1.384501; 1.385053; 1.383505; 1.378845; 1.377278; 1.378066; 1.377727; 1.375551; 1.375792; 1.376988; 1.378877; 1.380710; 1.381753; 1.380181; 1.377047; 1.375103; 1.373207; 1.372077; 1.372383; 1.372795; 1.372434; 1.372457; 1.371922; 1.368677; 1.364489; 1.363744; 1.362974; 1.362639; 1.364275; 1.366108; 1.365525; 1.366090; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10116.6; 18:05:47; (); (); (); (); (); 1.451695; 1.451475; 1.451594; 1.451766; 1.451607; 1.452975; 1.454713; 1.455381; 1.453794; 1.451150; 1.451330; 1.452792; 1.453286; 1.453533; 1.454718; 1.453263; 1.451568; 1.450251; 1.449999; 1.449362; 1.446768; 1.442479; 1.438866; 1.436607; 1.435729; 1.436123; 1.435520; 1.433728; 1.431320; 1.426892; 1.422545; 1.417312; 1.411487; 1.406074; 1.403315; 1.401767; 1.401769; 1.401288; 1.399740; 1.399045; 1.398440; 1.397806; 1.396555; 1.395289; 1.395245; 1.394958; 1.396194; 1.397977; 1.398387; 1.396649; 1.393359; 1.391802; 1.390996; 1.390718; 1.391104; 1.390376; 1.389949; 1.388927; 1.387070; 1.385760; 1.386011; 1.387156; 1.388157; 1.388393; 1.388463; 1.390366; 1.389031; 1.386585; 1.385163; 1.383358; 1.381262; 1.377379; 1.374427; 1.372838; 1.371655; 1.369951; 1.369166; 1.368069; 1.366681; 1.367327; 1.366218; 1.366653; 1.366855; 1.366441; 1.368065; 1.368354; 1.367968; 1.368561; 1.369358; 1.369964; 1.371374; 1.369583; 1.370182; 1.370992; 1.367876; 1.368360; 1.371749; 1.375580; 1.377864; 1.374822; 1.374640; 1.374742; 1.373996; 1.372668; 1.371115; 1.371821; 1.371004; 1.368144; 1.365415; 1.367244; 1.365500; 1.364382; 1.361212; 1.357890; 1.358362; 1.356933; 1.356313; 1.357298; 1.359156; 1.366090; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10118.1; 18:05:55; (); (); (); (); (); 1.435244; 1.436011; 1.436851; 1.436483; 1.435702; 1.440751; 1.444191; 1.446489; 1.448586; 1.451377; 1.454520; 1.456030; 1.454430; 1.451522; 1.449216; 1.448646; 1.447824; 1.448414; 1.450035; 1.450377; 1.442227; 1.437532; 1.432653; 1.427076; 1.426126; 1.429851; 1.430945; 1.431667; 1.431479; 1.429699; 1.427067; 1.424426; 1.422634; 1.421363; 1.420026; 1.423521; 1.425762; 1.428075; 1.430038; 1.428345; 1.422726; 1.419485; 1.414221; 1.410021; 1.407288; 1.405943; 1.404070; 1.401331; 1.398323; 1.395519; 1.394361; 1.392723; 1.390893; 1.388423; 1.385964; 1.388393; 1.390966; 1.395708; 1.400976; 1.406126; 1.406705; 1.408583; 1.408399; 1.408924; 1.411021; 1.410574; 1.409385; 1.408789; 1.409481; 1.410279; 1.407762; 1.406011; 1.404897; 1.401698; 1.397695; 1.398430; 1.400397; 1.401972; 1.402911; 1.403879; 1.404639; 1.402917; 1.402060; 1.400825; 1.398632; 1.394862; 1.392607; 1.392203; 1.392884; 1.392632; 1.390469; 1.388245; 1.384322; 1.380360; 1.378643; 1.377908; 1.380474; 1.380963; 1.379473; 1.376911; 1.377795; 1.376013; 1.371969; 1.366658; 1.362208; 1.358690; 1.355894; 1.355066; 1.354499; 1.352350; 1.348689; 1.348496; 1.347681; 1.347462; 1.348626; 1.347683; 1.348064; 1.349818; 1.353578; 1.360839; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10119.7; 18:06:04; (); (); (); (); (); 1.453566; 1.454317; 1.455175; 1.450809; 1.451925; 1.450972; 1.446836; 1.443388; 1.440443; 1.436925; 1.436391; 1.438347; 1.438155; 1.434874; 1.431260; 1.426893; 1.422729; 1.419255; 1.419675; 1.414711; 1.410255; 1.408426; 1.406244; 1.403502; 1.401834; 1.399947; 1.396792; 1.396521; 1.394470; 1.393491; 1.393009; 1.391602; 1.388178; 1.383221; 1.382222; 1.384311; 1.385810; 1.387061; 1.390549; 1.391560; 1.391264; 1.391286; 1.388916; 1.388714; 1.387848; 1.386525; 1.387153; 1.390452; 1.393521; 1.392844; 1.390504; 1.387907; 1.385433; 1.379617; 1.376680; 1.374689; 1.370897; 1.368195; 1.367798; 1.368640; 1.368485; 1.367658; 1.367796; 1.368752; 1.367987; 1.367964; 1.370032; 1.373203; 1.378342; 1.381181; 1.383128; 1.386341; 1.388720; 1.386098; 1.383141; 1.380076; 1.376812; 1.374527; 1.374192; 1.375914; 1.377719; 1.379002; 1.379142; 1.378202; 1.378735; 1.377744; 1.373926; 1.375371; 1.380184; 1.382324; 1.385293; 1.388689; 1.388919; 1.388223; 1.387437; 1.385567; 1.382649; 1.380851; 1.380293; 1.378792; 1.380624; 1.383238; 1.379277; 1.375091; 1.372070; 1.369921; 1.368227; 1.365719; 1.363007; 1.361586; 1.361704; 1.361522; 1.360025; 1.358936; 1.356755; 1.353195; 1.349204; 1.348079; 1.347587; 1.348392; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10121.3; 18:06:13; (); (); (); (); (); 1.418588; 1.417527; 1.418512; 1.424403; 1.431682; 1.437167; 1.440735; 1.444231; 1.449969; 1.450553; 1.449308; 1.448215; 1.448784; 1.451985; 1.450676; 1.452463; 1.451676; 1.449490; 1.446323; 1.440715; 1.436151; 1.431568; 1.425829; 1.420824; 1.422192; 1.423473; 1.424066; 1.422022; 1.418262; 1.418638; 1.417127; 1.417978; 1.417596; 1.413649; 1.413315; 1.412964; 1.412140; 1.410274; 1.407131; 1.403144; 1.402765; 1.402225; 1.402808; 1.405979; 1.409753; 1.410351; 1.410335; 1.411199; 1.411004; 1.408642; 1.410452; 1.412749; 1.413486; 1.411957; 1.410398; 1.406947; 1.405482; 1.404784; 1.402453; 1.399561; 1.397441; 1.395331; 1.392587; 1.390110; 1.389957; 1.387822; 1.386016; 1.385130; 1.384839; 1.384823; 1.385339; 1.385795; 1.386385; 1.386639; 1.386144; 1.389463; 1.393302; 1.396910; 1.401209; 1.403048; 1.404350; 1.405919; 1.408821; 1.412051; 1.413773; 1.415245; 1.416151; 1.415419; 1.413305; 1.412470; 1.410147; 1.408952; 1.408488; 1.407461; 1.406153; 1.406489; 1.402964; 1.399770; 1.400010; 1.399979; 1.397082; 1.393939; 1.391442; 1.390095; 1.388103; 1.383235; 1.381054; 1.378416; 1.373463; 1.369899; 1.364563; 1.364012; 1.364511; 1.361733; 1.359059; 1.357653; 1.357323; 1.357370; 1.356464; 1.348392; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10122.9; 18:06:21; (); (); (); (); (); 1.455254; 1.449866; 1.445850; 1.447822; 1.448607; 1.448592; 1.449572; 1.448119; 1.443892; 1.439808; 1.438278; 1.435388; 1.433911; 1.431704; 1.430504; 1.431179; 1.433806; 1.434233; 1.432328; 1.429706; 1.426040; 1.422042; 1.423002; 1.426339; 1.427018; 1.424954; 1.425305; 1.427092; 1.428852; 1.430529; 1.431687; 1.430680; 1.429436; 1.429430; 1.431023; 1.434030; 1.438869; 1.439088; 1.437726; 1.436815; 1.437050; 1.438475; 1.438391; 1.437770; 1.436687; 1.435285; 1.434049; 1.433413; 1.429790; 1.425039; 1.420963; 1.415052; 1.409259; 1.405838; 1.404630; 1.403820; 1.401598; 1.400291; 1.401150; 1.401954; 1.401199; 1.401658; 1.401545; 1.402718; 1.403943; 1.404305; 1.405625; 1.408155; 1.409516; 1.410689; 1.412026; 1.411931; 1.410061; 1.407814; 1.406468; 1.405138; 1.402083; 1.402387; 1.402828; 1.402554; 1.402352; 1.404860; 1.405142; 1.402216; 1.398371; 1.394980; 1.391803; 1.389371; 1.388831; 1.389729; 1.391196; 1.392442; 1.391036; 1.389019; 1.387743; 1.388184; 1.384697; 1.383631; 1.385122; 1.386766; 1.387020; 1.383887; 1.382435; 1.379511; 1.374008; 1.370154; 1.368727; 1.370000; 1.372290; 1.372761; 1.371908; 1.369371; 1.366682; 1.365331; 1.363996; 1.363327; 1.366446; 1.368591; 1.371425; 1.373609; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10124.4; 18:06:30; (); (); (); (); (); 1.463554; 1.462495; 1.458816; 1.457633; 1.458796; 1.459817; 1.459814; 1.459567; 1.457059; 1.457767; 1.460811; 1.462554; 1.461875; 1.458263; 1.457338; 1.457742; 1.457206; 1.456483; 1.454266; 1.450481; 1.445759; 1.443158; 1.441688; 1.442256; 1.438918; 1.435588; 1.431731; 1.426108; 1.424029; 1.421924; 1.417651; 1.414639; 1.414977; 1.413281; 1.412851; 1.414070; 1.414890; 1.414536; 1.413675; 1.414436; 1.412430; 1.411725; 1.413138; 1.413140; 1.412837; 1.415372; 1.417767; 1.417098; 1.416590; 1.413708; 1.410709; 1.408958; 1.406995; 1.405052; 1.404039; 1.404859; 1.406237; 1.408295; 1.411639; 1.411482; 1.409193; 1.406864; 1.406861; 1.407742; 1.409736; 1.411163; 1.409846; 1.405259; 1.400722; 1.399386; 1.399353; 1.398476; 1.394422; 1.390075; 1.388358; 1.388205; 1.387475; 1.385105; 1.385516; 1.384255; 1.383407; 1.384740; 1.390906; 1.394612; 1.392614; 1.389902; 1.389346; 1.391629; 1.390106; 1.387873; 1.386450; 1.388062; 1.391169; 1.389240; 1.391131; 1.393085; 1.393111; 1.391989; 1.394630; 1.392719; 1.389482; 1.386680; 1.384500; 1.385272; 1.387310; 1.388466; 1.387242; 1.383964; 1.381400; 1.377559; 1.373222; 1.367821; 1.362733; 1.359490; 1.362446; 1.365540; 1.365559; 1.363727; 1.358564; 1.373609; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10126.0; 18:06:39; (); (); (); (); (); 1.453545; 1.457453; 1.456875; 1.454061; 1.453061; 1.453797; 1.457049; 1.458052; 1.457267; 1.457721; 1.455672; 1.448606; 1.445345; 1.444722; 1.443569; 1.439721; 1.433302; 1.431028; 1.429052; 1.426453; 1.423257; 1.418245; 1.411676; 1.409000; 1.407472; 1.408982; 1.413734; 1.414513; 1.413030; 1.409534; 1.405580; 1.400556; 1.395629; 1.394888; 1.394545; 1.393206; 1.390795; 1.388994; 1.389196; 1.389680; 1.390067; 1.391007; 1.392368; 1.393685; 1.395755; 1.398657; 1.401228; 1.400539; 1.395777; 1.392260; 1.390950; 1.391490; 1.391139; 1.387429; 1.382226; 1.375872; 1.368860; 1.365977; 1.366013; 1.367976; 1.372077; 1.376009; 1.378058; 1.382096; 1.383766; 1.383233; 1.382389; 1.384589; 1.387340; 1.389956; 1.393978; 1.397164; 1.397042; 1.393850; 1.390634; 1.386841; 1.385968; 1.388470; 1.388353; 1.388503; 1.390142; 1.392201; 1.391596; 1.388556; 1.384993; 1.382495; 1.381030; 1.381672; 1.382425; 1.385298; 1.387181; 1.384051; 1.381047; 1.383097; 1.384921; 1.382730; 1.379832; 1.380772; 1.380999; 1.382634; 1.384776; 1.384872; 1.379159; 1.375806; 1.369199; 1.366257; 1.366673; 1.364908; 1.361788; 1.360950; 1.361840; 1.360678; 1.359077; 1.359956; 1.358593; 1.355953; 1.353769; 1.356447; 1.358070; 1.358789; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
