Roll Number; 0
Recipe Name; FP 4576_570 GSM
Start Time; 2018-01-09; 18:04:26
File Name; D:\Mahlo\TR\180109180426FP 4576_570 GSM0_FMI2.txt

10103.6; 18:04:37; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 575.747132; 575.924397; 576.113403; 575.880408; 575.708747; 575.608492; 575.572968; 575.591505; 575.573266; 575.924098; 575.868666; 575.879931; 575.791955; 575.726628; 575.682759; 575.636983; 575.415969; 574.982166; 575.032532; 575.198412; 575.197339; 575.258732; 575.263500; 575.579643; 575.918138; 576.550245; 577.071011; 577.564478; 577.919602; 578.289866; 578.407824; 578.338563; 578.163028; 577.810228; 577.638686; 577.523291; 577.442825; 577.230811; 576.688349; 575.993538; 575.114906; 574.666977; 574.401796; 574.260771; 574.404061; 574.592590; 575.263321; 575.862706; 576.110780; 576.122403; 576.177597; 575.953662; 576.000869; 575.880408; 575.575471; 575.393260; 575.293362; 575.244904; 575.097680; 574.829400; 574.558675; 574.023187; 573.883474; 574.025750; 574.448884; 574.862480; 575.254023; 575.808644; 576.183379; 576.670587; 577.062905; 577.312231; 577.624738; 577.904642; 577.891231; 577.848375; 578.043938; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10111.9; 18:05:21; (); (); (); (); (); (); 580.119789; 579.444468; 579.039872; 578.584731; 578.076243; 578.083992; 578.275979; 578.229964; 577.745259; 577.210128; 576.968193; 576.600134; 576.711357; 576.860845; 576.473355; 576.189101; 575.963974; 575.485766; 575.255752; 575.235128; 575.379610; 575.416446; 575.597227; 575.969040; 576.462924; 576.548040; 576.709330; 576.466799; 576.019704; 575.757742; 575.861990; 576.514602; 576.916933; 576.788485; 576.985240; 576.709807; 576.465487; 576.181650; 575.955451; 575.430036; 574.971914; 574.716747; 574.469984; 574.408650; 574.414670; 574.085951; 573.824883; 574.012399; 574.900389; 575.323105; 575.419128; 575.249791; 575.467467; 575.914800; 576.648653; 577.719808; 579.072297; 580.440164; 581.472754; 582.001984; 582.426786; 582.861602; 583.019137; 582.825363; 583.356202; 584.064782; 584.663987; 584.867358; 584.798217; 584.841967; 584.399939; 583.574593; 583.092809; 582.725525; 582.916796; 583.694637; 584.333777; 584.801733; 585.237205; 585.299671; 585.603952; 585.945964; 585.683942; 585.113585; 584.619939; 584.393561; 583.913803; 583.205581; 582.774878; 582.255781; 581.230640; 580.448270; 580.490530; 580.843866; 580.789566; 580.370545; 580.206633; 580.800772; 580.751479; 580.281496; 579.660952; 579.188824; 579.000175; 578.848958; 579.428136; 579.825759; 579.942346; 579.568148; 578.681827; 578.843176; 579.066277; 578.213274; 577.516079; 577.973902; 578.600585; 579.660535; 581.035674; 582.163692; 582.597852; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10113.4; 18:05:29; (); (); (); (); (); (); 572.308302; 572.693706; 572.716117; 572.129667; 571.929872; 572.240293; 572.577477; 572.643220; 572.771668; 572.805107; 573.261976; 573.370636; 573.332787; 574.142158; 575.196147; 575.698614; 575.451732; 575.060248; 575.383067; 575.422883; 574.991703; 574.754179; 575.051904; 574.886143; 574.359894; 573.776960; 573.521137; 573.250055; 572.551727; 571.508765; 571.120501; 571.071208; 570.947289; 571.096420; 571.212232; 571.181417; 570.791781; 570.287108; 569.429338; 569.023848; 569.139481; 569.268763; 569.294870; 569.065750; 568.696916; 568.544745; 568.714619; 569.143474; 569.388390; 569.556177; 569.663525; 570.159256; 571.115196; 572.460771; 573.213518; 573.881805; 574.353814; 575.063348; 576.024354; 577.072024; 577.446282; 577.244997; 577.110887; 576.958299; 576.749146; 576.515675; 576.542199; 576.535285; 576.455295; 576.382399; 575.755656; 575.305402; 574.723661; 574.128091; 573.954761; 574.209571; 574.643731; 575.190187; 575.465918; 576.056421; 577.059865; 577.639937; 578.156590; 578.476906; 578.698635; 579.052508; 579.236031; 579.385519; 579.364240; 579.304814; 579.369128; 579.447865; 579.254866; 578.815162; 578.279078; 577.976644; 577.440441; 576.550901; 575.827479; 575.986445; 576.101005; 575.899422; 575.977564; 576.075554; 575.820744; 575.869799; 576.062143; 576.494157; 577.174962; 577.532291; 577.815235; 578.238010; 578.577340; 579.002202; 579.058766; 579.032600; 579.603314; 579.797804; 580.088556; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10115.0; 18:05:38; (); (); (); (); (); (); 574.643254; 574.425697; 574.259698; 574.066520; 573.805511; 573.517144; 574.038088; 574.816108; 575.485647; 576.062560; 576.214254; 576.376379; 576.864064; 577.299237; 577.236295; 577.542126; 577.572644; 577.242613; 576.817751; 577.024400; 577.671349; 577.225327; 576.886117; 576.825202; 576.278985; 575.463712; 574.827790; 574.368417; 574.154377; 573.645413; 572.867393; 572.524905; 572.528243; 572.599530; 572.261035; 571.954310; 571.793437; 571.248055; 571.025074; 571.392179; 571.776748; 571.832478; 571.762323; 571.428001; 571.348310; 571.490526; 571.796060; 572.106183; 572.289348; 572.479546; 572.511971; 572.483122; 572.286963; 572.077870; 572.252750; 572.768748; 573.265433; 573.542476; 573.625207; 573.854446; 574.187875; 574.610233; 575.073838; 575.324595; 575.078130; 574.666023; 574.929655; 575.540304; 575.668693; 575.484037; 575.282633; 575.066984; 574.862599; 574.645638; 574.795306; 575.041294; 575.094521; 575.059235; 575.195491; 575.591385; 576.137722; 575.874388; 575.072169; 574.591219; 574.406326; 574.010432; 573.836386; 573.942363; 573.970437; 573.479533; 572.613657; 571.834743; 571.209371; 570.607305; 569.922626; 569.398522; 569.473565; 570.176303; 570.320368; 569.415927; 568.643630; 568.235278; 568.218946; 568.158448; 567.855597; 567.766488; 567.621350; 567.746937; 568.199754; 568.388462; 568.342388; 568.350852; 567.750692; 567.657113; 568.316698; 568.992555; 569.186509; 568.618834; 568.669975; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10116.6; 18:05:47; (); (); (); (); (); 574.930191; 574.905455; 574.680269; 574.838877; 575.215101; 575.279891; 575.453520; 576.097727; 576.182663; 575.782239; 576.088130; 576.380670; 576.530159; 576.926351; 577.271998; 577.468932; 577.893853; 578.142464; 578.019261; 577.598214; 577.117443; 576.427996; 575.581372; 575.229287; 575.059295; 574.276388; 573.607564; 573.533475; 573.174357; 572.788835; 572.342455; 571.460485; 571.130633; 571.001351; 570.923209; 570.960522; 571.026146; 570.932448; 570.732594; 570.834458; 571.419656; 571.733773; 571.452439; 571.646273; 572.155595; 572.398901; 572.742760; 572.994947; 573.107779; 573.124766; 573.089063; 573.285282; 573.554397; 573.990405; 574.666858; 575.055480; 575.435400; 575.871587; 575.988829; 575.658917; 575.523853; 575.637877; 575.400293; 575.079858; 574.529529; 574.089348; 573.618889; 573.449969; 573.310435; 572.958589; 572.458863; 572.139919; 572.038829; 571.557105; 570.885837; 570.420980; 569.993138; 569.912314; 569.882274; 570.488274; 571.301162; 571.881354; 572.167456; 572.063148; 571.812391; 572.070420; 572.141409; 571.561277; 571.041882; 571.076095; 570.962548; 570.350647; 569.816053; 569.529772; 568.918109; 568.811297; 568.566442; 568.388402; 568.687975; 569.006741; 569.061697; 568.900764; 568.917334; 569.415569; 569.786787; 570.372224; 570.684493; 571.419001; 572.476983; 572.798789; 572.999060; 573.699236; 573.895216; 573.586524; 573.463380; 573.154628; 572.934389; 573.405802; 573.952198; 568.669975; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10118.1; 18:05:55; (); (); (); (); (); 578.137636; 578.065515; 577.828526; 577.237248; 576.444268; 576.303124; 576.754093; 576.788902; 576.167345; 575.774074; 575.495362; 575.531483; 575.733960; 575.886250; 575.701952; 575.305104; 574.781120; 574.346960; 574.687421; 575.560212; 576.204956; 575.910509; 575.949490; 576.719284; 577.288151; 577.348888; 577.188730; 576.983571; 576.406240; 576.158285; 576.237082; 576.770186; 577.382386; 577.180445; 576.556206; 575.703204; 575.374126; 575.233638; 574.948311; 574.780405; 575.201094; 575.855255; 576.172709; 576.174796; 576.059401; 576.482654; 576.899171; 576.427341; 575.845838; 575.470150; 575.496495; 575.549424; 575.488567; 575.419009; 575.392365; 575.208008; 575.184166; 575.221837; 575.329423; 575.627029; 574.811757; 574.045718; 574.081779; 574.373066; 574.223518; 574.040771; 573.708177; 573.232591; 572.859526; 572.883487; 572.691500; 572.684467; 573.148072; 573.883116; 573.984087; 574.307084; 574.051857; 573.999166; 574.441195; 575.214744; 575.996757; 576.833665; 577.890337; 578.680396; 578.647792; 578.538477; 578.185141; 577.699959; 577.177167; 577.266574; 577.631295; 578.226566; 578.885674; 579.840004; 580.395579; 580.282152; 579.663754; 579.144537; 579.306901; 579.676330; 579.260707; 578.240454; 577.585757; 577.220082; 576.852262; 576.292396; 575.841069; 575.172186; 573.883414; 573.247612; 573.218524; 573.221207; 572.964847; 572.131872; 571.430266; 571.601272; 572.305501; 572.537482; 572.567821; 572.563648; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10119.7; 18:06:04; (); (); (); (); (); 574.141204; 574.516535; 574.224055; 573.805571; 573.656380; 573.774278; 573.778808; 573.916197; 573.441327; 573.101759; 572.887123; 571.943283; 571.326673; 571.010888; 570.744812; 570.783854; 570.753872; 570.889592; 570.991099; 570.739627; 569.902122; 569.434345; 569.784522; 570.139825; 569.875598; 570.128918; 571.670055; 572.648764; 572.788656; 572.712779; 572.171569; 571.823537; 571.973145; 571.958303; 571.971714; 572.386980; 573.218465; 573.574007; 573.972106; 574.481010; 574.668229; 574.247956; 573.631883; 573.252618; 573.292375; 573.804021; 573.840380; 573.234618; 572.870255; 572.382450; 571.532249; 570.007324; 568.721950; 568.307102; 568.506360; 568.722188; 568.998575; 569.360137; 569.749475; 569.594920; 569.560587; 569.325984; 568.994641; 568.751872; 568.917096; 568.934381; 568.549812; 568.479776; 567.905009; 566.860735; 566.106677; 565.659702; 565.317333; 565.284967; 565.655708; 565.998912; 566.741705; 567.915738; 568.942189; 569.585860; 570.813239; 571.935415; 572.987556; 573.843420; 574.676514; 575.479805; 575.896323; 576.124668; 576.068163; 576.226413; 576.263070; 576.242924; 576.443553; 576.755166; 577.263713; 578.014910; 578.799784; 578.980744; 578.970253; 579.074860; 579.027176; 578.364134; 577.474952; 576.904118; 576.400101; 576.237440; 576.033175; 575.475574; 575.544119; 575.472176; 574.694753; 574.264824; 574.172020; 574.175298; 573.850989; 573.565602; 574.088991; 575.228155; 576.129436; 576.480389; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10121.3; 18:06:13; (); (); (); (); (); 577.353656; 577.355742; 577.353358; 577.069700; 576.652408; 576.316416; 576.411724; 576.529682; 576.477826; 576.153815; 576.187432; 576.302409; 576.322436; 576.269090; 576.239467; 576.279759; 575.935245; 575.617671; 575.664103; 575.360119; 575.007439; 574.514449; 573.840082; 573.467970; 573.281586; 572.727859; 572.418153; 572.531700; 572.587013; 572.141826; 571.549773; 571.246862; 570.720851; 569.963038; 569.663167; 569.953978; 570.201635; 570.227146; 570.511639; 570.913911; 571.630776; 572.224617; 572.506309; 572.506368; 572.711766; 573.169410; 573.694348; 574.232101; 574.725509; 575.538814; 575.767040; 575.550377; 576.011479; 576.466620; 576.597035; 576.240897; 576.085031; 576.306224; 576.920271; 577.778459; 577.637255; 577.037036; 576.772511; 576.468050; 575.722635; 575.641036; 575.995028; 576.015592; 575.483024; 575.341463; 575.612962; 575.359166; 574.515522; 573.705673; 573.475778; 573.971093; 575.499177; 576.738954; 577.745974; 578.935921; 579.680026; 580.116332; 579.870343; 579.753876; 579.814196; 579.713166; 579.855502; 580.141008; 579.941928; 579.010546; 578.251064; 577.562988; 577.034354; 577.094913; 577.629983; 578.521192; 579.428613; 580.286682; 580.651164; 580.048084; 578.937113; 578.079522; 577.940762; 578.301847; 578.717053; 579.144180; 579.006195; 578.474462; 577.301979; 576.092541; 574.530661; 572.865188; 571.997643; 571.655333; 572.078526; 572.978497; 573.516250; 573.293626; 572.634935; 576.480389; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10122.9; 18:06:21; (); (); (); (); (); 580.691099; 580.540895; 581.107795; 580.859661; 580.424309; 580.542922; 580.599010; 580.757499; 581.080556; 581.207573; 581.143856; 580.797791; 580.605745; 580.401421; 580.160558; 579.995394; 579.576731; 578.617394; 578.172743; 577.794254; 577.098429; 577.219605; 577.196360; 577.054322; 576.868653; 576.524794; 576.178968; 575.833082; 575.569749; 574.956715; 574.654460; 574.401498; 574.171066; 573.612511; 573.271036; 573.072433; 572.215796; 571.749926; 571.707487; 571.722388; 571.972668; 572.042346; 572.062016; 571.894407; 572.054327; 571.922362; 571.656048; 571.658552; 571.859062; 572.142303; 572.177887; 572.088778; 571.954012; 571.584523; 570.807993; 570.251822; 570.434868; 570.957303; 571.639121; 572.367430; 573.022723; 573.858678; 574.386477; 574.577034; 574.521065; 574.321806; 574.657440; 575.137854; 575.578153; 576.405525; 576.651752; 576.678932; 576.636910; 576.160073; 575.437009; 575.100839; 574.940801; 575.086892; 575.932682; 577.391803; 578.343689; 578.934133; 579.794347; 580.836236; 581.448615; 581.736267; 581.890762; 581.653774; 581.425130; 581.377029; 581.188023; 581.035197; 580.606699; 580.138564; 580.069661; 580.161273; 579.842687; 579.242170; 578.536749; 577.777088; 577.130437; 576.549828; 576.406658; 576.367378; 576.438487; 575.983286; 575.371504; 575.337052; 575.149715; 574.426770; 573.859036; 573.779106; 573.282421; 572.819293; 572.620869; 572.666526; 572.560728; 572.268546; 572.379053; 572.537780; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10124.4; 18:06:30; (); (); (); (); (); 582.205057; 582.262218; 581.677973; 581.406653; 581.445277; 581.327081; 580.630243; 579.933703; 579.622924; 579.347134; 579.213142; 579.107583; 578.726351; 578.459382; 578.303874; 577.881455; 577.043593; 577.011049; 576.956928; 576.308846; 575.649321; 575.813890; 576.442301; 576.967597; 577.017903; 577.209711; 576.835454; 576.364219; 575.991809; 575.886369; 576.057255; 576.103389; 575.686634; 575.419843; 575.540304; 575.748026; 575.615525; 575.275540; 574.696004; 574.387729; 574.554443; 574.993193; 575.230718; 575.225651; 574.776292; 574.334145; 574.563205; 574.666142; 574.352562; 574.286342; 574.076056; 574.020028; 573.953152; 573.988438; 574.002028; 573.606193; 573.333323; 573.133469; 573.049188; 573.336124; 573.578775; 573.690653; 573.714852; 573.957324; 573.832095; 573.935986; 573.812187; 573.846698; 573.725939; 573.738277; 573.673844; 573.479414; 573.517978; 573.533773; 573.195875; 573.276401; 573.571622; 573.934495; 574.244022; 574.751019; 575.175524; 575.528324; 575.500906; 575.778842; 575.848877; 576.026440; 576.016009; 575.607896; 575.510919; 575.878799; 575.383842; 574.562848; 574.105918; 574.086249; 574.052453; 573.664308; 573.298216; 573.267162; 572.548509; 571.737170; 571.345866; 571.494460; 571.945548; 571.994483; 571.677685; 571.432114; 571.511388; 571.370661; 570.862353; 570.612669; 570.702791; 570.946038; 570.869982; 571.156383; 571.550727; 571.676850; 571.498752; 571.181417; 571.154714; 572.537780; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10126.0; 18:06:39; (); (); (); (); (); 578.571260; 577.885449; 576.493502; 576.205671; 576.655626; 576.995611; 576.946676; 576.533496; 576.362431; 576.443970; 576.544225; 576.756716; 576.477826; 575.836599; 575.356722; 575.362504; 575.940430; 576.550782; 576.387227; 575.675309; 574.727416; 574.461281; 575.003207; 575.269699; 574.881375; 574.347794; 574.166358; 574.370384; 574.427366; 574.325860; 574.030161; 573.570192; 572.763026; 572.379053; 572.251737; 572.060525; 571.763933; 571.190715; 571.071208; 571.266949; 571.278036; 571.063101; 570.843995; 570.586205; 570.231795; 570.489466; 570.960581; 571.288943; 571.233451; 570.836961; 570.748806; 570.657670; 570.641398; 570.257425; 569.772661; 569.712222; 569.630682; 569.950402; 570.472777; 571.282089; 571.540713; 571.803093; 571.975112; 572.328329; 572.986126; 573.111355; 572.889090; 572.784901; 573.129892; 573.238909; 573.286355; 573.656619; 573.540866; 573.264420; 572.943747; 572.134614; 571.748018; 572.097301; 572.472155; 572.556019; 572.701514; 572.732151; 572.671175; 572.336674; 572.253942; 572.229028; 571.777642; 571.269035; 570.905507; 570.419669; 570.202529; 569.534838; 568.982959; 568.267584; 567.921758; 568.297565; 568.943024; 569.483757; 569.640517; 569.784582; 569.876015; 569.569886; 569.411278; 569.464505; 569.789827; 569.761097; 569.942653; 570.273340; 570.802271; 571.001410; 570.885479; 570.821524; 570.740938; 570.838332; 570.603907; 570.236027; 570.836723; 571.303368; 571.422160; 571.198285; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
