Roll Number; 0
Recipe Name; FP 4598_280 GSM
Start Time; 2018-01-16; 11:21:12
File Name; D:\Mahlo\TR\180116112112FP 4598_280 GSM0_XMF2.txt

3385.3; 11:21:45; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.466873; 3.468781; 3.470840; 3.472915; 3.474465; 3.475867; 3.477654; 3.479455; 3.482892; 3.486983; 3.489351; 3.490329; 3.489987; 3.488373; 3.486116; 3.483137; 3.479282; 3.475542; 3.471115; 3.465661; 3.459384; 3.451653; 3.444285; 3.436557; 3.427573; 3.419222; 3.412436; 3.406225; 3.399788; 3.394810; 3.390433; 3.385783; 3.381368; 3.377548; 3.374000; 3.371773; 3.370636; 3.369759; 3.369300; 3.369542; 3.369976; 3.370482; 3.370865; 3.371400; 3.372600; 3.373497; 3.373764; 3.373878; 3.373810; 3.373787; 3.373419; 3.372452; 3.371379; 3.369765; 3.367537; 3.365512; 3.364161; 3.363350; 3.362444; 3.361648; 3.360993; 3.360603; 3.360350; 3.360435; 3.360651; 3.361065; 3.361532; 3.361667; 3.362275; 3.363043; 3.363555; 3.363131; 3.362479; 3.362232; 3.361932; 3.361508; 3.361158; 3.360777; 3.359867; 3.359146; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3388.0; 11:21:53; (); (); (); (); (); (); (); (); (); (); (); (); (); 3.347161; 3.345743; 3.344689; 3.344309; 3.343943; 3.343806; 3.343691; 3.342673; 3.341284; 3.339649; 3.337913; 3.336631; 3.335536; 3.334558; 3.334224; 3.334353; 3.334982; 3.335404; 3.335316; 3.335041; 3.334349; 3.333787; 3.333547; 3.334291; 3.335821; 3.337231; 3.338762; 3.340210; 3.341166; 3.341462; 3.340830; 3.339860; 3.338788; 3.338346; 3.338444; 3.338971; 3.339702; 3.340237; 3.340440; 3.340359; 3.339739; 3.338907; 3.338729; 3.339183; 3.340161; 3.342035; 3.343895; 3.345663; 3.347088; 3.347656; 3.347925; 3.348307; 3.348831; 3.349067; 3.349700; 3.350904; 3.352275; 3.353046; 3.353162; 3.352856; 3.352800; 3.353139; 3.353581; 3.354419; 3.356146; 3.358480; 3.360779; 3.363166; 3.365706; 3.367656; 3.369446; 3.371808; 3.375140; 3.379172; 3.382767; 3.385922; 3.389214; 3.391973; 3.394574; 3.397224; 3.399784; 3.401538; 3.402557; 3.399093; 3.394309; 3.389982; 3.385377; 3.380316; 3.374102; 3.367857; 3.362463; 3.357936; 3.353746; 3.349340; 3.343990; 3.336639; 3.328172; 3.321952; 3.321952; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3390.1; 11:22:01; (); (); (); (); (); (); (); (); (); (); (); (); (); 3.351504; 3.351395; 3.351378; 3.351638; 3.351887; 3.352141; 3.352246; 3.352105; 3.351811; 3.351629; 3.351635; 3.351716; 3.351386; 3.350794; 3.350560; 3.350552; 3.350875; 3.351257; 3.351704; 3.352232; 3.353074; 3.354525; 3.356862; 3.359626; 3.361331; 3.363197; 3.365724; 3.369555; 3.373471; 3.376397; 3.379240; 3.382212; 3.384698; 3.387081; 3.389577; 3.391682; 3.393264; 3.394008; 3.393931; 3.394329; 3.394638; 3.394126; 3.393006; 3.392039; 3.391412; 3.391221; 3.391315; 3.390856; 3.390112; 3.389500; 3.389004; 3.388624; 3.388169; 3.387513; 3.386648; 3.385612; 3.384858; 3.384006; 3.382995; 3.381447; 3.378750; 3.375689; 3.373272; 3.370840; 3.367471; 3.363173; 3.358842; 3.355263; 3.351456; 3.347663; 3.343992; 3.339484; 3.334810; 3.330311; 3.326462; 3.322011; 3.316166; 3.310949; 3.306883; 3.302763; 3.299600; 3.296959; 3.294714; 3.292335; 3.289741; 3.287760; 3.285803; 3.284153; 3.283163; 3.282258; 3.281696; 3.281663; 3.281912; 3.281954; 3.282269; 3.282896; 3.283703; 3.284791; 3.286182; 3.288219; 3.291488; 3.294662; 3.297151; 3.298388; 3.299905; 3.301957; 3.303982; 3.306527; 3.309661; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3392.1; 11:22:09; (); (); (); (); (); (); (); (); (); (); (); (); (); 3.324132; 3.323156; 3.321707; 3.320871; 3.320409; 3.320448; 3.321254; 3.321346; 3.321022; 3.321052; 3.321863; 3.323865; 3.326594; 3.329124; 3.331870; 3.334907; 3.337805; 3.341295; 3.344391; 3.346586; 3.347953; 3.348374; 3.349034; 3.350000; 3.350737; 3.350395; 3.349186; 3.347822; 3.346583; 3.345392; 3.344109; 3.342740; 3.341183; 3.339608; 3.338229; 3.337910; 3.338269; 3.338659; 3.339260; 3.340275; 3.341958; 3.343737; 3.344875; 3.345507; 3.345923; 3.346202; 3.346476; 3.347343; 3.348284; 3.348469; 3.347526; 3.345738; 3.342911; 3.339265; 3.334823; 3.329206; 3.323946; 3.318787; 3.313160; 3.308482; 3.304389; 3.300153; 3.296350; 3.292845; 3.290120; 3.289031; 3.289088; 3.290053; 3.292287; 3.295626; 3.300215; 3.305152; 3.310872; 3.317404; 3.322323; 3.327300; 3.332229; 3.336035; 3.340079; 3.344221; 3.346789; 3.348174; 3.348639; 3.348326; 3.347830; 3.346906; 3.345343; 3.343048; 3.341186; 3.340031; 3.338512; 3.336289; 3.334011; 3.333504; 3.335285; 3.337467; 3.339652; 3.342274; 3.344937; 3.347459; 3.350546; 3.353233; 3.355021; 3.356921; 3.359338; 3.362297; 3.366120; 3.371157; 3.373170; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3394.2; 11:22:17; (); (); (); (); (); (); (); (); (); (); (); (); (); 3.363388; 3.362080; 3.357037; 3.352251; 3.348037; 3.344878; 3.341905; 3.339825; 3.336990; 3.333747; 3.331345; 3.328898; 3.326088; 3.324035; 3.322313; 3.320642; 3.320837; 3.324515; 3.328683; 3.333285; 3.339391; 3.345177; 3.351352; 3.358947; 3.366648; 3.373693; 3.381756; 3.391606; 3.399796; 3.407826; 3.416635; 3.424248; 3.429860; 3.434280; 3.437675; 3.439035; 3.438897; 3.437549; 3.434734; 3.431030; 3.426037; 3.418590; 3.410996; 3.403050; 3.392945; 3.383288; 3.373617; 3.363025; 3.353303; 3.344828; 3.338685; 3.333416; 3.328041; 3.323120; 3.319549; 3.316708; 3.314399; 3.313083; 3.312477; 3.313246; 3.314898; 3.317156; 3.320136; 3.322653; 3.324813; 3.326867; 3.328457; 3.329730; 3.331320; 3.332146; 3.332142; 3.331365; 3.329776; 3.327535; 3.325221; 3.322755; 3.319267; 3.315327; 3.311369; 3.307813; 3.304315; 3.300807; 3.298286; 3.296477; 3.295383; 3.295450; 3.296578; 3.298140; 3.299993; 3.301810; 3.303218; 3.305104; 3.307367; 3.309703; 3.311985; 3.314136; 3.316207; 3.317409; 3.317897; 3.318052; 3.317563; 3.316705; 3.315597; 3.314875; 3.314423; 3.314091; 3.313390; 3.312524; 3.311232; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3396.2; 11:22:25; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.356144; 3.359387; 3.363238; 3.366533; 3.369782; 3.373003; 3.375788; 3.380523; 3.385718; 3.390465; 3.394888; 3.397836; 3.400126; 3.402176; 3.403695; 3.404536; 3.404545; 3.403348; 3.400707; 3.397735; 3.394608; 3.390533; 3.385087; 3.378649; 3.372869; 3.367592; 3.362053; 3.357701; 3.354324; 3.350635; 3.346489; 3.343455; 3.341445; 3.339854; 3.338842; 3.338551; 3.339069; 3.341009; 3.343789; 3.347437; 3.351622; 3.355343; 3.358528; 3.361045; 3.363890; 3.366708; 3.368118; 3.369398; 3.370532; 3.370934; 3.370600; 3.369892; 3.368924; 3.367478; 3.365245; 3.362182; 3.358757; 3.354733; 3.350183; 3.346993; 3.345121; 3.343878; 3.342709; 3.342009; 3.342124; 3.342607; 3.343070; 3.343061; 3.342896; 3.343061; 3.343847; 3.345430; 3.347309; 3.348944; 3.349036; 3.348161; 3.347129; 3.345968; 3.344487; 3.342774; 3.341188; 3.340340; 3.340156; 3.340355; 3.341165; 3.342371; 3.343721; 3.345769; 3.348932; 3.352496; 3.356346; 3.360728; 3.363711; 3.363305; 3.362575; 3.361303; 3.359845; 3.357902; 3.355955; 3.353411; 3.350365; 3.348284; 3.345883; 3.342620; 3.338580; 3.333599; 3.326066; 3.322465; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3398.3; 11:22:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.328310; 3.327001; 3.324362; 3.322698; 3.321169; 3.319845; 3.318902; 3.317933; 3.316135; 3.314237; 3.311996; 3.310101; 3.308620; 3.306678; 3.304928; 3.303101; 3.302245; 3.301914; 3.301231; 3.300884; 3.300767; 3.300690; 3.300727; 3.300631; 3.300533; 3.300292; 3.299225; 3.298092; 3.297856; 3.298015; 3.298781; 3.299936; 3.301705; 3.304415; 3.307622; 3.310955; 3.314865; 3.319209; 3.323719; 3.329631; 3.336930; 3.344191; 3.352513; 3.359945; 3.365815; 3.371873; 3.376446; 3.379928; 3.382559; 3.384124; 3.385122; 3.385237; 3.384299; 3.382586; 3.380819; 3.378926; 3.375304; 3.371173; 3.367635; 3.363883; 3.360134; 3.356530; 3.353797; 3.351086; 3.347609; 3.344491; 3.341861; 3.338597; 3.334865; 3.330857; 3.327101; 3.324112; 3.321638; 3.319744; 3.318067; 3.317199; 3.317285; 3.317969; 3.320049; 3.323428; 3.327653; 3.331304; 3.335425; 3.340888; 3.346733; 3.353025; 3.359604; 3.365445; 3.371111; 3.376881; 3.380627; 3.383602; 3.386527; 3.388320; 3.388991; 3.389223; 3.389509; 3.389423; 3.389135; 3.388540; 3.387475; 3.386295; 3.385091; 3.383736; 3.382554; 3.381851; 3.381174; 3.380564; 3.380805; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3400.3; 11:22:41; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.328607; 3.328653; 3.329313; 3.330294; 3.331672; 3.333930; 3.336575; 3.339256; 3.341673; 3.344754; 3.349776; 3.355328; 3.360860; 3.366639; 3.372789; 3.378744; 3.383321; 3.387289; 3.391928; 3.396588; 3.399817; 3.401545; 3.402157; 3.401457; 3.399690; 3.397362; 3.394677; 3.391598; 3.388399; 3.384336; 3.380331; 3.376820; 3.373062; 3.368193; 3.362283; 3.358003; 3.355226; 3.353195; 3.352259; 3.351890; 3.351657; 3.351332; 3.351038; 3.350584; 3.350300; 3.350250; 3.350657; 3.351389; 3.352024; 3.352065; 3.351850; 3.351273; 3.349879; 3.348076; 3.346371; 3.344679; 3.343032; 3.341448; 3.339745; 3.337750; 3.335495; 3.332997; 3.330675; 3.328493; 3.326415; 3.323994; 3.321442; 3.319304; 3.317811; 3.316031; 3.314096; 3.312745; 3.311739; 3.311169; 3.310784; 3.310277; 3.310129; 3.310718; 3.311728; 3.313310; 3.314899; 3.316446; 3.317765; 3.318736; 3.319942; 3.321515; 3.323253; 3.324641; 3.325647; 3.327230; 3.329050; 3.330277; 3.331225; 3.332908; 3.337890; 3.343134; 3.347802; 3.352784; 3.358524; 3.363900; 3.368919; 3.372994; 3.375932; 3.379413; 3.382721; 3.386446; 3.391689; 3.398241; 3.401023; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3402.3; 11:22:49; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.372869; 3.372459; 3.370568; 3.369289; 3.368239; 3.367164; 3.366131; 3.365121; 3.363836; 3.362520; 3.360843; 3.358756; 3.356248; 3.353816; 3.351923; 3.350469; 3.349135; 3.348623; 3.348215; 3.347989; 3.347986; 3.348130; 3.348640; 3.350246; 3.352369; 3.354594; 3.357482; 3.360778; 3.363557; 3.366233; 3.368428; 3.370397; 3.372647; 3.374764; 3.376722; 3.378281; 3.379399; 3.379356; 3.378044; 3.375843; 3.373330; 3.371055; 3.368938; 3.366230; 3.362956; 3.360421; 3.357883; 3.354833; 3.351983; 3.349049; 3.345980; 3.343898; 3.343410; 3.344249; 3.345614; 3.347202; 3.348643; 3.349729; 3.351382; 3.353708; 3.356230; 3.358872; 3.361430; 3.364388; 3.367151; 3.369238; 3.370440; 3.370294; 3.369697; 3.368685; 3.367416; 3.366271; 3.364974; 3.363476; 3.361781; 3.359744; 3.358070; 3.356978; 3.356027; 3.355283; 3.354908; 3.354837; 3.354907; 3.354972; 3.355622; 3.356507; 3.357489; 3.358986; 3.360626; 3.361632; 3.362026; 3.361726; 3.360863; 3.360018; 3.359442; 3.358954; 3.358551; 3.358745; 3.359110; 3.359273; 3.359673; 3.360270; 3.360143; 3.359479; 3.359025; 3.359095; 3.359877; 3.361170; 3.362881; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3404.4; 11:22:57; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.436873; 3.432929; 3.429738; 3.427509; 3.425480; 3.423881; 3.422299; 3.419489; 3.414598; 3.410247; 3.406698; 3.403720; 3.402082; 3.401821; 3.402374; 3.403396; 3.404006; 3.404737; 3.406007; 3.407508; 3.408723; 3.409764; 3.411172; 3.412839; 3.414524; 3.415471; 3.415779; 3.415484; 3.414401; 3.412808; 3.410816; 3.408492; 3.405187; 3.400376; 3.394742; 3.389652; 3.384957; 3.379668; 3.375040; 3.370415; 3.365225; 3.360498; 3.355754; 3.351158; 3.346398; 3.340543; 3.335869; 3.331636; 3.327599; 3.324842; 3.321688; 3.317928; 3.313899; 3.308805; 3.304170; 3.299728; 3.294618; 3.288724; 3.283610; 3.279329; 3.275222; 3.272039; 3.269084; 3.265771; 3.262851; 3.260820; 3.259799; 3.259477; 3.259232; 3.259046; 3.259016; 3.259793; 3.261711; 3.264266; 3.267185; 3.270344; 3.273046; 3.276236; 3.279356; 3.281730; 3.283887; 3.286014; 3.288574; 3.291498; 3.294425; 3.297608; 3.300806; 3.303232; 3.304946; 3.306472; 3.308400; 3.310180; 3.311751; 3.314465; 3.320689; 3.327714; 3.333707; 3.339666; 3.346245; 3.352595; 3.358676; 3.363394; 3.366592; 3.370706; 3.374702; 3.379369; 3.385795; 3.393842; 3.397291; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3406.4; 11:23:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.421572; 3.421572; 3.416351; 3.409366; 3.403538; 3.399035; 3.395055; 3.391065; 3.386476; 3.381235; 3.376032; 3.369862; 3.363576; 3.358136; 3.352977; 3.347006; 3.341702; 3.340245; 3.339113; 3.338426; 3.338176; 3.338280; 3.338791; 3.339700; 3.340769; 3.341690; 3.343031; 3.345127; 3.347183; 3.348714; 3.350436; 3.352873; 3.356076; 3.359384; 3.362190; 3.364794; 3.367449; 3.369186; 3.371101; 3.373504; 3.375570; 3.377167; 3.378545; 3.380100; 3.382155; 3.383998; 3.384973; 3.385544; 3.385874; 3.386153; 3.386665; 3.387547; 3.388831; 3.390149; 3.391664; 3.393615; 3.396472; 3.399830; 3.403985; 3.408492; 3.413015; 3.417956; 3.423052; 3.429274; 3.435531; 3.440981; 3.446392; 3.451829; 3.456195; 3.459352; 3.461090; 3.461512; 3.460660; 3.458436; 3.454653; 3.450257; 3.446230; 3.441774; 3.435662; 3.429606; 3.422895; 3.414669; 3.406791; 3.399633; 3.394176; 3.389775; 3.385537; 3.382600; 3.380656; 3.379001; 3.376811; 3.374536; 3.372600; 3.370867; 3.369842; 3.369553; 3.369631; 3.369556; 3.369131; 3.368137; 3.366785; 3.365900; 3.364963; 3.363497; 3.361958; 3.361160; 3.360620; 3.360397; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
