Roll Number; 0
Recipe Name; FP 4598_280 GSM
Start Time; 2018-01-16; 11:21:12
File Name; D:\Mahlo\TR\180116112112FP 4598_280 GSM0_THICKNESS2.txt

3385.3; 11:21:45; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.750341; 0.750717; 0.752082; 0.753840; 0.751934; 0.752666; 0.752254; 0.752101; 0.752730; 0.751128; 0.749408; 0.750690; 0.751507; 0.751682; 0.752177; 0.753914; 0.754233; 0.752385; 0.751266; 0.752448; 0.752585; 0.754523; 0.757089; 0.760610; 0.764983; 0.768026; 0.770885; 0.774044; 0.776210; 0.777227; 0.777636; 0.777735; 0.777263; 0.777059; 0.778001; 0.779352; 0.779520; 0.780286; 0.779677; 0.779089; 0.778893; 0.775931; 0.774835; 0.774946; 0.776079; 0.777544; 0.780502; 0.785381; 0.788373; 0.789347; 0.789401; 0.789532; 0.790700; 0.792208; 0.793213; 0.793892; 0.793053; 0.790262; 0.788437; 0.786831; 0.785307; 0.783787; 0.782593; 0.780703; 0.781273; 0.782315; 0.780527; 0.777163; 0.779268; 0.779394; 0.780005; 0.782478; 0.784996; 0.785403; 0.783050; 0.781289; 0.781863; 0.783217; 0.784973; 0.785650; 0.787632; 0.790098; 0.789735; 0.788095; 0.788312; 0.787972; 0.786751; 0.786443; 0.786792; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3388.0; 11:21:53; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.777766; 0.777635; 0.777300; 0.776458; 0.775838; 0.776379; 0.777161; 0.777213; 0.777395; 0.776154; 0.773601; 0.773106; 0.776495; 0.776964; 0.774898; 0.773229; 0.773094; 0.773739; 0.775142; 0.773989; 0.772272; 0.771853; 0.773724; 0.774836; 0.776062; 0.777655; 0.777001; 0.775823; 0.776169; 0.776476; 0.775840; 0.775565; 0.775289; 0.774667; 0.775446; 0.775166; 0.774453; 0.774213; 0.774778; 0.776754; 0.779215; 0.779928; 0.778754; 0.777186; 0.776907; 0.778222; 0.777307; 0.776415; 0.776228; 0.775861; 0.775449; 0.773404; 0.771399; 0.768467; 0.765373; 0.765137; 0.764637; 0.763756; 0.764718; 0.766164; 0.767368; 0.769321; 0.768668; 0.768780; 0.769519; 0.770744; 0.774429; 0.778823; 0.780789; 0.780315; 0.779383; 0.779401; 0.778523; 0.778331; 0.776506; 0.774821; 0.773773; 0.774234; 0.774517; 0.774515; 0.774373; 0.774716; 0.774804; 0.776112; 0.775799; 0.776622; 0.778346; 0.779489; 0.780309; 0.783902; 0.786579; 0.788546; 0.790395; 0.791812; 0.794199; 0.794185; 0.792090; 0.791229; 0.792534; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3390.1; 11:22:01; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.759950; 0.761820; 0.759407; 0.758107; 0.757578; 0.756127; 0.756448; 0.757857; 0.758428; 0.758768; 0.760815; 0.763064; 0.764538; 0.761879; 0.757357; 0.754714; 0.753515; 0.752141; 0.751438; 0.751723; 0.753233; 0.753505; 0.751250; 0.747957; 0.746750; 0.746218; 0.744247; 0.740900; 0.741342; 0.742967; 0.743741; 0.744315; 0.746965; 0.749553; 0.750776; 0.750714; 0.751220; 0.752753; 0.754528; 0.756178; 0.757123; 0.756326; 0.759174; 0.759839; 0.759906; 0.759829; 0.759364; 0.760769; 0.761147; 0.762695; 0.762791; 0.761832; 0.761814; 0.765549; 0.768560; 0.775290; 0.781496; 0.785267; 0.788799; 0.790935; 0.793738; 0.793756; 0.793420; 0.795763; 0.796403; 0.798155; 0.800252; 0.800663; 0.797796; 0.795514; 0.792794; 0.788520; 0.784377; 0.781474; 0.780856; 0.780978; 0.781081; 0.778493; 0.775858; 0.777710; 0.779913; 0.780508; 0.780906; 0.780678; 0.778814; 0.779439; 0.780210; 0.782227; 0.784841; 0.783662; 0.782220; 0.784849; 0.786231; 0.784038; 0.780683; 0.778207; 0.778441; 0.778387; 0.778937; 0.780319; 0.780362; 0.779619; 0.777894; 0.777036; 0.777717; 0.779712; 0.778188; 0.778350; 0.781047; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3392.1; 11:22:09; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.776271; 0.773458; 0.772561; 0.770911; 0.768532; 0.765938; 0.762939; 0.761958; 0.759799; 0.755125; 0.750955; 0.748622; 0.748597; 0.747611; 0.749433; 0.751527; 0.751132; 0.750488; 0.750527; 0.751696; 0.754246; 0.757660; 0.760825; 0.764563; 0.768426; 0.770167; 0.771454; 0.772779; 0.774238; 0.773479; 0.773905; 0.774610; 0.773599; 0.772593; 0.774075; 0.774690; 0.775130; 0.775533; 0.774940; 0.773784; 0.770768; 0.767437; 0.764410; 0.760605; 0.758858; 0.757331; 0.757749; 0.760412; 0.762414; 0.760630; 0.758560; 0.757442; 0.757698; 0.759324; 0.762102; 0.768621; 0.770718; 0.772083; 0.774331; 0.776080; 0.776356; 0.776326; 0.775982; 0.775557; 0.775483; 0.775089; 0.774297; 0.773903; 0.774130; 0.772652; 0.767880; 0.767965; 0.769348; 0.770852; 0.772022; 0.773475; 0.774573; 0.775581; 0.777238; 0.779881; 0.782861; 0.785217; 0.784748; 0.782538; 0.784719; 0.788003; 0.788703; 0.789525; 0.788830; 0.789839; 0.791689; 0.793045; 0.792643; 0.794298; 0.798241; 0.798961; 0.798424; 0.799151; 0.801450; 0.800392; 0.798576; 0.797601; 0.798664; 0.799694; 0.798526; 0.797829; 0.798078; 0.799026; 0.796680; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3394.2; 11:22:17; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.769607; 0.769684; 0.767729; 0.765111; 0.763227; 0.761244; 0.759636; 0.760892; 0.761182; 0.760962; 0.759849; 0.760416; 0.759180; 0.757739; 0.756043; 0.753524; 0.748838; 0.748206; 0.749539; 0.749129; 0.747570; 0.749768; 0.750012; 0.750992; 0.754467; 0.758514; 0.760909; 0.763394; 0.763755; 0.763587; 0.764737; 0.767544; 0.770736; 0.771108; 0.774139; 0.776400; 0.775241; 0.775305; 0.775766; 0.774790; 0.772932; 0.770607; 0.769980; 0.771435; 0.771476; 0.772078; 0.772952; 0.771202; 0.770789; 0.771128; 0.771782; 0.772511; 0.773051; 0.773492; 0.775089; 0.778560; 0.782344; 0.783816; 0.781698; 0.783593; 0.783776; 0.782355; 0.781912; 0.783232; 0.785215; 0.787366; 0.786459; 0.781490; 0.779437; 0.776502; 0.774641; 0.773910; 0.774810; 0.776128; 0.774045; 0.777413; 0.780454; 0.780243; 0.777931; 0.776936; 0.775111; 0.777263; 0.778510; 0.778715; 0.779876; 0.779398; 0.778314; 0.780074; 0.783353; 0.786749; 0.786229; 0.785122; 0.786296; 0.788555; 0.790006; 0.791690; 0.793781; 0.794406; 0.793853; 0.793189; 0.792482; 0.790128; 0.786268; 0.782900; 0.780285; 0.779407; 0.781366; 0.780849; 0.776738; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3396.2; 11:22:25; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.762873; 0.762394; 0.759417; 0.759436; 0.758825; 0.758349; 0.757555; 0.757152; 0.756278; 0.755118; 0.756228; 0.756153; 0.756143; 0.757819; 0.759965; 0.758837; 0.759965; 0.762101; 0.764435; 0.765336; 0.763465; 0.763674; 0.763519; 0.762849; 0.761194; 0.757651; 0.755460; 0.754972; 0.754934; 0.755234; 0.756076; 0.757959; 0.757308; 0.756504; 0.758399; 0.761398; 0.761006; 0.761950; 0.762862; 0.764660; 0.768220; 0.770438; 0.769968; 0.767870; 0.766017; 0.764686; 0.762918; 0.764382; 0.764227; 0.763129; 0.762652; 0.762478; 0.762911; 0.765045; 0.766908; 0.767422; 0.767100; 0.768486; 0.772134; 0.773322; 0.772647; 0.770633; 0.769866; 0.770268; 0.771015; 0.771606; 0.771389; 0.770206; 0.768702; 0.767656; 0.767816; 0.766791; 0.766050; 0.765584; 0.765112; 0.766967; 0.766982; 0.767403; 0.769188; 0.771005; 0.773213; 0.773854; 0.774473; 0.776668; 0.779121; 0.779455; 0.777940; 0.776637; 0.777217; 0.779672; 0.781860; 0.784942; 0.785098; 0.784405; 0.784247; 0.783503; 0.781085; 0.778590; 0.774825; 0.772698; 0.774417; 0.777536; 0.778490; 0.777982; 0.776741; 0.774634; 0.770861; 0.769437; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3398.3; 11:22:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.765783; 0.768000; 0.769387; 0.768320; 0.765796; 0.760946; 0.759322; 0.759883; 0.760744; 0.761701; 0.757276; 0.754647; 0.754662; 0.753087; 0.752121; 0.750954; 0.748828; 0.748499; 0.749878; 0.750627; 0.754921; 0.753534; 0.752797; 0.755069; 0.753759; 0.753207; 0.751054; 0.750666; 0.752294; 0.750680; 0.746860; 0.745856; 0.745271; 0.744995; 0.746621; 0.747689; 0.751988; 0.751730; 0.751040; 0.753753; 0.756531; 0.757792; 0.758488; 0.758975; 0.761714; 0.766493; 0.768507; 0.769021; 0.766479; 0.764049; 0.764526; 0.764899; 0.764918; 0.765995; 0.767227; 0.769605; 0.774187; 0.776304; 0.777636; 0.778349; 0.777248; 0.775088; 0.775300; 0.778410; 0.778696; 0.776567; 0.774777; 0.775733; 0.776980; 0.775848; 0.772033; 0.768670; 0.769077; 0.769495; 0.770914; 0.772529; 0.774149; 0.775320; 0.776788; 0.779967; 0.783202; 0.784977; 0.786034; 0.786724; 0.788384; 0.790660; 0.792268; 0.792793; 0.792755; 0.792035; 0.791473; 0.791180; 0.791316; 0.790123; 0.787381; 0.786379; 0.786303; 0.786323; 0.785976; 0.785567; 0.784739; 0.782949; 0.781012; 0.779508; 0.779073; 0.780186; 0.780206; 0.780683; 0.782289; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3400.3; 11:22:41; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.743639; 0.743431; 0.743065; 0.743128; 0.744499; 0.746303; 0.747872; 0.743962; 0.739764; 0.737081; 0.739144; 0.742405; 0.744457; 0.744638; 0.744354; 0.744438; 0.744167; 0.745264; 0.744451; 0.743010; 0.743043; 0.742176; 0.747031; 0.751599; 0.751968; 0.749533; 0.747734; 0.747430; 0.749978; 0.752405; 0.753040; 0.751379; 0.749681; 0.749016; 0.747286; 0.747127; 0.748585; 0.750314; 0.750889; 0.752978; 0.754262; 0.754927; 0.753897; 0.750085; 0.748979; 0.750531; 0.752612; 0.754614; 0.757016; 0.758916; 0.760492; 0.761923; 0.762794; 0.762967; 0.763572; 0.764451; 0.765743; 0.767783; 0.769045; 0.768450; 0.768741; 0.770149; 0.771860; 0.773066; 0.772567; 0.773668; 0.771307; 0.770537; 0.771449; 0.771082; 0.768400; 0.766596; 0.767518; 0.769445; 0.769470; 0.770250; 0.772889; 0.772061; 0.772800; 0.774152; 0.772793; 0.775553; 0.776345; 0.777580; 0.779983; 0.782028; 0.783215; 0.781946; 0.782113; 0.782984; 0.783139; 0.783773; 0.787255; 0.786994; 0.788117; 0.790220; 0.790990; 0.790561; 0.790427; 0.788440; 0.787866; 0.788653; 0.789860; 0.791950; 0.793135; 0.793098; 0.790556; 0.787780; 0.786477; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3402.3; 11:22:49; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.746190; 0.743009; 0.741362; 0.739120; 0.736666; 0.733908; 0.732120; 0.731937; 0.732081; 0.731737; 0.731581; 0.732183; 0.732626; 0.732830; 0.732848; 0.734181; 0.739995; 0.743069; 0.747478; 0.751807; 0.754475; 0.755994; 0.758450; 0.757426; 0.757484; 0.758844; 0.760986; 0.763166; 0.765831; 0.765069; 0.763153; 0.761145; 0.761007; 0.760003; 0.761318; 0.763873; 0.765805; 0.766727; 0.768925; 0.768712; 0.766650; 0.765066; 0.764033; 0.761084; 0.758524; 0.758095; 0.758199; 0.757022; 0.754458; 0.751572; 0.748933; 0.746694; 0.745722; 0.746320; 0.747041; 0.748703; 0.748547; 0.750101; 0.753797; 0.757477; 0.759269; 0.761107; 0.763922; 0.769095; 0.772143; 0.773411; 0.774514; 0.774480; 0.774726; 0.775015; 0.775506; 0.778353; 0.778920; 0.777985; 0.778111; 0.775829; 0.774396; 0.772514; 0.772226; 0.772406; 0.772195; 0.772844; 0.772729; 0.772418; 0.772508; 0.771978; 0.771487; 0.771293; 0.769904; 0.769006; 0.769089; 0.768041; 0.766735; 0.766328; 0.766796; 0.767245; 0.767178; 0.769253; 0.771486; 0.773535; 0.773586; 0.771173; 0.771733; 0.772886; 0.773866; 0.774919; 0.777113; 0.778911; 0.778528; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3404.4; 11:22:57; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.745590; 0.746016; 0.749622; 0.750416; 0.751397; 0.750656; 0.750684; 0.750239; 0.749112; 0.749173; 0.747663; 0.745661; 0.745233; 0.745969; 0.745303; 0.746632; 0.743512; 0.740710; 0.738587; 0.737216; 0.737510; 0.736957; 0.737086; 0.737890; 0.739306; 0.740518; 0.743063; 0.745538; 0.746588; 0.745673; 0.746075; 0.747437; 0.750470; 0.753917; 0.756074; 0.757302; 0.759123; 0.757190; 0.755340; 0.754627; 0.754856; 0.752032; 0.750184; 0.751834; 0.752671; 0.750787; 0.748887; 0.746206; 0.742996; 0.742165; 0.743086; 0.745483; 0.751625; 0.754161; 0.757399; 0.761971; 0.767099; 0.768559; 0.770590; 0.771015; 0.773798; 0.778378; 0.782311; 0.788217; 0.790714; 0.791962; 0.791302; 0.789587; 0.792632; 0.792649; 0.793417; 0.794303; 0.794422; 0.793621; 0.795516; 0.793812; 0.791838; 0.789753; 0.787366; 0.787275; 0.786390; 0.786927; 0.788924; 0.788766; 0.787530; 0.784496; 0.780000; 0.776662; 0.775549; 0.776011; 0.779250; 0.782276; 0.785121; 0.786381; 0.786120; 0.784132; 0.781596; 0.779451; 0.777046; 0.775825; 0.777602; 0.781769; 0.783983; 0.784827; 0.784734; 0.783219; 0.780019; 0.776042; 0.772623; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3406.4; 11:23:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.757976; 0.756715; 0.755572; 0.757427; 0.759512; 0.759275; 0.757998; 0.757857; 0.757920; 0.756658; 0.754668; 0.754227; 0.754843; 0.754137; 0.753767; 0.754267; 0.754451; 0.752786; 0.751854; 0.751955; 0.752764; 0.752865; 0.751316; 0.752952; 0.754830; 0.755627; 0.754849; 0.751595; 0.751792; 0.753518; 0.753244; 0.752152; 0.753399; 0.750820; 0.749501; 0.749197; 0.750193; 0.751756; 0.749905; 0.744923; 0.742345; 0.743002; 0.745175; 0.746564; 0.746899; 0.746892; 0.747788; 0.750128; 0.752769; 0.755179; 0.757413; 0.759971; 0.762437; 0.764087; 0.768794; 0.771669; 0.774687; 0.778072; 0.779502; 0.780917; 0.786450; 0.787758; 0.786266; 0.786639; 0.784167; 0.783104; 0.781906; 0.779410; 0.777100; 0.776947; 0.774393; 0.769243; 0.767565; 0.767970; 0.766038; 0.764550; 0.766100; 0.766803; 0.765606; 0.765466; 0.764521; 0.763632; 0.766812; 0.770542; 0.773088; 0.776294; 0.779207; 0.779016; 0.779667; 0.781805; 0.782384; 0.780566; 0.780678; 0.781987; 0.783964; 0.787196; 0.788341; 0.788597; 0.787400; 0.785259; 0.782797; 0.783293; 0.783470; 0.782990; 0.781492; 0.780787; 0.783213; 0.783734; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
