Roll Number; 0
Recipe Name; FP 4598_280 GSM
Start Time; 2018-01-16; 11:21:12
File Name; D:\Mahlo\TR\180116112112FP 4598_280 GSM0_FMI2.txt

3385.3; 11:21:45; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 268.257886; 268.634081; 268.617392; 267.718464; 266.901523; 266.311735; 266.002715; 265.884250; 265.734166; 265.669763; 265.364766; 265.083641; 265.139073; 264.862806; 264.458269; 264.239073; 264.160365; 264.529496; 265.524983; 266.344756; 267.176509; 268.115610; 269.058436; 269.632041; 269.869268; 270.191610; 270.800531; 271.071047; 272.145152; 273.091853; 273.446232; 273.905158; 274.273753; 274.533421; 274.788499; 274.985552; 275.083512; 275.086701; 275.023103; 274.933159; 275.039941; 274.997890; 275.143653; 274.872512; 274.490178; 274.468929; 274.104655; 273.927808; 274.075449; 274.280161; 274.359852; 274.001300; 273.851454; 274.228275; 274.821013; 274.965048; 275.112391; 275.211632; 275.651485; 275.857657; 275.948018; 276.403606; 276.434958; 276.256889; 275.635928; 275.048971; 275.075018; 274.964303; 275.007308; 275.194436; 275.201499; 274.886012; 274.938256; 275.015563; 275.521308; 275.680959; 275.547594; 275.582939; 275.824368; 276.478261; 277.192146; 277.561665; 277.837127; 277.797848; 277.699351; 277.975708; 278.546453; 278.695434; 278.721511; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3388.0; 11:21:53; (); (); (); (); (); (); (); (); (); (); (); (); (); 276.217699; 276.140988; 276.003778; 276.166499; 275.963038; 275.872558; 276.032835; 275.845289; 276.043415; 276.165843; 276.179016; 276.615620; 277.042657; 276.949853; 277.077496; 277.276397; 277.555317; 277.465701; 277.163535; 277.250081; 277.121931; 276.920170; 277.286112; 277.848870; 278.298527; 278.281868; 278.288424; 278.272271; 278.249532; 277.831674; 277.303934; 276.878566; 276.796430; 277.223140; 277.492881; 277.770340; 277.982116; 277.857184; 277.393907; 276.814640; 276.541173; 276.287228; 276.295990; 276.748002; 277.107239; 277.794838; 278.060764; 278.167546; 277.930230; 277.520031; 277.272582; 277.119517; 276.983261; 276.846021; 276.748836; 277.058721; 277.283877; 276.941657; 276.394010; 276.143759; 275.807440; 276.008010; 275.797784; 275.966108; 276.507229; 276.837021; 276.703656; 276.319653; 276.447684; 276.124120; 275.655687; 275.420129; 275.898010; 276.219517; 276.323259; 276.065618; 275.559038; 275.339156; 275.069177; 274.466127; 274.161845; 273.974091; 273.667932; 273.523331; 273.402601; 273.206472; 273.004770; 272.522032; 271.860898; 271.662265; 271.746159; 271.815419; 271.747828; 271.496236; 271.432251; 271.227181; 271.578968; 271.829247; 271.795690; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3390.1; 11:22:01; (); (); (); (); (); (); (); (); (); (); (); (); (); 276.456565; 276.178300; 276.008993; 275.923103; 275.980949; 276.204973; 276.478082; 276.609510; 276.373416; 276.167095; 276.338935; 277.071863; 276.790380; 276.391000; 276.211828; 275.818050; 275.593579; 275.354087; 275.179654; 274.881959; 274.305940; 273.456901; 272.537440; 272.237808; 271.979481; 271.297097; 270.596504; 270.863354; 270.978093; 270.868748; 270.895898; 270.692348; 270.654529; 270.772338; 270.884961; 270.876348; 271.187514; 271.628797; 271.692485; 271.776617; 272.074848; 272.043586; 271.876156; 271.490008; 270.875067; 270.880282; 271.447122; 271.571547; 271.506339; 271.350384; 271.435291; 271.893710; 272.647828; 272.821009; 272.815526; 272.984326; 273.145944; 273.255616; 273.730159; 274.093956; 274.341494; 274.465561; 274.963081; 275.561243; 276.574492; 277.127743; 276.820153; 276.767701; 277.295262; 277.751535; 278.189778; 278.687954; 279.295295; 279.663384; 280.006856; 280.345947; 280.344784; 280.198902; 280.225217; 280.034512; 280.220449; 280.485749; 280.256420; 280.129641; 280.309916; 280.447751; 280.429125; 280.554891; 280.634344; 280.657470; 280.210465; 280.073553; 280.040354; 279.575288; 279.151410; 279.106528; 278.761506; 278.188586; 277.527064; 276.673317; 275.906205; 275.258273; 274.803102; 274.447083; 274.154782; 274.216354; 273.849487; 273.095489; 272.903442; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3392.1; 11:22:09; (); (); (); (); (); (); (); (); (); (); (); (); (); 273.455173; 274.011701; 274.238586; 274.119020; 274.173707; 274.213850; 274.571419; 275.081247; 275.294214; 275.984943; 276.215225; 276.903898; 277.333409; 277.166188; 277.414292; 277.324647; 277.433544; 277.733415; 277.609408; 277.456194; 277.090639; 276.328415; 275.986165; 276.221097; 276.210099; 275.710225; 274.856597; 274.217308; 274.146140; 273.916036; 273.957640; 273.893863; 273.792863; 274.029613; 274.384499; 275.027782; 275.530905; 275.337458; 275.138855; 275.130808; 275.654435; 276.042670; 275.833666; 275.610924; 275.497586; 275.408626; 275.325567; 275.857568; 276.221961; 276.255876; 275.781602; 275.219351; 274.855822; 274.380445; 274.231136; 273.740768; 273.606926; 274.187177; 274.802119; 275.008678; 274.996459; 275.190741; 275.125176; 274.962902; 275.574714; 276.680022; 277.356476; 277.800560; 278.412223; 279.047221; 279.951453; 280.699253; 281.178117; 281.469733; 281.275451; 280.542612; 280.041754; 279.994369; 279.885381; 279.117763; 278.272361; 277.491838; 276.791573; 276.034206; 275.572091; 275.167882; 274.622291; 273.955882; 273.773551; 274.423569; 274.637640; 274.405688; 274.181157; 274.321556; 274.645090; 275.015771; 275.376171; 275.834203; 276.249051; 276.041538; 276.104391; 276.333094; 276.390910; 276.201367; 276.043773; 276.495665; 276.811808; 276.825160; 276.456356; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3394.2; 11:22:17; (); (); (); (); (); (); (); (); (); (); (); (); (); 278.169692; 277.923137; 277.899027; 278.204590; 278.185189; 278.014064; 277.809709; 277.524352; 276.851833; 276.522338; 276.731163; 276.525825; 275.803238; 275.657117; 275.047243; 274.185061; 273.594946; 272.806376; 271.786153; 270.986289; 270.339221; 269.514024; 268.882215; 268.095553; 267.119467; 266.010106; 265.631348; 265.702546; 265.462428; 265.649736; 266.216844; 267.050713; 267.811269; 268.782377; 270.106584; 271.014065; 271.704346; 272.331417; 273.343652; 274.010599; 274.804652; 275.376230; 275.948912; 277.196556; 278.062522; 278.384238; 278.525233; 278.330475; 277.951300; 277.567655; 277.546734; 277.625114; 277.859360; 277.681738; 277.465165; 277.202010; 276.816040; 276.401639; 275.949597; 275.588363; 275.179029; 275.058508; 275.168359; 275.311410; 275.341392; 275.699407; 276.005030; 276.293069; 277.108312; 278.057575; 278.582275; 278.963327; 279.157430; 278.965473; 279.023886; 279.518872; 279.604256; 279.803008; 280.045301; 279.815704; 279.568076; 279.001355; 278.371513; 278.036118; 277.504116; 277.139693; 276.734054; 276.754737; 277.039349; 277.133614; 276.883662; 277.068555; 277.029246; 276.985675; 277.106196; 277.303219; 277.749598; 277.871221; 277.943879; 278.258920; 278.438240; 278.605342; 278.415591; 278.195262; 278.053671; 278.030515; 277.684689; 277.211696; 276.998609; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3396.2; 11:22:25; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 276.197076; 275.977552; 276.607215; 276.754826; 276.512802; 276.274294; 276.189327; 276.089430; 275.725216; 275.387019; 274.900496; 274.274439; 273.528695; 273.043334; 272.783101; 272.589982; 272.091419; 271.207571; 270.381302; 269.872189; 269.776016; 269.782245; 269.438207; 268.966109; 269.121617; 269.679695; 270.163208; 270.339549; 270.615160; 270.880669; 271.278977; 271.620899; 272.110134; 272.973418; 273.509264; 273.753405; 274.074942; 275.111645; 275.947243; 276.648015; 276.709050; 276.476949; 276.063293; 275.739074; 275.774121; 275.498569; 275.221348; 275.039524; 275.037527; 274.817199; 274.274796; 273.854256; 273.378372; 272.881687; 272.161037; 271.907151; 272.116721; 272.369951; 272.024304; 271.991432; 272.553116; 273.253649; 273.389727; 273.615628; 274.147034; 274.430960; 274.525106; 274.439454; 274.326265; 274.799913; 275.375128; 276.104420; 276.711076; 277.183563; 276.537836; 275.520921; 274.897218; 274.895370; 274.616152; 274.133623; 273.838550; 273.835629; 274.330497; 274.674356; 274.750859; 274.828643; 274.507046; 274.497509; 274.934083; 275.793046; 276.214451; 276.100457; 276.091516; 276.256055; 276.216060; 275.598973; 275.112897; 274.726003; 274.522066; 273.984700; 273.124993; 272.723615; 272.297829; 271.825045; 271.503508; 271.319866; 271.269172; 270.420849; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3398.3; 11:22:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 278.833538; 278.535426; 278.184384; 278.285772; 278.290480; 278.248668; 278.542697; 278.679311; 279.011846; 278.936118; 278.369069; 278.468758; 278.693616; 278.714359; 278.888971; 278.887659; 279.069990; 278.912038; 278.596640; 278.344631; 278.350234; 278.539419; 278.938681; 279.190987; 279.385805; 279.933840; 279.412568; 278.723091; 278.240502; 277.722359; 277.029842; 276.323229; 275.570214; 274.793148; 274.457157; 273.484588; 272.422254; 271.661252; 271.286935; 270.861357; 270.179093; 270.295054; 270.636588; 270.882457; 271.064401; 271.606266; 272.352338; 272.962958; 273.169011; 273.453265; 273.817807; 273.859620; 273.688018; 273.591489; 274.040073; 274.570078; 274.989754; 275.064945; 274.992585; 275.389671; 275.628209; 276.035488; 276.804149; 277.257651; 277.548820; 278.007269; 278.136879; 277.999580; 278.213412; 278.084695; 277.912170; 277.714431; 277.405262; 276.875198; 275.896311; 275.251001; 274.659663; 273.867697; 273.100793; 272.585690; 272.061229; 271.845728; 271.813691; 271.384686; 270.830423; 270.386159; 270.232797; 270.254821; 270.899534; 271.558404; 271.544039; 271.647573; 272.222459; 272.514343; 272.094131; 271.839201; 272.148401; 272.135168; 271.998435; 271.906823; 271.651864; 271.586299; 271.670163; 271.193802; 271.043658; 270.952880; 270.512342; 270.120800; 270.311236; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3400.3; 11:22:41; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 272.571445; 272.741944; 272.919387; 273.244292; 273.834705; 274.429321; 274.741054; 275.169015; 275.417686; 275.675416; 276.110798; 276.616752; 276.597291; 276.439816; 276.388586; 276.447326; 276.069641; 275.787324; 275.435358; 274.797797; 273.785055; 272.943258; 272.526622; 272.038221; 271.323860; 270.658761; 270.442784; 270.376563; 269.990951; 269.612342; 269.590139; 270.079285; 269.920498; 269.370228; 269.270301; 269.836754; 270.762891; 271.528780; 272.549331; 273.177087; 273.457795; 273.388445; 273.578376; 273.797363; 274.010807; 274.211824; 274.332851; 275.055468; 275.400430; 275.333136; 275.007099; 274.749458; 274.234027; 273.882508; 273.831874; 273.782492; 273.853570; 273.925781; 274.369955; 274.460912; 274.306029; 274.154246; 274.315923; 274.565756; 275.100678; 275.199711; 275.149494; 275.622696; 275.807619; 276.017994; 276.017517; 275.946438; 276.178479; 276.332676; 276.568145; 276.812285; 276.898295; 277.334660; 277.625591; 277.905941; 278.284431; 278.278083; 278.195739; 277.881980; 278.047621; 278.179705; 277.937889; 277.581871; 277.189523; 277.239650; 277.447522; 277.252048; 276.722431; 276.591688; 276.261300; 276.220709; 276.163161; 276.501089; 276.853502; 276.544333; 276.060700; 275.781363; 275.794327; 275.876582; 275.538832; 275.380105; 275.321186; 275.430322; 275.356978; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3402.3; 11:22:49; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 274.066716; 274.054974; 273.921639; 273.936212; 274.046153; 274.154663; 274.273723; 274.471313; 274.693817; 274.805158; 275.076300; 275.551379; 275.171816; 274.895668; 274.625272; 274.639815; 274.509877; 274.327070; 274.098873; 274.006069; 273.660600; 273.086190; 272.550613; 272.077560; 271.862596; 271.790832; 271.783948; 271.593273; 271.665096; 272.113740; 272.029281; 272.019863; 271.945745; 271.988243; 272.112727; 272.764266; 273.875624; 274.504334; 274.672687; 274.746418; 274.587154; 274.477363; 274.936378; 275.371969; 275.315255; 275.383949; 275.536358; 275.753438; 275.656372; 275.426477; 274.735898; 273.695439; 273.309588; 273.059309; 272.958398; 273.113102; 273.056835; 272.548258; 272.229314; 271.952152; 272.066176; 272.320896; 272.379905; 272.785306; 273.262411; 273.656815; 274.029821; 274.157971; 274.557769; 274.572492; 274.498969; 274.642467; 274.609268; 274.400741; 274.200082; 273.726523; 273.476273; 273.694873; 273.692906; 273.631722; 273.638129; 273.988843; 273.906916; 273.424089; 273.523957; 273.270935; 272.766382; 272.898287; 273.386121; 273.985565; 274.441540; 274.660349; 274.492681; 274.265468; 274.187446; 274.013788; 273.537606; 273.343235; 273.248255; 272.830993; 272.644103; 273.010045; 273.186356; 273.034722; 272.709638; 272.351712; 271.950841; 271.559328; 270.925730; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3404.4; 11:22:57; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 268.585265; 267.794013; 267.391413; 267.463148; 267.442197; 267.432749; 267.325670; 266.816169; 266.339600; 265.953988; 266.254038; 266.779214; 267.772555; 268.863797; 269.539386; 270.125329; 269.974887; 269.599050; 269.896775; 270.100743; 270.178258; 270.367771; 270.823866; 271.339715; 271.484584; 270.911753; 270.373493; 270.102471; 269.608051; 269.271195; 268.898964; 269.125372; 268.981218; 268.491775; 268.467724; 268.660069; 269.150972; 269.516259; 269.422591; 269.397259; 269.633740; 269.759744; 270.131558; 270.795822; 270.812899; 271.038741; 271.831572; 272.705227; 273.602188; 274.515003; 275.267392; 275.326282; 275.377572; 275.253147; 275.348812; 275.403053; 275.847673; 275.708228; 275.772512; 276.728541; 277.882546; 278.280735; 278.564602; 278.605670; 278.529257; 278.910905; 279.605120; 280.443698; 281.147271; 281.492472; 281.462818; 281.686574; 282.470107; 282.967776; 283.096790; 282.938361; 282.750338; 282.594562; 282.508165; 282.089621; 281.679571; 281.416774; 281.254798; 281.538814; 281.714350; 281.625658; 281.015992; 280.529648; 279.787660; 279.104799; 279.152244; 279.010981; 278.832376; 278.648674; 278.686643; 278.663665; 278.494060; 278.331816; 278.275281; 277.822763; 277.747869; 277.103722; 276.929587; 277.120262; 277.116001; 276.858836; 276.930004; 276.899308; 276.932716; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3406.4; 11:23:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 274.364412; 274.361342; 274.304211; 274.648547; 274.834543; 274.957806; 275.074184; 275.337607; 275.235742; 275.311321; 275.611192; 275.630981; 275.368690; 275.138795; 275.384456; 275.744379; 275.835931; 275.690347; 275.249332; 274.953663; 274.704963; 274.134427; 274.144679; 274.033606; 274.032325; 273.528188; 273.138911; 273.313999; 273.419887; 272.794694; 272.319138; 272.185177; 271.883994; 271.700263; 271.691889; 271.867156; 271.954715; 271.435350; 271.381885; 271.502703; 271.713495; 271.559685; 271.020055; 270.830601; 271.140575; 271.484077; 271.510959; 271.607876; 271.303773; 271.027625; 270.724982; 270.088702; 269.800752; 269.579500; 268.526345; 267.787576; 267.076612; 266.397387; 265.780717; 265.445083; 265.276670; 265.113711; 264.761120; 264.533639; 264.297128; 264.232606; 264.751226; 265.441507; 266.219795; 267.159432; 267.800897; 268.772840; 269.660205; 270.154059; 270.231128; 270.353377; 270.942807; 271.673888; 272.340477; 272.909820; 273.205787; 273.179561; 273.042321; 272.584289; 272.368371; 272.317708; 272.097915; 271.767795; 272.108465; 272.948802; 273.213089; 273.355395; 273.580939; 273.339897; 273.046017; 273.129731; 273.401856; 273.830265; 274.070859; 274.300665; 274.587125; 274.945736; 275.507659; 275.338620; 274.813920; 274.439335; 274.082005; 274.374306; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
