Roll Number; 0
Recipe Name; FP 4598_280 GSM
Start Time; 2018-01-17; 08:08:51
File Name; D:\Mahlo\TR\180117080851FP 4598_280 GSM0_XMF2.txt

31.1; 08:09:12; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.224550; 0.244577; 10.641229; 14.118527; 14.118527; 14.118527; 17.696275; 
34.0; 08:09:24; (); 0.553701; 0.554091; 0.554437; 0.554788; 0.555056; 0.555394; 0.555649; 0.555783; 0.555847; 0.555766; 0.555632; 0.555307; 0.554968; 0.554510; 0.553994; 0.553430; 0.552810; 0.552198; 0.551584; 0.550830; 0.549925; 0.549308; 0.548600; 0.547764; 0.547102; 0.546403; 0.545885; 0.545437; 0.545161; 0.545093; 0.545108; 0.545172; 0.545162; 0.545095; 0.544921; 0.544737; 0.544409; 0.544171; 0.543903; 0.543667; 0.543412; 0.543160; 0.542836; 0.542605; 0.542044; 0.541428; 0.540483; 0.539705; 0.539051; 0.538214; 0.537305; 0.536685; 0.536093; 0.535732; 0.535423; 0.535104; 0.534776; 0.534566; 0.534196; 0.534215; 0.534123; 0.533992; 0.533672; 0.533583; 0.533630; 0.533938; 0.534049; 0.534268; 0.534331; 0.534259; 0.534055; 0.533842; 0.533453; 0.533000; 0.532463; 0.532201; 0.532044; 0.532054; 0.531928; 0.531878; 0.531745; 0.531468; 0.531084; 0.530851; 0.530786; 0.530847; 0.531118; 0.531529; 0.532186; 0.532793; 0.533608; 0.534539; 0.535496; 0.536161; 0.536763; 0.537341; 0.538074; 0.538572; 0.539124; 0.539464; 0.539689; 0.539749; 0.539909; 0.539791; 0.539637; 0.539122; 0.538665; 0.537996; 0.537242; 0.536557; 0.535866; 0.534764; 0.534124; 0.533386; 0.532884; 0.532197; 0.531690; 0.530901; 0.530217; 0.528975; 0.527905; 0.526968; 0.526450; 0.525885; 0.525898; 0.560706; 0.844675; 1.211018; 1.633228; 2.036873; 2.439625; 2.835725; 3.241903; 3.598054; 3.821549; 4.055953; 4.367024; 4.738001; 5.254048; 
36.9; 08:09:36; 0.548664; 0.549056; 0.549250; 0.549538; 0.549806; 0.550307; 0.550694; 0.551110; 0.551463; 0.551553; 0.551475; 0.551480; 0.551239; 0.550969; 0.550688; 0.550278; 0.549849; 0.549394; 0.548888; 0.548326; 0.547587; 0.546961; 0.546298; 0.545602; 0.544871; 0.544150; 0.543451; 0.542852; 0.542180; 0.541658; 0.541429; 0.541326; 0.541298; 0.541338; 0.541196; 0.540964; 0.540737; 0.540364; 0.540021; 0.539794; 0.539559; 0.539254; 0.538950; 0.538816; 0.538662; 0.538440; 0.537945; 0.537216; 0.536399; 0.535497; 0.534805; 0.534191; 0.533478; 0.532973; 0.532510; 0.532019; 0.531630; 0.531357; 0.530863; 0.530387; 0.529873; 0.529561; 0.529422; 0.529405; 0.529545; 0.529818; 0.530399; 0.531182; 0.531761; 0.532324; 0.532925; 0.533407; 0.533682; 0.533853; 0.533959; 0.534080; 0.534270; 0.534561; 0.534875; 0.535097; 0.535148; 0.534897; 0.534614; 0.534270; 0.534042; 0.533908; 0.533972; 0.534264; 0.534832; 0.535445; 0.536202; 0.537110; 0.538074; 0.538877; 0.539709; 0.540581; 0.541381; 0.542084; 0.542790; 0.543361; 0.543845; 0.544254; 0.544419; 0.544522; 0.544580; 0.544508; 0.544239; 0.543804; 0.543339; 0.542784; 0.542313; 0.541912; 0.541630; 0.541299; 0.540920; 0.540665; 0.540465; 0.540115; 0.539591; 0.538943; 0.538338; 0.537746; 0.537071; 0.536302; 0.535778; 0.535161; 0.534491; 0.533716; 0.533049; 0.532334; 0.531461; 0.530518; 0.529842; 0.529005; 0.528149; 0.527443; 0.527173; 0.526944; 0.526710; (); 
39.7; 08:09:49; (); 0.545675; 0.545901; 0.546115; 0.546274; 0.546543; 0.546760; 0.546962; 0.547098; 0.547099; 0.546965; 0.546649; 0.546135; 0.545533; 0.545054; 0.544683; 0.544264; 0.543794; 0.543254; 0.542746; 0.542124; 0.541508; 0.540919; 0.540245; 0.539643; 0.539108; 0.538568; 0.538012; 0.537570; 0.537427; 0.537337; 0.537334; 0.537456; 0.537495; 0.537353; 0.537043; 0.536743; 0.536371; 0.535935; 0.535705; 0.535370; 0.534961; 0.534766; 0.534337; 0.533687; 0.532959; 0.532087; 0.531059; 0.530193; 0.529210; 0.528425; 0.527796; 0.527148; 0.526695; 0.526222; 0.525914; 0.525654; 0.525476; 0.525246; 0.525063; 0.525025; 0.524983; 0.525021; 0.525143; 0.525511; 0.525975; 0.526657; 0.527365; 0.527969; 0.528404; 0.528963; 0.529342; 0.529420; 0.529476; 0.529617; 0.529707; 0.529822; 0.529995; 0.530151; 0.530147; 0.530002; 0.529550; 0.529288; 0.528894; 0.528718; 0.528554; 0.528714; 0.529146; 0.529682; 0.530518; 0.531426; 0.532365; 0.533562; 0.534672; 0.535766; 0.536752; 0.537657; 0.538677; 0.539508; 0.540179; 0.540749; 0.541156; 0.541570; 0.541699; 0.541616; 0.541294; 0.541034; 0.540586; 0.540117; 0.539491; 0.538969; 0.538461; 0.537939; 0.537454; 0.537133; 0.536840; 0.536386; 0.535930; 0.535426; 0.534775; 0.534189; 0.533294; 0.532890; 0.532391; 0.532107; 0.531859; 0.531938; 0.532053; 0.532056; 0.532693; 0.533088; 0.533555; 0.534495; 0.534807; 0.535647; 0.536053; 0.536842; 0.537484; 0.537952; 0.538638; 
42.6; 08:10:01; 0.541099; 0.541318; 0.541546; 0.541843; 0.541998; 0.542302; 0.542569; 0.542827; 0.543019; 0.543081; 0.543064; 0.542986; 0.542799; 0.542511; 0.542210; 0.541768; 0.541290; 0.540682; 0.540138; 0.539544; 0.539020; 0.538423; 0.537843; 0.537110; 0.536313; 0.535350; 0.534554; 0.533707; 0.532863; 0.532381; 0.532172; 0.532113; 0.532235; 0.532409; 0.532324; 0.532052; 0.531624; 0.531158; 0.530874; 0.530627; 0.530286; 0.529970; 0.529755; 0.529595; 0.529285; 0.528855; 0.528221; 0.527245; 0.526359; 0.525603; 0.524842; 0.524287; 0.523755; 0.523478; 0.523196; 0.523081; 0.522891; 0.522815; 0.522554; 0.522286; 0.522101; 0.521967; 0.521974; 0.522070; 0.522155; 0.522403; 0.522807; 0.523329; 0.523782; 0.524174; 0.524433; 0.524575; 0.524671; 0.524733; 0.524708; 0.524671; 0.524726; 0.524724; 0.524792; 0.524865; 0.524812; 0.524678; 0.524518; 0.524253; 0.524012; 0.523913; 0.523924; 0.524051; 0.524495; 0.525379; 0.526292; 0.527181; 0.528202; 0.529253; 0.530179; 0.531194; 0.531989; 0.532757; 0.533706; 0.534625; 0.535256; 0.535692; 0.536045; 0.536316; 0.536340; 0.536200; 0.535735; 0.535147; 0.534568; 0.533964; 0.533276; 0.532599; 0.531981; 0.531415; 0.530873; 0.530389; 0.529991; 0.529654; 0.529108; 0.528510; 0.527724; 0.527007; 0.526368; 0.525810; 0.525395; 0.524826; 0.524362; 0.523990; 0.523589; 0.523016; 0.522367; 0.521715; 0.521016; 0.520163; 0.519541; 0.519068; 0.518841; 0.518702; 0.518497; (); 
45.5; 08:10:13; (); 0.538549; 0.538914; 0.539163; 0.539531; 0.539886; 0.540182; 0.540293; 0.540390; 0.540450; 0.540370; 0.540156; 0.539868; 0.539535; 0.539130; 0.538651; 0.537926; 0.537164; 0.536517; 0.535952; 0.535277; 0.534593; 0.533903; 0.533104; 0.532200; 0.531524; 0.530827; 0.529889; 0.529192; 0.528713; 0.528569; 0.528540; 0.528729; 0.528670; 0.528351; 0.527952; 0.527651; 0.527380; 0.527173; 0.526969; 0.526701; 0.526429; 0.526335; 0.526107; 0.525854; 0.525413; 0.524782; 0.524089; 0.523357; 0.522554; 0.522001; 0.521428; 0.520991; 0.520493; 0.520114; 0.519836; 0.519674; 0.519523; 0.519292; 0.519196; 0.519184; 0.519190; 0.519211; 0.519358; 0.519694; 0.520006; 0.520471; 0.521032; 0.521610; 0.522081; 0.522395; 0.522557; 0.522609; 0.522674; 0.522613; 0.522554; 0.522581; 0.522682; 0.522843; 0.522879; 0.522861; 0.522678; 0.522498; 0.522296; 0.522156; 0.522084; 0.522228; 0.522424; 0.522891; 0.523633; 0.524609; 0.525562; 0.526810; 0.527799; 0.528796; 0.529360; 0.530101; 0.531027; 0.531883; 0.532589; 0.533312; 0.533721; 0.534138; 0.534371; 0.534427; 0.533989; 0.533343; 0.532716; 0.532058; 0.531331; 0.530738; 0.530118; 0.529496; 0.528727; 0.528156; 0.527754; 0.527425; 0.527059; 0.526521; 0.525945; 0.525494; 0.524922; 0.524596; 0.524083; 0.523789; 0.523505; 0.523404; 0.523523; 0.523816; 0.524347; 0.524816; 0.525150; 0.525689; 0.526009; 0.526448; 0.526652; 0.527040; 0.527625; 0.528286; 0.529120; 
48.3; 08:10:25; 0.533452; 0.533830; 0.534216; 0.534671; 0.535082; 0.535515; 0.536072; 0.536531; 0.536796; 0.537128; 0.537148; 0.536970; 0.536498; 0.536264; 0.536003; 0.535479; 0.534998; 0.534465; 0.533789; 0.533170; 0.532481; 0.531669; 0.530937; 0.530120; 0.529220; 0.528413; 0.527551; 0.526868; 0.526221; 0.525822; 0.525677; 0.525685; 0.525740; 0.525825; 0.525623; 0.525314; 0.524914; 0.524584; 0.524312; 0.524048; 0.523850; 0.523610; 0.523381; 0.523159; 0.522853; 0.522514; 0.521922; 0.521198; 0.520463; 0.519818; 0.519235; 0.518675; 0.518150; 0.517828; 0.517389; 0.517097; 0.516888; 0.516580; 0.516155; 0.515952; 0.515705; 0.515622; 0.515693; 0.515923; 0.516132; 0.516439; 0.516937; 0.517506; 0.517996; 0.518474; 0.518868; 0.519118; 0.519332; 0.519476; 0.519499; 0.519577; 0.519609; 0.519618; 0.519668; 0.519749; 0.519716; 0.519623; 0.519368; 0.519090; 0.518917; 0.518786; 0.518743; 0.518938; 0.519283; 0.519763; 0.520282; 0.520865; 0.521770; 0.522640; 0.523369; 0.524055; 0.524843; 0.525614; 0.526098; 0.526744; 0.527276; 0.527715; 0.527937; 0.528215; 0.528347; 0.528277; 0.527932; 0.527304; 0.526959; 0.526443; 0.526075; 0.525682; 0.524968; 0.524452; 0.524050; 0.523787; 0.523519; 0.523196; 0.522703; 0.522201; 0.521748; 0.521148; 0.520551; 0.519995; 0.519419; 0.518853; 0.518465; 0.518171; 0.517774; 0.517267; 0.516665; 0.515969; 0.515416; 0.514618; 0.513916; 0.513388; 0.513218; 0.512968; 0.512753; (); 
51.2; 08:10:37; (); 0.531626; 0.532064; 0.532440; 0.533080; 0.533503; 0.533931; 0.534260; 0.534442; 0.534550; 0.534350; 0.533847; 0.533216; 0.532678; 0.532183; 0.531554; 0.530833; 0.530142; 0.529422; 0.528705; 0.527874; 0.527198; 0.526524; 0.525837; 0.524867; 0.524095; 0.523605; 0.523137; 0.522621; 0.522263; 0.522183; 0.522217; 0.522308; 0.522248; 0.522131; 0.521840; 0.521511; 0.521193; 0.520993; 0.520718; 0.520519; 0.520229; 0.520068; 0.519940; 0.519687; 0.519246; 0.518598; 0.518007; 0.517399; 0.516828; 0.516258; 0.515729; 0.515180; 0.514778; 0.514546; 0.514382; 0.514294; 0.514185; 0.513939; 0.513745; 0.513619; 0.513574; 0.513626; 0.513760; 0.513952; 0.514335; 0.514802; 0.515569; 0.516137; 0.516585; 0.516849; 0.516951; 0.516993; 0.517133; 0.517233; 0.517343; 0.517406; 0.517493; 0.517577; 0.517630; 0.517537; 0.517470; 0.517176; 0.516954; 0.516832; 0.516792; 0.516975; 0.517358; 0.517859; 0.518434; 0.519090; 0.520054; 0.521090; 0.521964; 0.522621; 0.523440; 0.524124; 0.524817; 0.525398; 0.525914; 0.526392; 0.526660; 0.526825; 0.526908; 0.526884; 0.526686; 0.526259; 0.525721; 0.525098; 0.524590; 0.524004; 0.523600; 0.523185; 0.522710; 0.522431; 0.522101; 0.521806; 0.521445; 0.520954; 0.520500; 0.519985; 0.519461; 0.519031; 0.518321; 0.517875; 0.517437; 0.517363; 0.517267; 0.517291; 0.517686; 0.517729; 0.518170; 0.518583; 0.518757; 0.519120; 0.519474; 0.519847; 0.520324; 0.520959; 0.521984; 
54.1; 08:10:49; 0.527138; 0.527313; 0.527534; 0.527740; 0.527912; 0.528307; 0.528613; 0.528869; 0.529115; 0.529301; 0.529202; 0.529047; 0.528721; 0.528400; 0.528004; 0.527821; 0.527515; 0.527118; 0.526609; 0.526057; 0.525525; 0.525067; 0.524469; 0.523775; 0.523060; 0.522458; 0.521782; 0.521302; 0.520785; 0.520395; 0.520117; 0.520010; 0.520070; 0.520145; 0.519986; 0.519747; 0.519383; 0.519073; 0.518743; 0.518551; 0.518314; 0.518167; 0.517855; 0.517672; 0.517450; 0.517117; 0.516478; 0.515797; 0.515284; 0.514782; 0.513971; 0.513319; 0.512688; 0.512270; 0.511754; 0.511446; 0.511121; 0.510868; 0.510517; 0.510240; 0.509854; 0.509670; 0.509592; 0.509626; 0.509833; 0.510277; 0.510728; 0.511274; 0.511896; 0.512580; 0.513058; 0.513326; 0.513460; 0.513518; 0.513546; 0.513676; 0.513600; 0.513728; 0.513708; 0.513783; 0.513765; 0.513647; 0.513412; 0.513174; 0.512852; 0.512746; 0.512862; 0.513159; 0.513544; 0.514055; 0.514543; 0.515335; 0.516279; 0.517164; 0.517919; 0.518491; 0.519104; 0.519805; 0.520418; 0.520899; 0.521216; 0.521470; 0.521698; 0.521817; 0.521813; 0.521664; 0.521323; 0.520833; 0.520357; 0.519820; 0.519409; 0.519113; 0.518687; 0.518316; 0.517934; 0.517613; 0.517293; 0.516956; 0.516644; 0.516315; 0.515859; 0.515128; 0.514418; 0.513776; 0.513025; 0.512436; 0.511967; 0.511650; 0.510939; 0.510412; 0.509633; 0.508903; 0.508123; 0.507098; 0.506372; 0.505601; 0.505420; 0.505265; 0.504942; 0.503343; 
56.9; 08:11:01; (); 0.523983; 0.524394; 0.524662; 0.524846; 0.525139; 0.525450; 0.525660; 0.525928; 0.525970; 0.525996; 0.525818; 0.525572; 0.525234; 0.524912; 0.524508; 0.524173; 0.523673; 0.523213; 0.522686; 0.522202; 0.521644; 0.521109; 0.520505; 0.519808; 0.519119; 0.518685; 0.518252; 0.517925; 0.517683; 0.517506; 0.517386; 0.517392; 0.517356; 0.517212; 0.516993; 0.516693; 0.516339; 0.516056; 0.515841; 0.515483; 0.515152; 0.514847; 0.514630; 0.514416; 0.514015; 0.513380; 0.512532; 0.511771; 0.510981; 0.510252; 0.509463; 0.508950; 0.508487; 0.508107; 0.507838; 0.507649; 0.507421; 0.507149; 0.506789; 0.506745; 0.506826; 0.506965; 0.507114; 0.507494; 0.507923; 0.508500; 0.509150; 0.509782; 0.510359; 0.510817; 0.510951; 0.511147; 0.511129; 0.511247; 0.511250; 0.511283; 0.511439; 0.511635; 0.511615; 0.511518; 0.511426; 0.511131; 0.510966; 0.510838; 0.510814; 0.511036; 0.511306; 0.511899; 0.512384; 0.513126; 0.513944; 0.514869; 0.515967; 0.516775; 0.517533; 0.518233; 0.518947; 0.519415; 0.519914; 0.520312; 0.520590; 0.520763; 0.520887; 0.520856; 0.520651; 0.520252; 0.519610; 0.518947; 0.518448; 0.517994; 0.517588; 0.517136; 0.516609; 0.516152; 0.515899; 0.515654; 0.515486; 0.514938; 0.514554; 0.514040; 0.513507; 0.512803; 0.512311; 0.511631; 0.511247; 0.511009; 0.511203; 0.511215; 0.511948; 0.512010; 0.512376; 0.512746; 0.513082; 0.512993; 0.513321; 0.513766; 0.514627; 0.515370; 0.516565; 
59.8; 08:11:13; 0.521842; 0.522175; 0.522406; 0.522658; 0.522936; 0.523184; 0.523407; 0.523675; 0.523836; 0.523854; 0.523761; 0.523712; 0.523533; 0.523268; 0.522998; 0.522781; 0.522378; 0.521961; 0.521502; 0.521074; 0.520536; 0.520123; 0.519447; 0.518695; 0.517981; 0.517378; 0.516711; 0.516164; 0.515677; 0.515215; 0.515011; 0.514995; 0.514941; 0.514940; 0.514792; 0.514656; 0.514395; 0.514026; 0.513603; 0.513248; 0.512880; 0.512566; 0.512189; 0.511858; 0.511596; 0.511072; 0.510480; 0.509865; 0.508796; 0.507950; 0.507178; 0.506375; 0.505713; 0.505368; 0.504967; 0.504646; 0.504522; 0.504355; 0.504092; 0.503751; 0.503408; 0.503236; 0.503128; 0.503411; 0.503605; 0.503992; 0.504574; 0.505243; 0.505995; 0.506743; 0.507188; 0.507370; 0.507417; 0.507439; 0.507490; 0.507638; 0.507744; 0.507939; 0.507980; 0.508166; 0.508133; 0.507916; 0.507649; 0.507288; 0.506953; 0.506779; 0.506813; 0.507103; 0.507464; 0.508000; 0.508675; 0.509494; 0.510423; 0.511316; 0.511958; 0.512659; 0.513464; 0.514221; 0.514960; 0.515604; 0.516062; 0.516539; 0.516788; 0.517005; 0.517075; 0.517028; 0.516682; 0.516283; 0.515833; 0.515397; 0.515042; 0.514664; 0.514114; 0.513551; 0.513129; 0.512784; 0.512582; 0.512286; 0.511871; 0.511208; 0.510631; 0.509898; 0.509119; 0.508116; 0.507292; 0.506579; 0.505891; 0.505273; 0.504622; 0.504013; 0.503279; 0.502387; 0.501556; 0.500675; 0.499981; 0.499300; 0.499154; 0.498915; 0.498878; (); 
