Roll Number; 0
Recipe Name; FP 4598_280 GSM
Start Time; 2018-01-17; 08:08:51
File Name; D:\Mahlo\TR\180117080851FP 4598_280 GSM0_THICKNESS2.txt

31.1; 08:09:12; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.100601; 0.103707; 0.109479; 0.111633; 0.111633; 0.111633; 0.119818; 
34.0; 08:09:24; (); 0.307350; 0.306138; 0.305117; 0.304649; 0.304090; 0.303548; 0.303464; 0.304152; 0.305832; 0.307059; 0.308199; 0.309455; 0.310185; 0.309956; 0.309599; 0.309597; 0.309635; 0.309521; 0.309230; 0.308942; 0.308642; 0.308142; 0.307652; 0.307163; 0.306857; 0.306772; 0.306815; 0.306907; 0.307033; 0.307278; 0.307594; 0.308303; 0.309030; 0.309919; 0.311095; 0.311917; 0.312456; 0.313263; 0.314021; 0.314601; 0.314804; 0.315757; 0.316837; 0.317806; 0.318369; 0.319307; 0.319512; 0.320050; 0.320829; 0.322023; 0.322283; 0.322075; 0.321239; 0.320165; 0.318981; 0.318257; 0.317715; 0.317220; 0.317634; 0.318753; 0.319455; 0.319834; 0.319748; 0.319009; 0.318632; 0.319686; 0.321945; 0.324259; 0.327333; 0.330241; 0.332473; 0.333812; 0.334438; 0.334573; 0.334092; 0.333811; 0.334207; 0.335224; 0.335981; 0.336968; 0.336966; 0.335882; 0.334597; 0.333153; 0.331537; 0.330911; 0.331173; 0.331846; 0.332127; 0.332825; 0.333620; 0.333809; 0.333631; 0.333714; 0.333188; 0.333264; 0.334417; 0.336006; 0.337191; 0.337916; 0.338114; 0.338123; 0.338053; 0.338038; 0.338225; 0.338174; 0.338400; 0.338763; 0.339161; 0.339917; 0.341007; 0.341182; 0.340707; 0.340745; 0.341370; 0.341490; 0.341504; 0.341561; 0.343690; 0.346947; 0.350689; 0.354017; 0.356082; 0.357894; 0.358881; 0.358223; 0.358959; 0.360275; 0.362050; 0.364142; 0.367622; 0.370934; 0.374477; 0.373979; 0.373143; 0.372133; 0.371172; 0.371182; 0.371648; 
36.9; 08:09:36; 0.297872; 0.295204; 0.294005; 0.293128; 0.291780; 0.290684; 0.290549; 0.291824; 0.292867; 0.293658; 0.295323; 0.297371; 0.299971; 0.302103; 0.303982; 0.305378; 0.306438; 0.307135; 0.307847; 0.308481; 0.308647; 0.307959; 0.307229; 0.306913; 0.306470; 0.306244; 0.306306; 0.306310; 0.305970; 0.305501; 0.305722; 0.306018; 0.306242; 0.306623; 0.306903; 0.306923; 0.307404; 0.308473; 0.309648; 0.310480; 0.311040; 0.311502; 0.311605; 0.311811; 0.312583; 0.313479; 0.314245; 0.314967; 0.315893; 0.316846; 0.317681; 0.318193; 0.318048; 0.317193; 0.316087; 0.315168; 0.314539; 0.314615; 0.314965; 0.315652; 0.315999; 0.316367; 0.316192; 0.315532; 0.315132; 0.315517; 0.316449; 0.318476; 0.320840; 0.323481; 0.325848; 0.327978; 0.328922; 0.329316; 0.329506; 0.329897; 0.330611; 0.332214; 0.333795; 0.334669; 0.334598; 0.334090; 0.333049; 0.331814; 0.330581; 0.329665; 0.329192; 0.329713; 0.330434; 0.330870; 0.330950; 0.330858; 0.330881; 0.331213; 0.331965; 0.332741; 0.332898; 0.332958; 0.333305; 0.334020; 0.334953; 0.336076; 0.337004; 0.337340; 0.337853; 0.338579; 0.338601; 0.338082; 0.337842; 0.337568; 0.337962; 0.338971; 0.339782; 0.339799; 0.338985; 0.337750; 0.336361; 0.334922; 0.334050; 0.333766; 0.333913; 0.334467; 0.335001; 0.335421; 0.335923; 0.336608; 0.337625; 0.338660; 0.339575; 0.341384; 0.344137; 0.346678; 0.347818; 0.348371; 0.348379; 0.348157; 0.348492; 0.349052; 0.349520; (); 
39.7; 08:09:49; (); 0.292671; 0.292205; 0.292204; 0.291927; 0.290833; 0.289576; 0.289187; 0.289541; 0.290916; 0.292114; 0.293228; 0.294204; 0.294819; 0.295185; 0.295619; 0.296089; 0.296284; 0.296187; 0.295928; 0.295828; 0.295642; 0.295634; 0.295556; 0.294839; 0.294094; 0.294043; 0.294217; 0.294425; 0.294413; 0.294314; 0.294210; 0.294318; 0.294760; 0.295239; 0.295809; 0.296500; 0.296840; 0.297176; 0.297663; 0.298203; 0.299296; 0.300703; 0.301580; 0.302450; 0.303352; 0.304324; 0.304737; 0.305617; 0.306781; 0.307462; 0.307911; 0.308720; 0.309236; 0.308906; 0.308042; 0.306674; 0.305071; 0.304552; 0.305284; 0.306300; 0.307205; 0.308412; 0.308393; 0.307380; 0.307158; 0.307434; 0.307924; 0.309021; 0.311324; 0.314157; 0.317225; 0.320102; 0.321645; 0.321521; 0.320743; 0.319924; 0.319746; 0.320545; 0.321674; 0.322762; 0.323116; 0.323205; 0.323147; 0.322184; 0.320718; 0.319445; 0.318547; 0.318131; 0.318384; 0.319568; 0.320871; 0.321653; 0.321735; 0.321762; 0.321186; 0.321195; 0.321701; 0.322329; 0.323236; 0.324678; 0.326114; 0.327105; 0.327715; 0.327968; 0.327689; 0.327337; 0.327396; 0.327323; 0.327059; 0.327090; 0.327369; 0.327533; 0.327614; 0.327623; 0.327594; 0.327040; 0.327250; 0.327843; 0.328715; 0.329984; 0.331903; 0.333581; 0.335200; 0.336363; 0.336743; 0.336825; 0.337478; 0.337931; 0.337356; 0.336754; 0.337086; 0.338517; 0.339167; 0.338481; 0.337776; 0.336907; 0.335903; 0.335429; 0.336098; 
42.6; 08:10:01; 0.294685; 0.293719; 0.292733; 0.291618; 0.290695; 0.290389; 0.290973; 0.291701; 0.292084; 0.292646; 0.293985; 0.295948; 0.298656; 0.301304; 0.303748; 0.305650; 0.306216; 0.305978; 0.305505; 0.304899; 0.304463; 0.304091; 0.303915; 0.304118; 0.304331; 0.304220; 0.303915; 0.303116; 0.302297; 0.301498; 0.301265; 0.301673; 0.302409; 0.303543; 0.304911; 0.305603; 0.306136; 0.306526; 0.306758; 0.307154; 0.307972; 0.309128; 0.310195; 0.311052; 0.311916; 0.312360; 0.312873; 0.313481; 0.314335; 0.315390; 0.316614; 0.317240; 0.317132; 0.316773; 0.316133; 0.315377; 0.314517; 0.313847; 0.313441; 0.313714; 0.314328; 0.314919; 0.315232; 0.315091; 0.314510; 0.314347; 0.315229; 0.317269; 0.319638; 0.321748; 0.323798; 0.325686; 0.327188; 0.328114; 0.328332; 0.328892; 0.329793; 0.330813; 0.331685; 0.332229; 0.332034; 0.331310; 0.330193; 0.329300; 0.328440; 0.327981; 0.327996; 0.328382; 0.328820; 0.329101; 0.328914; 0.328781; 0.328875; 0.329354; 0.330073; 0.331053; 0.331942; 0.332582; 0.333159; 0.333859; 0.333970; 0.334215; 0.334784; 0.335532; 0.335978; 0.336269; 0.335787; 0.335376; 0.335330; 0.335678; 0.336355; 0.337306; 0.337812; 0.337828; 0.337277; 0.336704; 0.335829; 0.334450; 0.334235; 0.334860; 0.335187; 0.335364; 0.335926; 0.336960; 0.338006; 0.338139; 0.336929; 0.336727; 0.339290; 0.342458; 0.344077; 0.344669; 0.345424; 0.345904; 0.346164; 0.346696; 0.347743; 0.348297; 0.347618; (); 
45.5; 08:10:13; (); 0.287165; 0.286198; 0.285869; 0.285530; 0.285200; 0.284737; 0.284093; 0.283571; 0.284049; 0.284788; 0.285698; 0.286893; 0.287862; 0.288899; 0.290008; 0.291151; 0.291937; 0.292339; 0.292520; 0.292332; 0.292071; 0.291903; 0.292240; 0.292680; 0.292917; 0.293127; 0.293578; 0.294128; 0.294265; 0.294295; 0.294158; 0.293783; 0.293728; 0.294749; 0.295859; 0.296700; 0.297780; 0.298588; 0.298800; 0.299030; 0.299445; 0.299942; 0.300619; 0.301798; 0.302827; 0.303803; 0.304735; 0.305351; 0.304998; 0.304778; 0.304501; 0.304387; 0.304329; 0.304672; 0.304653; 0.304182; 0.303614; 0.302530; 0.301120; 0.300327; 0.300643; 0.301154; 0.301732; 0.302959; 0.304508; 0.305759; 0.306585; 0.307287; 0.308252; 0.309675; 0.311107; 0.312627; 0.314629; 0.316721; 0.317760; 0.317572; 0.317543; 0.317386; 0.316789; 0.316197; 0.315889; 0.315348; 0.315536; 0.315639; 0.315251; 0.314929; 0.315224; 0.315058; 0.314572; 0.315049; 0.316160; 0.316992; 0.318588; 0.319980; 0.320491; 0.320850; 0.322064; 0.321981; 0.321875; 0.322073; 0.322529; 0.323008; 0.324629; 0.326303; 0.327639; 0.328908; 0.329585; 0.328963; 0.328299; 0.328312; 0.328094; 0.327208; 0.326790; 0.327143; 0.327209; 0.326508; 0.325295; 0.323614; 0.322021; 0.320422; 0.319346; 0.319506; 0.321063; 0.323254; 0.325338; 0.326968; 0.329080; 0.332676; 0.335265; 0.336141; 0.336239; 0.336262; 0.337056; 0.338298; 0.339455; 0.339900; 0.339779; 0.339325; 0.338114; 
48.3; 08:10:25; 0.287453; 0.286330; 0.285531; 0.283907; 0.282883; 0.282681; 0.282112; 0.281851; 0.282274; 0.283534; 0.285104; 0.287889; 0.291148; 0.293532; 0.295003; 0.295841; 0.296299; 0.296404; 0.296837; 0.297184; 0.297329; 0.297655; 0.298119; 0.298306; 0.297819; 0.297235; 0.296013; 0.294545; 0.293819; 0.294414; 0.295408; 0.296151; 0.297200; 0.297797; 0.297552; 0.296849; 0.296960; 0.297130; 0.297701; 0.298740; 0.299895; 0.300264; 0.300352; 0.300773; 0.300567; 0.299691; 0.299798; 0.300543; 0.301565; 0.302949; 0.304776; 0.306024; 0.305724; 0.304657; 0.303020; 0.301407; 0.300741; 0.300846; 0.300972; 0.301644; 0.302799; 0.303483; 0.303429; 0.302555; 0.301603; 0.301237; 0.301942; 0.303746; 0.306404; 0.309383; 0.312342; 0.314294; 0.315676; 0.316539; 0.316750; 0.316932; 0.317518; 0.317959; 0.319034; 0.320303; 0.320463; 0.319714; 0.318934; 0.317825; 0.316779; 0.316305; 0.316327; 0.316454; 0.317137; 0.317420; 0.317345; 0.317481; 0.318474; 0.319249; 0.320403; 0.322015; 0.323383; 0.324097; 0.324702; 0.325210; 0.325325; 0.325761; 0.326584; 0.326939; 0.327671; 0.328448; 0.328307; 0.327832; 0.327743; 0.327754; 0.327922; 0.328476; 0.328866; 0.328547; 0.327803; 0.327446; 0.326656; 0.325543; 0.324794; 0.324547; 0.323866; 0.324045; 0.324722; 0.325162; 0.324884; 0.324857; 0.324815; 0.325171; 0.326467; 0.329184; 0.331567; 0.332911; 0.333523; 0.334083; 0.334160; 0.334451; 0.334777; 0.334891; 0.334967; (); 
51.2; 08:10:37; (); 0.296598; 0.295423; 0.294216; 0.293504; 0.292387; 0.291497; 0.291037; 0.291140; 0.291994; 0.293174; 0.294789; 0.296449; 0.297919; 0.298479; 0.298479; 0.298295; 0.298535; 0.298754; 0.298953; 0.298863; 0.299115; 0.298738; 0.298092; 0.297670; 0.297862; 0.297681; 0.297196; 0.296463; 0.295754; 0.295533; 0.295796; 0.296388; 0.296651; 0.297096; 0.297959; 0.298028; 0.298232; 0.299196; 0.299980; 0.300295; 0.300876; 0.301722; 0.302441; 0.303676; 0.304991; 0.305477; 0.305296; 0.305991; 0.306717; 0.307711; 0.309133; 0.310298; 0.309856; 0.308514; 0.307125; 0.305900; 0.304981; 0.305041; 0.305318; 0.305984; 0.307466; 0.308618; 0.308819; 0.308629; 0.308173; 0.307677; 0.308159; 0.310310; 0.312696; 0.315604; 0.319418; 0.321757; 0.322102; 0.322129; 0.321868; 0.321335; 0.321044; 0.321527; 0.322191; 0.323149; 0.324215; 0.324479; 0.323782; 0.323064; 0.321376; 0.319193; 0.318208; 0.319109; 0.319737; 0.320496; 0.321759; 0.322530; 0.322966; 0.323327; 0.323294; 0.322908; 0.323299; 0.324238; 0.325575; 0.327577; 0.328909; 0.329453; 0.329591; 0.329559; 0.329427; 0.329103; 0.328566; 0.327973; 0.327594; 0.327824; 0.328650; 0.329497; 0.329812; 0.329474; 0.329036; 0.328809; 0.328984; 0.330069; 0.331193; 0.331743; 0.331873; 0.332594; 0.334101; 0.335716; 0.336238; 0.335630; 0.334037; 0.333266; 0.333817; 0.334872; 0.336107; 0.336900; 0.336920; 0.336786; 0.337108; 0.337869; 0.338215; 0.337888; 0.337273; 
54.1; 08:10:49; 0.286820; 0.285463; 0.285360; 0.285497; 0.284414; 0.283395; 0.283806; 0.284705; 0.285088; 0.285660; 0.287162; 0.289724; 0.293088; 0.296414; 0.298719; 0.299698; 0.299679; 0.299077; 0.298539; 0.298158; 0.298056; 0.297454; 0.297159; 0.297288; 0.297077; 0.296291; 0.295791; 0.294795; 0.293121; 0.291842; 0.292304; 0.293263; 0.294075; 0.295179; 0.295868; 0.295516; 0.295342; 0.295631; 0.296331; 0.297424; 0.298382; 0.299171; 0.300060; 0.301018; 0.301857; 0.302149; 0.302397; 0.303045; 0.303915; 0.305216; 0.307085; 0.308177; 0.308331; 0.307695; 0.306505; 0.305239; 0.304646; 0.304146; 0.303889; 0.304119; 0.304779; 0.305577; 0.306272; 0.306191; 0.305755; 0.305764; 0.306672; 0.308291; 0.310205; 0.312701; 0.315295; 0.316924; 0.317748; 0.318629; 0.319949; 0.320859; 0.321814; 0.322736; 0.323353; 0.323356; 0.323297; 0.322692; 0.321726; 0.321117; 0.320607; 0.319851; 0.320192; 0.320761; 0.320704; 0.320149; 0.319729; 0.319192; 0.319200; 0.320060; 0.321521; 0.322730; 0.323824; 0.324458; 0.324636; 0.325236; 0.326078; 0.326173; 0.326270; 0.327077; 0.327267; 0.327189; 0.327569; 0.327154; 0.326349; 0.326211; 0.326243; 0.326622; 0.327448; 0.327828; 0.327030; 0.325877; 0.325331; 0.324875; 0.324665; 0.324803; 0.325553; 0.326552; 0.327588; 0.327956; 0.327410; 0.327822; 0.328862; 0.329814; 0.330691; 0.332109; 0.334547; 0.336951; 0.338157; 0.338243; 0.337829; 0.336917; 0.336462; 0.336343; 0.337291; 0.335157; 
56.9; 08:11:01; (); 0.315734; 0.315367; 0.315486; 0.315135; 0.313958; 0.312947; 0.312046; 0.311374; 0.311831; 0.312872; 0.314079; 0.315735; 0.317195; 0.318508; 0.319464; 0.319654; 0.319225; 0.318759; 0.318491; 0.318298; 0.318347; 0.318319; 0.318626; 0.319085; 0.319494; 0.319711; 0.319672; 0.319658; 0.319297; 0.318977; 0.318894; 0.319078; 0.319285; 0.320543; 0.322211; 0.323104; 0.323662; 0.324123; 0.324230; 0.324223; 0.324575; 0.325134; 0.325942; 0.327428; 0.328612; 0.329388; 0.329906; 0.330222; 0.329923; 0.329994; 0.330529; 0.331168; 0.331086; 0.330881; 0.330573; 0.329555; 0.328180; 0.326863; 0.325681; 0.325646; 0.326544; 0.327610; 0.328763; 0.329480; 0.329695; 0.329816; 0.330181; 0.331413; 0.333248; 0.335972; 0.339241; 0.341609; 0.343120; 0.344344; 0.344698; 0.344143; 0.343462; 0.343209; 0.343111; 0.343366; 0.343862; 0.344133; 0.344057; 0.343718; 0.342388; 0.341020; 0.340261; 0.340325; 0.341007; 0.341831; 0.343070; 0.344536; 0.345966; 0.346989; 0.347817; 0.347908; 0.348057; 0.348338; 0.348880; 0.350049; 0.351465; 0.352753; 0.353259; 0.353474; 0.353975; 0.354201; 0.354238; 0.354162; 0.353673; 0.353127; 0.353130; 0.354366; 0.355570; 0.355410; 0.354748; 0.354152; 0.353798; 0.353343; 0.353001; 0.353099; 0.353399; 0.353276; 0.352916; 0.353175; 0.354186; 0.355098; 0.355065; 0.353550; 0.353171; 0.354713; 0.356061; 0.357000; 0.357375; 0.357684; 0.357522; 0.357372; 0.358069; 0.359186; 0.359718; 
59.8; 08:11:13; 0.296128; 0.295374; 0.293986; 0.292325; 0.292192; 0.291918; 0.290983; 0.290521; 0.291041; 0.292579; 0.294242; 0.296224; 0.299263; 0.302556; 0.304498; 0.304999; 0.305219; 0.305403; 0.305483; 0.305439; 0.306130; 0.306694; 0.306863; 0.306843; 0.306828; 0.306116; 0.304569; 0.303294; 0.302698; 0.302652; 0.302892; 0.303678; 0.304781; 0.305315; 0.304968; 0.304681; 0.304466; 0.304062; 0.304535; 0.305812; 0.307394; 0.308271; 0.308814; 0.308903; 0.308353; 0.307661; 0.308027; 0.308571; 0.309893; 0.311580; 0.313254; 0.314473; 0.314808; 0.313911; 0.312412; 0.310700; 0.310036; 0.309925; 0.310046; 0.311282; 0.312788; 0.313377; 0.313310; 0.312590; 0.311590; 0.311343; 0.311794; 0.313246; 0.315560; 0.318189; 0.320544; 0.322609; 0.324509; 0.325742; 0.326162; 0.326287; 0.326642; 0.327815; 0.329323; 0.330212; 0.330270; 0.329872; 0.329117; 0.328008; 0.327234; 0.326951; 0.326965; 0.326871; 0.326918; 0.326759; 0.326841; 0.327506; 0.327988; 0.328189; 0.329283; 0.330364; 0.331728; 0.333116; 0.334007; 0.334619; 0.335055; 0.335775; 0.336507; 0.337135; 0.338032; 0.338271; 0.337682; 0.337207; 0.336878; 0.336665; 0.336986; 0.337178; 0.337090; 0.336717; 0.335700; 0.334707; 0.333785; 0.332931; 0.332110; 0.331785; 0.331738; 0.331976; 0.332596; 0.333373; 0.333827; 0.334359; 0.334171; 0.334319; 0.336290; 0.339584; 0.341567; 0.342697; 0.343042; 0.343178; 0.343307; 0.343986; 0.344606; 0.344910; 0.344917; (); 
