Roll Number; 0
Recipe Name; FP 4598_280 GSM
Start Time; 2018-01-17; 08:08:51
File Name; D:\Mahlo\TR\180117080851FP 4598_280 GSM0_FMI2.txt

31.1; 08:09:12; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.727105; 1.456248; 8.986566; 17.047623; 17.047623; 17.047623; 21.302244; 
34.0; 08:09:24; (); 252.109051; 252.121031; 252.118438; 252.192318; 252.272338; 252.304703; 252.281129; 252.328128; 252.383709; 252.395064; 252.410442; 252.379119; 252.417803; 252.370209; 252.372563; 252.356589; 252.416223; 252.408087; 252.392709; 252.339542; 252.336115; 252.390236; 252.381116; 252.384573; 252.403855; 252.418905; 252.426505; 252.396315; 252.419114; 252.441645; 252.485693; 252.457112; 252.449006; 252.457052; 252.451658; 252.429217; 252.424091; 252.401650; 252.426982; 252.420038; 252.389044; 252.440304; 252.408415; 252.431124; 252.433300; 252.427906; 252.440542; 252.460927; 252.518862; 252.525836; 252.521276; 252.509505; 252.503783; 252.489954; 252.527058; 252.530187; 252.575547; 252.658874; 252.597392; 252.618164; 252.611071; 252.571493; 252.581865; 252.599269; 252.598196; 252.584159; 252.565652; 252.614588; 252.569318; 252.597958; 252.570719; 252.526343; 252.529919; 252.591699; 252.606004; 252.605498; 252.624005; 252.592921; 252.587110; 252.625614; 252.660215; 252.629369; 252.587110; 252.529800; 252.516180; 252.566397; 252.523959; 252.524376; 252.463192; 252.444834; 252.454072; 252.439767; 252.431899; 252.421260; 252.394617; 252.407551; 252.423257; 252.471626; 252.565980; 252.465814; 252.424240; 252.445310; 252.442330; 252.483159; 252.465010; 252.537847; 252.490968; 252.457261; 252.433181; 252.432078; 252.404064; 252.313435; 252.276182; 252.294123; 252.374917; 252.385646; 252.324343; 252.319306; 252.431184; 252.572149; 252.737969; 253.016710; 253.314793; 253.717571; 254.130870; 254.432917; 254.809231; 255.236119; 255.511194; 256.322056; 257.110268; 257.514775; 257.685959; 257.818848; 258.042425; 258.234739; 258.469194; 258.613080; 258.594990; 
36.9; 08:09:36; 251.720905; 251.665652; 251.659423; 251.664490; 251.690269; 251.727134; 251.757622; 251.814008; 251.790285; 251.801223; 251.747966; 251.720667; 251.753300; 251.805872; 251.873642; 251.904666; 251.965702; 252.006620; 252.031326; 252.075464; 252.056509; 252.079904; 252.141923; 252.198935; 252.239853; 252.286345; 252.294064; 252.306819; 252.305269; 252.295017; 252.343476; 252.332687; 252.371281; 252.401322; 252.369434; 252.413750; 252.359539; 252.294958; 252.280980; 252.251327; 252.250046; 252.294958; 252.273291; 252.241552; 252.219796; 252.193302; 252.162665; 252.130508; 252.125055; 252.152920; 252.133220; 252.135396; 252.175063; 252.200872; 252.331525; 252.366364; 252.369821; 252.463907; 252.520412; 252.579033; 252.638251; 252.674937; 252.668351; 252.712607; 252.710849; 252.738088; 252.790660; 252.792925; 252.827555; 252.731949; 252.727330; 252.676755; 252.628654; 252.630740; 252.572387; 252.524585; 252.498031; 252.491444; 252.462268; 252.437830; 252.433270; 252.410650; 252.387792; 252.333432; 252.357483; 252.310306; 252.240568; 252.188176; 252.175033; 252.143502; 252.150148; 252.127469; 252.162158; 252.124429; 252.116948; 252.147436; 252.113581; 252.112985; 252.090603; 252.057791; 252.133846; 252.194256; 252.208084; 252.243251; 252.292752; 252.331942; 252.369881; 252.369255; 252.452344; 252.435356; 252.342820; 252.366424; 252.465189; 252.527833; 252.497643; 252.414107; 252.409667; 252.405494; 252.354950; 252.288759; 252.256334; 252.218425; 252.198696; 252.170622; 252.208561; 252.312571; 252.347767; 252.206475; 252.183229; 252.241969; 252.342969; 252.323925; 252.341181; 252.360314; 252.391160; 252.398580; 252.434701; 252.430797; 252.409071; (); 
39.7; 08:09:49; (); 251.969248; 251.925111; 251.885563; 251.841784; 251.875252; 251.938552; 251.952648; 251.953542; 251.977682; 251.980215; 251.984596; 252.023727; 252.044946; 252.002507; 252.017677; 252.119929; 252.193034; 252.289951; 252.352685; 252.396345; 252.369225; 252.363145; 252.377540; 252.372473; 252.369881; 252.415657; 252.464086; 252.557367; 252.656758; 252.611756; 252.568424; 252.521574; 252.466112; 252.484381; 252.464861; 252.438843; 252.455205; 252.503663; 252.538800; 252.521902; 252.460480; 252.412260; 252.413183; 252.465785; 252.544075; 252.527952; 252.576828; 252.599061; 252.593875; 252.576530; 252.601415; 252.645195; 252.610445; 252.669364; 252.788126; 252.847195; 252.849579; 252.855808; 252.842188; 252.845049; 252.905339; 252.946854; 252.946019; 252.947032; 252.955854; 252.959371; 252.931386; 252.965987; 252.920032; 252.887577; 252.920866; 252.884448; 252.829581; 252.824515; 252.859443; 252.838433; 252.819926; 252.825379; 252.821505; 252.800554; 252.842128; 252.866656; 252.845436; 252.875745; 252.893090; 252.853394; 252.872288; 252.885461; 252.838254; 252.800822; 252.760023; 252.778560; 252.811223; 252.828151; 252.847850; 252.756089; 252.728224; 252.739698; 252.695084; 252.629608; 252.634436; 252.630740; 252.642423; 252.583295; 252.560586; 252.566963; 252.558380; 252.575994; 252.510339; 252.480447; 252.503842; 252.544641; 252.525151; 252.550364; 252.549380; 252.552450; 252.520114; 252.570957; 252.659321; 252.719015; 252.725571; 252.681673; 252.661079; 252.709985; 252.745092; 252.723634; 252.728820; 252.758622; 252.702981; 252.613187; 252.523124; 252.434671; 252.290577; 252.148390; 252.078921; 252.021730; 251.982957; 251.916677; 251.858890; 
42.6; 08:10:01; 252.078831; 252.054870; 252.070099; 252.116740; 252.125353; 252.092719; 252.154171; 252.225697; 252.237201; 252.238780; 252.213538; 252.220035; 252.193660; 252.204627; 252.263486; 252.315044; 252.300829; 252.296120; 252.364814; 252.440065; 252.408713; 252.366334; 252.348393; 252.351880; 252.272755; 252.280563; 252.312779; 252.346545; 252.331197; 252.375335; 252.388537; 252.433866; 252.452314; 252.438098; 252.417982; 252.431035; 252.500236; 252.545416; 252.632022; 252.692163; 252.714127; 252.675116; 252.631664; 252.607167; 252.579004; 252.585828; 252.567768; 252.544820; 252.533913; 252.570778; 252.566218; 252.524614; 252.464026; 252.495170; 252.524793; 252.522290; 252.606660; 252.681613; 252.706051; 252.681166; 252.686232; 252.741992; 252.747685; 252.724200; 252.726883; 252.782315; 252.737999; 252.793640; 252.764225; 252.771795; 252.731085; 252.718896; 252.798498; 252.829939; 252.816737; 252.749413; 252.701551; 252.732337; 252.720267; 252.687693; 252.715647; 252.739489; 252.696276; 252.728134; 252.693146; 252.666265; 252.655804; 252.497822; 252.476990; 252.490699; 252.488315; 252.440095; 252.423614; 252.412975; 252.384961; 252.370447; 252.362341; 252.350509; 252.270937; 252.299339; 252.318263; 252.299011; 252.355754; 252.371728; 252.416670; 252.426565; 252.507776; 252.467602; 252.448261; 252.455235; 252.467394; 252.492547; 252.548099; 252.547115; 252.503663; 252.536744; 252.552211; 252.612084; 252.589017; 252.645165; 252.679169; 252.644837; 252.696961; 252.748638; 252.754480; 252.712637; 252.789438; 252.763778; 252.764732; 252.821267; 252.760351; 252.754718; 252.740264; 252.679020; 252.619863; 252.620161; 252.631634; 252.642393; 252.631128; (); 
45.5; 08:10:13; (); 252.122879; 252.111644; 252.158731; 252.174735; 252.130270; 252.172589; 252.170205; 252.159804; 252.189249; 252.227634; 252.188176; 252.175957; 252.209604; 252.210259; 252.231628; 252.218246; 252.310634; 252.310127; 252.414376; 252.517581; 252.511978; 252.527058; 252.535135; 252.493322; 252.504557; 252.548039; 252.580404; 252.541840; 252.561688; 252.560109; 252.604753; 252.584547; 252.618819; 252.633095; 252.600163; 252.597451; 252.639055; 252.714545; 252.722204; 252.660215; 252.671421; 252.743155; 252.790272; 252.783388; 252.742022; 252.697617; 252.641886; 252.584159; 252.550066; 252.562314; 252.568722; 252.538174; 252.551705; 252.563745; 252.709210; 252.676487; 252.641082; 252.697676; 252.752155; 252.751291; 252.783179; 252.909511; 252.896845; 252.904624; 252.929270; 252.947688; 252.920449; 252.917439; 252.920389; 252.849042; 252.850324; 252.807289; 252.756834; 252.710372; 252.741039; 252.761334; 252.717882; 252.720833; 252.720177; 252.681762; 252.711892; 252.688348; 252.683938; 252.695203; 252.753466; 252.791166; 252.877980; 252.838224; 252.833933; 252.773553; 252.719879; 252.700031; 252.667695; 252.673537; 252.651811; 252.663821; 252.707303; 252.695709; 252.676487; 252.612680; 252.592385; 252.546877; 252.575934; 252.627909; 252.681792; 252.696425; 252.758205; 252.743721; 252.736688; 252.710372; 252.668113; 252.604723; 252.551317; 252.601832; 252.626538; 252.666950; 252.737015; 252.708346; 252.636641; 252.696961; 252.742767; 252.766848; 252.818644; 252.851576; 252.844363; 252.818793; 252.865821; 252.833903; 252.737671; 252.653539; 252.570391; 252.527863; 252.469957; 252.361864; 252.308547; 252.226561; 252.146125; 252.080351; 252.014458; 
48.3; 08:10:25; 252.215803; 252.241015; 252.273530; 252.259016; 252.240300; 252.169281; 252.193004; 252.159923; 252.076358; 252.083331; 252.148539; 252.176106; 252.157480; 252.117932; 252.104104; 252.047718; 252.062887; 252.054691; 251.992375; 252.017349; 251.999289; 252.014667; 252.060145; 252.156228; 252.230227; 252.300411; 252.297461; 252.358407; 252.454996; 252.401441; 252.449960; 252.528876; 252.584368; 252.664089; 252.752930; 252.783448; 252.785206; 252.762526; 252.804607; 252.803832; 252.817571; 252.852678; 252.902985; 252.906889; 253.017157; 253.025353; 253.029048; 253.010482; 253.002405; 252.988696; 252.940476; 252.891183; 252.923191; 252.925336; 252.917171; 252.893150; 252.863050; 252.792835; 252.718985; 252.658606; 252.588928; 252.512544; 252.521932; 252.511770; 252.531230; 252.634168; 252.692908; 252.697229; 252.659082; 252.685964; 252.702117; 252.713770; 252.730638; 252.765387; 252.746493; 252.790451; 252.793133; 252.729625; 252.666354; 252.572060; 252.522796; 252.538443; 252.497137; 252.451897; 252.397090; 252.395689; 252.428174; 252.398103; 252.445012; 252.429903; 252.384722; 252.410293; 252.479643; 252.476752; 252.521485; 252.537787; 252.492696; 252.520651; 252.551734; 252.588600; 252.579033; 252.537847; 252.523661; 252.462149; 252.579570; 252.599388; 252.597809; 252.613246; 252.634317; 252.635181; 252.629161; 252.629340; 252.611190; 252.622068; 252.647877; 252.668798; 252.662331; 252.689987; 252.704918; 252.665937; 252.673745; 252.640754; 252.627969; 252.645761; 252.653778; 252.690464; 252.697736; 252.732128; 252.699286; 252.653599; 252.654016; 252.686441; 252.676874; 252.682000; 252.690554; 252.719671; 252.734572; 252.782583; 252.760172; (); 
51.2; 08:10:37; (); 252.281100; 252.307862; 252.344489; 252.287954; 252.213567; 252.201736; 252.225816; 252.182573; 252.178431; 252.158582; 252.184063; 252.132088; 252.177477; 252.210528; 252.239853; 252.281606; 252.362609; 252.339840; 252.406985; 252.477765; 252.493382; 252.484798; 252.488464; 252.466857; 252.523035; 252.573520; 252.616674; 252.551019; 252.539009; 252.505422; 252.486080; 252.525300; 252.554506; 252.603203; 252.642483; 252.661347; 252.684385; 252.710640; 252.723604; 252.677321; 252.614707; 252.650142; 252.760857; 252.811730; 252.860337; 252.871603; 252.854913; 252.845526; 252.797484; 252.759069; 252.772629; 252.794117; 252.749383; 252.829850; 252.915084; 252.927572; 252.968162; 252.947628; 252.951682; 252.900511; 252.887249; 252.902508; 252.882004; 252.864659; 252.901912; 252.883494; 252.864778; 252.880394; 252.798468; 252.774596; 252.781570; 252.743036; 252.734810; 252.750397; 252.870351; 252.886981; 252.842605; 252.912611; 252.892911; 252.836645; 252.842635; 252.859473; 252.929091; 252.945095; 252.964765; 252.951384; 252.934456; 252.924025; 252.904356; 252.793670; 252.790451; 252.842128; 252.829343; 252.843678; 252.818912; 252.798975; 252.756476; 252.697259; 252.667814; 252.593696; 252.548248; 252.503514; 252.495676; 252.459377; 252.412587; 252.371401; 252.335608; 252.337754; 252.347827; 252.366990; 252.385437; 252.407432; 252.406299; 252.511859; 252.580136; 252.603829; 252.581179; 252.523303; 252.553403; 252.646357; 252.603620; 252.597094; 252.562523; 252.570838; 252.614141; 252.631515; 252.665579; 252.663583; 252.588093; 252.589732; 252.577424; 252.548844; 252.523512; 252.469301; 252.416700; 252.442062; 252.443910; 252.449006; 252.383739; 
54.1; 08:10:49; 252.152264; 252.178103; 252.168626; 252.206057; 252.247721; 252.236933; 252.230853; 252.290249; 252.269387; 252.242684; 252.236873; 252.218693; 252.278239; 252.314240; 252.335548; 252.379894; 252.395302; 252.370894; 252.378672; 252.381265; 252.385318; 252.401739; 252.427369; 252.403975; 252.436370; 252.454221; 252.449155; 252.371222; 252.389520; 252.412438; 252.367944; 252.395719; 252.425313; 252.419680; 252.494603; 252.575010; 252.564490; 252.520025; 252.588630; 252.602160; 252.626151; 252.660036; 252.633274; 252.605468; 252.641469; 252.679497; 252.672851; 252.715111; 252.716362; 252.708703; 252.690703; 252.738714; 252.783477; 252.773523; 252.766907; 252.728999; 252.818286; 252.915263; 252.918422; 252.887517; 252.874047; 252.904981; 252.876133; 252.882332; 252.887905; 252.924502; 252.881050; 252.874881; 252.898782; 252.926111; 252.954811; 252.967626; 252.939671; 252.964109; 253.033906; 252.996683; 252.968073; 252.995163; 252.996325; 252.938300; 252.842546; 252.859145; 252.854139; 252.832413; 252.781749; 252.678543; 252.608299; 252.585739; 252.547354; 252.513319; 252.583891; 252.680540; 252.659261; 252.637178; 252.695739; 252.749979; 252.724081; 252.690107; 252.676278; 252.716899; 252.766281; 252.871186; 252.847463; 252.816737; 252.874434; 252.818406; 252.743989; 252.788335; 252.777278; 252.718598; 252.656162; 252.647310; 252.652377; 252.672255; 252.640307; 252.637684; 252.650857; 252.731174; 252.826661; 252.794057; 252.817690; 252.837509; 252.804190; 252.813429; 252.869040; 252.939850; 252.982259; 252.975821; 252.962798; 252.934843; 252.829850; 252.788961; 252.720296; 252.658784; 252.574861; 252.529562; 252.506107; 252.509713; 252.477646; 252.343863; 
56.9; 08:11:01; (); 252.702624; 252.712190; 252.638727; 252.548277; 252.538562; 252.584279; 252.610564; 252.656132; 252.705634; 252.761692; 252.764195; 252.781749; 252.752692; 252.732396; 252.727985; 252.774060; 252.838254; 252.858043; 252.963305; 252.925217; 252.936929; 252.880871; 252.878517; 252.872109; 252.877474; 252.891392; 252.949476; 252.957970; 252.948642; 252.882093; 252.900809; 252.871454; 252.886087; 252.873927; 252.860308; 252.871722; 252.913207; 252.894789; 252.890617; 252.893060; 252.948582; 252.943695; 252.910554; 252.944797; 253.011346; 252.959192; 252.965510; 252.904803; 252.906293; 252.921313; 252.907604; 252.895743; 252.910197; 252.963275; 252.975047; 253.009796; 253.038317; 253.113270; 253.128320; 253.127038; 253.160864; 253.179729; 253.198236; 253.160954; 253.144056; 253.178209; 253.177136; 253.234833; 253.206998; 253.147453; 253.145009; 253.134131; 253.179640; 253.166497; 253.157049; 253.179133; 253.211886; 253.257304; 253.270864; 253.255188; 253.281146; 253.243357; 253.134400; 253.151000; 253.194779; 253.222078; 253.176421; 253.146321; 253.139198; 253.100246; 253.057033; 253.059894; 253.036469; 253.065705; 253.051370; 253.013939; 253.021210; 253.050715; 252.995700; 252.913356; 252.822697; 252.745181; 252.781630; 252.804250; 252.911150; 252.881229; 252.859056; 252.853036; 252.825379; 252.829283; 252.824008; 252.860069; 252.793103; 252.821445; 252.860606; 252.923280; 252.993703; 253.037661; 253.015161; 252.961725; 253.003716; 253.039390; 253.064781; 253.059775; 253.104419; 253.163636; 253.156304; 253.231764; 253.237009; 253.168583; 253.081828; 253.014386; 252.877653; 252.814502; 252.777278; 252.735972; 252.683282; 252.653599; 252.629936; 
59.8; 08:11:13; 252.158642; 252.160400; 252.204776; 252.256602; 252.288759; 252.267301; 252.284467; 252.313554; 252.369702; 252.284229; 252.310604; 252.395362; 252.457172; 252.474457; 252.491415; 252.523094; 252.494991; 252.484083; 252.510190; 252.538025; 252.589941; 252.581030; 252.595037; 252.599925; 252.677858; 252.678007; 252.591252; 252.520323; 252.517253; 252.514601; 252.551824; 252.622604; 252.594799; 252.550542; 252.511084; 252.586305; 252.646744; 252.663493; 252.691925; 252.684563; 252.653301; 252.701461; 252.766252; 252.814621; 252.846956; 252.813876; 252.770394; 252.718776; 252.765208; 252.708882; 252.683461; 252.719820; 252.675563; 252.673179; 252.663195; 252.699524; 252.641261; 252.628148; 252.645463; 252.656698; 252.666503; 252.716810; 252.687544; 252.691895; 252.780735; 252.716303; 252.689630; 252.690643; 252.674758; 252.665073; 252.595365; 252.643973; 252.640128; 252.619237; 252.638787; 252.666712; 252.718598; 252.794147; 252.760947; 252.765924; 252.786160; 252.754778; 252.806455; 252.791971; 252.824754; 252.847761; 252.869844; 252.869368; 252.861023; 252.840191; 252.837270; 252.835572; 252.829909; 252.799630; 252.812564; 252.824277; 252.803177; 252.759695; 252.794534; 252.763689; 252.746522; 252.791822; 252.793401; 252.749145; 252.718478; 252.626181; 252.589315; 252.588421; 252.606243; 252.574980; 252.638847; 252.778620; 252.829671; 252.855957; 252.907991; 252.945989; 252.949893; 252.969801; 253.010184; 253.088981; 253.137499; 253.140509; 253.155857; 253.114074; 253.110856; 253.052682; 253.005564; 252.961755; 252.904087; 252.822220; 252.797484; 252.750576; 252.681524; 252.667159; 252.600521; 252.609700; 252.563924; 252.585649; 252.570063; (); 
