Roll Number; 0
Recipe Name; FP 4576_570 GSM
Start Time; 2018-01-22; 10:47:06
File Name; D:\Mahlo\TR\180122104706FP 4576_570 GSM0_XMF2.txt

2215.1; 10:47:39; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.767335; 1.767403; 1.767403; 1.767313; 1.767178; 1.767113; 1.767120; 1.767183; 1.767341; 1.767734; 1.768316; 1.769090; 1.770069; 1.770904; 1.771737; 1.772759; 1.773874; 1.774949; 1.776187; 1.777722; 1.779091; 1.780500; 1.782149; 1.783702; 1.784919; 1.785919; 1.786990; 1.788078; 1.789379; 1.790981; 1.792474; 1.794060; 1.795836; 1.797464; 1.798853; 1.800211; 1.801664; 1.802993; 1.804018; 1.804947; 1.805907; 1.806593; 1.806794; 1.806612; 1.806027; 1.805158; 1.804110; 1.802926; 1.801724; 1.800382; 1.799124; 1.797986; 1.796442; 1.794999; 1.793849; 1.792793; 1.791807; 1.790839; 1.790062; 1.789461; 1.789041; 1.788513; 1.787732; 1.786900; 1.786273; 1.785790; 1.785358; 1.785068; 1.784740; 1.784343; 1.784017; 1.783886; 1.783857; 1.783983; 1.784286; 1.784683; 1.785350; 1.786400; 1.787565; 1.788512; 1.789061; 1.789545; 1.790069; 1.790649; 1.791332; 1.792145; 1.792831; 1.793237; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2217.1; 10:47:48; (); (); (); (); (); (); 1.749995; 1.750500; 1.751304; 1.752011; 1.752637; 1.753153; 1.753783; 1.754691; 1.756124; 1.757673; 1.759265; 1.760676; 1.761660; 1.763444; 1.764905; 1.766617; 1.768241; 1.769703; 1.771112; 1.772273; 1.773128; 1.774000; 1.774673; 1.775274; 1.775740; 1.776110; 1.776369; 1.776606; 1.776835; 1.777014; 1.777059; 1.777047; 1.776990; 1.776821; 1.776575; 1.776344; 1.776211; 1.776166; 1.776095; 1.775892; 1.775531; 1.775088; 1.774559; 1.773891; 1.773258; 1.772746; 1.772367; 1.772176; 1.772083; 1.772091; 1.772246; 1.772459; 1.772740; 1.773162; 1.773949; 1.774812; 1.775688; 1.776628; 1.777666; 1.778946; 1.780217; 1.781143; 1.781997; 1.783037; 1.784055; 1.785027; 1.785861; 1.786712; 1.787641; 1.788392; 1.789282; 1.790294; 1.791186; 1.792162; 1.793016; 1.793858; 1.794709; 1.795514; 1.796145; 1.796631; 1.797190; 1.797546; 1.797723; 1.797796; 1.797765; 1.797590; 1.797231; 1.796881; 1.796567; 1.796077; 1.795410; 1.794772; 1.794245; 1.793954; 1.793671; 1.793318; 1.793093; 1.792948; 1.792830; 1.792760; 1.792759; 1.792752; 1.792670; 1.792611; 1.792698; 1.792867; 1.793127; 1.793308; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2218.7; 10:47:57; (); (); (); (); (); (); 1.746367; 1.746318; 1.746568; 1.747285; 1.748098; 1.749012; 1.750164; 1.751196; 1.752430; 1.753987; 1.755511; 1.757188; 1.759251; 1.761411; 1.763602; 1.765508; 1.767442; 1.769272; 1.770450; 1.771263; 1.771794; 1.771858; 1.771663; 1.771357; 1.770791; 1.769966; 1.769024; 1.767919; 1.766504; 1.765258; 1.764096; 1.762809; 1.761680; 1.760957; 1.760532; 1.760381; 1.760539; 1.761122; 1.761925; 1.762897; 1.764393; 1.766127; 1.767418; 1.768873; 1.770828; 1.772656; 1.774229; 1.775796; 1.777474; 1.778916; 1.780031; 1.781049; 1.781904; 1.782721; 1.783559; 1.784372; 1.785417; 1.786452; 1.787321; 1.788312; 1.789694; 1.791088; 1.792573; 1.794398; 1.796481; 1.798718; 1.800621; 1.802199; 1.803984; 1.805789; 1.807235; 1.808368; 1.809116; 1.809694; 1.810128; 1.810122; 1.809677; 1.808893; 1.807600; 1.805887; 1.804105; 1.802153; 1.800074; 1.797841; 1.795260; 1.792645; 1.790397; 1.788312; 1.785905; 1.783763; 1.781750; 1.779705; 1.777888; 1.776562; 1.775444; 1.774458; 1.773922; 1.773593; 1.773359; 1.773239; 1.773298; 1.773439; 1.773682; 1.774145; 1.774701; 1.775341; 1.776181; 1.777090; 1.777946; 1.778716; 1.779375; 1.780127; 1.781156; 1.782241; 1.783133; 1.783790; 1.784432; 1.784912; 1.785396; 1.786049; 1.786679; (); (); (); (); (); (); (); (); (); (); (); (); (); 
2220.3; 10:48:06; (); (); (); (); (); (); 1.774693; 1.774981; 1.775433; 1.775840; 1.776111; 1.776307; 1.776515; 1.777056; 1.777795; 1.778232; 1.778482; 1.778620; 1.778705; 1.778698; 1.778614; 1.778505; 1.778249; 1.777833; 1.777299; 1.776605; 1.775871; 1.774966; 1.773832; 1.772851; 1.772058; 1.771189; 1.770190; 1.769223; 1.768441; 1.767885; 1.767542; 1.767383; 1.767434; 1.767721; 1.768169; 1.768599; 1.769264; 1.770204; 1.770960; 1.771600; 1.772375; 1.773319; 1.774278; 1.775143; 1.775796; 1.776197; 1.776491; 1.776679; 1.776709; 1.776667; 1.776723; 1.776863; 1.777168; 1.777561; 1.778003; 1.778599; 1.779326; 1.780144; 1.781124; 1.782064; 1.782949; 1.784192; 1.785352; 1.786350; 1.787365; 1.788131; 1.788499; 1.788541; 1.788379; 1.788082; 1.787536; 1.786671; 1.785533; 1.784080; 1.782715; 1.781331; 1.779834; 1.778630; 1.777494; 1.776253; 1.775240; 1.774423; 1.773706; 1.773062; 1.772434; 1.771817; 1.771230; 1.770687; 1.770053; 1.769294; 1.768512; 1.767666; 1.766769; 1.765976; 1.765423; 1.765101; 1.764777; 1.764355; 1.764084; 1.763962; 1.764028; 1.764467; 1.765378; 1.766481; 1.767702; 1.769546; 1.772546; 1.775543; 1.778065; 1.780458; 1.783097; 1.785381; 1.787618; 1.789948; 1.791723; 1.793361; 1.795060; 1.796962; 1.798989; 1.801175; 1.801651; (); (); (); (); (); (); (); (); (); (); (); (); (); 
2221.9; 10:48:15; (); (); (); (); (); (); 1.747536; 1.747747; 1.749972; 1.751609; 1.752642; 1.753667; 1.754415; 1.754977; 1.755798; 1.756756; 1.757665; 1.758443; 1.759061; 1.759656; 1.760261; 1.761135; 1.761756; 1.761096; 1.760229; 1.759723; 1.759573; 1.759532; 1.759488; 1.759494; 1.759552; 1.759909; 1.760550; 1.761211; 1.761954; 1.762646; 1.763290; 1.763923; 1.764720; 1.765566; 1.766078; 1.766372; 1.766639; 1.766870; 1.766932; 1.766825; 1.766563; 1.766079; 1.765510; 1.765100; 1.764757; 1.764409; 1.763976; 1.763449; 1.763082; 1.762902; 1.762956; 1.763265; 1.763929; 1.764955; 1.766103; 1.767428; 1.768976; 1.770626; 1.772436; 1.774357; 1.776562; 1.778820; 1.780980; 1.783808; 1.786513; 1.788725; 1.791025; 1.793158; 1.794964; 1.796960; 1.798841; 1.800406; 1.802078; 1.803867; 1.805608; 1.807261; 1.808451; 1.809187; 1.809922; 1.810554; 1.811061; 1.811517; 1.811845; 1.811962; 1.811868; 1.811518; 1.811013; 1.810257; 1.809125; 1.807909; 1.806964; 1.806097; 1.805019; 1.804004; 1.802940; 1.801750; 1.800550; 1.799478; 1.798436; 1.797513; 1.796922; 1.796510; 1.796171; 1.795852; 1.795501; 1.794983; 1.794447; 1.794153; 1.794035; 1.794080; 1.794222; 1.794531; 1.795208; 1.796173; 1.796598; 1.796650; 1.796717; 1.796839; 1.797051; 1.797697; 1.798471; (); (); (); (); (); (); (); (); (); (); (); (); (); 
2223.6; 10:48:24; (); (); (); (); (); (); 1.775746; 1.775679; 1.775523; 1.775273; 1.775037; 1.774887; 1.774819; 1.774757; 1.774585; 1.774227; 1.773835; 1.773391; 1.772795; 1.772195; 1.771661; 1.771172; 1.770619; 1.770116; 1.769802; 1.769502; 1.769027; 1.768507; 1.768026; 1.767709; 1.767548; 1.767282; 1.766794; 1.766360; 1.765999; 1.765827; 1.765821; 1.765888; 1.765983; 1.766146; 1.766283; 1.766515; 1.766921; 1.767503; 1.768148; 1.769032; 1.770394; 1.771978; 1.773555; 1.774843; 1.776031; 1.777397; 1.778715; 1.780102; 1.781701; 1.783201; 1.784899; 1.786321; 1.787038; 1.787450; 1.787433; 1.787181; 1.786894; 1.786685; 1.786417; 1.786023; 1.785437; 1.784424; 1.783193; 1.781998; 1.780684; 1.779119; 1.777949; 1.777110; 1.776621; 1.776249; 1.775782; 1.775211; 1.774701; 1.774225; 1.773796; 1.773520; 1.773499; 1.773611; 1.773770; 1.774045; 1.774299; 1.774343; 1.774218; 1.774077; 1.774056; 1.774102; 1.774136; 1.774107; 1.774064; 1.774015; 1.773852; 1.773448; 1.772920; 1.772370; 1.771793; 1.771467; 1.771433; 1.771608; 1.771919; 1.772235; 1.772671; 1.773117; 1.773632; 1.774305; 1.775167; 1.777434; 1.780831; 1.784805; 1.788286; 1.791689; 1.795410; 1.798492; 1.801402; 1.804389; 1.806514; 1.808484; 1.810760; 1.813784; 1.817353; 1.820987; 1.822122; (); (); (); (); (); (); (); (); (); (); (); (); (); 
2225.2; 10:48:33; (); (); (); (); (); (); 1.766468; 1.765905; 1.764664; 1.763853; 1.763109; 1.762326; 1.761712; 1.761289; 1.760677; 1.760051; 1.759433; 1.758797; 1.758083; 1.757137; 1.756203; 1.755209; 1.754679; 1.754498; 1.754424; 1.754658; 1.755238; 1.755868; 1.756563; 1.757339; 1.758197; 1.759502; 1.761281; 1.763408; 1.765555; 1.767883; 1.770612; 1.773222; 1.775375; 1.777277; 1.778973; 1.780041; 1.780776; 1.781275; 1.781394; 1.781129; 1.780437; 1.779268; 1.778044; 1.776659; 1.774978; 1.773196; 1.771560; 1.769887; 1.768070; 1.766599; 1.765202; 1.763738; 1.762410; 1.761118; 1.759969; 1.758790; 1.757347; 1.755989; 1.754530; 1.752869; 1.751391; 1.750328; 1.749480; 1.748617; 1.748090; 1.747764; 1.747472; 1.747350; 1.747567; 1.748041; 1.748651; 1.749502; 1.750622; 1.751937; 1.753301; 1.754509; 1.755624; 1.756786; 1.757688; 1.758303; 1.758855; 1.759321; 1.759668; 1.759837; 1.759905; 1.759930; 1.759969; 1.759890; 1.759688; 1.759387; 1.759078; 1.758838; 1.758609; 1.758476; 1.758417; 1.758341; 1.758221; 1.757992; 1.757658; 1.757091; 1.756286; 1.755360; 1.754600; 1.753888; 1.753132; 1.752255; 1.751049; 1.749788; 1.748476; 1.747078; 1.745784; 1.744764; 1.743867; 1.742975; 1.742445; 1.742041; 1.741622; 1.741224; 1.740709; 1.740035; 1.739679; (); (); (); (); (); (); (); (); (); (); (); (); (); 
2226.8; 10:48:42; (); (); (); (); (); (); 1.756861; 1.757122; 1.757339; 1.757506; 1.757711; 1.757841; 1.757990; 1.758466; 1.758906; 1.759096; 1.759204; 1.759369; 1.759537; 1.759632; 1.759663; 1.759671; 1.759678; 1.759708; 1.759687; 1.759584; 1.759521; 1.759383; 1.759160; 1.758970; 1.758942; 1.759072; 1.759253; 1.759604; 1.760132; 1.760903; 1.761805; 1.762667; 1.763825; 1.765210; 1.766483; 1.767819; 1.769285; 1.771143; 1.773058; 1.774619; 1.776359; 1.777797; 1.778882; 1.779982; 1.781043; 1.781821; 1.782355; 1.782544; 1.782560; 1.782547; 1.782436; 1.782139; 1.781580; 1.780835; 1.780032; 1.779234; 1.778417; 1.777519; 1.776693; 1.775833; 1.774931; 1.774000; 1.772861; 1.771694; 1.770470; 1.769211; 1.768122; 1.767047; 1.765794; 1.764536; 1.763478; 1.762378; 1.761142; 1.760126; 1.759581; 1.759268; 1.759222; 1.759554; 1.759866; 1.760176; 1.760459; 1.760656; 1.760788; 1.760867; 1.760886; 1.760872; 1.760895; 1.760884; 1.760695; 1.760225; 1.759485; 1.758588; 1.757574; 1.756541; 1.755825; 1.755484; 1.755552; 1.756073; 1.756724; 1.757656; 1.758867; 1.760213; 1.761731; 1.763283; 1.764860; 1.764756; 1.764263; 1.763689; 1.763005; 1.762202; 1.761050; 1.759768; 1.758238; 1.757040; 1.755810; 1.754248; 1.752497; 1.749911; 1.746932; 1.743960; 1.743664; (); (); (); (); (); (); (); (); (); (); (); (); (); 
2228.4; 10:48:50; (); (); (); (); (); (); 1.745647; 1.745051; 1.743984; 1.743632; 1.743611; 1.743743; 1.743936; 1.744168; 1.744394; 1.744715; 1.745330; 1.746081; 1.746822; 1.747586; 1.748372; 1.749415; 1.750855; 1.752383; 1.753749; 1.754971; 1.756150; 1.757219; 1.758337; 1.759673; 1.760910; 1.762035; 1.763027; 1.763921; 1.765130; 1.766599; 1.768112; 1.769629; 1.771458; 1.773694; 1.775610; 1.777416; 1.779242; 1.780653; 1.782129; 1.783504; 1.784579; 1.785476; 1.786092; 1.786372; 1.786344; 1.785841; 1.784781; 1.783573; 1.782401; 1.780971; 1.779404; 1.778199; 1.777044; 1.775667; 1.774299; 1.773023; 1.772006; 1.771202; 1.770656; 1.770343; 1.770175; 1.770123; 1.770143; 1.770205; 1.770223; 1.770117; 1.769973; 1.770002; 1.770114; 1.770191; 1.770289; 1.770473; 1.770719; 1.770955; 1.771233; 1.771630; 1.772139; 1.772787; 1.773428; 1.774243; 1.775315; 1.776275; 1.776954; 1.777552; 1.778295; 1.778967; 1.779570; 1.780180; 1.780699; 1.781214; 1.781918; 1.782706; 1.783253; 1.783797; 1.784435; 1.784993; 1.785455; 1.785905; 1.786258; 1.786365; 1.786349; 1.786290; 1.786057; 1.785603; 1.784986; 1.784371; 1.783591; 1.782373; 1.780946; 1.779330; 1.777658; 1.776144; 1.775155; 1.774156; 1.773343; 1.772723; 1.771948; 1.771185; 1.770407; 1.769423; 1.768780; (); (); (); (); (); (); (); (); (); (); (); (); (); 
2230.1; 10:48:59; (); (); (); (); (); (); 1.725654; 1.725766; 1.725577; 1.725368; 1.725244; 1.725191; 1.725279; 1.725515; 1.725538; 1.725474; 1.725492; 1.725511; 1.725495; 1.725650; 1.726088; 1.726874; 1.727871; 1.729146; 1.730755; 1.732244; 1.733812; 1.735602; 1.737599; 1.740041; 1.742397; 1.744712; 1.747234; 1.749324; 1.751213; 1.753195; 1.754905; 1.756256; 1.757519; 1.758794; 1.760228; 1.761660; 1.762860; 1.763899; 1.764844; 1.765620; 1.766392; 1.767339; 1.768317; 1.769142; 1.769841; 1.770615; 1.771271; 1.771704; 1.771931; 1.771870; 1.771437; 1.770721; 1.769944; 1.769015; 1.767716; 1.766381; 1.764883; 1.763060; 1.761403; 1.759743; 1.757769; 1.755970; 1.754054; 1.751865; 1.750187; 1.748911; 1.747671; 1.746411; 1.745308; 1.744426; 1.743626; 1.743102; 1.742735; 1.742475; 1.742326; 1.742345; 1.742622; 1.743287; 1.744305; 1.745378; 1.746283; 1.747447; 1.748952; 1.750560; 1.752276; 1.754040; 1.756038; 1.758117; 1.760028; 1.762224; 1.764265; 1.765690; 1.766778; 1.767705; 1.768557; 1.769484; 1.770554; 1.771355; 1.771852; 1.772225; 1.772526; 1.772702; 1.772639; 1.772398; 1.772145; 1.771821; 1.771469; 1.771252; 1.771068; 1.770853; 1.770530; 1.770139; 1.769626; 1.769238; 1.768936; 1.768466; 1.767992; 1.767622; 1.767279; 1.766837; 1.766792; (); (); (); (); (); (); (); (); (); (); (); (); (); 
2231.7; 10:49:08; (); (); (); (); (); (); 1.709671; 1.709893; 1.710594; 1.711300; 1.711927; 1.712373; 1.712732; 1.713095; 1.713532; 1.713988; 1.714329; 1.714650; 1.715029; 1.715304; 1.715466; 1.715454; 1.714958; 1.713978; 1.713108; 1.712277; 1.711385; 1.710668; 1.709942; 1.709281; 1.708842; 1.708585; 1.708369; 1.708255; 1.708356; 1.708666; 1.709480; 1.710921; 1.712472; 1.713964; 1.715757; 1.717190; 1.718395; 1.719944; 1.721537; 1.723212; 1.724747; 1.726261; 1.728021; 1.729387; 1.730545; 1.731924; 1.732796; 1.733503; 1.734344; 1.735366; 1.736533; 1.737715; 1.738896; 1.739853; 1.740462; 1.740921; 1.741572; 1.742222; 1.742632; 1.742888; 1.743172; 1.743528; 1.743861; 1.744094; 1.744142; 1.744180; 1.744285; 1.744472; 1.744691; 1.744993; 1.745249; 1.745250; 1.745297; 1.745468; 1.745768; 1.745888; 1.745869; 1.745754; 1.745610; 1.745423; 1.745094; 1.744602; 1.743993; 1.743499; 1.743102; 1.742982; 1.743101; 1.743264; 1.743430; 1.743643; 1.744088; 1.744778; 1.745845; 1.747060; 1.748376; 1.749761; 1.751165; 1.753149; 1.755376; 1.756953; 1.758113; 1.759293; 1.760470; 1.761497; 1.762271; 1.762880; 1.763190; 1.763166; 1.763077; 1.762968; 1.762596; 1.761907; 1.761192; 1.760561; 1.760027; 1.759608; 1.759193; 1.758745; 1.758255; 1.757713; 1.757349; (); (); (); (); (); (); (); (); (); (); (); (); (); 
