Roll Number; 0
Recipe Name; FP 4556_352 GSM
Start Time; 2018-02-01; 10:41:20
File Name; D:\Mahlo\TR\180201104120FP 4556_352 GSM0_XMF2.txt

538.2; 10:41:54; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.405085; 0.404988; 0.404740; 0.404726; 0.405229; 0.406193; 0.406855; 0.407136; 0.407402; 0.408145; 0.409266; 0.410244; 0.410862; 0.411491; 0.412116; 0.412662; 0.413264; 0.413907; 0.413982; 0.413267; 0.412213; 0.411164; 0.410690; 0.410094; 0.408933; 0.407353; 0.406221; 0.405773; 0.405689; 0.406086; 0.406430; 0.406819; 0.407260; 0.407524; 0.407851; 0.408413; 0.408909; 0.408994; 0.409180; 0.409742; 0.410375; 0.411118; 0.411779; 0.411848; 0.410913; 0.409492; 0.407558; 0.405786; 0.405053; 0.404927; 0.404671; 0.404525; 0.404544; 0.404478; 0.404219; 0.403848; 0.403279; 0.403036; 0.402842; 0.402854; 0.403434; 0.404914; 0.406238; 0.407156; 0.407918; 0.408698; 0.409324; 0.409942; 0.410585; 0.411245; 0.411727; 0.411894; 0.411950; 0.412489; 0.413315; 0.413954; 0.413907; 0.414010; 0.414161; 0.414117; 0.413756; 0.413046; 0.412458; 0.412327; 0.412171; 0.412023; 0.412124; 0.412161; 0.411889; 0.411644; 0.411664; 0.411770; 0.411190; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
541.1; 10:42:03; (); (); (); (); (); (); 0.408025; 0.407882; 0.407859; 0.408226; 0.408457; 0.408465; 0.408520; 0.410094; 0.411474; 0.411901; 0.411531; 0.411083; 0.410887; 0.411892; 0.412861; 0.413521; 0.413919; 0.414068; 0.413908; 0.414055; 0.413973; 0.413767; 0.413680; 0.413617; 0.413436; 0.413735; 0.414314; 0.414414; 0.413891; 0.413356; 0.412821; 0.412356; 0.411928; 0.410891; 0.409888; 0.409681; 0.409508; 0.408877; 0.408187; 0.407569; 0.406532; 0.405082; 0.404157; 0.403919; 0.403950; 0.404023; 0.404028; 0.404067; 0.404371; 0.404692; 0.404840; 0.405054; 0.405302; 0.405552; 0.405822; 0.406278; 0.407011; 0.407591; 0.407949; 0.408173; 0.408447; 0.409396; 0.410731; 0.411915; 0.412911; 0.413512; 0.414170; 0.415088; 0.415368; 0.414890; 0.414501; 0.414144; 0.413866; 0.413855; 0.414124; 0.414314; 0.413897; 0.413314; 0.413102; 0.413068; 0.413137; 0.413170; 0.413414; 0.414413; 0.415925; 0.416781; 0.417208; 0.417382; 0.417576; 0.417765; 0.418180; 0.418639; 0.419006; 0.419105; 0.419344; 0.419774; 0.420358; 0.420899; 0.421128; 0.421082; 0.421292; 0.421669; 0.422497; 0.423263; 0.423188; 0.422977; 0.422791; 0.423079; 0.423446; 0.423578; 0.423304; 0.422472; 0.421258; 0.420573; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
543.5; 10:42:12; (); (); (); (); (); (); 0.221168; 0.223249; 0.224204; 0.225153; 0.225768; 0.225835; 0.225768; 0.225969; 0.229710; 0.231701; 0.231904; 0.232491; 0.232943; 0.233731; 0.233841; 0.233376; 0.232713; 0.232214; 0.231762; 0.231293; 0.231158; 0.230792; 0.230194; 0.229351; 0.228400; 0.227637; 0.227038; 0.226841; 0.226506; 0.226407; 0.226795; 0.227336; 0.228046; 0.228607; 0.229617; 0.230830; 0.232357; 0.234083; 0.235645; 0.236624; 0.237057; 0.236500; 0.235548; 0.234418; 0.232899; 0.231429; 0.230117; 0.228938; 0.227792; 0.226793; 0.225660; 0.224130; 0.222491; 0.221134; 0.220220; 0.220038; 0.220366; 0.220857; 0.221699; 0.223009; 0.224038; 0.224717; 0.225386; 0.225911; 0.226302; 0.226788; 0.227477; 0.228425; 0.228923; 0.228659; 0.228019; 0.227482; 0.227039; 0.226632; 0.226708; 0.227111; 0.227602; 0.228059; 0.228544; 0.229135; 0.229486; 0.229206; 0.228740; 0.229129; 0.230246; 0.231635; 0.232688; 0.233155; 0.233480; 0.233538; 0.233245; 0.232922; 0.232613; 0.232240; 0.231882; 0.231944; 0.232553; 0.232812; 0.232235; 0.231300; 0.230468; 0.230216; 0.230224; 0.229714; 0.229052; 0.228832; 0.228915; 0.228971; 0.229184; 0.229576; 0.229700; 0.229174; 0.228830; 0.229033; 0.229229; 0.229232; 0.229658; 0.231000; 0.232747; 0.233502; 0.233853; 0.234009; 0.234227; 0.234011; 0.233334; 0.233652; (); (); (); (); (); (); (); (); 
545.9; 10:42:21; (); (); (); (); (); (); 0.226252; 0.228382; 0.229764; 0.230289; 0.230480; 0.230708; 0.231846; 0.235063; 0.236178; 0.236102; 0.235507; 0.235065; 0.235252; 0.235657; 0.235712; 0.234845; 0.233773; 0.233164; 0.233065; 0.232874; 0.232258; 0.231266; 0.230550; 0.230517; 0.231042; 0.231616; 0.232054; 0.232039; 0.231935; 0.232018; 0.232621; 0.233179; 0.233444; 0.233597; 0.233946; 0.234526; 0.235117; 0.235440; 0.234960; 0.233972; 0.232980; 0.232197; 0.231607; 0.231261; 0.230825; 0.230063; 0.228958; 0.227676; 0.226505; 0.225302; 0.224406; 0.223639; 0.222970; 0.222378; 0.222028; 0.221999; 0.222250; 0.222660; 0.223026; 0.223637; 0.224577; 0.225349; 0.226361; 0.227627; 0.228661; 0.229944; 0.230876; 0.231194; 0.231751; 0.232123; 0.232092; 0.231804; 0.231182; 0.230587; 0.230118; 0.229898; 0.230171; 0.230457; 0.230745; 0.230881; 0.230690; 0.230613; 0.230626; 0.230640; 0.230917; 0.231531; 0.232337; 0.233466; 0.234289; 0.234681; 0.234691; 0.234536; 0.234365; 0.233996; 0.233620; 0.233713; 0.233914; 0.234236; 0.234715; 0.235252; 0.235149; 0.234493; 0.233510; 0.232755; 0.232613; 0.232781; 0.233228; 0.233461; 0.233634; 0.233856; 0.233834; 0.233529; 0.232604; 0.231585; 0.229961; 0.228738; 0.229203; 0.229387; 0.229197; 0.228764; 0.228371; 0.227406; 0.226472; 0.225750; 0.224372; 0.223866; (); (); (); (); (); (); (); (); 
548.2; 10:42:31; (); (); (); (); (); (); 0.216569; 0.219029; 0.220756; 0.221764; 0.223347; 0.224682; 0.225752; 0.227370; 0.231301; 0.233240; 0.233730; 0.234310; 0.234309; 0.234174; 0.233543; 0.232652; 0.232014; 0.231660; 0.231487; 0.230476; 0.229586; 0.228525; 0.227548; 0.226870; 0.226643; 0.227204; 0.227838; 0.228494; 0.229367; 0.230624; 0.231392; 0.231396; 0.231077; 0.230709; 0.230562; 0.230665; 0.230979; 0.231092; 0.231054; 0.230480; 0.228968; 0.227216; 0.226201; 0.225421; 0.224386; 0.223463; 0.222959; 0.222544; 0.222179; 0.221938; 0.221713; 0.221489; 0.221374; 0.221313; 0.221666; 0.222180; 0.222633; 0.222944; 0.223439; 0.224320; 0.225427; 0.226738; 0.227656; 0.228324; 0.229026; 0.229557; 0.229545; 0.229212; 0.228699; 0.227859; 0.227245; 0.227121; 0.227301; 0.227097; 0.226581; 0.225918; 0.225305; 0.225261; 0.225419; 0.225464; 0.225876; 0.226385; 0.226780; 0.227516; 0.228805; 0.229778; 0.230457; 0.230660; 0.230690; 0.231002; 0.231491; 0.231878; 0.231892; 0.231716; 0.231652; 0.232221; 0.233496; 0.234711; 0.235348; 0.235185; 0.234465; 0.233591; 0.233169; 0.232875; 0.232475; 0.232119; 0.232136; 0.232055; 0.231732; 0.231089; 0.229765; 0.228140; 0.226524; 0.224988; 0.223630; 0.223230; 0.223592; 0.224407; 0.224837; 0.224198; 0.223648; 0.222908; 0.222446; 0.222142; 0.221720; 0.221300; (); (); (); (); (); (); (); (); 
550.6; 10:42:40; (); (); 1.519254; 1.336337; 1.199511; 1.111437; 1.047178; 0.984183; 0.906758; 0.760848; 0.604247; 0.448871; 0.336249; 0.268242; 0.242390; 0.237812; 0.237103; 0.236744; 0.236453; 0.236106; 0.235782; 0.235080; 0.233916; 0.232960; 0.232083; 0.230836; 0.229614; 0.228963; 0.228584; 0.228333; 0.228025; 0.227529; 0.226992; 0.226538; 0.226310; 0.226324; 0.226485; 0.227064; 0.228263; 0.229455; 0.230546; 0.231410; 0.231822; 0.232166; 0.232468; 0.232716; 0.232760; 0.232271; 0.231579; 0.231015; 0.230634; 0.230419; 0.229874; 0.228985; 0.227972; 0.226718; 0.225479; 0.224850; 0.224095; 0.223314; 0.222835; 0.222530; 0.222227; 0.221999; 0.221770; 0.221367; 0.221560; 0.222621; 0.223717; 0.224461; 0.225287; 0.225846; 0.226031; 0.225908; 0.225804; 0.226025; 0.226708; 0.227899; 0.229261; 0.230645; 0.232224; 0.232845; 0.232689; 0.232376; 0.232300; 0.232475; 0.232869; 0.233555; 0.234155; 0.234735; 0.235578; 0.235952; 0.235596; 0.234808; 0.233723; 0.232937; 0.232441; 0.231981; 0.231792; 0.231929; 0.231957; 0.231699; 0.231618; 0.231770; 0.231832; 0.231778; 0.231689; 0.231830; 0.231922; 0.232252; 0.232533; 0.232662; 0.232292; 0.231209; 0.230525; 0.230279; 0.230591; 0.230193; 0.229238; 0.228577; 0.227537; 0.227065; 0.227145; 0.226706; 0.224532; 0.223557; 0.223377; 0.223612; 0.224246; 0.224184; 0.223427; 0.222955; (); (); (); (); (); (); (); (); 
553.0; 10:42:50; (); (); 1.047635; 0.944062; 0.871746; 0.812475; 0.762298; 0.719690; 0.677585; 0.618160; 0.489611; 0.362617; 0.254809; 0.203315; 0.184133; 0.180255; 0.180617; 0.181896; 0.182272; 0.182404; 0.182840; 0.182940; 0.183327; 0.184064; 0.185006; 0.185385; 0.185525; 0.185802; 0.185652; 0.185812; 0.185900; 0.185590; 0.185237; 0.185132; 0.184766; 0.184051; 0.183332; 0.182834; 0.182435; 0.181686; 0.180635; 0.179611; 0.178834; 0.178360; 0.178209; 0.178268; 0.178417; 0.178432; 0.178426; 0.178647; 0.179063; 0.179423; 0.179616; 0.179995; 0.180704; 0.181431; 0.182279; 0.182957; 0.183180; 0.182957; 0.182278; 0.181377; 0.180336; 0.179032; 0.177917; 0.177058; 0.176451; 0.175968; 0.175263; 0.174794; 0.174532; 0.174252; 0.173943; 0.173707; 0.173762; 0.174371; 0.175346; 0.176446; 0.177540; 0.178519; 0.179411; 0.180030; 0.180585; 0.181084; 0.181126; 0.181227; 0.181542; 0.181946; 0.182387; 0.182228; 0.181620; 0.180737; 0.180133; 0.180125; 0.180012; 0.179690; 0.179697; 0.180011; 0.180510; 0.180990; 0.181396; 0.181766; 0.182040; 0.182343; 0.183129; 0.184051; 0.184744; 0.185233; 0.185461; 0.185962; 0.186307; 0.186229; 0.185840; 0.185614; 0.185457; 0.185152; 0.184930; 0.185159; 0.185554; 0.185423; 0.185161; 0.185277; 0.185841; 0.186577; 0.186745; 0.186176; 0.186304; 0.186449; 0.186536; 0.186860; 0.187367; 0.187605; (); (); (); (); (); (); (); (); 
555.5; 10:42:59; (); (); 1.116736; 0.994439; 0.899714; 0.832532; 0.776680; 0.735261; 0.699669; 0.586892; 0.436253; 0.324449; 0.247067; 0.205863; 0.191613; 0.189587; 0.189103; 0.188364; 0.187695; 0.187478; 0.187668; 0.188008; 0.188079; 0.188138; 0.188122; 0.187674; 0.186850; 0.186237; 0.185688; 0.184831; 0.184159; 0.183878; 0.184194; 0.184364; 0.183837; 0.182976; 0.182192; 0.181265; 0.180120; 0.178991; 0.178351; 0.178571; 0.179129; 0.179672; 0.180111; 0.180444; 0.180879; 0.181208; 0.181085; 0.180624; 0.180368; 0.180158; 0.179953; 0.180126; 0.180650; 0.180933; 0.180678; 0.179884; 0.178815; 0.177706; 0.176433; 0.175060; 0.173832; 0.173348; 0.173844; 0.174425; 0.174898; 0.175335; 0.175323; 0.175118; 0.174760; 0.174573; 0.174648; 0.175154; 0.175816; 0.176657; 0.177488; 0.178097; 0.178450; 0.178767; 0.178840; 0.178939; 0.179059; 0.179424; 0.179844; 0.180305; 0.180733; 0.181039; 0.181488; 0.182212; 0.183041; 0.183875; 0.184811; 0.185729; 0.186201; 0.186736; 0.187509; 0.188623; 0.189728; 0.190566; 0.190850; 0.190649; 0.190304; 0.189683; 0.188954; 0.188238; 0.187244; 0.186555; 0.185858; 0.185361; 0.184701; 0.183751; 0.182719; 0.181650; 0.180845; 0.180454; 0.180320; 0.180005; 0.179570; 0.179139; 0.178239; 0.177853; 0.177761; 0.177481; 0.176374; 0.175759; 0.175460; 0.174711; 0.174088; 0.173527; 0.172845; 0.172979; (); (); (); (); (); (); (); (); 
557.9; 10:43:09; (); (); 0.950610; 0.866478; 0.790355; 0.736136; 0.691353; 0.648060; 0.611436; 0.574463; 0.465413; 0.342747; 0.250228; 0.203657; 0.182739; 0.176272; 0.175982; 0.177183; 0.178078; 0.178596; 0.179173; 0.179269; 0.179440; 0.179459; 0.179544; 0.179436; 0.179252; 0.178946; 0.178521; 0.178259; 0.178368; 0.179101; 0.179645; 0.179686; 0.179403; 0.178856; 0.178526; 0.178347; 0.178066; 0.177438; 0.176769; 0.176331; 0.176290; 0.176296; 0.176274; 0.176211; 0.176092; 0.176142; 0.176234; 0.176232; 0.175920; 0.175054; 0.174305; 0.174040; 0.174202; 0.174526; 0.174736; 0.174762; 0.174706; 0.174635; 0.174440; 0.173684; 0.172817; 0.172497; 0.172654; 0.173224; 0.174512; 0.176068; 0.177667; 0.178874; 0.179547; 0.179703; 0.179509; 0.179235; 0.179093; 0.179085; 0.179395; 0.179456; 0.179074; 0.178686; 0.178181; 0.177391; 0.176537; 0.175503; 0.174617; 0.174028; 0.173903; 0.174144; 0.174490; 0.174696; 0.174629; 0.174584; 0.174767; 0.175379; 0.176051; 0.176587; 0.176702; 0.176378; 0.176127; 0.176106; 0.176696; 0.177485; 0.177893; 0.178019; 0.178194; 0.178564; 0.178889; 0.178967; 0.178668; 0.178299; 0.178132; 0.178444; 0.178894; 0.179134; 0.179115; 0.178628; 0.177636; 0.176319; 0.175213; 0.174505; 0.173949; 0.173561; 0.173675; 0.175295; 0.177774; 0.178930; 0.178961; 0.179172; 0.179677; 0.180169; 0.180772; 0.182974; (); (); (); (); (); (); (); (); 
560.4; 10:43:18; (); (); 0.937122; 0.838206; 0.761710; 0.707920; 0.668286; 0.634302; 0.600646; 0.510563; 0.388864; 0.296706; 0.232296; 0.197195; 0.187000; 0.184987; 0.184671; 0.184515; 0.184633; 0.184792; 0.184727; 0.184644; 0.184667; 0.184831; 0.185005; 0.185507; 0.186118; 0.186180; 0.185490; 0.184838; 0.184466; 0.184260; 0.183900; 0.183388; 0.182905; 0.182502; 0.181763; 0.180964; 0.180441; 0.180416; 0.180398; 0.180172; 0.180059; 0.179998; 0.179568; 0.178893; 0.178291; 0.177833; 0.177260; 0.176730; 0.176509; 0.176733; 0.176691; 0.176054; 0.175280; 0.174851; 0.174932; 0.175272; 0.175428; 0.175413; 0.175245; 0.175222; 0.175573; 0.176004; 0.176275; 0.176158; 0.175983; 0.176530; 0.177813; 0.178530; 0.178208; 0.177351; 0.176722; 0.176455; 0.176284; 0.176055; 0.175468; 0.174501; 0.173618; 0.172670; 0.172030; 0.171552; 0.170713; 0.169479; 0.168220; 0.167914; 0.168164; 0.168682; 0.169403; 0.170322; 0.171540; 0.172752; 0.173959; 0.175427; 0.176425; 0.177132; 0.177654; 0.177974; 0.178310; 0.178821; 0.179272; 0.179771; 0.180097; 0.180169; 0.180742; 0.181344; 0.181461; 0.181320; 0.180965; 0.180775; 0.180306; 0.180235; 0.181162; 0.182237; 0.183209; 0.183568; 0.183569; 0.183663; 0.183182; 0.182330; 0.180549; 0.179863; 0.179858; 0.180938; 0.180348; 0.180656; 0.180793; 0.180303; 0.180016; 0.179334; 0.178487; 0.177947; (); (); (); (); (); (); (); (); 
562.8; 10:43:28; (); (); 0.771002; 0.706661; 0.647364; 0.605943; 0.566701; 0.537770; 0.513129; 0.483154; 0.390783; 0.303535; 0.237874; 0.197620; 0.183164; 0.180038; 0.180281; 0.181671; 0.182353; 0.182776; 0.183403; 0.183919; 0.184557; 0.185213; 0.185949; 0.186479; 0.186787; 0.186450; 0.185948; 0.185741; 0.185625; 0.185457; 0.185025; 0.184538; 0.184290; 0.184254; 0.184287; 0.184306; 0.184088; 0.183877; 0.183956; 0.184102; 0.184238; 0.184199; 0.184068; 0.183720; 0.183284; 0.182836; 0.182303; 0.181557; 0.180780; 0.179811; 0.178930; 0.178251; 0.177475; 0.176530; 0.175497; 0.174723; 0.174153; 0.173668; 0.173367; 0.173257; 0.173624; 0.174205; 0.174614; 0.174557; 0.174583; 0.174876; 0.174989; 0.174837; 0.174815; 0.175178; 0.175703; 0.176196; 0.176323; 0.176520; 0.176846; 0.176779; 0.176374; 0.175862; 0.175447; 0.174799; 0.174098; 0.173685; 0.173689; 0.173705; 0.173620; 0.173703; 0.174058; 0.174654; 0.175083; 0.175505; 0.176010; 0.176869; 0.178111; 0.179509; 0.180952; 0.182193; 0.183092; 0.183978; 0.184967; 0.185832; 0.186494; 0.186935; 0.187036; 0.187062; 0.187142; 0.187257; 0.187320; 0.187169; 0.186784; 0.186066; 0.185167; 0.184267; 0.183463; 0.182906; 0.182653; 0.182175; 0.181378; 0.180351; 0.178698; 0.177383; 0.177114; 0.177711; 0.178770; 0.178668; 0.178610; 0.178892; 0.179264; 0.179411; 0.179103; 0.178286; 0.178603; (); (); (); (); (); (); (); 
