Roll Number; 0
Recipe Name; FP 4556_275 GSM
Start Time; 2018-02-07; 11:02:47
File Name; D:\Mahlo\TR\180207110247FP 4556_275 GSM0_THICKNESS2.txt

3777.4; 11:02:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.783628; 0.786057; 0.787010; 0.788830; 0.789108; 0.788800; 0.789355; 0.789009; 0.786592; 0.785864; 0.783347; 0.780196; 0.779183; 0.777952; 0.777937; 0.776981; 0.773921; 0.771511; 0.769091; 0.767458; 0.764947; 0.762321; 0.760549; 0.762027; 0.761830; 0.762168; 0.763032; 0.765068; 0.764051; 0.762889; 0.762401; 0.762139; 0.761553; 0.759137; 0.757555; 0.756212; 0.755221; 0.753603; 0.750044; 0.747379; 0.747392; 0.745681; 0.742999; 0.741040; 0.738949; 0.738505; 0.738438; 0.739748; 0.743907; 0.748310; 0.752345; 0.754113; 0.754205; 0.755821; 0.759400; 0.759654; 0.762265; 0.766089; 0.769378; 0.768124; 0.769010; 0.769769; 0.768827; 0.765566; 0.761295; 0.758336; 0.760239; 0.765321; 0.767935; 0.769237; 0.771205; 0.771441; 0.770796; 0.772544; 0.776611; 0.777629; 0.777896; 0.780286; 0.783442; 0.787613; 0.791465; 0.793444; 0.793149; 0.791962; 0.791435; 0.792240; 0.792234; 0.791190; 0.791684; 0.792147; 0.792991; 0.794667; 0.792949; 0.794928; 0.795209; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3792.4; 11:03:43; (); (); (); (); (); (); 0.786345; 0.784871; 0.785188; 0.788227; 0.789400; 0.790161; 0.789299; 0.787230; 0.785949; 0.786543; 0.784254; 0.779936; 0.777570; 0.776287; 0.773439; 0.770824; 0.769296; 0.766504; 0.762640; 0.761374; 0.760091; 0.759302; 0.760707; 0.760469; 0.759314; 0.760235; 0.761978; 0.761839; 0.761389; 0.761474; 0.760350; 0.759301; 0.760393; 0.762382; 0.763634; 0.764875; 0.767793; 0.769513; 0.772917; 0.776568; 0.780253; 0.782545; 0.786587; 0.790518; 0.795439; 0.802082; 0.809412; 0.812353; 0.812337; 0.812457; 0.812644; 0.809797; 0.810862; 0.812404; 0.813297; 0.813447; 0.814030; 0.815323; 0.815226; 0.814122; 0.812885; 0.811767; 0.810938; 0.812678; 0.813967; 0.816666; 0.820540; 0.820357; 0.819311; 0.820719; 0.822008; 0.822321; 0.822154; 0.823010; 0.822537; 0.820626; 0.819505; 0.820450; 0.817899; 0.815599; 0.813637; 0.813031; 0.814062; 0.812440; 0.808586; 0.807004; 0.805114; 0.801835; 0.801673; 0.804857; 0.808663; 0.811971; 0.815483; 0.821643; 0.827168; 0.827498; 0.827437; 0.829336; 0.833228; 0.836103; 0.838113; 0.843018; 0.847391; 0.849037; 0.849155; 0.849656; 0.849459; 0.848111; 0.845730; 0.844357; 0.846516; 0.845507; 0.843834; 0.843344; 0.843829; 0.845084; 0.843915; 0.843124; 0.841604; 0.839649; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3795.1; 11:03:52; (); (); (); (); (); (); 0.794183; 0.793545; 0.792920; 0.792976; 0.790744; 0.789870; 0.789410; 0.787112; 0.785390; 0.787618; 0.788538; 0.787533; 0.785616; 0.783430; 0.782256; 0.781886; 0.781683; 0.781170; 0.781377; 0.783412; 0.783300; 0.783699; 0.785303; 0.786905; 0.786093; 0.786481; 0.787889; 0.788902; 0.789608; 0.790654; 0.791828; 0.793202; 0.794125; 0.794829; 0.795546; 0.797324; 0.799903; 0.800812; 0.801554; 0.803651; 0.804544; 0.803097; 0.803818; 0.804863; 0.805608; 0.806553; 0.807160; 0.806617; 0.804791; 0.803727; 0.802066; 0.801518; 0.802441; 0.802195; 0.801434; 0.802305; 0.803196; 0.805308; 0.808182; 0.811278; 0.814737; 0.816735; 0.819562; 0.822574; 0.825397; 0.828891; 0.832618; 0.834260; 0.834413; 0.834114; 0.834693; 0.836214; 0.836179; 0.835331; 0.832655; 0.828450; 0.825352; 0.823520; 0.820410; 0.818587; 0.818759; 0.819808; 0.820377; 0.822714; 0.823440; 0.825435; 0.827780; 0.828596; 0.828477; 0.828882; 0.830612; 0.833010; 0.835539; 0.838459; 0.839649; 0.837728; 0.835476; 0.833192; 0.831996; 0.833025; 0.833245; 0.832715; 0.832705; 0.833404; 0.832355; 0.832893; 0.832888; 0.831575; 0.829721; 0.827968; 0.827222; 0.828411; 0.829575; 0.829277; 0.826922; 0.823498; 0.821724; 0.819425; 0.818777; 0.819606; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3798.0; 11:04:01; (); (); (); (); (); (); 0.774646; 0.778221; 0.781098; 0.785229; 0.791285; 0.794651; 0.796084; 0.797564; 0.798857; 0.799708; 0.801446; 0.804123; 0.807226; 0.810746; 0.810749; 0.810779; 0.810203; 0.808156; 0.805519; 0.802681; 0.801233; 0.800361; 0.801091; 0.802631; 0.803173; 0.801629; 0.800186; 0.799704; 0.799235; 0.798985; 0.800046; 0.801255; 0.802996; 0.804616; 0.805251; 0.805925; 0.806598; 0.808770; 0.811057; 0.812046; 0.814380; 0.815325; 0.816093; 0.817195; 0.817803; 0.818348; 0.819185; 0.818284; 0.816522; 0.814636; 0.811840; 0.809850; 0.808225; 0.807326; 0.807504; 0.807986; 0.806666; 0.804388; 0.803975; 0.803938; 0.803609; 0.803183; 0.805084; 0.806989; 0.809258; 0.810916; 0.813359; 0.812683; 0.812840; 0.811766; 0.810209; 0.809513; 0.811975; 0.812873; 0.811510; 0.809745; 0.809432; 0.808207; 0.807777; 0.808276; 0.808734; 0.809086; 0.810397; 0.810309; 0.808713; 0.807127; 0.808583; 0.808613; 0.810469; 0.811668; 0.813169; 0.814109; 0.812497; 0.807858; 0.806413; 0.805660; 0.804304; 0.802700; 0.803096; 0.804082; 0.803391; 0.802900; 0.802457; 0.799455; 0.799364; 0.797698; 0.798113; 0.799445; 0.800939; 0.800129; 0.796215; 0.796513; 0.798709; 0.798357; 0.799585; 0.800418; 0.799074; 0.797366; 0.795884; 0.819606; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3800.8; 11:04:09; (); (); (); (); (); (); 0.799002; 0.801501; 0.801089; 0.802148; 0.803233; 0.803539; 0.802720; 0.803610; 0.807216; 0.811631; 0.815632; 0.818436; 0.818795; 0.818790; 0.820884; 0.821630; 0.820916; 0.821108; 0.820227; 0.820085; 0.821285; 0.823078; 0.820685; 0.819108; 0.815814; 0.813032; 0.811151; 0.810406; 0.810653; 0.806136; 0.803856; 0.804426; 0.804249; 0.803237; 0.802829; 0.801686; 0.801462; 0.801572; 0.799902; 0.801622; 0.805323; 0.808166; 0.807955; 0.807575; 0.811421; 0.811825; 0.812761; 0.814770; 0.816539; 0.816882; 0.817170; 0.816427; 0.816144; 0.816530; 0.815657; 0.814351; 0.812869; 0.813412; 0.815272; 0.815939; 0.816041; 0.816229; 0.816240; 0.817300; 0.818956; 0.819104; 0.819707; 0.822724; 0.824760; 0.825570; 0.825311; 0.827565; 0.828068; 0.827777; 0.827095; 0.825635; 0.824539; 0.824881; 0.825402; 0.826402; 0.829027; 0.832202; 0.831735; 0.832334; 0.833408; 0.834685; 0.835070; 0.833745; 0.833424; 0.835084; 0.839016; 0.842256; 0.843174; 0.842921; 0.841979; 0.840692; 0.840198; 0.842854; 0.843514; 0.844758; 0.845667; 0.846313; 0.848045; 0.848669; 0.848955; 0.846647; 0.843847; 0.841205; 0.840463; 0.839681; 0.839039; 0.836226; 0.832025; 0.829910; 0.826602; 0.824323; 0.822643; 0.821057; 0.818732; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3803.7; 11:04:18; (); (); (); (); (); (); 0.788306; 0.790903; 0.792393; 0.793107; 0.795126; 0.797807; 0.799999; 0.802540; 0.804782; 0.805064; 0.807224; 0.808315; 0.808603; 0.809372; 0.810311; 0.810679; 0.809090; 0.808248; 0.807517; 0.806469; 0.805243; 0.802198; 0.799246; 0.798644; 0.796970; 0.795057; 0.794329; 0.793084; 0.792743; 0.791964; 0.790460; 0.789741; 0.788724; 0.788035; 0.786804; 0.785156; 0.784342; 0.783836; 0.782922; 0.782300; 0.781773; 0.781125; 0.782183; 0.783261; 0.783752; 0.784442; 0.786109; 0.788099; 0.790323; 0.791005; 0.791528; 0.791778; 0.791332; 0.791083; 0.790611; 0.790384; 0.791215; 0.792224; 0.792708; 0.794028; 0.795148; 0.795619; 0.794505; 0.794096; 0.795318; 0.797978; 0.800959; 0.802414; 0.802988; 0.803719; 0.806297; 0.809427; 0.811392; 0.812666; 0.813729; 0.814382; 0.815154; 0.817228; 0.820284; 0.820418; 0.819265; 0.819113; 0.821449; 0.822757; 0.821265; 0.819908; 0.817947; 0.817241; 0.817212; 0.817265; 0.816881; 0.819161; 0.819574; 0.818628; 0.820637; 0.821080; 0.821814; 0.821571; 0.822866; 0.825129; 0.823892; 0.824091; 0.822681; 0.823165; 0.825253; 0.826579; 0.825411; 0.822052; 0.817918; 0.814756; 0.813502; 0.808679; 0.806514; 0.804871; 0.803965; 0.804526; 0.804772; 0.805367; 0.799772; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3806.5; 11:04:27; (); (); (); (); (); (); 0.788996; 0.791702; 0.794413; 0.794883; 0.796327; 0.797498; 0.797957; 0.798441; 0.800424; 0.802499; 0.804038; 0.804720; 0.804634; 0.806876; 0.809459; 0.809317; 0.808152; 0.808140; 0.809445; 0.809149; 0.808706; 0.808492; 0.808245; 0.808843; 0.811146; 0.812157; 0.812669; 0.813180; 0.814120; 0.812875; 0.814292; 0.816468; 0.817764; 0.818114; 0.819076; 0.820532; 0.823600; 0.826056; 0.826740; 0.825115; 0.823005; 0.821767; 0.821762; 0.822131; 0.822347; 0.820383; 0.817732; 0.814796; 0.813742; 0.813852; 0.813415; 0.812319; 0.811865; 0.811799; 0.812317; 0.812563; 0.814125; 0.811858; 0.811378; 0.813718; 0.816384; 0.819769; 0.822928; 0.824542; 0.824465; 0.823171; 0.821542; 0.818851; 0.817465; 0.817121; 0.817080; 0.817335; 0.819040; 0.817574; 0.814327; 0.810780; 0.807958; 0.807678; 0.805003; 0.804407; 0.804694; 0.805682; 0.806038; 0.806543; 0.806461; 0.805080; 0.802327; 0.801224; 0.802732; 0.806102; 0.809224; 0.810899; 0.810719; 0.810789; 0.810265; 0.808848; 0.808562; 0.808496; 0.806695; 0.806324; 0.807542; 0.808257; 0.807316; 0.805443; 0.801623; 0.798983; 0.797058; 0.796976; 0.797017; 0.796397; 0.796187; 0.795917; 0.796725; 0.797938; 0.798015; 0.796977; 0.796595; 0.796275; 0.795806; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3809.3; 11:04:36; (); (); (); (); (); (); 0.773966; 0.777725; 0.777520; 0.775798; 0.776639; 0.779055; 0.780366; 0.782583; 0.785968; 0.786240; 0.784429; 0.785885; 0.789513; 0.791806; 0.791839; 0.791223; 0.791826; 0.794001; 0.795690; 0.795207; 0.793245; 0.793435; 0.791912; 0.791069; 0.792709; 0.795302; 0.795027; 0.793360; 0.792885; 0.794044; 0.794530; 0.793751; 0.795456; 0.797480; 0.799138; 0.800039; 0.799922; 0.799236; 0.801222; 0.803722; 0.805273; 0.807439; 0.809124; 0.808795; 0.807638; 0.806313; 0.802809; 0.800225; 0.796833; 0.795029; 0.795964; 0.796557; 0.798120; 0.796457; 0.795148; 0.794384; 0.793608; 0.792880; 0.792969; 0.793363; 0.795378; 0.799373; 0.800031; 0.802379; 0.804331; 0.804396; 0.803269; 0.802897; 0.801949; 0.801893; 0.802683; 0.802477; 0.799996; 0.797522; 0.795653; 0.793552; 0.791899; 0.793223; 0.795116; 0.795163; 0.796511; 0.798025; 0.799094; 0.801050; 0.800653; 0.799840; 0.801450; 0.804949; 0.809813; 0.813994; 0.818241; 0.820352; 0.820979; 0.821632; 0.821556; 0.823115; 0.825390; 0.827458; 0.828586; 0.830644; 0.831908; 0.832636; 0.833061; 0.832021; 0.829876; 0.830854; 0.830457; 0.828838; 0.828385; 0.828133; 0.823134; 0.820418; 0.819948; 0.819607; 0.818392; 0.816606; 0.815805; 0.814084; 0.814102; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3812.2; 11:04:45; (); (); (); (); (); (); 0.773950; 0.776635; 0.778339; 0.781946; 0.783299; 0.783163; 0.783745; 0.790848; 0.792927; 0.793765; 0.794268; 0.792710; 0.790637; 0.788769; 0.788495; 0.788971; 0.789157; 0.788412; 0.785588; 0.784516; 0.783861; 0.783044; 0.781093; 0.778317; 0.777856; 0.778328; 0.780386; 0.781610; 0.782229; 0.782605; 0.781688; 0.781802; 0.782992; 0.783804; 0.783712; 0.784611; 0.784803; 0.785815; 0.787176; 0.787480; 0.787771; 0.786407; 0.786988; 0.787262; 0.786234; 0.785646; 0.783981; 0.781712; 0.780538; 0.781058; 0.781615; 0.780877; 0.781292; 0.781629; 0.781306; 0.780464; 0.779962; 0.778878; 0.778643; 0.779393; 0.781570; 0.783389; 0.785352; 0.787828; 0.789326; 0.789354; 0.789471; 0.790637; 0.791433; 0.791943; 0.792747; 0.793608; 0.794787; 0.794704; 0.795178; 0.796315; 0.797548; 0.798127; 0.795579; 0.796971; 0.799637; 0.802094; 0.802798; 0.802996; 0.803250; 0.804229; 0.805200; 0.805221; 0.806199; 0.805983; 0.806430; 0.807988; 0.810384; 0.810881; 0.811869; 0.813594; 0.813897; 0.814185; 0.816138; 0.818112; 0.820339; 0.822819; 0.826150; 0.829424; 0.829788; 0.829303; 0.828418; 0.828933; 0.832833; 0.833633; 0.833900; 0.835277; 0.836456; 0.837306; 0.838248; 0.838169; 0.837691; 0.835997; 0.834145; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3815.0; 11:04:53; (); (); (); (); (); (); 0.798258; 0.802771; 0.806927; 0.811721; 0.813157; 0.814480; 0.816997; 0.819722; 0.821361; 0.822678; 0.824233; 0.825029; 0.824786; 0.823350; 0.820299; 0.816456; 0.810838; 0.806908; 0.803879; 0.802542; 0.799753; 0.793699; 0.787957; 0.785353; 0.783864; 0.780734; 0.778689; 0.778229; 0.779027; 0.779793; 0.779615; 0.782228; 0.783522; 0.784304; 0.785562; 0.786696; 0.788323; 0.783328; 0.777822; 0.778165; 0.780653; 0.783569; 0.786687; 0.788936; 0.790373; 0.792378; 0.792655; 0.790907; 0.787254; 0.784477; 0.784214; 0.784569; 0.794713; 0.800531; 0.802811; 0.802831; 0.800320; 0.799516; 0.800484; 0.802401; 0.804626; 0.807099; 0.809127; 0.812755; 0.815748; 0.818123; 0.822319; 0.824561; 0.824543; 0.824314; 0.827966; 0.830551; 0.830679; 0.829416; 0.828305; 0.829245; 0.831111; 0.832226; 0.834053; 0.835666; 0.837594; 0.839172; 0.839734; 0.842650; 0.846358; 0.850099; 0.853013; 0.855454; 0.858945; 0.861793; 0.863601; 0.865221; 0.866460; 0.865468; 0.865143; 0.863542; 0.861021; 0.858606; 0.856247; 0.851273; 0.847554; 0.844758; 0.842550; 0.841516; 0.840007; 0.839779; 0.840408; 0.841054; 0.841365; 0.842387; 0.843953; 0.845535; 0.845746; 0.847002; 0.849163; 0.851282; 0.852838; 0.853717; 0.854344; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3817.9; 11:05:02; (); (); (); (); (); (); 0.777045; 0.778412; 0.779761; 0.783124; 0.785682; 0.787300; 0.788779; 0.793017; 0.797944; 0.802470; 0.805994; 0.808106; 0.809591; 0.809193; 0.808668; 0.808648; 0.809133; 0.807012; 0.802827; 0.800571; 0.800047; 0.799948; 0.799631; 0.796483; 0.791788; 0.787497; 0.784225; 0.781952; 0.780720; 0.779852; 0.779793; 0.779849; 0.780258; 0.782058; 0.783208; 0.784063; 0.785779; 0.788860; 0.792781; 0.797412; 0.801094; 0.803804; 0.805518; 0.807569; 0.810662; 0.813066; 0.815934; 0.819198; 0.821081; 0.821046; 0.818255; 0.813973; 0.808955; 0.806285; 0.803889; 0.802425; 0.801081; 0.800594; 0.800498; 0.799211; 0.796814; 0.794320; 0.792362; 0.791710; 0.793023; 0.796163; 0.797293; 0.798462; 0.798642; 0.797922; 0.797787; 0.799123; 0.798303; 0.796698; 0.796159; 0.795404; 0.796884; 0.795368; 0.791819; 0.788300; 0.786322; 0.787121; 0.784452; 0.781911; 0.780019; 0.777924; 0.776330; 0.776348; 0.775438; 0.775049; 0.774880; 0.773152; 0.774159; 0.777287; 0.778937; 0.777717; 0.777237; 0.781741; 0.783949; 0.785191; 0.786761; 0.786242; 0.785334; 0.783527; 0.782515; 0.782134; 0.783171; 0.787669; 0.788364; 0.788797; 0.787977; 0.786424; 0.784806; 0.786399; 0.786670; 0.786261; 0.786891; 0.788635; 0.792205; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
