Roll Number; 0
Recipe Name; FP 4556_576 GSM
Start Time; 2018-02-07; 13:14:12
File Name; D:\Mahlo\TR\180207131412FP 4556_576 GSM0_XMF2.txt

6131.2; 13:14:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.544525; 0.534525; 0.513180; 0.496102; 0.480144; 0.466953; 0.457042; 0.448080; 0.435558; 0.419913; 0.404324; 0.392614; 0.376847; 0.360885; 0.346765; 0.330499; 0.324757; 0.325167; 0.325330; 0.325270; 0.325196; 0.325216; 0.325243; 0.325188; 0.325190; 0.325171; 0.325118; 0.324955; 0.324613; 0.324178; 0.323722; 0.323257; 0.322743; 0.322059; 0.321284; 0.320581; 0.319890; 0.319353; 0.318915; 0.318343; 0.317719; 0.317052; 0.316489; 0.316295; 0.316253; 0.316195; 0.316276; 0.316530; 0.316923; 0.317504; 0.317830; 0.317963; 0.317938; 0.317782; 0.317604; 0.317415; 0.317202; 0.317042; 0.316812; 0.316560; 0.316299; 0.315822; 0.315252; 0.314684; 0.314232; 0.314032; 0.313928; 0.313794; 0.313634; 0.313530; 0.313547; 0.313856; 0.314057; 0.314090; 0.313955; 0.313911; 0.314205; 0.314659; 0.315022; 0.314949; 0.314770; 0.314713; 0.314834; 0.315237; 0.315734; 0.316264; 0.316281; 0.316084; 0.316036; 0.316228; 0.316383; 0.316370; 0.316344; 0.316380; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6132.9; 13:14:32; (); (); (); (); (); (); (); 0.256143; 0.257282; 0.258860; 0.259949; 0.260477; 0.260753; 0.260742; 0.261609; 0.263884; 0.264594; 0.264406; 0.264278; 0.264344; 0.264395; 0.264353; 0.264323; 0.264254; 0.264088; 0.263885; 0.263715; 0.263698; 0.264061; 0.264406; 0.264684; 0.264920; 0.265151; 0.265097; 0.264799; 0.264311; 0.263621; 0.262807; 0.261948; 0.260979; 0.260109; 0.259377; 0.258647; 0.257680; 0.256766; 0.255727; 0.254505; 0.253446; 0.252777; 0.252190; 0.251832; 0.251828; 0.253939; 0.259265; 0.263921; 0.268483; 0.273729; 0.278227; 0.282688; 0.287756; 0.292381; 0.296925; 0.301884; 0.305945; 0.310003; 0.314097; 0.318706; 0.320864; 0.320603; 0.320352; 0.320184; 0.320032; 0.319898; 0.319717; 0.319482; 0.319110; 0.318657; 0.318298; 0.318321; 0.318518; 0.318692; 0.318876; 0.318964; 0.318932; 0.318761; 0.318399; 0.317905; 0.317457; 0.317248; 0.317591; 0.318306; 0.319081; 0.319817; 0.320324; 0.320709; 0.321207; 0.321720; 0.322129; 0.322302; 0.322503; 0.322897; 0.323049; 0.323180; 0.323049; 0.322721; 0.322008; 0.321749; 0.321634; 0.321420; 0.321052; 0.320453; 0.319663; 0.318584; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6134.2; 13:14:41; (); (); (); (); (); (); (); 0.244260; 0.244982; 0.244723; 0.244738; 0.244329; 0.243965; 0.243399; 0.242922; 0.243843; 0.245463; 0.245505; 0.244707; 0.244363; 0.244061; 0.243918; 0.243738; 0.243603; 0.244095; 0.244328; 0.244922; 0.245365; 0.246269; 0.247390; 0.248822; 0.250072; 0.251026; 0.251914; 0.252466; 0.252991; 0.253567; 0.254269; 0.255037; 0.255897; 0.256842; 0.257650; 0.258618; 0.259561; 0.260393; 0.261087; 0.261479; 0.261911; 0.262384; 0.262671; 0.262731; 0.262553; 0.262262; 0.262096; 0.261979; 0.261913; 0.261880; 0.261908; 0.261892; 0.261921; 0.261850; 0.261944; 0.262104; 0.262373; 0.262656; 0.262813; 0.262877; 0.262982; 0.262989; 0.262991; 0.262943; 0.262885; 0.262762; 0.262631; 0.262530; 0.262533; 0.262521; 0.262359; 0.261861; 0.261345; 0.260901; 0.260473; 0.260170; 0.259835; 0.259479; 0.259096; 0.258637; 0.258199; 0.257884; 0.257614; 0.257375; 0.257076; 0.256944; 0.257020; 0.257287; 0.257814; 0.258627; 0.259379; 0.260015; 0.260689; 0.261304; 0.261723; 0.262003; 0.262213; 0.262404; 0.262595; 0.262788; 0.262879; 0.262889; 0.262834; 0.262714; 0.262448; 0.262057; 0.261639; 0.261349; 0.261141; 0.260786; 0.259868; 0.257370; 0.256286; 0.255785; 0.255174; 0.254342; 0.253317; 0.252006; 0.251116; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6135.5; 13:14:49; (); (); (); (); (); (); (); 0.250571; 0.251046; 0.251260; 0.251185; 0.251044; 0.250892; 0.250712; 0.250936; 0.253222; 0.254528; 0.254481; 0.253986; 0.253503; 0.253121; 0.252891; 0.252868; 0.252929; 0.253024; 0.253240; 0.253584; 0.254074; 0.254857; 0.255580; 0.256257; 0.257017; 0.257572; 0.257866; 0.257774; 0.257365; 0.256778; 0.256446; 0.256464; 0.256982; 0.257628; 0.258038; 0.258310; 0.258354; 0.258098; 0.257646; 0.257055; 0.256369; 0.255793; 0.255436; 0.255378; 0.255543; 0.255818; 0.255999; 0.256089; 0.256046; 0.256014; 0.255932; 0.255922; 0.256134; 0.256584; 0.257030; 0.257623; 0.258254; 0.259185; 0.260290; 0.261632; 0.262624; 0.263253; 0.263697; 0.263903; 0.263934; 0.263950; 0.263867; 0.263681; 0.263362; 0.262897; 0.262218; 0.261446; 0.260609; 0.259568; 0.258246; 0.256817; 0.255164; 0.253767; 0.252772; 0.252439; 0.252392; 0.252632; 0.252921; 0.253152; 0.253371; 0.253633; 0.253847; 0.254012; 0.254157; 0.254452; 0.254907; 0.255527; 0.256172; 0.256529; 0.256074; 0.255398; 0.254438; 0.253503; 0.252758; 0.252090; 0.251469; 0.250522; 0.249889; 0.248927; 0.247937; 0.246898; 0.245631; 0.244975; 0.244310; 0.243705; 0.240994; 0.239752; 0.239205; 0.238558; 0.237975; 0.237321; 0.236960; 0.236013; 0.251116; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6136.9; 13:14:58; (); (); (); (); (); (); (); 0.225914; 0.227111; 0.228330; 0.229012; 0.228961; 0.229294; 0.229466; 0.229853; 0.233191; 0.235869; 0.236902; 0.236823; 0.236773; 0.236690; 0.236703; 0.237184; 0.237452; 0.237974; 0.238460; 0.239594; 0.240462; 0.241388; 0.242496; 0.243374; 0.244061; 0.244734; 0.245466; 0.246078; 0.246610; 0.246934; 0.247239; 0.247689; 0.248065; 0.248640; 0.249147; 0.249578; 0.249846; 0.250078; 0.250420; 0.250817; 0.251025; 0.250973; 0.250787; 0.250636; 0.250524; 0.250303; 0.249892; 0.249461; 0.249139; 0.248836; 0.248675; 0.248632; 0.248640; 0.248710; 0.248849; 0.249208; 0.249885; 0.250627; 0.251347; 0.252346; 0.253713; 0.255130; 0.256182; 0.256856; 0.257523; 0.258178; 0.258820; 0.259495; 0.259930; 0.260130; 0.260102; 0.259793; 0.259483; 0.259032; 0.258467; 0.257825; 0.257159; 0.256693; 0.256231; 0.255824; 0.255561; 0.255417; 0.255239; 0.255154; 0.255236; 0.255387; 0.255830; 0.256116; 0.256340; 0.256475; 0.256560; 0.256653; 0.256820; 0.257080; 0.257430; 0.257530; 0.257217; 0.256743; 0.256017; 0.255288; 0.254651; 0.254075; 0.253650; 0.253178; 0.252776; 0.252459; 0.252097; 0.251962; 0.251915; 0.251477; 0.249844; 0.247884; 0.247561; 0.247158; 0.246729; 0.246355; 0.245894; 0.245236; 0.251116; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6138.2; 13:15:07; (); (); (); (); (); (); (); 0.253698; 0.254258; 0.254907; 0.255051; 0.254806; 0.254375; 0.253917; 0.253930; 0.255861; 0.256335; 0.255453; 0.254098; 0.253034; 0.252213; 0.251395; 0.250824; 0.250283; 0.249805; 0.249698; 0.249990; 0.250460; 0.250913; 0.251248; 0.251571; 0.252035; 0.252797; 0.253415; 0.253742; 0.253952; 0.254261; 0.254583; 0.255120; 0.255609; 0.255816; 0.255831; 0.255876; 0.256126; 0.256470; 0.256870; 0.257155; 0.257248; 0.257436; 0.257843; 0.258538; 0.259117; 0.259565; 0.259622; 0.259622; 0.259591; 0.259556; 0.259202; 0.258672; 0.257943; 0.257261; 0.256898; 0.256734; 0.256672; 0.256706; 0.256658; 0.256750; 0.256823; 0.257112; 0.257290; 0.257447; 0.257772; 0.258473; 0.259495; 0.260646; 0.261641; 0.262521; 0.262939; 0.263077; 0.263036; 0.262978; 0.262842; 0.262756; 0.262604; 0.262468; 0.262429; 0.262438; 0.262398; 0.262296; 0.261973; 0.261561; 0.261248; 0.261156; 0.261098; 0.260886; 0.260684; 0.260581; 0.260597; 0.260730; 0.260576; 0.260337; 0.259670; 0.258905; 0.258386; 0.257910; 0.257651; 0.257312; 0.257251; 0.256953; 0.256620; 0.256266; 0.255450; 0.254741; 0.253691; 0.253337; 0.253055; 0.252710; 0.250141; 0.249257; 0.248948; 0.248273; 0.247689; 0.246625; 0.245514; 0.244228; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6139.5; 13:15:15; (); (); (); (); (); (); (); (); 0.236899; 0.238726; 0.240593; 0.241662; 0.242699; 0.243245; 0.243621; 0.244818; 0.248075; 0.249405; 0.249556; 0.250235; 0.250883; 0.251397; 0.252083; 0.252707; 0.252978; 0.252682; 0.252834; 0.252965; 0.253490; 0.254281; 0.254969; 0.255679; 0.256096; 0.256429; 0.256516; 0.256534; 0.256426; 0.256223; 0.256083; 0.256053; 0.256330; 0.256540; 0.256801; 0.257072; 0.257308; 0.257585; 0.257916; 0.258181; 0.258265; 0.258440; 0.258721; 0.258989; 0.259151; 0.259208; 0.259094; 0.258884; 0.258663; 0.258503; 0.258102; 0.257577; 0.256980; 0.256334; 0.255927; 0.255741; 0.255749; 0.255981; 0.256331; 0.256805; 0.257393; 0.257793; 0.258095; 0.258447; 0.258680; 0.258948; 0.259137; 0.259155; 0.259032; 0.258909; 0.258754; 0.258574; 0.258215; 0.257717; 0.257315; 0.256999; 0.256816; 0.256624; 0.256322; 0.256066; 0.255950; 0.256044; 0.256219; 0.256560; 0.256930; 0.257414; 0.257818; 0.258129; 0.258248; 0.258271; 0.258247; 0.258183; 0.258058; 0.257961; 0.257768; 0.257453; 0.257165; 0.256928; 0.256553; 0.256093; 0.255474; 0.254749; 0.254197; 0.253838; 0.253479; 0.253243; 0.253113; 0.253169; 0.253031; 0.252119; 0.249892; 0.248968; 0.248518; 0.248109; 0.247716; 0.247258; 0.246658; 0.246109; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6140.9; 13:15:24; (); (); (); (); (); (); (); 0.251883; 0.252168; 0.252382; 0.252428; 0.252355; 0.252217; 0.252024; 0.252600; 0.255176; 0.255725; 0.255215; 0.254363; 0.253610; 0.253172; 0.253053; 0.253256; 0.253474; 0.253678; 0.253773; 0.253918; 0.254402; 0.254978; 0.255416; 0.255983; 0.256476; 0.256964; 0.257430; 0.257849; 0.258312; 0.258782; 0.259168; 0.259617; 0.260050; 0.260642; 0.261308; 0.262075; 0.263099; 0.264228; 0.265134; 0.265755; 0.266051; 0.266338; 0.266623; 0.266946; 0.267052; 0.267007; 0.266897; 0.266851; 0.266530; 0.265852; 0.265128; 0.264372; 0.263488; 0.262821; 0.262350; 0.262150; 0.262023; 0.262026; 0.262108; 0.262397; 0.262762; 0.262995; 0.263209; 0.263732; 0.264411; 0.264926; 0.265203; 0.265362; 0.265303; 0.265108; 0.264754; 0.264228; 0.263649; 0.263029; 0.262343; 0.261767; 0.261257; 0.260828; 0.260471; 0.260178; 0.259962; 0.259952; 0.260025; 0.260210; 0.260368; 0.260451; 0.260491; 0.260443; 0.260266; 0.260017; 0.259738; 0.259375; 0.258888; 0.258340; 0.257646; 0.257142; 0.256534; 0.256104; 0.255278; 0.254526; 0.253592; 0.252628; 0.252086; 0.251382; 0.251005; 0.250332; 0.249849; 0.249633; 0.249586; 0.249175; 0.246004; 0.243246; 0.242387; 0.241752; 0.241286; 0.240701; 0.240230; 0.239245; 0.238457; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6142.2; 13:15:33; (); (); (); (); (); (); (); 0.236483; 0.237737; 0.238896; 0.239955; 0.240388; 0.240792; 0.240965; 0.241297; 0.242917; 0.246834; 0.248343; 0.247906; 0.247422; 0.246922; 0.246589; 0.246362; 0.246047; 0.245770; 0.245397; 0.245529; 0.245623; 0.245736; 0.245740; 0.245649; 0.245586; 0.245550; 0.245466; 0.245223; 0.244939; 0.244567; 0.244367; 0.244291; 0.244278; 0.244344; 0.244453; 0.244602; 0.244790; 0.244951; 0.245131; 0.245221; 0.245410; 0.245821; 0.246655; 0.247577; 0.248575; 0.249784; 0.250961; 0.251831; 0.252700; 0.253302; 0.253819; 0.254660; 0.255622; 0.256707; 0.257659; 0.258404; 0.259203; 0.259609; 0.259838; 0.259902; 0.259838; 0.259764; 0.259856; 0.260078; 0.260330; 0.260491; 0.260273; 0.259687; 0.258974; 0.258472; 0.258057; 0.257664; 0.257242; 0.256749; 0.256163; 0.255603; 0.254968; 0.254207; 0.253376; 0.252670; 0.251963; 0.251527; 0.251389; 0.251295; 0.251216; 0.251097; 0.250903; 0.250860; 0.250839; 0.250770; 0.250673; 0.250818; 0.251224; 0.251662; 0.252049; 0.252317; 0.252274; 0.252013; 0.251578; 0.251099; 0.250762; 0.250606; 0.250483; 0.250352; 0.250321; 0.250302; 0.250161; 0.249732; 0.249222; 0.248379; 0.246569; 0.243350; 0.242293; 0.242108; 0.241784; 0.241226; 0.240270; 0.238760; 0.237498; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6143.5; 13:15:41; (); (); (); (); (); (); (); 0.236483; 0.257086; 0.256308; 0.255571; 0.254910; 0.254385; 0.254047; 0.254101; 0.255795; 0.256460; 0.256154; 0.255722; 0.255414; 0.255051; 0.254731; 0.254713; 0.255079; 0.255568; 0.255943; 0.256273; 0.256680; 0.257044; 0.257517; 0.258095; 0.258577; 0.258819; 0.258741; 0.258395; 0.257802; 0.257286; 0.256774; 0.256414; 0.256338; 0.256476; 0.256547; 0.256487; 0.256214; 0.255647; 0.254815; 0.254217; 0.254013; 0.254287; 0.254727; 0.255388; 0.256082; 0.256878; 0.257425; 0.257675; 0.257785; 0.257984; 0.258089; 0.258329; 0.258564; 0.258642; 0.258509; 0.258101; 0.257441; 0.256753; 0.256083; 0.255493; 0.255036; 0.255070; 0.255244; 0.255520; 0.255641; 0.255680; 0.255426; 0.255034; 0.254678; 0.254529; 0.254588; 0.254729; 0.255015; 0.255367; 0.255589; 0.255495; 0.254901; 0.254251; 0.253640; 0.253212; 0.253124; 0.253292; 0.253671; 0.254212; 0.254751; 0.255112; 0.255199; 0.254939; 0.254765; 0.254821; 0.255089; 0.255515; 0.255897; 0.256208; 0.256342; 0.256480; 0.256220; 0.255859; 0.255033; 0.253961; 0.253335; 0.252621; 0.252246; 0.251598; 0.250924; 0.250054; 0.248900; 0.248145; 0.246808; 0.245169; 0.242176; 0.239349; 0.238242; 0.237428; 0.236555; 0.235378; 0.234706; 0.233494; 0.232372; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6144.9; 13:15:50; (); (); (); (); (); (); (); (); 0.244248; 0.244426; 0.244639; 0.244412; 0.244470; 0.244334; 0.244459; 0.245212; 0.247646; 0.248218; 0.247405; 0.246920; 0.246347; 0.245939; 0.245737; 0.245680; 0.246066; 0.246195; 0.246825; 0.247138; 0.247659; 0.247898; 0.248127; 0.248377; 0.248642; 0.249064; 0.249172; 0.249605; 0.250167; 0.250665; 0.251243; 0.251630; 0.251974; 0.252007; 0.252026; 0.252002; 0.252099; 0.252126; 0.252066; 0.251937; 0.251805; 0.251831; 0.251693; 0.251339; 0.250859; 0.250191; 0.249722; 0.249572; 0.249701; 0.250070; 0.250518; 0.251095; 0.251517; 0.251929; 0.252448; 0.252917; 0.253277; 0.253680; 0.254012; 0.254347; 0.254756; 0.255199; 0.255760; 0.256372; 0.256872; 0.257421; 0.258025; 0.258564; 0.259043; 0.259501; 0.259774; 0.260057; 0.260259; 0.260513; 0.260803; 0.260960; 0.260777; 0.260246; 0.259714; 0.259173; 0.258517; 0.258062; 0.257672; 0.257379; 0.257067; 0.256936; 0.257238; 0.257899; 0.258589; 0.259180; 0.259715; 0.260294; 0.260750; 0.260974; 0.260988; 0.260908; 0.260671; 0.260304; 0.259860; 0.259621; 0.259376; 0.259087; 0.258704; 0.258205; 0.257697; 0.257225; 0.256947; 0.256792; 0.256423; 0.255172; 0.252992; 0.252539; 0.252431; 0.252344; 0.252156; 0.251623; 0.250212; 0.232372; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
