Roll Number; 0
Recipe Name; FP 4556_576 GSM
Start Time; 2018-02-07; 13:14:12
File Name; D:\Mahlo\TR\180207131412FP 4556_576 GSM0_THICKNESS2.txt

6131.2; 13:14:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.458530; 1.459609; 1.461592; 1.465584; 1.469936; 1.470930; 1.470052; 1.469799; 1.470994; 1.467844; 1.468025; 1.470492; 1.472325; 1.471667; 1.469476; 1.469348; 1.466368; 1.462233; 1.457523; 1.452910; 1.448236; 1.447652; 1.447872; 1.448038; 1.453420; 1.453859; 1.453834; 1.454935; 1.456799; 1.459499; 1.460662; 1.463292; 1.466037; 1.468811; 1.470360; 1.470956; 1.469835; 1.470290; 1.471700; 1.469937; 1.470432; 1.469819; 1.467247; 1.462582; 1.457658; 1.459017; 1.459755; 1.458324; 1.456960; 1.462158; 1.468950; 1.474946; 1.477747; 1.478410; 1.479640; 1.481387; 1.485425; 1.490004; 1.498552; 1.509459; 1.511232; 1.513403; 1.513622; 1.512251; 1.508367; 1.507264; 1.505745; 1.505310; 1.505525; 1.505188; 1.506123; 1.500352; 1.494935; 1.488887; 1.482600; 1.478639; 1.474381; 1.476096; 1.480478; 1.481674; 1.481172; 1.482491; 1.482586; 1.481573; 1.481513; 1.476604; 1.476788; 1.478998; 1.480769; 1.481802; 1.483190; 1.488110; 1.490033; 1.489473; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6132.9; 13:14:32; (); (); (); (); (); (); (); 1.518534; 1.516753; 1.514180; 1.516684; 1.516215; 1.512178; 1.504780; 1.501065; 1.496931; 1.493046; 1.490198; 1.487818; 1.483845; 1.479253; 1.475924; 1.474153; 1.472919; 1.471417; 1.471124; 1.471997; 1.473489; 1.478775; 1.483001; 1.487703; 1.491674; 1.494297; 1.496419; 1.498994; 1.501217; 1.503089; 1.504803; 1.506243; 1.508797; 1.506311; 1.505132; 1.507624; 1.512160; 1.511047; 1.512546; 1.510231; 1.506968; 1.506431; 1.506023; 1.506195; 1.504013; 1.501109; 1.502027; 1.501139; 1.498502; 1.495218; 1.490800; 1.486814; 1.489328; 1.491794; 1.496188; 1.502739; 1.508630; 1.511218; 1.510854; 1.510365; 1.510768; 1.510939; 1.511792; 1.516303; 1.522897; 1.528043; 1.530002; 1.527682; 1.523558; 1.518503; 1.510582; 1.501625; 1.497027; 1.497407; 1.499374; 1.497681; 1.491484; 1.483307; 1.476610; 1.466268; 1.458098; 1.454799; 1.455367; 1.453597; 1.454720; 1.457177; 1.457853; 1.454740; 1.447465; 1.441726; 1.439652; 1.443257; 1.449549; 1.454543; 1.457662; 1.459265; 1.456248; 1.451835; 1.453100; 1.451109; 1.449327; 1.448326; 1.449803; 1.454470; 1.458618; 1.460906; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6134.2; 13:14:41; (); (); (); (); (); (); (); 1.488629; 1.487028; 1.491011; 1.495971; 1.499806; 1.503572; 1.506394; 1.507140; 1.506738; 1.508055; 1.506291; 1.503359; 1.502454; 1.502794; 1.501254; 1.499462; 1.502796; 1.506979; 1.511767; 1.514921; 1.514797; 1.514829; 1.512466; 1.513649; 1.514100; 1.514067; 1.515080; 1.518668; 1.519820; 1.524473; 1.529635; 1.530246; 1.524928; 1.518328; 1.515147; 1.514067; 1.514156; 1.515383; 1.517393; 1.521658; 1.526481; 1.531442; 1.535935; 1.539256; 1.539165; 1.538782; 1.539433; 1.542938; 1.543946; 1.546183; 1.550607; 1.550916; 1.554996; 1.555741; 1.554986; 1.553035; 1.549896; 1.547605; 1.549326; 1.551471; 1.553136; 1.556662; 1.555516; 1.554234; 1.550876; 1.547714; 1.550030; 1.543551; 1.540448; 1.539169; 1.538138; 1.537502; 1.536781; 1.533724; 1.532483; 1.531394; 1.530411; 1.532715; 1.530466; 1.529740; 1.528836; 1.526872; 1.530410; 1.532672; 1.536167; 1.539720; 1.540725; 1.541873; 1.542650; 1.540886; 1.538337; 1.534870; 1.526306; 1.524112; 1.523643; 1.520918; 1.515279; 1.510597; 1.504826; 1.498169; 1.494222; 1.490392; 1.483280; 1.478747; 1.475042; 1.471799; 1.471561; 1.474423; 1.479721; 1.482350; 1.485275; 1.489712; 1.494118; 1.498540; 1.499833; 1.500205; 1.502700; 1.507441; 1.511896; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6135.5; 13:14:49; (); (); (); (); (); (); (); 1.473187; 1.471754; 1.472798; 1.475499; 1.476608; 1.473360; 1.472812; 1.472149; 1.470169; 1.469066; 1.467765; 1.466850; 1.466667; 1.467663; 1.470119; 1.474189; 1.475750; 1.476692; 1.474646; 1.470758; 1.469574; 1.465888; 1.464349; 1.464215; 1.463203; 1.462160; 1.460395; 1.462295; 1.464331; 1.464302; 1.462072; 1.461074; 1.458858; 1.460105; 1.464552; 1.469111; 1.473099; 1.476514; 1.478439; 1.480947; 1.486350; 1.493056; 1.493337; 1.492705; 1.496461; 1.499775; 1.499957; 1.496355; 1.492688; 1.492799; 1.499866; 1.505176; 1.508873; 1.511635; 1.513049; 1.510296; 1.504683; 1.503673; 1.504885; 1.506175; 1.506297; 1.507757; 1.511391; 1.513720; 1.511889; 1.506049; 1.501732; 1.501244; 1.502474; 1.502975; 1.501827; 1.505859; 1.508348; 1.507795; 1.504321; 1.501881; 1.503322; 1.503852; 1.504861; 1.505653; 1.507040; 1.509875; 1.510275; 1.508708; 1.509300; 1.514681; 1.518904; 1.519558; 1.520683; 1.523450; 1.527487; 1.524810; 1.525869; 1.529795; 1.533112; 1.534530; 1.533680; 1.533785; 1.531381; 1.526897; 1.520945; 1.517475; 1.518158; 1.519275; 1.521267; 1.523667; 1.529811; 1.535057; 1.537201; 1.537366; 1.538475; 1.539463; 1.539349; 1.545229; 1.553622; 1.559408; 1.559923; 1.561393; 1.511896; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6136.9; 13:14:58; (); (); (); (); (); (); (); 1.490690; 1.491588; 1.494762; 1.494057; 1.488350; 1.487466; 1.484051; 1.482424; 1.484578; 1.486544; 1.487473; 1.490926; 1.491257; 1.490515; 1.490787; 1.487444; 1.487675; 1.486542; 1.486691; 1.494986; 1.496401; 1.496817; 1.496602; 1.495479; 1.495109; 1.498495; 1.496461; 1.493677; 1.491243; 1.489478; 1.488887; 1.490146; 1.492847; 1.494399; 1.490934; 1.497442; 1.502983; 1.504736; 1.503372; 1.499507; 1.495433; 1.496259; 1.500863; 1.504818; 1.504417; 1.506433; 1.505711; 1.501090; 1.498490; 1.500963; 1.497008; 1.497959; 1.498338; 1.501281; 1.506228; 1.509297; 1.509978; 1.508212; 1.507358; 1.511453; 1.516524; 1.519853; 1.524540; 1.525995; 1.526088; 1.525444; 1.523601; 1.525473; 1.526255; 1.523354; 1.519824; 1.516279; 1.512186; 1.507049; 1.503757; 1.501286; 1.500199; 1.499555; 1.499299; 1.500914; 1.504657; 1.503769; 1.500201; 1.498586; 1.500463; 1.503578; 1.508466; 1.515560; 1.520765; 1.519372; 1.515463; 1.516909; 1.517740; 1.517660; 1.515378; 1.508657; 1.504697; 1.503389; 1.500372; 1.494814; 1.489880; 1.486603; 1.480396; 1.476546; 1.476669; 1.480018; 1.477040; 1.471732; 1.467571; 1.467574; 1.470138; 1.471631; 1.472569; 1.474004; 1.475911; 1.477896; 1.480130; 1.484831; 1.511896; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6138.2; 13:15:07; (); (); (); (); (); (); (); 1.480373; 1.481944; 1.490376; 1.489358; 1.483789; 1.481277; 1.477297; 1.474080; 1.473211; 1.474157; 1.476611; 1.479024; 1.481824; 1.484158; 1.485085; 1.485649; 1.483555; 1.480393; 1.484241; 1.491598; 1.492497; 1.494679; 1.498801; 1.498774; 1.498484; 1.497625; 1.495563; 1.494189; 1.493279; 1.489854; 1.489839; 1.491581; 1.491715; 1.488052; 1.484642; 1.487182; 1.489335; 1.490270; 1.492232; 1.492888; 1.494743; 1.495947; 1.496168; 1.497529; 1.499739; 1.496548; 1.493280; 1.493103; 1.494737; 1.496256; 1.496804; 1.496805; 1.494733; 1.489581; 1.482954; 1.478089; 1.475981; 1.475570; 1.473538; 1.468009; 1.469358; 1.468970; 1.467776; 1.467262; 1.466329; 1.464830; 1.463556; 1.464095; 1.467209; 1.474213; 1.476377; 1.475319; 1.472178; 1.472877; 1.476551; 1.477154; 1.474672; 1.469903; 1.464816; 1.465916; 1.465932; 1.464627; 1.462239; 1.459568; 1.452841; 1.451637; 1.454752; 1.462245; 1.466586; 1.469332; 1.472761; 1.478938; 1.483546; 1.486411; 1.487043; 1.488149; 1.488247; 1.488947; 1.492785; 1.499149; 1.499596; 1.499446; 1.496430; 1.493633; 1.492876; 1.492942; 1.491965; 1.491626; 1.491559; 1.490292; 1.492331; 1.495618; 1.498017; 1.496919; 1.493298; 1.494487; 1.493583; 1.494687; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6139.5; 13:15:15; (); (); (); (); (); (); (); (); 1.522668; 1.521143; 1.523394; 1.527502; 1.529982; 1.526948; 1.522510; 1.518797; 1.514996; 1.512535; 1.510870; 1.508690; 1.510508; 1.512999; 1.513953; 1.512792; 1.510996; 1.511220; 1.512578; 1.516028; 1.519555; 1.523723; 1.530622; 1.537688; 1.541113; 1.540205; 1.536644; 1.532885; 1.530044; 1.528797; 1.529023; 1.527696; 1.525265; 1.520685; 1.514906; 1.513708; 1.510481; 1.505481; 1.501122; 1.496316; 1.495009; 1.498553; 1.499196; 1.499391; 1.500474; 1.502512; 1.504503; 1.503729; 1.500511; 1.496275; 1.491572; 1.491221; 1.490574; 1.491438; 1.494845; 1.497198; 1.495296; 1.496290; 1.499517; 1.503084; 1.504011; 1.503057; 1.499880; 1.499127; 1.501540; 1.504619; 1.505394; 1.506538; 1.508061; 1.507598; 1.507198; 1.509145; 1.508776; 1.504793; 1.499548; 1.495602; 1.495350; 1.499261; 1.504539; 1.508191; 1.508906; 1.506864; 1.499799; 1.495271; 1.496107; 1.498783; 1.498065; 1.495840; 1.496544; 1.498128; 1.498097; 1.499009; 1.497851; 1.492758; 1.491459; 1.493011; 1.494238; 1.495931; 1.494898; 1.490184; 1.484049; 1.482416; 1.485268; 1.483408; 1.481571; 1.484108; 1.487104; 1.484608; 1.483147; 1.481174; 1.479576; 1.479773; 1.482097; 1.483565; 1.486285; 1.490442; 1.489762; 1.487477; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6140.9; 13:15:24; (); (); (); (); (); (); (); 1.434939; 1.434155; 1.440415; 1.445014; 1.447120; 1.446007; 1.446315; 1.448405; 1.445754; 1.442733; 1.442538; 1.448401; 1.456622; 1.461919; 1.468814; 1.471807; 1.472996; 1.472138; 1.470517; 1.471067; 1.475340; 1.477325; 1.476477; 1.475162; 1.476113; 1.475313; 1.474049; 1.473993; 1.472125; 1.472346; 1.474196; 1.474406; 1.472881; 1.473437; 1.475961; 1.478226; 1.481892; 1.488054; 1.495927; 1.502342; 1.504859; 1.505725; 1.505569; 1.506030; 1.501567; 1.501777; 1.504962; 1.509369; 1.511386; 1.505404; 1.501209; 1.496215; 1.488908; 1.484366; 1.482077; 1.481978; 1.482391; 1.483843; 1.485286; 1.484894; 1.484143; 1.484083; 1.483378; 1.483968; 1.489816; 1.495091; 1.500107; 1.506808; 1.512060; 1.512503; 1.512050; 1.512555; 1.512991; 1.513181; 1.516011; 1.519770; 1.522031; 1.519969; 1.516141; 1.510473; 1.502352; 1.497416; 1.495086; 1.495028; 1.496066; 1.498959; 1.501718; 1.503217; 1.506598; 1.508441; 1.507979; 1.511976; 1.518334; 1.524747; 1.530845; 1.538156; 1.541269; 1.542784; 1.544891; 1.544406; 1.543189; 1.540935; 1.539431; 1.538406; 1.536086; 1.533498; 1.529759; 1.527207; 1.527402; 1.527540; 1.529140; 1.529158; 1.528032; 1.526285; 1.528965; 1.527985; 1.529796; 1.531655; 1.530917; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6142.2; 13:15:33; (); (); (); (); (); (); (); 1.491231; 1.490191; 1.490520; 1.491018; 1.490756; 1.490770; 1.492645; 1.493155; 1.491180; 1.484780; 1.480287; 1.481706; 1.482320; 1.484328; 1.485353; 1.485077; 1.487160; 1.489815; 1.490960; 1.491008; 1.489881; 1.488026; 1.489187; 1.490823; 1.494311; 1.503328; 1.509043; 1.514536; 1.517037; 1.516283; 1.513022; 1.514593; 1.514897; 1.513237; 1.510340; 1.507326; 1.503394; 1.500322; 1.498782; 1.495495; 1.491824; 1.492560; 1.489062; 1.485756; 1.483888; 1.483158; 1.478317; 1.474460; 1.474230; 1.477389; 1.477956; 1.482986; 1.481855; 1.480185; 1.479128; 1.476928; 1.469466; 1.464295; 1.464022; 1.465696; 1.463923; 1.462644; 1.463889; 1.464890; 1.465953; 1.468852; 1.467760; 1.467173; 1.467704; 1.468704; 1.469907; 1.474073; 1.475952; 1.475753; 1.474828; 1.477412; 1.480484; 1.480219; 1.477916; 1.474866; 1.470272; 1.464878; 1.462498; 1.457800; 1.452834; 1.447077; 1.440060; 1.439581; 1.439724; 1.439421; 1.438798; 1.437716; 1.437146; 1.437047; 1.437982; 1.441460; 1.446919; 1.452918; 1.456041; 1.459058; 1.466066; 1.471355; 1.470624; 1.468058; 1.465653; 1.461971; 1.456306; 1.451979; 1.449941; 1.448835; 1.447538; 1.444081; 1.440443; 1.439638; 1.439159; 1.434846; 1.429174; 1.427371; 1.425652; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6143.5; 13:15:41; (); (); (); (); (); (); (); 1.491231; 1.477633; 1.478675; 1.480075; 1.479081; 1.473739; 1.469622; 1.468337; 1.468302; 1.468187; 1.464086; 1.462289; 1.460159; 1.458826; 1.459495; 1.459515; 1.461408; 1.463027; 1.462613; 1.461948; 1.465070; 1.468280; 1.469222; 1.468807; 1.469635; 1.477383; 1.479867; 1.481394; 1.484488; 1.487193; 1.482410; 1.485654; 1.489756; 1.491823; 1.491891; 1.494133; 1.498107; 1.501266; 1.502081; 1.500318; 1.499553; 1.500575; 1.502162; 1.504749; 1.508220; 1.508864; 1.505753; 1.503863; 1.505450; 1.510113; 1.509813; 1.503041; 1.498171; 1.494327; 1.491118; 1.484879; 1.482241; 1.480512; 1.477497; 1.474440; 1.475530; 1.472770; 1.468467; 1.465565; 1.463974; 1.462443; 1.463642; 1.466469; 1.470270; 1.474712; 1.479432; 1.480124; 1.481159; 1.482379; 1.483351; 1.482710; 1.482674; 1.484593; 1.486462; 1.491634; 1.498064; 1.498531; 1.495195; 1.491728; 1.488696; 1.487341; 1.487386; 1.487920; 1.488905; 1.487169; 1.485073; 1.481514; 1.477035; 1.473111; 1.470238; 1.469687; 1.472862; 1.476329; 1.481441; 1.485745; 1.485398; 1.482514; 1.481816; 1.478535; 1.476116; 1.479206; 1.483309; 1.486365; 1.489145; 1.488650; 1.488890; 1.490420; 1.490291; 1.488680; 1.487772; 1.491358; 1.497382; 1.497283; 1.500627; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6144.9; 13:15:50; (); (); (); (); (); (); (); (); 1.485941; 1.492149; 1.496627; 1.493591; 1.493775; 1.495103; 1.491613; 1.486283; 1.482871; 1.482880; 1.483262; 1.483211; 1.484584; 1.487085; 1.484460; 1.480963; 1.479371; 1.478839; 1.482574; 1.483075; 1.482143; 1.489459; 1.493009; 1.494520; 1.495433; 1.496185; 1.498084; 1.498857; 1.500404; 1.504323; 1.506375; 1.503999; 1.505689; 1.507313; 1.508915; 1.509006; 1.506577; 1.506956; 1.507130; 1.506570; 1.506021; 1.508685; 1.511729; 1.509249; 1.505354; 1.500532; 1.497953; 1.489912; 1.484665; 1.481276; 1.479029; 1.478783; 1.481677; 1.483462; 1.483606; 1.481661; 1.477042; 1.472154; 1.474203; 1.479439; 1.486739; 1.492495; 1.499328; 1.503758; 1.505166; 1.504748; 1.505316; 1.506569; 1.505817; 1.505060; 1.506514; 1.510549; 1.511216; 1.511056; 1.510499; 1.509528; 1.508321; 1.507930; 1.507067; 1.507097; 1.508152; 1.507265; 1.500679; 1.499382; 1.499655; 1.498661; 1.497388; 1.499242; 1.501799; 1.505659; 1.509001; 1.508700; 1.508967; 1.509645; 1.507757; 1.503609; 1.501752; 1.506359; 1.505493; 1.503080; 1.499319; 1.494647; 1.491582; 1.486768; 1.479736; 1.472159; 1.469800; 1.470753; 1.468543; 1.471026; 1.474511; 1.474688; 1.472725; 1.473475; 1.478112; 1.484059; 1.486665; 1.500627; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
