Roll Number; 0
Recipe Name; FP 4556_576 GSM
Start Time; 2018-02-07; 13:14:12
File Name; D:\Mahlo\TR\180207131412FP 4556_576 GSM0_FMI2.txt

6131.2; 13:14:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 565.780103; 564.858377; 563.902080; 563.162386; 562.904477; 562.976718; 562.687814; 562.621236; 563.056827; 563.201070; 563.464046; 563.794792; 563.999891; 563.454926; 562.806606; 562.676311; 563.118935; 563.328683; 563.359201; 562.916815; 562.523007; 562.734425; 562.817633; 562.503219; 562.069714; 560.960591; 560.035527; 559.664726; 559.604049; 559.832036; 559.837282; 560.077488; 560.452640; 560.591936; 560.779870; 560.495794; 560.090959; 559.259474; 558.159411; 557.416975; 558.100641; 559.243381; 559.776425; 559.879541; 560.108185; 560.145855; 559.471965; 559.569120; 559.903204; 560.235679; 560.617149; 560.946345; 561.821640; 562.712729; 563.861907; 564.786315; 564.852297; 564.464986; 563.598156; 562.536061; 562.525511; 563.198566; 563.130677; 563.084841; 563.445628; 564.438939; 565.968513; 567.117393; 568.061411; 567.610204; 566.359460; 565.815449; 566.233695; 567.604661; 569.511712; 570.740283; 571.862221; 573.415101; 575.387537; 575.880349; 574.820459; 572.949469; 572.050273; 571.065605; 570.680201; 570.130527; 570.240319; 570.478141; 569.971621; 568.736732; 567.561090; 565.823555; 563.074648; 561.023235; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6132.9; 13:14:32; (); (); (); (); (); (); (); 574.791729; 573.318481; 571.346700; 571.259201; 570.801198; 570.692241; 570.014119; 569.036961; 568.732917; 568.456054; 567.956805; 567.460120; 567.269981; 567.508638; 566.670299; 565.793574; 566.240668; 567.225039; 567.803442; 567.942858; 567.468643; 568.069756; 569.015265; 569.407225; 569.611609; 569.655895; 568.734646; 567.851603; 567.680836; 569.093287; 571.109354; 572.309375; 572.619915; 572.203815; 572.438776; 573.120475; 573.164225; 573.092997; 573.603630; 573.891580; 575.285316; 576.871216; 577.529073; 577.555835; 576.739907; 575.671792; 575.356781; 575.318694; 574.694514; 574.180901; 573.679090; 573.286474; 573.356032; 573.204577; 573.083639; 571.557283; 570.106804; 569.214523; 568.349600; 567.190468; 565.544248; 563.885808; 562.453151; 562.473476; 562.290668; 562.647462; 563.360035; 563.717425; 563.779593; 563.069940; 562.398553; 561.822474; 561.487794; 561.336458; 561.802745; 563.676953; 565.557480; 566.290319; 566.936255; 568.456590; 567.983806; 567.344368; 567.497969; 567.796230; 568.446279; 568.892598; 569.040596; 569.636345; 570.632756; 570.853770; 569.334149; 568.045318; 567.620337; 566.783309; 564.808965; 563.748479; 563.139796; 561.784387; 560.196340; 559.265375; 558.977127; 558.894813; 558.065474; 556.928873; 556.336880; 556.194484; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6134.2; 13:14:41; (); (); (); (); (); (); (); 582.055867; 580.047429; 577.938616; 576.205909; 574.699998; 573.976338; 573.774636; 573.748052; 573.007703; 571.556628; 571.491539; 571.971893; 572.556913; 572.972655; 573.477566; 574.043334; 575.393260; 577.004910; 578.506351; 579.870164; 581.269681; 582.142293; 582.661629; 583.373368; 583.515644; 583.378553; 582.775235; 581.839085; 581.091940; 580.012262; 578.956187; 578.475237; 577.943683; 577.487230; 577.206850; 577.328622; 577.903330; 578.723550; 578.985631; 578.521252; 578.454018; 579.006553; 579.345047; 580.204129; 580.767393; 580.733836; 580.390394; 580.243647; 579.741359; 579.281509; 577.833056; 576.775968; 576.377630; 576.630056; 577.099979; 577.390194; 577.999115; 578.655720; 578.888953; 578.741729; 579.130411; 579.422593; 579.513848; 579.818487; 580.191731; 581.291854; 581.584036; 580.553710; 579.859257; 579.883158; 580.497205; 581.206143; 581.472456; 581.212282; 580.952406; 580.992877; 581.488550; 582.297862; 583.168328; 583.751142; 583.783507; 584.311247; 585.459888; 586.218059; 587.091565; 587.471843; 587.351739; 586.611092; 585.631728; 585.017383; 585.114121; 585.576177; 585.324764; 585.157156; 585.448205; 585.263073; 584.292531; 583.257794; 582.382143; 580.572188; 578.435183; 577.145696; 577.493191; 578.553081; 579.395235; 578.992486; 578.449845; 578.532457; 578.262985; 577.158988; 576.695800; 576.925874; 577.024698; 577.248752; 577.990174; 579.189479; 579.433203; 578.806400; 578.312099; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6135.5; 13:14:49; (); (); (); (); (); (); (); 564.970315; 565.449238; 566.465080; 566.143036; 564.806461; 563.162148; 562.045991; 561.782539; 561.218023; 559.321821; 558.333874; 559.162557; 561.153591; 562.511623; 563.741803; 564.573765; 565.102875; 565.430164; 566.646099; 568.419099; 570.082128; 571.319997; 572.020113; 572.974682; 574.338555; 574.934483; 574.310839; 573.497534; 573.651552; 573.753357; 573.750377; 573.884666; 573.326826; 572.680056; 572.399020; 572.876275; 574.108183; 574.674547; 574.595928; 574.095607; 573.732793; 573.966146; 574.576020; 574.985027; 575.276554; 574.825108; 574.645579; 575.223923; 575.892448; 576.484263; 576.864362; 576.736927; 576.955974; 577.676833; 577.977836; 578.357518; 579.081416; 579.464912; 579.113245; 578.682959; 578.547776; 578.869283; 579.446435; 579.546809; 579.340577; 579.476118; 580.373585; 580.327392; 579.895020; 580.346704; 580.617189; 580.493808; 580.820084; 581.311405; 581.834555; 582.980752; 583.849370; 584.842563; 585.786104; 586.289644; 587.101281; 587.107122; 587.468803; 588.098645; 588.068783; 588.318348; 588.706613; 588.401496; 588.871360; 589.089334; 588.312745; 587.486207; 586.898685; 587.002635; 586.935341; 585.876405; 585.003555; 584.200203; 583.752751; 584.006786; 583.999813; 583.839476; 583.538473; 581.890285; 580.818355; 580.893815; 580.166578; 578.190744; 577.069402; 577.502668; 578.101456; 578.072071; 578.360081; 578.418255; 577.859342; 577.167511; 576.157510; 576.091647; 578.312099; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6136.9; 13:14:58; (); (); (); (); (); (); (); 557.717741; 558.120966; 558.292866; 557.854295; 557.385147; 557.196975; 557.355881; 558.001041; 558.770478; 559.567750; 560.211003; 560.752511; 561.746180; 561.664879; 560.886025; 560.236990; 559.904695; 559.758186; 560.440719; 561.701059; 562.288105; 562.671363; 563.819468; 564.861298; 565.100968; 565.349519; 565.913677; 566.255391; 566.702545; 567.427695; 568.595767; 569.237947; 570.237100; 571.538210; 572.033226; 572.420597; 572.921515; 572.233677; 571.103454; 570.398927; 570.373535; 570.443332; 570.514858; 571.302414; 572.161794; 572.569370; 573.053300; 573.045254; 572.020173; 570.724785; 570.355415; 569.524169; 568.821669; 568.095505; 567.709088; 567.166269; 566.907883; 566.918194; 566.167176; 565.173209; 565.145075; 565.128744; 565.075755; 565.603912; 566.542149; 567.156971; 567.995310; 569.111705; 569.606066; 569.987059; 570.484519; 569.855809; 569.380045; 569.986939; 570.331216; 570.608258; 570.936084; 570.632637; 569.733024; 569.342434; 569.745779; 570.234001; 570.128262; 570.452213; 570.603073; 570.648670; 571.696520; 572.923660; 573.364556; 573.367715; 572.630465; 572.630763; 572.738171; 573.331892; 574.481070; 574.772060; 574.058175; 573.262334; 573.304474; 573.503613; 573.585212; 573.809683; 574.275792; 574.752688; 574.837089; 575.428903; 575.112939; 575.345576; 575.535178; 574.568331; 573.643446; 573.354065; 574.007928; 574.246824; 574.539721; 574.562669; 573.919058; 571.870208; 578.312099; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6138.2; 13:15:07; (); (); (); (); (); (); (); 582.279623; 580.912888; 578.647316; 577.642441; 577.020526; 575.390935; 573.808253; 573.298454; 572.658837; 571.442187; 570.285022; 569.008529; 568.011463; 568.030775; 568.284750; 568.394899; 568.907738; 569.905162; 569.783866; 569.452047; 570.125878; 570.389926; 570.445061; 571.097910; 571.311474; 571.329474; 570.960760; 570.177078; 568.766594; 568.086982; 568.194866; 567.506731; 565.870404; 565.424919; 565.308094; 565.416336; 565.737307; 565.279424; 563.515425; 561.610818; 560.276270; 559.985518; 560.456634; 561.167002; 561.156869; 560.017705; 559.554279; 560.082197; 560.905099; 561.435878; 560.666502; 560.230315; 559.711695; 559.329748; 559.968889; 560.715020; 560.550809; 559.818566; 558.341980; 557.485342; 557.615280; 557.298481; 557.446301; 557.113290; 557.837129; 559.994698; 561.138213; 563.045919; 564.869940; 566.021621; 566.579282; 567.371190; 568.319201; 569.753468; 570.899665; 571.592391; 571.850479; 571.727991; 572.277129; 571.693182; 570.820808; 570.570529; 569.329500; 568.241835; 567.169130; 566.738844; 567.021668; 567.749262; 568.259060; 568.534493; 569.629014; 570.818067; 570.936680; 571.128905; 571.844578; 571.965396; 572.425902; 572.808504; 573.023260; 573.331833; 573.303163; 573.221684; 573.359191; 573.057652; 572.181940; 571.015835; 570.920944; 571.655452; 570.954502; 569.950700; 569.555104; 569.393694; 569.525182; 569.568157; 569.835126; 570.478976; 570.581317; 569.664419; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6139.5; 13:15:15; (); (); (); (); (); (); (); (); 566.793859; 565.196395; 564.807773; 564.272285; 564.966321; 566.190124; 566.717565; 566.924810; 567.963243; 568.342745; 568.611681; 568.456531; 568.950951; 569.012821; 569.335997; 570.518315; 572.163105; 573.376656; 574.348986; 574.527323; 574.508607; 575.550437; 576.447546; 576.683760; 576.628923; 576.054871; 575.621843; 575.636506; 576.942503; 578.878582; 579.524159; 578.878045; 577.832699; 577.460766; 577.133000; 576.257110; 575.268328; 574.634790; 574.644089; 575.734198; 577.333331; 577.852786; 577.172756; 576.297879; 575.565159; 574.934185; 574.796140; 574.912012; 575.466096; 575.780690; 575.718760; 575.183988; 574.685991; 573.802054; 572.183311; 570.018888; 568.442345; 567.677259; 567.134202; 566.133261; 565.693200; 566.157341; 566.498578; 565.843165; 565.660894; 566.755712; 567.914844; 568.744540; 569.566727; 570.985138; 572.069824; 572.624147; 572.877467; 573.950887; 575.026214; 576.131165; 576.980114; 578.222513; 579.838395; 580.352306; 579.970658; 579.615116; 579.342484; 579.954684; 580.267012; 580.628812; 581.842840; 583.403587; 584.585130; 585.836947; 586.426079; 586.348534; 585.214436; 584.060490; 584.403396; 585.334599; 585.457444; 586.095750; 586.415529; 585.455239; 584.153712; 582.663476; 581.158578; 579.694986; 578.599751; 577.495098; 577.068150; 577.091038; 577.023685; 576.264560; 574.955225; 574.381173; 573.140264; 571.779609; 572.164178; 573.146522; 573.972464; 574.432194; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6140.9; 13:15:24; (); (); (); (); (); (); (); 572.813451; 571.676254; 571.802199; 571.819961; 571.243763; 571.026862; 571.435630; 571.557462; 571.653187; 571.087122; 570.580423; 570.163012; 569.123328; 568.741083; 570.853174; 572.723091; 573.325932; 572.989345; 572.709084; 572.806299; 572.598875; 572.384536; 572.663844; 572.770059; 572.589755; 573.088706; 573.483825; 573.419213; 572.846413; 571.150780; 569.595873; 568.706334; 568.037391; 568.484783; 569.384158; 569.824696; 569.553077; 570.150137; 571.796775; 572.634876; 572.413862; 571.497083; 570.851743; 570.125043; 569.139302; 568.983912; 569.683731; 570.832789; 570.604742; 570.012927; 570.812106; 571.473658; 571.389318; 570.965230; 571.343660; 572.577953; 574.558675; 576.992929; 578.651309; 579.691768; 580.010772; 579.755127; 580.257714; 581.867814; 582.394421; 581.948102; 582.146287; 582.615733; 582.979620; 583.221316; 582.262993; 580.790281; 579.892397; 579.823494; 580.334663; 581.217766; 582.275689; 581.899226; 581.669927; 582.861543; 583.483398; 583.496928; 583.309948; 583.174109; 583.443344; 583.672047; 583.878934; 583.847821; 583.336115; 582.695484; 581.701934; 580.854714; 580.289364; 579.318762; 578.421175; 577.584267; 576.148033; 574.730277; 573.307037; 572.228134; 571.758091; 571.010172; 570.805788; 570.665121; 571.047187; 571.633577; 571.408153; 571.016729; 571.355999; 571.499407; 571.992934; 572.863162; 573.722005; 574.690580; 574.830949; 575.065851; 575.863600; 576.319993; 576.829076; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6142.2; 13:15:33; (); (); (); (); (); (); (); 565.584421; 565.054238; 565.180540; 566.018999; 565.573871; 564.554095; 564.150989; 563.819587; 563.082635; 562.436759; 562.338889; 562.409103; 561.991811; 561.800182; 562.402725; 563.192725; 564.125896; 564.213455; 563.857794; 564.755499; 565.519631; 566.431284; 567.552924; 568.952739; 570.858300; 572.723746; 573.523164; 574.019074; 574.467421; 574.774683; 575.593829; 576.589465; 578.441024; 579.709232; 580.636859; 581.661701; 581.833899; 581.618309; 581.073463; 580.227792; 579.203784; 577.977955; 576.643467; 575.734138; 575.265944; 573.768377; 572.020292; 570.389509; 568.929255; 567.761719; 566.952467; 565.956831; 565.767884; 565.352559; 565.010011; 565.785229; 566.845357; 567.396045; 567.753613; 567.176938; 567.247748; 567.477405; 567.742169; 567.583144; 567.412436; 567.404151; 567.859650; 568.307221; 568.368495; 567.772865; 566.997707; 567.418516; 568.273842; 568.342388; 568.675876; 569.026113; 569.489956; 569.487870; 570.291877; 571.629822; 572.283983; 571.676314; 570.945680; 570.764959; 570.875525; 571.527123; 571.995616; 572.346270; 573.221803; 573.858082; 573.591471; 572.907984; 572.368205; 571.011722; 569.158971; 567.781031; 567.657113; 567.757487; 568.249047; 569.253743; 568.915009; 568.060160; 567.272246; 565.958261; 565.612853; 564.929008; 564.373672; 563.741565; 563.746929; 563.364685; 562.716424; 561.657608; 560.878813; 559.810102; 557.992995; 556.426167; 555.235565; 554.241121; 552.814603; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6143.5; 13:15:41; (); (); (); (); (); (); (); 565.584421; 565.380692; 564.929426; 564.533412; 563.620031; 563.104391; 563.545346; 563.871741; 564.527273; 565.076947; 565.582275; 565.772951; 565.732062; 565.471768; 566.549540; 568.341672; 569.973290; 571.621478; 573.299766; 575.163960; 576.254904; 576.268077; 576.455891; 575.714290; 575.432062; 575.271904; 575.812817; 575.387716; 574.403048; 573.269188; 572.436392; 572.064817; 570.816875; 569.647491; 568.362713; 568.172216; 568.156421; 568.055689; 569.194853; 570.256531; 570.345461; 570.179641; 570.259333; 570.750117; 571.424544; 570.728540; 569.566369; 569.270551; 569.236755; 569.925547; 569.619119; 569.345713; 569.355488; 568.696022; 567.687988; 566.993058; 565.735161; 565.061808; 564.609587; 563.918054; 564.251244; 564.336479; 564.703465; 565.145135; 565.177143; 565.516531; 565.836191; 565.606833; 565.636098; 566.222668; 567.443609; 568.719387; 569.881618; 570.960522; 571.309507; 570.136845; 570.046723; 569.796801; 568.885028; 568.262458; 567.819178; 567.796171; 568.038344; 568.374872; 567.692637; 566.747725; 566.160440; 565.824389; 564.510465; 564.420044; 565.453768; 565.835238; 565.599859; 565.357387; 565.161288; 564.755559; 564.543128; 563.297391; 561.100721; 559.852481; 559.132040; 558.796406; 558.376849; 557.495594; 556.784332; 555.936933; 555.438161; 555.465043; 555.155516; 554.581046; 554.566324; 554.243386; 554.435074; 555.314600; 556.248784; 556.855381; 556.424975; 556.499064; 557.262361; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6144.9; 13:15:50; (); (); (); (); (); (); (); (); 569.154382; 567.283869; 565.679252; 565.080822; 565.361381; 565.629184; 565.580964; 566.083610; 566.890478; 567.237437; 566.350520; 566.124856; 565.527201; 565.414369; 565.709829; 565.760255; 565.806627; 566.980481; 568.221629; 568.639994; 568.620801; 568.771720; 568.180799; 566.777766; 565.453887; 565.646231; 565.606594; 566.105723; 566.507578; 567.631006; 569.576561; 572.566092; 573.446453; 573.736310; 573.851645; 574.515045; 575.163901; 575.582504; 575.630963; 575.968981; 576.598525; 576.819837; 576.968670; 576.594770; 575.961053; 574.664712; 572.776496; 571.498156; 570.812404; 570.831776; 570.564747; 570.403218; 570.916831; 571.972072; 571.941793; 571.398258; 571.862817; 572.753608; 573.531270; 573.707044; 573.741913; 573.605418; 573.843420; 573.244274; 572.445035; 571.827650; 571.622074; 572.301149; 572.726429; 572.415471; 572.147965; 571.952581; 571.308434; 571.654677; 572.504342; 573.040426; 574.322820; 575.315595; 575.650990; 575.814307; 575.393021; 574.269831; 572.573125; 571.524024; 572.111070; 572.713614; 572.567105; 572.476268; 571.456254; 570.698500; 570.246100; 569.080234; 568.272591; 568.436086; 569.027305; 570.820570; 571.914315; 572.151363; 571.837187; 570.409715; 569.311440; 568.843663; 568.623364; 568.706691; 568.426549; 568.143547; 567.332208; 566.927671; 566.890240; 566.020250; 564.405322; 563.730001; 563.668668; 564.018309; 565.035999; 565.401256; 564.955354; 557.262361; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
