Roll Number; 2
Recipe Name; FP 4556_352 GSM
Start Time; 2018-02-19; 11:38:22
File Name; D:\Mahlo\TR\180219113822FP 4556_352 GSM2_THICKNESS2.txt

527.0; 11:38:34; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.930193; 0.929770; 0.928975; 0.928604; 0.922824; 0.919252; 0.918663; 0.918197; 0.916120; 0.910425; 0.907985; 0.907843; 0.906095; 0.902091; 0.897045; 0.889664; 0.887965; 0.890257; 0.894145; 0.900552; 0.904630; 0.902486; 0.903019; 0.911915; 0.923024; 0.928695; 0.933648; 0.938714; 0.945541; 0.951439; 0.953971; 0.952117; 0.947332; 0.945348; 0.945853; 0.949613; 0.951783; 0.948956; 0.943418; 0.939409; 0.939439; 0.940565; 0.938282; 0.931678; 0.931385; 0.937497; 0.949627; 0.961068; 0.966722; 0.969379; 0.972812; 0.978079; 0.981494; 0.984763; 0.984816; 0.981712; 0.979587; 0.981282; 0.983252; 0.977896; 0.967658; 0.956526; 0.946420; 0.940663; 0.936631; 0.931060; 0.925245; 0.921086; 0.915966; 0.913379; 0.910670; 0.909011; 0.909105; 0.915469; 0.920737; 0.924419; 0.929055; 0.934155; 0.932589; 0.929883; 0.929899; 0.930573; 0.933603; 0.939068; 0.943421; 0.944182; 0.946923; 0.948068; 0.945113; 0.945512; 0.945336; 0.941227; 0.937770; 0.940833; 0.944031; 0.949570; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
534.7; 11:39:19; (); (); (); (); (); (); (); (); (); 0.903038; 0.902331; 0.898512; 0.897137; 0.899998; 0.898207; 0.899807; 0.901872; 0.900784; 0.899929; 0.903911; 0.908064; 0.912046; 0.914802; 0.914971; 0.913064; 0.909413; 0.910782; 0.911925; 0.911937; 0.910917; 0.906839; 0.905490; 0.906946; 0.906535; 0.901757; 0.894366; 0.887853; 0.884420; 0.888992; 0.896369; 0.903883; 0.906780; 0.904930; 0.905347; 0.913618; 0.920926; 0.924699; 0.929186; 0.932707; 0.936679; 0.941594; 0.944583; 0.942116; 0.933138; 0.928158; 0.928667; 0.931782; 0.933437; 0.932246; 0.928214; 0.925202; 0.924076; 0.924048; 0.923195; 0.919285; 0.917676; 0.925224; 0.934144; 0.942372; 0.948735; 0.950225; 0.950937; 0.954753; 0.955894; 0.956968; 0.956383; 0.954892; 0.952769; 0.953187; 0.955125; 0.949535; 0.939656; 0.931980; 0.926628; 0.922610; 0.919331; 0.915061; 0.910453; 0.906524; 0.902587; 0.900898; 0.899616; 0.899040; 0.901416; 0.905881; 0.910030; 0.915042; 0.920917; 0.924734; 0.925490; 0.923166; 0.924140; 0.925136; 0.928740; 0.936867; 0.938903; 0.938837; 0.938809; 0.940874; 0.941762; 0.943314; 0.940107; 0.935613; 0.934484; 0.935262; 0.936613; 0.938345; 0.939392; 0.932257; 0.923377; 0.922948; 0.922474; 0.918121; 0.915623; 0.913599; 0.912140; 0.911313; 0.907095; 0.901314; 0.899610; (); (); (); (); (); (); (); (); (); (); 
536.1; 11:39:28; (); (); (); (); (); (); (); (); (); 0.920915; 0.911980; 0.905075; 0.906771; 0.904454; 0.902400; 0.901792; 0.901325; 0.898315; 0.900104; 0.903549; 0.904307; 0.906769; 0.911041; 0.903721; 0.903934; 0.906022; 0.904259; 0.901366; 0.903911; 0.904280; 0.899264; 0.894756; 0.892102; 0.884931; 0.874873; 0.869989; 0.864093; 0.862445; 0.875801; 0.881483; 0.883800; 0.887040; 0.886839; 0.888488; 0.897505; 0.908063; 0.917282; 0.924945; 0.932141; 0.937254; 0.940476; 0.941008; 0.938188; 0.932411; 0.929564; 0.930936; 0.936831; 0.942472; 0.939655; 0.930714; 0.927115; 0.925667; 0.924100; 0.922007; 0.919937; 0.918676; 0.925995; 0.935852; 0.945981; 0.955014; 0.958245; 0.960607; 0.964204; 0.968770; 0.972086; 0.971608; 0.969773; 0.973778; 0.974844; 0.975015; 0.974543; 0.967301; 0.956254; 0.944120; 0.940243; 0.937970; 0.929167; 0.920570; 0.915712; 0.914858; 0.916767; 0.918543; 0.915325; 0.916547; 0.918380; 0.920110; 0.921764; 0.925777; 0.931674; 0.928796; 0.926129; 0.930958; 0.934198; 0.937852; 0.937746; 0.935544; 0.934685; 0.935936; 0.940235; 0.936823; 0.933300; 0.931480; 0.929758; 0.928482; 0.931394; 0.931981; 0.932484; 0.932001; 0.929376; 0.926685; 0.922365; 0.917779; 0.913590; 0.910575; 0.914037; 0.915106; 0.913203; 0.908894; 0.904889; 0.903874; (); (); (); (); (); (); (); (); (); (); 
537.6; 11:39:36; (); (); (); (); (); (); (); (); (); 0.910904; 0.906471; 0.903929; 0.905886; 0.908378; 0.908276; 0.908644; 0.909519; 0.905845; 0.905324; 0.907217; 0.912933; 0.916839; 0.919618; 0.915273; 0.913373; 0.912630; 0.910430; 0.905046; 0.901015; 0.899109; 0.895364; 0.892109; 0.889989; 0.884546; 0.876751; 0.869957; 0.866263; 0.866459; 0.877026; 0.882046; 0.885503; 0.888813; 0.891733; 0.892865; 0.899651; 0.906445; 0.914373; 0.923550; 0.930560; 0.935787; 0.937272; 0.937184; 0.934044; 0.928134; 0.925513; 0.926676; 0.930235; 0.934842; 0.936528; 0.929563; 0.929562; 0.927926; 0.923912; 0.921591; 0.917799; 0.915226; 0.920483; 0.931610; 0.943423; 0.953860; 0.955757; 0.957100; 0.959757; 0.962145; 0.962350; 0.960152; 0.961419; 0.967738; 0.972703; 0.975551; 0.977889; 0.971110; 0.960695; 0.949748; 0.941151; 0.939850; 0.933342; 0.926013; 0.922359; 0.922411; 0.922536; 0.920855; 0.915699; 0.914478; 0.913695; 0.912513; 0.914094; 0.918094; 0.922536; 0.923850; 0.922930; 0.929434; 0.933197; 0.939255; 0.942603; 0.942322; 0.942085; 0.943692; 0.948087; 0.946508; 0.944429; 0.943421; 0.942829; 0.943216; 0.944487; 0.941818; 0.936019; 0.933737; 0.927239; 0.922809; 0.919069; 0.914385; 0.908218; 0.902218; 0.904014; 0.903356; 0.899369; 0.892658; 0.884678; 0.882315; (); (); (); (); (); (); (); (); (); (); 
539.1; 11:39:45; (); (); (); (); (); (); (); (); (); 0.907434; 0.904382; 0.899618; 0.900096; 0.899652; 0.896901; 0.898719; 0.899494; 0.898276; 0.897756; 0.898818; 0.897143; 0.901450; 0.904424; 0.904224; 0.905571; 0.906105; 0.904489; 0.903573; 0.905073; 0.906218; 0.899389; 0.896333; 0.896154; 0.893961; 0.890708; 0.888788; 0.882104; 0.882626; 0.884813; 0.887547; 0.892574; 0.896917; 0.897685; 0.897680; 0.906719; 0.918844; 0.926723; 0.933081; 0.938950; 0.944398; 0.947720; 0.948679; 0.946153; 0.942938; 0.941074; 0.942144; 0.947054; 0.949714; 0.946505; 0.940517; 0.936563; 0.935262; 0.933431; 0.930021; 0.925126; 0.923671; 0.931248; 0.942994; 0.955019; 0.961765; 0.964505; 0.966763; 0.971711; 0.974589; 0.977060; 0.977460; 0.975268; 0.976214; 0.978464; 0.980437; 0.978192; 0.968606; 0.957445; 0.944181; 0.938571; 0.933050; 0.924953; 0.917922; 0.915041; 0.911437; 0.910358; 0.908995; 0.905925; 0.905472; 0.910687; 0.913390; 0.914805; 0.919171; 0.926974; 0.923920; 0.921448; 0.922410; 0.924574; 0.926810; 0.928578; 0.929979; 0.929099; 0.930358; 0.934377; 0.930337; 0.930981; 0.930646; 0.927385; 0.924098; 0.926536; 0.929381; 0.932951; 0.935876; 0.936386; 0.932839; 0.928698; 0.927483; 0.923293; 0.919488; 0.920235; 0.918443; 0.918673; 0.917325; 0.915697; 0.915267; (); (); (); (); (); (); (); (); (); (); 
540.5; 11:39:54; (); (); (); (); (); (); (); (); (); 0.908182; 0.901237; 0.900485; 0.903758; 0.902907; 0.901049; 0.901445; 0.901934; 0.902428; 0.903436; 0.904513; 0.902491; 0.903440; 0.909426; 0.906222; 0.908880; 0.911147; 0.907864; 0.904621; 0.906097; 0.906298; 0.900360; 0.895373; 0.892681; 0.889138; 0.881839; 0.879437; 0.872772; 0.872622; 0.882533; 0.885962; 0.888091; 0.892060; 0.892261; 0.891584; 0.900522; 0.913175; 0.923001; 0.929245; 0.935346; 0.942108; 0.944623; 0.945893; 0.941646; 0.935278; 0.932432; 0.933387; 0.937879; 0.941254; 0.938852; 0.929784; 0.927589; 0.927716; 0.925885; 0.922259; 0.917160; 0.913419; 0.919699; 0.930310; 0.943343; 0.952865; 0.957790; 0.961464; 0.965839; 0.970908; 0.973592; 0.972341; 0.968872; 0.972705; 0.976887; 0.979260; 0.980087; 0.973442; 0.960903; 0.947934; 0.941830; 0.936509; 0.927156; 0.919861; 0.915509; 0.914025; 0.916067; 0.918325; 0.914256; 0.914527; 0.918318; 0.919716; 0.920136; 0.923997; 0.931236; 0.928942; 0.928476; 0.932164; 0.935394; 0.938022; 0.937979; 0.935803; 0.933645; 0.933027; 0.936122; 0.931543; 0.930143; 0.930721; 0.929844; 0.926885; 0.928430; 0.928489; 0.928952; 0.929463; 0.928977; 0.928012; 0.923835; 0.921628; 0.918376; 0.914087; 0.916569; 0.916045; 0.913730; 0.910129; 0.907230; 0.915267; (); (); (); (); (); (); (); (); (); (); 
542.0; 11:40:03; (); (); (); (); (); (); (); (); (); 0.900361; 0.896359; 0.891800; 0.892832; 0.895711; 0.895991; 0.895488; 0.899962; 0.896701; 0.896577; 0.899639; 0.904832; 0.908702; 0.909358; 0.906552; 0.903580; 0.902540; 0.901625; 0.898178; 0.893144; 0.892058; 0.889973; 0.886621; 0.885286; 0.881371; 0.872952; 0.869176; 0.869163; 0.869868; 0.878022; 0.883659; 0.888205; 0.892121; 0.895022; 0.900780; 0.911033; 0.916055; 0.921233; 0.930912; 0.936722; 0.940015; 0.939535; 0.938367; 0.935959; 0.930833; 0.931126; 0.932457; 0.934182; 0.935032; 0.932118; 0.921737; 0.922539; 0.921980; 0.919379; 0.918758; 0.917454; 0.916841; 0.922054; 0.931635; 0.942484; 0.950161; 0.950561; 0.955743; 0.958926; 0.961047; 0.964202; 0.962464; 0.960945; 0.964266; 0.967304; 0.967988; 0.967667; 0.963531; 0.957646; 0.948112; 0.940235; 0.938229; 0.930609; 0.924763; 0.922226; 0.921228; 0.921327; 0.919673; 0.915787; 0.914098; 0.913423; 0.911831; 0.911880; 0.915534; 0.919168; 0.921734; 0.921773; 0.925574; 0.927300; 0.934493; 0.941277; 0.941481; 0.942309; 0.945107; 0.950081; 0.949278; 0.945342; 0.943872; 0.941442; 0.941870; 0.941069; 0.938545; 0.936304; 0.934537; 0.924472; 0.920394; 0.916936; 0.912624; 0.909155; 0.905050; 0.906231; 0.908738; 0.905734; 0.901960; 0.893695; (); (); (); (); (); (); (); (); (); (); (); 
543.4; 11:40:12; (); (); (); (); (); (); (); (); (); 0.909428; 0.907541; 0.903296; 0.901025; 0.900687; 0.899072; 0.902483; 0.905467; 0.905738; 0.905352; 0.909557; 0.912579; 0.917329; 0.919685; 0.919029; 0.916172; 0.912046; 0.912499; 0.914594; 0.916859; 0.914971; 0.911251; 0.909385; 0.910032; 0.906441; 0.900482; 0.893826; 0.885851; 0.883367; 0.886374; 0.893925; 0.901952; 0.905982; 0.904565; 0.906473; 0.914515; 0.921011; 0.923328; 0.927961; 0.932401; 0.937178; 0.941770; 0.944356; 0.940973; 0.933338; 0.930731; 0.931210; 0.934569; 0.935187; 0.932249; 0.928542; 0.925038; 0.925459; 0.925523; 0.924326; 0.919156; 0.916792; 0.924565; 0.937651; 0.947842; 0.951080; 0.952804; 0.955589; 0.961528; 0.964897; 0.966198; 0.964651; 0.961666; 0.958883; 0.960646; 0.964981; 0.960302; 0.950773; 0.942741; 0.934450; 0.930183; 0.926490; 0.920839; 0.913623; 0.908412; 0.904517; 0.902413; 0.899852; 0.897636; 0.898420; 0.903968; 0.907896; 0.910828; 0.914051; 0.918527; 0.917113; 0.914340; 0.913764; 0.915309; 0.918130; 0.924335; 0.928704; 0.928475; 0.930309; 0.933939; 0.931407; 0.933592; 0.932870; 0.929961; 0.928269; 0.929695; 0.931448; 0.934757; 0.936258; 0.934437; 0.928329; 0.925225; 0.924655; 0.918840; 0.913919; 0.912891; 0.910391; 0.908723; 0.905452; 0.902044; (); (); (); (); (); (); (); (); (); (); (); 
544.9; 11:40:21; (); (); (); (); (); (); (); (); (); 0.895702; 0.897540; 0.893886; 0.893571; 0.894039; 0.891563; 0.893853; 0.896411; 0.897347; 0.898499; 0.901599; 0.905405; 0.909903; 0.911394; 0.911402; 0.909809; 0.906482; 0.908243; 0.909203; 0.909692; 0.909461; 0.904500; 0.901407; 0.901276; 0.900381; 0.897120; 0.890198; 0.883295; 0.881786; 0.883121; 0.889642; 0.897496; 0.900314; 0.898298; 0.902333; 0.912482; 0.920818; 0.924429; 0.929464; 0.932745; 0.936478; 0.941163; 0.943950; 0.940690; 0.934689; 0.930520; 0.931823; 0.936051; 0.937974; 0.935998; 0.932092; 0.928816; 0.927719; 0.927709; 0.926548; 0.921849; 0.919395; 0.928494; 0.941380; 0.953048; 0.960157; 0.961361; 0.962277; 0.965822; 0.966630; 0.968281; 0.967656; 0.965888; 0.965040; 0.965713; 0.968912; 0.965570; 0.957245; 0.947169; 0.936970; 0.931409; 0.926538; 0.920397; 0.914795; 0.911128; 0.907820; 0.905115; 0.901744; 0.898637; 0.899281; 0.904605; 0.908244; 0.910370; 0.913298; 0.920432; 0.920862; 0.919025; 0.919237; 0.920867; 0.923197; 0.926965; 0.931893; 0.932716; 0.934132; 0.938170; 0.935865; 0.936489; 0.934595; 0.930643; 0.928870; 0.931335; 0.932470; 0.936373; 0.939404; 0.937688; 0.931403; 0.927206; 0.926948; 0.923278; 0.920119; 0.919095; 0.917559; 0.918645; 0.916913; 0.913048; 0.909834; (); (); (); (); (); (); (); (); (); (); 
546.4; 11:40:30; (); (); (); (); (); (); (); (); (); 0.896098; 0.891107; 0.890142; 0.893945; 0.894540; 0.893857; 0.894742; 0.896385; 0.896353; 0.898166; 0.901692; 0.905169; 0.908636; 0.914690; 0.911442; 0.912657; 0.913946; 0.911558; 0.906097; 0.905887; 0.905417; 0.901764; 0.896020; 0.892926; 0.887646; 0.879019; 0.871701; 0.864816; 0.861174; 0.872666; 0.879142; 0.883358; 0.887525; 0.889339; 0.890001; 0.898410; 0.907123; 0.915676; 0.923324; 0.930176; 0.936158; 0.940138; 0.941236; 0.938277; 0.931669; 0.927343; 0.926829; 0.930712; 0.935510; 0.935168; 0.927535; 0.927696; 0.926723; 0.923589; 0.920821; 0.917731; 0.914243; 0.919597; 0.930900; 0.944468; 0.954270; 0.956613; 0.958877; 0.961583; 0.964537; 0.965608; 0.963113; 0.962307; 0.968364; 0.974503; 0.977518; 0.980073; 0.974358; 0.961736; 0.950333; 0.944189; 0.943102; 0.933740; 0.926130; 0.922909; 0.922413; 0.923608; 0.925023; 0.919953; 0.918040; 0.918507; 0.918523; 0.919649; 0.923250; 0.928319; 0.928543; 0.927473; 0.934045; 0.937489; 0.943905; 0.945886; 0.944482; 0.943317; 0.944888; 0.948267; 0.944950; 0.942685; 0.941673; 0.941394; 0.940440; 0.941761; 0.938979; 0.935123; 0.931729; 0.926242; 0.925184; 0.922096; 0.918129; 0.913104; 0.906071; 0.908229; 0.908568; 0.906144; 0.899557; 0.892648; 0.890173; (); (); (); (); (); (); (); (); (); (); 
547.8; 11:40:39; (); (); (); (); (); (); (); (); (); 0.887796; 0.887005; 0.881499; 0.881600; 0.883024; 0.885522; 0.889649; 0.892382; 0.893869; 0.896343; 0.900678; 0.907426; 0.912952; 0.914004; 0.913154; 0.910231; 0.907173; 0.910236; 0.910462; 0.908621; 0.903193; 0.898723; 0.896922; 0.897700; 0.894211; 0.886897; 0.878770; 0.874568; 0.875195; 0.882091; 0.893329; 0.900551; 0.903048; 0.903105; 0.910851; 0.918621; 0.925070; 0.929892; 0.933820; 0.937143; 0.941606; 0.945420; 0.947043; 0.942656; 0.932275; 0.927340; 0.927415; 0.930236; 0.930702; 0.928560; 0.925197; 0.922570; 0.921656; 0.922064; 0.920809; 0.915252; 0.915376; 0.921490; 0.934086; 0.946110; 0.951468; 0.953117; 0.954333; 0.957121; 0.956902; 0.956995; 0.956029; 0.953658; 0.951489; 0.953077; 0.956319; 0.949048; 0.940443; 0.932877; 0.925200; 0.919031; 0.915699; 0.911389; 0.907089; 0.904835; 0.902207; 0.899463; 0.896318; 0.895144; 0.897145; 0.900513; 0.903914; 0.907968; 0.912254; 0.917398; 0.919530; 0.918603; 0.917944; 0.918477; 0.922649; 0.929428; 0.932896; 0.935087; 0.936432; 0.938580; 0.938147; 0.940194; 0.937250; 0.932311; 0.931101; 0.931953; 0.933570; 0.938584; 0.940227; 0.933285; 0.927213; 0.925363; 0.925684; 0.920820; 0.918899; 0.917983; 0.916879; 0.917720; 0.916844; 0.912621; 0.909628; (); (); (); (); (); (); (); (); (); (); 
