Roll Number; 3
Recipe Name; FP 4577_360 GSM
Start Time; 2018-02-20; 08:33:51
File Name; D:\Mahlo\TR\180220083351FP 4577_360 GSM3_FMI2.txt

1393.5; 08:34:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 386.180043; 385.968298; 385.261059; 384.106070; 383.271486; 383.112937; 383.738756; 384.117454; 383.759290; 383.128405; 382.350564; 380.955368; 379.671454; 378.850460; 378.173023; 377.295256; 376.414150; 375.978380; 375.829130; 375.686884; 375.069559; 373.679668; 372.686863; 372.348279; 372.355402; 372.629076; 373.014778; 373.151928; 373.201340; 373.511076; 374.013990; 374.545753; 374.736965; 374.576062; 374.316186; 374.048114; 373.710871; 373.464167; 373.720080; 374.170423; 374.594301; 374.483168; 374.466985; 374.648154; 374.678075; 374.422073; 374.179989; 374.474704; 375.139058; 375.735909; 376.308948; 376.915514; 376.912415; 376.307487; 375.574678; 375.418365; 375.645041; 375.282466; 374.735445; 374.253362; 373.986930; 374.006659; 373.741239; 373.009741; 372.282922; 371.511757; 370.907068; 370.567203; 370.563716; 370.159686; 369.295210; 369.098753; 369.420618; 369.758248; 370.170951; 370.217621; 369.793415; 369.839191; 370.207340; 370.524019; 370.754033; 370.842218; 370.687991; 370.687276; 371.080726; 371.404856; 370.991796; 370.603442; 370.455503; 370.430410; 370.518774; 370.553434; 370.317370; 370.104104; 369.969398; 370.075434; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1401.2; 08:34:48; (); (); (); (); (); (); (); (); 386.562824; 386.153758; 385.476410; 385.527879; 385.632396; 385.675460; 385.986477; 386.547595; 387.152791; 388.038903; 388.265461; 388.057083; 387.093306; 386.049747; 385.581702; 385.331511; 385.258168; 385.518700; 385.498524; 385.052085; 383.946538; 382.462502; 381.039858; 379.782736; 378.370702; 377.403259; 377.047449; 377.007544; 376.439661; 375.752777; 375.241607; 374.527127; 373.493552; 372.355312; 371.852934; 372.230500; 373.122811; 373.866349; 374.047637; 374.105364; 374.124497; 373.738796; 373.145759; 372.768700; 372.327745; 371.778101; 371.458441; 371.814370; 372.274816; 372.169584; 371.155977; 369.381487; 367.603242; 367.023915; 367.189676; 367.399007; 367.817342; 368.112653; 368.320942; 368.984252; 369.845897; 369.940698; 369.320869; 368.519336; 368.388444; 368.800968; 369.758874; 370.728552; 371.146113; 370.944470; 370.698810; 370.539635; 370.540291; 370.537639; 369.974881; 369.734794; 370.066792; 370.463699; 370.887786; 371.120989; 371.397883; 371.863723; 372.105002; 371.962905; 371.931463; 372.136056; 372.106940; 372.094154; 372.044504; 371.964425; 371.516526; 371.005565; 370.925188; 371.013373; 371.093124; 370.682627; 369.613647; 368.961364; 368.930876; 368.761569; 368.538529; 368.933409; 369.326115; 369.631588; 369.930416; 369.961709; 369.788855; 369.613945; 369.031996; 368.692547; 369.355798; 370.872617; 371.632963; 371.851325; 371.864527; 371.785492; 371.434152; 371.174634; 370.964110; 371.272027; 372.681856; (); (); (); (); (); (); (); (); (); (); (); 
1402.6; 08:34:56; (); (); (); (); (); (); (); (); (); 385.156095; 387.119949; 388.571680; 389.036924; 389.208764; 389.124483; 388.607889; 388.541400; 388.897687; 389.382511; 389.993846; 390.525252; 390.647203; 390.428990; 389.636189; 388.287455; 387.015283; 386.060685; 385.191619; 384.190202; 383.377373; 383.165240; 382.850736; 381.936878; 380.596340; 379.494786; 378.403693; 377.901196; 377.544969; 376.910895; 376.666725; 376.995802; 376.933515; 376.120269; 375.222236; 374.543190; 374.509901; 375.158399; 375.933617; 376.725703; 377.492189; 377.872080; 377.675205; 377.968848; 378.851324; 379.340559; 379.260242; 379.645050; 381.245077; 383.068800; 384.288877; 384.693563; 384.491086; 384.565383; 384.751767; 384.971321; 385.027558; 384.780407; 384.405881; 384.248137; 384.014785; 383.202642; 381.913602; 380.688816; 379.959494; 379.786223; 379.728585; 379.750550; 379.249901; 378.706187; 378.373861; 378.526449; 378.872067; 378.909200; 378.434032; 377.780646; 377.963692; 378.737926; 379.471004; 379.382282; 378.778011; 378.177136; 377.914131; 378.173947; 378.376007; 378.313690; 377.820313; 377.454698; 377.248317; 377.745062; 378.677338; 378.959388; 378.376633; 377.825111; 378.105551; 378.922284; 378.981054; 378.353983; 376.968563; 375.474781; 374.616355; 374.215245; 373.917878; 373.655468; 373.111606; 372.441262; 372.093022; 371.901512; 371.553212; 370.902658; 370.543987; 370.814621; 371.541560; 372.294426; 373.059839; 373.731136; 374.270529; 374.438733; 374.316543; 374.096900; (); (); (); (); (); (); (); (); (); (); (); 
1404.0; 08:35:05; (); (); (); (); (); (); (); (); (); 391.413480; 390.494019; 389.175326; 388.763607; 388.601333; 388.560295; 388.066560; 387.327164; 387.017012; 386.748403; 386.354059; 386.066437; 385.535717; 385.042042; 384.834230; 384.837151; 384.822428; 384.853423; 384.604901; 384.075999; 383.244455; 382.680833; 382.651418; 382.429183; 381.848216; 380.989134; 379.750073; 378.325820; 376.942098; 375.474751; 373.952091; 372.600555; 371.337146; 369.834989; 368.690908; 367.841184; 367.098510; 366.437644; 366.068065; 365.805119; 365.230680; 364.897519; 365.060121; 365.347743; 365.433574; 365.755200; 366.346031; 366.949648; 367.902249; 369.224250; 370.617568; 371.265799; 371.962279; 372.613281; 373.357326; 374.367535; 374.885380; 375.487626; 376.285404; 377.494544; 378.778189; 379.751980; 380.166054; 379.916459; 379.506588; 379.373431; 379.337698; 378.815234; 378.061056; 377.125412; 376.472861; 376.101345; 375.341862; 374.452710; 373.304635; 372.037023; 371.176600; 370.677143; 370.083988; 369.280785; 368.332922; 367.378682; 366.680741; 366.491109; 366.624892; 366.631776; 366.710275; 366.634011; 366.506159; 366.626561; 366.777658; 366.649628; 366.405487; 366.572380; 367.286652; 367.741376; 368.515790; 369.825125; 370.917916; 371.818721; 372.186303; 372.252762; 372.826636; 373.426110; 373.774618; 373.848140; 373.989493; 374.224305; 374.328107; 374.301165; 374.684870; 374.983221; 374.996215; 374.790579; 374.358207; 374.253899; 374.183387; 373.696566; 373.159051; 373.055488; (); (); (); (); (); (); (); (); (); (); (); 
1405.5; 08:35:14; (); (); (); (); (); (); (); (); (); 394.705504; 395.174384; 395.260632; 395.274252; 394.720376; 393.665731; 392.868221; 392.390281; 392.000824; 391.215116; 390.557200; 390.190721; 389.827847; 389.115751; 388.553292; 388.436913; 388.353109; 387.996465; 387.297064; 387.373805; 387.561530; 387.243301; 386.805356; 386.487216; 386.379331; 386.143684; 385.510862; 384.714186; 384.117991; 383.148521; 381.454229; 379.992634; 379.142582; 378.977001; 379.166663; 379.776686; 380.871832; 382.572234; 384.244859; 384.990156; 385.336071; 385.549396; 385.568440; 385.621041; 385.804713; 386.017203; 386.133015; 385.907382; 385.330498; 384.774178; 384.104848; 382.580280; 380.761862; 379.243404; 378.412455; 378.180057; 378.295541; 378.687710; 379.182220; 379.969090; 380.250961; 380.430847; 380.774617; 381.433159; 382.291436; 383.426785; 384.353071; 385.189325; 385.999501; 386.329412; 385.807574; 384.471446; 383.178413; 382.072896; 381.418914; 381.071091; 380.807310; 380.132496; 378.701091; 377.153426; 375.766605; 374.549150; 372.581691; 369.779676; 367.874861; 367.328346; 367.228687; 367.138028; 367.072523; 366.973549; 367.081791; 367.030025; 367.029160; 366.647065; 365.768313; 364.852130; 364.921033; 366.165429; 367.615432; 368.821979; 369.319469; 369.472206; 369.648695; 369.842649; 370.092332; 370.175391; 370.273441; 370.424688; 370.723069; 371.361047; 372.157335; 372.512549; 372.559428; 372.617394; 372.744083; 373.031199; 373.191804; 372.779876; 372.205347; 371.659994; (); (); (); (); (); (); (); (); (); (); (); 
1406.9; 08:35:23; (); (); (); (); (); (); (); (); (); 390.565127; 390.264988; 390.008360; 389.728636; 389.608324; 389.716089; 389.788240; 389.372081; 388.590097; 387.599081; 386.469603; 385.429353; 384.990871; 384.758621; 384.277195; 383.525968; 382.781804; 381.837457; 380.881667; 379.656285; 378.143162; 376.511604; 375.493646; 375.102520; 375.175685; 375.354588; 375.702828; 376.226753; 376.892537; 377.331495; 377.174228; 376.604110; 376.078814; 376.030445; 376.362354; 377.079487; 377.939701; 378.421128; 378.326595; 378.380895; 378.787488; 379.423529; 379.965693; 380.026191; 380.027771; 380.495995; 381.287158; 381.628156; 381.748915; 382.031024; 381.892562; 381.529301; 381.704152; 382.188797; 382.246643; 381.839067; 380.916148; 379.743218; 378.334016; 377.363414; 377.270073; 377.813995; 378.337562; 378.426105; 378.420115; 378.682494; 378.798604; 378.518850; 377.797365; 376.908898; 375.921011; 374.982476; 374.163896; 373.814046; 373.504251; 372.908235; 372.239739; 372.013271; 372.004360; 371.389210; 370.191455; 369.055450; 368.331730; 368.422508; 369.130880; 369.762212; 369.979203; 370.238066; 370.940715; 371.257305; 371.055007; 370.615214; 370.011330; 369.349599; 369.712651; 370.628655; 371.320993; 371.262997; 371.016800; 370.908827; 370.961815; 370.965540; 370.459348; 369.737059; 369.574040; 369.812816; 370.363235; 370.658755; 370.865166; 370.995820; 371.099144; 371.770769; 372.988164; 373.596400; 373.391449; 373.366594; 373.802036; 374.553353; 375.638306; 376.382262; (); (); (); (); (); (); (); (); (); (); (); 
1408.4; 08:35:32; (); (); (); (); (); (); (); (); (); 391.585261; 391.358376; 391.635567; 390.836358; 389.726758; 388.877809; 388.373017; 388.426125; 388.780504; 388.953745; 388.673544; 388.067842; 387.597919; 387.141615; 386.496186; 385.934919; 384.911865; 384.069920; 383.836299; 383.515030; 383.070081; 382.393092; 381.336540; 380.180031; 379.066080; 378.284574; 377.466142; 376.307249; 375.614882; 375.377595; 375.015885; 374.481231; 374.084920; 374.333560; 375.147164; 375.986934; 376.722276; 377.368778; 377.618670; 377.564937; 377.612650; 378.066838; 378.766239; 378.880620; 378.902942; 379.361451; 379.717976; 379.829705; 379.678160; 379.407376; 378.909051; 378.302187; 377.787977; 377.311379; 376.572460; 375.678718; 374.751180; 374.010026; 373.563200; 373.557568; 373.349875; 373.242140; 373.250276; 373.177499; 373.223573; 373.496741; 374.005020; 374.640852; 375.461221; 376.452237; 377.308428; 377.712965; 377.369374; 376.843095; 376.521796; 376.361459; 376.160204; 375.642657; 375.414491; 375.626624; 375.965863; 376.333624; 376.474261; 376.151651; 375.521600; 374.785215; 374.423593; 374.699980; 375.097513; 375.910819; 376.737058; 377.355099; 377.717257; 377.348363; 376.964092; 376.381189; 375.526637; 374.944329; 374.870747; 375.396311; 376.732618; 378.253102; 379.508734; 380.189031; 380.141973; 379.727483; 379.544914; 379.717499; 379.970878; 379.931599; 379.892677; 380.043119; 380.263388; 380.798906; 381.051540; 380.486280; 379.314154; 378.110766; 377.001852; 376.076072; (); (); (); (); (); (); (); (); (); (); (); 
1409.8; 08:35:41; (); (); (); (); (); (); (); (); (); 388.718247; 388.083190; 386.997521; 386.275053; 385.749638; 385.623962; 385.716349; 385.945857; 385.656625; 384.987086; 384.726048; 385.009080; 385.341734; 385.214508; 384.599954; 383.471578; 382.553607; 381.978273; 381.784201; 381.601244; 380.997986; 379.745543; 378.091753; 377.322435; 377.017260; 376.070797; 374.377072; 373.196602; 372.490197; 372.329950; 372.898787; 373.778909; 374.820739; 375.065207; 374.858916; 374.980479; 375.477612; 376.244545; 376.464546; 376.446545; 376.820654; 377.425849; 377.888858; 378.429949; 378.515273; 378.397018; 377.813995; 376.823068; 376.363248; 376.206368; 375.945091; 375.623792; 375.259489; 374.994397; 374.470413; 373.864830; 373.532653; 372.789592; 372.170955; 372.284591; 372.437745; 372.590929; 372.451007; 372.413695; 372.492939; 372.414678; 372.341752; 372.669369; 372.900993; 373.029679; 373.038828; 372.886628; 372.765332; 372.312933; 371.430069; 370.329291; 369.496942; 369.501203; 369.198501; 368.348747; 368.064374; 367.969304; 367.456764; 366.717577; 366.198629; 366.218150; 366.815329; 367.711335; 368.344069; 369.158804; 370.460868; 371.688396; 372.539967; 373.618841; 374.380112; 374.712080; 374.777198; 374.739617; 374.999017; 375.601172; 376.006991; 375.325501; 374.613941; 373.866081; 372.743517; 371.413141; 370.636463; 370.499045; 370.501608; 370.618135; 370.826542; 370.857865; 370.832205; 370.738477; 370.409787; 369.819611; 369.903773; 370.372415; 371.469557; 373.132855; (); (); (); (); (); (); (); (); (); (); (); 
1411.3; 08:35:50; (); (); (); (); (); (); (); (); (); 390.040219; 389.810205; 389.146745; 388.360828; 387.659371; 387.439519; 387.757391; 388.218224; 388.280332; 388.039112; 387.528151; 387.064278; 386.916667; 386.569917; 386.287838; 386.229336; 386.318147; 387.101531; 388.068289; 387.844473; 386.499345; 384.872645; 383.157700; 381.600857; 381.044060; 380.898178; 380.561084; 379.880279; 378.682315; 377.429098; 376.660168; 376.054704; 374.897838; 374.283731; 374.657780; 375.426948; 376.219183; 377.157807; 378.060281; 378.461033; 378.511250; 378.179848; 377.343237; 377.130747; 377.450526; 377.448201; 377.330899; 377.326876; 377.659738; 378.474921; 379.139036; 379.077196; 378.171742; 377.413094; 377.221614; 377.586931; 378.516614; 379.905403; 380.661100; 380.698621; 380.580723; 380.357683; 379.747510; 378.435463; 376.668811; 375.302315; 374.909520; 375.250965; 375.709623; 375.832558; 375.606060; 375.370443; 374.983162; 374.442399; 374.036729; 373.791188; 373.831272; 374.066621; 374.403477; 375.089586; 376.179427; 377.078503; 377.371877; 377.289832; 377.279878; 377.432883; 377.495289; 377.748102; 378.528595; 379.435390; 380.430430; 381.500900; 382.437140; 383.117586; 383.046776; 382.823467; 383.095473; 383.675158; 383.952200; 383.782774; 383.010596; 382.062942; 381.208301; 380.444437; 379.554391; 378.519535; 377.229363; 375.597209; 374.352098; 373.398185; 371.937841; 370.285839; 368.931472; 368.203700; 367.608726; 367.203176; 366.832256; 366.560876; 366.403103; 365.767449; (); (); (); (); (); (); (); (); (); (); (); 
1412.7; 08:35:58; (); (); (); (); (); (); (); (); (); 386.375815; 385.606587; 385.283142; 384.896398; 384.636223; 385.035723; 385.566205; 385.668457; 385.483176; 385.385275; 385.253817; 384.760767; 383.998454; 383.022964; 382.196426; 381.867558; 381.722242; 381.242454; 381.045669; 380.539984; 378.650397; 377.232701; 376.512498; 376.065195; 375.759810; 375.259876; 374.790847; 374.763519; 374.761701; 374.793857; 374.719143; 374.293298; 373.929054; 373.868585; 374.307483; 374.935895; 374.648392; 374.050766; 373.387098; 372.663289; 371.676534; 370.663524; 369.845837; 369.834185; 370.307177; 370.958209; 371.711940; 372.321188; 372.186154; 371.473163; 371.290892; 371.574700; 371.949315; 372.236013; 372.467399; 373.244882; 374.136925; 375.074834; 375.436813; 375.199497; 374.669969; 373.669267; 372.600555; 372.121185; 372.414380; 372.978061; 373.294204; 373.471320; 373.556972; 373.401433; 373.141080; 372.553766; 371.808648; 371.028185; 370.342255; 370.024472; 370.713800; 371.508032; 371.826351; 371.618062; 371.135443; 371.013641; 371.024311; 371.432960; 371.798724; 371.801615; 371.777862; 371.774584; 372.150540; 372.786522; 372.765869; 372.488290; 372.371256; 372.633934; 372.710288; 372.458100; 371.609390; 370.353490; 369.063199; 367.874771; 367.214352; 367.101580; 367.233723; 367.450207; 367.702723; 367.963016; 367.857546; 367.721081; 367.763698; 368.158698; 368.896991; 369.859993; 370.620698; 371.246517; 372.119069; 372.883081; 373.367816; 373.316616; 373.122483; 372.915268; (); (); (); (); (); (); (); (); (); (); (); 
1414.1; 08:36:07; (); (); (); (); (); (); (); (); (); 388.147414; 389.445394; 390.422553; 390.834868; 391.138881; 391.280293; 391.446233; 392.297924; 393.150210; 393.580228; 393.175721; 392.082542; 390.877992; 389.491916; 387.791574; 386.630297; 385.545552; 383.992970; 381.991476; 379.629284; 377.490550; 375.949204; 375.227451; 374.891013; 374.699920; 374.525219; 374.036163; 373.938531; 374.692053; 375.314802; 375.483215; 375.835150; 377.369285; 379.515052; 381.560206; 383.070260; 384.041756; 384.089202; 383.709908; 383.593619; 384.141624; 385.171771; 386.007994; 386.307359; 386.200100; 386.028230; 385.262609; 384.017855; 382.942647; 382.074684; 381.007016; 379.829794; 379.027516; 378.356963; 377.599686; 376.669765; 375.858605; 375.382066; 375.018746; 374.936968; 375.033230; 375.648528; 376.491249; 377.155393; 377.735645; 378.443211; 378.984183; 378.989100; 378.902107; 378.748506; 378.284246; 377.292633; 376.082212; 375.370890; 374.871790; 374.185562; 373.503745; 372.449428; 370.761812; 369.373679; 368.791640; 368.979394; 369.619459; 369.753599; 369.847864; 370.050311; 370.270550; 370.615184; 370.614827; 370.299041; 369.685918; 368.935108; 368.772954; 368.940622; 369.160086; 369.102985; 368.941545; 368.798047; 369.050592; 369.439900; 369.307756; 368.775398; 368.509054; 368.357867; 368.759930; 369.339287; 369.336843; 368.944526; 368.885845; 368.710399; 368.065834; 367.262036; 366.809338; 366.377950; 365.947872; 366.089523; 366.532117; 366.594970; 366.427988; 365.702748; (); (); (); (); (); (); (); (); (); (); (); 
