Roll Number; 0
Recipe Name; FP 4576_380 GSM
Start Time; 2018-03-07; 10:05:06
File Name; D:\Mahlo\TR\180307100506FP 4576_380 GSM0_XMF2.txt

4163.1; 10:05:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 12.331668; 12.346878; 12.381576; 12.407845; 12.426954; 12.442839; 12.456419; 12.469099; 12.490191; 12.512930; 12.532474; 12.550989; 12.568676; 12.585267; 12.602887; 12.619558; 12.621365; 12.613872; 12.608095; 12.602857; 12.597418; 12.592825; 12.587614; 12.580961; 12.574692; 12.570333; 12.567781; 12.566061; 12.566356; 12.568837; 12.574400; 12.581971; 12.588848; 12.595300; 12.602788; 12.609835; 12.616542; 12.624601; 12.635230; 12.644610; 12.653191; 12.663086; 12.673829; 12.682609; 12.689082; 12.693073; 12.694554; 12.695092; 12.696849; 12.700404; 12.704267; 12.707721; 12.711525; 12.714842; 12.717859; 12.719502; 12.720124; 12.719443; 12.718731; 12.720121; 12.722348; 12.724961; 12.726675; 12.725981; 12.723622; 12.721235; 12.717736; 12.712356; 12.703823; 12.695335; 12.689377; 12.684238; 12.679110; 12.672211; 12.663719; 12.656514; 12.651069; 12.647749; 12.645695; 12.643631; 12.641145; 12.640241; 12.641752; 12.646781; 12.653631; 12.661189; 12.669209; 12.677096; 12.686405; 12.694767; 12.699510; 12.704219; 12.709560; 12.716292; 12.722357; 12.728798; 12.735605; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4175.8; 10:06:02; (); (); (); (); (); (); (); (); (); 12.403258; 12.397818; 12.373848; 12.356061; 12.341959; 12.329031; 12.320256; 12.312365; 12.301385; 12.290394; 12.278003; 12.267022; 12.256219; 12.244301; 12.234885; 12.226906; 12.225598; 12.234791; 12.245028; 12.256987; 12.267603; 12.277944; 12.289104; 12.299772; 12.310658; 12.320932; 12.332900; 12.349131; 12.367572; 12.383023; 12.396156; 12.408642; 12.417720; 12.423135; 12.427422; 12.430903; 12.432502; 12.433139; 12.433592; 12.433206; 12.431449; 12.426829; 12.418444; 12.404906; 12.391713; 12.382897; 12.375627; 12.372014; 12.370680; 12.370124; 12.371387; 12.375389; 12.380318; 12.386343; 12.393272; 12.401077; 12.411490; 12.422642; 12.434877; 12.447359; 12.456279; 12.464326; 12.469839; 12.473441; 12.476579; 12.477771; 12.478506; 12.479421; 12.479974; 12.480295; 12.480213; 12.480976; 12.483282; 12.487242; 12.492498; 12.499317; 12.507975; 12.518631; 12.532003; 12.549689; 12.568711; 12.585185; 12.601821; 12.620410; 12.640588; 12.658729; 12.675999; 12.691991; 12.706441; 12.723190; 12.740302; 12.756394; 12.767625; 12.776625; 12.786610; 12.796226; 12.803239; 12.807979; 12.813284; 12.817329; 12.819576; 12.820910; 12.820856; 12.819834; 12.817597; 12.812538; 12.804702; 12.797287; 12.788819; 12.778793; 12.766285; 12.754348; 12.746610; 12.741126; 12.735434; 12.727903; 12.719682; 12.710755; 12.700322; (); (); (); (); (); (); (); (); (); (); (); (); 
4178.1; 10:06:10; (); (); (); (); (); (); (); (); (); (); 12.397475; 12.402705; 12.407158; 12.410762; 12.414072; 12.416983; 12.418880; 12.422767; 12.429712; 12.433191; 12.433682; 12.432627; 12.429849; 12.426998; 12.424222; 12.421119; 12.418291; 12.415365; 12.412001; 12.408981; 12.406198; 12.404919; 12.405418; 12.407243; 12.410055; 12.412514; 12.414488; 12.416939; 12.420952; 12.426204; 12.431830; 12.438354; 12.443809; 12.449703; 12.454852; 12.458986; 12.462918; 12.466399; 12.470243; 12.474265; 12.480499; 12.490324; 12.499384; 12.507366; 12.515254; 12.522407; 12.530445; 12.538609; 12.546326; 12.553927; 12.563080; 12.572461; 12.580182; 12.588276; 12.594941; 12.600289; 12.605289; 12.610020; 12.616006; 12.622964; 12.630391; 12.637539; 12.646089; 12.658820; 12.673222; 12.687396; 12.698625; 12.709966; 12.723237; 12.734909; 12.747382; 12.760374; 12.769823; 12.777790; 12.787528; 12.795413; 12.799245; 12.799123; 12.796593; 12.792954; 12.790717; 12.789989; 12.789252; 12.787676; 12.784520; 12.779002; 12.773596; 12.767570; 12.759237; 12.749851; 12.740044; 12.730157; 12.722267; 12.716521; 12.710986; 12.703371; 12.694249; 12.686135; 12.678590; 12.670788; 12.663601; 12.658858; 12.656705; 12.656461; 12.657781; 12.660278; 12.662521; 12.664551; 12.665759; 12.666887; 12.668270; 12.669522; 12.671052; 12.672390; 12.674342; 12.677397; 12.679476; 12.679820; (); (); (); (); (); (); (); (); (); (); (); (); 
4180.5; 10:06:19; (); (); (); (); (); (); (); (); (); (); 12.169810; 12.170636; 12.174998; 12.181102; 12.188736; 12.195960; 12.202407; 12.207717; 12.215468; 12.225521; 12.237468; 12.252424; 12.268464; 12.282918; 12.298617; 12.318218; 12.334824; 12.350392; 12.364133; 12.373686; 12.384427; 12.396678; 12.408955; 12.418032; 12.424275; 12.428863; 12.432443; 12.435380; 12.438016; 12.438651; 12.438464; 12.438858; 12.439904; 12.441688; 12.443789; 12.446646; 12.450846; 12.455314; 12.460072; 12.465365; 12.471414; 12.476133; 12.480427; 12.485120; 12.490154; 12.495355; 12.501366; 12.507972; 12.512901; 12.517551; 12.521392; 12.524126; 12.527169; 12.531048; 12.537085; 12.544684; 12.551773; 12.559494; 12.568115; 12.574802; 12.579192; 12.581132; 12.582932; 12.585156; 12.586616; 12.586260; 12.584628; 12.581606; 12.577945; 12.573910; 12.568726; 12.563360; 12.557983; 12.553374; 12.551244; 12.550789; 12.550814; 12.550294; 12.549546; 12.549894; 12.553099; 12.557289; 12.561022; 12.564415; 12.568341; 12.573709; 12.578914; 12.582994; 12.584318; 12.583849; 12.583354; 12.583955; 12.585835; 12.588002; 12.588850; 12.587813; 12.585865; 12.584139; 12.582396; 12.580200; 12.577637; 12.575001; 12.573698; 12.574546; 12.575909; 12.576130; 12.574841; 12.573569; 12.572964; 12.572983; 12.574624; 12.576178; 12.577324; 12.578343; 12.579180; 12.579985; 12.581238; 12.580803; (); (); (); (); (); (); (); (); (); (); (); (); 
4182.9; 10:06:28; (); (); (); (); (); (); (); (); (); 12.610632; 12.624213; 12.643683; 12.657854; 12.669137; 12.678674; 12.687573; 12.699051; 12.716694; 12.733726; 12.750264; 12.761356; 12.768249; 12.772107; 12.771997; 12.769140; 12.765546; 12.761973; 12.758704; 12.755185; 12.750599; 12.744127; 12.738463; 12.734993; 12.731941; 12.728955; 12.725542; 12.724064; 12.723510; 12.723087; 12.724426; 12.725066; 12.723844; 12.720813; 12.717073; 12.714013; 12.711589; 12.709068; 12.705968; 12.703577; 12.702715; 12.702563; 12.701689; 12.701115; 12.700471; 12.698264; 12.695380; 12.693353; 12.691693; 12.690143; 12.687311; 12.683177; 12.678903; 12.672852; 12.663932; 12.653886; 12.645002; 12.637772; 12.630925; 12.625244; 12.621091; 12.617175; 12.614226; 12.614208; 12.616585; 12.620384; 12.624742; 12.630278; 12.636462; 12.642494; 12.648496; 12.654154; 12.660491; 12.667564; 12.673689; 12.678660; 12.682971; 12.684192; 12.682328; 12.679504; 12.676221; 12.673770; 12.671068; 12.669569; 12.668744; 12.668687; 12.667346; 12.663338; 12.659058; 12.655301; 12.652121; 12.649427; 12.647577; 12.646531; 12.644522; 12.641895; 12.638892; 12.635921; 12.630813; 12.624620; 12.618367; 12.612246; 12.606937; 12.601733; 12.597035; 12.591662; 12.585042; 12.579259; 12.574978; 12.570906; 12.567075; 12.564498; 12.562355; 12.560138; 12.558319; 12.556948; 12.555568; 12.554529; 12.554474; (); (); (); (); (); (); (); (); (); (); (); (); 
4185.2; 10:06:36; (); (); (); (); (); (); (); (); (); 12.610632; 12.369934; 12.369756; 12.370890; 12.374045; 12.379773; 12.386878; 12.393758; 12.401510; 12.412258; 12.423115; 12.435053; 12.448858; 12.461177; 12.474465; 12.489462; 12.501854; 12.514098; 12.526560; 12.535296; 12.540799; 12.543698; 12.542649; 12.539537; 12.533425; 12.524635; 12.515956; 12.507896; 12.499738; 12.490158; 12.482627; 12.477652; 12.473833; 12.470498; 12.467758; 12.467372; 12.469380; 12.474646; 12.480556; 12.487529; 12.496435; 12.503977; 12.510467; 12.517133; 12.521549; 12.524422; 12.526439; 12.526512; 12.525806; 12.525673; 12.524292; 12.521215; 12.517893; 12.515436; 12.513755; 12.512179; 12.511297; 12.510921; 12.510756; 12.511596; 12.513342; 12.515783; 12.519394; 12.524709; 12.530956; 12.536870; 12.543020; 12.548895; 12.554860; 12.561457; 12.567629; 12.574731; 12.583899; 12.593411; 12.603487; 12.614954; 12.627181; 12.637722; 12.647437; 12.657693; 12.667084; 12.675895; 12.683445; 12.690380; 12.697956; 12.704434; 12.708956; 12.712215; 12.714137; 12.714587; 12.712613; 12.708542; 12.702478; 12.696980; 12.692198; 12.688282; 12.683685; 12.679164; 12.674534; 12.668417; 12.662360; 12.655988; 12.648910; 12.641788; 12.635450; 12.629916; 12.625523; 12.622808; 12.619941; 12.616737; 12.612361; 12.608966; 12.606300; 12.603956; 12.602247; 12.600513; 12.598509; 12.596546; 12.554474; (); (); (); (); (); (); (); (); (); (); (); (); 
4187.6; 10:06:45; (); (); (); (); (); (); (); (); (); 12.401354; 12.398575; 12.396592; 12.396403; 12.397019; 12.396774; 12.395694; 12.395486; 12.395553; 12.396058; 12.396210; 12.395617; 12.395038; 12.395813; 12.399244; 12.404852; 12.410367; 12.414733; 12.418301; 12.421045; 12.425070; 12.432260; 12.441288; 12.447630; 12.451623; 12.455036; 12.458388; 12.460857; 12.462955; 12.464593; 12.465569; 12.467038; 12.469665; 12.473148; 12.478195; 12.484299; 12.488939; 12.493795; 12.501760; 12.511958; 12.521327; 12.531447; 12.543377; 12.554958; 12.565009; 12.575124; 12.587091; 12.599713; 12.610687; 12.620305; 12.629104; 12.634453; 12.636411; 12.636262; 12.635060; 12.634344; 12.634060; 12.633365; 12.632625; 12.631178; 12.629302; 12.626399; 12.622015; 12.616877; 12.610973; 12.607305; 12.607726; 12.611546; 12.617686; 12.624529; 12.630098; 12.635492; 12.642132; 12.650861; 12.659568; 12.667745; 12.677363; 12.688448; 12.698691; 12.708721; 12.718040; 12.723531; 12.726849; 12.729630; 12.731832; 12.733704; 12.733082; 12.730175; 12.724324; 12.717590; 12.710090; 12.701005; 12.690993; 12.679972; 12.670361; 12.662643; 12.657936; 12.653203; 12.646411; 12.640065; 12.634774; 12.631147; 12.628913; 12.627949; 12.627964; 12.629245; 12.632585; 12.635450; 12.637578; 12.638943; 12.639290; 12.639052; 12.638873; 12.639573; 12.640743; 12.641878; 12.642397; 12.642628; (); (); (); (); (); (); (); (); (); (); (); (); (); 
4190.0; 10:06:54; (); (); (); (); (); (); (); (); (); 2.450412; 2.451549; 2.453350; 2.454816; 2.456292; 2.458015; 2.459657; 2.461158; 2.463052; 2.464912; 2.466748; 2.468811; 2.470858; 2.472935; 2.474879; 2.476905; 2.478493; 2.479582; 2.480527; 2.481118; 2.481187; 2.480770; 2.480237; 2.480016; 2.480168; 2.480527; 2.481121; 2.481908; 2.482898; 2.483756; 2.484524; 2.485302; 2.485980; 2.486892; 2.488544; 2.490809; 2.493362; 2.495984; 2.498240; 2.500247; 2.502145; 2.503821; 2.505368; 2.507005; 2.508581; 2.509710; 2.511083; 2.512740; 2.514203; 2.515201; 2.515992; 2.516722; 2.517346; 2.518385; 2.519615; 2.520780; 2.522284; 2.523650; 2.524820; 2.525943; 2.526904; 2.527715; 2.528477; 2.529502; 2.530466; 2.531312; 2.532005; 2.532575; 2.533068; 2.533327; 2.533357; 2.533169; 2.532902; 2.532624; 2.532499; 2.532497; 2.532483; 2.532501; 2.532425; 2.532510; 2.532896; 2.533567; 2.534189; 2.534603; 2.534988; 2.535144; 2.534917; 2.534683; 2.534697; 2.534678; 2.534381; 2.533696; 2.532709; 2.531362; 2.529557; 2.527163; 2.524652; 2.522659; 2.520825; 2.519342; 2.518455; 2.517861; 2.517402; 2.516923; 2.516495; 2.516197; 2.516005; 2.516017; 2.516365; 2.516926; 2.517590; 2.518310; 2.518892; 2.519204; 2.519360; 2.519380; 2.519102; 12.642628; (); (); (); (); (); (); (); (); (); (); (); (); (); 
4192.3; 10:07:02; (); (); (); (); (); (); (); (); 2.463620; 2.464887; 2.466131; 2.467003; 2.467944; 2.469241; 2.470355; 2.471876; 2.474219; 2.475983; 2.477437; 2.478780; 2.479777; 2.480591; 2.481669; 2.483224; 2.484913; 2.486818; 2.489144; 2.490949; 2.492515; 2.494226; 2.496139; 2.498010; 2.500002; 2.502505; 2.505360; 2.508150; 2.511203; 2.514115; 2.516877; 2.519288; 2.521418; 2.523931; 2.526750; 2.529379; 2.532227; 2.535824; 2.539526; 2.542847; 2.546194; 2.549819; 2.552768; 2.555622; 2.559084; 2.563049; 2.566555; 2.569764; 2.573150; 2.575860; 2.578269; 2.580412; 2.582426; 2.584234; 2.585419; 2.585902; 2.585968; 2.585779; 2.585263; 2.584476; 2.583132; 2.581797; 2.580536; 2.578786; 2.576926; 2.575442; 2.574177; 2.572452; 2.570432; 2.569219; 2.568857; 2.568814; 2.568907; 2.568940; 2.568866; 2.568664; 2.568362; 2.568601; 2.569490; 2.570697; 2.572164; 2.573671; 2.575135; 2.576230; 2.577043; 2.577198; 2.576637; 2.575850; 2.574983; 2.574058; 2.573158; 2.571964; 2.569879; 2.566989; 2.564098; 2.560863; 2.556993; 2.553129; 2.549719; 2.546214; 2.542662; 2.539993; 2.537593; 2.534173; 2.530497; 2.527457; 2.524626; 2.521732; 2.519431; 2.517053; 2.514964; 2.513751; 2.512379; 2.511240; 2.510191; 2.508632; 2.506497; 2.504903; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4194.7; 10:07:11; (); (); (); (); (); (); (); (); 2.417632; 2.418677; 2.422369; 2.425886; 2.428417; 2.430472; 2.432719; 2.435157; 2.438486; 2.441733; 2.445217; 2.449288; 2.452797; 2.456501; 2.460374; 2.465058; 2.468698; 2.470949; 2.473262; 2.475400; 2.477756; 2.479746; 2.481687; 2.483991; 2.486438; 2.488674; 2.491693; 2.495631; 2.498782; 2.501486; 2.504550; 2.508206; 2.511878; 2.515161; 2.518432; 2.521987; 2.525204; 2.528500; 2.532143; 2.535576; 2.538619; 2.540893; 2.542885; 2.544986; 2.546814; 2.548483; 2.550015; 2.551449; 2.552532; 2.553721; 2.555233; 2.556679; 2.557892; 2.559227; 2.560965; 2.562596; 2.564163; 2.565791; 2.567109; 2.568192; 2.569577; 2.571473; 2.573313; 2.575253; 2.577427; 2.579028; 2.580326; 2.581771; 2.582879; 2.583517; 2.584147; 2.585010; 2.586158; 2.587298; 2.588260; 2.588860; 2.588737; 2.588155; 2.587341; 2.586406; 2.585915; 2.585502; 2.584767; 2.583984; 2.583048; 2.581645; 2.580039; 2.577759; 2.575441; 2.573493; 2.571497; 2.570003; 2.568923; 2.567794; 2.566358; 2.564926; 2.563668; 2.562411; 2.561342; 2.560260; 2.559053; 2.558246; 2.557594; 2.556862; 2.555934; 2.554531; 2.553005; 2.551575; 2.550289; 2.549058; 2.547809; 2.546397; 2.545476; 2.544571; 2.543827; 2.543191; 2.542057; 2.540749; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4197.1; 10:07:20; (); (); (); (); (); (); (); (); 2.445960; 2.447911; 2.449785; 2.451334; 2.452517; 2.453547; 2.455353; 2.458339; 2.461538; 2.465053; 2.468740; 2.472846; 2.476908; 2.481169; 2.485132; 2.488461; 2.492538; 2.496718; 2.499833; 2.502981; 2.506283; 2.508799; 2.510876; 2.512530; 2.513747; 2.514736; 2.515362; 2.515460; 2.515071; 2.514313; 2.513615; 2.513164; 2.513034; 2.513225; 2.513359; 2.513477; 2.513658; 2.513887; 2.514187; 2.514580; 2.515105; 2.516077; 2.517395; 2.519030; 2.520982; 2.522580; 2.523913; 2.525001; 2.525687; 2.526315; 2.526880; 2.527412; 2.528054; 2.528559; 2.528842; 2.528764; 2.528319; 2.527684; 2.526781; 2.525564; 2.524442; 2.523617; 2.522866; 2.522069; 2.521224; 2.520524; 2.519955; 2.519321; 2.518780; 2.518659; 2.518974; 2.519410; 2.519766; 2.520422; 2.521257; 2.522125; 2.523104; 2.524115; 2.525111; 2.526393; 2.528062; 2.529956; 2.531956; 2.534111; 2.536617; 2.539110; 2.541813; 2.544371; 2.546578; 2.548689; 2.550143; 2.551372; 2.552421; 2.553023; 2.553228; 2.553077; 2.552321; 2.550692; 2.548688; 2.546075; 2.542436; 2.538648; 2.535434; 2.533584; 2.532226; 2.531180; 2.530240; 2.529651; 2.529237; 2.529029; 2.528847; 2.528490; 2.528578; 2.529112; 2.530311; 2.532700; 2.536317; 2.537209; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
