Roll Number; 0
Recipe Name; FP 4576_380 GSM
Start Time; 2018-03-07; 10:05:06
File Name; D:\Mahlo\TR\180307100506FP 4576_380 GSM0_FMI2.txt

4163.1; 10:05:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 363.507330; 363.878310; 364.196479; 364.149511; 364.362150; 364.285916; 364.167064; 364.181340; 364.216149; 364.610732; 365.032881; 365.434051; 366.028666; 366.403699; 366.766363; 366.889358; 366.615176; 366.441578; 366.556078; 366.396874; 366.440654; 366.736054; 366.841227; 366.598994; 366.141498; 366.237134; 366.068810; 365.557611; 364.930958; 364.199728; 363.686740; 363.463938; 363.534063; 363.587052; 363.568097; 363.198340; 362.805188; 362.495750; 362.395138; 362.308472; 362.176210; 361.742705; 361.849248; 362.447470; 362.904906; 363.243371; 363.173246; 362.531751; 362.001508; 361.838430; 361.657530; 361.250877; 361.032665; 361.409664; 361.805946; 361.987710; 362.127990; 361.890942; 361.663431; 361.969411; 362.273663; 362.665474; 363.024205; 362.930804; 363.042206; 363.500535; 364.068955; 364.616781; 364.614099; 364.312232; 364.248484; 364.548534; 364.942044; 364.996403; 364.643931; 364.279628; 364.053220; 363.966823; 363.890141; 363.936126; 363.463968; 362.889916; 362.222373; 361.784518; 361.219674; 361.088187; 360.822350; 360.695869; 360.737532; 360.861182; 360.800534; 360.967129; 361.103863; 361.378938; 361.512542; 362.072945; 362.614125; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4175.8; 10:06:02; (); (); (); (); (); (); (); (); (); 381.517529; 381.300271; 381.095171; 380.854428; 380.595237; 380.120188; 379.805654; 379.587382; 379.476339; 379.462272; 379.501432; 379.368097; 379.102677; 378.413230; 377.766907; 377.256721; 376.522332; 375.978947; 375.729889; 375.377953; 375.200301; 375.156730; 375.102371; 374.789715; 374.168873; 373.355538; 372.059166; 371.211141; 371.400237; 371.841878; 372.358978; 373.160303; 373.611420; 373.779118; 374.145210; 374.707073; 374.918252; 374.967724; 375.129163; 375.227183; 375.776887; 376.721889; 377.106249; 376.416445; 375.657946; 375.011027; 374.304324; 374.133438; 373.858780; 373.334199; 372.798383; 372.329116; 371.977717; 371.676207; 371.443391; 371.361822; 371.213198; 371.307492; 371.562153; 371.743381; 371.897817; 372.377038; 372.465998; 372.801304; 372.836381; 372.302681; 372.045666; 371.670514; 371.655703; 371.411234; 370.813519; 369.938374; 369.188994; 369.095504; 368.805826; 368.119657; 366.802365; 365.910828; 365.424722; 365.014970; 364.573121; 364.366740; 364.102334; 363.260597; 363.035560; 362.892777; 362.854034; 362.689465; 362.296551; 361.964434; 361.869574; 362.108827; 361.867458; 361.380488; 361.349940; 361.769617; 361.910820; 361.919224; 362.191260; 362.196505; 362.574488; 363.058895; 363.194466; 363.514960; 364.375621; 365.185440; 365.563750; 365.853071; 366.111934; 366.292834; 366.303712; 366.213977; 366.462737; 366.836369; 367.070407; 367.049992; 367.028147; 367.329240; 366.586506; (); (); (); (); (); (); (); (); (); (); (); (); 
4178.1; 10:06:10; (); (); (); (); (); (); (); (); (); (); 380.863488; 380.152881; 379.410297; 378.713071; 378.178418; 377.899855; 377.484202; 377.057940; 376.451552; 375.454515; 374.444455; 373.820186; 373.103350; 372.753412; 372.675270; 372.662574; 372.676075; 372.734666; 372.552395; 372.462183; 372.399062; 372.474998; 372.801095; 373.196155; 373.507977; 373.868674; 373.973489; 374.078810; 374.063194; 373.980731; 373.954743; 373.891741; 373.802304; 374.053240; 374.004960; 373.656332; 373.360932; 372.861594; 372.549951; 372.476548; 372.643560; 373.052269; 373.040348; 372.545719; 371.915132; 371.385396; 371.123850; 371.349663; 371.313810; 371.355474; 371.580392; 371.581107; 371.311545; 370.992154; 370.724201; 370.137662; 369.156510; 368.605644; 368.543327; 368.530452; 368.366688; 368.107885; 367.628664; 367.665172; 367.936134; 367.926478; 367.681772; 367.599875; 367.607981; 367.459387; 367.274106; 366.935462; 366.515189; 365.910053; 365.695953; 365.420341; 364.644736; 363.933682; 362.958819; 362.360179; 362.114936; 362.457782; 362.564325; 362.357855; 362.245202; 361.916989; 361.992270; 362.261981; 362.625688; 362.281770; 362.240851; 362.905800; 363.732725; 364.104718; 364.123404; 363.769382; 363.303274; 363.185823; 363.336772; 363.615125; 364.060849; 364.402443; 365.018725; 365.698248; 366.390020; 366.954625; 367.126912; 367.084801; 366.811872; 366.509765; 366.577297; 366.800129; 366.933048; 366.832733; 366.847783; 367.056370; 366.922975; 366.414785; (); (); (); (); (); (); (); (); (); (); (); (); 
4180.5; 10:06:19; (); (); (); (); (); (); (); (); (); (); 379.807651; 379.119128; 378.356725; 377.963811; 377.693146; 377.617985; 377.201408; 376.542062; 375.591487; 374.909461; 374.441236; 374.108970; 373.802274; 372.988075; 372.605562; 372.743189; 372.796237; 372.730106; 372.640222; 372.644454; 372.404993; 372.282594; 372.742444; 373.106092; 373.175085; 372.924685; 372.697622; 372.885615; 372.869492; 372.570932; 372.457415; 372.125506; 371.901721; 371.524900; 371.015608; 370.585263; 370.386332; 370.473593; 370.647043; 370.712459; 370.871514; 371.025175; 370.766222; 370.416760; 369.982511; 369.501978; 369.592309; 369.721860; 369.648457; 369.484693; 369.191945; 368.815422; 368.450850; 367.913604; 367.544085; 367.546946; 367.300749; 367.491394; 367.949188; 368.494958; 368.732572; 368.747830; 368.864208; 369.244695; 369.935364; 370.024860; 370.098799; 369.795978; 369.825631; 370.032370; 369.994968; 369.603544; 369.100004; 368.642509; 368.534923; 368.795812; 369.153440; 369.121045; 368.679106; 368.270576; 368.381351; 368.340224; 368.318319; 368.046820; 367.703021; 367.663473; 368.279129; 368.767083; 368.880779; 368.623435; 368.352205; 368.264288; 368.235946; 368.544310; 368.974626; 369.201362; 369.132072; 369.088054; 368.885398; 368.747801; 368.875831; 368.528098; 368.210971; 368.414342; 368.804544; 368.986964; 368.649304; 368.627161; 368.651748; 368.302047; 368.279487; 368.581533; 368.993819; 369.270861; 369.219631; 368.982643; 369.550318; 369.559258; (); (); (); (); (); (); (); (); (); (); (); (); 
4182.9; 10:06:28; (); (); (); (); (); (); (); (); (); 375.000209; 374.673486; 374.338388; 373.586744; 372.815758; 372.624844; 372.477204; 372.125149; 371.341825; 370.669305; 369.805992; 368.714541; 367.522657; 366.463512; 365.222961; 364.237159; 363.692164; 363.379300; 363.258183; 363.006473; 362.554014; 362.162739; 362.099558; 362.512857; 362.563372; 362.721354; 363.020688; 363.832504; 364.432693; 364.712328; 365.235001; 365.195215; 364.759564; 364.476949; 364.383876; 364.320308; 364.561737; 364.644438; 364.186555; 363.985956; 364.044666; 364.556581; 364.711374; 364.733756; 365.098089; 364.854485; 364.640445; 364.939183; 365.451008; 365.925968; 366.087735; 365.773350; 365.495145; 365.434974; 365.067959; 364.722908; 364.702165; 365.014642; 365.207970; 365.287393; 365.559787; 365.770459; 366.035163; 366.363853; 366.605490; 366.971612; 367.407411; 367.670476; 368.077487; 368.477345; 368.729472; 368.406415; 368.014187; 367.919564; 368.059337; 367.913276; 367.678672; 367.260069; 366.454214; 365.852982; 365.478247; 365.493983; 365.627885; 365.730047; 365.896612; 365.875185; 366.032392; 365.464747; 365.213484; 365.129411; 365.431309; 365.713418; 366.247833; 366.984904; 366.945952; 366.924167; 366.747051; 366.692245; 366.528332; 366.234094; 366.037130; 366.275281; 366.903126; 367.121696; 366.985381; 366.981864; 367.103934; 367.121547; 367.301285; 367.778480; 367.892712; 368.031621; 368.232280; 368.429303; 368.657976; 368.900806; 368.972868; 369.097233; 369.280368; (); (); (); (); (); (); (); (); (); (); (); (); 
4185.2; 10:06:36; (); (); (); (); (); (); (); (); (); 375.000209; 375.015914; 374.238461; 373.434007; 372.552752; 371.766239; 371.113539; 370.824218; 370.339006; 369.586259; 369.285703; 369.372278; 368.980080; 368.669391; 369.011253; 369.291067; 369.315147; 369.542420; 369.898409; 370.541811; 371.156931; 372.089118; 372.627705; 373.190224; 373.464584; 373.218387; 373.027951; 372.876585; 372.410148; 371.833920; 371.331066; 370.881081; 370.908201; 370.897412; 370.441496; 369.971812; 369.747400; 369.780481; 369.883776; 369.915128; 370.175868; 370.276302; 370.506942; 370.811224; 370.834917; 370.972216; 371.342897; 371.322036; 371.228039; 371.523529; 371.513754; 371.245623; 370.983899; 370.671421; 370.567530; 370.461285; 370.478928; 370.573014; 370.270789; 369.905055; 369.746536; 369.394898; 369.123399; 368.935436; 368.714660; 368.638366; 368.448704; 368.203700; 367.998332; 367.485255; 367.005050; 366.572112; 365.921259; 365.679741; 365.194708; 364.789069; 364.636570; 364.862263; 364.919335; 365.105242; 365.125090; 365.074098; 365.071207; 364.981800; 364.986032; 365.037680; 365.194708; 365.271568; 365.678668; 366.362780; 366.908133; 367.090791; 367.027313; 367.016912; 366.827130; 367.058039; 367.129982; 367.261797; 367.560893; 367.841303; 367.940575; 367.974579; 368.239641; 368.598104; 368.736297; 368.319064; 368.166834; 368.458897; 368.605137; 368.589491; 368.271530; 367.864698; 367.731065; 367.583871; 367.549062; 367.555588; 367.701679; 367.384255; 369.280368; (); (); (); (); (); (); (); (); (); (); (); (); 
4187.6; 10:06:45; (); (); (); (); (); (); (); (); (); 378.393739; 377.331793; 376.756221; 376.597673; 376.526326; 376.308799; 375.903249; 375.558853; 375.150472; 374.803215; 374.240249; 373.847574; 373.438925; 373.500675; 374.135345; 374.594599; 374.996483; 374.888271; 374.524862; 374.145776; 374.344319; 374.897480; 375.239998; 375.113100; 374.422938; 374.041587; 373.953938; 373.740822; 373.492837; 372.965276; 372.528702; 372.317433; 372.571319; 372.806400; 372.941792; 372.758448; 372.307926; 371.584147; 371.603996; 372.235954; 372.374058; 372.418642; 372.717917; 372.339487; 372.151822; 371.980250; 371.792853; 371.473700; 371.284127; 370.910585; 370.169550; 369.834185; 369.375348; 368.677706; 368.246317; 368.046254; 367.926359; 367.778450; 367.573857; 367.489547; 367.269337; 366.907597; 366.402715; 366.122276; 366.132736; 366.359413; 367.015213; 367.967546; 368.511945; 368.704617; 368.301481; 367.951185; 367.977142; 367.875278; 368.060827; 367.952585; 367.805630; 368.221283; 368.436396; 368.568867; 368.196189; 367.441654; 366.675645; 366.191626; 365.861654; 365.938485; 365.630835; 365.023345; 364.539236; 364.097953; 364.111453; 364.181668; 363.972008; 363.880157; 363.896132; 364.129215; 364.427596; 364.812911; 364.958793; 364.986122; 365.053505; 365.371823; 365.969032; 366.433114; 366.932392; 367.375195; 368.192524; 368.475765; 368.300736; 367.848694; 367.402911; 367.152572; 367.068857; 367.337972; 367.548138; 367.560685; 367.412925; 367.210388; (); (); (); (); (); (); (); (); (); (); (); (); (); 
4190.0; 10:06:54; (); (); (); (); (); (); (); (); (); 376.402825; 375.963092; 375.585884; 375.023216; 374.611616; 374.293894; 374.308616; 374.306262; 374.475867; 374.421209; 374.588788; 374.548137; 374.402821; 374.041408; 373.654336; 373.492330; 373.407096; 373.633504; 374.212593; 374.825150; 375.513315; 375.227690; 374.473512; 373.753548; 373.472244; 373.230428; 372.696847; 372.241110; 371.992201; 371.914506; 371.882349; 371.722192; 371.084064; 370.495617; 369.828761; 369.188547; 369.229227; 369.718283; 369.824737; 369.486839; 369.257450; 369.141310; 368.897170; 368.848741; 368.803859; 368.616343; 368.343860; 368.334174; 368.296951; 368.088841; 367.814213; 367.631882; 367.465109; 367.182940; 366.581947; 366.106391; 366.145343; 366.359055; 366.786569; 366.882950; 366.714776; 366.478533; 366.155773; 366.121650; 366.339147; 366.529703; 366.491288; 366.517037; 366.665900; 366.597205; 366.535425; 366.754711; 367.114216; 366.919935; 366.891861; 366.625339; 366.462409; 366.242826; 365.633637; 365.258664; 365.150839; 365.379602; 365.642428; 365.945280; 366.609812; 367.147833; 367.159873; 366.974205; 367.266834; 367.655277; 368.333191; 369.051307; 369.737864; 370.072603; 370.204717; 370.135039; 369.582593; 369.098902; 368.720472; 368.508369; 368.362546; 368.104607; 367.940068; 368.080735; 368.507922; 368.784785; 368.853509; 368.719071; 368.795782; 368.925065; 369.137347; 369.538099; 370.046735; 370.378703; 370.418668; 370.569915; 370.789647; 367.210388; (); (); (); (); (); (); (); (); (); (); (); (); (); 
4192.3; 10:07:02; (); (); (); (); (); (); (); (); 384.967715; 384.515613; 383.753777; 383.386016; 383.008391; 382.790059; 382.576078; 381.749421; 380.344242; 379.472136; 378.731042; 377.858013; 377.329051; 376.845539; 376.420379; 376.326233; 376.323193; 376.310736; 376.236528; 375.820637; 375.113934; 374.482274; 374.782771; 374.994755; 374.978781; 374.827206; 374.815136; 374.734521; 374.710321; 374.376327; 373.369843; 372.412533; 371.918917; 371.308565; 371.244609; 371.071428; 371.069849; 370.974541; 370.665282; 370.266944; 369.789153; 369.049817; 368.377656; 367.616296; 367.238998; 367.340863; 367.457777; 366.868675; 366.296530; 365.636855; 365.240335; 364.753127; 363.936812; 363.253325; 362.775177; 361.988604; 361.664116; 361.444563; 361.096770; 360.633731; 359.874189; 359.375417; 359.431088; 359.460741; 359.423071; 359.663397; 359.687239; 359.731197; 359.595239; 359.725207; 360.227972; 360.363573; 360.524982; 360.914916; 360.991627; 361.181706; 360.884875; 361.089170; 361.564696; 362.059653; 361.925662; 361.892670; 361.977935; 362.066746; 361.859202; 361.190140; 360.557675; 360.447943; 360.840768; 361.248255; 361.503452; 361.582845; 360.932052; 359.928012; 359.398246; 359.099597; 358.996600; 359.144539; 359.553903; 359.720916; 360.443890; 361.663908; 362.300903; 362.632543; 363.092780; 363.537937; 363.891125; 364.522845; 365.201980; 365.604758; 366.182417; 366.521716; 366.828680; 367.130548; 367.710441; 367.956191; 367.425561; 366.844445; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4194.7; 10:07:11; (); (); (); (); (); (); (); (); 379.742324; 379.677296; 379.271924; 378.599316; 378.150344; 377.905458; 377.632171; 377.403945; 376.899272; 376.320750; 376.518458; 376.349270; 375.840902; 375.445515; 374.927998; 374.575973; 374.001682; 373.875558; 373.688012; 373.342961; 373.229802; 372.950464; 372.482568; 371.740192; 370.844483; 369.797856; 368.979573; 368.267536; 368.028283; 367.689729; 366.928935; 366.618633; 366.151333; 366.240591; 366.142005; 365.573555; 365.364969; 365.114331; 364.908010; 364.830047; 364.661276; 364.475369; 364.160478; 363.931537; 364.075243; 363.931477; 363.830090; 363.664776; 363.406688; 363.028616; 362.739652; 362.471581; 361.847073; 361.345053; 361.213505; 361.216635; 361.507207; 361.686856; 361.296535; 360.631585; 360.043287; 359.591067; 359.336376; 359.324336; 359.822780; 359.945267; 359.781593; 360.006094; 359.951556; 359.738916; 359.447956; 359.156549; 359.256953; 359.442562; 359.895945; 360.655814; 361.094296; 361.210734; 360.988230; 360.762328; 360.942572; 361.428320; 361.863345; 362.280279; 362.673342; 363.388360; 363.702804; 363.674402; 363.745034; 363.623887; 363.338590; 363.590539; 363.733202; 363.898188; 363.833308; 363.661230; 363.917321; 364.357203; 364.866436; 364.991009; 364.811867; 365.094632; 365.521014; 366.107643; 366.625756; 366.922945; 366.516590; 366.191566; 366.466761; 367.042512; 367.373914; 367.458373; 367.484987; 367.217422; 367.360562; 367.574066; 367.538214; 367.134273; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4197.1; 10:07:20; (); (); (); (); (); (); (); (); 385.326385; 384.486884; 384.321332; 383.876324; 383.299500; 382.663369; 382.345945; 382.120967; 381.818354; 381.809622; 381.530970; 380.850434; 380.099535; 379.562974; 379.493147; 379.355460; 378.699362; 377.805918; 377.483934; 377.431095; 377.097398; 376.297027; 375.438929; 374.469250; 373.551369; 372.568369; 372.037679; 371.556938; 370.985806; 370.163172; 369.902074; 369.908899; 369.970888; 370.139331; 369.949907; 369.965374; 369.975597; 370.060891; 370.152056; 370.238304; 370.318025; 370.493263; 370.983183; 371.431351; 371.601284; 371.381074; 371.112883; 370.528430; 369.723767; 369.605571; 369.743913; 369.595855; 369.628996; 369.639307; 369.430244; 369.212866; 368.818194; 368.260026; 367.855698; 367.589772; 367.567748; 367.800236; 367.993534; 368.242860; 368.252903; 368.408471; 368.529022; 368.374586; 368.361771; 368.635237; 369.198143; 369.470596; 369.485915; 369.691759; 370.037019; 369.957209; 369.818628; 369.801491; 369.874299; 369.920015; 369.977146; 369.793355; 369.776547; 369.702429; 369.299024; 368.745625; 368.587017; 368.741930; 368.500650; 368.085235; 367.930979; 367.807478; 367.840856; 367.660820; 367.199004; 366.594702; 366.098523; 365.259022; 364.660770; 364.202648; 363.738567; 363.431960; 362.973779; 363.134742; 363.681108; 364.324957; 364.949495; 365.612477; 366.095006; 366.385251; 366.699308; 367.182404; 368.091673; 368.858188; 369.679332; 370.728493; 371.794879; 372.681707; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
