Roll Number; 0
Recipe Name; FP 4548_387 GSM
Start Time; 2018-03-08; 15:42:28
File Name; D:\Mahlo\TR\180308154228FP 4548_387 GSM0_XMF2.txt

11659.7; 15:42:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.939178; 3.938652; 3.929576; 3.925405; 3.925778; 3.929124; 3.933588; 3.939145; 3.945383; 3.951609; 3.957907; 3.962436; 3.967230; 3.975182; 3.983075; 3.987527; 3.990937; 4.001721; 4.014014; 4.024169; 4.030246; 4.033953; 4.036069; 4.036406; 4.035668; 4.033568; 4.031653; 4.028443; 4.019646; 4.008681; 4.002806; 3.999276; 3.995337; 3.990251; 3.984936; 3.981884; 3.979659; 3.977860; 3.978186; 3.979221; 3.980851; 3.983085; 3.985997; 3.990820; 3.997671; 4.000446; 3.997591; 3.990808; 3.978977; 3.965663; 3.954970; 3.945990; 3.940683; 3.935807; 3.930575; 3.926291; 3.921602; 3.916844; 3.912956; 3.909349; 3.908306; 3.910391; 3.914698; 3.922134; 3.931605; 3.940516; 3.946264; 3.947296; 3.946951; 3.946138; 3.944271; 3.941705; 3.938268; 3.931751; 3.920650; 3.908944; 3.898625; 3.888635; 3.880079; 3.870255; 3.859732; 3.851715; 3.845067; 3.836711; 3.828402; 3.819706; 3.809734; 3.802254; 3.798863; 3.799357; 3.801767; 3.803969; 3.806375; 3.808844; 3.810574; 3.809422; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11661.6; 15:42:48; (); (); (); (); (); (); (); (); (); 3.880214; 3.883305; 3.888061; 3.893050; 3.897254; 3.902253; 3.907330; 3.915601; 3.925055; 3.932842; 3.939799; 3.948735; 3.958223; 3.968658; 3.979530; 3.989930; 4.000833; 4.010762; 4.019540; 4.025863; 4.031339; 4.036790; 4.038874; 4.038156; 4.036509; 4.035143; 4.033699; 4.031396; 4.026868; 4.019692; 4.012498; 4.004370; 3.995153; 3.986647; 3.979877; 3.972974; 3.964903; 3.958673; 3.953372; 3.947599; 3.938631; 3.928106; 3.919940; 3.914756; 3.913018; 3.912663; 3.913310; 3.914592; 3.915038; 3.914232; 3.913908; 3.914510; 3.916204; 3.919863; 3.922613; 3.923675; 3.923945; 3.923567; 3.923298; 3.924339; 3.925145; 3.925936; 3.926323; 3.929257; 3.934791; 3.940920; 3.947302; 3.954840; 3.960758; 3.967478; 3.978961; 3.994291; 4.008727; 4.019058; 4.028045; 4.040571; 4.052068; 4.060424; 4.066687; 4.073093; 4.078881; 4.082063; 4.080781; 4.076692; 4.068624; 4.055468; 4.039942; 4.025429; 4.010917; 3.993485; 3.971602; 3.953318; 3.937636; 3.923756; 3.911989; 3.893472; 3.876219; 3.863889; 3.856670; 3.852656; 3.850011; 3.848658; 3.849228; 3.849462; 3.848788; 3.850941; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11663.1; 15:42:57; (); (); (); (); (); (); (); (); (); 3.978932; 3.972792; 3.966133; 3.960026; 3.955622; 3.953391; 3.952679; 3.951892; 3.949411; 3.948591; 3.947475; 3.945112; 3.940192; 3.935504; 3.932667; 3.934617; 3.939470; 3.947600; 3.955906; 3.962301; 3.968056; 3.973071; 3.978407; 3.983554; 3.988394; 3.992817; 3.995840; 3.999297; 4.003406; 4.006126; 4.006756; 4.005526; 4.003807; 4.001448; 3.998456; 3.996365; 3.994273; 3.991470; 3.988767; 3.986554; 3.985152; 3.985761; 3.987118; 3.987188; 3.986811; 3.988021; 3.991880; 3.994410; 3.996191; 3.997427; 3.996971; 3.994935; 3.993652; 3.993827; 3.993907; 3.993579; 3.993445; 3.993745; 3.994935; 3.997246; 3.997700; 3.994934; 3.993547; 3.995361; 3.999335; 4.004879; 4.012082; 4.019722; 4.025293; 4.029839; 4.035236; 4.041939; 4.051743; 4.062242; 4.068494; 4.073816; 4.079890; 4.086713; 4.093038; 4.100224; 4.107498; 4.113300; 4.117684; 4.120762; 4.119580; 4.114469; 4.105180; 4.089237; 4.072616; 4.060974; 4.050880; 4.039774; 4.027820; 4.016820; 4.005868; 3.991359; 3.977225; 3.966920; 3.958767; 3.952860; 3.949574; 3.948382; 3.949667; 3.949025; 3.944359; 3.937930; 3.932576; 3.928851; 3.925131; 3.922180; 3.919642; 3.916084; 3.911026; 3.905308; 3.898753; 3.891808; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11664.6; 15:43:05; (); (); (); (); (); (); (); (); (); 3.949094; 3.952430; 3.953616; 3.950724; 3.944689; 3.935766; 3.928407; 3.922613; 3.915517; 3.908150; 3.900354; 3.892162; 3.887409; 3.885107; 3.883312; 3.880617; 3.878786; 3.879066; 3.881861; 3.886924; 3.893577; 3.898785; 3.901127; 3.903600; 3.907787; 3.913452; 3.919939; 3.922653; 3.922001; 3.919818; 3.918977; 3.921871; 3.927162; 3.930859; 3.932218; 3.933702; 3.939487; 3.951580; 3.963178; 3.972495; 3.978692; 3.982094; 3.985680; 3.991240; 3.998811; 4.007637; 4.013551; 4.014968; 4.016392; 4.020083; 4.023593; 4.025786; 4.025622; 4.024199; 4.022911; 4.022803; 4.025501; 4.029792; 4.033937; 4.035964; 4.034388; 4.030855; 4.028706; 4.028609; 4.030564; 4.031629; 4.031830; 4.032592; 4.034811; 4.036968; 4.038575; 4.040041; 4.041903; 4.044223; 4.046082; 4.047555; 4.049877; 4.052763; 4.055623; 4.058087; 4.060752; 4.063439; 4.065609; 4.066778; 4.067253; 4.066498; 4.064812; 4.062268; 4.058223; 4.052022; 4.045345; 4.035330; 4.022332; 4.010995; 3.999245; 3.988685; 3.980342; 3.972395; 3.965442; 3.962863; 3.964249; 3.966419; 3.968677; 3.972112; 3.977739; 3.984390; 3.993007; 4.002791; 4.011777; 4.018876; 4.025991; 4.034093; 4.042152; 4.047765; 4.050731; 4.050727; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11666.1; 15:43:14; (); (); (); (); (); (); (); (); (); 3.899410; 3.904613; 3.907375; 3.905572; 3.904230; 3.904485; 3.905410; 3.909577; 3.914778; 3.916729; 3.916873; 3.917361; 3.917260; 3.917177; 3.916089; 3.915172; 3.912381; 3.911665; 3.914074; 3.915292; 3.914687; 3.915056; 3.916705; 3.918234; 3.919645; 3.920719; 3.920738; 3.921901; 3.925150; 3.931982; 3.941538; 3.951501; 3.958812; 3.965157; 3.972558; 3.981200; 3.988935; 3.994229; 3.998152; 4.002088; 4.007183; 4.012169; 4.015195; 4.015252; 4.011853; 4.005413; 3.996184; 3.988393; 3.980599; 3.972374; 3.964086; 3.955917; 3.951153; 3.947885; 3.943705; 3.939035; 3.934876; 3.933178; 3.931569; 3.930714; 3.932383; 3.935923; 3.940373; 3.945155; 3.949386; 3.953719; 3.956815; 3.958979; 3.961606; 3.964211; 3.967196; 3.971190; 3.973658; 3.975435; 3.976819; 3.979219; 3.981992; 3.984247; 3.985382; 3.986767; 3.988738; 3.989808; 3.990532; 3.991906; 3.990640; 3.984902; 3.978506; 3.975102; 3.974841; 3.974969; 3.970888; 3.965280; 3.961264; 3.960457; 3.961289; 3.962845; 3.966296; 3.969749; 3.972589; 3.976300; 3.982764; 3.991311; 3.996591; 3.999906; 4.003447; 4.009157; 4.014751; 4.017370; 4.015685; 4.015091; 4.014099; 4.011863; 4.008909; 4.005492; 4.003856; 4.001610; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11667.6; 15:43:22; (); (); (); (); (); (); (); (); 3.931683; 3.930626; 3.928619; 3.924546; 3.918885; 3.913122; 3.908969; 3.905431; 3.900998; 3.897608; 3.895767; 3.894774; 3.893886; 3.893485; 3.894543; 3.895938; 3.897598; 3.900575; 3.905437; 3.911951; 3.919329; 3.925334; 3.930028; 3.932459; 3.931925; 3.930239; 3.929050; 3.928978; 3.928999; 3.928779; 3.929361; 3.929601; 3.927280; 3.922972; 3.920354; 3.918944; 3.918812; 3.920346; 3.924200; 3.930112; 3.934474; 3.936001; 3.936587; 3.937026; 3.937861; 3.938080; 3.937834; 3.938701; 3.940770; 3.941372; 3.940152; 3.937965; 3.934623; 3.930330; 3.925308; 3.920881; 3.917814; 3.914955; 3.912513; 3.910134; 3.906856; 3.903450; 3.899866; 3.896222; 3.894018; 3.892284; 3.889157; 3.886213; 3.884825; 3.885316; 3.886946; 3.889772; 3.892571; 3.894626; 3.896915; 3.901668; 3.909661; 3.918265; 3.927597; 3.938986; 3.949561; 3.960254; 3.972011; 3.980317; 3.985967; 3.991302; 3.995382; 3.998347; 4.000470; 4.002099; 4.003776; 4.004144; 4.002258; 3.996712; 3.989016; 3.983568; 3.978466; 3.974433; 3.972304; 3.970620; 3.968220; 3.963814; 3.961513; 3.959950; 3.957083; 3.951333; 3.945401; 3.941687; 3.938642; 3.938252; 3.937430; 3.935300; 3.932460; 3.929259; 3.926965; 3.925163; 3.925713; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11669.1; 15:43:31; (); (); (); (); (); (); (); (); 3.931683; 3.920698; 3.924570; 3.928109; 3.928236; 3.927973; 3.927625; 3.928059; 3.931420; 3.938444; 3.943982; 3.944006; 3.941217; 3.937886; 3.936255; 3.935741; 3.936585; 3.934658; 3.933977; 3.934862; 3.935546; 3.936682; 3.937702; 3.936945; 3.935169; 3.934557; 3.936743; 3.939876; 3.944107; 3.948282; 3.952701; 3.957662; 3.960627; 3.962994; 3.965542; 3.968105; 3.970895; 3.973525; 3.975566; 3.977364; 3.977690; 3.975182; 3.972141; 3.969969; 3.968861; 3.967656; 3.965162; 3.961576; 3.957486; 3.952507; 3.945358; 3.935215; 3.924637; 3.916055; 3.906121; 3.895893; 3.891027; 3.887015; 3.879353; 3.869804; 3.860738; 3.851950; 3.842913; 3.834192; 3.828121; 3.825062; 3.824670; 3.827151; 3.831535; 3.836382; 3.839445; 3.841553; 3.845971; 3.854430; 3.863112; 3.872317; 3.883949; 3.898009; 3.909312; 3.919478; 3.929421; 3.939578; 3.949094; 3.955440; 3.960242; 3.963885; 3.964648; 3.961922; 3.957063; 3.953247; 3.949786; 3.946710; 3.946311; 3.948247; 3.950822; 3.952654; 3.953889; 3.955572; 3.959257; 3.965503; 3.975748; 3.991827; 4.008331; 4.018244; 4.022155; 4.022791; 4.022185; 4.020235; 4.016691; 4.012614; 4.011995; 4.012050; 4.011551; 4.009103; 4.001621; 3.985126; 3.968095; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11670.6; 15:43:39; (); (); (); (); (); (); (); (); 3.931683; 3.987379; 3.992308; 3.996345; 3.999436; 4.001790; 4.003760; 4.004196; 4.002856; 3.996520; 3.987062; 3.976126; 3.965521; 3.957333; 3.949402; 3.939512; 3.929486; 3.918722; 3.907739; 3.898627; 3.889890; 3.881791; 3.875797; 3.872796; 3.873616; 3.876748; 3.881451; 3.887461; 3.895409; 3.904396; 3.913672; 3.924639; 3.935145; 3.943726; 3.952683; 3.961916; 3.968737; 3.975297; 3.983463; 3.992661; 4.001511; 4.009986; 4.016871; 4.021190; 4.025189; 4.028069; 4.028693; 4.028898; 4.030161; 4.032045; 4.033186; 4.033807; 4.034642; 4.036891; 4.040080; 4.043060; 4.044963; 4.046537; 4.048268; 4.050309; 4.051001; 4.049971; 4.047725; 4.044554; 4.041916; 4.041708; 4.043557; 4.044668; 4.043614; 4.038446; 4.032135; 4.028091; 4.025595; 4.024228; 4.024024; 4.024860; 4.026221; 4.027973; 4.031087; 4.035962; 4.040407; 4.043398; 4.045949; 4.047016; 4.049119; 4.052153; 4.054455; 4.053790; 4.049643; 4.043444; 4.037125; 4.031680; 4.025756; 4.017424; 4.005230; 3.990174; 3.978704; 3.970272; 3.964779; 3.959546; 3.954804; 3.949899; 3.950165; 3.955759; 3.962568; 3.968495; 3.971028; 3.971085; 3.970260; 3.974676; 3.980716; 3.985199; 3.988576; 3.990917; 3.994499; 3.997584; 4.000676; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11672.2; 15:43:48; (); (); (); (); (); (); (); (); (); 3.964860; 3.967461; 3.968980; 3.971063; 3.975176; 3.980099; 3.983560; 3.985614; 3.988228; 3.990134; 3.992543; 3.997260; 4.000967; 4.003688; 4.003167; 4.000753; 3.995932; 3.992980; 3.991500; 3.990125; 3.988707; 3.988209; 3.987100; 3.983251; 3.976901; 3.969360; 3.964572; 3.962788; 3.962905; 3.967062; 3.974388; 3.982261; 3.989818; 3.994801; 3.996548; 3.997250; 3.998230; 4.002214; 4.010218; 4.017674; 4.023533; 4.025860; 4.024259; 4.020903; 4.015207; 4.006060; 3.997519; 3.988536; 3.978602; 3.971284; 3.963968; 3.955898; 3.948304; 3.943378; 3.941389; 3.941321; 3.943276; 3.946704; 3.951530; 3.957608; 3.965541; 3.972520; 3.978675; 3.985750; 3.992218; 3.997137; 4.001556; 4.005484; 4.007610; 4.007956; 4.007772; 4.006596; 4.004752; 4.001977; 3.997790; 3.993963; 3.992327; 3.991524; 3.990283; 3.989379; 3.988873; 3.986919; 3.983220; 3.977899; 3.971827; 3.963178; 3.952800; 3.943672; 3.936406; 3.930811; 3.925980; 3.923845; 3.924081; 3.924288; 3.925026; 3.927186; 3.930192; 3.935337; 3.942360; 3.951478; 3.962098; 3.972572; 3.984039; 3.996378; 4.007077; 4.016096; 4.023755; 4.029407; 4.034086; 4.036910; 4.038515; 4.040657; 4.042781; 4.043414; 4.043559; 4.045958; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11673.7; 15:43:56; (); (); (); (); (); (); (); (); (); 3.901686; 3.902410; 3.907441; 3.916754; 3.925555; 3.931894; 3.939577; 3.951006; 3.966054; 3.977405; 3.986406; 3.994008; 3.999259; 4.004078; 4.011287; 4.018927; 4.023455; 4.023566; 4.019878; 4.016116; 4.013372; 4.010421; 4.004592; 3.996387; 3.990537; 3.987448; 3.985088; 3.979872; 3.973532; 3.967348; 3.963759; 3.966266; 3.970259; 3.971815; 3.970720; 3.968575; 3.966860; 3.967704; 3.969166; 3.968472; 3.965845; 3.963603; 3.964772; 3.969889; 3.974285; 3.975476; 3.971916; 3.968448; 3.968658; 3.971832; 3.974694; 3.975021; 3.972933; 3.970382; 3.968571; 3.966713; 3.963942; 3.960087; 3.954732; 3.949731; 3.947149; 3.945713; 3.945076; 3.945149; 3.946296; 3.947512; 3.949111; 3.952219; 3.957025; 3.963933; 3.970511; 3.977725; 3.986353; 3.994370; 4.002855; 4.012159; 4.019418; 4.024300; 4.028846; 4.035631; 4.044665; 4.053356; 4.060201; 4.065781; 4.067494; 4.065471; 4.061268; 4.053703; 4.041364; 4.029825; 4.019234; 4.014426; 4.012175; 4.007827; 4.000733; 3.990997; 3.983220; 3.976111; 3.968039; 3.962233; 3.958318; 3.955300; 3.953370; 3.954042; 3.956185; 3.956534; 3.952204; 3.943773; 3.937858; 3.933758; 3.928576; 3.921271; 3.915289; 3.910555; 3.906364; 3.905148; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11675.2; 15:44:05; (); (); (); (); (); (); (); (); (); 3.958183; 3.966057; 3.970052; 3.972423; 3.973665; 3.974172; 3.975221; 3.978628; 3.984291; 3.989737; 3.996985; 4.004310; 4.011361; 4.020417; 4.028675; 4.035253; 4.040326; 4.048162; 4.056478; 4.062975; 4.069105; 4.074462; 4.077792; 4.080360; 4.081112; 4.079780; 4.077291; 4.072757; 4.064567; 4.052778; 4.042783; 4.035532; 4.029715; 4.025304; 4.022151; 4.019370; 4.016479; 4.012682; 4.006718; 3.999911; 3.994153; 3.988284; 3.984361; 3.984029; 3.985648; 3.987550; 3.986844; 3.982549; 3.975475; 3.969061; 3.962610; 3.954661; 3.949515; 3.947866; 3.947630; 3.947561; 3.947463; 3.946487; 3.945057; 3.942273; 3.936649; 3.930236; 3.927507; 3.927916; 3.929337; 3.931291; 3.934502; 3.936772; 3.937151; 3.938115; 3.941575; 3.947337; 3.954034; 3.961012; 3.969120; 3.978578; 3.987575; 3.994187; 3.998962; 4.002194; 4.004666; 4.006409; 4.007118; 4.006922; 4.002935; 3.994911; 3.983872; 3.970577; 3.960248; 3.951241; 3.940269; 3.926861; 3.913834; 3.902883; 3.891326; 3.879648; 3.872140; 3.867098; 3.863609; 3.863167; 3.864510; 3.865276; 3.863693; 3.859683; 3.853989; 3.849725; 3.846817; 3.843962; 3.842115; 3.842844; 3.842932; 3.840617; 3.834976; 3.825837; 3.816510; 3.905148; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
