Roll Number; 0
Recipe Name; FP 4548_387 GSM
Start Time; 2018-03-08; 15:48:22
File Name; D:\Mahlo\TR\180308154822FP 4548_387 GSM0_XMF2.txt

11722.4; 15:48:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 2.377365; 2.378012; 2.384298; 2.390031; 2.394516; 2.397209; 2.399141; 2.400668; 2.402100; 2.404709; 2.407426; 2.409640; 2.411557; 2.413347; 2.414657; 2.415991; 2.416966; 2.413615; 2.410446; 2.408261; 2.405936; 2.403982; 2.402562; 2.401458; 2.400497; 2.399056; 2.397683; 2.396579; 2.395731; 2.394856; 2.393673; 2.392708; 2.391983; 2.391544; 2.391130; 2.390738; 2.390455; 2.390160; 2.389839; 2.389789; 2.390408; 2.391616; 2.392609; 2.393483; 2.394876; 2.396782; 2.398855; 2.400880; 2.402816; 2.405185; 2.407917; 2.410497; 2.412893; 2.415601; 2.418213; 2.420088; 2.421534; 2.423332; 2.425537; 2.427409; 2.428780; 2.429903; 2.430686; 2.431343; 2.431828; 2.431727; 2.431218; 2.430896; 2.430407; 2.429487; 2.428786; 2.428642; 2.428764; 2.428961; 2.429484; 2.430603; 2.432058; 2.433434; 2.434892; 2.435980; 2.437452; 2.439304; 2.441110; 2.443477; 2.446373; 2.450013; 2.453865; 2.457019; 2.458547; 2.459647; 2.460445; 2.461293; 2.462348; 2.463699; 2.465872; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11724.3; 15:48:42; (); (); (); (); (); (); (); (); (); 2.422732; 2.422271; 2.422220; 2.422483; 2.422930; 2.422931; 2.422510; 2.422256; 2.421946; 2.420920; 2.419949; 2.417577; 2.416279; 2.415376; 2.414880; 2.414805; 2.415006; 2.415010; 2.415011; 2.414755; 2.415082; 2.416178; 2.418009; 2.420443; 2.422659; 2.424804; 2.427369; 2.429960; 2.432779; 2.435810; 2.438407; 2.440276; 2.441896; 2.443413; 2.444886; 2.446276; 2.447185; 2.447763; 2.448120; 2.448385; 2.448275; 2.448025; 2.447540; 2.447232; 2.447524; 2.448118; 2.448752; 2.449609; 2.450599; 2.451782; 2.452689; 2.453351; 2.453863; 2.454159; 2.454307; 2.454458; 2.454112; 2.453179; 2.451676; 2.448641; 2.445158; 2.442449; 2.439805; 2.437660; 2.435783; 2.433950; 2.432395; 2.431313; 2.431114; 2.431601; 2.432842; 2.434917; 2.437955; 2.441243; 2.444618; 2.448816; 2.452089; 2.454379; 2.455947; 2.457232; 2.459047; 2.460570; 2.461692; 2.462417; 2.462541; 2.461750; 2.460039; 2.457627; 2.455857; 2.457406; 2.460071; 2.463242; 2.466950; 2.470679; 2.474488; 2.478085; 2.482149; 2.485509; 2.487560; 2.490043; 2.493989; 2.498697; 2.504640; 2.512022; 2.513630; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11725.8; 15:48:50; (); (); (); (); (); (); (); (); (); 2.374873; 2.375863; 2.380087; 2.383370; 2.385755; 2.387644; 2.389085; 2.390056; 2.391476; 2.392845; 2.393851; 2.394944; 2.395935; 2.396885; 2.398014; 2.398993; 2.398909; 2.396773; 2.394267; 2.391775; 2.389317; 2.386896; 2.385255; 2.384148; 2.383617; 2.383934; 2.384446; 2.384938; 2.385418; 2.385861; 2.386229; 2.386538; 2.387274; 2.388825; 2.390578; 2.392087; 2.393168; 2.393730; 2.393671; 2.392546; 2.390628; 2.388103; 2.385341; 2.382368; 2.378728; 2.375273; 2.372745; 2.370091; 2.366259; 2.362479; 2.359798; 2.357661; 2.355303; 2.353587; 2.352488; 2.351955; 2.352304; 2.353235; 2.354931; 2.357088; 2.358909; 2.360350; 2.362205; 2.364209; 2.366003; 2.367690; 2.369449; 2.371552; 2.373845; 2.376025; 2.378255; 2.380197; 2.381625; 2.382584; 2.383462; 2.384455; 2.385380; 2.386112; 2.386741; 2.387318; 2.387853; 2.388668; 2.389681; 2.390570; 2.391370; 2.392184; 2.393439; 2.394778; 2.396395; 2.398377; 2.400236; 2.402203; 2.404380; 2.406820; 2.409902; 2.412505; 2.414721; 2.416944; 2.418773; 2.420222; 2.421446; 2.422543; 2.423486; 2.424199; 2.424842; 2.425745; 2.426951; 2.427913; 2.428363; 2.428316; 2.428208; 2.428098; 2.427978; 2.427953; 2.428571; 2.429295; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11727.3; 15:48:58; (); (); (); (); (); (); (); (); (); 2.434333; 2.432901; 2.430722; 2.429021; 2.427429; 2.425260; 2.423249; 2.421249; 2.418308; 2.414931; 2.411806; 2.408429; 2.404447; 2.400478; 2.397033; 2.393741; 2.390347; 2.387878; 2.385787; 2.384052; 2.383531; 2.383827; 2.384103; 2.383676; 2.383373; 2.383731; 2.384746; 2.386028; 2.387419; 2.389070; 2.390249; 2.391052; 2.391537; 2.391439; 2.390603; 2.388585; 2.385930; 2.383276; 2.380868; 2.377803; 2.374085; 2.371112; 2.367355; 2.363721; 2.361233; 2.359369; 2.357484; 2.355756; 2.354813; 2.354391; 2.354460; 2.355397; 2.356858; 2.358893; 2.362076; 2.366094; 2.369850; 2.373478; 2.377385; 2.380653; 2.383727; 2.386281; 2.388378; 2.390593; 2.392803; 2.394714; 2.396427; 2.397942; 2.398786; 2.399007; 2.398989; 2.398819; 2.398696; 2.398831; 2.399235; 2.400058; 2.401845; 2.403838; 2.405970; 2.408379; 2.410509; 2.412703; 2.415496; 2.418856; 2.422109; 2.425135; 2.428362; 2.430857; 2.432653; 2.434075; 2.435166; 2.436150; 2.437274; 2.438402; 2.439654; 2.440662; 2.441747; 2.442640; 2.443076; 2.443309; 2.442524; 2.441852; 2.441349; 2.441160; 2.441176; 2.441097; 2.440689; 2.439962; 2.439419; 2.438812; 2.437967; 2.437063; 2.435881; 2.434186; 2.432233; 2.432058; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11728.8; 15:49:07; (); (); (); (); (); (); (); (); (); 2.449828; 2.450024; 2.451732; 2.453092; 2.454535; 2.455712; 2.456678; 2.457462; 2.458339; 2.459668; 2.460813; 2.461416; 2.461538; 2.461443; 2.461288; 2.461266; 2.461213; 2.460424; 2.459707; 2.458557; 2.457322; 2.456127; 2.454974; 2.453498; 2.451557; 2.449734; 2.448618; 2.447961; 2.447615; 2.447454; 2.446879; 2.445786; 2.444425; 2.443234; 2.442358; 2.441758; 2.441112; 2.440127; 2.439371; 2.439002; 2.438387; 2.437527; 2.436846; 2.436280; 2.435873; 2.435781; 2.435783; 2.435536; 2.434350; 2.432569; 2.430312; 2.427889; 2.425671; 2.423535; 2.421468; 2.419946; 2.418455; 2.416145; 2.413479; 2.410340; 2.406646; 2.403747; 2.401374; 2.399408; 2.398260; 2.398032; 2.398062; 2.398108; 2.398062; 2.398447; 2.399044; 2.399905; 2.401789; 2.404134; 2.406834; 2.410542; 2.414827; 2.418835; 2.422956; 2.427624; 2.431412; 2.435075; 2.438951; 2.442374; 2.444758; 2.446953; 2.449147; 2.450997; 2.452543; 2.454107; 2.455038; 2.454865; 2.453831; 2.452488; 2.451320; 2.450237; 2.449328; 2.448840; 2.448663; 2.448547; 2.448019; 2.446852; 2.445933; 2.445272; 2.444344; 2.443333; 2.442882; 2.442740; 2.442632; 2.442632; 2.442559; 2.442325; 2.441784; 2.440770; 2.439970; 2.439781; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11730.3; 15:49:15; (); (); (); (); (); (); (); (); (); 2.419450; 2.416839; 2.414309; 2.412458; 2.411098; 2.409661; 2.408047; 2.405302; 2.402086; 2.400098; 2.398046; 2.396165; 2.395331; 2.395055; 2.394966; 2.395233; 2.395748; 2.396544; 2.397587; 2.398366; 2.399220; 2.400490; 2.401869; 2.402662; 2.402858; 2.402329; 2.400415; 2.396962; 2.393378; 2.390126; 2.387175; 2.384142; 2.381622; 2.378986; 2.376267; 2.374084; 2.372527; 2.371186; 2.370220; 2.370060; 2.370609; 2.372328; 2.375196; 2.378230; 2.381312; 2.384522; 2.388331; 2.392247; 2.395944; 2.399754; 2.403411; 2.407390; 2.411350; 2.414530; 2.417410; 2.419872; 2.422359; 2.424361; 2.426317; 2.428256; 2.429469; 2.429985; 2.430090; 2.429828; 2.429066; 2.427965; 2.426853; 2.425831; 2.425580; 2.425838; 2.426593; 2.427717; 2.429264; 2.431107; 2.433182; 2.435731; 2.438821; 2.441604; 2.444590; 2.448492; 2.452443; 2.456755; 2.461341; 2.465063; 2.467844; 2.470080; 2.472020; 2.473164; 2.473659; 2.473580; 2.473215; 2.473066; 2.473267; 2.473502; 2.473470; 2.473106; 2.472370; 2.471834; 2.471375; 2.470304; 2.467981; 2.465706; 2.463392; 2.461689; 2.460153; 2.458413; 2.456682; 2.454681; 2.453078; 2.451486; 2.449566; 2.447889; 2.445091; 2.441806; 2.439228; 2.438977; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11731.8; 15:49:24; (); (); (); (); (); (); (); (); (); 2.449371; 2.447348; 2.438600; 2.432442; 2.427496; 2.423351; 2.419352; 2.415740; 2.411226; 2.406193; 2.401202; 2.395651; 2.391068; 2.386658; 2.381471; 2.376876; 2.373624; 2.374443; 2.374961; 2.375210; 2.375290; 2.375279; 2.375547; 2.376120; 2.376570; 2.377066; 2.377427; 2.377226; 2.376653; 2.375946; 2.374890; 2.373713; 2.372229; 2.370998; 2.370157; 2.369537; 2.369311; 2.368963; 2.368373; 2.367765; 2.367132; 2.366582; 2.366360; 2.366618; 2.367498; 2.369104; 2.370724; 2.372508; 2.374181; 2.375208; 2.375820; 2.376003; 2.376163; 2.376548; 2.377256; 2.377851; 2.378380; 2.379046; 2.379457; 2.379348; 2.378970; 2.378725; 2.378607; 2.378688; 2.379018; 2.379906; 2.381407; 2.383334; 2.385133; 2.386517; 2.388060; 2.389877; 2.391567; 2.393540; 2.396094; 2.398327; 2.400377; 2.402274; 2.404227; 2.406450; 2.408134; 2.409263; 2.409976; 2.410691; 2.411595; 2.412045; 2.412295; 2.412211; 2.411717; 2.411057; 2.410487; 2.410071; 2.410065; 2.410371; 2.411279; 2.412332; 2.413030; 2.413931; 2.414595; 2.415077; 2.415786; 2.416663; 2.417910; 2.419199; 2.420556; 2.422427; 2.424513; 2.426322; 2.427915; 2.428282; 2.428346; 2.428681; 2.429306; 2.430254; 2.431828; 2.433071; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11733.3; 15:49:32; (); (); (); (); (); (); (); (); (); 2.417200; 2.416325; 2.415502; 2.414533; 2.413394; 2.412319; 2.411319; 2.409869; 2.408211; 2.406393; 2.403965; 2.401676; 2.400020; 2.398752; 2.397129; 2.395082; 2.392794; 2.390748; 2.388987; 2.387182; 2.385484; 2.383886; 2.382429; 2.380835; 2.378951; 2.377359; 2.376018; 2.374595; 2.372924; 2.371399; 2.369822; 2.367934; 2.366224; 2.364228; 2.361640; 2.358931; 2.356127; 2.353507; 2.350554; 2.347784; 2.345121; 2.342061; 2.338790; 2.335094; 2.332158; 2.330028; 2.327730; 2.325733; 2.324333; 2.323194; 2.323112; 2.323472; 2.323870; 2.324274; 2.324672; 2.325515; 2.326801; 2.328310; 2.329729; 2.331241; 2.333157; 2.335114; 2.336936; 2.339588; 2.342834; 2.345142; 2.347041; 2.350029; 2.353832; 2.357620; 2.362139; 2.366450; 2.371071; 2.376533; 2.381243; 2.385534; 2.389970; 2.393539; 2.396748; 2.400248; 2.403790; 2.406704; 2.408987; 2.410571; 2.411641; 2.412421; 2.413058; 2.413537; 2.413667; 2.413730; 2.413870; 2.414164; 2.415088; 2.416129; 2.417103; 2.418407; 2.420050; 2.422197; 2.424420; 2.427387; 2.432812; 2.437846; 2.443588; 2.449331; 2.454271; 2.459159; 2.463887; 2.468205; 2.471986; 2.474965; 2.478055; 2.481550; 2.485260; 2.489297; 2.493222; 2.493606; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11734.8; 15:49:41; (); (); (); (); (); (); (); (); (); 2.398716; 2.400275; 2.403760; 2.406521; 2.408643; 2.410595; 2.412754; 2.414699; 2.416665; 2.418523; 2.420445; 2.422202; 2.423398; 2.423965; 2.423910; 2.423508; 2.422109; 2.418921; 2.415841; 2.412348; 2.407118; 2.401149; 2.396080; 2.391254; 2.386493; 2.381643; 2.376234; 2.372223; 2.368927; 2.366035; 2.363486; 2.360746; 2.358795; 2.357068; 2.354997; 2.353709; 2.353123; 2.352744; 2.352710; 2.353367; 2.354564; 2.355268; 2.355359; 2.354943; 2.354420; 2.354296; 2.354744; 2.355682; 2.356547; 2.357535; 2.358776; 2.359800; 2.360728; 2.361329; 2.361317; 2.361504; 2.362960; 2.364913; 2.367325; 2.370398; 2.373143; 2.375137; 2.376752; 2.378741; 2.381140; 2.383373; 2.385693; 2.388448; 2.390970; 2.393452; 2.395794; 2.397110; 2.398206; 2.398958; 2.399121; 2.399187; 2.399392; 2.399884; 2.400360; 2.400315; 2.399850; 2.399177; 2.398447; 2.397999; 2.397738; 2.397525; 2.397426; 2.397127; 2.396908; 2.396887; 2.397076; 2.397503; 2.398079; 2.398784; 2.399730; 2.401025; 2.402427; 2.404100; 2.405644; 2.406768; 2.407721; 2.408842; 2.410356; 2.411892; 2.413685; 2.415764; 2.417468; 2.418943; 2.420485; 2.421245; 2.421716; 2.422276; 2.422699; 2.423201; 2.424438; 2.425672; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11736.3; 15:49:49; (); (); (); (); (); (); (); (); (); 2.447597; 2.448652; 2.449539; 2.449925; 2.449978; 2.449598; 2.448590; 2.447859; 2.446921; 2.444837; 2.442125; 2.439022; 2.435099; 2.431936; 2.428842; 2.424697; 2.420675; 2.416556; 2.411989; 2.407726; 2.404627; 2.402263; 2.400460; 2.399277; 2.398126; 2.396955; 2.395676; 2.394585; 2.393622; 2.392920; 2.393027; 2.393699; 2.394520; 2.395453; 2.396340; 2.396725; 2.396919; 2.397468; 2.398264; 2.399108; 2.400230; 2.401433; 2.402385; 2.403351; 2.404302; 2.405320; 2.406406; 2.407378; 2.408286; 2.409289; 2.410509; 2.411686; 2.412806; 2.414442; 2.416566; 2.418726; 2.421200; 2.424043; 2.426298; 2.427875; 2.429113; 2.429891; 2.430519; 2.431399; 2.432168; 2.432795; 2.433401; 2.433293; 2.432505; 2.431450; 2.429860; 2.428029; 2.426359; 2.424883; 2.424008; 2.423606; 2.423555; 2.423974; 2.424631; 2.425385; 2.426225; 2.427181; 2.428481; 2.429805; 2.431009; 2.432781; 2.434980; 2.437293; 2.439454; 2.440952; 2.441949; 2.442879; 2.443301; 2.442996; 2.442440; 2.442061; 2.442557; 2.443512; 2.444802; 2.446125; 2.446896; 2.447228; 2.447363; 2.447744; 2.448546; 2.449508; 2.450277; 2.451169; 2.452420; 2.453920; 2.455104; 2.455648; 2.455614; 2.455143; 2.454725; 2.425672; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11737.8; 15:49:58; (); (); (); (); (); (); (); (); (); 2.407363; 2.407017; 2.405445; 2.403931; 2.402795; 2.401650; 2.400587; 2.399741; 2.398763; 2.397709; 2.396475; 2.395017; 2.393210; 2.391586; 2.389869; 2.387680; 2.385685; 2.384294; 2.383116; 2.382027; 2.380859; 2.379319; 2.377586; 2.375954; 2.374128; 2.372354; 2.371306; 2.370672; 2.370370; 2.370550; 2.371153; 2.372182; 2.373464; 2.374686; 2.376072; 2.377541; 2.379088; 2.380777; 2.382212; 2.383812; 2.385576; 2.386805; 2.387459; 2.387523; 2.387026; 2.386000; 2.384281; 2.382522; 2.380689; 2.378701; 2.376496; 2.373814; 2.371302; 2.369137; 2.366416; 2.363482; 2.361157; 2.358519; 2.355584; 2.352799; 2.350709; 2.349219; 2.347953; 2.347136; 2.346648; 2.346632; 2.346980; 2.347368; 2.348177; 2.349490; 2.351244; 2.353573; 2.356127; 2.359635; 2.363340; 2.366231; 2.368824; 2.371224; 2.373564; 2.375758; 2.377561; 2.379116; 2.381240; 2.382995; 2.383927; 2.384809; 2.385707; 2.386479; 2.387594; 2.389062; 2.391204; 2.393264; 2.395036; 2.397242; 2.399181; 2.401024; 2.402789; 2.404276; 2.406044; 2.407794; 2.409311; 2.410564; 2.411193; 2.410932; 2.409773; 2.408395; 2.407583; 2.407480; 2.407671; 2.407443; 2.406944; 2.406492; 2.406103; 2.405342; 2.404184; 2.403517; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
