Roll Number; 0
Recipe Name; FP 4548_640 GSM
Start Time; 2018-03-08; 17:36:28
File Name; D:\Mahlo\TR\180308173628FP 4548_640 GSM0_XMF2.txt

13069.7; 17:36:39; (); (); (); (); (); (); (); (); (); (); 0.754921; 0.756049; 0.759564; 0.762878; 0.765279; 0.767251; 0.769082; 0.770615; 0.772791; 0.774835; 0.776540; 0.778409; 0.780448; 0.782175; 0.783850; 0.785796; 0.786871; 0.786267; 0.785467; 0.784688; 0.783945; 0.783209; 0.782594; 0.782147; 0.781822; 0.781476; 0.781356; 0.781379; 0.781482; 0.781748; 0.781955; 0.782027; 0.782083; 0.782288; 0.782641; 0.783025; 0.783422; 0.783765; 0.784017; 0.784176; 0.784282; 0.784319; 0.784340; 0.784361; 0.784311; 0.784237; 0.784223; 0.784242; 0.784153; 0.783897; 0.783720; 0.783743; 0.784012; 0.784692; 0.785659; 0.786694; 0.788073; 0.789684; 0.791304; 0.792931; 0.795057; 0.797606; 0.799934; 0.802395; 0.805318; 0.808122; 0.810558; 0.812297; 0.813657; 0.814730; 0.815577; 0.816220; 0.816347; 0.815999; 0.815049; 0.813862; 0.812547; 0.810963; 0.809547; 0.808120; 0.806581; 0.805349; 0.804286; 0.803299; 0.802610; 0.802105; 0.801781; 0.801850; 0.801947; 0.802074; 0.802403; 0.802810; 0.803189; 0.803576; 0.804037; 0.804323; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13070.8; 17:36:47; (); -0.079810; -0.079808; -0.079795; -0.066359; -0.004091; 0.049172; 0.105571; 0.161932; 0.202172; 0.282597; 0.338920; 0.395281; 0.459734; 0.516129; 0.572485; 0.636824; 0.686883; 0.742084; 0.785412; 0.789145; 0.788924; 0.788813; 0.788880; 0.789080; 0.789354; 0.789599; 0.789700; 0.789692; 0.789675; 0.789661; 0.789677; 0.789694; 0.789620; 0.789517; 0.789475; 0.789427; 0.789218; 0.788793; 0.788163; 0.787486; 0.786947; 0.786509; 0.786105; 0.785718; 0.785378; 0.785235; 0.785310; 0.785678; 0.786137; 0.786559; 0.787062; 0.787716; 0.788625; 0.789889; 0.791367; 0.792738; 0.794155; 0.795678; 0.797479; 0.799218; 0.800564; 0.801665; 0.802516; 0.803348; 0.804044; 0.804682; 0.805199; 0.805396; 0.805309; 0.805004; 0.804558; 0.804144; 0.803738; 0.803302; 0.802926; 0.802696; 0.802633; 0.802672; 0.802770; 0.802879; 0.802979; 0.803074; 0.803209; 0.803392; 0.803625; 0.803834; 0.803899; 0.803780; 0.803712; 0.804269; 0.804831; 0.805356; 0.805841; 0.806381; 0.806855; 0.807372; 0.808052; 0.808506; 0.808963; 0.809527; 0.810139; 0.810945; 0.812070; 0.813406; 0.813522; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13071.8; 17:36:56; -0.072592; -0.072657; -0.072702; -0.072761; -0.072815; -0.072864; -0.072914; -0.072984; -0.073071; -0.073170; -0.073281; -0.073398; -0.073538; -0.073678; -0.073842; -0.074021; -0.074192; -0.074352; -0.074468; -0.074616; -0.074768; -0.074896; -0.075008; -0.075092; -0.075151; -0.075188; -0.075219; -0.075239; -0.075233; -0.075193; -0.075162; -0.075112; -0.075055; -0.075001; -0.074955; -0.074910; -0.074861; -0.074832; -0.074816; -0.074810; -0.074806; -0.074795; -0.074791; -0.074795; -0.074812; -0.074815; -0.074811; -0.074828; -0.074850; -0.074859; -0.074871; -0.074880; -0.074901; -0.074937; -0.074973; -0.075011; -0.075046; -0.075062; -0.075078; -0.075102; -0.075118; -0.075146; -0.075175; -0.075203; -0.075240; -0.075276; -0.075307; -0.075330; -0.075352; -0.075380; -0.075425; -0.075496; -0.075591; -0.075697; -0.075807; -0.075905; -0.075993; -0.076071; -0.076127; -0.076167; -0.076192; -0.076219; -0.076223; -0.076222; -0.076216; -0.076175; -0.076111; -0.076021; -0.075912; -0.075799; -0.075688; -0.075579; -0.075467; -0.075371; -0.075303; -0.075253; -0.075217; -0.075190; -0.075168; -0.075163; -0.075181; -0.075236; -0.075322; -0.075403; -0.075515; -0.075637; -0.075736; -0.075854; -0.075964; -0.076044; -0.076113; -0.076162; -0.076233; -0.076318; -0.076396; -0.076468; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13072.7; 17:37:04; -0.075141; -0.075112; -0.075100; -0.075086; -0.075063; -0.075042; -0.075022; -0.075008; -0.074984; -0.074942; -0.074906; -0.074868; -0.074823; -0.074800; -0.074788; -0.074747; -0.074707; -0.074668; -0.074625; -0.074581; -0.074538; -0.074504; -0.074458; -0.074391; -0.074325; -0.074264; -0.074200; -0.074136; -0.074088; -0.074058; -0.074038; -0.074019; -0.073995; -0.073957; -0.073921; -0.073890; -0.073849; -0.073817; -0.073829; -0.073858; -0.073884; -0.073908; -0.073924; -0.073916; -0.073879; -0.073869; -0.073885; -0.073919; -0.073978; -0.074060; -0.074175; -0.074284; -0.074401; -0.074531; -0.074616; -0.074698; -0.074752; -0.074794; -0.074853; -0.074920; -0.074956; -0.074968; -0.074969; -0.074941; -0.074891; -0.074834; -0.074763; -0.074662; -0.074542; -0.074456; -0.074388; -0.074360; -0.074342; -0.074321; -0.074312; -0.074327; -0.074362; -0.074396; -0.074443; -0.074492; -0.074539; -0.074610; -0.074714; -0.074834; -0.074943; -0.075040; -0.075149; -0.075248; -0.075346; -0.075452; -0.075535; -0.075610; -0.075703; -0.075796; -0.075875; -0.075949; -0.076009; -0.076037; -0.076057; -0.076042; -0.076029; -0.076012; -0.075997; -0.075977; -0.075959; -0.075953; -0.075933; -0.075908; -0.075886; -0.075863; -0.075835; -0.075812; -0.075802; -0.075784; -0.075802; -0.075809; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13073.7; 17:37:13; -0.074249; -0.074145; -0.074050; -0.073993; -0.073960; -0.073946; -0.073954; -0.073958; -0.073968; -0.073964; -0.073969; -0.073986; -0.074018; -0.074063; -0.074108; -0.074164; -0.074280; -0.074380; -0.074466; -0.074309; -0.073900; -0.073459; -0.073056; -0.072645; -0.072227; -0.071797; -0.071339; -0.070803; -0.070327; -0.069832; -0.069334; -0.068763; -0.068131; -0.067649; -0.067464; -0.067394; -0.067335; -0.067312; -0.067293; -0.067292; -0.067311; -0.067345; -0.067382; -0.067416; -0.067458; -0.067511; -0.067563; -0.067056; -0.066212; -0.065483; -0.064636; -0.063787; -0.063024; -0.062247; -0.061445; -0.060510; -0.059593; -0.058795; -0.058018; -0.057239; -0.056431; -0.055565; -0.055388; -0.055380; -0.055367; -0.055369; -0.055392; -0.055409; -0.055432; -0.055499; -0.055551; -0.055582; -0.055602; -0.055609; -0.055613; -0.055653; -0.055699; -0.055722; -0.055746; -0.055772; -0.055777; -0.055785; -0.055810; -0.055823; -0.055822; -0.055831; -0.055846; -0.055883; -0.055933; -0.055975; -0.056007; -0.056054; -0.056108; -0.056166; -0.056204; -0.056254; -0.056310; -0.056343; -0.056376; -0.056402; -0.056446; -0.056469; -0.056479; -0.056485; -0.056494; -0.056492; -0.056484; -0.056460; -0.056439; -0.056402; -0.056383; -0.056362; -0.056345; -0.056332; -0.056324; -0.056301; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13074.6; 17:37:21; -0.074249; -0.055854; -0.055859; -0.055872; -0.055863; -0.055855; -0.055854; -0.055842; -0.055857; -0.055849; -0.055816; -0.055765; -0.055704; -0.055637; -0.055572; -0.055509; -0.055483; -0.055454; -0.055427; -0.055413; -0.055407; -0.055406; -0.055412; -0.055436; -0.055469; -0.055512; -0.055554; -0.055622; -0.055683; -0.055739; -0.055793; -0.055820; -0.055841; -0.055860; -0.055864; -0.055867; -0.055852; -0.055831; -0.055812; -0.055780; -0.055734; -0.055686; -0.055629; -0.055575; -0.055524; -0.055472; -0.055421; -0.055369; -0.055344; -0.055308; -0.055285; -0.055282; -0.055295; -0.055312; -0.055343; -0.055387; -0.055440; -0.055502; -0.055556; -0.055592; -0.055623; -0.055655; -0.055688; -0.055699; -0.055717; -0.055708; -0.055673; -0.055628; -0.055569; -0.055528; -0.055472; -0.055420; -0.055362; -0.055307; -0.055278; -0.055254; -0.055230; -0.055226; -0.055223; -0.055217; -0.055238; -0.055273; -0.055309; -0.055344; -0.055350; -0.055358; -0.055373; -0.055389; -0.055405; -0.055424; -0.055437; -0.055456; -0.055443; -0.055438; -0.055442; -0.055434; -0.055428; -0.055434; -0.055430; -0.055436; -0.055435; -0.055419; -0.055405; -0.055377; -0.055357; -0.055348; -0.055330; -0.055329; -0.055326; -0.055314; -0.055307; -0.055303; -0.055272; -0.055258; -0.055239; -0.055242; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13075.6; 17:37:30; (); -0.054501; -0.055142; -0.055670; -0.055995; -0.056326; -0.056664; -0.056934; -0.057185; -0.057640; -0.058069; -0.058497; -0.059000; -0.059447; -0.059902; -0.060418; -0.060670; -0.060765; -0.060859; -0.060948; -0.061004; -0.061025; -0.061025; -0.061012; -0.060970; -0.060917; -0.060857; -0.060777; -0.060680; -0.060583; -0.060479; -0.060371; -0.060244; -0.060123; -0.060026; -0.059942; -0.059871; -0.059802; -0.059762; -0.059744; -0.059736; -0.059719; -0.059731; -0.059736; -0.059763; -0.059798; -0.059840; -0.059935; -0.060168; -0.060426; -0.060684; -0.060942; -0.061224; -0.061479; -0.061685; -0.061903; -0.062178; -0.062414; -0.062652; -0.062926; -0.063194; -0.063423; -0.063615; -0.063668; -0.063694; -0.063743; -0.063811; -0.063887; -0.064008; -0.064130; -0.064252; -0.064389; -0.064507; -0.064623; -0.064756; -0.064893; -0.065022; -0.065148; -0.065258; -0.065352; -0.065431; -0.065496; -0.065561; -0.065584; -0.065590; -0.065580; -0.065552; -0.065501; -0.065454; -0.065391; -0.065099; -0.064703; -0.064322; -0.063890; -0.063530; -0.063167; -0.062747; -0.062379; -0.061960; -0.061551; -0.061198; -0.060808; -0.060465; -0.060155; -0.059842; -0.059755; -0.059763; -0.059751; -0.059730; -0.059725; -0.059727; -0.059717; -0.059701; -0.059714; -0.059719; -0.059730; -0.059762; -0.059778; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13076.5; 17:37:38; (); (); -0.069108; -0.069216; -0.069315; -0.069364; -0.069402; -0.069438; -0.069464; -0.069555; -0.069668; -0.069765; -0.069789; -0.069765; -0.069742; -0.069713; -0.069698; -0.069694; -0.069641; -0.068910; -0.068041; -0.067292; -0.066550; -0.065814; -0.065106; -0.064285; -0.063574; -0.062863; -0.062035; -0.061185; -0.060490; -0.060163; -0.059820; -0.059623; -0.060012; -0.060426; -0.060829; -0.061220; -0.061669; -0.062092; -0.062485; -0.062870; -0.063332; -0.063747; -0.064165; -0.064549; -0.064546; -0.064528; -0.064538; -0.064569; -0.064625; -0.064675; -0.064728; -0.064778; -0.064852; -0.064926; -0.064993; -0.065056; -0.065141; -0.065231; -0.065308; -0.065372; -0.065443; -0.065493; -0.065540; -0.065577; -0.065615; -0.065667; -0.065708; -0.065741; -0.065788; -0.065833; -0.065875; -0.065893; -0.065912; -0.065944; -0.065966; -0.065983; -0.066020; -0.066047; -0.066091; -0.066141; -0.066171; -0.066198; -0.066240; -0.066261; -0.066283; -0.066207; -0.065822; -0.065490; -0.065162; -0.064837; -0.064529; -0.064162; -0.063783; -0.063384; -0.063048; -0.062703; -0.062322; -0.061987; -0.061663; -0.061278; -0.060990; -0.060948; -0.060887; -0.060839; -0.060771; -0.060686; -0.060598; -0.060524; -0.060483; -0.060428; -0.060381; -0.060319; -0.060234; -0.060131; -0.060018; -0.060013; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13077.5; 17:37:47; (); (); -0.067024; -0.066999; -0.067006; -0.067029; -0.067052; -0.067089; -0.067127; -0.067228; -0.067576; -0.067898; -0.068242; -0.068636; -0.068988; -0.069355; -0.069783; -0.070151; -0.070525; -0.070922; -0.071252; -0.071577; -0.071886; -0.072149; -0.072389; -0.072396; -0.072393; -0.072381; -0.072366; -0.072351; -0.072312; -0.072269; -0.072239; -0.072223; -0.072214; -0.072212; -0.072203; -0.072204; -0.072264; -0.072327; -0.072365; -0.072392; -0.072396; -0.072403; -0.072404; -0.072419; -0.072437; -0.072452; -0.072452; -0.072443; -0.072440; -0.072428; -0.072408; -0.072370; -0.072315; -0.072272; -0.072249; -0.072234; -0.072222; -0.072208; -0.072195; -0.072193; -0.072193; -0.072206; -0.072232; -0.072270; -0.072343; -0.072429; -0.072544; -0.072671; -0.072821; -0.072995; -0.073188; -0.073386; -0.073569; -0.073755; -0.073968; -0.074152; -0.074331; -0.074502; -0.074642; -0.074759; -0.074845; -0.074915; -0.074969; -0.074978; -0.074969; -0.074944; -0.074906; -0.074846; -0.074750; -0.074638; -0.074548; -0.074458; -0.074361; -0.074264; -0.074183; -0.074121; -0.074067; -0.074016; -0.073967; -0.073918; -0.073875; -0.073835; -0.073826; -0.073842; -0.073862; -0.073871; -0.073897; -0.073944; -0.074017; -0.074089; -0.074134; -0.074149; -0.074175; -0.074208; -0.074261; -0.074333; -0.074419; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13078.4; 17:37:55; (); (); (); -0.064905; -0.064889; -0.064877; -0.064885; -0.064896; -0.064900; -0.064905; -0.064904; -0.064915; -0.064919; -0.064917; -0.064912; -0.064908; -0.064905; -0.064920; -0.064933; -0.064954; -0.064967; -0.064956; -0.064950; -0.064965; -0.065006; -0.065072; -0.065128; -0.065184; -0.065252; -0.065310; -0.065333; -0.065355; -0.065377; -0.065404; -0.065432; -0.065461; -0.065501; -0.065528; -0.065292; -0.064717; -0.064125; -0.063522; -0.062844; -0.062170; -0.061603; -0.061065; -0.060457; -0.059917; -0.059451; -0.058835; -0.058250; -0.057672; -0.057181; -0.056951; -0.057059; -0.057197; -0.057380; -0.057540; -0.057732; -0.057941; -0.058121; -0.058268; -0.058436; -0.058614; -0.058777; -0.058905; -0.059045; -0.059174; -0.059277; -0.059361; -0.059441; -0.059443; -0.059443; -0.059446; -0.059448; -0.059772; -0.060339; -0.060974; -0.061556; -0.062133; -0.062765; -0.063387; -0.063936; -0.064478; -0.065093; -0.065631; -0.066186; -0.066716; -0.067238; -0.067824; -0.068023; -0.067976; -0.067926; -0.067875; -0.067520; -0.067078; -0.066635; -0.066130; -0.065676; -0.065248; -0.064827; -0.064326; -0.063846; -0.064054; -0.064522; -0.065004; -0.065554; -0.066096; -0.066549; -0.067315; -0.068319; -0.069063; -0.069619; -0.070367; -0.071115; -0.072001; -0.073233; -0.074642; -0.074958; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13079.3; 17:38:04; (); (); (); -0.064371; -0.064380; -0.064418; -0.064454; -0.064504; -0.064556; -0.064607; -0.064686; -0.064782; -0.064872; -0.064982; -0.065098; -0.065196; -0.065325; -0.065456; -0.065576; -0.065703; -0.065802; -0.065873; -0.065938; -0.066000; -0.066034; -0.066050; -0.066071; -0.066077; -0.066043; -0.066003; -0.065973; -0.065963; -0.065956; -0.065954; -0.065951; -0.065970; -0.066003; -0.066035; -0.066083; -0.066136; -0.066190; -0.066248; -0.066296; -0.066373; -0.066451; -0.066512; -0.066549; -0.066587; -0.066624; -0.066643; -0.066638; -0.066616; -0.066582; -0.066546; -0.066499; -0.066467; -0.066429; -0.066411; -0.066388; -0.066379; -0.066376; -0.066372; -0.066371; -0.066365; -0.066377; -0.066392; -0.066421; -0.066478; -0.066534; -0.066574; -0.066591; -0.066629; -0.066651; -0.066672; -0.066678; -0.066689; -0.066708; -0.066720; -0.066738; -0.066751; -0.066747; -0.066731; -0.066704; -0.066667; -0.066640; -0.066626; -0.066609; -0.066598; -0.066586; -0.066579; -0.066576; -0.066575; -0.066580; -0.066590; -0.066602; -0.066626; -0.066664; -0.066705; -0.066766; -0.066809; -0.066844; -0.066866; -0.066875; -0.066878; -0.066881; -0.066864; -0.066842; -0.066824; -0.066790; -0.066776; -0.066778; -0.066786; -0.066788; -0.066764; -0.066746; -0.066730; -0.066722; -0.066723; -0.066740; -0.066767; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
