Roll Number; 0
Recipe Name; FP 4548_640 GSM
Start Time; 2018-03-08; 17:36:28
File Name; D:\Mahlo\TR\180308173628FP 4548_640 GSM0_THICKNESS2.txt

13069.7; 17:36:39; (); (); (); (); (); (); (); (); (); (); 1.856374; 1.858369; 1.858034; 1.861586; 1.864119; 1.866604; 1.868460; 1.869194; 1.872168; 1.880106; 1.889336; 1.897762; 1.899485; 1.895316; 1.895188; 1.890740; 1.888312; 1.889035; 1.884715; 1.881760; 1.877411; 1.872448; 1.868932; 1.866789; 1.859064; 1.850448; 1.846095; 1.845742; 1.846655; 1.848631; 1.853952; 1.856165; 1.858735; 1.864056; 1.868255; 1.874190; 1.880514; 1.884187; 1.886019; 1.885356; 1.883305; 1.880971; 1.880454; 1.880044; 1.880189; 1.878368; 1.875876; 1.873831; 1.871604; 1.866490; 1.862633; 1.857779; 1.850402; 1.844169; 1.843234; 1.843250; 1.842890; 1.840743; 1.837609; 1.835246; 1.834739; 1.835850; 1.838783; 1.842680; 1.843971; 1.840023; 1.840768; 1.845056; 1.847277; 1.845370; 1.842797; 1.843084; 1.845714; 1.849903; 1.850718; 1.852026; 1.849370; 1.840091; 1.833339; 1.830826; 1.833110; 1.837273; 1.840658; 1.842707; 1.848589; 1.853202; 1.853504; 1.850796; 1.849198; 1.849926; 1.848649; 1.851727; 1.855669; 1.859085; 1.864928; 1.866631; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13070.8; 17:36:47; (); 1.872994; 1.870291; 1.869473; 1.870173; 1.870264; 1.868676; 1.863219; 1.856735; 1.854761; 1.853117; 1.852059; 1.849965; 1.845060; 1.842681; 1.841285; 1.839551; 1.837265; 1.836141; 1.834457; 1.835230; 1.840871; 1.850116; 1.854253; 1.853519; 1.852095; 1.851915; 1.852105; 1.849756; 1.844876; 1.842791; 1.842675; 1.842233; 1.844703; 1.845257; 1.841162; 1.835612; 1.832527; 1.831332; 1.837351; 1.841224; 1.843429; 1.846266; 1.849619; 1.855808; 1.861093; 1.863729; 1.863800; 1.860869; 1.862997; 1.867868; 1.872594; 1.874472; 1.877928; 1.880195; 1.881733; 1.881048; 1.879020; 1.879635; 1.877126; 1.877099; 1.877714; 1.877613; 1.877362; 1.876027; 1.875512; 1.875344; 1.875222; 1.874267; 1.871296; 1.869536; 1.869039; 1.870013; 1.871312; 1.870847; 1.869779; 1.873308; 1.877611; 1.881006; 1.879071; 1.877111; 1.876067; 1.873102; 1.867746; 1.868693; 1.871857; 1.877661; 1.879899; 1.880477; 1.884576; 1.887160; 1.887055; 1.885244; 1.880566; 1.875528; 1.874911; 1.874490; 1.876307; 1.881389; 1.880859; 1.878873; 1.873764; 1.868515; 1.863384; 1.857079; 1.853095; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13071.8; 17:36:56; 1.851403; 1.850918; 1.851238; 1.851674; 1.852175; 1.853058; 1.853759; 1.852457; 1.851276; 1.851263; 1.853237; 1.858314; 1.860287; 1.860775; 1.860644; 1.859765; 1.861791; 1.865287; 1.866833; 1.865379; 1.864854; 1.863864; 1.864733; 1.865304; 1.864023; 1.861554; 1.858268; 1.854896; 1.852222; 1.850926; 1.850634; 1.847174; 1.840209; 1.836574; 1.837205; 1.835798; 1.838587; 1.838667; 1.839231; 1.841272; 1.840823; 1.839401; 1.836836; 1.838173; 1.843069; 1.847096; 1.848208; 1.852734; 1.853075; 1.851698; 1.850314; 1.845949; 1.848042; 1.849950; 1.848778; 1.845891; 1.844612; 1.847516; 1.848471; 1.846551; 1.843914; 1.840969; 1.838093; 1.836531; 1.837092; 1.840318; 1.843783; 1.841942; 1.839789; 1.840853; 1.845081; 1.853782; 1.854505; 1.852952; 1.852638; 1.853479; 1.853710; 1.854024; 1.856624; 1.858330; 1.858473; 1.857297; 1.855697; 1.854674; 1.855667; 1.854708; 1.851143; 1.854901; 1.855847; 1.854540; 1.853790; 1.857438; 1.862437; 1.867581; 1.869898; 1.869946; 1.867318; 1.866090; 1.862408; 1.859820; 1.859210; 1.857793; 1.854388; 1.854714; 1.852984; 1.849067; 1.846795; 1.839564; 1.832083; 1.826164; 1.823100; 1.823564; 1.823783; 1.825735; 1.825386; 1.822473; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13072.7; 17:37:04; 1.892968; 1.880824; 1.878193; 1.877990; 1.874798; 1.869294; 1.861942; 1.851952; 1.846855; 1.846820; 1.849460; 1.845325; 1.837365; 1.832725; 1.830507; 1.828073; 1.829924; 1.830016; 1.830344; 1.836928; 1.847208; 1.856148; 1.859399; 1.859852; 1.859269; 1.858301; 1.861474; 1.868839; 1.872928; 1.875043; 1.881583; 1.885344; 1.884695; 1.880028; 1.873570; 1.870684; 1.867898; 1.874052; 1.879435; 1.881278; 1.878597; 1.874886; 1.870296; 1.866315; 1.864012; 1.863126; 1.863632; 1.867524; 1.871038; 1.873152; 1.871880; 1.869576; 1.866057; 1.862447; 1.860808; 1.862659; 1.869074; 1.872872; 1.875317; 1.876191; 1.871315; 1.865784; 1.860417; 1.857557; 1.856524; 1.854380; 1.852841; 1.848563; 1.848614; 1.851792; 1.854351; 1.853999; 1.851643; 1.850586; 1.851919; 1.855920; 1.862514; 1.868952; 1.874196; 1.876693; 1.877548; 1.878160; 1.876916; 1.874059; 1.873285; 1.873213; 1.873444; 1.877013; 1.876855; 1.876260; 1.875381; 1.871892; 1.869733; 1.867330; 1.865639; 1.865151; 1.866320; 1.865759; 1.866002; 1.865884; 1.866452; 1.868307; 1.867172; 1.865892; 1.861807; 1.856693; 1.852484; 1.850463; 1.849970; 1.849892; 1.849847; 1.850592; 1.854660; 1.851583; 1.845897; 1.839808; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13073.7; 17:37:13; 1.915016; 1.913374; 1.910821; 1.906877; 1.902412; 1.900907; 1.897065; 1.889975; 1.885182; 1.882667; 1.880887; 1.879757; 1.883363; 1.886664; 1.887226; 1.886933; 1.889749; 1.893582; 1.896470; 1.898123; 1.902354; 1.909041; 1.918846; 1.924548; 1.924807; 1.919283; 1.915608; 1.911271; 1.908910; 1.906648; 1.902897; 1.897227; 1.888771; 1.887602; 1.888944; 1.886441; 1.884166; 1.880276; 1.879458; 1.880111; 1.881099; 1.881044; 1.882398; 1.881876; 1.882167; 1.883496; 1.883263; 1.884428; 1.884745; 1.883305; 1.883850; 1.883921; 1.882591; 1.881458; 1.883725; 1.889416; 1.889377; 1.890944; 1.894475; 1.897590; 1.898068; 1.898335; 1.896174; 1.894083; 1.892017; 1.889660; 1.888904; 1.889910; 1.890408; 1.889188; 1.887454; 1.888024; 1.886310; 1.882293; 1.880247; 1.885752; 1.889551; 1.894728; 1.898472; 1.900692; 1.902375; 1.902378; 1.902605; 1.901775; 1.900163; 1.900156; 1.900392; 1.899401; 1.904818; 1.905404; 1.900020; 1.893412; 1.890552; 1.887905; 1.885341; 1.882987; 1.882300; 1.883084; 1.879903; 1.876389; 1.873889; 1.873428; 1.875726; 1.871873; 1.868401; 1.870982; 1.873167; 1.872194; 1.871544; 1.873251; 1.874585; 1.873178; 1.869334; 1.871219; 1.872482; 1.873225; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13074.6; 17:37:21; 1.915016; 1.937954; 1.931426; 1.924079; 1.918250; 1.913301; 1.907688; 1.903267; 1.897533; 1.891567; 1.885526; 1.878289; 1.870188; 1.863974; 1.861729; 1.861545; 1.861480; 1.856050; 1.856961; 1.857352; 1.860211; 1.864655; 1.866748; 1.875422; 1.880146; 1.881575; 1.883980; 1.886568; 1.880968; 1.874874; 1.871289; 1.872744; 1.875813; 1.876972; 1.876666; 1.872282; 1.867294; 1.866173; 1.862861; 1.860966; 1.858384; 1.855081; 1.852436; 1.853552; 1.854921; 1.854004; 1.850579; 1.849761; 1.848745; 1.850463; 1.854293; 1.857551; 1.857044; 1.857399; 1.855617; 1.855378; 1.855637; 1.854978; 1.859451; 1.861985; 1.863188; 1.864222; 1.865916; 1.867052; 1.864844; 1.862420; 1.863735; 1.866864; 1.866834; 1.864330; 1.862774; 1.862540; 1.861672; 1.857333; 1.858744; 1.864691; 1.867688; 1.867189; 1.866926; 1.867456; 1.867238; 1.865495; 1.865112; 1.864525; 1.867147; 1.870538; 1.876325; 1.883123; 1.889282; 1.890576; 1.885091; 1.881538; 1.882251; 1.880058; 1.880809; 1.881480; 1.881103; 1.880999; 1.882762; 1.884688; 1.883953; 1.878330; 1.871744; 1.866941; 1.864448; 1.863916; 1.862406; 1.860683; 1.861896; 1.861183; 1.861030; 1.859431; 1.856339; 1.851995; 1.848471; 1.845181; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13075.6; 17:37:30; (); 1.881143; 1.881675; 1.882641; 1.882889; 1.884528; 1.881876; 1.881125; 1.879361; 1.872920; 1.868807; 1.867781; 1.872805; 1.879283; 1.884617; 1.885455; 1.890571; 1.891884; 1.891409; 1.892621; 1.891450; 1.897142; 1.901276; 1.908056; 1.916695; 1.919410; 1.919925; 1.917037; 1.911793; 1.906734; 1.906078; 1.905088; 1.906285; 1.906294; 1.904050; 1.902477; 1.899499; 1.896478; 1.892146; 1.889370; 1.891449; 1.893782; 1.891069; 1.889205; 1.890143; 1.889543; 1.888066; 1.890531; 1.895088; 1.899526; 1.902515; 1.900700; 1.898077; 1.895416; 1.893376; 1.891432; 1.887674; 1.887216; 1.887529; 1.886325; 1.883135; 1.879808; 1.870365; 1.857931; 1.847546; 1.840580; 1.842962; 1.844991; 1.847640; 1.849694; 1.848392; 1.847753; 1.848232; 1.846803; 1.842530; 1.841743; 1.844144; 1.849042; 1.857369; 1.866858; 1.872387; 1.870306; 1.868543; 1.867752; 1.868295; 1.867985; 1.867109; 1.866149; 1.870789; 1.878047; 1.880447; 1.881373; 1.883300; 1.883171; 1.882786; 1.883860; 1.882685; 1.884139; 1.884908; 1.883132; 1.882502; 1.882329; 1.882562; 1.879488; 1.875586; 1.872982; 1.871399; 1.867426; 1.864484; 1.863881; 1.865270; 1.865529; 1.864397; 1.861635; 1.860565; 1.861609; 1.863502; 1.862911; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13076.5; 17:37:38; (); (); 1.914056; 1.903255; 1.892153; 1.887421; 1.885209; 1.879702; 1.874556; 1.870042; 1.866960; 1.864024; 1.859628; 1.855930; 1.856435; 1.860827; 1.862167; 1.866133; 1.871513; 1.877435; 1.881436; 1.883513; 1.890336; 1.897408; 1.901391; 1.900789; 1.900815; 1.898332; 1.895682; 1.891213; 1.886439; 1.886069; 1.883844; 1.885220; 1.885438; 1.883539; 1.880799; 1.877679; 1.873730; 1.872924; 1.872647; 1.870277; 1.871878; 1.871654; 1.872087; 1.871563; 1.867492; 1.864064; 1.860810; 1.860849; 1.864077; 1.867122; 1.865916; 1.867166; 1.868940; 1.872675; 1.876833; 1.877525; 1.879682; 1.879962; 1.878101; 1.878783; 1.881098; 1.877794; 1.872619; 1.866217; 1.861934; 1.863422; 1.862427; 1.861582; 1.858170; 1.851788; 1.847446; 1.842334; 1.840250; 1.840813; 1.839630; 1.833942; 1.830210; 1.829282; 1.831995; 1.836421; 1.836991; 1.840003; 1.840216; 1.839044; 1.839374; 1.844465; 1.848733; 1.848610; 1.847844; 1.848483; 1.851897; 1.856297; 1.856911; 1.852869; 1.849879; 1.847967; 1.844574; 1.846184; 1.849815; 1.850883; 1.848130; 1.849630; 1.854679; 1.857867; 1.858215; 1.859507; 1.861676; 1.864609; 1.867394; 1.870315; 1.872390; 1.872848; 1.869931; 1.867445; 1.867164; 1.869555; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13077.5; 17:37:47; (); (); 1.961182; 1.959729; 1.957166; 1.952896; 1.946359; 1.940803; 1.937469; 1.932699; 1.926084; 1.916935; 1.910332; 1.905218; 1.899648; 1.892180; 1.883279; 1.879087; 1.877710; 1.877909; 1.878322; 1.880981; 1.885187; 1.888413; 1.892675; 1.895361; 1.896096; 1.893012; 1.893150; 1.896942; 1.901304; 1.905576; 1.906693; 1.902476; 1.896594; 1.890421; 1.884433; 1.880132; 1.877978; 1.877481; 1.879085; 1.880555; 1.883284; 1.882075; 1.874291; 1.866288; 1.861484; 1.859712; 1.863082; 1.870401; 1.881737; 1.889084; 1.888349; 1.884744; 1.880456; 1.877717; 1.877973; 1.872201; 1.870360; 1.873420; 1.878616; 1.882734; 1.884478; 1.881682; 1.875635; 1.866500; 1.858923; 1.858909; 1.860108; 1.860120; 1.858152; 1.855502; 1.860054; 1.858847; 1.853865; 1.847603; 1.841780; 1.837944; 1.834800; 1.834326; 1.835527; 1.836407; 1.833143; 1.831200; 1.831204; 1.832084; 1.832223; 1.832865; 1.833756; 1.835681; 1.839339; 1.842857; 1.845367; 1.853476; 1.861099; 1.866281; 1.868482; 1.867932; 1.868360; 1.870355; 1.873528; 1.878083; 1.882851; 1.888812; 1.894689; 1.896925; 1.895390; 1.892988; 1.887165; 1.881293; 1.877949; 1.877133; 1.880114; 1.882731; 1.882418; 1.882344; 1.879080; 1.871018; 1.864791; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13078.4; 17:37:55; (); (); (); 1.880118; 1.874287; 1.872765; 1.869338; 1.865066; 1.864312; 1.865611; 1.865909; 1.860037; 1.856050; 1.853769; 1.853531; 1.854044; 1.851821; 1.850559; 1.852577; 1.853806; 1.854283; 1.858214; 1.862875; 1.865275; 1.868282; 1.876294; 1.882560; 1.885987; 1.887834; 1.888766; 1.890750; 1.894720; 1.897948; 1.899232; 1.900625; 1.902143; 1.903070; 1.906968; 1.909475; 1.908969; 1.906449; 1.904840; 1.901819; 1.902860; 1.900911; 1.897509; 1.894460; 1.892866; 1.896348; 1.902383; 1.907830; 1.909525; 1.906118; 1.902322; 1.900407; 1.901992; 1.905941; 1.906401; 1.904120; 1.905031; 1.909128; 1.911204; 1.911360; 1.905674; 1.899927; 1.895715; 1.892934; 1.891603; 1.888707; 1.887297; 1.885966; 1.883890; 1.883939; 1.886005; 1.887060; 1.888152; 1.891499; 1.896003; 1.899899; 1.898238; 1.894465; 1.892516; 1.893364; 1.896885; 1.894373; 1.891831; 1.890939; 1.891774; 1.890397; 1.886463; 1.881433; 1.874818; 1.869554; 1.865008; 1.864893; 1.865878; 1.865959; 1.864972; 1.864875; 1.866016; 1.865941; 1.862734; 1.860121; 1.860788; 1.863183; 1.866727; 1.870719; 1.872912; 1.875150; 1.872585; 1.869675; 1.869134; 1.869319; 1.868184; 1.866833; 1.867577; 1.871713; 1.875312; 1.876536; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13079.3; 17:38:04; (); (); (); 1.865839; 1.863474; 1.863620; 1.864214; 1.864583; 1.862998; 1.860156; 1.860372; 1.866538; 1.871040; 1.871476; 1.866492; 1.863928; 1.864850; 1.867221; 1.872636; 1.874210; 1.874767; 1.873990; 1.870975; 1.872896; 1.878385; 1.880013; 1.878982; 1.874654; 1.870863; 1.875081; 1.879674; 1.877826; 1.875265; 1.871065; 1.868607; 1.866861; 1.866506; 1.868553; 1.869806; 1.868373; 1.866776; 1.866190; 1.866002; 1.868368; 1.867785; 1.864280; 1.864421; 1.867655; 1.874306; 1.882303; 1.887508; 1.888542; 1.889930; 1.887180; 1.886322; 1.885762; 1.884193; 1.883682; 1.882533; 1.884053; 1.889698; 1.894267; 1.893611; 1.889185; 1.883599; 1.880424; 1.878988; 1.879363; 1.883654; 1.887056; 1.889041; 1.888466; 1.887960; 1.889882; 1.890064; 1.889311; 1.887178; 1.884487; 1.881626; 1.877988; 1.877908; 1.879787; 1.880438; 1.878581; 1.872404; 1.872151; 1.874278; 1.873135; 1.870236; 1.869200; 1.868503; 1.867247; 1.866721; 1.869942; 1.871773; 1.870049; 1.869301; 1.873556; 1.875275; 1.880380; 1.881748; 1.881079; 1.880384; 1.878715; 1.876603; 1.872383; 1.869305; 1.868417; 1.868426; 1.872079; 1.873797; 1.869218; 1.858891; 1.855792; 1.851321; 1.847613; 1.843891; 1.842998; 1.843247; 1.842254; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
