Roll Number; 0
Recipe Name; FP 4548_640 GSM
Start Time; 2018-03-08; 17:36:28
File Name; D:\Mahlo\TR\180308173628FP 4548_640 GSM0_FMI2.txt

13069.7; 17:36:39; (); (); (); (); (); (); (); (); (); (); 607.226491; 607.050776; 606.760502; 607.044220; 607.760668; 608.716965; 609.766126; 610.653639; 611.074984; 612.428486; 613.623619; 614.328444; 615.146756; 615.417242; 614.777207; 614.414334; 614.795089; 615.871906; 616.558492; 616.332710; 616.100311; 615.926504; 615.601420; 615.395844; 614.969909; 613.924980; 613.618731; 613.093495; 612.661302; 613.105416; 613.707304; 613.672554; 612.675011; 611.756384; 611.800611; 611.994267; 612.525046; 613.288820; 613.585949; 613.781035; 613.767207; 613.306582; 613.104045; 613.581777; 613.679647; 613.441348; 613.760173; 614.609182; 614.668190; 612.980604; 610.290229; 607.465684; 604.702830; 602.290213; 600.469530; 598.292589; 595.447898; 592.275441; 589.325845; 587.836087; 586.805940; 585.669577; 584.945083; 584.604502; 585.264683; 586.781979; 588.667214; 589.940906; 590.999901; 591.733098; 593.641520; 596.727848; 599.307477; 601.497650; 602.393568; 602.293730; 601.824641; 601.281166; 600.738466; 600.240052; 600.132346; 599.548459; 598.962665; 597.874463; 596.615613; 595.573425; 594.410002; 593.364835; 592.749417; 592.621922; 592.605293; 592.305839; 591.772258; 591.636360; 591.584265; 590.971828; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13070.8; 17:36:47; (); 612.801969; 611.403346; 610.391796; 609.589458; 608.246386; 607.638240; 607.827485; 607.319236; 606.611669; 605.484486; 605.166852; 604.796827; 604.048491; 603.984892; 604.597032; 605.406880; 605.278850; 605.700552; 606.522441; 607.800126; 608.138084; 607.947648; 608.396888; 608.900368; 609.418809; 609.415114; 608.927548; 608.534753; 608.488202; 608.721077; 609.279811; 610.211015; 610.335290; 610.190451; 610.307455; 610.526562; 610.122263; 608.645022; 607.068777; 606.241107; 606.367052; 607.269287; 608.278930; 608.709514; 608.931303; 609.308481; 609.826624; 610.707521; 611.441255; 611.290634; 610.759795; 611.286283; 612.683713; 613.293588; 613.451540; 613.441706; 613.162220; 613.246560; 613.600731; 613.046050; 611.818254; 610.107124; 607.906759; 606.154501; 605.742157; 605.890810; 604.725480; 602.540553; 600.650549; 598.632276; 597.108662; 596.556067; 595.585227; 594.790697; 594.459534; 594.779789; 595.761776; 596.774042; 597.225964; 597.637892; 597.859979; 598.446131; 599.369943; 600.427449; 601.282358; 601.477504; 601.134896; 600.137472; 599.153817; 598.544419; 597.794771; 597.235799; 596.763432; 596.443713; 596.372664; 596.582353; 597.520769; 598.160267; 598.555446; 598.996043; 599.104881; 599.424124; 600.547135; 601.414919; 602.005720; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13071.8; 17:36:56; 612.194419; 611.852527; 610.938191; 610.019445; 609.008014; 608.059287; 607.006192; 604.780793; 602.660060; 601.661384; 600.806594; 599.154353; 597.173572; 595.658422; 594.617248; 593.748331; 592.719734; 592.554569; 592.582047; 592.762768; 593.535721; 594.654441; 596.281826; 597.604334; 597.523749; 597.386718; 598.187327; 598.919332; 599.100649; 599.109888; 598.966241; 599.294484; 598.688424; 597.854912; 597.533643; 597.128272; 596.946597; 597.315133; 597.753644; 598.065913; 597.973347; 598.066211; 598.373830; 598.327219; 597.626328; 596.917689; 596.687376; 597.053587; 597.362697; 596.746027; 595.445216; 594.171405; 593.311906; 593.565583; 594.417393; 595.689237; 596.250653; 596.648812; 596.293092; 595.526636; 594.856441; 593.796313; 592.512012; 591.888607; 591.588080; 591.526687; 591.581762; 591.462553; 590.094030; 588.430345; 586.557388; 584.565461; 583.406687; 583.212614; 583.627284; 584.652841; 586.040616; 587.799549; 589.155734; 590.544224; 591.244757; 591.192961; 591.017246; 591.611624; 593.891144; 595.887125; 596.688032; 596.917331; 597.265005; 597.856343; 598.089218; 597.834647; 597.276032; 596.538305; 595.432401; 594.539583; 593.987525; 593.098640; 591.634870; 589.242697; 587.165117; 586.374164; 586.047888; 585.706115; 585.035503; 584.407449; 584.515572; 584.519088; 584.725976; 585.134447; 585.471690; 585.594893; 585.862815; 586.990118; 588.832915; 590.483844; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13072.7; 17:37:04; 608.056605; 607.426882; 607.575119; 607.024848; 605.825365; 604.783297; 603.954017; 602.708817; 601.613343; 599.954426; 599.397242; 599.462330; 599.857986; 601.031840; 602.613449; 602.489233; 601.864040; 601.726770; 602.116525; 603.046656; 604.045451; 604.586124; 604.648948; 604.433715; 604.699731; 604.989350; 604.797781; 604.666650; 604.577303; 604.767144; 605.883658; 606.510103; 606.648088; 607.180476; 607.883573; 608.023822; 608.215332; 608.895302; 610.668302; 612.430334; 613.193095; 613.232613; 612.228990; 610.340178; 608.355641; 607.876837; 609.127939; 610.624313; 611.359298; 611.844301; 612.728298; 613.532901; 613.431990; 611.678779; 610.101283; 609.554350; 609.876871; 610.325456; 611.070573; 611.680984; 611.122906; 609.560490; 607.683241; 605.448067; 603.021622; 601.172030; 599.854946; 598.788440; 598.202288; 598.235905; 598.583221; 598.860562; 599.279106; 599.135756; 599.546969; 600.531101; 600.857735; 601.319432; 602.402985; 603.318155; 603.367329; 603.266299; 603.917420; 604.937792; 604.813635; 603.346169; 602.192163; 601.868689; 601.408005; 600.269973; 599.236608; 598.390996; 597.723901; 597.301424; 597.002268; 596.713901; 595.225036; 593.164802; 591.704607; 590.895057; 590.885103; 590.285480; 589.475811; 589.087784; 588.730991; 588.516235; 588.184118; 587.846279; 587.802768; 587.405443; 587.072790; 587.844789; 589.086950; 590.298533; 591.185749; 591.873109; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13073.7; 17:37:13; 618.044615; 616.023123; 614.649236; 612.592459; 610.784709; 609.399617; 608.752429; 608.469427; 606.894851; 605.156600; 604.295909; 603.667617; 602.900922; 602.278650; 602.166355; 603.115201; 604.202032; 604.822159; 606.157959; 607.459962; 608.937681; 609.945476; 610.952139; 612.326503; 613.379896; 613.965213; 614.490867; 615.207076; 615.930259; 616.515517; 616.251290; 615.629911; 615.734041; 615.765810; 615.680933; 614.866138; 613.520026; 612.021804; 610.518575; 609.623730; 609.239697; 609.496951; 609.603286; 609.637380; 609.584868; 610.187471; 611.077368; 611.370742; 611.631572; 612.179875; 613.561332; 615.117610; 615.873337; 616.121054; 615.657032; 614.521265; 613.337457; 612.921357; 613.642633; 614.682734; 614.334881; 612.954617; 611.780226; 610.990942; 610.520780; 610.346019; 609.647334; 608.370662; 607.806921; 608.666897; 609.853387; 611.273825; 611.955404; 610.389352; 608.625829; 607.919693; 608.049154; 608.756185; 609.295130; 609.265625; 608.378649; 607.809007; 607.976079; 608.153701; 607.835710; 606.959343; 605.151892; 603.809237; 603.038728; 602.246761; 601.564705; 601.397395; 601.404190; 601.009429; 600.453198; 600.465119; 600.848317; 601.230025; 601.263225; 601.620317; 602.203190; 602.846980; 603.444636; 603.663325; 603.748202; 604.072511; 604.507327; 604.875207; 605.622053; 607.157230; 607.658088; 607.945681; 608.072877; 608.200073; 607.763588; 607.693493; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13074.6; 17:37:21; 618.044615; 620.472491; 618.081152; 616.770983; 615.277827; 614.668190; 614.166498; 612.944841; 609.914005; 606.557727; 604.206383; 602.366090; 600.721359; 599.819303; 599.302053; 599.587798; 600.713670; 601.749718; 602.307260; 602.511585; 602.243841; 602.406979; 602.986455; 604.918599; 607.187688; 608.746707; 609.444380; 609.515011; 609.608889; 609.821618; 609.181821; 607.865214; 606.078506; 604.955435; 604.657054; 604.523838; 604.047000; 603.437304; 602.547526; 601.578891; 600.711942; 600.264072; 600.513577; 600.669205; 600.546539; 600.509465; 600.886405; 601.688266; 601.891160; 602.115154; 602.967203; 603.789628; 605.094492; 606.411517; 607.271373; 607.824147; 608.293176; 609.084129; 609.600127; 609.514356; 609.809160; 610.031307; 609.851420; 609.908104; 609.616399; 608.070910; 606.638134; 604.884565; 603.478193; 603.037477; 602.213860; 601.128519; 600.055814; 600.426197; 602.381051; 603.079200; 603.476703; 604.294240; 605.272055; 606.130898; 607.410908; 609.099925; 610.645652; 610.635221; 609.661698; 609.176338; 609.670222; 610.134423; 609.634578; 609.049797; 609.210014; 608.737707; 607.616663; 606.389344; 606.063426; 605.952382; 605.939984; 606.140614; 606.601775; 607.349813; 607.884943; 607.418716; 606.405973; 605.597675; 604.566753; 604.460716; 605.126739; 606.236219; 607.109189; 607.049942; 606.631398; 605.847836; 605.360687; 605.911195; 607.033670; 607.888699; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13075.6; 17:37:30; (); 618.691742; 618.680060; 617.783725; 616.469979; 614.456594; 612.150371; 611.150086; 610.490143; 609.445572; 608.495772; 607.532918; 606.731594; 606.398106; 605.707109; 605.408728; 605.368257; 605.844080; 607.332170; 609.263361; 611.261189; 613.304257; 614.987075; 616.377473; 617.779255; 618.870616; 619.946003; 621.305704; 622.347713; 622.670770; 622.939646; 623.251021; 623.054862; 622.700453; 622.701526; 622.060418; 620.991111; 619.758964; 618.972063; 618.823946; 619.566202; 619.823754; 619.354546; 617.640555; 616.658807; 616.483867; 616.401196; 616.024554; 616.030395; 615.946591; 616.363704; 617.418766; 618.325949; 618.598044; 617.667317; 615.962982; 614.945054; 614.286423; 614.522576; 614.167333; 613.396645; 612.242162; 610.649943; 608.134210; 606.691301; 605.921984; 604.325950; 602.703989; 600.846708; 599.507511; 598.520756; 597.464442; 596.624613; 595.872760; 595.579922; 595.143914; 595.662713; 596.753597; 597.663879; 598.132193; 597.946465; 598.797858; 599.952161; 600.763261; 602.039993; 603.626966; 604.764044; 605.470300; 605.482161; 605.338395; 606.124699; 606.239021; 605.756521; 605.488062; 605.425894; 605.673492; 606.150568; 606.281042; 606.185913; 606.281996; 606.551230; 606.451809; 606.340408; 606.580019; 606.736660; 606.304944; 605.688453; 605.311930; 605.096400; 605.068505; 604.892731; 604.201317; 603.677511; 603.846669; 603.515029; 602.578580; 602.627456; 602.917731; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13076.5; 17:37:38; (); (); 618.873715; 618.161976; 617.649257; 617.643714; 617.478669; 617.111027; 616.253078; 613.585114; 610.874593; 609.912932; 608.686090; 608.186126; 608.414233; 608.372927; 607.995629; 607.723176; 608.271301; 608.918071; 609.073162; 609.095156; 608.721852; 608.548939; 609.997213; 611.690700; 612.252533; 612.953663; 612.797499; 611.934006; 611.252844; 611.097217; 610.578299; 609.196663; 607.786477; 605.906904; 604.037166; 603.184879; 602.223396; 600.553811; 600.126088; 600.612700; 601.150632; 602.330327; 603.958547; 605.125666; 605.514109; 606.543601; 608.350992; 609.722793; 611.475646; 612.739027; 613.257766; 614.090800; 614.403546; 614.107609; 613.319516; 612.935960; 612.425506; 611.870885; 611.298740; 610.823452; 610.210836; 608.161867; 606.597006; 605.939984; 605.652511; 605.662405; 605.577290; 605.283737; 604.284823; 602.980852; 602.333009; 601.914823; 600.830376; 600.650847; 600.658119; 600.254178; 600.448787; 600.426018; 599.597812; 599.109232; 599.028230; 598.772466; 598.358452; 597.638190; 597.419381; 596.876740; 596.365869; 596.770406; 597.083509; 596.990347; 596.820772; 596.175313; 595.625401; 595.165312; 595.098674; 594.760895; 594.650030; 595.037937; 595.347047; 595.046401; 595.315456; 595.501006; 594.630063; 593.245149; 591.914237; 591.021478; 591.238916; 591.484904; 591.727793; 591.655135; 591.607928; 591.515899; 591.410995; 591.753900; 592.117846; 591.437221; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13077.5; 17:37:47; (); (); 620.084107; 617.649078; 616.357565; 615.309536; 614.298999; 613.301814; 613.186300; 613.474727; 613.755524; 612.776756; 611.869037; 610.739648; 610.357881; 610.663235; 611.147821; 612.041235; 612.882495; 613.171160; 613.544941; 614.670277; 616.148531; 616.574466; 616.175354; 615.405440; 614.887238; 614.484489; 614.855587; 615.457177; 614.817858; 614.048719; 613.795936; 613.885045; 613.973618; 613.638043; 612.804532; 611.859262; 611.632824; 612.040937; 612.868965; 613.687217; 614.295781; 613.964975; 612.921953; 612.972200; 613.681257; 613.833010; 614.163995; 614.794195; 615.785182; 616.102993; 616.339862; 617.099762; 617.359102; 616.707683; 616.061389; 615.695000; 615.393102; 614.859402; 614.275515; 613.307059; 612.377644; 610.775232; 608.114123; 605.565250; 604.021132; 602.354288; 599.609613; 597.293377; 595.666349; 594.049037; 592.658818; 591.374278; 590.347469; 589.677215; 589.616239; 589.435756; 590.221882; 591.968000; 593.162358; 594.129205; 594.664037; 595.261157; 595.995724; 596.518934; 597.291887; 597.831309; 598.849416; 600.209773; 600.739181; 600.630045; 601.585627; 602.746069; 603.033304; 602.413535; 601.616740; 601.775348; 601.733148; 602.239490; 602.689862; 602.436662; 601.827502; 600.720286; 599.539816; 599.058151; 598.535299; 596.693873; 594.454765; 593.611002; 593.946993; 594.465673; 594.048321; 593.776584; 592.789710; 591.760337; 591.456652; 592.080951; 592.499495; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13078.4; 17:37:55; (); (); (); 624.059856; 623.052597; 623.202085; 623.030782; 623.314500; 623.851836; 624.336958; 623.502433; 622.008562; 620.784104; 619.919002; 619.567811; 619.529247; 619.228303; 619.447589; 620.670795; 620.877922; 620.283306; 619.508564; 618.806720; 618.830919; 618.777096; 619.186819; 619.321406; 619.663119; 620.005429; 619.878292; 618.792295; 617.984354; 617.534757; 617.141545; 617.615819; 618.643165; 619.300544; 618.938565; 617.225766; 614.887059; 612.632275; 611.595631; 611.482382; 611.315072; 612.138033; 613.850713; 615.380526; 615.501225; 615.135491; 614.604473; 614.187539; 614.814997; 615.046918; 615.510464; 617.358804; 618.904471; 618.847132; 618.565261; 618.352175; 616.937757; 614.839673; 613.674223; 613.691509; 613.139391; 611.442566; 609.689772; 607.950747; 606.289685; 604.785800; 602.390528; 600.726306; 600.359261; 600.343168; 600.424826; 600.960016; 601.587057; 601.652682; 600.934625; 601.232946; 601.544321; 601.431787; 601.255000; 601.679921; 601.938605; 602.688372; 602.696419; 602.687240; 602.378607; 601.680458; 600.969195; 600.356340; 599.400878; 598.735690; 598.108172; 598.138690; 598.448753; 598.941386; 599.218547; 600.142717; 601.125419; 601.993203; 601.911485; 601.548612; 601.937592; 603.249490; 604.337633; 604.930580; 604.562640; 604.247153; 604.423821; 603.916407; 603.025138; 603.050768; 602.804601; 602.099001; 601.488650; 601.631403; 602.500200; 602.662325; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13079.3; 17:38:04; (); (); (); 621.869922; 620.354295; 618.480384; 617.255032; 615.963757; 614.067376; 613.479197; 612.326324; 609.920144; 608.492196; 608.188987; 608.587503; 608.582854; 608.195901; 607.800066; 607.830584; 608.001173; 608.242333; 608.449697; 609.216630; 610.668659; 610.911012; 611.325264; 612.066209; 612.087131; 611.439109; 609.958589; 608.994067; 608.168602; 607.318699; 605.919898; 604.917765; 604.491353; 603.985727; 603.218436; 602.437377; 602.299690; 602.415323; 602.748513; 603.334844; 603.710532; 603.940368; 603.619814; 603.711724; 604.605436; 605.499029; 606.336474; 607.491195; 608.334839; 608.411312; 607.464373; 606.606841; 606.201887; 605.457962; 604.663968; 603.903890; 603.870511; 604.449391; 605.428219; 605.102301; 603.892267; 602.894962; 601.931453; 601.769567; 602.097631; 603.247762; 603.753090; 603.403389; 602.735281; 602.122247; 602.267444; 602.534592; 602.475941; 601.979434; 602.826834; 604.296625; 605.303824; 606.008887; 606.349170; 606.620967; 606.410086; 605.986595; 605.255246; 604.302824; 603.680253; 602.465630; 601.816833; 601.558506; 601.079881; 600.515187; 600.366354; 600.345075; 600.477219; 600.039363; 599.478185; 599.643171; 600.137830; 601.546288; 602.726102; 603.354216; 603.882670; 603.773475; 603.855073; 604.013205; 603.724778; 602.353930; 599.898338; 597.863317; 597.267628; 597.437024; 597.038567; 596.389353; 595.536470; 595.249474; 595.073462; 594.437540; 592.994690; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
