Roll Number; 0
Recipe Name; FP 4548_520 GSM
Start Time; 2018-03-12; 10:09:23
File Name; D:\Mahlo\TR\180312100923FP 4548_520 GSM0_FMI2.txt

2133.5; 10:09:36; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 576.677740; 577.531934; 578.546941; 579.771340; 580.754936; 581.935525; 582.185686; 581.884921; 582.701981; 582.912385; 583.677709; 585.440397; 585.657835; 585.879028; 587.152481; 587.370098; 586.848497; 586.209536; 585.438669; 584.750354; 584.245980; 584.995866; 585.685134; 585.338891; 585.608900; 586.101592; 587.059379; 587.931335; 587.706983; 587.346435; 587.533176; 587.989092; 589.923739; 591.572881; 592.556238; 593.169928; 593.111813; 592.644095; 592.603803; 592.866421; 591.879427; 590.568900; 589.797914; 589.480400; 588.569582; 587.760746; 586.811543; 584.670782; 582.932711; 581.782222; 580.391884; 579.724133; 579.622447; 579.571366; 579.358757; 580.026567; 580.262423; 580.661237; 581.233382; 581.472099; 581.824243; 582.472026; 583.280861; 584.334791; 585.841358; 587.173223; 588.553846; 589.232683; 589.478791; 589.615881; 588.206708; 587.060750; 586.157501; 584.871531; 584.514022; 584.208071; 583.509088; 581.692696; 579.212606; 577.274859; 576.641619; 576.139688; 575.864971; 575.126290; 574.443102; 575.041533; 575.285256; 575.069189; 575.614750; 575.945377; 575.930655; 576.280415; 577.474535; 579.022706; 579.464316; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2140.1; 10:10:19; (); (); (); (); (); (); (); (); (); (); 586.272180; 584.527612; 583.342314; 582.450449; 581.735551; 581.097841; 580.908954; 580.763400; 579.812467; 579.381824; 580.632389; 581.490636; 581.471920; 581.404567; 580.784380; 580.957890; 582.154810; 582.991898; 584.234536; 585.614920; 586.647093; 587.550998; 588.444710; 588.958323; 589.304984; 589.192688; 589.264810; 589.156330; 589.941084; 591.355145; 592.120767; 592.701793; 593.208671; 593.049109; 592.630446; 592.771769; 593.027592; 593.607962; 594.194949; 595.086932; 595.086575; 594.299972; 593.109012; 591.508567; 590.448737; 590.218246; 589.259326; 588.498592; 588.245630; 588.231623; 588.707149; 588.541269; 588.626981; 589.212000; 588.494420; 588.817537; 589.186251; 589.816093; 590.209603; 589.692652; 589.360416; 590.130568; 590.602458; 590.922594; 590.207279; 588.337660; 586.824179; 584.766746; 583.321869; 582.900763; 581.802666; 580.600739; 580.623209; 581.003189; 581.022024; 580.385566; 579.850495; 579.042077; 578.326225; 578.513622; 578.560293; 578.665197; 578.429639; 577.714443; 577.821970; 578.259647; 578.011870; 576.501727; 575.559974; 574.986219; 575.090349; 575.376630; 575.723886; 575.926244; 575.832427; 575.710952; 575.429022; 574.691057; 573.461831; 571.888268; 570.814013; 571.263373; 572.179496; 572.576582; 572.504699; 571.754158; 571.053267; 570.364296; 569.336474; 569.027185; 568.785667; 568.714261; 569.511116; 571.044743; 572.879910; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2141.3; 10:10:28; (); (); (); (); (); (); (); (); (); 596.193433; 597.233474; 598.818600; 599.470675; 599.737406; 599.267721; 598.114371; 596.311927; 594.867706; 594.559133; 593.964398; 592.961311; 591.957629; 591.103673; 589.778960; 588.601470; 587.391615; 585.704148; 584.681809; 584.250093; 583.962142; 584.020436; 584.922671; 585.833132; 585.915625; 585.763454; 584.973156; 584.469736; 584.649503; 584.729552; 584.532380; 584.337890; 584.217668; 583.305359; 582.223296; 582.062781; 581.923366; 581.391454; 580.785334; 580.718338; 581.062376; 580.978692; 580.586910; 580.035090; 579.505861; 579.106927; 579.387963; 580.537319; 581.143200; 581.350744; 581.088960; 581.033707; 581.365228; 582.655430; 583.474696; 584.195256; 584.908426; 585.491419; 585.973918; 586.129487; 586.090028; 586.622655; 586.520791; 586.221635; 586.128294; 585.790217; 585.488439; 584.024787; 582.268000; 581.284702; 580.730617; 580.731273; 580.351412; 580.130219; 580.337405; 580.262303; 579.327404; 578.325629; 578.248680; 578.622460; 579.096377; 579.757869; 580.592155; 580.692649; 580.199063; 579.952359; 579.710245; 579.640865; 579.850972; 580.093324; 579.472423; 577.942193; 576.582730; 575.551033; 574.589729; 573.149323; 572.794914; 573.187888; 573.559165; 574.499428; 574.564099; 574.396193; 573.710084; 571.979702; 570.791304; 570.964038; 571.584761; 572.073460; 572.119415; 572.349250; 573.034644; 572.379351; 571.209371; 569.942892; 568.317592; 567.673802; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2142.5; 10:10:36; (); (); (); (); (); (); (); (); (); 582.327724; 581.820369; 582.023382; 582.549572; 582.783580; 583.230317; 583.447516; 583.571553; 583.628893; 583.395064; 582.937777; 583.495080; 585.125744; 586.474836; 586.860538; 586.576760; 586.484432; 586.212695; 585.881770; 585.338891; 584.537387; 583.915532; 583.362341; 582.891643; 583.125412; 582.881987; 581.738770; 579.804063; 578.147233; 577.586174; 577.443302; 577.098429; 576.707661; 576.876998; 577.383578; 577.574790; 577.661812; 577.493846; 576.994538; 576.100230; 575.116515; 573.861003; 573.210120; 572.256804; 571.150959; 570.827961; 571.024120; 570.625484; 569.743574; 569.034100; 568.567991; 568.564892; 568.726957; 569.172204; 569.550037; 569.825053; 570.600271; 571.849406; 572.552621; 572.277248; 570.708752; 569.386780; 568.631589; 567.950666; 567.328870; 567.220747; 566.796541; 566.098154; 565.013051; 564.503074; 564.582050; 564.119518; 562.773883; 562.307894; 562.946737; 563.344181; 563.396752; 563.160479; 562.696099; 562.171638; 561.625421; 561.835766; 562.337339; 563.856959; 565.187037; 565.197408; 565.232038; 565.694988; 566.112399; 567.019582; 568.713546; 569.702566; 570.625663; 571.469009; 571.475446; 570.894897; 570.379078; 570.224226; 569.209576; 568.590581; 568.444014; 568.207920; 568.023562; 567.202985; 566.267490; 564.838767; 563.744068; 563.716412; 564.589322; 565.544128; 566.188753; 566.062927; 565.698028; 565.591455; 565.718055; 566.066563; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2143.7; 10:10:45; (); (); (); (); (); (); (); (); (); 579.180956; 578.534901; 579.499304; 580.260515; 580.420315; 580.884576; 581.213295; 581.502795; 581.062615; 580.408692; 579.743922; 579.618871; 580.108464; 581.098437; 582.220137; 583.236337; 583.496988; 583.081484; 582.959533; 582.696676; 581.882656; 581.019700; 579.715729; 579.018354; 578.817189; 578.429937; 577.469349; 576.214910; 575.511158; 574.914694; 573.815644; 573.514938; 573.127449; 573.248565; 573.825121; 574.994445; 576.089740; 577.106237; 577.932179; 578.385532; 578.444600; 578.508556; 578.887641; 579.302669; 579.641879; 579.851210; 579.530954; 579.524696; 579.382539; 578.937173; 578.318954; 578.285694; 578.794360; 579.450905; 579.728842; 579.954982; 580.614030; 581.265092; 582.166672; 584.146559; 586.211801; 586.812496; 586.686313; 586.391687; 586.500525; 586.624026; 586.725950; 586.208045; 585.675478; 585.514128; 585.249662; 585.412860; 585.582197; 584.686577; 582.997143; 581.151068; 580.051482; 578.948021; 578.710914; 579.295576; 579.302907; 578.610420; 578.138649; 577.365458; 576.935589; 577.244043; 577.187657; 576.764643; 576.216817; 575.763583; 575.904191; 577.628374; 579.858899; 580.388904; 580.210447; 580.720961; 581.578016; 582.091451; 583.036602; 584.284127; 584.810734; 584.598899; 583.947718; 584.137022; 584.141016; 584.093571; 583.300114; 582.784712; 582.511127; 581.947923; 581.114173; 580.808759; 580.788612; 580.633044; 579.795182; 579.000771; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2144.9; 10:10:53; (); (); (); (); (); (); (); (); (); 592.267394; 592.441857; 592.065215; 591.327429; 590.351820; 589.425027; 589.276552; 589.948297; 589.961886; 589.476705; 589.394569; 588.659823; 587.898314; 588.049591; 588.189900; 588.871717; 588.692069; 588.559687; 589.045048; 589.840412; 591.044962; 591.588140; 591.231287; 591.537535; 591.584086; 591.784120; 593.187153; 594.156384; 594.139040; 593.243182; 591.625690; 591.570914; 592.094779; 592.419446; 592.792034; 592.506289; 591.563106; 590.771258; 590.661466; 590.898216; 590.706646; 589.851439; 589.959025; 589.367330; 589.654684; 590.988040; 591.708720; 591.320634; 591.312408; 591.146529; 591.422379; 591.783822; 592.086256; 592.807531; 593.766153; 594.036102; 593.907535; 593.408346; 593.482614; 593.480110; 591.740608; 589.811802; 588.756382; 587.612271; 587.077320; 586.206794; 585.881889; 585.189104; 584.069073; 583.090663; 581.884980; 581.329644; 581.134856; 581.767142; 583.185077; 584.442675; 585.468829; 586.084723; 585.545838; 584.844172; 585.263073; 584.819078; 584.415972; 583.751261; 583.984315; 584.668815; 584.791243; 584.822178; 584.229648; 583.536506; 584.166586; 584.861636; 586.774886; 588.273644; 588.394642; 588.029206; 588.065207; 588.516116; 588.899791; 588.348150; 587.771297; 586.964726; 585.693061; 583.592176; 581.651509; 579.690933; 578.234076; 576.472938; 575.380147; 574.981868; 574.964106; 574.856997; 573.723495; 572.387576; 571.657479; 571.278334; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2146.1; 10:11:02; (); (); (); (); (); (); (); (); (); 592.267394; 598.944962; 600.148797; 600.039840; 599.540472; 598.951578; 598.057508; 597.171843; 596.443772; 595.589042; 594.915926; 594.025612; 593.756139; 593.738854; 593.870819; 593.430221; 592.731237; 591.383696; 590.309739; 589.790225; 589.618802; 590.379059; 591.560364; 591.945410; 592.586398; 592.731655; 591.959655; 591.526508; 591.046035; 591.338158; 591.771960; 591.563880; 591.579914; 591.358662; 590.740204; 589.527667; 587.889075; 586.423039; 585.107446; 583.597362; 582.606077; 582.518399; 581.894934; 581.295252; 579.780102; 577.990770; 577.043474; 577.011108; 577.240169; 577.043533; 577.196121; 576.900065; 576.393664; 576.344371; 576.210380; 576.029897; 575.869977; 575.512171; 574.799597; 574.200034; 573.816299; 573.120117; 572.717011; 572.395325; 572.298527; 572.489977; 572.348714; 570.970118; 569.354892; 569.022477; 568.849802; 567.551315; 566.831887; 566.557288; 567.279220; 567.758501; 567.649066; 567.384481; 567.090273; 566.814005; 565.642953; 565.204918; 566.229999; 567.960620; 568.357468; 568.529248; 569.311440; 569.434285; 569.845080; 569.534481; 569.484532; 569.679916; 569.644868; 569.372833; 569.385290; 569.998384; 570.106745; 569.948375; 569.755495; 569.828570; 570.088923; 570.604742; 570.993245; 570.148468; 568.680406; 567.450762; 566.889882; 567.053795; 567.768931; 567.982435; 568.208694; 568.410158; 568.107486; 567.490041; 566.670537; 565.452099; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2147.3; 10:11:10; (); (); (); (); (); (); (); (); (); (); 583.276987; 583.017945; 583.121598; 583.428383; 583.743215; 583.687663; 583.043694; 582.791626; 582.661390; 582.787752; 584.406793; 585.951746; 587.131679; 588.303804; 589.532137; 590.219498; 590.284586; 589.978933; 589.175761; 588.155866; 587.499619; 587.420881; 587.243617; 587.183177; 585.777998; 583.438396; 581.665397; 580.508888; 579.402149; 578.277230; 577.092886; 576.368809; 575.412154; 575.052619; 575.267196; 575.826049; 576.131463; 575.729370; 575.156152; 575.099766; 575.216472; 576.333165; 577.110529; 577.635348; 578.571796; 579.087198; 579.220533; 579.742730; 580.122590; 580.030203; 579.756021; 579.357088; 579.007685; 578.747332; 578.204036; 576.605201; 574.526727; 573.486745; 572.131455; 571.046174; 570.760012; 571.307957; 571.513891; 571.681321; 571.831703; 571.678877; 571.328700; 569.897830; 568.186283; 567.184985; 567.302704; 567.668259; 567.826509; 568.379045; 568.813503; 567.810357; 566.608965; 565.574586; 564.633310; 563.672006; 563.309252; 563.306570; 563.766122; 564.437032; 565.058649; 565.011263; 564.059913; 563.372374; 562.362969; 561.585307; 561.423123; 561.433852; 561.434031; 561.343431; 561.444581; 561.711848; 561.675072; 561.648309; 561.962247; 561.443627; 561.154127; 561.704695; 561.715007; 561.695933; 561.903477; 561.711431; 561.837018; 561.905205; 561.509550; 561.028361; 560.481012; 560.512304; 560.377777; 560.057461; 560.576141; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2148.6; 10:11:19; (); (); (); (); (); (); (); (); (); 580.503583; 580.787063; 581.046164; 580.944717; 581.548333; 581.943691; 581.725895; 581.090629; 580.283821; 580.268204; 580.495656; 580.155432; 579.596519; 579.436302; 579.646111; 579.665363; 579.478443; 579.601765; 579.688251; 579.237044; 579.328060; 579.752624; 580.167174; 580.733418; 581.197679; 581.344306; 581.899941; 582.762837; 583.290577; 582.994819; 582.435608; 582.385182; 582.350969; 582.866311; 582.977474; 582.167923; 581.407368; 581.279457; 581.659794; 582.106829; 581.964612; 581.117690; 580.050647; 579.182923; 579.289317; 579.416811; 578.767717; 577.608526; 576.813281; 576.709986; 576.867163; 576.781332; 576.420784; 575.641274; 574.919462; 575.605333; 576.287568; 576.822937; 577.734411; 578.595698; 579.572797; 580.674052; 582.101822; 583.275378; 584.538341; 585.146427; 585.628808; 585.301161; 584.948659; 584.129632; 583.108783; 582.585871; 581.851721; 580.448449; 579.199672; 578.424513; 577.400565; 576.380014; 575.065553; 573.707402; 573.553324; 574.318111; 574.667990; 574.753344; 574.945390; 574.571490; 574.310303; 574.733078; 575.611174; 575.502217; 575.451434; 575.995326; 576.146841; 575.998306; 575.585127; 574.683726; 572.780788; 572.036624; 571.698606; 570.781171; 569.867134; 568.992555; 567.879140; 566.716254; 565.781534; 565.036356; 564.325809; 563.613713; 564.144611; 564.342678; 564.061284; 564.237297; 564.248562; 564.160168; 565.525532; 567.423582; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2149.8; 10:11:28; (); (); (); (); (); (); (); (); (); 583.436608; 583.433568; 582.716942; 582.326531; 581.861317; 581.229389; 580.765247; 580.522954; 580.251992; 579.999626; 580.078900; 580.375135; 580.290198; 579.735816; 578.872144; 578.579187; 579.343438; 580.007434; 580.292225; 580.432713; 581.029475; 582.693040; 583.659768; 584.332645; 584.468246; 583.888769; 583.403528; 583.493352; 583.863258; 584.479153; 584.025383; 582.912982; 582.811475; 583.499849; 584.766865; 584.135771; 582.894921; 582.538188; 582.225621; 582.460999; 583.027363; 583.584130; 584.117770; 584.393740; 584.704876; 585.371912; 585.604608; 585.196435; 584.356487; 583.431542; 583.629489; 583.637416; 583.773971; 584.368050; 584.849656; 585.194230; 584.608734; 584.087074; 583.636403; 582.508862; 581.826448; 581.717551; 581.292272; 580.884337; 580.373585; 579.258859; 578.950703; 578.733265; 577.741921; 577.042520; 577.019393; 577.688873; 578.097641; 577.849686; 577.742457; 577.703118; 577.686548; 577.913880; 577.799976; 578.300297; 579.044521; 578.273773; 577.676475; 578.165352; 578.373909; 577.374339; 576.308191; 575.446606; 575.269043; 575.094998; 574.685454; 574.746192; 574.576914; 574.363887; 574.175715; 574.008167; 574.512839; 573.868573; 572.270393; 570.830584; 570.138276; 569.964111; 569.746137; 569.055438; 567.977369; 567.319632; 566.501617; 566.076875; 565.721929; 565.231442; 564.697742; 564.137638; 563.852668; 564.206004; 564.486265; 564.157128; 563.844144; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2151.0; 10:11:36; (); (); (); (); (); (); (); (); (); 593.476832; 592.421532; 591.494739; 591.013193; 590.016365; 588.922501; 588.030756; 587.319672; 586.009622; 584.577382; 583.798349; 583.790541; 584.120393; 584.974289; 584.894538; 584.871292; 585.619986; 586.083651; 586.313009; 587.109506; 588.103771; 588.730931; 589.017689; 589.016259; 588.988602; 587.879300; 587.626934; 587.151468; 586.390257; 586.273730; 585.812032; 583.983183; 581.915796; 580.841362; 579.783916; 578.589261; 577.985466; 577.602863; 577.326298; 577.389598; 577.678621; 577.558100; 577.794433; 577.491760; 577.034056; 577.181458; 578.143299; 579.910040; 580.837309; 581.414759; 581.912518; 582.018793; 582.217216; 582.270086; 581.902146; 581.979811; 582.424223; 582.371771; 582.221448; 581.623197; 580.545545; 579.174578; 577.447653; 576.448441; 576.109469; 575.173140; 574.222207; 573.693037; 573.868990; 573.809147; 572.768927; 570.865095; 569.956243; 569.924414; 570.871830; 572.251379; 573.236346; 574.141562; 574.735105; 574.977994; 576.579392; 577.064574; 576.357007; 575.801551; 575.613499; 576.149523; 577.094078; 577.667654; 578.142703; 577.985287; 577.553988; 576.730072; 575.683296; 574.344993; 573.055208; 570.911407; 569.158316; 568.528831; 567.862272; 567.284703; 566.134870; 565.193117; 564.332426; 562.507153; 561.381817; 561.099052; 560.914457; 560.540199; 561.021805; 561.066568; 561.725378; 562.872887; 563.184738; 562.941730; 562.453866; 562.531769; 562.687993; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
