Roll Number; 1
Recipe Name; FP 4524_285 GSM
Start Time; 2018-03-21; 11:17:08
File Name; D:\Mahlo\TR\180321111708FP 4524_285 GSM1_XMF2.txt

1714.0; 11:17:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 840.285778; 831.563854; 756.134081; 686.362839; 628.895330; 573.802614; 527.629757; 492.852449; 452.094221; 391.203117; 330.312991; 277.034926; 231.368375; 178.091061; 117.202687; 56.314385; 6.843464; 3.043298; 3.048384; 3.052814; 3.057343; 3.061057; 3.064414; 3.067957; 3.070982; 3.073153; 3.074324; 3.074636; 3.075009; 3.075870; 3.077280; 3.079238; 3.081545; 3.083237; 3.084129; 3.085403; 3.087697; 3.089955; 3.091310; 3.092435; 3.093731; 3.095247; 3.096700; 3.097643; 3.098029; 3.097546; 3.096624; 3.095961; 3.095392; 3.094390; 3.093291; 3.091922; 3.090419; 3.089829; 3.090584; 3.091640; 3.092646; 3.093699; 3.094567; 3.095738; 3.097746; 3.100433; 3.102879; 3.104776; 3.106748; 3.109002; 3.111277; 3.113315; 3.114605; 3.114756; 3.114475; 3.114443; 3.114807; 3.115824; 3.116817; 3.117885; 3.117967; 3.117601; 3.117491; 3.117340; 3.117397; 3.117591; 3.117874; 3.118092; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1716.6; 11:17:29; (); (); (); (); (); (); (); 2.942292; 2.945602; 2.949422; 2.953108; 2.956683; 2.959490; 2.963535; 2.969044; 2.974877; 2.978905; 2.982293; 2.984685; 2.986303; 2.989044; 2.990912; 2.992693; 2.994393; 2.995491; 2.995813; 2.995565; 2.994991; 2.993355; 2.992138; 2.992634; 2.994842; 2.997596; 2.999883; 3.002149; 3.004268; 3.005732; 3.006827; 3.007581; 3.007936; 3.008066; 3.008174; 3.008602; 3.009318; 3.009764; 3.009225; 3.008147; 3.007576; 3.007726; 3.007950; 3.008311; 3.009717; 3.012150; 3.014830; 3.019152; 3.024479; 3.029056; 3.032276; 3.035496; 3.039325; 3.043063; 3.046909; 3.050660; 3.054165; 3.057496; 3.060950; 3.064362; 3.066776; 3.068121; 3.068841; 3.070068; 3.072570; 3.075380; 3.077952; 3.080574; 3.082802; 3.085274; 3.087163; 3.088418; 3.089510; 3.090620; 3.091841; 3.092833; 3.093576; 3.093901; 3.094013; 3.093982; 3.093912; 3.094061; 3.094465; 3.095116; 3.095914; 3.096989; 3.098445; 3.099245; 3.099008; 3.099011; 3.099660; 3.100910; 3.102920; 3.107296; 3.111509; 3.114982; 3.118231; 3.121206; 3.123987; 3.127038; 3.129756; 3.131506; 3.133792; 3.136700; 3.139927; 3.143968; 3.148378; 3.151655; 3.151655; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1718.7; 11:17:37; (); (); (); (); (); (); (); 2.899180; 2.898357; 2.895793; 2.893759; 2.892107; 2.890494; 2.889382; 2.888632; 2.887995; 2.887746; 2.888049; 2.889011; 2.890963; 2.893551; 2.896749; 2.902059; 2.907909; 2.914538; 2.923936; 2.932523; 2.942884; 2.953900; 2.962404; 2.971616; 2.981463; 2.990642; 2.998930; 3.005194; 3.010468; 3.014939; 3.018164; 3.020467; 3.021207; 3.021110; 3.021007; 3.020816; 3.019619; 3.017838; 3.016918; 3.016059; 3.016082; 3.021445; 3.027428; 3.033441; 3.040645; 3.047455; 3.054363; 3.062667; 3.070103; 3.077203; 3.084990; 3.093304; 3.101063; 3.108575; 3.117053; 3.123904; 3.126149; 3.128902; 3.132214; 3.136376; 3.141487; 3.146739; 3.152775; 3.160136; 3.167070; 3.174210; 3.181575; 3.187213; 3.192507; 3.198132; 3.203332; 3.207926; 3.211671; 3.214338; 3.216052; 3.217077; 3.217435; 3.217142; 3.216428; 3.214794; 3.212574; 3.210228; 3.207713; 3.205664; 3.203495; 3.200934; 3.197701; 3.193804; 3.189683; 3.185290; 3.181276; 3.176991; 3.171976; 3.167266; 3.163880; 3.161807; 3.161276; 3.161705; 3.162493; 3.163957; 3.166096; 3.168989; 3.173254; 3.178742; 3.183820; 3.189310; 3.195852; 3.201719; 3.207584; 3.213882; 3.217807; 3.219714; 3.220483; 3.220510; 3.221563; 3.222880; 3.223644; 3.223641; 3.223325; 3.222138; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1720.8; 11:17:46; (); (); (); (); (); (); (); 3.054251; 3.060655; 3.066473; 3.070614; 3.075068; 3.079711; 3.082949; 3.089247; 3.097752; 3.105505; 3.111183; 3.115639; 3.120353; 3.124473; 3.128378; 3.132214; 3.134395; 3.135982; 3.137777; 3.139211; 3.139747; 3.140219; 3.140579; 3.141086; 3.142156; 3.144113; 3.146328; 3.148117; 3.149594; 3.150792; 3.151562; 3.152884; 3.154302; 3.155785; 3.157669; 3.159652; 3.161819; 3.164253; 3.166897; 3.169362; 3.171499; 3.173771; 3.176267; 3.178832; 3.181687; 3.186065; 3.190083; 3.194157; 3.198006; 3.200975; 3.203160; 3.203931; 3.203523; 3.201997; 3.199603; 3.196944; 3.194035; 3.190523; 3.186927; 3.182985; 3.177559; 3.171650; 3.166199; 3.160649; 3.155098; 3.151468; 3.149774; 3.149486; 3.150903; 3.152901; 3.154640; 3.156369; 3.157886; 3.159491; 3.161344; 3.163189; 3.165319; 3.168593; 3.172740; 3.176301; 3.179167; 3.181611; 3.183124; 3.183768; 3.184827; 3.187167; 3.190240; 3.194300; 3.199495; 3.204158; 3.208723; 3.213307; 3.217945; 3.222118; 3.225811; 3.230025; 3.233619; 3.236830; 3.240781; 3.244037; 3.246236; 3.247540; 3.247786; 3.247496; 3.245313; 3.236393; 3.227801; 3.219213; 3.209233; 3.200310; 3.191312; 3.181258; 3.172839; 3.166511; 3.159481; 3.151597; 3.142586; 3.133434; 3.124299; 3.114488; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1722.9; 11:17:55; (); (); (); (); (); (); (); 3.026197; 3.026529; 3.027292; 3.028240; 3.029030; 3.029554; 3.030369; 3.031585; 3.032875; 3.034762; 3.037448; 3.040055; 3.044039; 3.048518; 3.052307; 3.057138; 3.062461; 3.067363; 3.071503; 3.075947; 3.080874; 3.086285; 3.091567; 3.096274; 3.101394; 3.105148; 3.107975; 3.110558; 3.112474; 3.113720; 3.114741; 3.116050; 3.117654; 3.119786; 3.121751; 3.123363; 3.125263; 3.126967; 3.128910; 3.130845; 3.132987; 3.135581; 3.138163; 3.140752; 3.143002; 3.144912; 3.146136; 3.146635; 3.146804; 3.146604; 3.146132; 3.145035; 3.143611; 3.142099; 3.140661; 3.140273; 3.140324; 3.140584; 3.141741; 3.143794; 3.146978; 3.151893; 3.156906; 3.162035; 3.167930; 3.174239; 3.180667; 3.187089; 3.193716; 3.198642; 3.202264; 3.205476; 3.207821; 3.209747; 3.210900; 3.211143; 3.211070; 3.211036; 3.211536; 3.212471; 3.213564; 3.214652; 3.216083; 3.218045; 3.221104; 3.225335; 3.229782; 3.234502; 3.239522; 3.243703; 3.246915; 3.249778; 3.251656; 3.252779; 3.253726; 3.254445; 3.254703; 3.254226; 3.253454; 3.252390; 3.250708; 3.248670; 3.245827; 3.242492; 3.239535; 3.238780; 3.238293; 3.237693; 3.237289; 3.236325; 3.235080; 3.233567; 3.232405; 3.231358; 3.230610; 3.230058; 3.229784; 3.229975; 3.230882; 3.230654; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1733.3; 11:18:39; (); (); (); (); (); (); (); 2.982045; 2.982624; 2.985209; 2.987671; 2.990080; 2.992371; 2.994186; 2.996037; 2.999123; 3.002515; 3.006464; 3.011688; 3.016857; 3.022530; 3.028654; 3.035268; 3.043113; 3.048760; 3.055092; 3.061663; 3.067400; 3.073072; 3.078100; 3.082307; 3.086238; 3.090418; 3.093447; 3.095515; 3.096861; 3.097321; 3.096958; 3.095724; 3.094183; 3.092941; 3.091856; 3.090638; 3.089635; 3.089924; 3.091432; 3.092838; 3.094146; 3.095672; 3.098052; 3.100769; 3.103743; 3.107389; 3.111229; 3.115382; 3.119908; 3.123665; 3.127669; 3.131953; 3.135657; 3.139144; 3.142514; 3.145516; 3.148520; 3.152752; 3.157652; 3.162747; 3.168730; 3.175618; 3.181700; 3.187710; 3.194610; 3.201105; 3.206173; 3.211125; 3.216485; 3.220646; 3.224550; 3.228772; 3.231534; 3.233378; 3.234173; 3.233834; 3.233051; 3.231583; 3.230282; 3.229212; 3.228464; 3.228197; 3.227977; 3.227811; 3.228371; 3.229275; 3.229999; 3.230343; 3.230713; 3.231328; 3.231953; 3.232425; 3.232753; 3.232914; 3.232896; 3.232567; 3.231967; 3.231373; 3.230969; 3.229870; 3.228288; 3.227248; 3.226680; 3.225660; 3.224448; 3.223405; 3.222968; 3.223119; 3.223231; 3.222799; 3.221831; 3.220727; 3.219432; 3.217984; 3.217459; 3.217058; 3.216303; 3.215452; 3.215341; 3.215673; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1735.3; 11:18:48; (); (); (); (); (); (); (); 3.052360; 3.057612; 3.063289; 3.067592; 3.071909; 3.077007; 3.082227; 3.088361; 3.095396; 3.102859; 3.109017; 3.114862; 3.120781; 3.126604; 3.132921; 3.138378; 3.142296; 3.145598; 3.148926; 3.151445; 3.153434; 3.155183; 3.157359; 3.160091; 3.163201; 3.167776; 3.173824; 3.179583; 3.185001; 3.190535; 3.195832; 3.200763; 3.205292; 3.209615; 3.213773; 3.218352; 3.222608; 3.225034; 3.226257; 3.225821; 3.224368; 3.222197; 3.219023; 3.215313; 3.210993; 3.206453; 3.202166; 3.198160; 3.194873; 3.191213; 3.187355; 3.183025; 3.179691; 3.177625; 3.176361; 3.176465; 3.176774; 3.177274; 3.178383; 3.180173; 3.184126; 3.189240; 3.193736; 3.198538; 3.205191; 3.211273; 3.217239; 3.223403; 3.229649; 3.235392; 3.240018; 3.245081; 3.249918; 3.253824; 3.255867; 3.255469; 3.253978; 3.251983; 3.249684; 3.247060; 3.244084; 3.240761; 3.237433; 3.234256; 3.230999; 3.228263; 3.226497; 3.225497; 3.225283; 3.227010; 3.230014; 3.233067; 3.235546; 3.238681; 3.242717; 3.246234; 3.249546; 3.252714; 3.256843; 3.261553; 3.265507; 3.270039; 3.274154; 3.276580; 3.275740; 3.272351; 3.269044; 3.264755; 3.260044; 3.254858; 3.249330; 3.244507; 3.239948; 3.236701; 3.233021; 3.227362; 3.220297; 3.212411; 3.205099; 3.200407; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1737.4; 11:18:56; (); (); (); (); (); (); (); 3.077263; 3.073142; 3.064531; 3.057617; 3.051229; 3.046625; 3.042910; 3.039921; 3.035799; 3.030498; 3.025581; 3.021692; 3.018240; 3.014698; 3.012136; 3.010007; 3.010726; 3.015620; 3.020784; 3.026940; 3.032625; 3.038258; 3.043658; 3.048698; 3.054588; 3.060302; 3.064828; 3.069153; 3.074120; 3.077943; 3.081585; 3.085205; 3.087527; 3.089638; 3.091678; 3.093129; 3.094636; 3.096736; 3.098964; 3.101090; 3.102870; 3.104099; 3.104753; 3.104802; 3.104627; 3.103880; 3.102837; 3.102012; 3.101038; 3.100225; 3.099347; 3.098670; 3.098468; 3.098381; 3.098866; 3.099951; 3.102092; 3.105650; 3.109950; 3.114353; 3.119718; 3.126050; 3.133158; 3.142022; 3.150051; 3.158055; 3.165845; 3.170937; 3.175265; 3.179783; 3.183722; 3.187264; 3.190526; 3.193555; 3.196323; 3.198864; 3.201342; 3.202992; 3.204393; 3.206015; 3.208270; 3.212292; 3.218215; 3.224190; 3.230016; 3.235306; 3.239705; 3.243615; 3.247261; 3.250619; 3.253031; 3.254097; 3.254514; 3.254207; 3.253276; 3.251794; 3.249612; 3.246827; 3.243862; 3.241679; 3.241016; 3.241376; 3.241873; 3.242530; 3.243232; 3.244093; 3.245239; 3.246528; 3.247897; 3.249082; 3.250112; 3.250882; 3.251058; 3.251236; 3.251952; 3.252011; 3.251267; 3.249979; 3.248095; 3.245730; 3.244321; (); (); (); (); (); (); (); (); (); (); (); (); 
1739.4; 11:19:05; (); (); (); (); (); (); (); 3.033845; 3.037174; 3.041315; 3.045672; 3.049590; 3.052894; 3.055670; 3.059396; 3.065026; 3.068849; 3.070764; 3.071926; 3.073037; 3.073909; 3.075125; 3.076544; 3.076892; 3.076347; 3.075280; 3.074526; 3.074073; 3.073970; 3.074298; 3.074872; 3.076049; 3.078796; 3.081880; 3.084760; 3.087150; 3.088817; 3.090511; 3.092726; 3.095772; 3.099010; 3.101021; 3.102238; 3.103691; 3.105883; 3.108234; 3.110782; 3.114001; 3.117609; 3.121190; 3.125715; 3.132233; 3.138551; 3.144652; 3.150841; 3.157724; 3.166352; 3.174234; 3.182926; 3.191307; 3.198462; 3.206472; 3.212637; 3.218475; 3.224899; 3.229755; 3.233798; 3.238182; 3.242224; 3.245917; 3.249398; 3.252101; 3.254214; 3.256473; 3.258685; 3.260970; 3.263323; 3.264915; 3.265396; 3.265721; 3.265951; 3.265057; 3.263164; 3.260468; 3.257461; 3.254373; 3.251269; 3.247962; 3.244372; 3.239974; 3.235049; 3.230258; 3.225955; 3.223024; 3.220164; 3.217387; 3.215137; 3.213719; 3.212681; 3.211699; 3.211037; 3.210164; 3.209368; 3.209390; 3.210589; 3.212177; 3.213828; 3.215373; 3.216323; 3.217787; 3.219571; 3.220609; 3.220028; 3.219326; 3.218832; 3.218139; 3.217370; 3.216677; 3.215731; 3.214399; 3.213276; 3.212070; 3.210653; 3.209326; 3.207123; 3.203950; 3.201159; 3.200928; (); (); (); (); (); (); (); (); (); (); (); (); 
1741.5; 11:19:14; (); (); (); (); (); (); (); 2.980633; 2.980827; 2.981699; 2.982889; 2.985017; 2.987538; 2.989720; 2.992330; 2.995313; 2.998931; 3.003921; 3.009222; 3.015552; 3.023693; 3.031383; 3.039379; 3.047824; 3.057848; 3.067601; 3.075328; 3.082568; 3.089797; 3.097951; 3.104872; 3.111399; 3.118071; 3.123157; 3.125982; 3.127821; 3.129575; 3.131348; 3.132527; 3.133314; 3.134554; 3.136446; 3.139258; 3.142862; 3.147640; 3.152421; 3.157733; 3.164100; 3.170025; 3.176699; 3.184766; 3.192232; 3.199932; 3.207267; 3.214419; 3.221878; 3.227723; 3.231739; 3.234876; 3.236972; 3.237812; 3.237786; 3.237423; 3.237183; 3.237061; 3.236872; 3.236587; 3.235251; 3.232381; 3.229238; 3.225661; 3.220889; 3.216362; 3.211979; 3.207441; 3.202540; 3.196330; 3.189805; 3.183995; 3.178410; 3.173329; 3.168089; 3.164177; 3.162771; 3.162715; 3.163851; 3.166853; 3.171228; 3.177055; 3.185535; 3.195857; 3.206065; 3.216953; 3.229333; 3.239310; 3.248759; 3.259583; 3.267854; 3.274240; 3.279342; 3.283503; 3.287252; 3.289581; 3.290275; 3.289690; 3.288034; 3.286022; 3.283709; 3.281216; 3.278425; 3.275442; 3.271744; 3.267986; 3.264998; 3.262579; 3.260105; 3.256852; 3.253826; 3.250742; 3.246464; 3.241934; 3.239021; 3.236882; 3.234537; 3.231881; 3.229390; 3.226455; 3.224082; (); (); (); (); (); (); (); (); (); (); (); (); 
1743.6; 11:19:23; (); (); (); (); (); (); (); 3.082286; 3.085661; 3.091171; 3.095787; 3.099843; 3.104344; 3.108679; 3.113159; 3.119350; 3.124287; 3.127963; 3.131782; 3.135091; 3.137326; 3.139230; 3.140787; 3.141694; 3.142130; 3.142534; 3.142739; 3.142906; 3.143146; 3.143971; 3.145702; 3.148791; 3.153957; 3.159578; 3.166186; 3.174523; 3.182029; 3.189872; 3.199588; 3.209024; 3.218020; 3.226274; 3.234462; 3.242498; 3.250558; 3.259650; 3.266892; 3.273055; 3.279135; 3.283837; 3.287947; 3.292615; 3.297498; 3.301344; 3.304994; 3.308500; 3.309986; 3.310357; 3.309274; 3.306365; 3.302795; 3.299543; 3.295489; 3.291530; 3.287666; 3.283560; 3.278762; 3.272002; 3.265605; 3.259278; 3.252492; 3.247310; 3.243774; 3.242094; 3.241780; 3.242272; 3.242597; 3.242185; 3.241275; 3.240726; 3.240317; 3.239756; 3.239400; 3.239132; 3.238714; 3.238011; 3.236710; 3.234822; 3.232055; 3.228676; 3.224846; 3.220817; 3.218301; 3.216546; 3.214569; 3.212488; 3.211052; 3.210165; 3.209751; 3.210077; 3.210889; 3.212352; 3.213539; 3.214394; 3.215524; 3.217239; 3.219029; 3.219891; 3.219917; 3.219843; 3.220443; 3.220778; 3.215019; 3.208221; 3.202676; 3.195896; 3.187810; 3.179929; 3.172672; 3.166655; 3.162093; 3.156821; 3.151997; 3.146905; 3.141051; 3.131929; 3.123405; 3.123405; (); (); (); (); (); (); (); (); (); (); (); (); 
