Roll Number; 1
Recipe Name; FP 4524_285 GSM
Start Time; 2018-03-21; 11:17:08
File Name; D:\Mahlo\TR\180321111708FP 4524_285 GSM1_THICKNESS2.txt

1714.0; 11:17:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.829160; 0.827999; 0.827250; 0.826431; 0.824538; 0.821619; 0.820363; 0.818840; 0.817190; 0.818322; 0.816777; 0.811306; 0.806676; 0.804585; 0.802276; 0.803954; 0.807390; 0.809858; 0.811633; 0.813934; 0.816389; 0.814958; 0.812614; 0.811416; 0.810287; 0.811302; 0.813892; 0.814259; 0.813156; 0.814155; 0.814590; 0.811971; 0.807351; 0.802847; 0.799865; 0.798562; 0.803355; 0.811743; 0.818495; 0.823331; 0.826811; 0.828893; 0.829751; 0.830769; 0.831669; 0.830354; 0.831694; 0.832902; 0.834627; 0.835627; 0.834650; 0.831476; 0.825465; 0.820687; 0.819573; 0.816334; 0.814199; 0.814446; 0.814768; 0.813625; 0.813666; 0.813863; 0.817337; 0.821568; 0.825092; 0.829240; 0.832381; 0.836422; 0.838366; 0.835840; 0.837840; 0.840021; 0.840630; 0.841160; 0.842481; 0.841388; 0.841196; 0.839799; 0.837343; 0.834735; 0.832397; 0.830363; 0.826873; 0.824027; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1716.6; 11:17:29; (); (); (); (); (); (); (); 0.852247; 0.849721; 0.849881; 0.849809; 0.849103; 0.848298; 0.846304; 0.842029; 0.836088; 0.832198; 0.831269; 0.829558; 0.828283; 0.824724; 0.822682; 0.820787; 0.818691; 0.815695; 0.813242; 0.813559; 0.815147; 0.817266; 0.821944; 0.827231; 0.827829; 0.823595; 0.822118; 0.823120; 0.824554; 0.826676; 0.829866; 0.831621; 0.830491; 0.831630; 0.830887; 0.827626; 0.824023; 0.821875; 0.819394; 0.820345; 0.823689; 0.825476; 0.825743; 0.824430; 0.823609; 0.823154; 0.823778; 0.826606; 0.825215; 0.823588; 0.825996; 0.828523; 0.827786; 0.829233; 0.827491; 0.826328; 0.826882; 0.827291; 0.828819; 0.825832; 0.824534; 0.824744; 0.826000; 0.829795; 0.833007; 0.834439; 0.839070; 0.843341; 0.843029; 0.844304; 0.844080; 0.842510; 0.840749; 0.841177; 0.844736; 0.844967; 0.844223; 0.843453; 0.840338; 0.837385; 0.834576; 0.830835; 0.829396; 0.832625; 0.834030; 0.834003; 0.834420; 0.834280; 0.833116; 0.833892; 0.835236; 0.836504; 0.837509; 0.837586; 0.836876; 0.840245; 0.842736; 0.842487; 0.840306; 0.837014; 0.837468; 0.838979; 0.840654; 0.841255; 0.839994; 0.839455; 0.836298; 0.835497; 0.836588; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1718.7; 11:17:37; (); (); (); (); (); (); (); 0.860865; 0.864750; 0.867228; 0.864471; 0.860685; 0.862884; 0.862969; 0.860121; 0.858337; 0.857583; 0.855266; 0.854927; 0.851487; 0.847905; 0.843670; 0.836165; 0.830205; 0.825558; 0.824500; 0.824673; 0.820817; 0.819994; 0.822912; 0.825319; 0.826662; 0.828892; 0.827216; 0.824087; 0.823313; 0.823802; 0.824908; 0.826208; 0.826485; 0.826541; 0.827305; 0.828296; 0.827255; 0.827376; 0.826856; 0.826050; 0.826486; 0.828914; 0.834763; 0.833147; 0.829834; 0.828479; 0.825680; 0.826663; 0.827229; 0.826818; 0.826271; 0.825557; 0.822805; 0.821681; 0.819854; 0.817317; 0.816452; 0.814637; 0.819026; 0.823848; 0.827596; 0.831683; 0.833013; 0.832534; 0.831968; 0.831950; 0.832679; 0.832871; 0.835976; 0.841170; 0.844016; 0.843484; 0.843824; 0.841797; 0.839694; 0.839296; 0.838876; 0.836467; 0.839345; 0.842050; 0.843721; 0.844395; 0.845400; 0.841503; 0.837151; 0.835598; 0.835916; 0.834902; 0.835969; 0.838173; 0.838645; 0.838109; 0.839964; 0.837509; 0.834718; 0.833674; 0.833489; 0.829883; 0.830593; 0.829785; 0.827660; 0.826353; 0.826665; 0.828169; 0.828378; 0.829592; 0.831940; 0.832024; 0.831787; 0.833036; 0.831954; 0.830502; 0.834582; 0.836268; 0.838124; 0.841008; 0.844376; 0.846327; 0.844667; 0.842400; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1720.8; 11:17:46; (); (); (); (); (); (); (); 0.853021; 0.856706; 0.859200; 0.859930; 0.859866; 0.860098; 0.858840; 0.857507; 0.854344; 0.848182; 0.842868; 0.839561; 0.838841; 0.838663; 0.835906; 0.831020; 0.826248; 0.821541; 0.818403; 0.813190; 0.809326; 0.808300; 0.808426; 0.808161; 0.809541; 0.813182; 0.815143; 0.815256; 0.813384; 0.814103; 0.813827; 0.815153; 0.815945; 0.815402; 0.819326; 0.818839; 0.815325; 0.812364; 0.812557; 0.813270; 0.811621; 0.808645; 0.806602; 0.807153; 0.806286; 0.806802; 0.808445; 0.809831; 0.809548; 0.808305; 0.808060; 0.808481; 0.806968; 0.804110; 0.804619; 0.806193; 0.806112; 0.805873; 0.806555; 0.809142; 0.809572; 0.810249; 0.812412; 0.814903; 0.819027; 0.825710; 0.830902; 0.837081; 0.843102; 0.845399; 0.846065; 0.847042; 0.846887; 0.846002; 0.846385; 0.847792; 0.845223; 0.842775; 0.841553; 0.838951; 0.833852; 0.831707; 0.828124; 0.825436; 0.824958; 0.827816; 0.829775; 0.832368; 0.834612; 0.834422; 0.833391; 0.833587; 0.833526; 0.833097; 0.834375; 0.839226; 0.838286; 0.836695; 0.834395; 0.831623; 0.826082; 0.821659; 0.817714; 0.814453; 0.812809; 0.814498; 0.814117; 0.814181; 0.814953; 0.813834; 0.809727; 0.812049; 0.816640; 0.818340; 0.819277; 0.823008; 0.827052; 0.830136; 0.833859; 0.837100; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1722.9; 11:17:55; (); (); (); (); (); (); (); 0.841432; 0.843690; 0.843832; 0.848095; 0.851061; 0.851640; 0.851280; 0.851629; 0.853470; 0.854379; 0.853035; 0.850712; 0.849137; 0.847985; 0.847315; 0.846704; 0.845155; 0.842980; 0.836772; 0.832700; 0.830949; 0.831522; 0.831238; 0.833339; 0.832449; 0.831918; 0.832807; 0.833259; 0.832498; 0.832625; 0.832712; 0.832702; 0.832135; 0.834448; 0.835965; 0.834989; 0.831408; 0.828726; 0.823456; 0.821282; 0.824301; 0.829096; 0.831557; 0.829630; 0.827365; 0.824252; 0.821707; 0.822242; 0.819935; 0.816550; 0.815095; 0.815832; 0.817805; 0.820003; 0.820597; 0.816772; 0.811433; 0.805836; 0.803505; 0.804787; 0.807648; 0.810921; 0.813154; 0.817318; 0.822763; 0.825498; 0.825012; 0.823591; 0.824221; 0.821679; 0.821162; 0.823556; 0.826852; 0.827294; 0.826148; 0.822988; 0.818363; 0.813897; 0.812758; 0.812445; 0.812980; 0.814892; 0.816510; 0.815220; 0.818302; 0.818782; 0.818316; 0.819494; 0.823289; 0.824118; 0.827038; 0.831155; 0.830902; 0.828025; 0.826356; 0.828662; 0.830288; 0.829084; 0.826642; 0.821971; 0.820975; 0.821127; 0.820979; 0.821673; 0.824472; 0.825360; 0.825443; 0.825815; 0.824220; 0.821445; 0.818259; 0.815873; 0.815454; 0.818373; 0.822254; 0.823778; 0.824122; 0.823399; 0.819233; 0.813928; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1733.3; 11:18:39; (); (); (); (); (); (); (); 0.875155; 0.878765; 0.881343; 0.881606; 0.880889; 0.881632; 0.883198; 0.882690; 0.881344; 0.881338; 0.880933; 0.876749; 0.874073; 0.871516; 0.867606; 0.862694; 0.856037; 0.852585; 0.849303; 0.848159; 0.846183; 0.841643; 0.841846; 0.842635; 0.841526; 0.839092; 0.840406; 0.841654; 0.841197; 0.841200; 0.841451; 0.840893; 0.841126; 0.839693; 0.836125; 0.833495; 0.833550; 0.830741; 0.827362; 0.827444; 0.828068; 0.826713; 0.826275; 0.829025; 0.829705; 0.829688; 0.832823; 0.831769; 0.835213; 0.837161; 0.837880; 0.839085; 0.838406; 0.839681; 0.838114; 0.835285; 0.835055; 0.834591; 0.833340; 0.835584; 0.838622; 0.839529; 0.840220; 0.839471; 0.841892; 0.844356; 0.845379; 0.846308; 0.847624; 0.850001; 0.851493; 0.851505; 0.851897; 0.850177; 0.845112; 0.839823; 0.834952; 0.830039; 0.825851; 0.822174; 0.818607; 0.818039; 0.820195; 0.820303; 0.819558; 0.820898; 0.823098; 0.823999; 0.825337; 0.829178; 0.833544; 0.838334; 0.840912; 0.844360; 0.849122; 0.850708; 0.850156; 0.849737; 0.850642; 0.849394; 0.847671; 0.846878; 0.846166; 0.846134; 0.843808; 0.840435; 0.837471; 0.836601; 0.834332; 0.830604; 0.830736; 0.830844; 0.829643; 0.829657; 0.831023; 0.830679; 0.830894; 0.832213; 0.832652; 0.836425; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1735.3; 11:18:48; (); (); (); (); (); (); (); 0.847958; 0.848814; 0.851455; 0.853663; 0.850984; 0.850400; 0.851867; 0.851560; 0.848569; 0.843670; 0.845103; 0.844685; 0.843977; 0.843197; 0.843343; 0.840991; 0.837252; 0.833541; 0.830594; 0.830491; 0.828125; 0.824362; 0.823393; 0.825101; 0.827843; 0.831081; 0.834390; 0.833071; 0.829852; 0.829380; 0.832201; 0.835308; 0.836582; 0.837197; 0.838837; 0.839627; 0.838651; 0.839405; 0.840012; 0.838839; 0.837251; 0.837293; 0.839748; 0.840678; 0.838244; 0.835664; 0.833930; 0.831750; 0.830346; 0.830432; 0.830344; 0.832198; 0.832600; 0.831936; 0.830363; 0.829250; 0.827066; 0.824521; 0.823403; 0.822997; 0.822383; 0.822178; 0.820689; 0.820820; 0.821984; 0.824742; 0.822774; 0.821636; 0.823629; 0.827989; 0.829131; 0.830245; 0.831166; 0.830485; 0.829299; 0.828495; 0.827193; 0.830694; 0.832546; 0.833151; 0.830787; 0.831717; 0.831381; 0.829706; 0.827685; 0.825468; 0.824278; 0.824470; 0.825888; 0.828246; 0.831653; 0.834156; 0.833167; 0.832232; 0.832023; 0.832773; 0.834321; 0.834538; 0.833664; 0.835371; 0.837808; 0.837284; 0.837517; 0.837343; 0.835369; 0.833319; 0.831693; 0.830141; 0.828076; 0.827973; 0.829506; 0.829446; 0.829938; 0.829248; 0.827588; 0.825930; 0.826340; 0.826522; 0.828692; 0.831626; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1737.4; 11:18:56; (); (); (); (); (); (); (); 0.901643; 0.901822; 0.898875; 0.894971; 0.892931; 0.894338; 0.893183; 0.891069; 0.890857; 0.888466; 0.881503; 0.874577; 0.868762; 0.863296; 0.857831; 0.853457; 0.852180; 0.853352; 0.853474; 0.850615; 0.847339; 0.846042; 0.845092; 0.844929; 0.846776; 0.848008; 0.852090; 0.856088; 0.859842; 0.862529; 0.860205; 0.856598; 0.853759; 0.853591; 0.856696; 0.858283; 0.858769; 0.858519; 0.856066; 0.852075; 0.850159; 0.845661; 0.842163; 0.840500; 0.840367; 0.841875; 0.841880; 0.839077; 0.834166; 0.828594; 0.822359; 0.820590; 0.822589; 0.824753; 0.824691; 0.824215; 0.825149; 0.821954; 0.818313; 0.816860; 0.815930; 0.814741; 0.818338; 0.822994; 0.826055; 0.830757; 0.830420; 0.827417; 0.824872; 0.824240; 0.824304; 0.823948; 0.825113; 0.826327; 0.827157; 0.827888; 0.825022; 0.822374; 0.822305; 0.824552; 0.824390; 0.826586; 0.828601; 0.829946; 0.830673; 0.832722; 0.833523; 0.833931; 0.835107; 0.837355; 0.840526; 0.846158; 0.846578; 0.844297; 0.841743; 0.839636; 0.835908; 0.836288; 0.834739; 0.830410; 0.825386; 0.823502; 0.824140; 0.823474; 0.822391; 0.821942; 0.819670; 0.819045; 0.818075; 0.816778; 0.815526; 0.815255; 0.814500; 0.816724; 0.821729; 0.825117; 0.827528; 0.827715; 0.827329; 0.824090; 0.821808; (); (); (); (); (); (); (); (); (); (); (); (); 
1739.4; 11:19:05; (); (); (); (); (); (); (); 0.881608; 0.881265; 0.882138; 0.882204; 0.879796; 0.877728; 0.876742; 0.876188; 0.872457; 0.867547; 0.862624; 0.857808; 0.854343; 0.852637; 0.850168; 0.847575; 0.845614; 0.842131; 0.836372; 0.833095; 0.832599; 0.831464; 0.830981; 0.832546; 0.831730; 0.833883; 0.836223; 0.836812; 0.835457; 0.834852; 0.833367; 0.830007; 0.827643; 0.830212; 0.832515; 0.831543; 0.829760; 0.827992; 0.827083; 0.828201; 0.830804; 0.833941; 0.837012; 0.837956; 0.838156; 0.839017; 0.842734; 0.847059; 0.849117; 0.849143; 0.846308; 0.844502; 0.842168; 0.838301; 0.836602; 0.835277; 0.829806; 0.824746; 0.826045; 0.830239; 0.831164; 0.829784; 0.826573; 0.823457; 0.826452; 0.834297; 0.838169; 0.839309; 0.839918; 0.840928; 0.841670; 0.843342; 0.843768; 0.842253; 0.837428; 0.836327; 0.837493; 0.839205; 0.838800; 0.833880; 0.827799; 0.824936; 0.826258; 0.828319; 0.828062; 0.826857; 0.829222; 0.832086; 0.834194; 0.835086; 0.834203; 0.832813; 0.833641; 0.835876; 0.837506; 0.838191; 0.841340; 0.844810; 0.845406; 0.844850; 0.843933; 0.841673; 0.838632; 0.835663; 0.835523; 0.838057; 0.838394; 0.837304; 0.836495; 0.838015; 0.840112; 0.838081; 0.838106; 0.838891; 0.839056; 0.839854; 0.842251; 0.844722; 0.847815; 0.850078; 0.849906; (); (); (); (); (); (); (); (); (); (); (); (); 
1741.5; 11:19:14; (); (); (); (); (); (); (); 0.853296; 0.853972; 0.856175; 0.857072; 0.856861; 0.856574; 0.855838; 0.854684; 0.855721; 0.857464; 0.857600; 0.854841; 0.850597; 0.845921; 0.842258; 0.837384; 0.832995; 0.831095; 0.828296; 0.824315; 0.821620; 0.820768; 0.820965; 0.821337; 0.823020; 0.822532; 0.821862; 0.821547; 0.820424; 0.820197; 0.822365; 0.824790; 0.824289; 0.825224; 0.825896; 0.824590; 0.822153; 0.819953; 0.814710; 0.809279; 0.809345; 0.811693; 0.812153; 0.812920; 0.814073; 0.813181; 0.811083; 0.808826; 0.806984; 0.808202; 0.809969; 0.812145; 0.813415; 0.813042; 0.813758; 0.813418; 0.812803; 0.813132; 0.813500; 0.814846; 0.818274; 0.822769; 0.827026; 0.831427; 0.835262; 0.837057; 0.837298; 0.837381; 0.840937; 0.845548; 0.845657; 0.845912; 0.847110; 0.847749; 0.844002; 0.838926; 0.834766; 0.830712; 0.826994; 0.823600; 0.822945; 0.823106; 0.824024; 0.825523; 0.823038; 0.822366; 0.821012; 0.820594; 0.821618; 0.824479; 0.825992; 0.827212; 0.829102; 0.829586; 0.830754; 0.832610; 0.833321; 0.832330; 0.829848; 0.830699; 0.831288; 0.832338; 0.832541; 0.832817; 0.834989; 0.838748; 0.841050; 0.840876; 0.840224; 0.840668; 0.837450; 0.837581; 0.840256; 0.843703; 0.845190; 0.847145; 0.848878; 0.850441; 0.850703; 0.848991; 0.847992; (); (); (); (); (); (); (); (); (); (); (); (); 
1743.6; 11:19:23; (); (); (); (); (); (); (); 0.877420; 0.881401; 0.882525; 0.881333; 0.880156; 0.877509; 0.875186; 0.874103; 0.874467; 0.874158; 0.871810; 0.865819; 0.859603; 0.852309; 0.843414; 0.836898; 0.830818; 0.826142; 0.823308; 0.822965; 0.822861; 0.823118; 0.819378; 0.816316; 0.815615; 0.816827; 0.821631; 0.825546; 0.829939; 0.832791; 0.832553; 0.830967; 0.829812; 0.827157; 0.825911; 0.825276; 0.822921; 0.824107; 0.823685; 0.822177; 0.821528; 0.816505; 0.812938; 0.810295; 0.807987; 0.806388; 0.806903; 0.807327; 0.809172; 0.809743; 0.808585; 0.808109; 0.809588; 0.810543; 0.810766; 0.809815; 0.808957; 0.808770; 0.808107; 0.807913; 0.809242; 0.809969; 0.810881; 0.808991; 0.805497; 0.803903; 0.805363; 0.804915; 0.805334; 0.806033; 0.807685; 0.810067; 0.809782; 0.811322; 0.812529; 0.812199; 0.813355; 0.812582; 0.813465; 0.816096; 0.817464; 0.815204; 0.812909; 0.810750; 0.809928; 0.810738; 0.812053; 0.812329; 0.813883; 0.817560; 0.821895; 0.825982; 0.829843; 0.830180; 0.828082; 0.827017; 0.828595; 0.830721; 0.834276; 0.837805; 0.839830; 0.840286; 0.840892; 0.841323; 0.839153; 0.834936; 0.832145; 0.828962; 0.829082; 0.832072; 0.835430; 0.837114; 0.840827; 0.842507; 0.840504; 0.838973; 0.839376; 0.841112; 0.839989; 0.842878; 0.845736; (); (); (); (); (); (); (); (); (); (); (); (); 
