Roll Number; 1
Recipe Name; FP 4524_285 GSM
Start Time; 2018-03-21; 11:17:08
File Name; D:\Mahlo\TR\180321111708FP 4524_285 GSM1_FMI2.txt

1714.0; 11:17:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 299.281478; 299.020112; 298.461944; 297.897220; 296.735197; 295.487046; 295.413762; 295.502603; 294.435978; 293.070257; 292.081505; 291.262120; 291.134208; 291.190684; 291.208357; 291.700512; 291.181207; 290.497124; 290.087938; 290.598989; 291.192353; 290.605962; 290.081471; 290.567517; 290.769100; 291.030258; 290.848166; 290.121585; 289.639205; 289.042711; 288.453192; 288.589567; 288.748801; 288.521707; 288.238913; 287.936121; 288.065255; 288.386315; 288.878262; 289.055318; 288.944870; 288.928539; 289.179772; 289.443076; 289.912373; 289.774805; 289.414287; 289.508730; 290.165931; 290.086955; 289.918184; 289.631516; 288.613647; 287.312090; 287.439197; 287.482053; 287.717432; 287.736267; 287.504435; 286.888570; 286.273181; 286.592603; 286.729902; 286.778390; 287.069589; 287.047058; 287.067682; 287.333488; 287.669659; 287.654042; 287.329257; 286.741734; 286.379814; 285.866827; 285.468578; 285.330027; 284.944534; 284.482867; 284.013659; 283.630878; 283.584535; 283.614665; 283.632547; 283.768743; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1716.6; 11:17:29; (); (); (); (); (); (); (); 308.436781; 308.014750; 307.715297; 307.314783; 307.472616; 307.662606; 307.619423; 307.612628; 307.320386; 306.090474; 304.752469; 303.955615; 303.485721; 302.732438; 302.204639; 301.724672; 301.180691; 300.403982; 299.711883; 298.479140; 297.732264; 296.746671; 296.210945; 297.066212; 298.797548; 299.716949; 299.931496; 299.718291; 299.640715; 299.205273; 298.781693; 298.563629; 298.651278; 298.611820; 298.543960; 298.312187; 298.653305; 298.641413; 297.601163; 296.469986; 296.016663; 296.160102; 296.265751; 296.040088; 296.472847; 297.101408; 297.326386; 297.689945; 298.407853; 298.396379; 298.070133; 297.630280; 297.637641; 297.679722; 297.982275; 297.316939; 296.171218; 295.844644; 295.700788; 295.129299; 294.319391; 293.261647; 291.687340; 291.222423; 292.000681; 292.887509; 292.755246; 292.570412; 292.308569; 291.936249; 291.929245; 291.577965; 290.964484; 290.357679; 290.313184; 290.221334; 290.456474; 290.584922; 290.082961; 289.462686; 288.753957; 288.792223; 288.631231; 288.709402; 288.760960; 288.835734; 289.402604; 289.352119; 288.825303; 288.405478; 288.903803; 289.491296; 289.821804; 289.774328; 289.231390; 288.879752; 288.643181; 288.220227; 287.887901; 287.597507; 287.691504; 287.563026; 287.826508; 288.590521; 288.830876; 288.485616; 287.929535; 287.809014; 287.865937; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1718.7; 11:17:37; (); (); (); (); (); (); (); 311.401278; 311.286330; 311.251611; 311.201572; 311.261922; 310.960829; 310.462803; 309.376419; 308.570594; 307.390004; 306.447119; 305.026829; 303.678006; 302.737564; 301.225692; 299.332798; 298.236519; 297.533453; 297.033280; 296.174794; 295.048892; 294.779360; 295.106232; 295.010626; 295.076907; 295.261174; 295.554698; 295.830280; 296.389669; 296.816319; 297.204673; 297.868252; 297.650486; 297.031820; 296.807319; 297.174841; 296.999395; 296.427697; 295.993507; 295.899898; 296.325177; 296.501100; 296.670556; 296.521246; 296.418160; 296.678245; 296.564341; 296.588600; 296.575934; 296.448916; 295.732021; 295.351267; 295.150638; 294.828385; 294.227868; 293.311179; 292.525709; 291.028619; 290.171981; 289.606750; 288.325220; 287.558168; 287.003666; 286.245465; 286.400229; 287.006289; 287.493378; 287.769675; 287.913352; 287.984192; 287.627399; 287.381828; 288.022459; 288.370758; 288.223565; 288.228154; 288.030535; 288.391620; 289.056033; 289.789945; 290.336519; 290.488243; 290.786445; 291.064888; 291.271359; 292.262405; 293.413758; 293.681473; 293.861121; 294.287533; 294.461131; 294.356406; 293.986320; 293.257117; 291.703552; 290.326834; 289.830506; 289.210796; 288.797885; 288.342834; 287.434161; 286.816150; 286.704212; 286.399573; 286.292106; 286.143750; 285.900652; 285.555393; 286.041617; 287.374228; 288.569838; 289.286792; 290.549576; 291.864514; 292.327255; 292.859375; 293.260455; 293.706000; 294.388860; 295.871347; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1720.8; 11:17:46; (); (); (); (); (); (); (); 305.559546; 305.454880; 305.670619; 305.982620; 305.931598; 305.991054; 305.864513; 305.746198; 305.723220; 305.476189; 304.383755; 302.897424; 301.559985; 301.010400; 300.298899; 299.568266; 298.364758; 297.455162; 296.792567; 296.393901; 295.428455; 294.768244; 294.592470; 294.213444; 294.564396; 294.916332; 295.490652; 295.458585; 294.672370; 294.306368; 294.030100; 294.529259; 294.931889; 294.546187; 294.215769; 294.325262; 294.199198; 294.054389; 293.896109; 293.329954; 292.985857; 292.280465; 292.437702; 292.621464; 292.597860; 292.947263; 293.040246; 292.717874; 292.713076; 292.160481; 291.591823; 291.213334; 290.620446; 290.444553; 289.880514; 289.449990; 289.551407; 289.386243; 289.234698; 288.766384; 288.006872; 287.146837; 286.990136; 286.880523; 287.422538; 288.548499; 289.648116; 290.662497; 291.928053; 292.918772; 293.343425; 293.580651; 293.754309; 294.025898; 294.234574; 294.361442; 294.491470; 294.601202; 295.024782; 295.009762; 294.138312; 292.821020; 291.915089; 290.693253; 290.448457; 290.805787; 291.072756; 291.487008; 291.831791; 291.900933; 291.835636; 291.587383; 290.848672; 289.871395; 289.588720; 289.350003; 289.437085; 289.442271; 289.568484; 289.383471; 288.510829; 287.232071; 286.101222; 285.512686; 285.300553; 285.308093; 284.968495; 284.678191; 284.759015; 284.335941; 284.268349; 284.245372; 284.919560; 284.878701; 284.438133; 284.754097; 285.156190; 285.460144; 285.655260; 285.978794; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1722.9; 11:17:55; (); (); (); (); (); (); (); 305.096745; 304.506898; 304.390907; 304.629266; 304.398626; 303.784847; 303.520977; 303.498805; 302.613765; 301.426589; 300.463915; 299.946994; 299.198478; 298.287809; 298.041523; 298.160434; 298.047125; 297.963738; 297.332555; 296.869040; 296.654582; 296.478927; 296.127290; 296.082318; 296.270043; 296.722323; 296.634644; 296.667367; 296.862036; 296.620309; 295.863658; 295.554161; 294.944853; 294.635653; 294.410139; 294.174373; 293.713123; 293.309242; 293.259054; 293.465078; 292.952001; 293.064862; 293.325484; 293.693632; 294.151008; 294.808030; 294.940531; 294.860870; 295.039982; 295.498908; 296.153128; 295.912117; 295.500755; 294.726133; 293.419629; 292.800248; 292.260468; 291.318119; 289.877892; 288.852036; 287.983984; 287.567377; 287.505478; 287.533641; 287.090063; 286.534429; 287.063062; 287.412852; 288.232684; 288.799673; 289.066494; 289.013296; 288.925260; 288.990110; 288.634181; 288.128763; 287.413239; 286.587149; 285.982072; 285.576552; 285.126746; 284.677893; 284.430057; 284.001529; 283.177078; 282.609761; 282.552570; 283.019543; 283.604950; 284.789592; 284.774363; 285.157681; 285.286844; 284.845263; 284.759402; 285.063028; 285.522580; 285.418808; 285.357296; 285.916328; 286.273211; 286.632866; 287.001878; 286.434144; 285.185963; 285.693109; 285.685569; 285.939097; 286.519229; 287.000567; 286.913961; 286.692411; 287.441760; 288.375437; 288.518548; 288.656622; 288.547635; 288.619697; 289.896309; 290.942669; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1733.3; 11:18:39; (); (); (); (); (); (); (); 307.880819; 307.416528; 307.416201; 307.185203; 306.891680; 306.648344; 306.044221; 305.426389; 304.662198; 303.788692; 302.809000; 301.898390; 301.171064; 300.464630; 299.652845; 299.013644; 298.943520; 298.646480; 298.187762; 297.898889; 298.233628; 298.898518; 299.265236; 298.810154; 298.568368; 298.870206; 299.501330; 299.935460; 300.284207; 300.803006; 301.201999; 300.843775; 300.140023; 299.870878; 299.866259; 299.011558; 297.768533; 296.956509; 296.715021; 296.522796; 296.367228; 296.017855; 295.645535; 295.801938; 295.679212; 294.957280; 294.627368; 294.355512; 294.206470; 293.487042; 292.906880; 292.866051; 292.692363; 292.313784; 291.884094; 291.062057; 289.703935; 288.667738; 287.152916; 286.374599; 285.875142; 285.406351; 285.287917; 285.137951; 285.230339; 285.333931; 285.392314; 285.747886; 286.142945; 286.176980; 286.057174; 286.245853; 286.481619; 286.952198; 287.092894; 287.272483; 287.313938; 286.957771; 286.381423; 285.858184; 285.565257; 285.828412; 285.646230; 285.154849; 284.885943; 285.366327; 285.945445; 285.921574; 286.092728; 286.383450; 286.769539; 286.906272; 286.748499; 286.495984; 286.398768; 286.522597; 286.385328; 286.520839; 286.809683; 286.792547; 286.478639; 286.799490; 287.497640; 287.735611; 287.535578; 286.881477; 286.619127; 286.836147; 287.296712; 287.800729; 288.161993; 288.370878; 288.519531; 288.702011; 289.177597; 289.485008; 288.955390; 288.193196; 287.701935; 288.370728; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1735.3; 11:18:48; (); (); (); (); (); (); (); 300.541341; 301.904231; 302.911431; 302.751422; 302.780360; 303.117394; 303.811014; 304.432750; 304.685712; 303.925604; 303.884953; 303.445637; 302.936882; 302.204669; 301.258773; 300.365001; 299.049526; 297.912180; 297.015399; 296.321630; 295.324594; 294.093996; 293.511540; 293.601960; 293.872654; 294.171959; 294.444621; 293.935806; 293.123811; 292.675734; 292.676806; 292.691171; 292.596370; 292.561889; 292.232841; 291.974336; 291.691780; 291.132927; 290.121734; 288.967282; 288.005143; 287.065983; 286.427379; 286.305130; 285.973161; 285.381615; 285.278201; 286.013752; 286.285192; 286.230773; 286.211282; 286.118656; 286.779732; 287.895530; 288.666844; 289.516926; 290.114105; 290.264100; 290.671259; 290.982842; 291.433692; 291.793615; 291.238248; 290.889710; 291.277707; 291.630507; 291.691810; 291.511297; 291.247994; 291.130096; 290.183485; 289.582402; 289.924890; 289.412916; 288.870364; 287.225723; 285.641491; 284.814358; 284.466773; 283.813030; 283.049017; 283.272147; 282.829523; 282.484829; 282.633424; 283.355474; 283.522099; 283.655226; 284.228861; 285.086125; 286.724061; 287.237495; 287.127763; 287.178248; 287.504017; 287.277192; 286.793590; 286.653608; 286.785066; 286.857575; 286.834002; 286.683232; 285.886675; 284.877390; 283.710033; 283.333093; 283.387512; 283.604920; 283.439517; 282.719791; 282.274932; 282.051861; 282.338589; 282.116055; 281.596482; 280.719757; 280.223548; 280.479580; 281.282187; 281.965703; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1737.4; 11:18:56; (); (); (); (); (); (); (); 309.574723; 309.562534; 309.420943; 309.207737; 309.018642; 308.563918; 308.136821; 307.670027; 307.557881; 306.753457; 306.112498; 305.409938; 304.932058; 303.896070; 303.333372; 302.310854; 301.546872; 301.050067; 300.524056; 299.966931; 299.935609; 299.907923; 299.909770; 299.303412; 299.337000; 299.271494; 298.672915; 298.355997; 298.323303; 297.771931; 298.059613; 298.227578; 298.017055; 298.033059; 297.845215; 297.432423; 296.861112; 296.521097; 296.749413; 297.109663; 297.788769; 298.150599; 298.444986; 298.890680; 299.358577; 299.446583; 299.351454; 299.282968; 299.313396; 299.101382; 297.927976; 296.934366; 296.439469; 295.744240; 294.894665; 293.748319; 293.121845; 292.554021; 291.752636; 290.734977; 289.477795; 288.373560; 287.743002; 287.446529; 287.750781; 289.084524; 290.215909; 290.399671; 290.095329; 289.243221; 289.247096; 289.234370; 288.657159; 287.910670; 287.329912; 286.681354; 286.269307; 285.610437; 284.849524; 284.026176; 283.217341; 282.398015; 281.911850; 282.463610; 283.563703; 283.829957; 283.784181; 283.901393; 284.196734; 284.872830; 285.626322; 285.958856; 286.310017; 286.322385; 286.111206; 285.858035; 285.927385; 285.797358; 284.852177; 283.705771; 283.200532; 283.064753; 283.069998; 283.296049; 283.594072; 283.866256; 284.281552; 284.660101; 284.727007; 284.854650; 285.225242; 285.764188; 286.160558; 286.873281; 287.511438; 287.829280; 288.133115; 288.607538; 288.753182; 288.452059; 288.733095; (); (); (); (); (); (); (); (); (); (); (); (); 
1739.4; 11:19:05; (); (); (); (); (); (); (); 309.908032; 310.005635; 309.966177; 309.442163; 309.499711; 309.645832; 309.393525; 308.853567; 307.875872; 306.164235; 304.933220; 304.236829; 303.588450; 303.009957; 302.495509; 302.335769; 301.550120; 300.709605; 299.824119; 298.996419; 298.367411; 298.277527; 298.878580; 299.359083; 300.005257; 301.148564; 302.151680; 301.986098; 301.671565; 300.949097; 300.153941; 300.264597; 300.937146; 301.197469; 300.229043; 299.143463; 298.765957; 298.641711; 298.698992; 298.789859; 298.324496; 297.462374; 297.372580; 297.565222; 297.974765; 298.045933; 297.444403; 296.744317; 296.446443; 296.928853; 297.209650; 296.750665; 295.947075; 295.366347; 294.995636; 294.122219; 292.986900; 292.339861; 291.620821; 290.227890; 288.767338; 288.362324; 287.783206; 286.862850; 286.211789; 285.777330; 285.522670; 285.319507; 285.051227; 284.728080; 284.701794; 284.677178; 284.134597; 284.130782; 283.972830; 283.431649; 282.691896; 282.322317; 282.284349; 282.616436; 282.846898; 282.435030; 282.226920; 281.903893; 281.745911; 282.242686; 283.563614; 283.871651; 283.806205; 284.631938; 285.618424; 286.288738; 286.491156; 286.843449; 286.759615; 286.731571; 287.152022; 288.053215; 288.780183; 288.805634; 288.257152; 287.492394; 287.712008; 287.983626; 287.785411; 287.737399; 287.667930; 288.113326; 287.878484; 287.723482; 287.912488; 287.698776; 287.098944; 286.670685; 286.381394; 286.261171; 286.329508; 286.051065; 285.668641; 285.966873; 286.087811; (); (); (); (); (); (); (); (); (); (); (); (); 
1741.5; 11:19:14; (); (); (); (); (); (); (); 309.003621; 308.856666; 307.889283; 306.806952; 306.160778; 305.667251; 305.138350; 304.500788; 303.580821; 302.317500; 300.631970; 299.213886; 298.209727; 297.560453; 297.002524; 295.770228; 295.107365; 294.994444; 295.217842; 295.035899; 294.607967; 294.336021; 294.208407; 294.012517; 294.122875; 294.896513; 295.792073; 295.560658; 294.818103; 294.616729; 294.648618; 293.961972; 292.995632; 291.785121; 290.274531; 288.998097; 287.964970; 286.913872; 286.184251; 286.010712; 285.926074; 285.647094; 285.665959; 285.626262; 284.648359; 283.983648; 284.038275; 283.956259; 284.073889; 284.854561; 285.525978; 286.027104; 286.385238; 286.545992; 286.462545; 286.108285; 285.788774; 286.032796; 286.246628; 287.018329; 288.035423; 288.630545; 289.290428; 290.328801; 291.220039; 291.948736; 292.856187; 293.729126; 294.596672; 294.713974; 294.243395; 293.436170; 292.919785; 292.558253; 290.860772; 288.965762; 287.916690; 286.870718; 285.565406; 284.043819; 282.810867; 281.478226; 280.520022; 279.771984; 279.216558; 279.475182; 279.954582; 279.656917; 279.488504; 280.533135; 281.272948; 281.589210; 281.691134; 281.672060; 282.022297; 282.608241; 282.877862; 282.668769; 282.417119; 282.666087; 282.753825; 283.476710; 284.211248; 284.659714; 284.518212; 284.707367; 284.925133; 285.244673; 285.820454; 286.290467; 287.224442; 288.510680; 289.584279; 291.186005; 291.996717; 292.424649; 292.088211; 292.056262; 292.872101; 294.422746; 295.724660; (); (); (); (); (); (); (); (); (); (); (); (); 
1743.6; 11:19:23; (); (); (); (); (); (); (); 301.154166; 301.519424; 302.180171; 302.643865; 302.911252; 303.307146; 303.316742; 303.116292; 302.574605; 301.558524; 300.309509; 299.643397; 299.648643; 298.999876; 298.115313; 297.465712; 296.798021; 295.531631; 294.536948; 293.623775; 292.967886; 292.412609; 291.970819; 292.441517; 293.235213; 294.225663; 294.567585; 294.908792; 295.218885; 295.061588; 294.796199; 294.924140; 294.700265; 293.743312; 293.203950; 292.689830; 292.038947; 291.362882; 290.571362; 289.740354; 288.416952; 287.021130; 285.964400; 285.050094; 284.327656; 283.859968; 282.982290; 282.610744; 282.674819; 281.870991; 281.074166; 280.684710; 280.024827; 279.337168; 279.091030; 279.298007; 279.327840; 279.206067; 279.113412; 278.981388; 278.027654; 277.571172; 277.708024; 277.923346; 279.077351; 280.145466; 281.366140; 282.692790; 283.764362; 284.341693; 284.183025; 283.950269; 284.179419; 284.551442; 284.960151; 285.568446; 286.201566; 286.298305; 286.418289; 285.883546; 285.116613; 284.476727; 283.873737; 283.460915; 283.612251; 284.376264; 285.001546; 285.127252; 285.220653; 285.667002; 286.305755; 286.583036; 286.864191; 286.975354; 287.280411; 287.419289; 287.410587; 288.100123; 288.715959; 288.936824; 288.499534; 287.645161; 287.482142; 287.750393; 288.125575; 287.816256; 287.440598; 286.749154; 286.224693; 285.635203; 285.618365; 286.251217; 286.969423; 286.940664; 286.296099; 286.533952; 287.309885; 287.745148; 287.372261; 286.700696; 286.657572; (); (); (); (); (); (); (); (); (); (); (); (); 
