Roll Number; 2
Recipe Name; FP 4524_285 GSM
Start Time; 2018-03-21; 14:15:47
File Name; D:\Mahlo\TR\180321141547FP 4524_285 GSM2_XMF2.txt

3693.6; 14:15:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.816901; 1.891344; 2.045959; 2.171815; 2.291165; 2.379164; 2.454652; 2.532745; 2.628518; 2.733585; 2.853579; 2.958603; 3.063688; 3.168798; 3.273970; 3.394222; 3.469326; 3.468981; 3.468693; 3.468494; 3.468172; 3.467342; 3.466417; 3.465584; 3.464897; 3.464633; 3.464546; 3.464599; 3.464543; 3.464174; 3.463879; 3.464034; 3.464568; 3.465148; 3.466288; 3.467923; 3.469531; 3.471425; 3.473623; 3.475678; 3.477062; 3.478160; 3.479007; 3.479839; 3.480812; 3.481887; 3.482983; 3.484197; 3.485496; 3.486419; 3.487223; 3.488210; 3.489062; 3.490325; 3.492003; 3.494066; 3.496790; 3.500723; 3.505148; 3.509223; 3.512831; 3.515776; 3.517570; 3.519258; 3.520991; 3.522369; 3.523758; 3.525488; 3.526792; 3.528047; 3.528970; 3.529078; 3.528297; 3.527007; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3696.3; 14:16:08; (); (); (); (); (); (); (); 3.248311; 3.250013; 3.252319; 3.253758; 3.255008; 3.256292; 3.257556; 3.258900; 3.261403; 3.264124; 3.266967; 3.269651; 3.272215; 3.274536; 3.276438; 3.278204; 3.280187; 3.282820; 3.285598; 3.288535; 3.291444; 3.294453; 3.298587; 3.302449; 3.306052; 3.309989; 3.313377; 3.316813; 3.320806; 3.324982; 3.328472; 3.331067; 3.332732; 3.333995; 3.335194; 3.336369; 3.337128; 3.337105; 3.336985; 3.337122; 3.337288; 3.337134; 3.336727; 3.337894; 3.345219; 3.352166; 3.360145; 3.370692; 3.381224; 3.390034; 3.398448; 3.407808; 3.417212; 3.425086; 3.432522; 3.441076; 3.449143; 3.456447; 3.463501; 3.465180; 3.466235; 3.466606; 3.465737; 3.465131; 3.464981; 3.464810; 3.464747; 3.464794; 3.465220; 3.466210; 3.467106; 3.467430; 3.467226; 3.467043; 3.467324; 3.468195; 3.469681; 3.471402; 3.473200; 3.474858; 3.477043; 3.479912; 3.482313; 3.484153; 3.485720; 3.487447; 3.489977; 3.492394; 3.494115; 3.495481; 3.496310; 3.496755; 3.497455; 3.497382; 3.495597; 3.493377; 3.491278; 3.489313; 3.487444; 3.485963; 3.484006; 3.481702; 3.480164; 3.478825; 3.477306; 3.475694; 3.473805; 3.470613; 3.469162; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3698.5; 14:16:16; (); (); (); (); (); (); (); 3.229218; 3.229425; 3.232209; 3.235320; 3.238758; 3.243003; 3.246714; 3.250157; 3.254357; 3.259558; 3.265296; 3.270735; 3.276496; 3.283337; 3.289498; 3.295817; 3.302116; 3.306758; 3.310907; 3.313231; 3.314430; 3.315014; 3.315010; 3.314474; 3.313204; 3.311106; 3.308984; 3.306711; 3.303823; 3.301210; 3.298574; 3.295914; 3.293425; 3.291474; 3.290820; 3.290724; 3.290898; 3.292100; 3.294365; 3.297457; 3.300806; 3.303165; 3.305271; 3.307983; 3.310519; 3.312984; 3.315358; 3.318042; 3.320037; 3.321103; 3.321951; 3.322601; 3.322402; 3.321448; 3.320913; 3.321425; 3.323031; 3.324769; 3.326447; 3.328172; 3.330056; 3.331713; 3.333155; 3.335319; 3.338614; 3.342295; 3.346946; 3.353165; 3.359531; 3.365292; 3.369675; 3.373671; 3.377458; 3.380905; 3.384801; 3.388194; 3.391815; 3.396198; 3.400205; 3.403846; 3.406306; 3.407588; 3.408487; 3.408742; 3.408654; 3.408551; 3.408386; 3.408260; 3.408343; 3.408330; 3.408002; 3.407007; 3.405506; 3.403658; 3.401656; 3.399768; 3.397638; 3.396111; 3.394668; 3.393126; 3.391596; 3.390001; 3.387996; 3.385530; 3.382959; 3.380206; 3.377616; 3.375133; 3.373092; 3.370992; 3.368638; 3.366562; 3.364633; 3.362656; 3.361395; 3.360015; 3.358531; 3.356944; 3.355729; 3.355123; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3700.7; 14:16:25; (); (); (); (); (); (); 3.253067; 3.255789; 3.259728; 3.262399; 3.264489; 3.266238; 3.267721; 3.269713; 3.273159; 3.276866; 3.281128; 3.284900; 3.288535; 3.292227; 3.294867; 3.296997; 3.299288; 3.301536; 3.304158; 3.307521; 3.310848; 3.314266; 3.317732; 3.321357; 3.325517; 3.328533; 3.330866; 3.333254; 3.335427; 3.337675; 3.340548; 3.343015; 3.344610; 3.345685; 3.346086; 3.345894; 3.345560; 3.345048; 3.344089; 3.342950; 3.342769; 3.343235; 3.343447; 3.343191; 3.342935; 3.342460; 3.342451; 3.343060; 3.343936; 3.345156; 3.346413; 3.347326; 3.347883; 3.348403; 3.348659; 3.348037; 3.347283; 3.346818; 3.346304; 3.345403; 3.344050; 3.341867; 3.338817; 3.335851; 3.333005; 3.329849; 3.326887; 3.324073; 3.320932; 3.317880; 3.315610; 3.313418; 3.311260; 3.309795; 3.309606; 3.310599; 3.312119; 3.314410; 3.317776; 3.321606; 3.325597; 3.330784; 3.337475; 3.344155; 3.351438; 3.359699; 3.366943; 3.373815; 3.380246; 3.385806; 3.390886; 3.395784; 3.400654; 3.404341; 3.407598; 3.410484; 3.411839; 3.412425; 3.412146; 3.411012; 3.409636; 3.408143; 3.406775; 3.405597; 3.404819; 3.403586; 3.399190; 3.393756; 3.388453; 3.383829; 3.379313; 3.374447; 3.370403; 3.366867; 3.364111; 3.361722; 3.359473; 3.356322; 3.351718; 3.345906; 3.341194; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3702.9; 14:16:34; (); (); (); (); (); (); 3.229319; 3.229319; 3.228879; 3.228536; 3.228663; 3.228931; 3.229134; 3.229339; 3.229862; 3.230716; 3.231965; 3.233733; 3.235569; 3.237631; 3.240002; 3.241995; 3.244090; 3.247191; 3.250420; 3.253042; 3.255660; 3.259001; 3.262093; 3.264667; 3.266842; 3.268435; 3.269618; 3.270724; 3.271875; 3.273784; 3.276203; 3.278246; 3.279999; 3.281703; 3.283731; 3.285813; 3.287964; 3.290359; 3.293400; 3.296741; 3.300475; 3.305134; 3.309290; 3.312673; 3.316220; 3.320283; 3.324706; 3.328670; 3.333104; 3.338333; 3.342519; 3.346603; 3.351630; 3.356227; 3.361419; 3.366593; 3.370904; 3.375340; 3.380196; 3.385887; 3.390420; 3.394550; 3.399083; 3.403984; 3.410003; 3.416405; 3.421833; 3.426870; 3.431915; 3.436354; 3.439826; 3.442830; 3.445192; 3.446416; 3.447466; 3.448387; 3.449190; 3.449253; 3.447361; 3.444106; 3.440576; 3.436576; 3.432187; 3.427432; 3.421588; 3.415583; 3.410614; 3.406288; 3.402385; 3.398429; 3.393739; 3.389048; 3.385573; 3.382820; 3.380820; 3.379780; 3.379172; 3.379582; 3.381298; 3.383696; 3.386268; 3.388772; 3.391360; 3.393660; 3.395555; 3.397609; 3.399622; 3.400618; 3.400848; 3.400467; 3.399504; 3.397863; 3.394967; 3.391032; 3.387937; 3.385795; 3.383731; 3.381089; 3.378276; 3.375218; 3.370973; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3705.1; 14:16:43; (); (); (); (); (); (); 3.229319; 3.270229; 3.274162; 3.277585; 3.280488; 3.282967; 3.285249; 3.287371; 3.291874; 3.296281; 3.300497; 3.304459; 3.307214; 3.309485; 3.312073; 3.314415; 3.316620; 3.318451; 3.319778; 3.320837; 3.321869; 3.323053; 3.324682; 3.326819; 3.328808; 3.330592; 3.333043; 3.335964; 3.338296; 3.339980; 3.341505; 3.343100; 3.345553; 3.348706; 3.351226; 3.353235; 3.354641; 3.355373; 3.355888; 3.356200; 3.356084; 3.355014; 3.353775; 3.352992; 3.352776; 3.352699; 3.352025; 3.350350; 3.348067; 3.346276; 3.344800; 3.343662; 3.342880; 3.342071; 3.341483; 3.341548; 3.341855; 3.341886; 3.341519; 3.340743; 3.339717; 3.339102; 3.339055; 3.338994; 3.338732; 3.338617; 3.338660; 3.338644; 3.338558; 3.338387; 3.338130; 3.337896; 3.338101; 3.338905; 3.340504; 3.342470; 3.344109; 3.345937; 3.348362; 3.350667; 3.352816; 3.355471; 3.358251; 3.361616; 3.365230; 3.368719; 3.373159; 3.377220; 3.380826; 3.384597; 3.388550; 3.391969; 3.394681; 3.397448; 3.400274; 3.402584; 3.404174; 3.405060; 3.405006; 3.404459; 3.403550; 3.401984; 3.399927; 3.397571; 3.395382; 3.391486; 3.386512; 3.382077; 3.378195; 3.374128; 3.370165; 3.366567; 3.363281; 3.360241; 3.357985; 3.355931; 3.353652; 3.351614; 3.349226; 3.346423; 3.345612; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3707.3; 14:16:52; (); (); (); (); (); (); (); 3.218625; 3.218819; 3.220277; 3.222385; 3.224870; 3.227402; 3.229901; 3.232529; 3.235275; 3.238435; 3.242818; 3.247175; 3.251787; 3.257218; 3.262052; 3.266965; 3.272039; 3.275743; 3.277889; 3.279235; 3.280341; 3.281403; 3.282863; 3.284494; 3.286197; 3.287368; 3.287787; 3.287986; 3.288088; 3.288307; 3.288944; 3.290229; 3.292014; 3.294743; 3.297461; 3.300032; 3.302458; 3.304911; 3.306813; 3.307819; 3.309367; 3.311434; 3.313766; 3.316515; 3.319313; 3.322313; 3.324852; 3.327302; 3.329680; 3.331994; 3.334387; 3.336959; 3.339461; 3.342487; 3.345876; 3.349557; 3.353607; 3.357288; 3.359940; 3.362299; 3.364542; 3.365761; 3.366705; 3.367821; 3.368101; 3.368043; 3.367379; 3.365964; 3.363729; 3.360647; 3.356727; 3.351888; 3.347094; 3.342231; 3.337196; 3.332416; 3.328349; 3.324871; 3.321100; 3.318186; 3.315496; 3.313859; 3.313152; 3.312844; 3.313046; 3.313953; 3.315679; 3.317931; 3.320847; 3.324863; 3.329280; 3.333015; 3.336072; 3.340289; 3.344774; 3.348295; 3.352091; 3.356188; 3.360564; 3.364089; 3.367167; 3.370842; 3.373589; 3.375464; 3.376903; 3.377724; 3.378762; 3.379767; 3.380154; 3.379777; 3.378428; 3.377529; 3.376606; 3.375115; 3.374425; 3.373858; 3.372737; 3.371645; 3.370908; 3.370299; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3709.5; 14:17:00; (); (); (); (); (); (); (); 3.254890; 3.260446; 3.265143; 3.268449; 3.271386; 3.274126; 3.276440; 3.281052; 3.286606; 3.292584; 3.297028; 3.300444; 3.303492; 3.306443; 3.308920; 3.310654; 3.312061; 3.313034; 3.313963; 3.314869; 3.316229; 3.318354; 3.320576; 3.322471; 3.324186; 3.326150; 3.328404; 3.330607; 3.332120; 3.333393; 3.334956; 3.337494; 3.340083; 3.342779; 3.345596; 3.347653; 3.348331; 3.348131; 3.347756; 3.347150; 3.346354; 3.345504; 3.344920; 3.344461; 3.344304; 3.344232; 3.342989; 3.341547; 3.339881; 3.337580; 3.335924; 3.335555; 3.335949; 3.336689; 3.337412; 3.338074; 3.338792; 3.339505; 3.340664; 3.341497; 3.342214; 3.343365; 3.344825; 3.346803; 3.349270; 3.352221; 3.354867; 3.356910; 3.358756; 3.361374; 3.364219; 3.367328; 3.370637; 3.373631; 3.377121; 3.380430; 3.383730; 3.386947; 3.389287; 3.391584; 3.393966; 3.396267; 3.398395; 3.400551; 3.402559; 3.403982; 3.405079; 3.405356; 3.405091; 3.404564; 3.403871; 3.403322; 3.403202; 3.403169; 3.402338; 3.400734; 3.398716; 3.396626; 3.394089; 3.391550; 3.389229; 3.386024; 3.383154; 3.381118; 3.377746; 3.373230; 3.368565; 3.363748; 3.359120; 3.354505; 3.350795; 3.347306; 3.343618; 3.341312; 3.338953; 3.336237; 3.333650; 3.331051; 3.327732; 3.325028; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3711.7; 14:17:09; (); (); (); (); (); (); (); 3.196030; 3.200470; 3.207223; 3.213674; 3.219013; 3.223141; 3.226755; 3.230932; 3.236872; 3.242378; 3.248164; 3.254958; 3.261091; 3.267425; 3.274881; 3.281556; 3.285028; 3.287690; 3.290319; 3.292876; 3.295018; 3.297030; 3.298871; 3.300386; 3.301676; 3.302815; 3.303925; 3.304353; 3.304217; 3.303420; 3.302205; 3.300350; 3.297186; 3.293608; 3.289912; 3.286740; 3.284261; 3.281755; 3.279642; 3.277871; 3.275901; 3.274105; 3.273095; 3.272912; 3.273476; 3.275184; 3.278085; 3.282496; 3.288760; 3.294757; 3.299789; 3.305414; 3.311817; 3.318272; 3.323871; 3.330154; 3.336726; 3.342722; 3.348502; 3.354023; 3.359533; 3.363466; 3.365825; 3.367427; 3.368658; 3.369453; 3.369855; 3.369943; 3.369673; 3.369139; 3.368443; 3.366952; 3.364644; 3.362391; 3.360207; 3.357903; 3.355868; 3.354113; 3.352696; 3.351840; 3.351567; 3.351492; 3.351393; 3.351751; 3.352379; 3.353205; 3.354815; 3.357252; 3.359722; 3.362548; 3.365624; 3.368877; 3.372393; 3.375522; 3.378258; 3.380964; 3.383809; 3.386850; 3.389458; 3.390862; 3.391891; 3.392315; 3.391659; 3.390475; 3.388768; 3.386329; 3.383858; 3.381612; 3.378823; 3.375542; 3.371965; 3.368508; 3.364515; 3.361253; 3.359446; 3.357597; 3.355484; 3.353658; 3.352100; 3.350965; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3713.9; 14:17:18; (); (); (); (); (); (); (); 3.312668; 3.315521; 3.318985; 3.321984; 3.324424; 3.326357; 3.327793; 3.330489; 3.335509; 3.339207; 3.341849; 3.343742; 3.345384; 3.346401; 3.346471; 3.346469; 3.346579; 3.345955; 3.345029; 3.343827; 3.343219; 3.343046; 3.342620; 3.341993; 3.341540; 3.341412; 3.341567; 3.342001; 3.342830; 3.344372; 3.345884; 3.346927; 3.347907; 3.348744; 3.349491; 3.349846; 3.350080; 3.350443; 3.350688; 3.351049; 3.351438; 3.351703; 3.351887; 3.351767; 3.350914; 3.350091; 3.349929; 3.350333; 3.351441; 3.352674; 3.354011; 3.354704; 3.354736; 3.354388; 3.353636; 3.352790; 3.351807; 3.350307; 3.348676; 3.347765; 3.347073; 3.345758; 3.344000; 3.341640; 3.338652; 3.336108; 3.334197; 3.333489; 3.333202; 3.333484; 3.334043; 3.334777; 3.336185; 3.338061; 3.339452; 3.340678; 3.342808; 3.345558; 3.348542; 3.352340; 3.355422; 3.357873; 3.360411; 3.363116; 3.365757; 3.368683; 3.372445; 3.375764; 3.378604; 3.381022; 3.382923; 3.384543; 3.385183; 3.384918; 3.384455; 3.384455; 3.384454; 3.384098; 3.383109; 3.381280; 3.379076; 3.375860; 3.371354; 3.367474; 3.364206; 3.360992; 3.358442; 3.356349; 3.354681; 3.353063; 3.350982; 3.349008; 3.347496; 3.346315; 3.345036; 3.344050; 3.343677; 3.343966; 3.344497; 3.344674; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3716.1; 14:17:27; (); (); (); (); (); (); (); 3.256597; 3.256331; 3.254738; 3.253421; 3.252384; 3.251499; 3.250767; 3.249904; 3.248491; 3.246972; 3.245514; 3.243962; 3.242764; 3.241722; 3.240799; 3.239977; 3.239468; 3.240298; 3.241621; 3.242872; 3.244185; 3.245750; 3.247570; 3.249992; 3.252732; 3.255667; 3.258716; 3.261694; 3.264911; 3.267667; 3.269738; 3.271414; 3.272774; 3.274027; 3.275278; 3.276964; 3.279505; 3.282089; 3.285012; 3.288382; 3.291862; 3.295855; 3.299722; 3.304054; 3.310112; 3.317418; 3.324642; 3.332493; 3.341440; 3.350184; 3.357274; 3.363452; 3.369340; 3.373555; 3.376365; 3.379884; 3.383373; 3.385734; 3.387523; 3.388502; 3.388542; 3.387181; 3.384976; 3.382096; 3.378562; 3.375171; 3.372477; 3.369969; 3.367302; 3.365229; 3.362877; 3.360224; 3.357812; 3.355575; 3.353776; 3.352001; 3.350604; 3.350318; 3.350994; 3.351899; 3.352561; 3.353138; 3.353879; 3.354906; 3.355941; 3.357062; 3.358291; 3.359122; 3.359288; 3.359296; 3.359535; 3.359760; 3.359425; 3.358260; 3.356864; 3.356257; 3.356259; 3.356594; 3.356781; 3.356883; 3.357583; 3.358861; 3.360676; 3.362535; 3.364513; 3.366837; 3.368751; 3.370889; 3.373885; 3.376059; 3.376913; 3.376935; 3.376607; 3.376728; 3.377419; 3.377572; 3.377228; 3.376609; 3.375890; 3.374580; (); (); (); (); (); (); (); (); (); (); (); (); (); 
