Roll Number; 2
Recipe Name; FP 4524_285 GSM
Start Time; 2018-03-21; 14:15:47
File Name; D:\Mahlo\TR\180321141547FP 4524_285 GSM2_THICKNESS2.txt

3693.6; 14:15:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.808124; 0.809799; 0.810142; 0.808503; 0.807389; 0.807207; 0.807302; 0.807194; 0.808591; 0.809462; 0.809110; 0.808039; 0.806683; 0.806999; 0.807188; 0.807306; 0.807044; 0.805875; 0.807205; 0.808188; 0.809165; 0.811067; 0.812939; 0.812325; 0.814764; 0.819070; 0.823115; 0.826582; 0.826481; 0.826419; 0.826951; 0.828068; 0.829704; 0.831485; 0.833677; 0.834923; 0.835335; 0.834692; 0.834373; 0.831823; 0.829144; 0.826326; 0.823179; 0.822227; 0.822929; 0.823529; 0.824281; 0.824627; 0.823436; 0.821854; 0.819380; 0.816954; 0.817041; 0.817987; 0.820606; 0.822352; 0.823543; 0.825185; 0.828312; 0.830493; 0.829339; 0.827331; 0.826950; 0.827280; 0.829439; 0.832720; 0.835204; 0.836080; 0.835955; 0.834439; 0.834285; 0.835738; 0.836687; 0.835336; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3696.3; 14:16:08; (); (); (); (); (); (); (); 0.816528; 0.816520; 0.815714; 0.814194; 0.813944; 0.815332; 0.814111; 0.812845; 0.812114; 0.811311; 0.810533; 0.810473; 0.811394; 0.812482; 0.811584; 0.810423; 0.810400; 0.810023; 0.809914; 0.810392; 0.807909; 0.809176; 0.812289; 0.814867; 0.816921; 0.816723; 0.815880; 0.814871; 0.813811; 0.815079; 0.816832; 0.818547; 0.820722; 0.822254; 0.821567; 0.823676; 0.823641; 0.822771; 0.822387; 0.823915; 0.826843; 0.830252; 0.831207; 0.830985; 0.829673; 0.828664; 0.827316; 0.826280; 0.826177; 0.826978; 0.826080; 0.825928; 0.825950; 0.824512; 0.821789; 0.818460; 0.815720; 0.816288; 0.818421; 0.820843; 0.822770; 0.824403; 0.824683; 0.824435; 0.824316; 0.826478; 0.826794; 0.828254; 0.828748; 0.827992; 0.828126; 0.828087; 0.827436; 0.826870; 0.826647; 0.827528; 0.828052; 0.829195; 0.830288; 0.830308; 0.828706; 0.827236; 0.825654; 0.826274; 0.828296; 0.828413; 0.829707; 0.829529; 0.828126; 0.826523; 0.823957; 0.820897; 0.821220; 0.821789; 0.821864; 0.823937; 0.828378; 0.829626; 0.829470; 0.829866; 0.830608; 0.829601; 0.830175; 0.830964; 0.831800; 0.833435; 0.835960; 0.834924; 0.835352; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3698.5; 14:16:16; (); (); (); (); (); (); (); 0.824181; 0.824024; 0.823907; 0.825352; 0.828005; 0.831076; 0.832734; 0.834324; 0.834033; 0.832599; 0.829206; 0.824330; 0.822378; 0.824788; 0.826660; 0.826670; 0.825545; 0.825364; 0.823527; 0.820703; 0.817669; 0.815457; 0.814361; 0.814798; 0.816599; 0.819606; 0.822449; 0.823653; 0.820685; 0.819630; 0.820736; 0.822283; 0.823160; 0.824186; 0.824962; 0.825755; 0.825505; 0.824380; 0.824729; 0.824818; 0.824574; 0.825836; 0.826277; 0.825870; 0.824104; 0.821529; 0.818784; 0.816102; 0.812210; 0.809476; 0.807864; 0.806123; 0.804309; 0.801545; 0.798465; 0.795383; 0.793003; 0.793727; 0.795616; 0.798627; 0.801899; 0.804543; 0.805952; 0.809289; 0.812206; 0.813160; 0.816636; 0.819639; 0.823427; 0.826840; 0.829129; 0.830149; 0.829786; 0.827910; 0.825475; 0.824034; 0.824354; 0.825505; 0.825781; 0.826799; 0.825182; 0.821820; 0.819058; 0.817502; 0.818508; 0.821357; 0.822592; 0.823526; 0.827619; 0.831832; 0.834379; 0.835228; 0.835110; 0.834995; 0.834356; 0.836052; 0.839713; 0.842856; 0.845308; 0.843739; 0.842280; 0.843435; 0.842668; 0.839423; 0.838714; 0.837540; 0.835903; 0.835466; 0.836289; 0.837281; 0.837362; 0.836068; 0.834412; 0.832835; 0.832846; 0.832884; 0.831148; 0.830625; 0.832249; 0.831962; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3700.7; 14:16:25; (); (); (); (); (); (); 0.820099; 0.818705; 0.817140; 0.818565; 0.819242; 0.819077; 0.820031; 0.821384; 0.823548; 0.824592; 0.822955; 0.822289; 0.821000; 0.820649; 0.820929; 0.822120; 0.823677; 0.824139; 0.823149; 0.822525; 0.823288; 0.823754; 0.822479; 0.821363; 0.821526; 0.821787; 0.822165; 0.823164; 0.823166; 0.822222; 0.820876; 0.821826; 0.822630; 0.823340; 0.823543; 0.822113; 0.820278; 0.818977; 0.817540; 0.816733; 0.818750; 0.820935; 0.823591; 0.825779; 0.827398; 0.826632; 0.825437; 0.824371; 0.822923; 0.822176; 0.824016; 0.823259; 0.823794; 0.824211; 0.823018; 0.819181; 0.816346; 0.812947; 0.811274; 0.811180; 0.810722; 0.807423; 0.804987; 0.804407; 0.804321; 0.803428; 0.802337; 0.800415; 0.802211; 0.806419; 0.809218; 0.808996; 0.808966; 0.806492; 0.806146; 0.808553; 0.812439; 0.815943; 0.820009; 0.820840; 0.820333; 0.821532; 0.825671; 0.826120; 0.825866; 0.826092; 0.826997; 0.827597; 0.829229; 0.831145; 0.832683; 0.832558; 0.833210; 0.832170; 0.831546; 0.832580; 0.835012; 0.835819; 0.836356; 0.837986; 0.838891; 0.838857; 0.840741; 0.843567; 0.842973; 0.842154; 0.843774; 0.842079; 0.842233; 0.843709; 0.843750; 0.842376; 0.841615; 0.840250; 0.837919; 0.837497; 0.838186; 0.837401; 0.834736; 0.834910; 0.834698; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3702.9; 14:16:34; (); (); (); (); (); (); 0.835752; 0.835175; 0.834693; 0.836976; 0.838899; 0.840382; 0.841975; 0.842676; 0.842118; 0.843796; 0.843641; 0.842179; 0.840436; 0.838990; 0.839597; 0.839648; 0.839702; 0.839154; 0.836046; 0.832423; 0.830011; 0.826239; 0.823064; 0.822645; 0.822394; 0.821226; 0.818892; 0.816424; 0.814768; 0.812914; 0.807792; 0.805677; 0.805066; 0.804845; 0.805967; 0.804716; 0.802760; 0.800597; 0.798452; 0.795940; 0.796451; 0.797154; 0.798108; 0.798921; 0.798531; 0.798171; 0.796795; 0.794594; 0.792609; 0.791636; 0.791499; 0.794349; 0.797299; 0.798066; 0.803203; 0.805449; 0.805362; 0.803601; 0.801650; 0.802994; 0.805430; 0.809491; 0.814180; 0.817580; 0.819565; 0.821293; 0.821453; 0.822955; 0.826398; 0.826203; 0.827302; 0.828488; 0.830460; 0.832426; 0.833488; 0.832955; 0.829760; 0.826839; 0.827508; 0.828918; 0.830414; 0.830989; 0.830092; 0.828863; 0.830135; 0.831237; 0.832404; 0.832432; 0.830729; 0.830449; 0.832303; 0.835009; 0.836878; 0.838035; 0.837636; 0.836956; 0.836694; 0.835520; 0.834170; 0.833566; 0.831308; 0.829442; 0.829227; 0.832371; 0.834120; 0.835555; 0.836743; 0.835796; 0.834105; 0.833304; 0.834120; 0.835295; 0.837278; 0.838546; 0.837724; 0.839083; 0.841135; 0.842697; 0.841628; 0.839232; 0.837568; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3705.1; 14:16:43; (); (); (); (); (); (); 0.835752; 0.851173; 0.847221; 0.842482; 0.840179; 0.839596; 0.839987; 0.839847; 0.838484; 0.837894; 0.837672; 0.835997; 0.832717; 0.831514; 0.830825; 0.829197; 0.826451; 0.827110; 0.829544; 0.830073; 0.829490; 0.828535; 0.827508; 0.824375; 0.820737; 0.819632; 0.819877; 0.819791; 0.818734; 0.819176; 0.821368; 0.822650; 0.823616; 0.823568; 0.823145; 0.822195; 0.820768; 0.821327; 0.823927; 0.824970; 0.824380; 0.822465; 0.821384; 0.819181; 0.816356; 0.813663; 0.812131; 0.808168; 0.803752; 0.801710; 0.801853; 0.803037; 0.801693; 0.802151; 0.802342; 0.801263; 0.800163; 0.800117; 0.803702; 0.806686; 0.809172; 0.812384; 0.816335; 0.820954; 0.823987; 0.826438; 0.828343; 0.829536; 0.827837; 0.829487; 0.832260; 0.834287; 0.834948; 0.834263; 0.833481; 0.832429; 0.831863; 0.831955; 0.832498; 0.833458; 0.833267; 0.832008; 0.831126; 0.832225; 0.831487; 0.831049; 0.832392; 0.834121; 0.836116; 0.839003; 0.840573; 0.839670; 0.836128; 0.833508; 0.834312; 0.835452; 0.836988; 0.838958; 0.839654; 0.840823; 0.841428; 0.841002; 0.839612; 0.838026; 0.835823; 0.835037; 0.837406; 0.841954; 0.841534; 0.840219; 0.838870; 0.838490; 0.839766; 0.840387; 0.840506; 0.840416; 0.840621; 0.841341; 0.842402; 0.843972; 0.845524; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3707.3; 14:16:52; (); (); (); (); (); (); (); 0.833520; 0.831484; 0.827516; 0.826694; 0.827226; 0.826038; 0.825559; 0.825558; 0.826851; 0.826422; 0.824922; 0.822634; 0.820172; 0.818716; 0.818286; 0.815335; 0.814863; 0.817889; 0.819637; 0.819179; 0.817709; 0.816874; 0.816311; 0.816373; 0.816484; 0.817178; 0.818056; 0.818314; 0.817024; 0.815463; 0.815159; 0.816121; 0.816102; 0.815424; 0.815989; 0.819081; 0.819849; 0.819358; 0.819537; 0.820382; 0.821509; 0.821998; 0.823066; 0.824112; 0.825109; 0.826497; 0.824791; 0.822688; 0.821104; 0.820268; 0.818850; 0.819364; 0.821153; 0.822735; 0.823593; 0.823072; 0.824143; 0.824201; 0.824758; 0.826975; 0.828214; 0.829612; 0.830145; 0.830519; 0.831863; 0.834526; 0.836504; 0.837632; 0.837580; 0.836134; 0.837392; 0.839207; 0.840926; 0.840973; 0.839583; 0.839294; 0.840156; 0.842655; 0.844761; 0.843533; 0.840099; 0.838728; 0.836762; 0.836723; 0.836897; 0.833932; 0.831002; 0.831304; 0.832546; 0.834120; 0.834683; 0.832303; 0.830044; 0.829395; 0.831537; 0.834382; 0.835176; 0.835930; 0.835239; 0.835089; 0.837929; 0.838290; 0.837851; 0.837841; 0.838076; 0.839757; 0.843727; 0.845566; 0.845654; 0.845271; 0.844806; 0.845277; 0.844215; 0.845162; 0.846098; 0.845758; 0.847406; 0.847453; 0.847299; 0.844499; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3709.5; 14:17:00; (); (); (); (); (); (); (); 0.831782; 0.829745; 0.828692; 0.829843; 0.831341; 0.831825; 0.831841; 0.832720; 0.834633; 0.834521; 0.833644; 0.832686; 0.830699; 0.826824; 0.824947; 0.825163; 0.826154; 0.825523; 0.824747; 0.823595; 0.822913; 0.822220; 0.821187; 0.819029; 0.817932; 0.818088; 0.817840; 0.816978; 0.817958; 0.818720; 0.818060; 0.817885; 0.818746; 0.817395; 0.816448; 0.816582; 0.817189; 0.817388; 0.816690; 0.816271; 0.816362; 0.817151; 0.817785; 0.817142; 0.818471; 0.818314; 0.815729; 0.813738; 0.813549; 0.810979; 0.809025; 0.808202; 0.806885; 0.805693; 0.806922; 0.808182; 0.809412; 0.811342; 0.811202; 0.808435; 0.810335; 0.814328; 0.817607; 0.818784; 0.822773; 0.826104; 0.827656; 0.829500; 0.831555; 0.831910; 0.832129; 0.832150; 0.832002; 0.832883; 0.836427; 0.837088; 0.836532; 0.834356; 0.832422; 0.830338; 0.828977; 0.829998; 0.830807; 0.829265; 0.829215; 0.829388; 0.828351; 0.828046; 0.829743; 0.827558; 0.827067; 0.828071; 0.830103; 0.832543; 0.834790; 0.836290; 0.835778; 0.835812; 0.839627; 0.840513; 0.840827; 0.843837; 0.845763; 0.845754; 0.849012; 0.848840; 0.847434; 0.847265; 0.849637; 0.851597; 0.852508; 0.853502; 0.854301; 0.853633; 0.854415; 0.855492; 0.854535; 0.853796; 0.854351; 0.853023; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3711.7; 14:17:09; (); (); (); (); (); (); (); 0.825852; 0.826443; 0.825769; 0.824552; 0.824668; 0.826540; 0.826900; 0.826771; 0.828853; 0.830724; 0.832288; 0.833013; 0.831505; 0.830065; 0.828367; 0.826972; 0.826522; 0.826435; 0.826064; 0.824856; 0.823025; 0.823760; 0.824477; 0.825336; 0.823535; 0.819451; 0.816380; 0.815998; 0.816960; 0.817987; 0.818519; 0.818627; 0.818531; 0.819413; 0.820040; 0.819917; 0.817990; 0.817183; 0.817131; 0.818805; 0.822729; 0.826474; 0.830276; 0.830976; 0.829718; 0.828978; 0.830115; 0.830561; 0.831613; 0.831658; 0.831178; 0.831503; 0.831736; 0.831328; 0.830721; 0.828722; 0.823730; 0.820851; 0.821234; 0.823169; 0.823851; 0.823020; 0.823377; 0.823339; 0.824775; 0.826145; 0.825670; 0.824645; 0.823868; 0.824897; 0.827037; 0.828375; 0.828074; 0.826483; 0.824617; 0.824402; 0.826507; 0.826978; 0.826499; 0.827604; 0.828940; 0.830769; 0.833254; 0.835968; 0.835028; 0.834625; 0.836668; 0.839620; 0.842148; 0.843735; 0.842807; 0.841041; 0.841368; 0.842080; 0.842344; 0.842922; 0.843070; 0.841227; 0.839787; 0.838785; 0.837741; 0.836748; 0.835534; 0.834933; 0.834686; 0.835209; 0.835884; 0.835164; 0.835028; 0.834534; 0.835625; 0.837373; 0.838313; 0.838880; 0.840321; 0.842365; 0.844082; 0.844343; 0.844139; 0.846387; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3713.9; 14:17:18; (); (); (); (); (); (); (); 0.837039; 0.834295; 0.831247; 0.831368; 0.831185; 0.832623; 0.832275; 0.832159; 0.834498; 0.835954; 0.833711; 0.831894; 0.831290; 0.830592; 0.829124; 0.828575; 0.829304; 0.828516; 0.826835; 0.824998; 0.822846; 0.821693; 0.818510; 0.814631; 0.811594; 0.809451; 0.809084; 0.807927; 0.806052; 0.805334; 0.805517; 0.807310; 0.808451; 0.809713; 0.811137; 0.807680; 0.806863; 0.808315; 0.810309; 0.812343; 0.815424; 0.815702; 0.816685; 0.817482; 0.816714; 0.816359; 0.815730; 0.815297; 0.813890; 0.812546; 0.815599; 0.817507; 0.817738; 0.815704; 0.813029; 0.811200; 0.810547; 0.810824; 0.812110; 0.814045; 0.814821; 0.814849; 0.815786; 0.817633; 0.820177; 0.820701; 0.820627; 0.821034; 0.822965; 0.827027; 0.829332; 0.829930; 0.829522; 0.829300; 0.828836; 0.827480; 0.827897; 0.830213; 0.831517; 0.830531; 0.829444; 0.830753; 0.833612; 0.834800; 0.832609; 0.829123; 0.830464; 0.832419; 0.832876; 0.833461; 0.836687; 0.838267; 0.839078; 0.840302; 0.843479; 0.846526; 0.845159; 0.842136; 0.839548; 0.839569; 0.842327; 0.841901; 0.839675; 0.840842; 0.842713; 0.841679; 0.838977; 0.836169; 0.833180; 0.829931; 0.828001; 0.829856; 0.831991; 0.833854; 0.836348; 0.836914; 0.836767; 0.838323; 0.836550; 0.832888; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3716.1; 14:17:27; (); (); (); (); (); (); (); 0.839759; 0.839033; 0.839106; 0.840796; 0.841160; 0.842717; 0.845031; 0.845995; 0.845061; 0.842500; 0.840426; 0.838914; 0.838188; 0.836097; 0.836758; 0.837804; 0.837916; 0.836085; 0.832588; 0.829556; 0.826361; 0.822199; 0.818291; 0.815597; 0.813452; 0.811907; 0.810706; 0.809273; 0.808657; 0.805372; 0.802342; 0.800256; 0.800117; 0.800891; 0.801507; 0.799803; 0.797807; 0.798360; 0.799551; 0.801218; 0.803466; 0.805484; 0.805753; 0.807278; 0.808912; 0.809576; 0.809715; 0.809888; 0.808322; 0.809901; 0.812136; 0.814957; 0.818144; 0.820052; 0.821131; 0.821411; 0.822598; 0.823998; 0.823638; 0.825645; 0.829571; 0.833686; 0.836905; 0.842105; 0.844677; 0.847151; 0.848337; 0.848706; 0.849961; 0.851666; 0.851248; 0.850466; 0.851886; 0.852401; 0.851503; 0.849966; 0.848550; 0.847797; 0.847241; 0.846766; 0.846238; 0.845036; 0.842636; 0.839921; 0.837703; 0.837956; 0.837594; 0.835752; 0.836539; 0.837324; 0.837261; 0.836471; 0.835387; 0.834650; 0.833474; 0.833556; 0.835500; 0.839359; 0.843116; 0.844937; 0.846086; 0.847339; 0.849318; 0.851246; 0.853846; 0.856434; 0.857643; 0.857543; 0.856565; 0.855688; 0.854472; 0.852639; 0.851071; 0.851404; 0.851405; 0.851532; 0.851701; 0.851136; 0.848748; 0.844612; (); (); (); (); (); (); (); (); (); (); (); (); (); 
