Roll Number; 2
Recipe Name; FP 4524_285 GSM
Start Time; 2018-03-21; 14:15:47
File Name; D:\Mahlo\TR\180321141547FP 4524_285 GSM2_FMI2.txt

3693.6; 14:15:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 274.365872; 274.276406; 274.510235; 274.652570; 274.486542; 274.225682; 274.310678; 274.506629; 274.641007; 274.698704; 274.581343; 274.581671; 274.469793; 274.483651; 274.356902; 274.623781; 274.746120; 274.671584; 274.939835; 275.153607; 275.350332; 275.436223; 275.408328; 275.212467; 274.856567; 274.617970; 274.509937; 274.823040; 274.859697; 274.565071; 274.176508; 274.012476; 273.823828; 273.447692; 273.289680; 273.215711; 273.004353; 273.026586; 273.063213; 273.269176; 273.478448; 273.657352; 273.628026; 273.671985; 273.308367; 272.677571; 272.500008; 272.479892; 272.341818; 272.269398; 272.193283; 271.737128; 271.351367; 271.082908; 270.326853; 269.758731; 269.159347; 268.838435; 268.810749; 269.355237; 270.076603; 270.439804; 270.454019; 270.605773; 270.598471; 270.943552; 271.583527; 271.701425; 271.889359; 272.391260; 273.055017; 273.929000; 274.199843; 274.431080; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3696.3; 14:16:08; (); (); (); (); (); (); (); 285.385907; 285.179138; 285.188437; 284.828991; 284.531891; 284.455895; 284.377307; 284.375548; 284.293592; 284.444690; 284.624994; 284.273595; 283.903509; 283.259213; 282.557189; 282.504946; 282.364011; 282.068908; 282.075256; 282.098651; 281.933397; 281.615168; 281.339884; 281.408936; 281.100273; 280.726939; 280.506968; 280.322015; 280.154198; 280.260652; 280.232430; 279.839277; 279.297084; 278.636277; 278.156608; 277.992517; 277.707607; 276.883572; 276.214659; 276.152909; 276.111156; 276.010901; 275.780916; 275.600612; 275.526464; 275.394678; 275.721341; 276.644111; 277.004868; 276.809543; 276.509643; 276.280344; 276.521116; 276.423693; 276.058018; 275.812745; 276.063889; 276.190132; 276.169866; 275.860757; 275.726587; 275.462657; 274.348646; 274.027884; 274.369508; 274.554253; 274.837464; 275.058299; 275.081784; 275.347978; 275.543034; 275.230914; 274.612188; 274.158686; 274.252057; 274.346828; 274.504244; 275.021702; 275.030702; 274.727881; 274.696290; 275.007874; 275.025755; 274.858654; 274.470896; 274.249136; 274.461806; 274.661779; 274.501830; 274.151325; 273.685813; 273.049086; 272.862703; 273.033619; 272.768825; 272.239923; 271.931946; 271.941304; 272.301525; 272.693902; 272.434890; 271.829545; 271.936357; 272.190154; 272.233874; 272.298753; 272.484213; 272.255957; 271.968096; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3698.5; 14:16:16; (); (); (); (); (); (); (); 283.059686; 282.564074; 281.806409; 280.801833; 280.044138; 279.525399; 279.280812; 279.316545; 279.024065; 278.323978; 277.808905; 277.437687; 277.215272; 276.972413; 276.764601; 276.681393; 276.956439; 277.551174; 278.455704; 278.880566; 279.095471; 279.656559; 280.351579; 280.889899; 281.046540; 280.673862; 280.649871; 280.635208; 280.464232; 280.259192; 280.173212; 279.920459; 279.239088; 278.816432; 278.878123; 278.641075; 277.629226; 276.693285; 276.809424; 277.396649; 277.863145; 277.720958; 277.354151; 277.091861; 277.116686; 276.969552; 276.942253; 277.297258; 277.635336; 277.782053; 278.113514; 278.323889; 277.871490; 276.947439; 276.149094; 275.746524; 275.366813; 275.262475; 275.139362; 274.880320; 274.819583; 274.550617; 274.070591; 273.460060; 272.445619; 271.522492; 271.091819; 270.898700; 270.806283; 270.866096; 270.669937; 270.813346; 270.971894; 270.776272; 270.538360; 269.984454; 269.840151; 269.749135; 269.452989; 269.775152; 270.011425; 270.360976; 270.834684; 271.012694; 270.877659; 270.955294; 270.830810; 270.802379; 270.938873; 271.044642; 271.385491; 271.573633; 271.900028; 272.003412; 272.094458; 272.424728; 272.534668; 272.566348; 272.749633; 272.926301; 272.985458; 273.199946; 273.812532; 274.403930; 274.546444; 274.659216; 274.484277; 274.250567; 274.366915; 274.818003; 274.913460; 275.094926; 275.249630; 275.506943; 275.614083; 275.943756; 276.013643; 275.514901; 275.327712; 275.737196; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3700.7; 14:16:25; (); (); (); (); (); (); 285.396308; 285.270423; 285.085738; 284.387410; 284.237593; 284.151077; 284.027278; 284.312487; 284.570485; 284.569263; 284.330755; 283.950120; 283.473313; 282.738835; 282.008141; 281.351537; 280.807555; 280.590117; 280.693889; 280.573934; 280.464381; 280.492008; 280.121475; 279.820681; 279.633373; 279.341966; 278.922677; 278.436482; 278.182089; 278.053731; 278.243870; 278.153151; 277.838171; 277.436733; 276.966423; 276.307702; 275.918216; 275.663316; 275.168240; 274.741888; 274.918675; 275.459081; 275.723904; 275.317460; 275.260210; 275.019884; 275.048137; 275.405169; 275.707901; 275.993913; 276.348412; 276.287615; 276.101291; 276.189417; 276.183903; 275.645316; 275.089175; 275.131643; 275.589287; 275.555730; 275.519609; 275.372177; 274.913400; 274.641782; 274.732292; 274.887592; 274.922222; 275.140464; 275.496751; 275.688291; 276.089251; 276.059449; 275.970608; 276.104510; 276.582539; 277.139455; 277.614444; 278.015465; 278.519720; 278.534323; 278.449208; 278.732836; 279.024422; 279.013664; 279.427975; 279.160291; 278.981775; 278.632283; 278.281182; 277.691185; 276.521713; 275.870025; 275.441974; 274.865627; 274.341613; 273.694396; 272.626579; 271.752417; 271.188974; 270.200402; 269.887894; 269.638479; 269.544929; 269.763589; 269.981027; 270.523459; 270.488113; 269.910455; 269.857734; 270.011783; 269.966543; 270.332575; 270.508170; 270.966023; 271.287203; 271.261722; 271.368563; 271.435171; 271.148682; 271.146417; 270.740330; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3702.9; 14:16:34; (); (); (); (); (); (); 285.921752; 285.922110; 285.532922; 285.220653; 285.122335; 285.265714; 284.934163; 284.436256; 283.944279; 283.458412; 283.114851; 282.674104; 282.504112; 282.588333; 282.667249; 282.271564; 281.857491; 281.831115; 281.648934; 281.471938; 281.030118; 280.959487; 281.395674; 281.661570; 281.690747; 281.449616; 281.162560; 280.717164; 280.046374; 279.704511; 279.585749; 279.540569; 279.549539; 279.141158; 278.477222; 278.227687; 278.042525; 277.472168; 276.964039; 276.465356; 275.967151; 275.880545; 275.963455; 275.709778; 275.047123; 274.683297; 274.305969; 273.639500; 273.546815; 273.402870; 272.949964; 272.390962; 271.773607; 271.358520; 270.983607; 270.581722; 270.024389; 269.588292; 269.426167; 269.594580; 269.269049; 268.347561; 267.380476; 266.752720; 266.458899; 266.376019; 266.382873; 266.615003; 266.750097; 266.869545; 267.345458; 267.990559; 268.283874; 268.401802; 268.336713; 268.404931; 269.030929; 270.000428; 270.546973; 271.084070; 271.523446; 272.075683; 272.782534; 273.187071; 273.393810; 273.244411; 273.097187; 273.153871; 273.369670; 273.599654; 273.363709; 273.011804; 272.771955; 272.485018; 272.268474; 271.862477; 270.948797; 270.069778; 270.123214; 270.096809; 270.304322; 270.361483; 270.725667; 270.973831; 270.928502; 271.571398; 272.275358; 272.816271; 273.260564; 273.658812; 274.576187; 275.271147; 275.327355; 275.423408; 275.707930; 275.679022; 275.731474; 275.557786; 275.466442; 275.806010; 275.673121; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3705.1; 14:16:43; (); (); (); (); (); (); 285.921752; 286.203265; 285.730243; 285.206646; 285.037339; 285.059214; 284.929007; 284.581423; 284.271628; 283.917159; 283.531755; 282.762617; 281.844884; 281.022727; 280.457705; 280.143946; 279.939711; 279.470354; 279.017329; 278.641671; 278.324276; 277.976692; 277.985126; 278.095126; 278.002381; 277.723640; 277.809858; 277.930260; 277.891576; 277.653873; 277.197570; 276.955217; 277.172565; 277.473181; 277.422845; 277.072430; 276.768804; 276.231855; 275.831252; 275.697559; 275.644362; 275.029272; 274.565756; 274.636775; 275.020480; 275.377184; 275.236696; 274.538964; 273.929983; 273.894042; 274.138272; 274.489969; 275.063902; 275.247604; 275.152564; 275.471091; 275.976449; 276.025891; 275.876611; 275.623471; 275.380731; 275.645286; 276.250184; 276.512623; 276.375890; 276.206255; 276.247203; 276.109427; 276.080936; 276.113480; 275.749922; 275.567919; 275.797486; 276.122630; 276.347041; 276.774049; 276.636750; 276.444584; 276.480556; 276.654959; 276.487112; 276.166826; 276.055574; 276.186049; 276.217401; 276.060343; 275.889188; 275.931835; 275.416434; 274.895996; 274.539083; 274.474710; 274.255067; 273.930937; 273.650765; 273.626953; 273.341775; 272.751421; 272.120833; 271.622956; 271.520346; 271.186441; 270.574719; 270.569682; 270.634383; 270.285964; 270.023137; 270.522296; 270.835757; 270.577282; 270.481110; 270.838171; 271.254927; 271.747470; 272.148132; 272.336274; 272.650033; 273.048550; 273.214787; 273.149818; 273.395091; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3707.3; 14:16:52; (); (); (); (); (); (); (); 285.860598; 284.700900; 283.670098; 283.065647; 282.615989; 282.344550; 282.333404; 282.295465; 281.666785; 280.735791; 280.236930; 279.934973; 279.871255; 279.652923; 279.822171; 280.430019; 280.922174; 281.395197; 281.493396; 281.187207; 280.822098; 280.436933; 279.918224; 279.627323; 279.839605; 279.823869; 279.830545; 279.662013; 279.284000; 278.780460; 278.492868; 278.283000; 277.908862; 277.875751; 277.829796; 277.668625; 277.702063; 277.979761; 278.174818; 277.800083; 277.171999; 276.423544; 275.891632; 275.703281; 275.437117; 275.159389; 275.336236; 275.209188; 274.716675; 274.817556; 274.728060; 274.130821; 273.821533; 273.496836; 273.074001; 272.816956; 272.621036; 272.777885; 272.755384; 273.302794; 273.922443; 273.993373; 274.197280; 274.662256; 275.088340; 275.866717; 276.552260; 277.054369; 277.215749; 277.920187; 278.571248; 278.972566; 279.183149; 279.335350; 279.210508; 278.730273; 278.385431; 278.360873; 278.177589; 277.808815; 277.326435; 277.336091; 277.151465; 276.692182; 276.369750; 276.269555; 275.556713; 274.974823; 274.484783; 274.093807; 273.888588; 273.707271; 273.443937; 272.918195; 272.514284; 272.702754; 272.567332; 272.250295; 272.522002; 272.466809; 272.120237; 272.644669; 272.990078; 273.156226; 273.069412; 272.675216; 272.766292; 273.225605; 273.812175; 274.156898; 273.776174; 273.987591; 274.428964; 274.672329; 274.708450; 274.947643; 274.961561; 275.106311; 275.540739; 276.646078; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3709.5; 14:17:00; (); (); (); (); (); (); (); 288.230240; 288.241416; 288.091868; 287.759066; 287.441611; 287.033588; 286.269516; 286.120832; 285.962760; 285.312772; 284.286171; 283.135295; 281.965882; 281.185687; 280.896068; 280.526698; 279.820681; 279.290259; 278.883994; 278.620154; 278.607309; 278.938085; 279.053420; 278.534085; 278.079718; 277.728468; 277.870804; 278.115869; 277.857453; 277.500331; 277.383715; 277.602494; 277.827919; 277.739853; 277.609676; 277.347118; 276.472569; 275.959820; 275.844693; 275.682330; 275.551975; 275.408536; 275.437385; 275.612563; 275.689691; 275.842071; 275.143772; 274.500281; 274.326295; 273.959637; 273.936778; 274.826974; 275.863588; 276.251733; 276.279867; 276.408762; 276.580691; 276.318818; 276.278764; 276.077479; 275.679827; 275.959522; 276.339173; 276.280284; 276.407421; 276.610732; 276.133686; 275.628269; 275.431901; 275.458694; 275.671154; 275.570095; 275.596678; 275.110304; 274.737626; 274.844080; 274.781317; 274.499029; 274.156570; 273.879588; 273.358852; 272.971898; 272.849798; 272.963256; 273.000449; 272.336006; 271.804750; 271.373391; 271.074235; 271.013230; 270.704865; 270.486355; 270.605117; 271.036267; 270.964384; 270.618618; 270.404875; 270.387083; 269.994020; 270.092309; 270.603001; 270.498604; 270.790309; 271.400928; 271.579564; 271.496385; 271.343887; 271.121025; 271.051466; 271.736741; 272.329390; 272.587985; 272.839248; 273.139805; 273.217410; 273.331553; 273.987800; 274.278641; 274.163336; 274.155587; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3711.7; 14:17:09; (); (); (); (); (); (); (); 281.792283; 281.550199; 281.617194; 281.452715; 281.258464; 281.206191; 281.043738; 280.883491; 280.533582; 280.188352; 280.062795; 279.717684; 279.511809; 279.254645; 279.072344; 278.767914; 278.340191; 278.014302; 278.235346; 278.710216; 278.938204; 278.908402; 278.992832; 278.932124; 278.732747; 278.957903; 279.586464; 279.987216; 280.484885; 281.066388; 281.798989; 282.560259; 283.061564; 282.968372; 282.442570; 281.980157; 281.843513; 281.563669; 281.216621; 281.092584; 280.810922; 280.350208; 279.824406; 279.341012; 278.408647; 276.980788; 276.030421; 275.342762; 274.964929; 274.824232; 274.629861; 274.419397; 274.125040; 273.933977; 273.865908; 273.025632; 272.549540; 272.504956; 272.353619; 272.780448; 273.206830; 273.410946; 273.602515; 273.739398; 273.996562; 274.282098; 274.409562; 274.627805; 274.610937; 274.793446; 275.525004; 275.627643; 275.255114; 275.187165; 275.178045; 275.490314; 275.545716; 275.057256; 274.401277; 274.178416; 274.416894; 274.426550; 274.032861; 273.725897; 273.493320; 272.803247; 272.355199; 272.176594; 272.003978; 271.533996; 271.106631; 271.187216; 271.530062; 271.595150; 270.958424; 270.560861; 270.838320; 271.633357; 272.244126; 272.423923; 272.814184; 273.413926; 273.988545; 274.356574; 274.375290; 274.370283; 274.512529; 274.441779; 275.098145; 275.809109; 275.786310; 275.548548; 274.883807; 274.722666; 274.629295; 274.908692; 275.056243; 274.908900; 274.743646; 275.388628; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3713.9; 14:17:18; (); (); (); (); (); (); (); 282.856435; 282.264382; 282.038480; 282.011658; 281.649292; 281.268477; 280.845821; 280.709505; 280.721933; 280.144304; 279.169083; 278.285831; 277.631581; 277.109176; 276.578903; 276.319504; 276.250392; 275.650263; 275.153875; 274.895459; 274.812937; 275.234073; 275.145411; 274.627984; 274.574608; 275.050610; 275.418252; 275.543094; 275.595546; 276.017755; 276.495367; 275.945783; 276.024729; 276.253611; 276.230901; 276.050866; 275.583625; 275.455952; 275.388122; 275.332600; 275.438875; 275.328040; 275.134891; 274.954498; 274.549603; 274.246454; 274.716884; 274.809420; 275.073916; 275.294930; 275.346607; 275.319457; 275.039136; 275.024325; 274.955928; 274.927408; 275.022537; 274.859935; 274.858356; 275.265694; 275.310159; 275.118679; 274.687499; 274.070233; 273.750722; 273.793072; 274.028659; 274.721563; 275.156319; 275.754035; 276.066095; 276.159704; 276.625216; 276.933998; 276.454091; 276.149333; 276.292145; 276.595235; 276.810259; 277.103275; 277.237982; 276.834577; 276.087344; 275.809228; 275.604069; 275.471866; 275.473148; 275.193274; 274.755269; 274.503499; 274.402797; 274.113715; 273.791999; 273.227572; 272.855610; 272.977620; 273.262680; 273.214579; 272.877663; 272.327960; 271.889180; 271.424204; 270.814300; 270.858318; 271.233559; 271.775216; 272.092760; 272.510737; 273.123026; 273.532420; 273.235857; 273.201615; 273.407668; 273.698300; 274.068117; 274.286628; 274.801761; 275.662810; 275.928199; 276.000261; (); (); (); (); (); (); (); (); (); (); (); (); (); 
3716.1; 14:17:27; (); (); (); (); (); (); (); 284.546196; 284.645468; 284.672171; 284.605652; 284.619629; 284.597784; 284.915328; 285.269678; 285.340965; 285.147220; 285.061181; 284.764975; 284.592003; 284.444362; 284.275472; 283.847779; 283.320814; 282.983691; 282.844901; 282.830209; 282.604188; 282.094806; 281.700611; 281.434774; 281.060904; 280.893803; 280.853957; 280.890822; 281.423211; 281.585425; 281.883061; 281.839281; 281.445712; 280.929625; 280.169427; 279.399842; 278.418034; 277.530611; 276.769578; 276.545942; 276.128948; 275.455266; 274.842083; 273.787051; 272.837758; 271.898866; 271.527201; 271.304518; 271.196723; 271.423340; 271.925837; 272.255063; 272.657841; 272.817582; 272.502393; 272.417933; 272.744268; 272.874802; 272.925436; 273.309708; 274.031937; 274.762243; 275.217026; 275.096923; 275.077492; 275.254071; 275.442332; 275.480002; 275.498629; 275.683671; 275.784165; 275.575250; 275.173724; 275.339425; 275.439769; 275.181860; 274.430424; 274.063081; 274.192274; 274.407446; 274.403363; 274.399459; 274.243146; 274.080575; 274.264574; 274.436861; 274.849385; 275.200933; 275.220126; 275.037944; 275.042385; 275.452346; 275.857359; 275.503427; 274.732590; 274.175793; 273.965597; 274.136722; 273.673803; 272.941172; 272.650898; 272.644311; 272.764832; 272.595257; 272.478938; 272.632509; 272.468477; 272.389263; 273.387730; 274.187624; 274.474025; 274.322242; 274.312317; 275.233567; 276.081383; 276.443392; 276.311487; 276.249409; 276.589423; 276.837230; (); (); (); (); (); (); (); (); (); (); (); (); (); 
