Roll Number; 4
Recipe Name; FP 4556_187 GSM
Start Time; 2018-04-04; 10:19:19
File Name; D:\Mahlo\TR\180404101919FP 4556_187 GSM4_XMF2.txt

11797.2; 10:19:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -17.922437; -16.819954; -15.200952; -13.686031; -12.444398; -11.524987; -10.735597; -9.821210; -8.457861; -7.275885; -6.160925; -5.067860; -3.908473; -2.577964; -1.307005; -0.210555; 0.113257; 0.113073; 0.113230; 0.113992; 0.114422; 0.114098; 0.113837; 0.114066; 0.114206; 0.113613; 0.112900; 0.112251; 0.111824; 0.111538; 0.111043; 0.110473; 0.109797; 0.109277; 0.108503; 0.107625; 0.106954; 0.106122; 0.105307; 0.104724; 0.104460; 0.104491; 0.104802; 0.105612; 0.106374; 0.107748; 0.109471; 0.110919; 0.112020; 0.113057; 0.113399; 0.113611; 0.114060; 0.114165; 0.114354; 0.115030; 0.116128; 0.116832; 0.117092; 0.116783; 0.116299; 0.115693; 0.115289; 0.115121; 0.115448; 0.116417; 0.117507; 0.118732; 0.120378; 0.122253; 0.123809; 0.124925; 0.126175; 0.127445; 0.128818; 0.129951; 0.130738; 0.131281; 0.131976; 0.132694; 0.133175; 0.133649; 0.133952; 0.134136; 0.133981; 0.133571; 0.133208; 0.132982; 0.132885; 0.132824; 0.133101; 0.133286; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11802.4; 10:19:39; (); (); (); (); (); (); (); (); (); 0.190653; 0.191654; 0.192830; 0.192885; 0.192802; 0.192686; 0.192475; 0.192390; 0.193857; 0.194640; 0.194509; 0.193914; 0.193254; 0.192364; 0.191332; 0.189697; 0.187911; 0.186717; 0.185678; 0.184625; 0.183695; 0.183086; 0.182569; 0.181847; 0.181330; 0.180872; 0.180659; 0.180554; 0.180640; 0.180958; 0.181868; 0.182788; 0.183131; 0.183771; 0.183041; 0.179780; 0.176379; 0.172883; 0.168940; 0.164655; 0.160655; 0.156290; 0.151364; 0.146657; 0.142513; 0.138493; 0.134288; 0.130353; 0.127005; 0.125276; 0.125382; 0.125533; 0.125749; 0.125570; 0.126040; 0.126881; 0.127629; 0.128125; 0.128764; 0.129655; 0.130049; 0.130039; 0.129872; 0.129339; 0.128955; 0.128792; 0.128699; 0.128674; 0.128654; 0.127994; 0.127414; 0.126693; 0.125942; 0.125015; 0.124078; 0.123542; 0.123417; 0.123884; 0.124683; 0.125307; 0.125866; 0.126277; 0.126456; 0.126731; 0.127303; 0.127885; 0.128305; 0.128555; 0.128594; 0.128514; 0.128810; 0.128622; 0.127961; 0.127444; 0.126901; 0.126301; 0.125392; 0.125260; 0.125094; 0.124621; 0.124234; 0.124097; 0.124244; 0.124436; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11806.4; 10:19:48; (); (); (); (); (); (); (); (); (); 0.178694; 0.180072; 0.180061; 0.181315; 0.181076; 0.181334; 0.180672; 0.179795; 0.180611; 0.181644; 0.182391; 0.181457; 0.181302; 0.179140; 0.176865; 0.176058; 0.175074; 0.175035; 0.174215; 0.174731; 0.174779; 0.175361; 0.176514; 0.176859; 0.177969; 0.178118; 0.178911; 0.179269; 0.179641; 0.180380; 0.180121; 0.179927; 0.179404; 0.179225; 0.179284; 0.179814; 0.180071; 0.180013; 0.179823; 0.179252; 0.178501; 0.177931; 0.177850; 0.177829; 0.177533; 0.177633; 0.177897; 0.177912; 0.177873; 0.177475; 0.176628; 0.176091; 0.176004; 0.176224; 0.176492; 0.176634; 0.176813; 0.177065; 0.177550; 0.178055; 0.178131; 0.178448; 0.179062; 0.178998; 0.178836; 0.178904; 0.178722; 0.178307; 0.177926; 0.177679; 0.177310; 0.176384; 0.175132; 0.174015; 0.173171; 0.172470; 0.171370; 0.170521; 0.170228; 0.170110; 0.170085; 0.170198; 0.170319; 0.170780; 0.171322; 0.172291; 0.173531; 0.175253; 0.176940; 0.178165; 0.179371; 0.180517; 0.181363; 0.181903; 0.182103; 0.182335; 0.182746; 0.182948; 0.182918; 0.182591; 0.181729; 0.180942; 0.180109; 0.179598; 0.179027; 0.178474; 0.177838; 0.176243; 0.173733; 0.170487; 0.169552; 0.168781; 0.167678; 0.166551; 0.165471; 0.164455; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11810.4; 10:19:57; (); (); (); (); (); (); (); (); (); 0.195607; 0.196479; 0.197048; 0.197839; 0.198191; 0.198005; 0.197366; 0.197246; 0.198796; 0.199049; 0.198608; 0.197738; 0.197209; 0.196935; 0.196616; 0.195912; 0.195374; 0.194493; 0.193533; 0.193075; 0.192793; 0.193223; 0.193634; 0.193818; 0.193667; 0.193586; 0.193132; 0.192135; 0.191019; 0.189649; 0.188257; 0.187279; 0.186857; 0.186081; 0.185532; 0.185065; 0.184042; 0.183003; 0.181910; 0.180493; 0.179152; 0.178525; 0.177878; 0.177403; 0.177504; 0.177372; 0.177150; 0.176846; 0.176795; 0.176740; 0.176970; 0.177023; 0.176750; 0.176869; 0.177148; 0.177576; 0.177957; 0.178826; 0.179748; 0.180538; 0.181555; 0.182216; 0.182469; 0.182426; 0.181823; 0.181523; 0.181226; 0.181073; 0.180694; 0.180718; 0.180597; 0.180371; 0.179878; 0.179506; 0.179002; 0.178665; 0.178339; 0.178709; 0.179116; 0.180311; 0.181369; 0.182741; 0.184092; 0.185690; 0.186619; 0.187067; 0.187588; 0.188557; 0.189594; 0.190401; 0.191274; 0.192219; 0.192625; 0.193294; 0.192993; 0.193119; 0.192810; 0.192175; 0.191356; 0.190239; 0.189664; 0.188534; 0.187370; 0.185255; 0.182997; 0.181330; 0.178308; 0.176654; 0.171628; 0.169116; 0.167511; 0.165349; 0.163911; 0.161933; 0.161287; 0.159168; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11814.4; 10:20:05; (); (); (); (); (); (); (); (); (); 0.167347; 0.169482; 0.170714; 0.172276; 0.173209; 0.174299; 0.174860; 0.174893; 0.176390; 0.177733; 0.178651; 0.178335; 0.178446; 0.178898; 0.178882; 0.179399; 0.178715; 0.179149; 0.178907; 0.178055; 0.177085; 0.176155; 0.176452; 0.175917; 0.175443; 0.174486; 0.173748; 0.173520; 0.172685; 0.172101; 0.171224; 0.170520; 0.169413; 0.169046; 0.169124; 0.168990; 0.168824; 0.168105; 0.167670; 0.167475; 0.167363; 0.167343; 0.167446; 0.167549; 0.167337; 0.167112; 0.167175; 0.167385; 0.167669; 0.168370; 0.169062; 0.169836; 0.170939; 0.172036; 0.173078; 0.174152; 0.175026; 0.175846; 0.176739; 0.177791; 0.179064; 0.179743; 0.180100; 0.180075; 0.179681; 0.179744; 0.179880; 0.179997; 0.180549; 0.181180; 0.181589; 0.182372; 0.183003; 0.183527; 0.183871; 0.184424; 0.185484; 0.186418; 0.187038; 0.187602; 0.188041; 0.188522; 0.189225; 0.189973; 0.190267; 0.190417; 0.190384; 0.190338; 0.190101; 0.189571; 0.189039; 0.188062; 0.187256; 0.187467; 0.187813; 0.187817; 0.187318; 0.186601; 0.185678; 0.185049; 0.184748; 0.184455; 0.184272; 0.184612; 0.185129; 0.185386; 0.185501; 0.184955; 0.183588; 0.181231; 0.180744; 0.180470; 0.180143; 0.180039; 0.179647; 0.178691; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11818.4; 10:20:14; (); (); (); (); (); (); (); (); (); 0.193696; 0.194174; 0.194469; 0.194274; 0.194138; 0.194157; 0.193988; 0.194813; 0.195741; 0.195652; 0.194895; 0.193835; 0.192761; 0.191974; 0.191337; 0.190645; 0.190515; 0.190217; 0.190033; 0.190009; 0.190229; 0.190369; 0.190218; 0.189934; 0.189722; 0.189377; 0.189273; 0.188943; 0.188556; 0.188230; 0.187813; 0.187282; 0.187149; 0.187152; 0.187211; 0.187132; 0.186984; 0.186886; 0.186688; 0.186372; 0.186129; 0.185670; 0.185528; 0.185593; 0.185592; 0.185796; 0.186042; 0.186451; 0.186878; 0.187078; 0.187268; 0.187815; 0.188120; 0.188597; 0.189197; 0.189662; 0.190297; 0.191211; 0.191725; 0.191869; 0.191737; 0.191367; 0.190762; 0.190091; 0.189190; 0.188201; 0.187272; 0.186709; 0.186328; 0.186169; 0.186284; 0.186267; 0.185736; 0.185582; 0.185302; 0.184769; 0.184102; 0.183696; 0.183366; 0.183576; 0.183854; 0.184656; 0.185638; 0.186258; 0.186948; 0.187496; 0.188092; 0.189074; 0.190012; 0.191231; 0.192252; 0.193300; 0.193807; 0.194142; 0.193980; 0.193390; 0.192300; 0.191136; 0.190548; 0.189253; 0.188648; 0.187572; 0.185966; 0.184618; 0.182460; 0.181570; 0.179263; 0.177500; 0.173765; 0.172316; 0.172074; 0.171046; 0.170177; 0.168903; 0.167374; 0.165160; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11822.4; 10:20:22; (); (); (); (); (); (); (); (); (); 0.180719; 0.182864; 0.184150; 0.185415; 0.185601; 0.186021; 0.186048; 0.186095; 0.188331; 0.189859; 0.190439; 0.189468; 0.188502; 0.187299; 0.185991; 0.184670; 0.183173; 0.182542; 0.181747; 0.181265; 0.181336; 0.181753; 0.182691; 0.183485; 0.184400; 0.185077; 0.185743; 0.186208; 0.186158; 0.186522; 0.186374; 0.186092; 0.186005; 0.185991; 0.185945; 0.185262; 0.183860; 0.182662; 0.181845; 0.181136; 0.180305; 0.179788; 0.180005; 0.180513; 0.180649; 0.180891; 0.181339; 0.181672; 0.182004; 0.182439; 0.183091; 0.183397; 0.183272; 0.182849; 0.182204; 0.181745; 0.181263; 0.180641; 0.180379; 0.180760; 0.181100; 0.181220; 0.180724; 0.180106; 0.179188; 0.178523; 0.178071; 0.178108; 0.178436; 0.178939; 0.179589; 0.180258; 0.180376; 0.180056; 0.179341; 0.178429; 0.177941; 0.178008; 0.178507; 0.179557; 0.180612; 0.181708; 0.182711; 0.183437; 0.184002; 0.184706; 0.185571; 0.186687; 0.187726; 0.189067; 0.190917; 0.192386; 0.193582; 0.194152; 0.194029; 0.194112; 0.194276; 0.194320; 0.194015; 0.193493; 0.192633; 0.191662; 0.190609; 0.189868; 0.189276; 0.188415; 0.187111; 0.185785; 0.184335; 0.181450; 0.179731; 0.178721; 0.177832; 0.177436; 0.176935; 0.176491; 0.176203; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11826.4; 10:20:31; (); (); (); (); (); (); (); (); (); 0.180719; 0.203418; 0.203365; 0.202718; 0.201857; 0.200750; 0.199668; 0.199017; 0.199879; 0.200124; 0.199680; 0.198484; 0.197183; 0.195999; 0.194669; 0.193049; 0.191735; 0.190473; 0.189293; 0.188628; 0.188520; 0.188431; 0.188166; 0.187541; 0.186574; 0.185452; 0.183884; 0.182074; 0.181071; 0.180088; 0.178873; 0.178301; 0.178126; 0.178109; 0.178084; 0.177942; 0.177423; 0.176545; 0.175626; 0.174592; 0.173962; 0.173947; 0.174005; 0.173949; 0.174206; 0.174748; 0.174560; 0.174520; 0.174184; 0.173705; 0.173318; 0.173492; 0.174158; 0.174836; 0.175435; 0.176120; 0.177057; 0.177653; 0.177663; 0.177588; 0.177187; 0.176890; 0.176181; 0.175408; 0.174362; 0.173218; 0.171744; 0.170588; 0.169707; 0.168951; 0.168370; 0.167997; 0.167751; 0.168079; 0.168397; 0.169119; 0.170014; 0.171182; 0.172642; 0.174415; 0.176566; 0.178680; 0.180593; 0.182571; 0.184536; 0.186282; 0.187613; 0.188692; 0.189673; 0.190276; 0.190897; 0.191273; 0.191560; 0.191765; 0.191521; 0.191228; 0.190850; 0.190398; 0.189326; 0.187835; 0.186408; 0.184374; 0.183188; 0.180741; 0.179026; 0.177364; 0.175156; 0.174072; 0.169430; 0.166484; 0.165171; 0.163305; 0.161848; 0.160074; 0.158799; 0.156628; 0.155561; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11830.4; 10:20:39; (); (); (); (); (); (); (); (); (); (); 0.190570; 0.191533; 0.192363; 0.192661; 0.193619; 0.193762; 0.193414; 0.194616; 0.196251; 0.197383; 0.196983; 0.197027; 0.195919; 0.194832; 0.193883; 0.192305; 0.191446; 0.190071; 0.189236; 0.187834; 0.187376; 0.187642; 0.187851; 0.188325; 0.188446; 0.188688; 0.188918; 0.189325; 0.189465; 0.189210; 0.189331; 0.189407; 0.189905; 0.190768; 0.191066; 0.191038; 0.190555; 0.189370; 0.187146; 0.184704; 0.182675; 0.181019; 0.180329; 0.180196; 0.180074; 0.180036; 0.179764; 0.178819; 0.178057; 0.177615; 0.177066; 0.176684; 0.177013; 0.178026; 0.179209; 0.179915; 0.180271; 0.180459; 0.180604; 0.180533; 0.180493; 0.180488; 0.180407; 0.180151; 0.179801; 0.179135; 0.178450; 0.177900; 0.176976; 0.175991; 0.175274; 0.174689; 0.174192; 0.173987; 0.173976; 0.174245; 0.174882; 0.175696; 0.176260; 0.177457; 0.178572; 0.179908; 0.181767; 0.183709; 0.185380; 0.186693; 0.188071; 0.189316; 0.190291; 0.191645; 0.192925; 0.193601; 0.194042; 0.194214; 0.194626; 0.194948; 0.194894; 0.194420; 0.193573; 0.192426; 0.191779; 0.190787; 0.189649; 0.188247; 0.186318; 0.184721; 0.183100; 0.180943; 0.177979; 0.175992; 0.174748; 0.173717; 0.173016; 0.172165; 0.170905; 0.170154; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11834.4; 10:20:48; (); (); (); (); (); (); (); (); (); 0.194699; 0.195945; 0.197732; 0.199048; 0.200013; 0.200605; 0.200874; 0.201651; 0.203725; 0.204174; 0.203803; 0.203435; 0.202557; 0.200745; 0.199308; 0.198016; 0.196591; 0.195021; 0.193523; 0.191925; 0.190321; 0.188708; 0.187527; 0.186885; 0.186281; 0.185611; 0.185024; 0.184664; 0.184423; 0.184321; 0.184463; 0.184651; 0.184381; 0.184159; 0.184138; 0.184137; 0.184137; 0.183719; 0.182929; 0.181362; 0.179469; 0.178147; 0.177247; 0.176522; 0.175847; 0.175436; 0.174682; 0.173997; 0.173693; 0.173453; 0.173144; 0.172922; 0.173348; 0.174277; 0.175568; 0.177088; 0.178389; 0.179361; 0.180057; 0.180675; 0.181054; 0.181735; 0.182535; 0.183325; 0.184310; 0.185485; 0.186378; 0.187233; 0.187900; 0.188873; 0.189707; 0.189757; 0.189630; 0.189682; 0.189439; 0.189295; 0.189103; 0.188715; 0.188581; 0.188254; 0.188033; 0.188222; 0.188408; 0.188792; 0.189130; 0.189892; 0.191616; 0.193221; 0.194611; 0.195886; 0.196135; 0.196945; 0.197283; 0.197897; 0.197719; 0.197728; 0.197398; 0.196706; 0.196116; 0.195093; 0.193588; 0.190862; 0.189094; 0.187259; 0.184455; 0.183582; 0.180826; 0.178467; 0.174084; 0.172253; 0.170846; 0.168979; 0.167272; 0.165097; 0.162914; 0.161815; 0.161263; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11838.3; 10:20:57; (); (); (); (); (); (); (); (); (); 0.171764; 0.174328; 0.175318; 0.177093; 0.177490; 0.178135; 0.177931; 0.177915; 0.180542; 0.182000; 0.184430; 0.185189; 0.185573; 0.184946; 0.183606; 0.182618; 0.181066; 0.180552; 0.179774; 0.179021; 0.179024; 0.179013; 0.179451; 0.179481; 0.179500; 0.179090; 0.178852; 0.178698; 0.178279; 0.178403; 0.177916; 0.177715; 0.177609; 0.177455; 0.177561; 0.177771; 0.177865; 0.177918; 0.177957; 0.177836; 0.177149; 0.176375; 0.175845; 0.175370; 0.175135; 0.175431; 0.175713; 0.175972; 0.176082; 0.176224; 0.176236; 0.176372; 0.176180; 0.176010; 0.176550; 0.177883; 0.179171; 0.180648; 0.182269; 0.183500; 0.184354; 0.184937; 0.185313; 0.185825; 0.186012; 0.185955; 0.186036; 0.186455; 0.186523; 0.186231; 0.185760; 0.185452; 0.185412; 0.185755; 0.186059; 0.186230; 0.186474; 0.186806; 0.187519; 0.188543; 0.189199; 0.189728; 0.190630; 0.191859; 0.192540; 0.193105; 0.193809; 0.194246; 0.194356; 0.194814; 0.195241; 0.195614; 0.196206; 0.196419; 0.196129; 0.195914; 0.195691; 0.194985; 0.194530; 0.194549; 0.194368; 0.193881; 0.193515; 0.193067; 0.192585; 0.191980; 0.191274; 0.189933; 0.188181; 0.186020; 0.183867; 0.183342; 0.182645; 0.181476; 0.180227; 0.178725; 0.177169; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
