Roll Number; 4
Recipe Name; FP 4556_187 GSM
Start Time; 2018-04-04; 10:19:19
File Name; D:\Mahlo\TR\180404101919FP 4556_187 GSM4_FMI2.txt

11797.2; 10:19:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 200.893924; 200.928032; 201.281935; 201.638296; 202.076867; 202.350378; 202.291131; 201.958477; 201.552197; 201.550603; 201.547742; 201.760456; 202.036545; 202.292696; 202.408746; 202.601075; 202.562824; 202.477768; 202.393577; 202.311769; 202.404156; 202.709407; 203.020915; 203.218266; 203.211010; 203.232631; 203.444034; 203.796282; 204.111814; 204.509810; 204.698280; 204.859644; 205.267698; 205.312923; 205.317691; 205.536753; 205.842108; 206.165463; 206.567705; 206.905738; 207.044303; 207.015738; 206.989899; 207.015947; 206.986070; 207.311302; 207.831547; 207.730740; 207.862228; 207.911000; 207.666740; 207.544908; 207.591832; 207.660019; 207.887068; 208.187476; 208.400756; 208.714455; 209.159493; 209.786311; 210.117012; 210.127741; 210.347816; 210.185051; 210.287511; 210.369200; 210.435510; 210.387096; 210.368425; 210.130483; 209.969386; 209.825829; 209.859848; 209.634542; 208.998770; 208.572149; 208.410099; 208.524376; 209.194124; 209.668040; 209.885851; 210.085362; 210.261837; 210.224494; 210.354075; 210.572034; 210.628241; 210.476160; 210.612088; 210.906416; 211.193979; 211.354032; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11802.4; 10:19:39; (); (); (); (); (); (); (); (); (); 205.634207; 205.716640; 205.608681; 205.459937; 205.462337; 205.522776; 205.422863; 205.190822; 205.197021; 205.190957; 204.966858; 204.851195; 204.857588; 204.561338; 204.290181; 204.395175; 204.876646; 205.543980; 206.061602; 206.322432; 206.509933; 207.026318; 207.499340; 207.700312; 207.959414; 208.046228; 207.906425; 208.033189; 208.709881; 209.294587; 209.539980; 209.152564; 208.880246; 208.735958; 208.984762; 209.366113; 209.847733; 210.295245; 210.911319; 211.501256; 211.877659; 212.250501; 212.507412; 212.457433; 212.202325; 212.354600; 212.754339; 212.790504; 212.712720; 212.320507; 211.661667; 211.107686; 210.662335; 210.262880; 209.860906; 209.779680; 209.802404; 209.709823; 209.704220; 209.903792; 209.524408; 209.090084; 208.889768; 208.879471; 208.872557; 208.840907; 208.779827; 208.839774; 208.708599; 208.616316; 208.758667; 208.901078; 208.853811; 208.802789; 208.745360; 208.797395; 209.002599; 209.053293; 208.934635; 208.773762; 208.341286; 207.978174; 207.708865; 207.537115; 207.473472; 207.095608; 206.827030; 206.744000; 206.322670; 205.750719; 205.248520; 204.814613; 204.410627; 204.214916; 204.153761; 204.149187; 204.105228; 203.987926; 203.701973; 203.388155; 203.226358; 202.908784; 202.478781; 202.323496; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11806.4; 10:19:48; (); (); (); (); (); (); (); (); (); 203.346893; 203.236997; 203.237474; 203.025997; 202.894658; 202.859357; 203.056738; 203.274906; 203.245580; 203.226134; 202.889547; 202.338263; 202.092603; 202.215195; 202.579886; 202.959821; 203.517243; 203.848973; 204.232603; 204.461277; 204.596207; 204.624131; 204.887897; 205.243945; 205.531195; 206.091434; 206.865549; 207.496196; 207.901970; 208.216459; 208.668560; 209.122360; 209.771737; 210.292324; 210.889935; 211.442113; 211.603299; 211.516216; 211.535349; 211.563841; 211.450785; 211.712047; 212.148115; 212.714031; 213.267937; 213.209286; 212.796971; 212.350801; 212.021157; 211.794853; 211.882994; 212.047935; 212.276012; 212.357908; 212.317318; 212.192297; 211.926833; 211.538926; 210.921943; 210.254595; 209.761024; 209.168032; 208.836079; 208.387449; 207.816616; 207.238674; 206.596687; 205.783010; 205.223113; 205.083430; 205.170140; 204.712436; 204.089954; 203.926161; 203.754902; 203.713328; 203.989565; 204.261050; 204.467788; 204.675004; 204.871297; 204.937696; 205.072507; 205.211312; 205.296174; 205.282360; 205.488175; 205.936566; 205.874890; 205.864146; 206.018195; 206.124827; 205.955252; 206.005812; 206.083760; 206.000850; 205.936655; 205.931768; 205.982476; 205.899775; 205.841437; 205.662847; 205.408260; 205.127165; 204.953223; 204.671279; 204.548091; 204.566047; 204.319745; 203.905284; 204.072580; 204.227254; 204.385176; 204.224199; 204.099283; 203.715831; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11810.4; 10:19:57; (); (); (); (); (); (); (); (); (); 206.278175; 206.375524; 206.535563; 206.743613; 206.818894; 206.770211; 206.751600; 206.917852; 207.149088; 207.273960; 207.048014; 206.746653; 206.690073; 206.781685; 206.957564; 207.076415; 207.072392; 207.090393; 207.277030; 207.780808; 208.361685; 208.759069; 208.791271; 208.888263; 209.172070; 209.623411; 209.957033; 210.294992; 210.541129; 210.848913; 211.163089; 211.156934; 210.941553; 210.683063; 210.389510; 210.191607; 209.714592; 209.479138; 209.312901; 208.919883; 208.440527; 208.056778; 208.088681; 208.004013; 207.479700; 207.212299; 207.068890; 207.093790; 207.128882; 206.939131; 206.604704; 206.143707; 205.665484; 205.414802; 205.488965; 205.534652; 205.318913; 204.697400; 204.409570; 204.148814; 203.998223; 203.972757; 204.114318; 204.033002; 204.048753; 204.305589; 204.694763; 204.853386; 204.957902; 205.050737; 205.378711; 205.873221; 206.204623; 206.498042; 206.912711; 206.962824; 206.458375; 205.784306; 205.479443; 205.482438; 205.574021; 205.777645; 206.073612; 206.011653; 205.856010; 205.662251; 205.535248; 205.494016; 205.486044; 205.366775; 205.468252; 206.011876; 206.228465; 206.258580; 206.467137; 206.721053; 206.553414; 206.443220; 206.340685; 206.225425; 206.365094; 206.641540; 206.871897; 207.013145; 207.420751; 207.501441; 207.602665; 207.856119; 207.696363; 207.364872; 207.250357; 207.381994; 207.689404; 208.093479; 208.379135; 208.329409; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11814.4; 10:20:05; (); (); (); (); (); (); (); (); (); 200.837463; 201.058522; 201.394588; 201.315224; 201.121807; 200.915590; 201.005325; 201.089054; 201.086953; 201.305270; 201.744810; 202.177197; 202.078700; 201.897398; 201.249465; 200.352356; 199.825287; 199.484989; 199.413121; 199.508995; 199.358121; 198.972046; 198.860422; 198.578432; 198.116854; 197.587416; 197.195664; 196.800455; 196.460351; 196.770534; 197.182015; 197.423935; 197.487622; 197.296739; 197.180659; 197.526827; 198.123649; 198.546827; 199.033290; 199.248329; 199.532583; 200.141370; 201.262489; 202.329025; 203.281835; 203.992546; 204.695225; 205.474898; 206.394196; 206.944704; 207.476169; 208.058208; 208.406270; 208.690599; 209.162235; 209.545761; 209.749609; 209.694162; 209.670037; 209.822252; 209.959865; 209.987864; 210.228980; 210.521519; 210.736141; 210.507110; 210.197493; 209.975392; 209.871843; 209.909126; 210.018128; 210.321918; 210.488811; 210.476577; 210.092336; 209.489346; 208.930522; 208.549753; 208.086729; 207.642123; 207.194626; 206.734657; 206.271738; 205.987453; 205.847457; 205.470234; 204.971626; 204.604089; 204.448208; 204.679474; 205.138832; 205.536544; 205.743283; 205.718473; 205.694854; 205.945909; 206.143677; 206.596777; 206.778735; 206.907272; 207.401380; 207.954034; 208.393872; 209.061190; 209.319592; 209.109336; 208.915055; 208.781287; 208.781153; 208.486170; 208.638653; 209.082007; 209.227189; 209.490031; 209.439114; 208.850890; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11818.4; 10:20:14; (); (); (); (); (); (); (); (); (); 204.963192; 205.428734; 205.674022; 205.662176; 205.704823; 205.787182; 205.947250; 206.042007; 206.188291; 206.106141; 206.200287; 206.293225; 206.170201; 205.957144; 205.926716; 205.870256; 205.828056; 206.094339; 206.388146; 206.369072; 206.229672; 206.237122; 206.611603; 207.053170; 207.138896; 207.059160; 206.814751; 206.738457; 206.838489; 206.739664; 206.723496; 206.630945; 206.115693; 205.582663; 205.446362; 205.423862; 205.193982; 204.911292; 204.666242; 204.855174; 205.441371; 205.994725; 206.558913; 207.239643; 207.810253; 208.372876; 208.936855; 209.531114; 210.134611; 210.691854; 211.173564; 211.458981; 211.785689; 212.341562; 212.899044; 213.146269; 213.513404; 213.900805; 214.191526; 214.313865; 214.242950; 214.314610; 214.298084; 214.153886; 213.927060; 213.749036; 213.610470; 213.118568; 212.700129; 212.108716; 211.625993; 211.000144; 210.271746; 209.817007; 209.224597; 208.550066; 208.130017; 208.213463; 208.236918; 208.305821; 208.431453; 208.557799; 208.514482; 208.339885; 207.899779; 207.591146; 207.454294; 207.384288; 207.187444; 207.280204; 207.484007; 207.547545; 207.303002; 207.067743; 206.867754; 206.663102; 206.769511; 206.919402; 206.633061; 206.685558; 206.705078; 206.610382; 206.362531; 205.954671; 205.326036; 204.822838; 204.468787; 204.087183; 203.911647; 203.705475; 203.401297; 202.850536; 202.531874; 202.695221; 202.589765; 202.453285; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11822.4; 10:20:22; (); (); (); (); (); (); (); (); (); 204.516411; 204.212219; 204.066157; 203.629494; 203.366220; 203.200459; 203.051627; 203.169554; 203.035951; 202.532634; 202.046663; 201.395243; 200.979263; 201.110110; 201.439649; 201.847851; 202.530965; 203.257427; 204.206541; 204.619735; 204.814479; 205.135420; 205.137372; 205.244601; 205.445066; 205.668658; 206.183821; 206.700072; 206.830800; 206.877515; 206.688613; 206.248790; 205.790326; 205.589548; 206.137702; 206.998333; 207.794592; 208.645523; 209.484041; 210.115746; 210.789323; 211.164132; 211.847708; 212.494716; 212.821573; 213.319391; 213.744506; 213.989735; 214.056104; 213.712305; 213.127255; 212.995186; 212.895647; 212.835148; 212.836191; 212.659851; 212.521970; 212.147608; 211.901963; 211.817890; 211.464629; 211.197525; 211.143240; 210.957825; 210.808709; 210.559815; 209.915027; 209.330156; 208.854824; 208.560646; 208.624095; 208.663404; 208.603859; 208.374798; 208.356619; 208.736271; 209.150881; 209.513947; 210.052028; 210.620970; 210.921913; 211.012855; 211.162120; 211.417571; 211.680382; 211.777821; 212.091744; 212.308928; 212.402299; 212.287977; 212.009192; 211.567700; 211.034939; 210.489437; 209.881261; 209.626496; 209.615976; 209.533080; 209.447324; 209.228307; 208.987027; 208.756536; 208.535984; 208.422378; 208.492398; 208.401769; 208.268300; 208.133757; 207.919523; 207.808733; 207.732812; 207.701087; 207.648247; 207.526624; 207.437262; 206.834406; 206.321910; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11826.4; 10:20:31; (); (); (); (); (); (); (); (); (); 204.516411; 210.331082; 210.207626; 209.659502; 209.395736; 209.187612; 209.153205; 208.996713; 208.754450; 208.280116; 207.717687; 207.282484; 206.885755; 206.470713; 205.995545; 205.769509; 205.716446; 205.638438; 205.884248; 206.178963; 206.238791; 206.087813; 205.915034; 205.626160; 205.321088; 205.188304; 205.049515; 205.171883; 205.491155; 205.856919; 205.534369; 205.110222; 204.844281; 204.301924; 203.738540; 203.542575; 203.565702; 203.605145; 203.790084; 203.925326; 203.750268; 203.964800; 203.984782; 203.720823; 203.403354; 203.376010; 203.564405; 203.892097; 204.426080; 204.798788; 205.006614; 205.221310; 205.477327; 205.544293; 205.732673; 205.829114; 205.884129; 206.162140; 206.368521; 206.512377; 206.477910; 206.260487; 205.818489; 205.175176; 204.502761; 203.929305; 203.100666; 202.462584; 201.968282; 201.526448; 201.090112; 200.576395; 199.963018; 199.692890; 199.576452; 199.415833; 199.592099; 199.924991; 200.347215; 200.629681; 201.100111; 201.728880; 201.979220; 201.986626; 202.145934; 202.730715; 202.952787; 203.403056; 203.746721; 204.107493; 204.215124; 203.962743; 203.808039; 203.897446; 203.866825; 203.633636; 203.375712; 203.561500; 203.816667; 203.890279; 203.597426; 203.467980; 203.484997; 203.785554; 203.944370; 203.931779; 203.776151; 203.601003; 203.275681; 203.061655; 203.132913; 203.094333; 202.967778; 202.920660; 202.956870; 203.256801; 203.459054; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11830.4; 10:20:39; (); (); (); (); (); (); (); (); (); (); 210.001722; 210.137025; 210.081831; 210.008368; 209.699228; 209.390476; 209.160477; 208.922505; 208.720759; 208.537459; 208.509862; 208.480299; 208.548233; 208.407685; 208.315253; 208.155349; 208.310097; 208.599836; 208.979979; 209.479004; 209.861904; 209.934801; 209.884748; 209.825486; 209.962204; 210.056230; 210.078329; 209.895536; 209.516391; 209.079280; 208.515301; 207.914189; 207.228288; 206.412822; 205.849051; 205.631822; 205.741629; 205.766261; 205.585718; 205.329463; 205.269471; 205.213815; 205.381364; 205.649450; 205.785960; 205.833569; 205.855250; 205.861747; 205.884427; 205.691531; 205.496207; 205.329359; 205.191880; 205.238685; 205.320925; 205.256015; 205.217615; 205.242187; 205.237687; 205.122605; 205.129892; 205.080569; 204.874784; 204.834193; 204.909414; 205.159783; 205.260888; 205.451772; 205.476269; 205.511540; 205.666453; 205.534309; 205.035761; 204.632595; 204.466552; 204.374209; 204.236358; 204.531431; 204.649374; 204.718322; 204.716668; 204.689860; 204.543740; 204.691157; 204.838037; 204.971343; 205.376267; 206.055313; 206.511483; 207.161620; 207.968265; 208.398670; 208.267435; 208.331808; 208.327428; 208.200186; 208.116546; 208.124191; 207.838520; 207.804695; 207.894161; 207.772121; 207.644626; 207.535699; 207.009807; 206.537873; 206.153452; 206.086367; 206.099138; 206.112653; 206.093565; 206.255898; 206.420138; 206.463024; 205.806062; 205.336109; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11834.4; 10:20:48; (); (); (); (); (); (); (); (); (); 208.561063; 208.333358; 208.475500; 208.417252; 208.350152; 208.375826; 208.294377; 208.341211; 208.602026; 208.505824; 208.301187; 208.281651; 208.277255; 208.395138; 208.502650; 208.549216; 208.574265; 208.457142; 208.540365; 208.587900; 208.495602; 208.474308; 208.194286; 207.842842; 207.840756; 207.866013; 207.659557; 207.354635; 206.999004; 206.903189; 206.692129; 206.489548; 206.151843; 205.944210; 205.855578; 205.918714; 206.264213; 206.703231; 207.149968; 207.487285; 207.482040; 207.681343; 207.940891; 208.243877; 208.371714; 208.565205; 208.402827; 208.432645; 208.384708; 208.286673; 207.986951; 207.566872; 207.160011; 206.830785; 206.671342; 206.767395; 206.887141; 207.003281; 206.843749; 206.697434; 206.834882; 207.047790; 206.871256; 206.653222; 206.792057; 206.817701; 206.970230; 207.260355; 207.420915; 207.661390; 207.987964; 208.100200; 208.405837; 208.890289; 209.445387; 210.014358; 210.818648; 211.586177; 212.021470; 212.040111; 212.172851; 212.431118; 212.633893; 212.651759; 212.385580; 212.299034; 212.299868; 212.046474; 211.942598; 211.754799; 211.337775; 210.887924; 210.570037; 210.710362; 211.018577; 210.992426; 210.797489; 210.456669; 210.157767; 210.028201; 209.705293; 209.397763; 208.938241; 208.059192; 207.308426; 206.999287; 206.875101; 206.671685; 206.232339; 206.039667; 205.814481; 205.551490; 205.409288; 205.112115; 204.813406; 204.434410; 204.015747; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11838.3; 10:20:57; (); (); (); (); (); (); (); (); (); 205.044433; 205.077216; 205.188066; 205.401227; 205.692887; 205.731839; 205.358744; 204.999536; 204.992503; 204.632163; 204.087317; 203.323305; 202.730328; 202.277914; 201.752678; 201.687381; 201.481104; 201.037779; 200.485036; 199.977309; 199.702650; 199.736640; 199.667186; 199.655473; 199.790373; 199.868664; 200.388074; 200.685084; 200.596616; 200.453192; 200.217381; 200.376824; 200.729609; 201.110110; 201.586366; 202.368289; 203.142211; 203.548715; 203.693494; 203.866631; 203.948021; 203.714520; 204.004616; 204.259604; 204.738736; 205.174744; 205.753922; 206.476167; 206.962928; 206.988961; 206.887156; 207.172707; 207.709298; 208.476350; 209.186032; 209.960431; 210.600317; 211.385757; 212.257609; 212.491527; 212.588668; 212.417364; 212.083608; 212.061629; 212.352440; 212.327540; 212.308571; 212.319553; 212.160796; 212.244213; 212.443173; 212.312937; 211.832941; 211.221680; 210.944578; 210.941344; 210.701495; 210.413873; 210.141525; 209.684283; 209.418580; 208.822489; 208.452582; 208.151415; 208.094597; 208.148956; 208.362848; 208.671987; 208.918378; 209.228605; 209.246963; 209.459394; 209.657162; 209.565789; 209.301233; 209.146440; 209.071845; 208.873138; 208.896995; 208.610013; 208.058998; 207.889408; 207.685098; 207.580432; 207.494915; 207.326382; 207.268834; 207.168698; 207.155436; 207.186192; 207.236946; 207.350731; 207.439020; 207.296729; 207.591802; 207.492590; 207.287148; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
