Roll Number; 4
Recipe Name; FP 4556_576 GSM
Start Time; 2018-04-05; 16:21:07
File Name; D:\Mahlo\TR\180405162107FP 4556_576 GSM4_XMF2.txt

26572.4; 16:21:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -15772.418213; -15062.979126; -13408.630371; -12228.729248; -11247.319794; -10298.831177; -9588.990784; -8942.310333; -8025.955200; -7021.372223; -5875.851440; -4732.123566; -3730.847168; -2727.220345; -1577.991390; -571.215487; 2.899898; 2.899324; 2.897411; 2.892994; 2.888008; 2.885133; 2.884788; 2.885516; 2.886842; 2.886864; 2.884749; 2.882340; 2.880697; 2.879740; 2.879801; 2.880280; 2.881601; 2.883856; 2.887235; 2.890783; 2.892653; 2.893046; 2.893084; 2.892990; 2.892817; 2.893278; 2.894509; 2.895505; 2.895989; 2.895506; 2.894416; 2.893088; 2.892053; 2.891978; 2.893993; 2.897066; 2.899607; 2.900908; 2.900677; 2.899120; 2.896303; 2.891457; 2.885669; 2.880423; 2.878247; 2.878902; 2.880654; 2.880955; 2.878162; 2.873067; 2.869176; 2.866681; 2.864956; 2.864702; 2.866818; 2.871763; 2.877774; 2.883513; 2.888053; 2.890625; 2.891591; 2.891868; 2.893163; 2.895170; 2.896798; 2.897955; 2.898816; 2.900901; 2.903206; 2.903820; 2.902829; 2.901891; 2.901814; 2.902103; 2.903075; 2.904262; 2.904387; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
26574.5; 16:21:27; (); (); (); (); (); (); (); (); 2.915468; 2.915646; 2.917659; 2.920809; 2.922526; 2.922820; 2.921788; 2.925689; 2.940335; 2.945293; 2.941996; 2.933084; 2.923397; 2.913219; 2.907967; 2.906964; 2.905816; 2.903824; 2.900667; 2.896523; 2.894805; 2.895198; 2.894743; 2.891875; 2.887686; 2.885723; 2.886859; 2.889450; 2.891760; 2.890904; 2.886650; 2.883083; 2.880692; 2.878935; 2.877536; 2.874899; 2.872960; 2.872488; 2.873932; 2.875618; 2.875629; 2.873011; 2.869589; 2.867200; 2.867658; 2.871215; 2.876254; 2.879355; 2.882715; 2.885974; 2.887894; 2.886675; 2.883975; 2.881033; 2.880029; 2.881510; 2.885384; 2.889368; 2.891592; 2.891622; 2.889616; 2.887133; 2.886702; 2.887735; 2.889490; 2.891999; 2.894816; 2.897069; 2.899086; 2.899534; 2.899176; 2.897844; 2.895978; 2.894321; 2.893470; 2.893489; 2.894211; 2.894590; 2.892868; 2.889260; 2.886188; 2.884551; 2.884375; 2.884925; 2.885859; 2.886768; 2.890042; 2.896538; 2.903268; 2.909923; 2.916412; 2.921573; 2.924361; 2.929212; 2.933926; 2.936927; 2.936824; 2.933263; 2.930836; 2.932609; 2.935235; 2.935344; 2.933622; 2.929744; 2.925150; 2.920839; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
26576.2; 16:21:36; (); (); (); (); (); (); (); (); 2.791176; 2.798658; 2.807124; 2.814139; 2.817464; 2.820643; 2.821806; 2.823301; 2.829798; 2.776357; 2.704211; 2.624680; 2.539196; 2.465443; 2.393637; 2.313061; 2.239930; 2.167209; 2.092293; 2.020513; 1.937350; 1.865587; 1.781829; 1.704315; 1.699576; 1.699786; 1.700738; 1.699694; 1.698169; 1.695885; 1.691878; 1.688859; 1.685793; 1.685043; 1.684586; 1.684767; 1.685084; 1.685100; 1.685148; 1.684978; 1.685370; 1.685769; 1.685840; 1.685428; 1.684652; 1.683510; 1.681253; 1.678129; 1.674534; 1.670221; 1.664436; 1.659282; 1.654911; 1.651911; 1.650549; 1.649587; 1.647698; 1.646061; 1.646432; 1.647837; 1.650102; 1.652976; 1.654791; 1.656154; 1.658278; 1.661669; 1.665437; 1.668834; 1.670094; 1.668974; 1.667573; 1.666629; 1.664641; 1.660688; 1.657130; 1.655110; 1.654105; 1.653558; 1.652910; 1.650357; 1.648318; 1.648666; 1.652123; 1.658529; 1.667114; 1.675501; 1.681383; 1.686091; 1.691681; 1.696146; 1.699800; 1.704521; 1.708553; 1.711003; 1.713222; 1.713812; 1.713173; 1.710418; 1.706019; 1.702714; 1.700553; 1.699775; 1.699963; 1.700309; 1.699066; 1.696453; 1.692031; 1.687849; 1.686404; 1.685135; 1.677077; 1.661031; 1.657199; 1.654777; 1.651900; 1.647472; 1.639520; 1.627032; 1.618203; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26577.9; 16:21:44; (); (); (); (); (); (); (); (); 1.682870; 1.689252; 1.694904; 1.699137; 1.702847; 1.704937; 1.706163; 1.717371; 1.736319; 1.740243; 1.736570; 1.731113; 1.725520; 1.722234; 1.719703; 1.716720; 1.712278; 1.708030; 1.703927; 1.699721; 1.696789; 1.695275; 1.696303; 1.699881; 1.703503; 1.706101; 1.709316; 1.712685; 1.714661; 1.715144; 1.715877; 1.718068; 1.720781; 1.723685; 1.728259; 1.733183; 1.737135; 1.737961; 1.736739; 1.734442; 1.731552; 1.728164; 1.725527; 1.724415; 1.725867; 1.727744; 1.729394; 1.730040; 1.730187; 1.727958; 1.724325; 1.720581; 1.716697; 1.713952; 1.712832; 1.712768; 1.713406; 1.712733; 1.711203; 1.707844; 1.703883; 1.700140; 1.697123; 1.694073; 1.691595; 1.689645; 1.689151; 1.690395; 1.692535; 1.694735; 1.696724; 1.699172; 1.703231; 1.707797; 1.712800; 1.718364; 1.725642; 1.731652; 1.734667; 1.738499; 1.742245; 1.745412; 1.748115; 1.749198; 1.749977; 1.748554; 1.747522; 1.745046; 1.744108; 1.741659; 1.737807; 1.734830; 1.730928; 1.728440; 1.725052; 1.722293; 1.719336; 1.715509; 1.713779; 1.708625; 1.706267; 1.698799; 1.691557; 1.683443; 1.677390; 1.670871; 1.663491; 1.659867; 1.651631; 1.642442; 1.620082; 1.609040; 1.602872; 1.594307; 1.587997; 1.580850; 1.576316; 1.569133; 1.618203; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26579.6; 16:21:53; (); (); (); (); (); (); (); (); 1.668163; 1.675900; 1.676625; 1.678867; 1.681583; 1.685505; 1.689523; 1.693276; 1.716466; 1.733975; 1.738594; 1.735371; 1.731341; 1.727310; 1.722559; 1.718598; 1.712739; 1.710162; 1.707058; 1.706138; 1.704448; 1.702884; 1.702060; 1.700634; 1.699796; 1.696793; 1.694847; 1.693384; 1.693166; 1.695344; 1.696963; 1.700405; 1.704147; 1.706365; 1.706510; 1.704325; 1.700410; 1.695977; 1.692650; 1.690663; 1.690657; 1.691532; 1.692858; 1.694044; 1.694320; 1.694554; 1.695539; 1.696711; 1.697910; 1.698888; 1.699835; 1.701473; 1.703512; 1.705180; 1.705007; 1.702973; 1.700794; 1.698876; 1.696794; 1.695362; 1.694347; 1.692907; 1.691653; 1.690047; 1.687850; 1.685409; 1.683040; 1.681674; 1.681571; 1.683196; 1.686945; 1.690304; 1.691681; 1.691655; 1.690359; 1.688780; 1.687487; 1.685963; 1.685311; 1.686210; 1.688774; 1.690754; 1.691985; 1.692542; 1.692774; 1.692537; 1.693525; 1.696520; 1.701295; 1.707861; 1.713374; 1.718548; 1.724816; 1.728727; 1.730081; 1.730130; 1.731310; 1.733383; 1.734935; 1.734769; 1.733013; 1.729512; 1.723994; 1.716321; 1.706851; 1.698897; 1.693195; 1.688494; 1.685131; 1.680775; 1.669555; 1.643823; 1.633115; 1.627189; 1.621221; 1.614534; 1.606789; 1.599547; 1.594139; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26581.3; 16:22:01; (); (); (); (); (); (); (); (); 1.659528; 1.662253; 1.664478; 1.666030; 1.667833; 1.670305; 1.672225; 1.680080; 1.696396; 1.699527; 1.694735; 1.688684; 1.683060; 1.678410; 1.675876; 1.675913; 1.678520; 1.681975; 1.685503; 1.687686; 1.688438; 1.689666; 1.691193; 1.693975; 1.697001; 1.698867; 1.699448; 1.700195; 1.701483; 1.704073; 1.706389; 1.707817; 1.709286; 1.710998; 1.713184; 1.715551; 1.716915; 1.718600; 1.720588; 1.723482; 1.727872; 1.731917; 1.737038; 1.741082; 1.741764; 1.739901; 1.737040; 1.734330; 1.732455; 1.731238; 1.730789; 1.729626; 1.728448; 1.726947; 1.724417; 1.720823; 1.717591; 1.714662; 1.713991; 1.715684; 1.718301; 1.720397; 1.721965; 1.722204; 1.722187; 1.721867; 1.722221; 1.722205; 1.722153; 1.722614; 1.723685; 1.724830; 1.725936; 1.725669; 1.723788; 1.721064; 1.717890; 1.714435; 1.711748; 1.709514; 1.708248; 1.708264; 1.708113; 1.707987; 1.708040; 1.707367; 1.705958; 1.703005; 1.701537; 1.702034; 1.704170; 1.706787; 1.708845; 1.710824; 1.710582; 1.708823; 1.703814; 1.700277; 1.698252; 1.695170; 1.693944; 1.690506; 1.688813; 1.682896; 1.676052; 1.668452; 1.662403; 1.657480; 1.651133; 1.644266; 1.619275; 1.605675; 1.602388; 1.597566; 1.591422; 1.583035; 1.576355; 1.566708; 1.563556; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26583.0; 16:22:10; (); (); (); (); (); (); (); (); 1.626295; 1.631525; 1.628185; 1.625761; 1.624153; 1.624667; 1.625658; 1.627440; 1.641306; 1.659219; 1.664262; 1.661730; 1.662136; 1.659961; 1.656796; 1.655940; 1.654170; 1.659217; 1.663597; 1.669740; 1.674426; 1.679305; 1.683687; 1.689030; 1.695089; 1.698583; 1.701402; 1.700328; 1.697274; 1.696241; 1.697573; 1.702248; 1.705173; 1.706614; 1.706234; 1.705119; 1.703704; 1.701242; 1.697588; 1.693762; 1.690508; 1.687903; 1.686586; 1.685831; 1.684710; 1.681879; 1.675905; 1.670304; 1.666915; 1.664163; 1.660904; 1.656607; 1.653454; 1.651252; 1.650940; 1.650817; 1.650152; 1.650108; 1.651349; 1.653709; 1.656488; 1.659942; 1.663305; 1.665201; 1.669090; 1.675160; 1.682683; 1.690323; 1.696120; 1.700310; 1.705076; 1.710624; 1.715485; 1.719675; 1.723058; 1.724918; 1.725758; 1.725739; 1.727266; 1.727353; 1.725893; 1.722667; 1.718760; 1.715306; 1.713105; 1.710900; 1.707573; 1.703732; 1.700086; 1.697739; 1.698150; 1.701269; 1.705003; 1.707060; 1.708045; 1.709003; 1.710672; 1.712374; 1.713862; 1.715091; 1.716202; 1.718193; 1.720527; 1.723179; 1.724607; 1.724359; 1.722314; 1.719833; 1.717642; 1.715729; 1.708143; 1.690828; 1.687822; 1.686145; 1.683445; 1.680893; 1.676504; 1.667328; 1.563556; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26584.7; 16:22:19; (); (); (); (); (); (); (); (); 1.675258; 1.680935; 1.685348; 1.687848; 1.689653; 1.690681; 1.691387; 1.698004; 1.717443; 1.724784; 1.726006; 1.727510; 1.730055; 1.732653; 1.733944; 1.734185; 1.734839; 1.735742; 1.736878; 1.737873; 1.739816; 1.742598; 1.745172; 1.746914; 1.747081; 1.745688; 1.743158; 1.740919; 1.739278; 1.738645; 1.737976; 1.735337; 1.731393; 1.727078; 1.722602; 1.716235; 1.710154; 1.703237; 1.696520; 1.692248; 1.688349; 1.683470; 1.678811; 1.673761; 1.668329; 1.664689; 1.663393; 1.663547; 1.665403; 1.668063; 1.671054; 1.673464; 1.677165; 1.680701; 1.683717; 1.686594; 1.690223; 1.691820; 1.692541; 1.692602; 1.693470; 1.694512; 1.696817; 1.698880; 1.700843; 1.702143; 1.703293; 1.703305; 1.702566; 1.700156; 1.696643; 1.693746; 1.694676; 1.698926; 1.704772; 1.709545; 1.713963; 1.716436; 1.718977; 1.721727; 1.724237; 1.726991; 1.730638; 1.732953; 1.735765; 1.739048; 1.743542; 1.746330; 1.747655; 1.748843; 1.750605; 1.753150; 1.754564; 1.755354; 1.754733; 1.754394; 1.752442; 1.750144; 1.749438; 1.748870; 1.750951; 1.750086; 1.749470; 1.745770; 1.741093; 1.733493; 1.724324; 1.719875; 1.713403; 1.708592; 1.684538; 1.670865; 1.667703; 1.662708; 1.658539; 1.649509; 1.639271; 1.625604; 1.619335; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26586.4; 16:22:27; (); (); (); (); (); (); (); (); 1.659946; 1.664692; 1.664601; 1.666074; 1.664066; 1.664349; 1.663337; 1.662165; 1.673981; 1.689734; 1.692468; 1.686789; 1.681616; 1.675260; 1.671177; 1.668997; 1.667572; 1.670049; 1.671826; 1.674887; 1.676106; 1.678455; 1.681691; 1.683295; 1.686858; 1.689091; 1.695721; 1.702141; 1.706577; 1.710407; 1.712510; 1.714215; 1.714567; 1.715413; 1.716088; 1.717894; 1.719816; 1.720309; 1.720670; 1.721821; 1.724423; 1.724598; 1.722946; 1.720397; 1.717827; 1.716642; 1.715670; 1.715177; 1.715039; 1.714647; 1.713130; 1.711657; 1.711779; 1.712580; 1.712047; 1.709649; 1.708139; 1.707486; 1.706756; 1.706106; 1.706122; 1.706455; 1.706808; 1.707251; 1.707800; 1.708807; 1.708757; 1.706332; 1.703314; 1.701034; 1.700633; 1.701676; 1.704437; 1.709487; 1.716737; 1.722892; 1.728203; 1.732072; 1.733129; 1.733646; 1.735736; 1.739810; 1.746164; 1.754886; 1.762873; 1.767842; 1.768955; 1.768238; 1.766470; 1.764593; 1.763652; 1.764256; 1.767326; 1.772510; 1.776801; 1.779648; 1.780652; 1.779372; 1.776328; 1.773188; 1.770509; 1.769315; 1.768732; 1.768756; 1.768410; 1.766726; 1.762635; 1.757674; 1.752102; 1.745416; 1.733547; 1.714725; 1.709958; 1.706905; 1.702842; 1.697773; 1.692818; 1.684619; 1.619335; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26588.1; 16:22:36; (); (); (); (); (); (); (); (); 1.768010; 1.770114; 1.769969; 1.767435; 1.765630; 1.763905; 1.762321; 1.762416; 1.775239; 1.781215; 1.779283; 1.776182; 1.772746; 1.769434; 1.766341; 1.762829; 1.759991; 1.759529; 1.760573; 1.762191; 1.763985; 1.766746; 1.769236; 1.770722; 1.770666; 1.769668; 1.768219; 1.767087; 1.766195; 1.766294; 1.766935; 1.767149; 1.766527; 1.765916; 1.764619; 1.763283; 1.760808; 1.757379; 1.753259; 1.747824; 1.741344; 1.734650; 1.728969; 1.725851; 1.723860; 1.722289; 1.720575; 1.719023; 1.716664; 1.714089; 1.712138; 1.710690; 1.709297; 1.708520; 1.709093; 1.710497; 1.711052; 1.710284; 1.708934; 1.707501; 1.705428; 1.702134; 1.698842; 1.695509; 1.693821; 1.692617; 1.689887; 1.685604; 1.679714; 1.672168; 1.666484; 1.664001; 1.662674; 1.659822; 1.655552; 1.651608; 1.647598; 1.644024; 1.640782; 1.636740; 1.633724; 1.633839; 1.638106; 1.645122; 1.654422; 1.661824; 1.667198; 1.671418; 1.676552; 1.683159; 1.689800; 1.698620; 1.705887; 1.713945; 1.721054; 1.726358; 1.729392; 1.728395; 1.728280; 1.725239; 1.725151; 1.722930; 1.719132; 1.714650; 1.708142; 1.700278; 1.689230; 1.682832; 1.675342; 1.666281; 1.647329; 1.637927; 1.633525; 1.626994; 1.622092; 1.614290; 1.604792; 1.595018; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
26589.8; 16:22:44; (); (); (); (); (); (); (); (); 1.666380; 1.671706; 1.676045; 1.681171; 1.683569; 1.687077; 1.688063; 1.688048; 1.694671; 1.710019; 1.715359; 1.711860; 1.709583; 1.705962; 1.707475; 1.708934; 1.709933; 1.710418; 1.709717; 1.710925; 1.709612; 1.710617; 1.713156; 1.716842; 1.721253; 1.724330; 1.728794; 1.732441; 1.736393; 1.737983; 1.738309; 1.739123; 1.739511; 1.739896; 1.740892; 1.745245; 1.749521; 1.751898; 1.752722; 1.751625; 1.748062; 1.743764; 1.740653; 1.737224; 1.735535; 1.735950; 1.738085; 1.740612; 1.742906; 1.742887; 1.741514; 1.740017; 1.739288; 1.738721; 1.738415; 1.738094; 1.737761; 1.736884; 1.735334; 1.733664; 1.732976; 1.732169; 1.731556; 1.730699; 1.729731; 1.727907; 1.725199; 1.723215; 1.723628; 1.726414; 1.729633; 1.734893; 1.740062; 1.743623; 1.745710; 1.746188; 1.747227; 1.748292; 1.749152; 1.749231; 1.749864; 1.751057; 1.751753; 1.751757; 1.751804; 1.752965; 1.755412; 1.758100; 1.761045; 1.764836; 1.767542; 1.768820; 1.770264; 1.772954; 1.776245; 1.778295; 1.778007; 1.776487; 1.774531; 1.772573; 1.769231; 1.763316; 1.755895; 1.748030; 1.741721; 1.736045; 1.730994; 1.726962; 1.721755; 1.715374; 1.706275; 1.686465; 1.678532; 1.674929; 1.670080; 1.665074; 1.661661; 1.655976; 1.650911; (); (); (); (); (); (); (); (); (); (); (); (); (); 
