Roll Number; 4
Recipe Name; FP 4556_576 GSM
Start Time; 2018-04-05; 16:21:07
File Name; D:\Mahlo\TR\180405162107FP 4556_576 GSM4_FMI2.txt

26572.4; 16:21:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 608.089209; 608.450592; 608.333826; 607.983232; 608.352065; 609.015405; 608.787477; 608.620167; 609.132171; 609.308839; 609.810412; 610.458016; 609.968960; 609.655201; 609.257817; 609.082282; 608.897328; 609.019101; 609.088123; 608.845234; 608.162582; 607.330680; 606.444836; 605.745435; 604.588270; 602.930009; 601.564646; 601.579607; 601.552486; 601.995707; 601.983368; 601.669312; 602.067351; 602.518439; 602.578938; 602.741838; 603.432715; 604.149878; 604.633987; 605.571389; 606.444597; 606.492460; 606.522202; 607.051194; 607.128561; 607.616484; 607.502759; 606.563926; 606.312752; 606.617689; 607.570112; 608.822286; 609.671772; 610.120058; 610.442042; 611.487508; 612.973809; 613.967836; 613.829255; 613.650024; 613.644660; 614.206433; 614.888728; 614.793062; 613.928735; 612.799108; 612.483859; 612.347186; 612.589061; 612.865746; 612.511039; 612.115622; 611.815810; 611.241162; 611.232638; 611.441553; 610.667169; 609.668553; 609.048486; 609.017074; 609.292567; 609.127343; 609.011829; 608.524680; 608.168125; 607.850492; 607.209861; 606.553197; 606.643438; 605.974495; 605.297029; 606.077969; 607.374072; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
26574.5; 16:21:27; (); (); (); (); (); (); (); (); 625.759602; 625.706792; 625.998139; 624.825180; 623.352230; 622.272253; 620.505869; 618.445992; 616.436422; 614.762425; 612.787783; 611.036599; 609.360635; 608.150840; 607.758582; 607.304931; 605.793357; 604.714990; 604.406893; 604.490101; 605.365396; 606.898844; 608.326733; 609.227836; 609.929562; 610.558808; 610.905886; 611.677885; 612.247765; 612.174630; 611.705601; 611.291707; 611.319661; 611.537755; 611.963511; 611.568391; 611.196518; 611.293912; 611.562252; 611.480594; 611.386180; 611.229479; 610.836506; 610.294342; 609.723926; 609.589100; 609.503150; 609.367728; 609.115243; 608.999908; 608.779192; 608.003080; 606.767833; 606.527984; 606.613755; 606.624484; 606.375933; 605.799198; 605.730534; 606.401980; 607.083917; 607.776046; 608.200312; 608.270407; 607.884228; 607.996464; 608.476341; 609.234393; 609.941363; 610.649824; 611.227810; 611.941218; 612.411141; 612.630010; 612.627923; 612.331390; 612.146974; 612.414539; 612.160206; 611.622512; 611.056268; 610.490978; 610.009074; 609.054208; 608.760536; 608.921766; 608.758569; 608.768344; 609.153867; 609.721601; 610.219479; 610.789895; 610.905409; 611.285985; 611.601949; 612.084627; 612.712801; 612.965584; 613.350809; 613.112807; 612.618625; 612.680912; 612.831235; 612.418592; 611.692488; 611.347735; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
26576.2; 16:21:36; (); (); (); (); (); (); (); (); 618.838608; 618.652463; 617.394328; 615.888119; 614.407241; 612.884998; 612.165809; 611.407995; 610.235095; 608.739018; 607.471466; 607.285380; 606.780171; 605.765939; 604.887009; 604.582071; 604.518473; 605.117023; 605.707943; 606.078267; 606.973231; 607.836246; 608.953476; 609.643519; 610.179186; 610.710859; 610.685766; 611.437500; 612.999141; 613.887668; 613.911927; 613.128185; 612.648547; 612.193108; 611.827970; 611.639321; 610.878468; 610.035419; 609.588504; 609.647512; 609.588742; 608.703494; 607.910335; 606.967270; 605.559766; 604.810417; 605.042279; 605.613589; 606.483579; 606.768906; 606.816173; 607.018411; 607.298195; 607.729137; 607.812285; 607.911289; 608.253181; 608.782411; 609.026492; 609.552503; 610.017717; 610.075355; 608.777046; 608.229101; 608.765781; 609.420657; 609.723151; 609.801412; 610.209882; 610.191822; 609.446406; 608.632684; 607.500374; 607.453346; 607.959688; 608.206332; 608.865023; 609.473467; 609.330475; 608.971059; 608.909369; 609.275401; 609.581709; 609.451473; 609.899938; 611.550450; 612.964213; 613.788664; 613.990366; 614.137053; 614.150882; 614.067256; 614.024818; 614.083052; 614.192843; 614.030659; 614.113748; 614.648223; 615.482807; 615.817547; 615.383983; 614.550233; 613.619030; 612.883329; 612.103999; 612.178802; 612.239003; 612.689257; 613.297582; 613.322675; 612.666607; 612.313569; 611.556768; 610.159636; 608.978629; 608.835876; 609.607875; 610.774100; 611.501038; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26577.9; 16:21:44; (); (); (); (); (); (); (); (); 616.748810; 616.511345; 615.991950; 614.672899; 613.495648; 613.071918; 612.787485; 613.328516; 614.407837; 614.600480; 614.280343; 613.782525; 612.262547; 610.577166; 609.799445; 609.692037; 610.031545; 609.717011; 609.657407; 609.668612; 609.495342; 610.042214; 610.598624; 609.891474; 609.067619; 608.914435; 608.349025; 608.747005; 610.054970; 610.056937; 609.066248; 607.970297; 607.663989; 608.000875; 608.137608; 607.947528; 606.372058; 604.918182; 604.186356; 603.536665; 603.190720; 603.041291; 602.767885; 602.050304; 602.046549; 602.266669; 602.174938; 602.888942; 604.050577; 604.548514; 604.907155; 605.463266; 605.568469; 605.708539; 605.971992; 606.000662; 606.565475; 607.109189; 608.470976; 609.591722; 610.250652; 611.137331; 611.480355; 610.599995; 610.512733; 610.571325; 611.274421; 612.186372; 612.339199; 612.514853; 613.161504; 613.718033; 614.070833; 613.416910; 612.552524; 612.064123; 611.771405; 611.349404; 610.906661; 610.156655; 609.075010; 607.613981; 606.246233; 605.557561; 604.996860; 604.585707; 604.198873; 603.515625; 602.873266; 602.851689; 602.808893; 603.195786; 603.367209; 604.706168; 607.186973; 608.941674; 609.895766; 610.285282; 611.325443; 612.129152; 612.330675; 612.204254; 611.746252; 611.792445; 612.465799; 614.176154; 614.702106; 615.305424; 615.713179; 615.099430; 615.138352; 615.869045; 617.307425; 618.210495; 618.718863; 619.283199; 620.465517; 622.814953; 611.501038; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26579.6; 16:21:53; (); (); (); (); (); (); (); (); 621.873081; 621.247351; 619.952679; 618.553817; 617.239237; 616.325796; 615.966320; 615.988672; 615.696132; 614.940226; 614.347100; 614.185274; 614.093602; 613.252819; 612.095237; 611.413956; 611.134350; 611.121893; 611.430943; 612.386882; 613.162816; 613.144994; 612.450242; 611.675680; 611.023247; 610.294282; 609.764874; 609.682620; 609.986246; 610.303402; 610.515177; 610.606968; 610.746861; 609.773099; 608.054698; 606.950104; 606.055915; 605.891109; 605.834186; 606.494009; 607.103050; 606.505454; 605.706513; 605.563641; 605.291545; 605.194926; 605.090678; 604.655921; 604.972839; 606.235206; 607.109666; 608.216226; 608.897805; 608.754754; 607.794642; 607.377112; 608.131230; 608.388484; 608.342767; 608.984172; 609.578848; 609.671950; 609.800458; 610.347807; 610.561609; 611.018777; 611.795783; 612.995028; 613.930464; 614.385426; 614.283264; 614.787042; 616.209805; 617.509544; 617.960870; 618.041158; 618.321478; 618.339300; 617.739260; 616.587043; 615.750968; 613.692284; 611.307085; 609.916687; 609.663904; 609.104037; 607.134819; 604.873657; 602.670074; 601.132631; 600.349545; 600.225389; 601.016402; 601.868927; 602.698028; 603.150785; 604.450703; 605.876446; 606.755555; 607.059181; 607.423007; 608.565450; 609.817266; 611.069858; 612.555683; 613.276005; 613.537133; 613.497078; 613.124073; 612.938643; 613.149405; 612.696350; 612.127483; 612.208545; 612.463117; 613.235116; 613.554180; 613.923848; 613.452494; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26581.3; 16:22:01; (); (); (); (); (); (); (); (); 602.321923; 601.348996; 600.305915; 599.358320; 598.502219; 598.225236; 597.581685; 597.168505; 597.030580; 597.581685; 598.092496; 597.045064; 595.053732; 593.102098; 592.401862; 591.809869; 590.689123; 589.866102; 589.441419; 588.974893; 588.674486; 589.420259; 589.979172; 590.038121; 589.252472; 588.765144; 588.946998; 589.156985; 589.268208; 588.932574; 588.896334; 589.662969; 590.579033; 590.848327; 591.406643; 591.804147; 591.493845; 591.560364; 592.326939; 593.070209; 593.432605; 593.195617; 593.598843; 593.679368; 593.682051; 594.055355; 594.585359; 595.284402; 596.771836; 597.580194; 597.432375; 597.243488; 597.108543; 597.068131; 597.641706; 598.470509; 599.530339; 600.160122; 600.684822; 601.225317; 602.134585; 602.949739; 603.040338; 603.203952; 604.825854; 607.462347; 609.668612; 611.180484; 612.286150; 612.973034; 612.606466; 612.111151; 612.363696; 613.110483; 613.596976; 613.847852; 613.988161; 613.847196; 613.548398; 612.769961; 611.723304; 610.577762; 609.582067; 608.989596; 608.464122; 608.774364; 609.523952; 609.776914; 609.615982; 609.585047; 609.487474; 609.426379; 609.408617; 609.154463; 608.793676; 608.404100; 608.347058; 609.130740; 609.234452; 608.735859; 608.422756; 608.552575; 608.555973; 608.738124; 608.487606; 607.182443; 606.471598; 606.850624; 607.795238; 608.774960; 609.547496; 610.037804; 609.678745; 609.886110; 610.765636; 611.173332; 610.576808; 610.007346; 610.048831; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26583.0; 16:22:10; (); (); (); (); (); (); (); (); 614.829123; 615.000308; 614.859998; 614.231646; 613.221169; 613.079607; 613.630593; 613.873482; 613.808393; 613.702178; 613.353074; 611.715734; 610.310614; 609.812379; 609.749794; 609.702826; 609.665215; 609.750390; 610.031307; 609.745085; 608.953536; 607.758403; 607.468188; 607.135832; 606.628776; 606.651068; 608.045101; 609.498918; 610.012472; 609.559000; 608.314037; 606.792092; 605.997860; 605.708003; 605.831206; 605.816841; 605.420947; 604.450226; 603.507340; 602.804184; 602.375448; 602.085292; 602.147877; 602.658212; 603.765011; 606.148124; 607.854068; 608.336926; 608.954251; 610.325694; 611.346781; 612.578392; 613.689482; 614.211857; 615.109265; 615.522146; 614.907086; 614.146709; 613.142550; 611.920536; 609.938443; 609.107792; 608.559608; 607.552171; 606.756032; 606.050313; 604.963958; 604.039550; 604.371369; 604.472518; 604.801893; 605.131865; 606.122732; 607.137322; 607.980430; 609.098375; 610.023737; 611.094534; 611.915588; 613.165319; 614.461184; 615.337014; 615.906358; 615.611970; 615.411878; 615.000606; 614.572048; 613.724113; 612.731695; 611.777246; 611.186862; 610.421896; 610.189140; 609.934032; 608.997822; 607.863784; 607.996941; 608.256817; 608.798027; 608.751118; 608.600914; 608.732283; 608.687401; 608.683586; 608.940363; 609.278619; 609.710336; 609.928310; 610.636771; 611.673713; 612.953722; 613.208234; 613.015890; 612.904668; 613.582432; 614.347100; 615.237832; 617.053151; 610.048831; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26584.7; 16:22:19; (); (); (); (); (); (); (); (); 615.204394; 613.934636; 613.898575; 614.844739; 615.859210; 616.896272; 617.700219; 617.637873; 617.397070; 617.379963; 616.628826; 616.050482; 615.478277; 614.878714; 614.367306; 614.047170; 613.114297; 611.809611; 610.625923; 609.442890; 607.692063; 605.192065; 603.617668; 603.227496; 602.192044; 601.656735; 601.256549; 600.514293; 599.757969; 599.031925; 598.581314; 598.506927; 598.358631; 597.552598; 596.547484; 595.817447; 596.108675; 596.206486; 596.121728; 595.581293; 594.788849; 593.968570; 593.671024; 594.025016; 594.357193; 595.196426; 595.803618; 596.437633; 596.588194; 596.050858; 595.176637; 594.687939; 594.344735; 594.031811; 595.191598; 595.995486; 595.417440; 594.510615; 593.779504; 593.572974; 593.027651; 592.791915; 592.257679; 591.651976; 591.446340; 591.242313; 590.522468; 590.159535; 589.510441; 587.993562; 586.365402; 586.768389; 587.030053; 586.353421; 585.911334; 585.809588; 585.736156; 586.211026; 586.997151; 587.509871; 588.337004; 589.279234; 589.805603; 590.448737; 591.307044; 592.783749; 592.683733; 592.629492; 593.137801; 593.078494; 593.211591; 593.449831; 593.103945; 592.012227; 590.955615; 590.708435; 590.994298; 591.505885; 591.696560; 591.730475; 591.552138; 591.842532; 592.568219; 593.656242; 594.313085; 594.429791; 594.415009; 595.667481; 598.005176; 600.401580; 601.994693; 602.826715; 603.087544; 603.471696; 603.758931; 604.369998; 606.149018; 607.920468; 608.218253; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26586.4; 16:22:27; (); (); (); (); (); (); (); (); 616.409540; 615.886807; 615.546763; 616.347790; 616.460145; 615.296721; 614.135563; 612.938106; 612.359285; 612.012565; 612.869203; 613.964617; 613.760531; 612.846076; 611.995757; 611.097813; 610.478938; 610.759437; 610.604823; 610.686183; 611.704946; 612.369776; 613.343000; 613.557279; 613.193035; 611.924708; 610.206723; 610.356510; 611.771703; 612.686992; 613.721609; 614.879668; 614.795268; 614.741266; 615.115225; 615.585744; 615.749836; 614.818394; 613.481462; 611.832798; 610.775471; 610.600948; 609.694481; 607.936323; 607.344449; 607.309461; 606.469631; 605.534077; 604.485691; 604.036272; 602.917910; 602.456629; 603.014648; 604.297876; 606.287003; 608.858466; 609.856546; 610.978663; 612.198532; 612.927437; 613.147140; 613.145828; 612.969935; 612.680078; 612.485588; 613.308251; 613.985598; 614.013851; 613.980472; 613.326430; 612.681568; 612.208545; 612.048864; 611.344397; 610.074222; 609.758675; 610.089362; 610.236168; 609.847307; 608.356476; 606.589258; 606.204867; 606.691003; 606.639028; 606.657028; 607.027888; 607.510507; 607.492745; 608.837724; 610.103726; 610.559821; 611.642957; 613.650680; 615.428030; 617.144406; 618.499935; 620.431304; 621.990860; 623.217344; 624.213755; 625.086963; 625.511706; 625.174940; 624.750376; 624.502957; 624.177456; 623.017073; 621.488750; 620.370090; 619.016826; 617.653787; 615.250289; 613.739669; 612.568676; 610.987961; 608.988285; 607.692778; 606.777668; 608.218253; (); (); (); (); (); (); (); (); (); (); (); (); (); 
26588.1; 16:22:36; (); (); (); (); (); (); (); (); 616.779745; 616.856456; 615.865707; 615.275800; 615.702927; 616.870821; 616.494715; 615.332663; 614.857435; 614.584267; 614.235103; 613.818347; 613.109291; 612.220287; 611.023962; 610.372961; 609.623671; 609.341145; 609.310031; 608.873606; 607.455492; 606.691182; 607.166886; 607.201993; 606.373191; 605.772316; 605.352879; 604.628682; 603.650749; 603.189588; 603.044689; 603.126884; 602.744639; 601.991117; 601.370513; 600.737691; 600.386024; 600.513995; 600.585461; 600.675583; 601.153851; 601.014793; 601.237357; 601.546645; 601.329207; 600.740850; 600.348055; 600.656688; 600.480258; 599.976122; 599.770010; 600.027680; 599.439859; 598.573267; 597.753584; 597.392917; 597.962797; 597.934961; 597.315013; 596.826911; 597.107947; 598.048210; 598.890364; 599.083960; 598.694563; 598.253608; 597.447753; 597.367406; 598.108709; 598.905206; 598.543227; 597.294748; 596.817195; 597.646475; 598.414004; 597.893536; 596.430063; 595.403671; 595.035553; 595.332265; 595.591962; 596.186280; 595.761240; 594.438791; 593.024790; 591.887772; 591.380477; 590.538979; 588.598192; 587.241352; 586.848140; 586.157143; 585.650027; 585.532486; 584.689498; 583.007813; 580.831826; 579.464734; 578.713536; 578.243136; 578.544676; 579.677165; 580.863476; 581.056237; 580.466807; 579.991043; 579.732955; 579.281271; 579.447925; 580.113053; 581.423223; 582.653224; 583.585978; 584.345460; 585.114062; 585.385859; 584.929526; 584.162176; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
26589.8; 16:22:44; (); (); (); (); (); (); (); (); 611.546457; 610.571563; 610.335112; 610.337496; 609.706402; 608.929873; 608.207822; 608.266890; 609.308183; 610.097110; 610.513985; 609.648108; 608.289659; 607.715487; 608.547866; 609.474599; 610.237241; 610.603034; 611.278117; 612.321019; 612.856388; 612.832427; 611.733794; 609.840691; 608.107507; 606.966615; 607.495487; 608.609796; 609.780312; 610.425651; 610.253811; 610.278010; 610.093415; 608.987272; 607.957840; 607.372463; 607.477427; 607.802927; 607.986569; 608.098626; 608.025312; 607.247472; 606.320441; 605.009496; 604.171038; 604.247093; 604.231596; 603.963196; 604.655683; 605.266511; 605.617940; 605.903745; 606.278837; 605.848491; 605.338514; 605.523407; 606.191218; 607.523799; 608.373344; 608.533382; 608.663440; 608.189225; 607.743084; 606.672227; 605.369329; 604.142964; 603.200197; 602.841616; 602.815866; 603.038967; 603.663862; 604.350448; 603.789747; 602.688372; 601.518929; 600.233436; 599.828422; 599.454582; 599.621236; 600.150585; 601.095021; 602.212310; 603.088856; 603.983283; 603.817105; 602.754951; 602.619290; 603.546381; 604.858041; 606.147289; 607.462227; 608.631730; 610.437989; 611.646891; 613.086283; 614.259541; 614.550471; 614.655077; 614.526808; 615.200460; 615.833879; 615.592122; 615.592182; 615.939558; 615.705013; 615.066409; 614.933908; 614.841104; 615.300179; 616.101861; 616.519868; 616.733432; 616.956770; 617.558360; 617.981195; 618.368387; 618.560255; 618.027329; 618.357837; (); (); (); (); (); (); (); (); (); (); (); (); (); 
