Roll Number; 6
Recipe Name; FP 4556_275 GSM
Start Time; 2018-04-09; 10:26:44
File Name; D:\Mahlo\TR\180409102644FP 4556_275 GSM6_XMF2.txt

30488.1; 10:26:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -17.840903; -17.004274; -15.119299; -13.775232; -12.657134; -11.576112; -10.766895; -10.028826; -8.811377; -7.484890; -6.313477; -5.152910; -3.850304; -2.561635; -1.430811; -0.315679; 0.164224; 0.164562; 0.164912; 0.165106; 0.165089; 0.164972; 0.164701; 0.164496; 0.164176; 0.163817; 0.163779; 0.163787; 0.163453; 0.162899; 0.162359; 0.161712; 0.161109; 0.160743; 0.160211; 0.159432; 0.158732; 0.158259; 0.157840; 0.157668; 0.157257; 0.156822; 0.156600; 0.156582; 0.156655; 0.156964; 0.157703; 0.158508; 0.158910; 0.159450; 0.160075; 0.160606; 0.160935; 0.161432; 0.161781; 0.162311; 0.163005; 0.163746; 0.164391; 0.164981; 0.164940; 0.164748; 0.164816; 0.164893; 0.165245; 0.165903; 0.166680; 0.167493; 0.168264; 0.169136; 0.169719; 0.170006; 0.170259; 0.170581; 0.171033; 0.171902; 0.172444; 0.172540; 0.172764; 0.172925; 0.172642; 0.172362; 0.171860; 0.171149; 0.170916; 0.171034; 0.171073; 0.170965; 0.170815; 0.170441; 0.169387; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30492.7; 10:27:05; (); (); (); (); (); (); (); (); (); 0.178922; 0.180467; 0.180728; 0.180749; 0.180974; 0.180895; 0.181172; 0.182646; 0.182886; 0.182152; 0.181511; 0.180630; 0.179421; 0.177752; 0.175615; 0.177523; 0.176320; 0.175151; 0.174132; 0.173098; 0.172735; 0.172865; 0.173389; 0.173659; 0.173821; 0.173489; 0.172696; 0.172037; 0.171617; 0.171168; 0.167197; 0.166735; 0.166388; 0.166151; 0.165932; 0.165380; 0.164149; 0.162763; 0.161126; 0.159026; 0.157098; 0.155816; 0.154877; 0.153975; 0.152820; 0.151618; 0.150517; 0.149368; 0.148046; 0.146667; 0.145475; 0.144747; 0.144205; 0.144183; 0.144583; 0.145108; 0.145524; 0.145664; 0.145656; 0.146080; 0.146366; 0.146606; 0.146804; 0.146464; 0.145822; 0.145119; 0.144555; 0.144244; 0.143806; 0.143557; 0.143729; 0.143984; 0.144086; 0.143779; 0.143437; 0.143362; 0.143122; 0.143158; 0.143689; 0.144546; 0.145569; 0.146421; 0.147746; 0.148954; 0.150137; 0.151456; 0.152776; 0.154486; 0.156439; 0.157590; 0.158039; 0.158611; 0.159006; 0.158931; 0.158583; 0.157736; 0.157044; 0.155747; 0.155215; 0.154488; 0.153147; 0.151248; 0.149306; 0.147709; 0.146790; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30496.3; 10:27:13; (); (); (); (); (); (); (); (); (); 0.163708; 0.164668; 0.165929; 0.166663; 0.167110; 0.166805; 0.166591; 0.167465; 0.168987; 0.169705; 0.168922; 0.169305; 0.168662; 0.168505; 0.167962; 0.167302; 0.166628; 0.165232; 0.164440; 0.163831; 0.163754; 0.163809; 0.163877; 0.164015; 0.163647; 0.163342; 0.162660; 0.162115; 0.161461; 0.160852; 0.160714; 0.160998; 0.161500; 0.161749; 0.161792; 0.161997; 0.162262; 0.164042; 0.169017; 0.174031; 0.178262; 0.182394; 0.186352; 0.190756; 0.195347; 0.200497; 0.205953; 0.210261; 0.214015; 0.218632; 0.223154; 0.226434; 0.226905; 0.226379; 0.226228; 0.226190; 0.226192; 0.226411; 0.226644; 0.226754; 0.226865; 0.226994; 0.226898; 0.226699; 0.226788; 0.227162; 0.227695; 0.228102; 0.228362; 0.228486; 0.228539; 0.228352; 0.227875; 0.227223; 0.226515; 0.226120; 0.226069; 0.226276; 0.226909; 0.227979; 0.229015; 0.230077; 0.231428; 0.232163; 0.232476; 0.232828; 0.233446; 0.234099; 0.234378; 0.234231; 0.233798; 0.233150; 0.232342; 0.231547; 0.230594; 0.229814; 0.228820; 0.227497; 0.226642; 0.226301; 0.226295; 0.226332; 0.226125; 0.226266; 0.226724; 0.227054; 0.227278; 0.227594; 0.227474; 0.226536; 0.224485; 0.223667; 0.223647; 0.223583; 0.223199; 0.222234; 0.221211; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30500.0; 10:27:22; (); (); (); (); (); (); (); (); (); 0.163708; 0.237083; 0.238662; 0.239440; 0.239590; 0.239650; 0.240134; 0.240793; 0.243350; 0.244917; 0.245267; 0.244613; 0.243595; 0.242183; 0.240743; 0.239592; 0.238278; 0.237175; 0.236367; 0.235941; 0.235738; 0.235189; 0.234792; 0.234690; 0.234547; 0.234242; 0.234081; 0.233804; 0.233431; 0.233133; 0.233117; 0.233198; 0.233215; 0.233248; 0.233127; 0.232892; 0.232034; 0.230751; 0.229437; 0.227980; 0.226479; 0.225636; 0.225200; 0.224999; 0.224811; 0.223944; 0.222914; 0.222293; 0.221654; 0.220758; 0.220005; 0.219715; 0.219743; 0.220059; 0.220420; 0.220942; 0.221182; 0.221621; 0.222128; 0.222801; 0.223873; 0.225177; 0.225787; 0.225823; 0.225939; 0.226052; 0.225759; 0.225319; 0.224689; 0.224424; 0.224466; 0.224707; 0.224354; 0.223714; 0.222702; 0.222148; 0.221678; 0.221664; 0.222053; 0.222287; 0.222728; 0.223572; 0.224790; 0.225869; 0.226278; 0.226094; 0.225631; 0.225324; 0.225095; 0.224892; 0.224387; 0.223703; 0.223109; 0.222297; 0.221948; 0.221548; 0.221151; 0.221037; 0.220312; 0.220297; 0.219769; 0.219481; 0.219627; 0.219341; 0.219470; 0.218320; 0.218012; 0.216079; 0.213819; 0.210762; 0.209648; 0.208732; 0.206824; 0.205812; 0.204437; 0.202991; 0.202208; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30503.5; 10:27:30; (); (); (); (); (); (); (); (); (); (); 0.223438; 0.224686; 0.225346; 0.225643; 0.226401; 0.226557; 0.227221; 0.228481; 0.231588; 0.233060; 0.233039; 0.233479; 0.232602; 0.231989; 0.230834; 0.229273; 0.228876; 0.228093; 0.227934; 0.227363; 0.227307; 0.227360; 0.227288; 0.227119; 0.226462; 0.226016; 0.225223; 0.224648; 0.224209; 0.223885; 0.223722; 0.223348; 0.222900; 0.222181; 0.221605; 0.220568; 0.219056; 0.217561; 0.216126; 0.214916; 0.214064; 0.213015; 0.212024; 0.211595; 0.211265; 0.210737; 0.210261; 0.210008; 0.209858; 0.209555; 0.209387; 0.209141; 0.209169; 0.209483; 0.210178; 0.210949; 0.211814; 0.212732; 0.214008; 0.215484; 0.216913; 0.218150; 0.219276; 0.220129; 0.220416; 0.220570; 0.220905; 0.221319; 0.221496; 0.221332; 0.220917; 0.220523; 0.220318; 0.220090; 0.219837; 0.219577; 0.219200; 0.218729; 0.218722; 0.219316; 0.219979; 0.220599; 0.221617; 0.222609; 0.223567; 0.224678; 0.225815; 0.226783; 0.227311; 0.227774; 0.228406; 0.229282; 0.230014; 0.230342; 0.230635; 0.231136; 0.231279; 0.230911; 0.230260; 0.229802; 0.229032; 0.227930; 0.227220; 0.226918; 0.226498; 0.225855; 0.225554; 0.225177; 0.224348; 0.222580; 0.219997; 0.218690; 0.218287; 0.218182; 0.217966; 0.217667; 0.216786; (); (); (); (); (); (); (); (); (); (); (); (); (); 
30507.1; 10:27:39; (); (); (); (); (); (); (); (); (); (); 0.223438; 0.227698; 0.228712; 0.229398; 0.229562; 0.229639; 0.229545; 0.229664; 0.231672; 0.232711; 0.232513; 0.232158; 0.231781; 0.231052; 0.229857; 0.228439; 0.227246; 0.226112; 0.224652; 0.223540; 0.222872; 0.222517; 0.222386; 0.222180; 0.221258; 0.220321; 0.219238; 0.218163; 0.217398; 0.216857; 0.216332; 0.216066; 0.215927; 0.215811; 0.215289; 0.214392; 0.213091; 0.211279; 0.209603; 0.208331; 0.207003; 0.205816; 0.205090; 0.204426; 0.203929; 0.203566; 0.203258; 0.202798; 0.202523; 0.202766; 0.203301; 0.203881; 0.204561; 0.205375; 0.206940; 0.209212; 0.211141; 0.212839; 0.214911; 0.216720; 0.218363; 0.219717; 0.220778; 0.221400; 0.222185; 0.223130; 0.224239; 0.225506; 0.226829; 0.227469; 0.227578; 0.227408; 0.227159; 0.226387; 0.225634; 0.225127; 0.225334; 0.226247; 0.227109; 0.227825; 0.228869; 0.229693; 0.230414; 0.230390; 0.230356; 0.230738; 0.231519; 0.232655; 0.233700; 0.234758; 0.235369; 0.235404; 0.235380; 0.235013; 0.234357; 0.233219; 0.232145; 0.231082; 0.230203; 0.229788; 0.228992; 0.228434; 0.227365; 0.225998; 0.225454; 0.223926; 0.222951; 0.220774; 0.218661; 0.215188; 0.213870; 0.213372; 0.212376; 0.211903; 0.210591; 0.209087; 0.206881; (); (); (); (); (); (); (); (); (); (); (); (); (); 
30510.7; 10:27:48; (); (); (); (); (); (); (); (); (); (); (); 0.230121; 0.231312; 0.231644; 0.231110; 0.230893; 0.230856; 0.231192; 0.232452; 0.234464; 0.234898; 0.233440; 0.233335; 0.232339; 0.231917; 0.230840; 0.229358; 0.228590; 0.227703; 0.227946; 0.228004; 0.228977; 0.232210; 0.232208; 0.232756; 0.232840; 0.232943; 0.232291; 0.231501; 0.231243; 0.231067; 0.231245; 0.231307; 0.231411; 0.231351; 0.231000; 0.228854; 0.226088; 0.226054; 0.225759; 0.225284; 0.224697; 0.224065; 0.223557; 0.222967; 0.222341; 0.221596; 0.221117; 0.220556; 0.219981; 0.219671; 0.219331; 0.218832; 0.217921; 0.217227; 0.216856; 0.217067; 0.217600; 0.217990; 0.218273; 0.218659; 0.219267; 0.219845; 0.220058; 0.220181; 0.220132; 0.220135; 0.220349; 0.220866; 0.221483; 0.222380; 0.223093; 0.223489; 0.223980; 0.224774; 0.225401; 0.225629; 0.225871; 0.226405; 0.227052; 0.227788; 0.228886; 0.230283; 0.231478; 0.232627; 0.233466; 0.233881; 0.234265; 0.234727; 0.235373; 0.235816; 0.236207; 0.236436; 0.236442; 0.236255; 0.235687; 0.234510; 0.233262; 0.232067; 0.230857; 0.230085; 0.229624; 0.229420; 0.229270; 0.228728; 0.228234; 0.228294; 0.228229; 0.227769; 0.226720; 0.224617; 0.222733; 0.222749; 0.222573; 0.222324; 0.221963; 0.220917; 0.219036; (); (); (); (); (); (); (); (); (); (); (); (); 
30514.3; 10:27:56; (); (); (); (); (); (); (); (); (); (); (); 0.225856; 0.227351; 0.228610; 0.229203; 0.229442; 0.229276; 0.229211; 0.231133; 0.232606; 0.232568; 0.232554; 0.232353; 0.232140; 0.231372; 0.230137; 0.228920; 0.227944; 0.227120; 0.226663; 0.226669; 0.227099; 0.227363; 0.227420; 0.227178; 0.226756; 0.226349; 0.226185; 0.225851; 0.225893; 0.226077; 0.226372; 0.226519; 0.226601; 0.226191; 0.225305; 0.224177; 0.223015; 0.221989; 0.220943; 0.219541; 0.218410; 0.217673; 0.217306; 0.216806; 0.216660; 0.216573; 0.216586; 0.216759; 0.217355; 0.218005; 0.218421; 0.218887; 0.219707; 0.220718; 0.221907; 0.223486; 0.225140; 0.226594; 0.227965; 0.228866; 0.229723; 0.230356; 0.230594; 0.230663; 0.230847; 0.231329; 0.231657; 0.231867; 0.232216; 0.232345; 0.231989; 0.231230; 0.230169; 0.229110; 0.228028; 0.227415; 0.227047; 0.226913; 0.226741; 0.226920; 0.227772; 0.229014; 0.229936; 0.231239; 0.231903; 0.232675; 0.233372; 0.234015; 0.234656; 0.234772; 0.234487; 0.234159; 0.234199; 0.234007; 0.233258; 0.232178; 0.230119; 0.228157; 0.226193; 0.225083; 0.224644; 0.224002; 0.223226; 0.222136; 0.221644; 0.220042; 0.218816; 0.217747; 0.215033; 0.212145; 0.210767; 0.210286; 0.209479; 0.208533; 0.207336; 0.204574; 0.203149; (); (); (); (); (); (); (); (); (); (); (); (); 
30517.9; 10:28:05; (); (); (); (); (); (); (); (); (); (); (); 0.222551; 0.223625; 0.224202; 0.224985; 0.225635; 0.225776; 0.226103; 0.225869; 0.227350; 0.227982; 0.228123; 0.228465; 0.228169; 0.228834; 0.228916; 0.229288; 0.229332; 0.229551; 0.230236; 0.230454; 0.231286; 0.232065; 0.233426; 0.234632; 0.235225; 0.235832; 0.235997; 0.236626; 0.236850; 0.236686; 0.236255; 0.235982; 0.235813; 0.235343; 0.234721; 0.233873; 0.233072; 0.231614; 0.229545; 0.228086; 0.227105; 0.226127; 0.225249; 0.224421; 0.223843; 0.223647; 0.223234; 0.222703; 0.222350; 0.222722; 0.222872; 0.223270; 0.224062; 0.224563; 0.224936; 0.225374; 0.226003; 0.226794; 0.227431; 0.227905; 0.227696; 0.227185; 0.226548; 0.225980; 0.225381; 0.224852; 0.224293; 0.224126; 0.224244; 0.224342; 0.224764; 0.225055; 0.224811; 0.224131; 0.223986; 0.224400; 0.225336; 0.226350; 0.226994; 0.227351; 0.227875; 0.228667; 0.229439; 0.230089; 0.230578; 0.230435; 0.230220; 0.230513; 0.231139; 0.231701; 0.231865; 0.231837; 0.231816; 0.231946; 0.232109; 0.231935; 0.231623; 0.231269; 0.230867; 0.230212; 0.229777; 0.229546; 0.229050; 0.228346; 0.227849; 0.227571; 0.227347; 0.226544; 0.224930; 0.222372; 0.220169; 0.219651; 0.218906; 0.217749; 0.217033; 0.215954; 0.214608; (); (); (); (); (); (); (); (); (); (); (); (); 
30521.5; 10:28:14; (); (); (); (); (); (); (); (); (); (); 0.237370; 0.237676; 0.237641; 0.237409; 0.237033; 0.236337; 0.235818; 0.237159; 0.238610; 0.238465; 0.237441; 0.236535; 0.235541; 0.234230; 0.233229; 0.232720; 0.232265; 0.232027; 0.232415; 0.232632; 0.233072; 0.233869; 0.234587; 0.235039; 0.235830; 0.236050; 0.236103; 0.236182; 0.236204; 0.236188; 0.236453; 0.236701; 0.236731; 0.236197; 0.235990; 0.236011; 0.235332; 0.234380; 0.233539; 0.232382; 0.231261; 0.230210; 0.229444; 0.228939; 0.228572; 0.228391; 0.228567; 0.228547; 0.228376; 0.228437; 0.228301; 0.228350; 0.228466; 0.228814; 0.229623; 0.230475; 0.231282; 0.232269; 0.233474; 0.233928; 0.233673; 0.233257; 0.233063; 0.232937; 0.232367; 0.232099; 0.232069; 0.231840; 0.231026; 0.230078; 0.229778; 0.229748; 0.229403; 0.228969; 0.229239; 0.229686; 0.230041; 0.230795; 0.231960; 0.233055; 0.234052; 0.234947; 0.235859; 0.236867; 0.237970; 0.238662; 0.239409; 0.240120; 0.240632; 0.241054; 0.241802; 0.242497; 0.242126; 0.242004; 0.242126; 0.241471; 0.241141; 0.240700; 0.240728; 0.239683; 0.238333; 0.237093; 0.235701; 0.234594; 0.232798; 0.231588; 0.229796; 0.228378; 0.226388; 0.222511; 0.218651; 0.216998; 0.215852; 0.214347; 0.213338; 0.212644; 0.211551; 0.210476; (); (); (); (); (); (); (); (); (); (); (); (); 
30525.2; 10:28:22; (); (); (); (); (); (); (); (); (); (); 0.218179; 0.219861; 0.219982; 0.220671; 0.220895; 0.221794; 0.222422; 0.222244; 0.224802; 0.225851; 0.226946; 0.226563; 0.225725; 0.225316; 0.225458; 0.226241; 0.225845; 0.226298; 0.226169; 0.226174; 0.225969; 0.225490; 0.225655; 0.225156; 0.224738; 0.223702; 0.222372; 0.221255; 0.219843; 0.218731; 0.217286; 0.216447; 0.215948; 0.215861; 0.215586; 0.214983; 0.214395; 0.213857; 0.213755; 0.213340; 0.213272; 0.213516; 0.213538; 0.213414; 0.213231; 0.213078; 0.212783; 0.212265; 0.211258; 0.210261; 0.209542; 0.209083; 0.208826; 0.209138; 0.209995; 0.210632; 0.211421; 0.212660; 0.214000; 0.215334; 0.216496; 0.217363; 0.217793; 0.218236; 0.218922; 0.219776; 0.220482; 0.220520; 0.220190; 0.219918; 0.219759; 0.219412; 0.218933; 0.218192; 0.217497; 0.217361; 0.217552; 0.218415; 0.219929; 0.221297; 0.222348; 0.223388; 0.225032; 0.226536; 0.227765; 0.229055; 0.230681; 0.231878; 0.233170; 0.234435; 0.235369; 0.235863; 0.236049; 0.235477; 0.235013; 0.234751; 0.234476; 0.234126; 0.233977; 0.233598; 0.232905; 0.232051; 0.231389; 0.230378; 0.229246; 0.227964; 0.227092; 0.225781; 0.223967; 0.220914; 0.218416; 0.217617; 0.216474; 0.215178; 0.213705; 0.211538; 0.209377; (); (); (); (); (); (); (); (); (); (); (); (); (); 
