Roll Number; 6
Recipe Name; FP 4556_275 GSM
Start Time; 2018-04-09; 10:26:44
File Name; D:\Mahlo\TR\180409102644FP 4556_275 GSM6_THICKNESS2.txt

30488.1; 10:26:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.612547; 0.613676; 0.616157; 0.619136; 0.622328; 0.626069; 0.627592; 0.628644; 0.630362; 0.631449; 0.631712; 0.633960; 0.634513; 0.634411; 0.635965; 0.638280; 0.639864; 0.639695; 0.639473; 0.638830; 0.637873; 0.640510; 0.642504; 0.643699; 0.644959; 0.648198; 0.650741; 0.652203; 0.652099; 0.649878; 0.646556; 0.644612; 0.643451; 0.642864; 0.642286; 0.641446; 0.640168; 0.641280; 0.642648; 0.643205; 0.642542; 0.641316; 0.644376; 0.647036; 0.651328; 0.656610; 0.661091; 0.667588; 0.672886; 0.676935; 0.677047; 0.675689; 0.675154; 0.674078; 0.674551; 0.676334; 0.677129; 0.675362; 0.674056; 0.672279; 0.670331; 0.668181; 0.664402; 0.659459; 0.659177; 0.662446; 0.665600; 0.665399; 0.666559; 0.667175; 0.667708; 0.668560; 0.669291; 0.670544; 0.672143; 0.672582; 0.672549; 0.673064; 0.676178; 0.676157; 0.674938; 0.673149; 0.671156; 0.669676; 0.669358; 0.669286; 0.669507; 0.669944; 0.670231; 0.669876; 0.670425; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30492.7; 10:27:05; (); (); (); (); (); (); (); (); (); 0.642048; 0.639701; 0.639066; 0.639388; 0.639568; 0.640051; 0.640602; 0.642912; 0.644191; 0.642196; 0.640775; 0.639698; 0.637506; 0.634722; 0.633056; 0.633799; 0.635186; 0.635701; 0.636265; 0.636655; 0.635140; 0.633140; 0.630565; 0.629387; 0.628755; 0.628291; 0.629722; 0.631604; 0.631063; 0.630074; 0.629079; 0.627253; 0.626517; 0.626047; 0.625875; 0.627535; 0.631360; 0.634742; 0.638922; 0.641949; 0.642200; 0.640452; 0.639461; 0.639783; 0.639298; 0.638965; 0.638763; 0.638430; 0.638817; 0.638792; 0.637127; 0.634382; 0.629779; 0.625824; 0.623573; 0.624522; 0.626699; 0.627979; 0.626612; 0.627264; 0.628658; 0.629566; 0.627581; 0.624793; 0.622465; 0.620668; 0.620784; 0.622180; 0.625021; 0.625046; 0.624132; 0.623191; 0.623400; 0.624084; 0.622100; 0.619373; 0.616692; 0.617096; 0.619298; 0.622133; 0.622196; 0.620498; 0.618197; 0.618174; 0.619736; 0.618065; 0.616123; 0.615180; 0.614907; 0.615724; 0.617002; 0.618008; 0.617233; 0.615163; 0.612427; 0.610947; 0.610152; 0.608181; 0.605476; 0.604024; 0.604044; 0.603291; 0.602377; 0.602294; 0.601282; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30496.3; 10:27:13; (); (); (); (); (); (); (); (); (); 0.629546; 0.628949; 0.627907; 0.627993; 0.629635; 0.631562; 0.632318; 0.632049; 0.633531; 0.634101; 0.631924; 0.630191; 0.626466; 0.624748; 0.624523; 0.624398; 0.623074; 0.623900; 0.624200; 0.624591; 0.625557; 0.627753; 0.630317; 0.631663; 0.634593; 0.637531; 0.638371; 0.641047; 0.641794; 0.643665; 0.646082; 0.648470; 0.650418; 0.651747; 0.652399; 0.652012; 0.650799; 0.650114; 0.652275; 0.651954; 0.654289; 0.657386; 0.659309; 0.662276; 0.662207; 0.662277; 0.661126; 0.659592; 0.658738; 0.656755; 0.657348; 0.659137; 0.659765; 0.657908; 0.657379; 0.656359; 0.654896; 0.653635; 0.652896; 0.653690; 0.655748; 0.658498; 0.662305; 0.665363; 0.665322; 0.664977; 0.665190; 0.667745; 0.670029; 0.669284; 0.669733; 0.670421; 0.669528; 0.668375; 0.667628; 0.664966; 0.663857; 0.661397; 0.661260; 0.661962; 0.660313; 0.656869; 0.650886; 0.650189; 0.651870; 0.651675; 0.651341; 0.651778; 0.651608; 0.651942; 0.653595; 0.655403; 0.655496; 0.654933; 0.655146; 0.656270; 0.658852; 0.660823; 0.660044; 0.659180; 0.660026; 0.662322; 0.662556; 0.659811; 0.658080; 0.654628; 0.649543; 0.646400; 0.643706; 0.640803; 0.638615; 0.637390; 0.636087; 0.635138; 0.633287; 0.626813; 0.619595; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30500.0; 10:27:22; (); (); (); (); (); (); (); (); (); 0.629546; 0.630365; 0.632699; 0.630976; 0.629796; 0.630150; 0.629329; 0.627773; 0.626981; 0.626895; 0.627280; 0.627176; 0.626874; 0.626449; 0.625952; 0.624640; 0.622809; 0.624171; 0.625767; 0.627268; 0.627845; 0.629365; 0.633250; 0.634773; 0.635676; 0.635912; 0.635170; 0.636871; 0.636692; 0.637103; 0.639274; 0.638848; 0.636414; 0.635662; 0.635118; 0.634718; 0.634323; 0.631446; 0.631532; 0.631532; 0.632501; 0.633334; 0.633198; 0.635826; 0.634925; 0.633351; 0.634039; 0.636350; 0.638085; 0.639424; 0.638036; 0.636359; 0.636775; 0.638582; 0.639826; 0.640402; 0.639706; 0.639331; 0.636577; 0.636647; 0.638785; 0.640443; 0.639686; 0.638735; 0.636922; 0.638513; 0.640423; 0.641046; 0.638156; 0.635464; 0.634585; 0.635513; 0.636309; 0.637384; 0.640552; 0.638578; 0.637411; 0.638100; 0.639501; 0.641226; 0.641494; 0.639809; 0.637802; 0.638433; 0.642184; 0.644604; 0.644015; 0.645502; 0.645969; 0.643317; 0.641689; 0.639388; 0.636048; 0.632170; 0.629104; 0.628773; 0.628640; 0.630117; 0.629185; 0.626749; 0.624790; 0.622006; 0.619271; 0.617013; 0.616471; 0.619340; 0.619943; 0.620211; 0.622813; 0.624948; 0.624676; 0.625632; 0.624646; 0.623972; 0.624155; 0.624979; 0.626716; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30503.5; 10:27:30; (); (); (); (); (); (); (); (); (); (); 0.636847; 0.638747; 0.638290; 0.636421; 0.635141; 0.634069; 0.631060; 0.628408; 0.627070; 0.625592; 0.623851; 0.620908; 0.615909; 0.612164; 0.609707; 0.607098; 0.605253; 0.603987; 0.602693; 0.600819; 0.599760; 0.600149; 0.601056; 0.602387; 0.602280; 0.602255; 0.604420; 0.605341; 0.606524; 0.607748; 0.608806; 0.609646; 0.610941; 0.612541; 0.613402; 0.614566; 0.616584; 0.616969; 0.616691; 0.618326; 0.618785; 0.619718; 0.624316; 0.625956; 0.627304; 0.627728; 0.628959; 0.630855; 0.632757; 0.637101; 0.640684; 0.643044; 0.645432; 0.648145; 0.648512; 0.649916; 0.650161; 0.651105; 0.655138; 0.658137; 0.660556; 0.660585; 0.659222; 0.657850; 0.656846; 0.654971; 0.654473; 0.655068; 0.655526; 0.654978; 0.652882; 0.652982; 0.652302; 0.650926; 0.648456; 0.648101; 0.651233; 0.653710; 0.653329; 0.652807; 0.654779; 0.654888; 0.654341; 0.655586; 0.658287; 0.660325; 0.659540; 0.657828; 0.656947; 0.657381; 0.658201; 0.658094; 0.657511; 0.659306; 0.659415; 0.657778; 0.656278; 0.653776; 0.650912; 0.649389; 0.649298; 0.649773; 0.649064; 0.649205; 0.648483; 0.646655; 0.644619; 0.644888; 0.643386; 0.643573; 0.644820; 0.646363; 0.648189; 0.649802; 0.651078; 0.651324; 0.652011; (); (); (); (); (); (); (); (); (); (); (); (); (); 
30507.1; 10:27:39; (); (); (); (); (); (); (); (); (); (); 0.636847; 0.621604; 0.627004; 0.629802; 0.630549; 0.630365; 0.628359; 0.626095; 0.626084; 0.626156; 0.625101; 0.625184; 0.623637; 0.622750; 0.621662; 0.619250; 0.615311; 0.612007; 0.609335; 0.607250; 0.606377; 0.607561; 0.609742; 0.611238; 0.612743; 0.613394; 0.613718; 0.614876; 0.614314; 0.616570; 0.620320; 0.622672; 0.623853; 0.623333; 0.621322; 0.619884; 0.618594; 0.616581; 0.614419; 0.612180; 0.610184; 0.607980; 0.605587; 0.603371; 0.600076; 0.596648; 0.592561; 0.589292; 0.590509; 0.593106; 0.594117; 0.594550; 0.594475; 0.593650; 0.594130; 0.594365; 0.594691; 0.596121; 0.600406; 0.602927; 0.605804; 0.609750; 0.612377; 0.612793; 0.612757; 0.614665; 0.616438; 0.619941; 0.625725; 0.629238; 0.631488; 0.635738; 0.638921; 0.641298; 0.646418; 0.651185; 0.654528; 0.657007; 0.659950; 0.665067; 0.667959; 0.670280; 0.672250; 0.673997; 0.675755; 0.679474; 0.682087; 0.684042; 0.685530; 0.683818; 0.683421; 0.685416; 0.684133; 0.681123; 0.677403; 0.674929; 0.676136; 0.676394; 0.675333; 0.673559; 0.672287; 0.670511; 0.666685; 0.663760; 0.661629; 0.660651; 0.659590; 0.662246; 0.665049; 0.666859; 0.667900; 0.666979; 0.665616; 0.665478; 0.665588; 0.665134; 0.666065; (); (); (); (); (); (); (); (); (); (); (); (); (); 
30510.7; 10:27:48; (); (); (); (); (); (); (); (); (); (); (); 0.653492; 0.652568; 0.650864; 0.649020; 0.647244; 0.646405; 0.644483; 0.643437; 0.641310; 0.637604; 0.633249; 0.631432; 0.631877; 0.631238; 0.629853; 0.629239; 0.629443; 0.629944; 0.630324; 0.631065; 0.632468; 0.633903; 0.634458; 0.636313; 0.638657; 0.640473; 0.641439; 0.640746; 0.642772; 0.644410; 0.645965; 0.648327; 0.650321; 0.651361; 0.651781; 0.652806; 0.654797; 0.656823; 0.658793; 0.661360; 0.662632; 0.663039; 0.663230; 0.661163; 0.659549; 0.658293; 0.657532; 0.657267; 0.659832; 0.660750; 0.659927; 0.658492; 0.657367; 0.656706; 0.655226; 0.654930; 0.657253; 0.660703; 0.662990; 0.664966; 0.666366; 0.666742; 0.666666; 0.666109; 0.665946; 0.664130; 0.664230; 0.664748; 0.664730; 0.665750; 0.666553; 0.663970; 0.662885; 0.665366; 0.666818; 0.666554; 0.666494; 0.664836; 0.664438; 0.668153; 0.673368; 0.676433; 0.678363; 0.680490; 0.682705; 0.684750; 0.686807; 0.686827; 0.686365; 0.686061; 0.686791; 0.689886; 0.692071; 0.689654; 0.686228; 0.684428; 0.683074; 0.680720; 0.677519; 0.674844; 0.672124; 0.668340; 0.663858; 0.660619; 0.658186; 0.654738; 0.649388; 0.645558; 0.643785; 0.642266; 0.640941; 0.639313; 0.638561; 0.636800; 0.634846; 0.633876; 0.635351; (); (); (); (); (); (); (); (); (); (); (); (); 
30514.3; 10:27:56; (); (); (); (); (); (); (); (); (); (); (); 0.614970; 0.611294; 0.610740; 0.611934; 0.614236; 0.615419; 0.614579; 0.612487; 0.607921; 0.607904; 0.608639; 0.609549; 0.610307; 0.609624; 0.608971; 0.610922; 0.613073; 0.613061; 0.613393; 0.612762; 0.612186; 0.613448; 0.615783; 0.618518; 0.619481; 0.618039; 0.617530; 0.617333; 0.616670; 0.615828; 0.615215; 0.616188; 0.618967; 0.620054; 0.620811; 0.621153; 0.621590; 0.621429; 0.620279; 0.618163; 0.618840; 0.620386; 0.621373; 0.622164; 0.623392; 0.624637; 0.623063; 0.620832; 0.618793; 0.618177; 0.620322; 0.620244; 0.620681; 0.622338; 0.624342; 0.627101; 0.627419; 0.629080; 0.630797; 0.631869; 0.632388; 0.634069; 0.636833; 0.641081; 0.644678; 0.645967; 0.649926; 0.651831; 0.653640; 0.654636; 0.653868; 0.655448; 0.656602; 0.657090; 0.657345; 0.657548; 0.657262; 0.655208; 0.652416; 0.651086; 0.651834; 0.649679; 0.650077; 0.652495; 0.655862; 0.658000; 0.657708; 0.659213; 0.661349; 0.661889; 0.661554; 0.661152; 0.661572; 0.662908; 0.662911; 0.662175; 0.662533; 0.662718; 0.660083; 0.657898; 0.657695; 0.657417; 0.654339; 0.649985; 0.649260; 0.648518; 0.647951; 0.646904; 0.642429; 0.640054; 0.639127; 0.637856; 0.635688; 0.634482; 0.632096; 0.629521; 0.627961; (); (); (); (); (); (); (); (); (); (); (); (); 
30517.9; 10:28:05; (); (); (); (); (); (); (); (); (); (); (); 0.621476; 0.625032; 0.626491; 0.625656; 0.625305; 0.626808; 0.627971; 0.627422; 0.627545; 0.628410; 0.631168; 0.634036; 0.637123; 0.637131; 0.634870; 0.632889; 0.630698; 0.629784; 0.631471; 0.632112; 0.631813; 0.632963; 0.636233; 0.638378; 0.639091; 0.638659; 0.637207; 0.634902; 0.634435; 0.634341; 0.634078; 0.634683; 0.636258; 0.636799; 0.637618; 0.637736; 0.637337; 0.640899; 0.643211; 0.643607; 0.641757; 0.639700; 0.639755; 0.639364; 0.639721; 0.640131; 0.639203; 0.637124; 0.635678; 0.633722; 0.633474; 0.631482; 0.626075; 0.624040; 0.626310; 0.629599; 0.633685; 0.637430; 0.638631; 0.638173; 0.637824; 0.638799; 0.641279; 0.642691; 0.643267; 0.642833; 0.643694; 0.645398; 0.645619; 0.643975; 0.644812; 0.644009; 0.643178; 0.645222; 0.648674; 0.652247; 0.654646; 0.657353; 0.660004; 0.661469; 0.661272; 0.660784; 0.661630; 0.663368; 0.664677; 0.664788; 0.666343; 0.668747; 0.670450; 0.670297; 0.669165; 0.669706; 0.667601; 0.666719; 0.668301; 0.669752; 0.670248; 0.669592; 0.667915; 0.665542; 0.663459; 0.661476; 0.660363; 0.657856; 0.655211; 0.652352; 0.648394; 0.646146; 0.643719; 0.641229; 0.639021; 0.637340; 0.636687; 0.636443; 0.637424; 0.637057; 0.633248; (); (); (); (); (); (); (); (); (); (); (); (); 
30521.5; 10:28:14; (); (); (); (); (); (); (); (); (); (); 0.624903; 0.627357; 0.629493; 0.631170; 0.632922; 0.636018; 0.636863; 0.637198; 0.638221; 0.637547; 0.639094; 0.639057; 0.638790; 0.639710; 0.639395; 0.638075; 0.636146; 0.634273; 0.632662; 0.631991; 0.628264; 0.627735; 0.627936; 0.628373; 0.630012; 0.632022; 0.635499; 0.637185; 0.638327; 0.641839; 0.645523; 0.649618; 0.652501; 0.654362; 0.655352; 0.657615; 0.658673; 0.660321; 0.660814; 0.658621; 0.657475; 0.656841; 0.654649; 0.652918; 0.653106; 0.651458; 0.647027; 0.645316; 0.644952; 0.643473; 0.642416; 0.642962; 0.640729; 0.640463; 0.642195; 0.643850; 0.643747; 0.647077; 0.645344; 0.644494; 0.646838; 0.652800; 0.655141; 0.655832; 0.657018; 0.657666; 0.658558; 0.660549; 0.662006; 0.661704; 0.661677; 0.663156; 0.662031; 0.663069; 0.663340; 0.662576; 0.660058; 0.657501; 0.657341; 0.657927; 0.657302; 0.654375; 0.651090; 0.648982; 0.647529; 0.647064; 0.646452; 0.645646; 0.646441; 0.646278; 0.646362; 0.647236; 0.648978; 0.649231; 0.650693; 0.653439; 0.656792; 0.659270; 0.658942; 0.658586; 0.658328; 0.659210; 0.660142; 0.659934; 0.659795; 0.659753; 0.659281; 0.657803; 0.657089; 0.656458; 0.656146; 0.654399; 0.653930; 0.656345; 0.658754; 0.659790; 0.660877; 0.661312; (); (); (); (); (); (); (); (); (); (); (); (); 
30525.2; 10:28:22; (); (); (); (); (); (); (); (); (); (); 0.639420; 0.640472; 0.642963; 0.642896; 0.639590; 0.633696; 0.629341; 0.626141; 0.623701; 0.622502; 0.620229; 0.615905; 0.612775; 0.609435; 0.605797; 0.602007; 0.598487; 0.594879; 0.591992; 0.591502; 0.592743; 0.594343; 0.596335; 0.596228; 0.596814; 0.599355; 0.602440; 0.604028; 0.604379; 0.602465; 0.603750; 0.604509; 0.605285; 0.608282; 0.610075; 0.611136; 0.609988; 0.608577; 0.609034; 0.610830; 0.611082; 0.610594; 0.610323; 0.611335; 0.612782; 0.613611; 0.614133; 0.614458; 0.614448; 0.615250; 0.615696; 0.618386; 0.620607; 0.621497; 0.620422; 0.621734; 0.624131; 0.627655; 0.631167; 0.633727; 0.637468; 0.641272; 0.644382; 0.647144; 0.650044; 0.652572; 0.655138; 0.656464; 0.657842; 0.660032; 0.660762; 0.662310; 0.661838; 0.660990; 0.662024; 0.662512; 0.662084; 0.660763; 0.660205; 0.660489; 0.661110; 0.661662; 0.661342; 0.662014; 0.664167; 0.666518; 0.665599; 0.665615; 0.665752; 0.665321; 0.664729; 0.664745; 0.665575; 0.665162; 0.663552; 0.662091; 0.661140; 0.661569; 0.659458; 0.656816; 0.655284; 0.654776; 0.655067; 0.655090; 0.653879; 0.651687; 0.649484; 0.648736; 0.647467; 0.647003; 0.646691; 0.646168; 0.646602; 0.647816; 0.647358; 0.646486; 0.645070; (); (); (); (); (); (); (); (); (); (); (); (); (); 
