Roll Number; 6
Recipe Name; FP 4556_275 GSM
Start Time; 2018-04-09; 10:26:44
File Name; D:\Mahlo\TR\180409102644FP 4556_275 GSM6_FMI2.txt

30488.1; 10:26:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 260.059237; 260.313570; 260.654241; 261.132121; 261.562586; 262.097359; 262.455881; 262.866259; 263.180703; 263.769329; 264.360428; 264.811635; 265.696228; 266.650826; 267.386466; 267.734617; 268.047988; 268.076062; 267.977327; 267.929345; 267.782182; 267.816097; 267.646164; 267.674536; 267.306805; 267.037421; 266.638517; 266.137809; 265.187114; 264.000267; 263.197482; 262.458682; 261.984676; 261.574268; 260.981947; 260.407686; 259.905994; 259.419858; 259.077072; 258.898824; 258.943647; 259.156793; 259.340614; 259.784430; 260.200381; 260.902911; 261.557817; 261.778831; 261.898369; 262.718469; 263.517857; 264.032602; 264.694542; 265.234470; 265.706271; 266.055733; 266.429067; 266.777843; 267.060876; 267.411500; 267.334312; 267.408997; 268.042862; 268.409491; 268.112808; 267.937869; 267.713040; 267.355412; 266.580641; 266.151875; 266.296387; 266.376048; 266.636133; 266.864300; 267.099977; 267.285198; 267.606944; 267.708808; 267.957777; 268.304735; 268.342406; 268.274277; 268.510342; 269.214571; 269.402057; 269.236594; 269.078344; 268.754482; 268.702894; 268.744975; 268.692076; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30492.7; 10:27:05; (); (); (); (); (); (); (); (); (); 266.801536; 266.164571; 265.894860; 265.758604; 265.885323; 265.951723; 266.077101; 266.367674; 266.307890; 265.986055; 266.040713; 265.884787; 265.330642; 264.856517; 264.778763; 265.200734; 265.497655; 265.722334; 265.820473; 265.753984; 265.724629; 265.615880; 265.235424; 265.176147; 265.209019; 264.938116; 264.879078; 265.334755; 265.850514; 266.013503; 265.762150; 265.631676; 265.514702; 265.130728; 264.382660; 263.868600; 263.455242; 263.190478; 262.795538; 262.463331; 262.053490; 261.431843; 260.849506; 260.121912; 259.559602; 259.068549; 258.617133; 258.403093; 258.236885; 258.288890; 257.930487; 257.447332; 257.346570; 257.263511; 256.814390; 256.116033; 255.936831; 255.689561; 255.610377; 255.674511; 255.910099; 255.783051; 255.520165; 255.361080; 255.351186; 255.587220; 255.475283; 254.986048; 254.341632; 253.973633; 254.016101; 253.602087; 253.078997; 252.402574; 251.727432; 251.023531; 250.375420; 249.946803; 249.750853; 249.557555; 249.505937; 249.456257; 249.293193; 249.134749; 248.997092; 248.880804; 248.828858; 248.846292; 248.903930; 249.001473; 249.110162; 249.144465; 249.160945; 249.296397; 249.573335; 249.640211; 249.853656; 250.218391; 250.771970; 251.101762; 251.437902; 251.970530; 252.434880; 252.712190; 252.905160; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30496.3; 10:27:13; (); (); (); (); (); (); (); (); (); 266.314328; 266.539127; 266.861379; 266.939282; 266.872138; 266.620725; 266.386092; 266.116410; 265.890718; 265.482813; 264.665782; 263.866097; 262.984723; 262.005538; 261.322021; 260.987848; 260.564744; 260.259390; 260.069817; 260.086358; 260.129482; 260.133594; 260.519624; 261.094719; 261.716872; 262.659490; 263.416201; 264.314055; 265.130877; 265.886813; 266.448677; 266.821802; 266.965568; 267.075926; 267.249256; 267.676264; 267.864943; 268.196017; 268.521070; 268.704295; 268.728495; 268.619806; 268.190861; 267.731845; 267.358929; 267.224073; 267.509162; 267.581254; 267.675221; 267.578900; 267.337799; 267.112970; 266.889900; 267.135501; 267.399311; 267.538935; 267.871916; 268.244922; 268.361866; 268.251717; 268.041968; 267.695665; 267.506331; 266.952723; 266.421348; 266.319066; 266.368568; 266.205341; 265.826195; 265.715718; 265.727848; 265.868247; 266.063243; 266.055495; 265.806824; 265.933007; 266.338527; 266.690433; 267.021328; 267.090827; 266.529411; 265.970528; 265.182227; 264.295846; 263.550133; 262.986004; 262.343347; 261.910856; 261.766195; 261.478454; 260.934681; 260.479748; 260.070831; 259.837419; 259.991080; 260.381043; 260.680735; 260.963082; 261.262268; 261.190176; 260.895431; 260.520041; 260.303557; 260.188043; 260.083914; 259.673536; 259.121150; 258.869380; 258.552909; 258.086562; 257.411093; 257.040769; 256.859004; 256.640404; 256.588966; 256.639838; 256.411880; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30500.0; 10:27:22; (); (); (); (); (); (); (); (); (); 266.314328; 262.209654; 262.303501; 262.663096; 262.709707; 262.775958; 263.102919; 263.204247; 263.562560; 263.649553; 263.700664; 264.040411; 264.201254; 264.500767; 265.046269; 265.312791; 265.634716; 265.760213; 265.837759; 266.201496; 266.625077; 266.800612; 266.987979; 266.830772; 266.429752; 266.284913; 266.288191; 266.413361; 266.638756; 266.399145; 266.387612; 266.311675; 266.064942; 265.608281; 265.081584; 264.503360; 264.020264; 263.792127; 264.197618; 264.612675; 264.190733; 263.589770; 262.864411; 262.144536; 261.457354; 260.852605; 260.616720; 260.537177; 260.574192; 260.919482; 261.431068; 261.765718; 261.641592; 261.035591; 260.492206; 260.222793; 260.205150; 260.297626; 260.610700; 260.881186; 260.966420; 261.104167; 261.049062; 261.025816; 260.596335; 260.111094; 259.802729; 259.742796; 259.956807; 259.970784; 260.015160; 260.021597; 259.752214; 259.577781; 259.453624; 258.982360; 258.438915; 257.873327; 257.487029; 257.276624; 257.059216; 256.639719; 256.109118; 255.542934; 255.195171; 254.904300; 254.677147; 254.850447; 254.874557; 254.825056; 254.573464; 254.262954; 253.948689; 253.775179; 253.408432; 252.748042; 252.243668; 251.577318; 251.017600; 250.583947; 250.025779; 249.643013; 249.219283; 248.789042; 248.515353; 248.597473; 248.906597; 249.243632; 249.169692; 249.343321; 249.617174; 249.883950; 250.524640; 250.999749; 251.535118; 252.335697; 252.715021; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
30503.5; 10:27:30; (); (); (); (); (); (); (); (); (); (); 263.033420; 263.372391; 263.677120; 263.697743; 263.287634; 262.822390; 262.416393; 261.852175; 261.298865; 260.703325; 260.116339; 259.880036; 259.472191; 258.915544; 258.364975; 257.809550; 257.207900; 256.657422; 256.222993; 255.985022; 255.901098; 255.537838; 255.300730; 254.999340; 254.778802; 254.632860; 254.478693; 254.743904; 255.042434; 255.202919; 255.156100; 255.110651; 254.870653; 254.820645; 254.766732; 254.747808; 255.135179; 255.373895; 255.734533; 255.771428; 255.818903; 255.887508; 255.267113; 254.626751; 254.103363; 253.871113; 254.090697; 254.386276; 254.483730; 255.021125; 255.379051; 255.542934; 255.868912; 256.390780; 257.495314; 258.505940; 259.595245; 260.666400; 261.736125; 262.660652; 263.434768; 263.985306; 264.442295; 264.949709; 264.998764; 264.968693; 265.207559; 265.361011; 265.104264; 265.210152; 264.923930; 264.177710; 263.904393; 263.858795; 263.778746; 263.260990; 263.113856; 263.103515; 262.899369; 262.970418; 262.820721; 262.589604; 262.399048; 262.248009; 261.756212; 261.489540; 261.385888; 261.112511; 260.730565; 260.622948; 260.940254; 261.000693; 260.738671; 260.584146; 260.780752; 261.221260; 261.348754; 261.615068; 262.138635; 262.710035; 263.370812; 263.785779; 264.056414; 264.280617; 264.134556; 263.840735; 263.711065; 263.627648; 263.566911; 263.324231; 262.914330; 262.992471; 262.802809; 262.221426; 261.608124; 261.029601; 260.532796; (); (); (); (); (); (); (); (); (); (); (); (); (); 
30507.1; 10:27:39; (); (); (); (); (); (); (); (); (); (); 263.033420; 263.159126; 262.804002; 262.393206; 262.056977; 261.865914; 261.698365; 261.618108; 261.233985; 260.753065; 260.727406; 260.409206; 259.533167; 258.914351; 258.665711; 258.268923; 257.775009; 257.754207; 257.712245; 257.738292; 257.429570; 256.801456; 255.825728; 254.980892; 254.198521; 252.964884; 252.059996; 251.354814; 250.831336; 250.072390; 249.288216; 248.772994; 248.283342; 247.713029; 247.010395; 246.514797; 246.347025; 246.395066; 246.459574; 246.703103; 247.022599; 246.952206; 246.765047; 246.663556; 246.494457; 246.434584; 246.266454; 246.036142; 245.844528; 246.013761; 246.258497; 246.138453; 246.143222; 246.272475; 246.539891; 247.086287; 247.766554; 248.499811; 249.428406; 250.554562; 251.816422; 253.079772; 254.156142; 254.889876; 255.666614; 257.077634; 258.558959; 260.004342; 261.199236; 261.986643; 263.298959; 264.647573; 265.818566; 266.879618; 267.610639; 268.094331; 268.805444; 269.755095; 270.639092; 271.142393; 271.471828; 271.582216; 271.517009; 271.482348; 271.436930; 271.128058; 270.597786; 269.986153; 269.458890; 268.629462; 267.958969; 267.471641; 267.249942; 267.075628; 266.883761; 266.637355; 266.510814; 266.597033; 266.745776; 266.816705; 266.677886; 266.669542; 266.947836; 267.260551; 267.486513; 267.511159; 267.346501; 267.074168; 266.552240; 266.044915; 265.873820; 265.752137; 265.529662; 265.446544; 265.269428; 265.245110; 265.272349; (); (); (); (); (); (); (); (); (); (); (); (); (); 
30510.7; 10:27:48; (); (); (); (); (); (); (); (); (); (); (); 268.198192; 268.286198; 268.710852; 268.650949; 268.112689; 267.455399; 267.183036; 266.907543; 266.741991; 266.469449; 265.823424; 265.060633; 264.396727; 264.337182; 263.968468; 263.783604; 263.405532; 262.838632; 262.764871; 263.295323; 263.832957; 264.167756; 264.419705; 264.606655; 264.785975; 265.368789; 266.288549; 267.154157; 267.624766; 267.766714; 268.039465; 268.443137; 268.577904; 268.400520; 268.053651; 267.668486; 267.057180; 266.778171; 266.614050; 266.492635; 266.067177; 265.369087; 264.736831; 264.384657; 264.301211; 264.308691; 264.561087; 264.766186; 264.898151; 264.760107; 264.691561; 264.660269; 264.496118; 264.243215; 263.803959; 263.478070; 263.089448; 263.047218; 262.983233; 262.868136; 262.501508; 262.281388; 261.981368; 261.916339; 262.077659; 262.456954; 263.116896; 263.296366; 263.420403; 264.004797; 264.616519; 265.027106; 265.454799; 265.728414; 265.709102; 265.925407; 266.245276; 266.671419; 267.056912; 267.152965; 267.006665; 266.856879; 267.034024; 267.043948; 266.973525; 266.711771; 266.210347; 265.944332; 265.899301; 265.922159; 265.804797; 265.547931; 265.645623; 265.881509; 266.352981; 266.576052; 266.641051; 266.623110; 266.446322; 266.446590; 266.895145; 267.341971; 267.416656; 267.176151; 266.931474; 266.605794; 266.136527; 265.392482; 264.435917; 263.077885; 262.166500; 261.837423; 261.825949; 261.842787; 261.419386; 260.504812; 259.534568; (); (); (); (); (); (); (); (); (); (); (); (); 
30514.3; 10:27:56; (); (); (); (); (); (); (); (); (); (); (); 258.528471; 259.152114; 259.659231; 259.708464; 259.748012; 259.592474; 259.339064; 259.617984; 259.804964; 259.873122; 259.726167; 259.556651; 259.494454; 259.491235; 259.577602; 259.527177; 259.368360; 259.376705; 259.598285; 259.822875; 260.184288; 260.352820; 260.222644; 260.342896; 260.397971; 260.392398; 260.120571; 259.958893; 260.334492; 260.511249; 260.452896; 260.532051; 260.415435; 260.156810; 260.072976; 260.116786; 260.311276; 260.317624; 260.372758; 260.322928; 260.159671; 260.397047; 260.570437; 260.205865; 260.014862; 260.068238; 259.921283; 259.980321; 260.258794; 260.286927; 260.312080; 260.323107; 260.513783; 260.647506; 261.089921; 261.472374; 261.392355; 261.358589; 261.760622; 262.222797; 262.615234; 263.009578; 263.484865; 263.734192; 264.044464; 264.269888; 264.333457; 264.394164; 264.150381; 264.033020; 264.322817; 264.852434; 265.319198; 265.740365; 266.142696; 266.374767; 266.538560; 266.612232; 266.356945; 266.310066; 266.520530; 266.809404; 267.174244; 267.562270; 267.503589; 267.376304; 267.329931; 266.900063; 266.203910; 265.726954; 265.387833; 265.477806; 265.594453; 265.716195; 265.110880; 264.329940; 263.465762; 262.547642; 261.927426; 261.702389; 261.248142; 260.680765; 260.135114; 259.672940; 259.226918; 258.832157; 258.143038; 257.541448; 257.157832; 257.185370; 257.344872; 257.692248; 258.099407; 258.278608; 258.355111; 258.509070; 258.677244; (); (); (); (); (); (); (); (); (); (); (); (); 
30517.9; 10:28:05; (); (); (); (); (); (); (); (); (); (); (); 262.219310; 261.519790; 261.321664; 261.363983; 261.506170; 261.750519; 262.098342; 262.267649; 262.171894; 262.240976; 262.099475; 262.023360; 261.790156; 261.457413; 261.329144; 261.509418; 262.030482; 262.163013; 262.290597; 262.256056; 262.377083; 262.322098; 262.523413; 262.788534; 262.730449; 262.976289; 263.351053; 263.707936; 263.910145; 263.827771; 263.688356; 263.427228; 263.168097; 262.617737; 262.111664; 261.233956; 260.867953; 260.598838; 260.095179; 259.657294; 259.135485; 258.845270; 258.599043; 258.587420; 258.968085; 259.417921; 259.741426; 260.335326; 260.948658; 261.424184; 261.829525; 262.033135; 262.710065; 263.485461; 263.993084; 264.126718; 264.354110; 264.526457; 264.312685; 263.816774; 263.355225; 263.005167; 262.356639; 262.051612; 262.279600; 262.131542; 261.945873; 261.549622; 260.941207; 260.518789; 260.281593; 259.664267; 259.028941; 258.674324; 258.376539; 258.419394; 258.917987; 259.261429; 259.134442; 258.992940; 259.153932; 259.149849; 259.271502; 259.469420; 259.681344; 260.038257; 260.888994; 261.742145; 262.443930; 263.241976; 263.734877; 263.844132; 264.118254; 264.062762; 263.944179; 263.624281; 263.424844; 263.411462; 263.434857; 263.525963; 263.422012; 263.465583; 263.232678; 262.632966; 262.096971; 261.656463; 261.262476; 261.088848; 261.188954; 261.217177; 261.426330; 261.528939; 261.566788; 261.689901; 261.488080; 260.987043; 260.362238; (); (); (); (); (); (); (); (); (); (); (); (); 
30521.5; 10:28:14; (); (); (); (); (); (); (); (); (); (); 264.529079; 264.624923; 264.704853; 264.718831; 264.636934; 264.748126; 264.825791; 264.641136; 264.595091; 264.398545; 263.967454; 263.576239; 263.334274; 262.768149; 261.940062; 261.450052; 261.401623; 261.308312; 261.359781; 261.447549; 261.633068; 261.746287; 262.074053; 262.502193; 263.235152; 263.822794; 264.278024; 264.646947; 265.185207; 266.027778; 266.824067; 267.310053; 267.410278; 267.328382; 267.497241; 267.465860; 267.370284; 267.124444; 266.881049; 266.923100; 266.965777; 266.621590; 266.221374; 266.020536; 265.847325; 265.568197; 265.423864; 265.535146; 265.881598; 265.769303; 266.011745; 266.332597; 266.049147; 265.828490; 265.547365; 265.416324; 265.658855; 265.867114; 266.071141; 266.215235; 266.224742; 266.456902; 266.592950; 266.399533; 266.026706; 265.627474; 265.429080; 265.624344; 265.770644; 266.170114; 266.618401; 266.869217; 266.699910; 266.462862; 265.967101; 265.465945; 264.838725; 264.290601; 264.068693; 263.818741; 263.667732; 263.747752; 263.975263; 263.937593; 263.870418; 263.503462; 263.337165; 263.713151; 263.955027; 264.152080; 264.207661; 264.427722; 264.441162; 264.531136; 264.818043; 264.957279; 264.776111; 264.325887; 264.199048; 263.743401; 263.551086; 263.487488; 263.435751; 263.449281; 263.412803; 263.084292; 262.858123; 262.612641; 262.544394; 262.256712; 262.069285; 261.969388; 262.156874; 261.992812; 262.041330; 262.122273; 261.912823; 261.433631; (); (); (); (); (); (); (); (); (); (); (); (); 
30525.2; 10:28:22; (); (); (); (); (); (); (); (); (); (); 264.175743; 264.233977; 263.998508; 263.830870; 263.903022; 264.245868; 264.221668; 264.018714; 263.450921; 262.612283; 262.142807; 261.756122; 261.177778; 260.607779; 259.757191; 259.050071; 258.209705; 257.405430; 256.882042; 256.173462; 255.671620; 255.154818; 254.376054; 253.845632; 253.590643; 253.215015; 252.891541; 252.813965; 252.845645; 253.107369; 253.281623; 253.602177; 253.652334; 253.569663; 253.381133; 253.012359; 253.177166; 253.655016; 253.859699; 253.682643; 253.834337; 254.210323; 254.262567; 254.554242; 254.927605; 255.258709; 255.508393; 256.060511; 256.596029; 256.973535; 257.532984; 257.702053; 257.770389; 257.921427; 258.454919; 258.868158; 259.061843; 259.288549; 259.357721; 259.352446; 259.316504; 259.208620; 259.215534; 259.295404; 259.339303; 259.329915; 259.886920; 260.580689; 261.181682; 261.585236; 262.175828; 262.664735; 263.139427; 263.742208; 264.636397; 265.433162; 266.265273; 267.161548; 267.927855; 268.694252; 269.181877; 269.044131; 268.930018; 269.254088; 269.863993; 269.947946; 270.049691; 270.245731; 269.922554; 269.605160; 269.543082; 269.061476; 268.124074; 267.138481; 266.534090; 266.188800; 265.925497; 265.449673; 264.610559; 263.737410; 263.265401; 262.677699; 261.948436; 261.589438; 260.873258; 260.060012; 259.445578; 259.210020; 258.984745; 258.411765; 257.999063; 257.741749; 257.743090; 257.655978; 257.453531; 256.702095; 256.329268; (); (); (); (); (); (); (); (); (); (); (); (); (); 
