Roll Number; 0
Recipe Name; FP 4556_747 GSM
Start Time; 2018-04-10; 10:50:17
File Name; D:\Mahlo\TR\180410105017FP 4556_747 GSM0_FMI2.txt

302.3; 10:50:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 749.535203; 748.936594; 748.616755; 749.010980; 749.391258; 749.546766; 750.042498; 750.351429; 750.754356; 750.782788; 750.997961; 751.064777; 750.760019; 750.400186; 750.376821; 751.373827; 752.125680; 752.328157; 751.625836; 750.969470; 750.498295; 749.774814; 749.511898; 748.841107; 748.007298; 747.719049; 747.652888; 748.190224; 749.189615; 749.635279; 749.025941; 748.979032; 749.277294; 749.678671; 750.214517; 750.885785; 751.396477; 751.341701; 751.832008; 752.451003; 752.278686; 751.832783; 751.222193; 750.113845; 749.797106; 749.555647; 748.249352; 747.393548; 746.689677; 745.671988; 744.223356; 742.864668; 742.317438; 741.906583; 741.113186; 740.473866; 740.010798; 739.666462; 739.858508; 739.189029; 739.022017; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 741.035342; 740.429342; 739.787459; 740.293443; 741.082907; 741.640568; 741.858542; 741.416395; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
303.4; 10:50:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 750.412166; 750.653148; 751.085579; 751.382947; 751.663744; 751.480162; 751.308858; 750.921786; 750.670195; 751.079917; 751.497388; 751.836240; 752.449632; 753.061056; 752.510905; 751.662135; 750.671804; 749.443173; 748.370588; 747.725248; 746.643245; 746.065676; 746.280730; 746.678710; 746.952474; 747.500777; 747.755110; 747.348130; 747.522593; 748.293638; 748.733759; 749.011636; 749.738812; 750.358641; 750.066578; 749.974072; 749.964416; 749.725401; 749.343216; 748.743892; 748.433292; 748.989820; 749.893308; 749.893665; 749.932051; 751.051962; 751.848459; 751.936793; 752.453327; 753.574312; 754.887581; 755.428791; 755.181789; 754.588187; 754.493356; 754.049242; 753.077269; 751.747847; 751.111507; 751.130879; 751.092374; 751.601517; 752.440035; 752.730191; 752.756417; 752.665699; 752.653241; 753.441870; 754.233956; 754.205048; 754.542768; 755.429685; 756.911576; 756.938159; 755.411267; 753.771067; 751.868188; 750.657618; 750.119805; 748.535037; 747.206628; 746.238589; 745.087087; 744.026780; 743.853807; 743.403792; 742.454767; 740.887642; 740.174949; 740.602553; 740.981460; 741.383731; 741.047025; 740.299165; 739.995241; 739.796102; 739.807904; 740.010023; 740.240753; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
304.4; 10:50:42; (); (); (); (); (); (); (); (); (); (); (); 758.468449; 758.374572; 758.185983; 758.110106; 758.568585; 758.966029; 758.128285; 757.394373; 756.201088; 754.099905; 753.110886; 752.982080; 752.459288; 751.654625; 751.077175; 750.309289; 749.753654; 749.599874; 749.304175; 748.788238; 749.153376; 750.025272; 750.075459; 750.029087; 750.484467; 750.559032; 750.103533; 749.651790; 749.399066; 749.693155; 749.753177; 749.717355; 749.376774; 748.545527; 748.465061; 748.616993; 748.254538; 748.433113; 749.256432; 749.772549; 749.634445; 748.988867; 748.517692; 748.006105; 747.669876; 747.683644; 747.088730; 746.553481; 746.269107; 745.272338; 743.698359; 742.027998; 740.839362; 739.558816; 739.061713; 739.275515; 739.400506; 739.631891; 740.313888; 740.878582; 741.323292; 741.891563; 742.230892; 742.592812; 742.916644; 743.470252; 744.137228; 744.718313; 745.284379; 744.894803; 744.552195; 745.234549; 745.725036; 745.669305; 745.530248; 745.607615; 746.168315; 746.565163; 746.736467; 747.037470; 747.491002; 748.085260; 747.708678; 747.166932; 747.852266; 748.355508; 748.287737; 748.473048; 748.525500; 748.543501; 748.103678; 748.030543; 748.202145; 748.597324; 749.280572; 750.105739; 750.886321; 751.262486; 751.097977; 750.472009; 749.851346; 748.326063; 746.135056; 744.829714; 743.898630; 743.381381; 743.161678; 742.822707; 742.376983; 741.340518; 739.734173; 738.493502; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
305.4; 10:50:50; (); (); (); (); (); (); (); (); (); (); (); 759.557247; 758.971512; 758.466244; 758.104265; 757.304430; 756.526053; 755.725563; 755.102098; 754.311144; 752.816737; 751.546741; 750.328779; 749.669790; 749.303281; 748.645008; 748.424530; 748.120725; 748.381138; 748.470545; 748.322666; 748.263597; 748.543262; 748.900652; 748.507738; 748.171628; 748.380125; 748.814464; 748.707175; 747.957945; 747.665346; 746.767819; 746.567845; 746.310055; 746.088743; 745.832205; 745.488405; 745.294571; 745.018721; 745.333493; 745.914340; 745.891333; 745.733261; 745.946527; 746.497452; 746.906340; 747.286439; 747.506440; 747.047722; 746.514320; 746.927261; 747.183084; 746.951938; 746.953309; 746.843517; 746.637344; 746.359587; 745.887756; 745.607972; 745.272994; 745.374501; 746.043205; 746.238887; 746.233702; 746.551394; 746.971011; 747.687280; 748.402894; 748.665690; 749.184668; 749.829948; 750.314891; 750.489831; 750.022888; 750.063121; 749.974668; 749.771595; 749.672949; 749.988675; 750.203371; 749.873400; 749.604166; 749.528646; 749.475598; 749.213398; 749.001920; 749.231815; 749.719083; 750.261664; 750.659645; 750.357270; 750.008881; 750.165164; 749.884605; 749.458492; 748.985291; 748.554707; 747.560024; 746.323228; 745.257795; 744.412661; 743.488848; 742.481589; 741.415679; 740.644038; 740.561366; 740.493774; 740.274072; 740.350962; 740.236044; 740.202785; 739.943206; 740.408003; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
306.4; 10:50:59; (); (); (); (); (); (); (); (); (); (); (); 764.160812; 763.457775; 762.956798; 762.435794; 761.942506; 761.911213; 761.612415; 760.579765; 759.623230; 758.898675; 757.929325; 756.670713; 755.285323; 754.864037; 754.914880; 754.969120; 754.916131; 754.791558; 755.100250; 755.779207; 756.374538; 756.240427; 755.698204; 754.684508; 753.904283; 753.775418; 753.640413; 753.534853; 753.387630; 752.780795; 752.166092; 751.984775; 751.717746; 750.690103; 749.758363; 748.840868; 748.392582; 748.740017; 749.652445; 750.741720; 751.870871; 752.058566; 751.758337; 751.122475; 750.833690; 751.074612; 751.386166; 751.372755; 752.004325; 752.675056; 752.698720; 752.544224; 753.227115; 753.718674; 753.527701; 752.946019; 752.868533; 753.351569; 753.899693; 753.947258; 752.901196; 752.081454; 752.019525; 751.630068; 751.021147; 750.717461; 750.774682; 750.200510; 748.720706; 747.270882; 746.237576; 745.464206; 744.745910; 744.433343; 744.406044; 744.948447; 745.529950; 745.965004; 746.144176; 746.367931; 746.866047; 746.850073; 747.183263; 747.947037; 748.510599; 748.754442; 748.694003; 748.967767; 749.302030; 749.363065; 749.797225; 749.685764; 749.495268; 749.443710; 749.324977; 748.988152; 748.622298; 747.369707; 746.090233; 745.556891; 745.554626; 745.523095; 744.569182; 743.800521; 743.290365; 742.920458; 743.335307; 743.631244; 743.175745; 742.646396; 742.158592; 742.191017; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
307.4; 10:51:07; (); (); (); (); (); (); (); (); (); (); (); (); 763.801813; 762.811244; 762.107790; 761.386752; 760.973155; 760.332108; 759.412527; 758.327484; 757.037699; 756.015062; 754.733264; 753.323555; 752.897799; 752.945721; 752.855778; 752.815604; 753.100514; 753.169656; 753.836453; 754.385233; 754.026175; 753.727138; 754.176319; 754.750729; 755.018651; 754.799604; 754.266381; 753.585339; 753.108978; 752.510071; 752.275586; 752.350509; 752.629995; 751.938283; 750.885189; 750.555873; 749.687612; 748.429000; 747.321963; 747.148454; 748.020649; 749.032795; 749.722540; 749.744713; 749.332428; 748.976171; 748.495579; 747.715354; 747.793674; 748.293817; 748.325408; 748.764694; 749.780655; 750.987947; 751.656532; 752.265275; 752.807796; 753.127754; 754.022241; 755.765378; 756.801903; 756.966949; 757.158816; 756.904662; 756.507277; 756.545484; 756.758988; 756.787002; 756.244600; 755.547762; 754.189193; 752.787292; 752.195954; 750.998437; 749.523401; 748.795688; 748.289168; 747.790217; 747.927725; 748.449445; 749.150574; 749.778867; 750.237823; 750.032544; 749.627471; 750.230014; 750.472069; 750.042260; 750.002503; 750.037313; 750.451684; 751.071811; 751.483262; 750.639081; 749.292195; 748.214245; 747.590423; 747.141182; 747.156978; 746.753275; 745.860338; 745.855451; 746.364713; 746.324897; 746.047974; 745.522380; 745.542407; 745.876849; 746.269822; 747.149706; 747.650206; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
308.5; 10:51:16; (); (); (); (); (); (); (); (); (); (); (); 755.092382; 755.429089; 755.626142; 755.587459; 755.799949; 756.545722; 756.496072; 756.232142; 756.091118; 755.563617; 754.637599; 753.762066; 752.455950; 751.632690; 751.825452; 751.671553; 750.960052; 750.797629; 751.510143; 751.940727; 752.195418; 752.463281; 752.774298; 752.811968; 753.110766; 753.257036; 752.940178; 752.760530; 752.900958; 752.852440; 752.971411; 752.861202; 751.894116; 750.670731; 750.210285; 749.744654; 749.107957; 748.688579; 748.896182; 749.293387; 749.576032; 750.211358; 750.597477; 750.544965; 750.041366; 749.794006; 750.439286; 751.676679; 751.775742; 751.145542; 751.017988; 751.026869; 750.472009; 749.874175; 749.194920; 748.717546; 748.326063; 748.314500; 748.215735; 748.319745; 748.361647; 748.316050; 748.220563; 748.788893; 749.299586; 749.482751; 749.771297; 750.177681; 750.193119; 749.908507; 749.557555; 748.931944; 747.966945; 747.514248; 747.547388; 747.270167; 746.594012; 745.339990; 744.256139; 743.953705; 744.106531; 744.464099; 744.935811; 745.692134; 746.404290; 747.107685; 747.307241; 747.833848; 748.437285; 748.322546; 747.763515; 747.890174; 749.038398; 749.624133; 750.535786; 750.739515; 750.419557; 750.149786; 750.310004; 750.531852; 750.806689; 751.309276; 751.116335; 751.120925; 751.563311; 752.184391; 751.649499; 750.698864; 750.470936; 749.826968; 749.316692; 749.105752; 748.928845; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
309.5; 10:51:25; (); (); (); (); (); (); (); (); (); (); (); 759.106517; 758.497894; 757.312596; 756.174803; 755.205333; 754.863858; 754.160702; 753.433883; 752.897680; 752.166569; 751.390278; 750.845313; 750.655472; 749.904752; 749.191821; 748.915017; 749.066412; 749.457538; 749.476910; 749.663472; 749.448895; 749.120176; 749.051332; 748.996496; 748.814762; 748.336673; 747.514546; 746.794641; 746.876299; 747.354448; 747.600377; 747.793198; 747.825027; 747.936308; 748.196065; 748.798549; 749.586463; 749.765873; 749.547243; 749.472678; 749.631584; 749.990225; 750.428975; 750.544488; 750.550985; 750.147998; 749.225795; 748.830974; 748.811722; 748.242915; 747.889996; 747.629702; 747.929156; 748.443067; 748.909473; 749.054611; 749.581993; 749.928892; 750.084221; 749.743760; 749.417007; 749.820828; 750.270784; 751.218021; 752.454758; 753.208756; 753.005385; 752.537131; 752.379060; 751.996517; 750.921011; 749.613285; 748.607039; 747.956336; 747.985065; 748.455048; 748.683333; 748.818815; 748.316765; 747.725427; 747.523308; 748.202085; 748.929799; 749.379039; 750.129580; 751.480639; 752.329588; 752.708077; 753.039837; 753.343761; 753.193796; 752.803743; 752.486348; 752.510130; 752.791047; 752.782404; 752.458930; 752.012014; 751.507401; 750.664234; 749.859691; 749.718964; 749.502242; 748.948455; 748.182356; 748.176038; 749.073386; 749.243677; 748.979032; 748.416722; 748.006761; 747.734904; 747.429490; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
310.5; 10:51:33; (); (); (); (); (); (); (); (); (); (); (); 761.305273; 761.845112; 762.251616; 762.005806; 761.908114; 762.443185; 761.981368; 761.351049; 760.430932; 759.227574; 758.376062; 757.408977; 756.815851; 755.890846; 755.567074; 755.974412; 755.986571; 756.041288; 756.523371; 757.001519; 757.269561; 757.665932; 757.913709; 758.006454; 758.383751; 758.033752; 757.812321; 757.546127; 757.857442; 758.184612; 758.022249; 757.272661; 755.574882; 754.451513; 754.006445; 753.619671; 753.014266; 752.869785; 753.012717; 753.206253; 753.876746; 754.473984; 754.249454; 753.913045; 753.652394; 752.963424; 752.646863; 752.741098; 751.992106; 751.301229; 751.414597; 751.781285; 751.149356; 750.295579; 749.638319; 749.160290; 749.155939; 749.530494; 749.976814; 750.141978; 750.355065; 750.501394; 750.945568; 751.359999; 751.289546; 750.384450; 749.490798; 749.094248; 749.055684; 749.040246; 749.064028; 748.696566; 748.386145; 747.861803; 747.066438; 746.299982; 746.213436; 746.338189; 746.861696; 747.337878; 747.919738; 748.283386; 748.865485; 749.656022; 750.439525; 750.646174; 750.632942; 750.594199; 750.747502; 751.242340; 752.248764; 752.878428; 753.385544; 753.721535; 753.704965; 753.798902; 754.135907; 754.312098; 754.283369; 754.137278; 753.670573; 752.897501; 751.798868; 750.847101; 749.860764; 748.593628; 747.761369; 747.441053; 746.847093; 746.299922; 745.583057; 744.806111; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
311.5; 10:51:42; (); (); (); (); (); (); (); (); (); (); (); 761.145055; 761.315644; 761.221290; 760.389507; 759.268582; 758.546829; 757.623315; 756.457865; 755.688727; 754.832327; 754.212737; 753.321469; 752.713561; 752.127469; 752.346277; 752.617180; 752.177298; 751.500428; 751.236558; 751.333058; 751.455963; 751.301110; 751.478374; 751.567841; 751.416147; 751.358330; 751.714706; 751.914859; 752.600908; 752.502799; 752.130508; 752.375185; 752.963185; 754.110932; 755.259812; 755.655646; 755.572855; 755.439162; 755.453110; 755.606115; 755.506158; 755.531251; 755.552709; 755.448401; 755.153775; 754.633844; 754.289865; 753.433585; 751.538813; 749.823511; 748.783648; 748.635590; 748.615026; 748.801291; 749.128342; 749.157548; 748.784304; 748.682082; 748.832285; 749.072075; 749.663115; 749.874532; 750.436306; 751.177788; 751.618028; 751.874208; 751.020908; 750.078559; 749.369204; 749.190152; 749.214470; 748.866320; 747.875273; 746.409655; 745.967388; 745.624661; 745.093048; 744.677305; 744.733393; 745.111465; 745.030224; 745.924592; 747.385621; 747.899771; 747.718394; 747.626245; 747.322679; 747.480750; 748.481810; 749.065220; 749.261558; 749.831319; 750.086129; 749.532938; 749.026000; 749.344885; 749.608517; 749.561310; 749.804378; 750.115454; 750.137746; 750.431061; 750.689268; 750.522435; 749.667466; 748.988748; 748.542190; 748.598099; 749.105215; 749.742746; 750.012100; 749.758065; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
312.6; 10:51:50; (); (); (); (); (); (); (); (); (); (); (); 761.912763; 761.226952; 760.615885; 760.036051; 759.664357; 758.862972; 757.826984; 757.292628; 756.913602; 756.482184; 756.146789; 755.771518; 755.581915; 755.339205; 755.239546; 755.450010; 755.872130; 756.092787; 756.824136; 757.642388; 758.354902; 758.686304; 758.635223; 757.929385; 757.259369; 757.132709; 757.081032; 756.878793; 756.632507; 755.987763; 754.762292; 753.564894; 753.077865; 752.196074; 751.216352; 750.460327; 749.578893; 749.227047; 750.028789; 750.669777; 750.935733; 751.444399; 752.048075; 752.278268; 752.504528; 753.206730; 753.869534; 754.416108; 754.863262; 754.852474; 754.672527; 755.078793; 754.965365; 754.633129; 753.604472; 752.208292; 750.966072; 750.006258; 749.729753; 749.855161; 750.260353; 750.583649; 750.653863; 750.658751; 750.346422; 749.897838; 749.460340; 749.062896; 748.399615; 748.381019; 748.942494; 749.803782; 750.900447; 751.193941; 751.030087; 750.512362; 750.357091; 750.501394; 750.864685; 751.174331; 751.210809; 751.676798; 752.965569; 754.096687; 754.789352; 754.925311; 754.668057; 754.271209; 753.906071; 753.202796; 752.688110; 752.266705; 751.993239; 751.607597; 751.398861; 751.175523; 751.066446; 750.714660; 749.597311; 748.848557; 748.962104; 748.516917; 747.627258; 747.479498; 748.016000; 748.854697; 749.560654; 749.429345; 748.959959; 749.224424; 750.007093; 750.206769; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
