Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-04-17; 11:41:22
File Name; D:\Mahlo\TR\180417114122FP 4576_257 GSM0_XMF2.txt

619.8; 11:41:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.459586; 3.459239; 3.459057; 3.459390; 3.460144; 3.460965; 3.461788; 3.462767; 3.463816; 3.464902; 3.466210; 3.468280; 3.470898; 3.473594; 3.476458; 3.479476; 3.482729; 3.485164; 3.486969; 3.488452; 3.489525; 3.490539; 3.491389; 3.491691; 3.491440; 3.490810; 3.489748; 3.488160; 3.486395; 3.484345; 3.482018; 3.480120; 3.478989; 3.478325; 3.477681; 3.477364; 3.477147; 3.477115; 3.477741; 3.479346; 3.481125; 3.483286; 3.485897; 3.488860; 3.492503; 3.495655; 3.498768; 3.502318; 3.505873; 3.508898; 3.511351; 3.513936; 3.516490; 3.518323; 3.519659; 3.520864; 3.521562; 3.521928; 3.522065; 3.522049; 3.521734; 3.521072; 3.520061; 3.518843; 3.518004; 3.517770; 3.517646; 3.517411; 3.516989; 3.516468; 3.516132; 3.515776; 3.515177; 3.514566; 3.514155; 3.513892; 3.513792; 3.513853; 3.513985; 3.513944; 3.513559; 3.513043; 3.512698; 3.512575; 3.512425; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
624.1; 11:42:03; (); (); (); (); (); (); (); (); (); 3.432836; 3.435726; 3.438301; 3.440954; 3.443107; 3.445304; 3.448635; 3.453861; 3.458440; 3.462644; 3.466172; 3.469198; 3.472481; 3.475231; 3.478147; 3.480859; 3.483075; 3.484951; 3.486410; 3.487167; 3.487558; 3.487571; 3.487397; 3.487514; 3.487826; 3.488174; 3.488559; 3.488561; 3.488119; 3.487552; 3.487460; 3.487723; 3.488023; 3.488408; 3.488709; 3.488962; 3.489241; 3.489439; 3.489534; 3.489513; 3.489558; 3.489651; 3.490192; 3.491184; 3.492220; 3.492996; 3.493436; 3.493928; 3.494493; 3.495239; 3.496210; 3.497471; 3.499018; 3.500161; 3.501173; 3.501964; 3.502598; 3.502969; 3.503047; 3.503129; 3.503267; 3.503394; 3.503378; 3.503554; 3.503934; 3.504016; 3.503926; 3.503854; 3.504167; 3.504812; 3.505578; 3.506485; 3.507316; 3.507974; 3.508632; 3.509137; 3.509424; 3.509510; 3.509108; 3.508416; 3.507896; 3.507582; 3.507503; 3.507282; 3.506705; 3.506049; 3.505481; 3.505383; 3.505507; 3.505224; 3.504396; 3.503885; 3.503446; 3.503099; 3.502828; 3.502528; 3.501965; 3.501171; 3.500737; 3.500473; 3.500066; 3.499480; 3.498415; 3.496674; 3.495903; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
627.5; 11:42:12; (); (); (); (); (); (); (); (); (); 3.389106; 3.387405; 3.385803; 3.384519; 3.383542; 3.382858; 3.382580; 3.382473; 3.382391; 3.382642; 3.383201; 3.383748; 3.384376; 3.385098; 3.386164; 3.388370; 3.392031; 3.395227; 3.399666; 3.404370; 3.408509; 3.412342; 3.415861; 3.419670; 3.423434; 3.426867; 3.430694; 3.435357; 3.440171; 3.444096; 3.447429; 3.450653; 3.452939; 3.454940; 3.456987; 3.459186; 3.461340; 3.463552; 3.465965; 3.467773; 3.469206; 3.470375; 3.471063; 3.471471; 3.471978; 3.472626; 3.473126; 3.473850; 3.474968; 3.476093; 3.477296; 3.478466; 3.479461; 3.480813; 3.482579; 3.484662; 3.487173; 3.490012; 3.493290; 3.496355; 3.499095; 3.501863; 3.504724; 3.506856; 3.508255; 3.509079; 3.509251; 3.508746; 3.507587; 3.505310; 3.501331; 3.496717; 3.491196; 3.484429; 3.477353; 3.469780; 3.462980; 3.456142; 3.448668; 3.441505; 3.435852; 3.430682; 3.425128; 3.420966; 3.417607; 3.414496; 3.412494; 3.411132; 3.410226; 3.409992; 3.410342; 3.410914; 3.411602; 3.412200; 3.412914; 3.413532; 3.414110; 3.414907; 3.415485; 3.416098; 3.416846; 3.417517; 3.418189; 3.418605; 3.418579; 3.418359; 3.418123; 3.418177; 3.418586; 3.419054; 3.419547; 3.419862; 3.420000; 3.420142; 3.420210; 3.420328; 3.420230; 3.420188; (); (); (); (); (); (); (); (); (); (); (); (); (); 
630.9; 11:42:21; (); (); (); (); (); (); (); (); 3.406188; 3.408570; 3.411641; 3.414608; 3.417156; 3.419366; 3.421210; 3.422797; 3.426266; 3.429603; 3.432621; 3.435742; 3.438481; 3.440615; 3.442101; 3.442932; 3.443223; 3.443253; 3.443060; 3.442322; 3.441137; 3.440131; 3.439267; 3.438598; 3.438250; 3.438381; 3.438899; 3.439707; 3.440974; 3.442926; 3.445733; 3.449516; 3.453582; 3.457493; 3.462130; 3.468139; 3.473413; 3.478511; 3.484262; 3.488953; 3.492952; 3.496855; 3.499989; 3.502141; 3.503754; 3.504817; 3.505192; 3.505215; 3.504780; 3.503349; 3.501474; 3.499408; 3.497149; 3.494133; 3.491016; 3.488121; 3.484870; 3.482195; 3.479509; 3.476419; 3.474060; 3.471906; 3.469371; 3.467005; 3.465668; 3.464908; 3.464405; 3.464474; 3.465004; 3.466277; 3.468194; 3.470648; 3.473957; 3.477740; 3.481727; 3.485126; 3.488498; 3.492472; 3.495733; 3.498295; 3.500699; 3.502483; 3.503830; 3.504628; 3.504775; 3.504239; 3.503214; 3.501529; 3.498784; 3.495396; 3.492475; 3.488354; 3.484108; 3.480506; 3.476813; 3.473973; 3.471204; 3.468354; 3.466006; 3.464043; 3.462080; 3.459945; 3.459012; 3.457564; 3.455797; 3.454441; 3.453421; 3.452490; 3.451408; 3.450336; 3.449077; 3.447907; 3.446908; 3.445692; 3.444624; 3.443595; 3.442115; 3.439756; 3.439527; (); (); (); (); (); (); (); (); (); (); (); (); (); 
634.3; 11:42:30; (); (); (); (); (); (); (); (); 3.395037; 3.395354; 3.401309; 3.407261; 3.411945; 3.415354; 3.418168; 3.420654; 3.421852; 3.425616; 3.429936; 3.434256; 3.438856; 3.443145; 3.446672; 3.450725; 3.452947; 3.451942; 3.451032; 3.450277; 3.449490; 3.448642; 3.447878; 3.446741; 3.445490; 3.444217; 3.443076; 3.442609; 3.442623; 3.443025; 3.443518; 3.444244; 3.445191; 3.446779; 3.448776; 3.451438; 3.455464; 3.460585; 3.465702; 3.471155; 3.477684; 3.484319; 3.490089; 3.495739; 3.502101; 3.508366; 3.513479; 3.517372; 3.521135; 3.524154; 3.525709; 3.525727; 3.524646; 3.522543; 3.519542; 3.516127; 3.512243; 3.507662; 3.503421; 3.499148; 3.494238; 3.489592; 3.485578; 3.482623; 3.480370; 3.478291; 3.476748; 3.475948; 3.475543; 3.475502; 3.475915; 3.476162; 3.475932; 3.475270; 3.474343; 3.473434; 3.472181; 3.470581; 3.468704; 3.466853; 3.465470; 3.463792; 3.461524; 3.459297; 3.457191; 3.455332; 3.453871; 3.453218; 3.453066; 3.452950; 3.452594; 3.452162; 3.451662; 3.451225; 3.451085; 3.451166; 3.451665; 3.452640; 3.453769; 3.454682; 3.455485; 3.456255; 3.456598; 3.456806; 3.457183; 3.457815; 3.458306; 3.458828; 3.459602; 3.460341; 3.460659; 3.460498; 3.460383; 3.460030; 3.459627; 3.459234; 3.458654; 3.458164; 3.457940; (); (); (); (); (); (); (); (); (); (); (); (); (); 
637.7; 11:42:38; (); (); (); (); (); (); (); (); (); 3.425760; 3.430849; 3.435377; 3.439410; 3.442565; 3.445343; 3.448363; 3.454270; 3.459500; 3.464171; 3.468373; 3.472174; 3.476134; 3.479144; 3.481925; 3.485198; 3.487800; 3.489733; 3.491367; 3.493143; 3.494899; 3.496809; 3.499303; 3.501389; 3.503134; 3.504761; 3.505790; 3.506346; 3.506519; 3.506392; 3.506115; 3.506086; 3.506408; 3.506940; 3.507110; 3.506926; 3.506736; 3.506714; 3.507180; 3.508310; 3.509571; 3.511230; 3.513703; 3.516790; 3.519681; 3.522445; 3.525174; 3.528123; 3.530812; 3.533240; 3.535802; 3.538120; 3.539785; 3.540622; 3.540762; 3.540557; 3.539669; 3.537671; 3.535269; 3.532489; 3.529571; 3.526416; 3.522516; 3.518500; 3.514781; 3.511147; 3.507350; 3.504585; 3.502357; 3.500047; 3.498038; 3.497072; 3.496964; 3.497102; 3.497308; 3.497238; 3.497142; 3.497116; 3.496874; 3.496465; 3.495489; 3.493650; 3.491587; 3.489162; 3.486342; 3.483573; 3.479939; 3.475124; 3.469998; 3.465311; 3.460603; 3.455205; 3.450061; 3.445916; 3.442016; 3.438603; 3.435455; 3.432595; 3.430163; 3.427592; 3.424970; 3.422698; 3.423005; 3.424380; 3.426474; 3.428401; 3.430148; 3.432112; 3.434340; 3.436800; 3.441181; 3.442555; 3.444269; 3.446629; 3.449492; 3.453365; 3.457734; 3.458549; (); (); (); (); (); (); (); (); (); (); (); (); (); 
641.1; 11:42:47; (); (); (); (); (); (); (); (); (); 3.344977; 3.350864; 3.359126; 3.366511; 3.372415; 3.376918; 3.381027; 3.385723; 3.392606; 3.399342; 3.406313; 3.413373; 3.420404; 3.428527; 3.435870; 3.444353; 3.448730; 3.451427; 3.454516; 3.457904; 3.461662; 3.465054; 3.467706; 3.470142; 3.472363; 3.474219; 3.475684; 3.477083; 3.478303; 3.479370; 3.479923; 3.480083; 3.480118; 3.479957; 3.479532; 3.479202; 3.479090; 3.479137; 3.479457; 3.480059; 3.480805; 3.481933; 3.483869; 3.486247; 3.488533; 3.490997; 3.493669; 3.496299; 3.498791; 3.501466; 3.504397; 3.507277; 3.509749; 3.511939; 3.513865; 3.515137; 3.515314; 3.514015; 3.511658; 3.508440; 3.505447; 3.502407; 3.499266; 3.495730; 3.491205; 3.486018; 3.481198; 3.476324; 3.471034; 3.466832; 3.463399; 3.460708; 3.458999; 3.458222; 3.458257; 3.458293; 3.458269; 3.458108; 3.458117; 3.458850; 3.460447; 3.461782; 3.462929; 3.463850; 3.464406; 3.464891; 3.465416; 3.465893; 3.466167; 3.466157; 3.466158; 3.466352; 3.467093; 3.468009; 3.468686; 3.469233; 3.470330; 3.471947; 3.474021; 3.475946; 3.477664; 3.479273; 3.480582; 3.481854; 3.483049; 3.483732; 3.484051; 3.483600; 3.482796; 3.481974; 3.480791; 3.480152; 3.479510; 3.478609; 3.477465; 3.475796; 3.473368; 3.458549; (); (); (); (); (); (); (); (); (); (); (); (); (); 
644.5; 11:42:56; (); (); (); (); (); (); (); (); 3.441798; 3.443829; 3.446641; 3.448835; 3.451139; 3.452785; 3.454151; 3.455917; 3.459616; 3.463237; 3.467150; 3.471528; 3.475031; 3.478233; 3.481718; 3.484542; 3.487219; 3.490002; 3.492467; 3.494250; 3.496344; 3.498524; 3.500688; 3.502428; 3.503345; 3.503898; 3.504232; 3.504642; 3.505333; 3.506169; 3.507255; 3.508775; 3.510782; 3.512844; 3.515402; 3.518427; 3.521761; 3.524908; 3.528147; 3.532064; 3.535324; 3.538322; 3.541469; 3.543980; 3.546125; 3.548321; 3.550075; 3.551611; 3.552931; 3.553453; 3.553473; 3.553197; 3.552329; 3.551200; 3.549741; 3.547871; 3.546039; 3.544091; 3.541472; 3.539038; 3.535824; 3.532182; 3.528785; 3.525089; 3.522222; 3.519456; 3.516670; 3.514175; 3.512653; 3.512378; 3.513234; 3.514701; 3.516727; 3.519628; 3.522643; 3.526107; 3.529904; 3.532972; 3.535657; 3.538217; 3.540185; 3.541545; 3.542072; 3.541536; 3.539084; 3.535105; 3.530722; 3.526293; 3.519538; 3.510614; 3.503032; 3.495495; 3.487033; 3.479862; 3.473203; 3.466343; 3.460772; 3.455225; 3.449257; 3.444900; 3.441184; 3.437635; 3.435234; 3.434943; 3.435625; 3.436961; 3.438428; 3.440065; 3.441981; 3.443748; 3.445445; 3.446975; 3.448342; 3.450252; 3.452237; 3.454503; 3.457638; 3.460092; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
647.9; 11:43:05; (); (); (); (); (); (); (); (); 3.417356; 3.417001; 3.417158; 3.416899; 3.416395; 3.416173; 3.416263; 3.416637; 3.415912; 3.415765; 3.417363; 3.419194; 3.421164; 3.423105; 3.425228; 3.427282; 3.429527; 3.431946; 3.435278; 3.438640; 3.442091; 3.445906; 3.448959; 3.452072; 3.455022; 3.457410; 3.459926; 3.462191; 3.464805; 3.468363; 3.472351; 3.476229; 3.480281; 3.484760; 3.488536; 3.491924; 3.495500; 3.498666; 3.501895; 3.505363; 3.508180; 3.510454; 3.512115; 3.513084; 3.513417; 3.512417; 3.510438; 3.507720; 3.504173; 3.499687; 3.495524; 3.492289; 3.488718; 3.485280; 3.482772; 3.480742; 3.479181; 3.477744; 3.477046; 3.476979; 3.477852; 3.479090; 3.480734; 3.482946; 3.485455; 3.488170; 3.490226; 3.492294; 3.494465; 3.496207; 3.497475; 3.498427; 3.499138; 3.499019; 3.498211; 3.496806; 3.495008; 3.493179; 3.491204; 3.488865; 3.486484; 3.484114; 3.481688; 3.479239; 3.476512; 3.474158; 3.471833; 3.469293; 3.467512; 3.466750; 3.466989; 3.467542; 3.468145; 3.468540; 3.468897; 3.469313; 3.469826; 3.470707; 3.471991; 3.473542; 3.475449; 3.478063; 3.480640; 3.483130; 3.485583; 3.487199; 3.488436; 3.490274; 3.492461; 3.494709; 3.496891; 3.499324; 3.501005; 3.502155; 3.503158; 3.504043; 3.504678; 3.505274; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
651.4; 11:43:13; (); (); (); (); (); (); (); (); 3.453115; 3.455659; 3.459441; 3.462896; 3.465527; 3.467276; 3.468824; 3.469870; 3.472624; 3.475972; 3.479683; 3.482951; 3.485164; 3.487139; 3.488550; 3.489165; 3.489310; 3.489103; 3.488833; 3.489261; 3.490858; 3.492502; 3.494287; 3.496275; 3.498604; 3.501464; 3.504796; 3.508781; 3.513019; 3.516798; 3.520646; 3.524484; 3.528056; 3.531066; 3.532175; 3.531794; 3.530544; 3.528661; 3.526510; 3.523870; 3.520368; 3.516636; 3.512479; 3.507792; 3.502981; 3.498699; 3.494462; 3.490278; 3.486564; 3.483161; 3.480626; 3.478739; 3.477615; 3.476875; 3.476262; 3.475812; 3.475634; 3.475242; 3.474267; 3.473562; 3.473104; 3.472712; 3.472240; 3.471836; 3.471620; 3.471220; 3.470552; 3.469433; 3.468065; 3.466280; 3.464805; 3.463663; 3.462759; 3.462280; 3.461998; 3.462207; 3.462754; 3.463774; 3.465379; 3.467222; 3.469789; 3.472779; 3.475744; 3.479062; 3.482057; 3.484651; 3.487745; 3.491388; 3.494581; 3.497186; 3.499254; 3.500949; 3.501981; 3.502509; 3.502595; 3.502403; 3.502165; 3.502245; 3.502383; 3.502109; 3.501593; 3.500898; 3.500026; 3.499764; 3.499763; 3.499807; 3.499877; 3.500027; 3.500319; 3.500704; 3.502185; 3.505019; 3.505117; 3.505301; 3.505870; 3.506734; 3.507889; 3.509403; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
654.8; 11:43:22; (); (); (); (); (); (); (); (); 3.438396; 3.436889; 3.433214; 3.430053; 3.427373; 3.425372; 3.424278; 3.423217; 3.416403; 3.413815; 3.413508; 3.413440; 3.413575; 3.413800; 3.414233; 3.415336; 3.417080; 3.419998; 3.423009; 3.426182; 3.429836; 3.432932; 3.435921; 3.439283; 3.442495; 3.445002; 3.447380; 3.450127; 3.452784; 3.454866; 3.456625; 3.458492; 3.460331; 3.461907; 3.463235; 3.464668; 3.466012; 3.467310; 3.468775; 3.470223; 3.471719; 3.473254; 3.474359; 3.475705; 3.477070; 3.478168; 3.479404; 3.480616; 3.481401; 3.481928; 3.482261; 3.482272; 3.482348; 3.482509; 3.482703; 3.483065; 3.483392; 3.483732; 3.484043; 3.484221; 3.484177; 3.484082; 3.484096; 3.484535; 3.485167; 3.486143; 3.487420; 3.488384; 3.489191; 3.489805; 3.490087; 3.490228; 3.490056; 3.489628; 3.489142; 3.488463; 3.487687; 3.486499; 3.484688; 3.482398; 3.480326; 3.478326; 3.476039; 3.473791; 3.471581; 3.469466; 3.467915; 3.466710; 3.465385; 3.464464; 3.464030; 3.464046; 3.464704; 3.465611; 3.466339; 3.466623; 3.466631; 3.466760; 3.467091; 3.467343; 3.467504; 3.467568; 3.467559; 3.467380; 3.466698; 3.465269; 3.463011; 3.460196; 3.457109; 3.454082; 3.450979; 3.448420; 3.447200; 3.445971; 3.444388; 3.442415; 3.439623; 3.435950; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
