Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-04-17; 11:51:41
File Name; D:\Mahlo\TR\180417115141FP 4576_257 GSM0_THICKNESS2.txt

854.3; 11:51:53; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.691853; 0.691250; 0.690485; 0.688510; 0.686930; 0.686080; 0.686596; 0.687365; 0.687679; 0.688485; 0.688790; 0.688791; 0.687354; 0.683889; 0.682241; 0.683389; 0.684227; 0.684745; 0.686707; 0.688209; 0.687910; 0.686309; 0.685544; 0.685611; 0.685111; 0.684116; 0.684478; 0.686435; 0.687888; 0.687491; 0.684421; 0.682462; 0.681557; 0.681271; 0.682064; 0.681704; 0.681120; 0.680182; 0.679450; 0.679765; 0.681322; 0.681016; 0.679919; 0.679771; 0.681093; 0.682825; 0.683840; 0.685603; 0.686907; 0.688185; 0.692153; 0.693847; 0.694807; 0.695679; 0.695639; 0.694821; 0.696095; 0.698454; 0.699602; 0.700182; 0.700823; 0.701304; 0.700759; 0.699500; 0.698308; 0.699611; 0.700759; 0.701762; 0.702344; 0.702347; 0.701469; 0.699929; 0.700215; 0.700696; 0.700702; 0.700205; 0.700209; 0.701057; 0.703754; 0.703959; 0.702472; 0.702725; 0.702000; 0.700664; 0.700225; 0.700931; 0.701744; 0.701051; 0.700356; 0.701042; 0.702681; 0.703746; 0.701904; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
858.6; 11:52:02; (); (); (); (); (); (); (); (); (); 0.693326; 0.696427; 0.700698; 0.701784; 0.703022; 0.703737; 0.703829; 0.704538; 0.704040; 0.702861; 0.702117; 0.701290; 0.700707; 0.700070; 0.698677; 0.694409; 0.689942; 0.685898; 0.682914; 0.680528; 0.677997; 0.676005; 0.674097; 0.673437; 0.674056; 0.674691; 0.674032; 0.672612; 0.672691; 0.672575; 0.674098; 0.677117; 0.680636; 0.682698; 0.684523; 0.687214; 0.688728; 0.689116; 0.689132; 0.689544; 0.690087; 0.692824; 0.695885; 0.696709; 0.694334; 0.693509; 0.690806; 0.688322; 0.688498; 0.688182; 0.688225; 0.688518; 0.690134; 0.691877; 0.691047; 0.690351; 0.688235; 0.686140; 0.686401; 0.689175; 0.692579; 0.693452; 0.693318; 0.692771; 0.692738; 0.692892; 0.692618; 0.692936; 0.693550; 0.693650; 0.694624; 0.696433; 0.698254; 0.699545; 0.700252; 0.699560; 0.702364; 0.703631; 0.703757; 0.704574; 0.706291; 0.706988; 0.706025; 0.705682; 0.705304; 0.703113; 0.702596; 0.703554; 0.703833; 0.703289; 0.702634; 0.701794; 0.701323; 0.700050; 0.698301; 0.697053; 0.697381; 0.697558; 0.698625; 0.700472; 0.702640; 0.703011; 0.701590; 0.700379; 0.700210; 0.700822; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
862.0; 11:52:10; (); (); (); (); (); (); (); (); (); 0.693326; 0.693200; 0.693681; 0.695874; 0.700058; 0.702238; 0.702796; 0.702187; 0.700604; 0.698675; 0.697753; 0.698295; 0.700730; 0.702346; 0.702780; 0.703109; 0.704308; 0.704925; 0.703128; 0.699492; 0.696434; 0.697196; 0.699740; 0.702373; 0.703676; 0.703608; 0.700858; 0.697472; 0.696818; 0.695992; 0.695037; 0.693976; 0.693579; 0.693760; 0.693727; 0.692196; 0.688347; 0.683471; 0.681657; 0.682151; 0.683440; 0.684978; 0.685626; 0.683881; 0.681553; 0.679106; 0.676701; 0.674796; 0.670868; 0.668970; 0.668754; 0.669046; 0.668686; 0.666567; 0.664145; 0.662624; 0.661566; 0.662105; 0.664276; 0.666973; 0.670006; 0.672686; 0.675147; 0.678402; 0.681941; 0.683804; 0.686209; 0.689375; 0.693031; 0.695639; 0.696657; 0.697372; 0.696706; 0.695270; 0.693898; 0.692877; 0.692182; 0.692021; 0.692595; 0.693149; 0.693194; 0.693642; 0.694295; 0.695660; 0.697508; 0.699290; 0.702391; 0.702080; 0.703304; 0.705120; 0.705166; 0.706034; 0.707152; 0.706967; 0.706731; 0.707746; 0.708359; 0.706485; 0.704153; 0.702744; 0.701957; 0.702038; 0.704243; 0.703824; 0.702765; 0.701903; 0.701988; 0.702086; 0.704156; 0.705858; 0.705543; 0.704353; 0.705296; 0.706358; 0.707589; 0.707625; 0.707081; 0.706640; (); (); (); (); (); (); (); (); (); (); (); (); (); 
865.4; 11:52:19; (); (); (); (); (); (); (); (); (); 0.693326; 0.693391; 0.697859; 0.701582; 0.703489; 0.704531; 0.704786; 0.704333; 0.703734; 0.704460; 0.704652; 0.704133; 0.705109; 0.705482; 0.705889; 0.703884; 0.701360; 0.699233; 0.697933; 0.696074; 0.694377; 0.693692; 0.694270; 0.694700; 0.693439; 0.692643; 0.692763; 0.691893; 0.690089; 0.689614; 0.690324; 0.691668; 0.692702; 0.691742; 0.691604; 0.692730; 0.693257; 0.692843; 0.692891; 0.693620; 0.694879; 0.696513; 0.697490; 0.697990; 0.696414; 0.694669; 0.692033; 0.690116; 0.690816; 0.692213; 0.693116; 0.692983; 0.691689; 0.689477; 0.687016; 0.685425; 0.685246; 0.686805; 0.688253; 0.692074; 0.695614; 0.699916; 0.700992; 0.698599; 0.696741; 0.694384; 0.692990; 0.694372; 0.698474; 0.701526; 0.701200; 0.699456; 0.698100; 0.695934; 0.692294; 0.686141; 0.681082; 0.680621; 0.682193; 0.683246; 0.683439; 0.683837; 0.683662; 0.683127; 0.683126; 0.685536; 0.687644; 0.690222; 0.692971; 0.695029; 0.698147; 0.699374; 0.699039; 0.698617; 0.699003; 0.699879; 0.700911; 0.699862; 0.698437; 0.696228; 0.691951; 0.689008; 0.685793; 0.682689; 0.681173; 0.680886; 0.681228; 0.682504; 0.683186; 0.684037; 0.686773; 0.686866; 0.687466; 0.687646; 0.688890; 0.692779; 0.695742; 0.698828; (); (); (); (); (); (); (); (); (); (); (); (); (); 
868.8; 11:52:28; (); (); (); (); (); (); (); (); (); (); 0.672370; 0.678027; 0.682527; 0.684805; 0.687242; 0.688555; 0.688700; 0.686994; 0.684504; 0.685420; 0.684831; 0.684923; 0.686684; 0.688451; 0.688596; 0.687111; 0.685407; 0.684871; 0.685452; 0.683299; 0.681996; 0.680973; 0.681372; 0.681489; 0.680850; 0.681478; 0.681190; 0.680910; 0.680864; 0.681131; 0.682684; 0.684324; 0.683117; 0.681524; 0.681118; 0.679723; 0.679072; 0.680740; 0.683760; 0.687582; 0.691930; 0.693990; 0.695147; 0.693953; 0.691605; 0.688590; 0.686089; 0.684562; 0.684111; 0.685374; 0.688416; 0.690855; 0.692090; 0.692063; 0.689784; 0.687588; 0.686182; 0.687402; 0.690210; 0.692552; 0.694061; 0.694419; 0.696220; 0.696905; 0.695956; 0.694699; 0.694138; 0.692161; 0.690014; 0.688889; 0.689127; 0.689098; 0.687127; 0.687327; 0.688834; 0.689920; 0.690849; 0.690941; 0.689480; 0.689287; 0.688670; 0.688049; 0.689051; 0.691640; 0.694979; 0.697019; 0.698422; 0.699045; 0.697441; 0.695621; 0.695776; 0.696767; 0.696691; 0.699347; 0.699689; 0.699545; 0.701213; 0.703338; 0.704236; 0.703850; 0.703341; 0.703052; 0.703588; 0.705127; 0.705498; 0.704294; 0.704167; 0.703289; 0.701408; 0.701823; 0.703975; 0.702765; 0.700071; 0.698101; 0.697184; 0.696107; 0.695667; (); (); (); (); (); (); (); (); (); (); (); (); (); 
872.2; 11:52:36; (); (); (); (); (); (); (); (); (); (); 0.698618; 0.700810; 0.700055; 0.699940; 0.701696; 0.701556; 0.701834; 0.703086; 0.703990; 0.703957; 0.705974; 0.707788; 0.707252; 0.704857; 0.701628; 0.699956; 0.700354; 0.701555; 0.699375; 0.696883; 0.697337; 0.694834; 0.693264; 0.693475; 0.694301; 0.692775; 0.689888; 0.688729; 0.689182; 0.689293; 0.686810; 0.682877; 0.681680; 0.683257; 0.685067; 0.685131; 0.687150; 0.688135; 0.687917; 0.687216; 0.686046; 0.684700; 0.683323; 0.682250; 0.682697; 0.684406; 0.685923; 0.685985; 0.684716; 0.681974; 0.678876; 0.676695; 0.676576; 0.677890; 0.680221; 0.682717; 0.687800; 0.691724; 0.693698; 0.694499; 0.695834; 0.696995; 0.695817; 0.697590; 0.701090; 0.704288; 0.704694; 0.702763; 0.701826; 0.700834; 0.699014; 0.696383; 0.693964; 0.694535; 0.696229; 0.697560; 0.699162; 0.700973; 0.701095; 0.700718; 0.701054; 0.703592; 0.706920; 0.708723; 0.709943; 0.712210; 0.714607; 0.716869; 0.716662; 0.715986; 0.715512; 0.714417; 0.713791; 0.713942; 0.714660; 0.714879; 0.714358; 0.713164; 0.709883; 0.708472; 0.707786; 0.707851; 0.708735; 0.707664; 0.706632; 0.706685; 0.707983; 0.707551; 0.706002; 0.703761; 0.702863; 0.702786; 0.703543; 0.705221; 0.705925; 0.704989; 0.702249; (); (); (); (); (); (); (); (); (); (); (); (); (); 
875.6; 11:52:45; (); (); (); (); (); (); (); (); (); (); 0.707372; 0.706623; 0.706920; 0.707974; 0.708153; 0.708005; 0.708228; 0.708194; 0.708629; 0.708665; 0.708724; 0.709009; 0.709057; 0.708576; 0.707313; 0.704235; 0.702034; 0.700372; 0.699342; 0.699358; 0.698649; 0.698573; 0.697303; 0.694301; 0.691898; 0.690823; 0.687453; 0.686140; 0.687753; 0.689904; 0.691249; 0.694464; 0.696052; 0.696032; 0.696270; 0.696823; 0.695941; 0.698746; 0.703405; 0.705649; 0.707218; 0.710616; 0.709108; 0.704800; 0.701458; 0.699480; 0.694973; 0.691688; 0.688980; 0.687446; 0.686722; 0.686473; 0.684588; 0.681462; 0.678604; 0.675795; 0.672940; 0.673978; 0.675660; 0.678283; 0.681540; 0.685322; 0.688623; 0.691690; 0.692706; 0.693749; 0.694759; 0.694758; 0.696338; 0.698802; 0.700326; 0.701765; 0.703360; 0.704924; 0.704769; 0.703883; 0.703073; 0.701852; 0.698445; 0.696900; 0.695236; 0.694176; 0.694426; 0.694629; 0.695355; 0.695601; 0.694605; 0.692974; 0.690920; 0.688952; 0.691688; 0.693773; 0.695885; 0.699099; 0.701137; 0.701031; 0.700876; 0.699499; 0.698438; 0.698261; 0.699235; 0.700670; 0.702806; 0.705360; 0.705956; 0.704483; 0.704780; 0.704776; 0.703516; 0.703413; 0.704754; 0.705928; 0.708290; 0.709748; 0.709929; 0.704989; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
878.9; 11:52:53; (); (); (); (); (); (); (); (); (); (); (); 0.706623; 0.709551; 0.710766; 0.709821; 0.708875; 0.707517; 0.706672; 0.705940; 0.705405; 0.704969; 0.704213; 0.702568; 0.701407; 0.700551; 0.699707; 0.697099; 0.693624; 0.690254; 0.688228; 0.687417; 0.687175; 0.687649; 0.687551; 0.687427; 0.687190; 0.686649; 0.686058; 0.688193; 0.689716; 0.689908; 0.689222; 0.690306; 0.692030; 0.692786; 0.691876; 0.692106; 0.691938; 0.692941; 0.692606; 0.691217; 0.690119; 0.688783; 0.684195; 0.680394; 0.678668; 0.679669; 0.680305; 0.681616; 0.681891; 0.680848; 0.679166; 0.678129; 0.676784; 0.677774; 0.680049; 0.682171; 0.682975; 0.684766; 0.686097; 0.687266; 0.688465; 0.687532; 0.685523; 0.686068; 0.688745; 0.692325; 0.693357; 0.693721; 0.692572; 0.691045; 0.689906; 0.689832; 0.689412; 0.690550; 0.690473; 0.690396; 0.691812; 0.693983; 0.695072; 0.694462; 0.692804; 0.693356; 0.695155; 0.697276; 0.700003; 0.702309; 0.702637; 0.704173; 0.703753; 0.703027; 0.702102; 0.701274; 0.699559; 0.698868; 0.698718; 0.697733; 0.694895; 0.692577; 0.690419; 0.686587; 0.685511; 0.686398; 0.686210; 0.685417; 0.686436; 0.687795; 0.689683; 0.690359; 0.689995; 0.689822; 0.690897; 0.692904; 0.694559; 0.696364; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
882.2; 11:53:02; (); (); (); (); (); (); (); (); (); (); (); (); 0.707633; 0.710009; 0.712028; 0.711510; 0.710321; 0.710427; 0.710289; 0.710668; 0.713613; 0.716294; 0.718134; 0.717795; 0.715827; 0.713777; 0.711971; 0.709200; 0.706513; 0.705275; 0.706138; 0.706256; 0.704253; 0.702577; 0.700124; 0.695949; 0.693834; 0.692838; 0.692317; 0.691546; 0.691588; 0.691868; 0.691349; 0.690204; 0.688570; 0.685191; 0.684218; 0.684847; 0.685782; 0.686307; 0.687537; 0.687159; 0.684844; 0.682531; 0.681380; 0.678300; 0.675829; 0.674984; 0.674440; 0.674684; 0.676504; 0.677933; 0.678010; 0.678005; 0.678190; 0.678935; 0.679396; 0.681947; 0.684145; 0.686955; 0.690564; 0.694480; 0.697344; 0.698981; 0.699775; 0.700772; 0.701158; 0.700458; 0.700538; 0.700315; 0.700318; 0.701514; 0.700899; 0.699360; 0.698287; 0.696840; 0.694658; 0.693312; 0.693675; 0.693932; 0.693932; 0.694596; 0.696922; 0.698830; 0.700299; 0.700321; 0.699874; 0.700367; 0.701247; 0.701356; 0.703912; 0.707903; 0.710704; 0.712397; 0.714387; 0.715982; 0.717394; 0.718873; 0.719271; 0.720384; 0.723284; 0.725342; 0.726549; 0.728107; 0.730079; 0.730571; 0.730289; 0.729703; 0.728829; 0.728387; 0.727648; 0.726400; 0.725796; 0.726768; 0.726406; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
885.5; 11:53:10; (); (); (); (); (); (); (); (); (); (); (); (); 0.695002; 0.694113; 0.695761; 0.698299; 0.699427; 0.699374; 0.698284; 0.697127; 0.695154; 0.694849; 0.693209; 0.692709; 0.692349; 0.691998; 0.691288; 0.692299; 0.692231; 0.688120; 0.683753; 0.682124; 0.681275; 0.682024; 0.685112; 0.686516; 0.686073; 0.685774; 0.686714; 0.689250; 0.691001; 0.690519; 0.690002; 0.689455; 0.692270; 0.695287; 0.695863; 0.695134; 0.694282; 0.693392; 0.693801; 0.695554; 0.697027; 0.694868; 0.692022; 0.689893; 0.689140; 0.689508; 0.691571; 0.692624; 0.693759; 0.694938; 0.695544; 0.694838; 0.694945; 0.693854; 0.692425; 0.693278; 0.694198; 0.694365; 0.696707; 0.698571; 0.698881; 0.699549; 0.699777; 0.698265; 0.697876; 0.698643; 0.700942; 0.701180; 0.702706; 0.703471; 0.703411; 0.704431; 0.705460; 0.704993; 0.704614; 0.705116; 0.705688; 0.704796; 0.701447; 0.700872; 0.700990; 0.700344; 0.701564; 0.702537; 0.703422; 0.704150; 0.704707; 0.703843; 0.703299; 0.703932; 0.703133; 0.701941; 0.704892; 0.709819; 0.712792; 0.715514; 0.717863; 0.718879; 0.719135; 0.720368; 0.719520; 0.717788; 0.717837; 0.718453; 0.717346; 0.717567; 0.718174; 0.717108; 0.716507; 0.713948; 0.711832; 0.709965; 0.707622; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
888.8; 11:53:18; (); (); (); (); (); (); (); (); (); (); (); (); 0.723438; 0.720650; 0.716938; 0.713565; 0.711947; 0.711415; 0.710779; 0.710132; 0.708895; 0.706575; 0.703825; 0.702736; 0.700194; 0.697770; 0.695772; 0.693603; 0.693634; 0.694849; 0.695391; 0.695531; 0.695115; 0.693638; 0.693025; 0.692954; 0.694504; 0.696139; 0.696849; 0.698456; 0.699888; 0.701156; 0.701872; 0.701272; 0.699457; 0.698130; 0.697364; 0.697732; 0.698029; 0.697400; 0.696042; 0.694020; 0.690851; 0.687840; 0.687528; 0.686335; 0.684751; 0.683994; 0.684989; 0.687759; 0.689490; 0.688949; 0.687992; 0.689158; 0.690517; 0.691303; 0.692572; 0.694595; 0.697935; 0.701657; 0.704911; 0.709027; 0.711471; 0.711464; 0.710304; 0.711190; 0.715845; 0.719248; 0.721010; 0.722344; 0.724455; 0.724552; 0.724130; 0.722399; 0.719604; 0.717975; 0.716859; 0.718100; 0.719049; 0.718864; 0.717880; 0.714879; 0.712687; 0.712234; 0.711752; 0.711235; 0.712458; 0.714379; 0.714948; 0.715632; 0.716254; 0.715289; 0.713762; 0.714889; 0.714887; 0.713935; 0.713925; 0.715661; 0.713253; 0.712858; 0.711582; 0.708640; 0.706789; 0.706931; 0.704965; 0.702453; 0.700719; 0.702182; 0.703140; 0.703444; 0.704423; 0.704584; 0.702608; 0.703689; 0.702804; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
