Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-04-17; 11:53:55
File Name; D:\Mahlo\TR\180417115355FP 4576_257 GSM0_XMF2.txt

906.7; 11:54:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.360764; 3.361835; 3.366488; 3.370563; 3.373605; 3.376155; 3.378222; 3.379935; 3.382659; 3.385656; 3.388990; 3.392651; 3.396661; 3.401329; 3.406259; 3.411786; 3.416361; 3.419442; 3.423468; 3.427544; 3.432152; 3.438202; 3.444817; 3.451639; 3.458423; 3.463237; 3.467561; 3.472897; 3.478437; 3.483155; 3.487310; 3.491160; 3.494153; 3.495918; 3.496592; 3.496502; 3.495734; 3.494339; 3.492647; 3.490874; 3.488876; 3.487401; 3.486341; 3.484647; 3.482425; 3.480289; 3.478282; 3.476076; 3.474414; 3.473517; 3.473031; 3.472523; 3.471848; 3.471017; 3.469968; 3.468622; 3.466659; 3.464368; 3.461726; 3.458865; 3.456703; 3.454422; 3.451228; 3.448065; 3.444478; 3.440167; 3.436505; 3.433030; 3.429063; 3.425342; 3.422147; 3.419785; 3.418038; 3.416384; 3.415366; 3.414856; 3.414582; 3.414467; 3.414704; 3.415393; 3.416289; 3.417265; 3.418781; 3.420642; 3.422241; 3.423499; 3.424384; 3.425128; 3.425771; 3.426366; 3.427036; 3.427745; 3.428647; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
911.0; 11:54:15; (); (); (); (); (); (); (); (); (); (); (); (); 3.382451; 3.383417; 3.384388; 3.384895; 3.385162; 3.385396; 3.385743; 3.386371; 3.387031; 3.388026; 3.389422; 3.390813; 3.392717; 3.394087; 3.395418; 3.397337; 3.399523; 3.401641; 3.404076; 3.407489; 3.410898; 3.413726; 3.416266; 3.418605; 3.420680; 3.422708; 3.424098; 3.425234; 3.426542; 3.427557; 3.427617; 3.426983; 3.425757; 3.424176; 3.422563; 3.421017; 3.419489; 3.418615; 3.418268; 3.418392; 3.418905; 3.420216; 3.422507; 3.425110; 3.427704; 3.430463; 3.434120; 3.438560; 3.443298; 3.447687; 3.452474; 3.457943; 3.462831; 3.466636; 3.470065; 3.473599; 3.475978; 3.477747; 3.479449; 3.480809; 3.482033; 3.483288; 3.484179; 3.484412; 3.483950; 3.482592; 3.480978; 3.479402; 3.477319; 3.474269; 3.471158; 3.468004; 3.464885; 3.461666; 3.457787; 3.453641; 3.449676; 3.445690; 3.441833; 3.439145; 3.436885; 3.434485; 3.432565; 3.431758; 3.431889; 3.433049; 3.434618; 3.435963; 3.436876; 3.437860; 3.438834; 3.440113; 3.441638; 3.442790; 3.443536; 3.444197; 3.445067; 3.445857; 3.446231; 3.446131; 3.445201; 3.443514; 3.443102; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
914.2; 11:54:24; (); (); (); (); (); (); (); (); (); (); (); (); 3.392433; 3.397476; 3.403432; 3.408294; 3.412633; 3.415729; 3.418621; 3.421544; 3.424582; 3.428014; 3.431828; 3.435428; 3.438385; 3.441158; 3.444001; 3.446206; 3.445042; 3.442470; 3.439804; 3.436668; 3.433856; 3.431776; 3.429374; 3.427161; 3.425491; 3.424330; 3.423386; 3.422504; 3.422075; 3.422094; 3.422516; 3.423515; 3.424819; 3.426173; 3.427801; 3.429546; 3.431696; 3.434497; 3.437216; 3.439479; 3.441710; 3.444590; 3.447691; 3.450315; 3.452800; 3.455039; 3.456988; 3.459184; 3.461482; 3.463423; 3.465093; 3.466541; 3.467584; 3.468274; 3.468746; 3.468909; 3.468657; 3.468198; 3.467560; 3.467231; 3.467413; 3.467717; 3.467785; 3.467837; 3.468041; 3.468236; 3.468137; 3.467790; 3.467698; 3.467995; 3.468578; 3.469360; 3.470457; 3.471539; 3.472299; 3.472700; 3.472932; 3.473244; 3.473478; 3.473467; 3.473763; 3.474820; 3.476151; 3.477144; 3.477535; 3.477623; 3.477828; 3.477848; 3.477596; 3.477290; 3.477065; 3.477035; 3.477161; 3.477495; 3.478139; 3.478566; 3.478408; 3.477892; 3.477481; 3.477270; 3.476734; 3.475503; 3.474292; 3.473513; 3.472542; 3.471471; 3.470244; 3.469500; 3.468667; 3.467387; 3.465786; 3.463994; 3.461989; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
917.5; 11:54:32; (); (); (); (); (); (); (); (); (); (); (); (); 3.372085; 3.377992; 3.383371; 3.387493; 3.391501; 3.395997; 3.399899; 3.406202; 3.414409; 3.422754; 3.430527; 3.438319; 3.446771; 3.453527; 3.459457; 3.464746; 3.469502; 3.474374; 3.478814; 3.482270; 3.485296; 3.488246; 3.490401; 3.491917; 3.493203; 3.494228; 3.495025; 3.495656; 3.496225; 3.496819; 3.497325; 3.497525; 3.496932; 3.495834; 3.494586; 3.493029; 3.490879; 3.488415; 3.486052; 3.482721; 3.478328; 3.474094; 3.469809; 3.464891; 3.459698; 3.454482; 3.449934; 3.445843; 3.441563; 3.437706; 3.433849; 3.429668; 3.426658; 3.424526; 3.423033; 3.422263; 3.422064; 3.421992; 3.422168; 3.422831; 3.423677; 3.424871; 3.426231; 3.427729; 3.429976; 3.432792; 3.435358; 3.437736; 3.439984; 3.441767; 3.442684; 3.443201; 3.443616; 3.443657; 3.443333; 3.443139; 3.442853; 3.442594; 3.442519; 3.442422; 3.442299; 3.442285; 3.442228; 3.442134; 3.441999; 3.442044; 3.442271; 3.442502; 3.443054; 3.443905; 3.444858; 3.445772; 3.446477; 3.446878; 3.446871; 3.446427; 3.445327; 3.444201; 3.443142; 3.442126; 3.441305; 3.440565; 3.439795; 3.439016; 3.438130; 3.436916; 3.435897; 3.434844; 3.433617; 3.432535; 3.431731; 3.431399; 3.431292; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
920.8; 11:54:40; (); (); (); (); (); (); (); (); (); (); (); (); 3.334884; 3.338061; 3.345676; 3.351188; 3.355619; 3.359973; 3.364081; 3.367716; 3.372937; 3.378602; 3.385718; 3.393427; 3.400466; 3.408693; 3.416061; 3.423516; 3.428403; 3.431155; 3.434351; 3.437544; 3.440885; 3.444183; 3.446965; 3.449383; 3.451351; 3.452767; 3.453310; 3.453559; 3.453668; 3.453645; 3.453708; 3.453938; 3.454242; 3.454302; 3.453714; 3.452849; 3.452030; 3.450965; 3.449728; 3.448551; 3.447249; 3.446175; 3.444829; 3.443004; 3.441100; 3.439037; 3.436932; 3.434702; 3.432364; 3.430669; 3.429365; 3.428323; 3.427608; 3.427429; 3.427727; 3.428352; 3.429950; 3.432490; 3.434998; 3.438026; 3.441735; 3.446108; 3.450840; 3.454898; 3.458782; 3.463122; 3.467210; 3.470473; 3.473343; 3.476374; 3.478502; 3.479615; 3.479840; 3.479188; 3.478330; 3.477179; 3.475624; 3.474377; 3.473540; 3.472875; 3.472427; 3.472292; 3.472700; 3.473403; 3.474448; 3.476312; 3.478748; 3.481787; 3.485536; 3.488916; 3.492323; 3.496003; 3.498994; 3.502735; 3.506255; 3.508765; 3.511219; 3.512572; 3.513452; 3.513928; 3.513813; 3.513085; 3.512018; 3.511117; 3.510070; 3.508736; 3.507381; 3.506392; 3.505063; 3.503603; 3.501936; 3.500245; 3.498656; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
924.0; 11:54:49; (); (); (); (); (); (); (); (); (); (); (); (); 3.373000; 3.373953; 3.375207; 3.376389; 3.377406; 3.378471; 3.379562; 3.381608; 3.383806; 3.385954; 3.388296; 3.390729; 3.393672; 3.397590; 3.402122; 3.406408; 3.411003; 3.416296; 3.420950; 3.425826; 3.431565; 3.437491; 3.442859; 3.448140; 3.454376; 3.460630; 3.465455; 3.469053; 3.471885; 3.474363; 3.476923; 3.478769; 3.480396; 3.482116; 3.483362; 3.484387; 3.485126; 3.485107; 3.484492; 3.483282; 3.481752; 3.480737; 3.480414; 3.480462; 3.480351; 3.480011; 3.479666; 3.479138; 3.478427; 3.477469; 3.475914; 3.474197; 3.472940; 3.472140; 3.471312; 3.469941; 3.467661; 3.465268; 3.462365; 3.458600; 3.454705; 3.450503; 3.446738; 3.443163; 3.439820; 3.436809; 3.433869; 3.431010; 3.428664; 3.426775; 3.425320; 3.424686; 3.424735; 3.425409; 3.426712; 3.428888; 3.431770; 3.435149; 3.438147; 3.441312; 3.445204; 3.448719; 3.452445; 3.456744; 3.460344; 3.464023; 3.467043; 3.469077; 3.470596; 3.471435; 3.471841; 3.471730; 3.471147; 3.470245; 3.468610; 3.466486; 3.463716; 3.460653; 3.460443; 3.460545; 3.460806; 3.461318; 3.462077; 3.463148; 3.464587; 3.466046; 3.466871; 3.467880; 3.469173; 3.471106; 3.474421; 3.479334; 3.483393; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
927.3; 11:54:57; (); (); (); (); (); (); (); (); (); (); (); (); 3.345571; 3.345558; 3.345802; 3.346422; 3.347341; 3.348312; 3.349315; 3.350471; 3.352158; 3.353801; 3.355684; 3.358408; 3.361611; 3.365508; 3.369850; 3.374419; 3.379599; 3.384032; 3.388350; 3.393055; 3.397797; 3.401907; 3.406054; 3.410802; 3.415644; 3.419960; 3.424033; 3.427938; 3.431092; 3.433541; 3.436222; 3.439723; 3.443403; 3.446725; 3.449892; 3.453289; 3.455790; 3.457872; 3.459919; 3.461789; 3.463482; 3.464493; 3.465127; 3.465604; 3.465484; 3.464576; 3.462832; 3.460249; 3.457776; 3.455391; 3.452671; 3.450193; 3.447695; 3.445331; 3.443120; 3.440691; 3.438796; 3.437059; 3.435512; 3.434913; 3.434972; 3.435637; 3.436455; 3.437357; 3.438367; 3.439601; 3.440962; 3.442372; 3.443768; 3.445043; 3.446240; 3.447619; 3.449425; 3.450808; 3.451811; 3.453062; 3.454310; 3.455558; 3.456969; 3.458347; 3.459530; 3.460856; 3.461982; 3.462909; 3.463938; 3.464611; 3.464683; 3.464426; 3.463596; 3.462073; 3.459977; 3.457504; 3.454614; 3.451446; 3.448320; 3.445233; 3.441561; 3.438082; 3.435655; 3.433569; 3.431910; 3.430579; 3.429212; 3.428788; 3.429225; 3.430568; 3.432015; 3.432708; 3.433394; 3.434481; 3.435628; 3.437290; 3.439566; 3.440728; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
930.6; 11:55:05; (); (); (); (); (); (); (); (); (); (); (); (); 3.389984; 3.389484; 3.388922; 3.388615; 3.388535; 3.388604; 3.388768; 3.388645; 3.388732; 3.389203; 3.390085; 3.391458; 3.393761; 3.395995; 3.398085; 3.400398; 3.403125; 3.405943; 3.408822; 3.411589; 3.414477; 3.418111; 3.422154; 3.425631; 3.428617; 3.431499; 3.433765; 3.435727; 3.438142; 3.440481; 3.442711; 3.444705; 3.446272; 3.447849; 3.449294; 3.450198; 3.450609; 3.450627; 3.450963; 3.451758; 3.452863; 3.453970; 3.454976; 3.455887; 3.456938; 3.458241; 3.459734; 3.461130; 3.462357; 3.463899; 3.466033; 3.468129; 3.470068; 3.471489; 3.472197; 3.472343; 3.471899; 3.471340; 3.470400; 3.469154; 3.467906; 3.466563; 3.465501; 3.464159; 3.462015; 3.459817; 3.457546; 3.455260; 3.453366; 3.451857; 3.451052; 3.451051; 3.451430; 3.452080; 3.452582; 3.453046; 3.453609; 3.454366; 3.455529; 3.457186; 3.459067; 3.460839; 3.462514; 3.464054; 3.466048; 3.467954; 3.468977; 3.469691; 3.470379; 3.471022; 3.471446; 3.471697; 3.471636; 3.471275; 3.470834; 3.470260; 3.469769; 3.468808; 3.466298; 3.463878; 3.461495; 3.458925; 3.456786; 3.454778; 3.452547; 3.450537; 3.449292; 3.448142; 3.446611; 3.445115; 3.443392; 3.441039; 3.439484; 3.440728; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
933.8; 11:55:14; (); (); (); (); (); (); (); (); (); (); (); (); 3.407984; 3.410026; 3.412930; 3.415668; 3.417695; 3.418892; 3.419844; 3.420955; 3.422720; 3.424386; 3.426125; 3.428163; 3.430089; 3.432120; 3.434128; 3.436190; 3.437207; 3.437462; 3.437591; 3.437839; 3.438419; 3.439230; 3.440014; 3.440627; 3.441030; 3.441197; 3.441189; 3.440721; 3.439796; 3.438601; 3.436924; 3.435047; 3.433484; 3.431979; 3.430377; 3.428613; 3.426326; 3.423531; 3.420729; 3.418506; 3.416729; 3.414918; 3.413456; 3.412788; 3.412528; 3.412366; 3.411848; 3.411530; 3.411623; 3.412267; 3.413864; 3.416471; 3.420153; 3.424450; 3.428423; 3.432456; 3.437566; 3.442339; 3.447024; 3.452596; 3.458403; 3.463664; 3.468343; 3.472851; 3.476018; 3.478450; 3.479740; 3.479907; 3.479188; 3.476988; 3.474325; 3.471412; 3.467578; 3.462797; 3.458164; 3.452723; 3.447473; 3.443399; 3.439179; 3.435920; 3.433190; 3.431104; 3.430068; 3.429783; 3.430629; 3.432555; 3.435026; 3.437528; 3.440364; 3.443868; 3.447130; 3.450335; 3.453685; 3.456737; 3.459251; 3.460980; 3.462019; 3.462829; 3.463265; 3.463327; 3.462863; 3.462198; 3.461570; 3.460994; 3.460485; 3.459721; 3.459163; 3.458583; 3.457951; 3.457506; 3.457372; 3.457514; 3.457625; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
937.1; 11:55:22; (); (); (); (); (); (); (); (); (); (); (); (); 3.453014; 3.453798; 3.454059; 3.453806; 3.453070; 3.451851; 3.450619; 3.449596; 3.448449; 3.447454; 3.446477; 3.445516; 3.444533; 3.443751; 3.443292; 3.443037; 3.443190; 3.444487; 3.447135; 3.450632; 3.455255; 3.460541; 3.466490; 3.473524; 3.480488; 3.486446; 3.492105; 3.498326; 3.504408; 3.509579; 3.514161; 3.517788; 3.520683; 3.522345; 3.522744; 3.522409; 3.521480; 3.519907; 3.517869; 3.515710; 3.513671; 3.511556; 3.509901; 3.508105; 3.506173; 3.504994; 3.504243; 3.503500; 3.502872; 3.502190; 3.501409; 3.500203; 3.498878; 3.497623; 3.495791; 3.493234; 3.490797; 3.488568; 3.485975; 3.482757; 3.479300; 3.476194; 3.473375; 3.470692; 3.468343; 3.466786; 3.465806; 3.465164; 3.465094; 3.465646; 3.466884; 3.467961; 3.468936; 3.469690; 3.470115; 3.470443; 3.470810; 3.470927; 3.470909; 3.470999; 3.470629; 3.469770; 3.468445; 3.466682; 3.464470; 3.461574; 3.459062; 3.456779; 3.454408; 3.452406; 3.450152; 3.447312; 3.444644; 3.442144; 3.438875; 3.435038; 3.430818; 3.427428; 3.428970; 3.431197; 3.433655; 3.436266; 3.439275; 3.441974; 3.444914; 3.448720; 3.451489; 3.454053; 3.456996; 3.460803; 3.466504; 3.474577; 3.481084; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
940.3; 11:55:30; (); (); (); (); (); (); (); (); (); (); (); (); 3.401786; 3.402478; 3.403464; 3.404260; 3.404487; 3.404202; 3.403722; 3.403275; 3.402874; 3.402456; 3.402259; 3.402171; 3.402169; 3.402177; 3.402279; 3.402568; 3.402346; 3.401969; 3.401811; 3.402351; 3.403612; 3.405672; 3.408263; 3.410923; 3.413552; 3.416058; 3.418800; 3.421465; 3.424276; 3.426642; 3.429073; 3.432002; 3.434793; 3.437652; 3.440745; 3.443509; 3.445650; 3.446992; 3.448110; 3.449301; 3.450607; 3.452343; 3.454330; 3.456457; 3.458432; 3.460385; 3.461936; 3.463056; 3.464005; 3.464698; 3.465687; 3.467391; 3.469723; 3.472029; 3.474341; 3.476528; 3.477914; 3.478836; 3.479574; 3.480167; 3.480619; 3.481016; 3.481157; 3.481006; 3.480144; 3.478246; 3.475164; 3.471817; 3.467966; 3.463273; 3.458636; 3.454273; 3.450241; 3.446927; 3.444100; 3.440657; 3.436832; 3.433486; 3.430749; 3.429149; 3.428657; 3.428643; 3.429060; 3.429918; 3.431239; 3.432887; 3.434236; 3.435438; 3.436491; 3.437773; 3.439520; 3.441741; 3.444704; 3.447445; 3.450278; 3.453589; 3.456695; 3.459359; 3.461890; 3.464471; 3.466858; 3.470020; 3.472814; 3.475389; 3.477786; 3.479543; 3.480652; 3.481518; 3.482382; 3.482787; 3.482811; 3.482788; 3.482629; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
