Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-04-17; 11:53:55
File Name; D:\Mahlo\TR\180417115355FP 4576_257 GSM0_FMI2.txt

906.7; 11:54:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 269.922823; 270.041555; 269.924998; 269.861668; 269.948065; 270.135999; 270.119101; 270.036370; 269.666851; 269.262522; 268.783420; 268.565536; 268.460035; 268.078506; 267.283976; 266.552329; 265.996873; 265.345424; 264.579177; 263.989359; 263.377041; 262.974620; 262.685180; 262.504101; 262.699127; 263.034850; 262.867570; 262.547791; 262.489885; 262.643933; 262.883574; 263.111502; 263.706237; 264.197648; 264.422089; 264.529496; 264.555961; 264.588088; 264.699876; 264.593512; 264.354527; 264.544010; 264.696091; 264.926851; 265.172929; 265.256435; 265.320450; 265.109897; 264.944464; 265.016735; 265.253574; 265.467018; 265.663713; 265.836447; 266.204447; 266.620070; 267.058492; 267.753184; 268.121630; 268.388659; 268.626511; 268.804997; 269.213080; 269.470632; 269.645095; 269.588590; 269.768775; 269.878358; 269.739091; 269.514114; 269.362897; 269.354969; 269.093782; 268.893570; 268.913656; 268.863916; 268.915206; 268.735230; 268.480122; 268.512338; 268.228531; 267.958730; 267.817646; 267.859817; 268.032700; 267.955482; 267.750829; 267.633080; 267.572492; 267.319888; 267.054707; 266.896069; 267.004967; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
911.0; 11:54:15; (); (); (); (); (); (); (); (); (); (); (); (); 271.345973; 271.984309; 272.324055; 272.401512; 272.231460; 272.072971; 272.025406; 271.950126; 271.870911; 271.722674; 271.918505; 272.041708; 272.282064; 272.129685; 271.718502; 271.631718; 271.322638; 271.143675; 271.100163; 271.391124; 271.465689; 271.383852; 271.175981; 270.976603; 270.866364; 270.529717; 270.286292; 270.196944; 270.200789; 270.126998; 269.621074; 269.109070; 268.549234; 268.158585; 267.808825; 267.661303; 267.771751; 267.846137; 267.977744; 268.098950; 268.170655; 268.359333; 268.727660; 268.781215; 268.724382; 268.996388; 269.500107; 269.687653; 269.720793; 269.640446; 269.662678; 269.532353; 269.154757; 268.649578; 268.174738; 267.739683; 267.223507; 266.511500; 266.089857; 265.784353; 265.551567; 265.179127; 265.019119; 264.670104; 264.472425; 263.897538; 263.583452; 263.727456; 263.814539; 263.809890; 263.811469; 263.900280; 264.152318; 264.179021; 264.116347; 263.913631; 263.835132; 263.813436; 264.216095; 264.568955; 265.033394; 265.291750; 265.497804; 266.028881; 266.785562; 267.407537; 267.813444; 267.910570; 268.021643; 268.144608; 268.211573; 268.454850; 268.842041; 268.501222; 268.127024; 267.939687; 267.882049; 267.801106; 267.467976; 267.033190; 266.432136; 265.967667; 265.715480; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
914.2; 11:54:24; (); (); (); (); (); (); (); (); (); (); (); (); 265.761703; 265.827000; 265.921921; 266.190350; 266.244948; 266.370863; 266.560256; 266.843438; 266.922414; 267.054319; 267.331243; 267.549098; 267.833173; 268.180043; 268.533200; 268.839002; 269.065797; 269.080162; 269.097149; 269.298196; 269.373596; 269.351780; 268.913418; 268.558651; 268.396378; 268.432677; 268.356025; 268.137395; 268.009335; 267.824680; 267.553121; 267.395943; 267.416894; 267.301232; 266.894400; 266.523659; 266.238362; 265.966088; 265.815914; 265.548795; 265.194416; 265.046269; 264.978588; 265.087396; 265.284032; 265.205622; 265.026420; 264.979869; 264.974982; 265.090734; 265.076309; 265.090883; 265.331030; 265.374720; 265.534431; 265.587211; 265.666753; 265.622705; 265.239179; 264.899701; 264.913410; 265.001446; 264.810324; 264.716119; 264.970809; 265.376657; 265.487373; 265.247494; 264.957458; 264.697671; 264.592975; 264.409214; 264.364928; 264.561415; 264.601231; 264.651328; 264.604956; 264.641196; 264.767170; 264.427930; 263.992101; 263.943344; 264.341176; 264.758736; 264.575273; 264.360309; 264.519483; 264.784575; 264.834940; 264.796019; 264.599144; 264.342815; 264.186829; 263.924450; 264.120758; 264.340162; 264.548898; 264.844865; 265.032798; 265.527695; 265.767008; 265.682966; 265.706360; 265.963405; 266.276389; 266.699612; 267.140985; 267.464966; 267.757058; 267.907858; 268.159360; 268.160105; 268.045008; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
917.5; 11:54:32; (); (); (); (); (); (); (); (); (); (); (); (); 275.929898; 276.086360; 275.706142; 275.639206; 275.492519; 275.094628; 274.827480; 274.627268; 274.102956; 273.549944; 273.418665; 273.414284; 272.825599; 272.033602; 271.099657; 270.204067; 269.494742; 268.724531; 267.994106; 267.435253; 266.931713; 266.283274; 265.585899; 265.094787; 264.648348; 264.037281; 263.647676; 263.520151; 263.334632; 263.345599; 263.444245; 263.399780; 263.308376; 263.108671; 263.041705; 263.062686; 262.921721; 263.097912; 263.147384; 262.951225; 262.815177; 262.728691; 262.618542; 262.728363; 262.737542; 262.745619; 263.064355; 263.555974; 264.252812; 264.478356; 264.717102; 265.096217; 265.440077; 266.092300; 266.689062; 267.254502; 267.741323; 267.810643; 267.855614; 268.113315; 268.331498; 268.623352; 268.873751; 268.852770; 269.141227; 269.552350; 269.726127; 269.570619; 269.098878; 268.755555; 268.386781; 267.993361; 267.924815; 267.850488; 267.525405; 267.503828; 267.407238; 267.229468; 267.116517; 266.967416; 266.679972; 266.579270; 266.428918; 266.542673; 266.601264; 266.869426; 267.235219; 267.386585; 267.557859; 267.876834; 267.739624; 267.661810; 267.504960; 267.243654; 267.014354; 266.795933; 266.563475; 266.467720; 266.618729; 266.842991; 267.001092; 267.035097; 267.248154; 267.164707; 267.027676; 266.840190; 266.583979; 266.522050; 266.632617; 266.890734; 267.156094; 267.496407; 267.941713; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
920.8; 11:54:40; (); (); (); (); (); (); (); (); (); (); (); (); 270.011395; 269.803345; 269.888341; 269.983500; 269.778699; 269.248068; 268.978536; 268.782347; 268.296897; 267.637759; 267.052054; 266.839147; 266.600162; 266.444176; 266.350329; 266.447216; 266.487628; 266.282201; 265.863538; 265.794575; 266.025692; 266.016662; 265.945077; 266.224146; 266.380131; 266.647637; 266.567081; 266.571075; 266.395152; 266.242415; 266.100049; 266.162008; 266.334713; 266.679764; 266.947120; 267.038882; 267.277002; 267.517298; 267.674506; 267.810643; 268.065691; 268.380105; 268.575013; 268.456221; 268.520027; 268.841267; 268.813819; 268.794745; 268.568188; 268.409729; 268.133879; 267.907411; 267.469734; 267.175585; 266.747743; 265.993297; 265.331328; 264.877260; 264.697134; 264.390796; 263.905406; 263.840437; 263.930798; 263.898551; 263.838112; 263.872355; 264.060497; 264.025718; 264.097691; 264.543802; 265.034616; 265.439332; 265.713096; 265.720963; 265.625775; 265.327007; 264.853001; 264.741659; 264.403671; 264.046550; 263.743758; 263.184816; 263.050258; 262.712628; 262.250006; 261.774719; 261.638492; 261.670679; 261.610657; 261.556447; 261.560589; 261.130184; 260.768205; 260.948062; 261.156231; 261.395961; 261.867881; 262.169600; 262.346536; 262.632608; 262.795538; 262.753874; 262.773365; 262.880236; 263.036937; 263.245791; 263.505876; 263.697475; 263.724834; 263.770372; 263.666034; 263.620943; 263.687998; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
924.0; 11:54:49; (); (); (); (); (); (); (); (); (); (); (); (); 274.622381; 274.430871; 274.289519; 274.209172; 274.229676; 274.173886; 274.047017; 273.726583; 273.321152; 272.956252; 272.597522; 272.448897; 272.357166; 272.034854; 272.050589; 272.027522; 271.930903; 271.671534; 271.416426; 271.203250; 271.021247; 270.745546; 270.712703; 270.467728; 270.111531; 269.999325; 269.529551; 268.733323; 267.901033; 267.334670; 266.825140; 266.277969; 266.002029; 265.626520; 265.327632; 264.898390; 264.528811; 264.117569; 263.968229; 263.603419; 263.233781; 263.171971; 263.584018; 264.192373; 264.133275; 263.931781; 263.912886; 263.880491; 263.776839; 263.634712; 263.519853; 263.548166; 263.995379; 264.460862; 264.825344; 264.821172; 264.637887; 264.352947; 264.207602; 264.134705; 264.250219; 264.321685; 264.391989; 264.466912; 264.643908; 264.948100; 265.407294; 265.535504; 265.516222; 265.816301; 266.312689; 266.882956; 267.160654; 267.512292; 267.991900; 268.336892; 268.661559; 268.976748; 268.955708; 268.849880; 268.852085; 268.678755; 268.558979; 268.540829; 268.402994; 268.183857; 267.762572; 267.430097; 267.056197; 266.520888; 266.152114; 265.783936; 265.410393; 265.297234; 265.049279; 264.771402; 264.402837; 264.110237; 263.912618; 263.961554; 264.047205; 264.303505; 264.656067; 264.891833; 265.206993; 265.582174; 265.647709; 265.955806; 266.176790; 266.517043; 266.965538; 267.518491; 268.050969; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
927.3; 11:54:57; (); (); (); (); (); (); (); (); (); (); (); (); 274.688184; 274.363965; 274.081498; 273.768842; 273.539752; 273.145348; 272.879988; 272.711813; 272.519052; 272.146732; 271.463871; 270.532995; 269.857585; 269.363910; 269.326925; 269.339770; 269.146681; 269.088477; 268.916816; 268.708616; 268.321782; 268.004477; 267.886490; 267.500281; 267.098814; 266.756445; 266.695529; 266.586512; 266.262084; 265.840411; 265.423477; 265.168965; 265.019238; 265.087903; 265.170038; 265.499055; 265.525222; 265.358955; 265.397519; 265.496582; 265.829206; 265.983313; 266.251057; 266.765893; 267.388046; 267.892450; 268.028885; 268.013269; 267.973065; 268.012941; 268.050283; 268.252999; 268.165171; 268.048674; 268.090039; 268.040776; 268.096387; 267.656684; 267.203927; 267.068386; 267.038047; 266.971260; 266.917527; 266.852498; 266.598582; 266.580224; 266.467482; 266.622603; 266.734332; 266.479522; 266.282260; 266.072422; 266.129375; 265.990317; 265.632838; 265.488863; 265.513748; 265.344918; 265.173048; 265.295595; 265.118778; 265.232414; 265.579224; 265.649766; 266.068727; 266.335845; 266.616881; 267.244786; 267.920583; 268.458277; 268.542558; 268.612385; 268.851757; 269.037366; 269.028604; 269.071549; 268.774271; 268.288255; 268.113345; 267.876208; 268.032521; 267.877758; 267.389268; 267.008185; 266.765922; 266.791344; 266.792864; 266.708016; 266.594738; 266.546458; 266.605824; 266.745746; 267.236024; 267.575830; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
930.6; 11:55:05; (); (); (); (); (); (); (); (); (); (); (); (); 269.909710; 269.939095; 269.921750; 270.114183; 270.277858; 270.320505; 270.491719; 270.629168; 270.782471; 270.846665; 270.962298; 271.106213; 271.467716; 271.756262; 271.666676; 271.502703; 271.496147; 271.663874; 271.648079; 271.494091; 271.331668; 271.180600; 271.059364; 270.848066; 270.511091; 270.090312; 269.659311; 269.261092; 268.926233; 268.956393; 269.017786; 268.761009; 268.293530; 267.987520; 267.996281; 267.803729; 267.235249; 266.686946; 266.347468; 266.601115; 266.869396; 266.947627; 266.939223; 266.650587; 266.362429; 266.450614; 266.689718; 266.764820; 266.637653; 266.441256; 266.582698; 266.901314; 266.826063; 266.468942; 266.037166; 265.925735; 265.660435; 265.602499; 265.597701; 265.370667; 265.045822; 264.946789; 264.997274; 265.088916; 264.859974; 264.586478; 264.344066; 264.336646; 264.568567; 265.100062; 265.465766; 266.002446; 266.251355; 266.478866; 266.543388; 266.540080; 266.407907; 266.334295; 266.452700; 266.902328; 267.098695; 267.069131; 267.134160; 267.189950; 266.908944; 266.583562; 266.215771; 265.927106; 265.822291; 265.909761; 265.960693; 265.810430; 265.637755; 265.310049; 265.088439; 265.065432; 265.169621; 265.237391; 264.927804; 264.684498; 264.645875; 264.792383; 264.934212; 265.051275; 265.184760; 265.330076; 265.444964; 265.540332; 265.601575; 265.610069; 265.711129; 265.733600; 265.880227; 267.575830; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
933.8; 11:55:14; (); (); (); (); (); (); (); (); (); (); (); (); 267.180413; 267.264724; 267.249942; 267.571211; 267.812282; 267.853796; 267.829925; 267.831326; 267.671466; 267.621130; 267.544508; 267.335087; 267.273635; 267.337471; 267.149925; 266.980678; 267.014652; 267.165720; 267.137408; 267.017514; 266.964555; 267.036468; 267.119080; 267.335951; 267.521977; 267.694533; 268.089741; 268.656492; 268.898159; 269.073337; 268.955171; 268.968195; 268.900841; 268.934101; 269.546658; 269.929528; 270.071238; 270.098567; 269.827992; 269.546777; 269.659162; 269.507170; 269.228369; 269.191623; 269.399464; 269.587427; 269.056410; 268.617809; 267.928898; 267.015040; 266.403049; 265.838176; 265.317142; 264.847398; 264.502019; 263.960451; 263.697296; 263.439953; 263.220400; 263.146102; 263.343960; 263.753086; 264.089316; 264.422566; 264.787465; 265.410751; 265.902668; 266.395301; 267.296523; 268.003613; 268.288970; 268.466413; 268.719494; 268.907040; 268.921793; 268.716604; 268.575013; 268.459737; 268.184334; 267.793804; 267.236531; 266.838580; 266.432494; 266.004920; 265.629232; 265.551388; 265.295863; 265.200883; 265.122801; 264.807850; 264.977723; 265.059352; 265.355587; 265.618593; 265.887350; 266.057074; 265.996486; 265.907824; 266.027123; 266.261876; 266.199023; 266.016901; 265.814930; 265.602320; 265.663952; 265.293568; 265.071809; 264.899999; 264.672369; 264.447331; 264.474809; 264.574081; 264.360905; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
937.1; 11:55:22; (); (); (); (); (); (); (); (); (); (); (); (); 269.823551; 269.451290; 269.412786; 269.052327; 268.860757; 268.431783; 268.124431; 267.544925; 266.807139; 266.547084; 266.440928; 266.146421; 265.753984; 265.814662; 265.947312; 265.991241; 265.763879; 265.839785; 266.294479; 266.624093; 267.205209; 267.610788; 267.921627; 268.133998; 267.779797; 267.457187; 267.176598; 266.985208; 266.704857; 266.536325; 266.317904; 265.858442; 264.892638; 263.893485; 263.127536; 262.279183; 261.562973; 261.064529; 260.697991; 260.460347; 260.231078; 260.330021; 260.374784; 260.392189; 260.268331; 260.484964; 260.992169; 261.409461; 261.731476; 261.990577; 262.233078; 262.330443; 262.446970; 262.610167; 262.854576; 262.687683; 262.552589; 262.416780; 262.362003; 262.388617; 262.135148; 262.114465; 262.159020; 262.509823; 262.846768; 263.152421; 263.504863; 263.830513; 264.074236; 264.467746; 265.171885; 265.354186; 265.422732; 265.471071; 265.654176; 265.702546; 265.779912; 265.735686; 265.447050; 265.424103; 265.329510; 264.886886; 264.645159; 264.352053; 264.182448; 263.974398; 264.045745; 264.319152; 264.671117; 265.020669; 265.372902; 265.348405; 265.428334; 265.474290; 265.369803; 265.405416; 265.664667; 265.769839; 266.189605; 266.600043; 266.826659; 267.174095; 267.205566; 267.261207; 267.449915; 267.975926; 268.387109; 268.674642; 268.981963; 269.326746; 269.645572; 270.207077; 270.945132; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
940.3; 11:55:30; (); (); (); (); (); (); (); (); (); (); (); (); 269.315749; 269.337744; 269.537061; 270.087719; 270.402938; 270.586252; 270.648569; 270.730555; 270.582765; 270.390183; 270.234704; 270.197779; 270.189315; 269.938737; 269.887954; 269.860536; 269.751906; 269.528568; 269.031882; 268.578589; 268.096715; 267.630249; 267.348617; 267.392218; 267.270029; 267.368942; 267.251909; 267.123520; 266.963363; 266.846627; 266.584784; 266.187251; 265.951246; 265.715778; 265.673608; 265.951246; 266.047686; 265.979499; 265.879214; 265.490979; 265.020818; 264.865696; 264.929175; 264.925241; 264.758497; 264.865339; 264.969885; 265.051842; 264.706671; 264.301032; 263.839543; 263.441265; 263.168901; 263.181537; 263.456315; 263.743967; 264.000624; 264.078587; 264.213085; 264.273882; 264.512330; 264.961779; 265.373826; 266.286522; 266.934305; 267.329723; 267.722785; 267.987370; 268.204868; 268.364131; 268.287271; 268.180728; 268.071026; 268.323153; 268.540531; 268.508494; 268.412411; 268.103719; 267.710149; 267.334849; 267.153323; 267.107546; 266.880691; 266.690314; 266.548932; 266.726553; 266.813993; 267.008245; 266.701877; 266.095698; 265.563667; 265.059531; 264.654219; 264.126837; 263.919115; 263.893187; 263.913840; 263.723373; 263.619900; 263.728887; 263.723046; 263.906389; 263.845563; 264.033139; 264.277220; 264.609516; 265.113205; 265.517920; 266.086757; 266.413748; 266.640902; 266.765177; 267.175794; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
