Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-04-17; 13:29:55
File Name; D:\Mahlo\TR\180417132955FP 4576_257 GSM0_XMF2.txt

3157.0; 13:30:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 5.273600; 5.273600; 5.008755; 4.652313; 4.396626; 4.182867; 3.975340; 3.799437; 3.603321; 3.406658; 3.177182; 2.914925; 2.685335; 2.422848; 2.193217; 1.963684; 1.717843; 1.668498; 1.668334; 1.668142; 1.668160; 1.668441; 1.668835; 1.669367; 1.670066; 1.670885; 1.671738; 1.672805; 1.673892; 1.674809; 1.675885; 1.677223; 1.678665; 1.680212; 1.682108; 1.684442; 1.686455; 1.688398; 1.690597; 1.692662; 1.694898; 1.697747; 1.700728; 1.703743; 1.705981; 1.708100; 1.710642; 1.712860; 1.714475; 1.715739; 1.716784; 1.717672; 1.718784; 1.720133; 1.721160; 1.721948; 1.722367; 1.722590; 1.722671; 1.722723; 1.722779; 1.722786; 1.722724; 1.722648; 1.722591; 1.722735; 1.722812; 1.722725; 1.722532; 1.722335; 1.722187; 1.722346; 1.722818; 1.723431; 1.724070; 1.724727; 1.725799; 1.727439; 1.729341; 1.731272; 1.732811; 1.734223; 1.735432; 1.736433; 1.737469; 1.738405; 1.739112; 1.739478; 1.740014; 1.740525; 1.740891; 1.740996; 1.740794; 1.740258; 1.739662; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3161.2; 13:30:15; (); (); (); (); (); (); (); (); (); (); 1.664412; 1.664900; 1.665219; 1.665541; 1.665900; 1.666285; 1.666763; 1.667562; 1.668748; 1.670077; 1.671438; 1.672239; 1.673082; 1.674104; 1.675114; 1.676196; 1.677562; 1.678689; 1.679630; 1.680657; 1.681685; 1.682742; 1.683532; 1.684115; 1.684772; 1.685438; 1.686180; 1.687128; 1.687980; 1.688897; 1.689946; 1.690888; 1.691970; 1.693196; 1.694438; 1.695681; 1.696774; 1.697928; 1.699387; 1.700867; 1.702093; 1.703048; 1.703796; 1.704377; 1.704667; 1.704865; 1.704919; 1.704719; 1.704449; 1.704279; 1.704267; 1.704280; 1.704258; 1.704137; 1.703829; 1.703634; 1.703453; 1.703420; 1.703785; 1.704254; 1.704689; 1.705180; 1.705708; 1.705966; 1.706002; 1.706041; 1.706235; 1.706574; 1.707117; 1.707792; 1.708331; 1.708896; 1.709342; 1.709440; 1.709281; 1.709002; 1.708684; 1.708326; 1.708118; 1.707968; 1.707541; 1.706810; 1.705706; 1.703950; 1.701997; 1.700166; 1.698065; 1.695818; 1.693607; 1.692536; 1.693761; 1.695115; 1.696386; 1.697660; 1.699204; 1.700739; 1.702470; 1.704458; 1.705685; 1.707135; 1.709317; 1.711885; 1.715253; 1.720156; 1.722276; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3164.5; 13:30:24; (); (); (); (); (); (); (); (); (); (); 1.645349; 1.647143; 1.651363; 1.654483; 1.657201; 1.659997; 1.662176; 1.664202; 1.666936; 1.669876; 1.673238; 1.676264; 1.679348; 1.682819; 1.685805; 1.688775; 1.690960; 1.691151; 1.691183; 1.691103; 1.690894; 1.690617; 1.690242; 1.689876; 1.689567; 1.689314; 1.688971; 1.688616; 1.688510; 1.688531; 1.688742; 1.689419; 1.690605; 1.691949; 1.694374; 1.699187; 1.703040; 1.706487; 1.711374; 1.715816; 1.720167; 1.725088; 1.729331; 1.733375; 1.737904; 1.742102; 1.745656; 1.747977; 1.750182; 1.751114; 1.750622; 1.749763; 1.748712; 1.747173; 1.745268; 1.743112; 1.740450; 1.738015; 1.735572; 1.732798; 1.730169; 1.728171; 1.726516; 1.725123; 1.724027; 1.723216; 1.722656; 1.722243; 1.721973; 1.721841; 1.722024; 1.722563; 1.723389; 1.724342; 1.725266; 1.725882; 1.726159; 1.726236; 1.726173; 1.726045; 1.725979; 1.725866; 1.725837; 1.725986; 1.726463; 1.726945; 1.727280; 1.727442; 1.727568; 1.727848; 1.728416; 1.729332; 1.730167; 1.730918; 1.731860; 1.732687; 1.733474; 1.734277; 1.734998; 1.735471; 1.735859; 1.736265; 1.736551; 1.736745; 1.736956; 1.737020; 1.736910; 1.736826; 1.736786; 1.736801; 1.736749; 1.736697; 1.736615; 1.736377; 1.735925; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3167.8; 13:30:32; (); (); (); (); (); (); (); (); (); (); 1.721798; 1.722354; 1.722556; 1.722530; 1.722446; 1.722415; 1.722488; 1.722868; 1.723414; 1.723874; 1.724124; 1.724201; 1.724330; 1.724581; 1.724808; 1.725022; 1.725384; 1.725874; 1.726317; 1.726692; 1.726890; 1.726965; 1.726800; 1.726295; 1.725625; 1.725184; 1.724736; 1.724092; 1.723546; 1.722969; 1.722134; 1.721121; 1.720187; 1.719516; 1.718996; 1.718613; 1.718303; 1.718150; 1.718267; 1.718549; 1.718859; 1.719277; 1.719900; 1.720399; 1.720945; 1.721669; 1.722381; 1.723185; 1.723741; 1.724240; 1.724920; 1.725702; 1.726588; 1.727492; 1.728207; 1.728867; 1.729389; 1.729548; 1.729538; 1.729355; 1.729112; 1.728972; 1.728715; 1.728457; 1.728199; 1.727933; 1.727580; 1.727098; 1.726668; 1.726132; 1.725399; 1.724761; 1.724238; 1.724017; 1.724126; 1.724415; 1.724604; 1.724866; 1.725180; 1.725487; 1.725598; 1.725449; 1.725283; 1.725018; 1.724836; 1.724959; 1.725193; 1.725450; 1.725430; 1.724956; 1.724174; 1.723300; 1.722394; 1.721244; 1.720275; 1.719453; 1.718854; 1.718273; 1.717436; 1.716820; 1.716340; 1.715874; 1.715431; 1.715072; 1.715004; 1.715132; 1.715358; 1.715603; 1.715795; 1.715956; 1.716062; 1.716159; 1.716433; 1.717031; 1.717408; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3171.1; 13:30:41; (); (); (); (); (); (); (); (); (); (); 1.713857; 1.710105; 1.705761; 1.702340; 1.699055; 1.696700; 1.694764; 1.692661; 1.690064; 1.687527; 1.684945; 1.682744; 1.681158; 1.679805; 1.678571; 1.677750; 1.679420; 1.682049; 1.684674; 1.687878; 1.691126; 1.694052; 1.697050; 1.700495; 1.703476; 1.706228; 1.709081; 1.711219; 1.713200; 1.715191; 1.716717; 1.718043; 1.719237; 1.720462; 1.721852; 1.723091; 1.724178; 1.725172; 1.725872; 1.726471; 1.727132; 1.727592; 1.727997; 1.728258; 1.728417; 1.728537; 1.728760; 1.729062; 1.729274; 1.729367; 1.729481; 1.729723; 1.730138; 1.730786; 1.731485; 1.732163; 1.733137; 1.734654; 1.736272; 1.738148; 1.740165; 1.742231; 1.744588; 1.747056; 1.749239; 1.751267; 1.753118; 1.754829; 1.756614; 1.758228; 1.759451; 1.760392; 1.761143; 1.761434; 1.761340; 1.760978; 1.760505; 1.759847; 1.758748; 1.757363; 1.755995; 1.754821; 1.753292; 1.751843; 1.750667; 1.749587; 1.748591; 1.747501; 1.746654; 1.745846; 1.744789; 1.743616; 1.742647; 1.741834; 1.741116; 1.740743; 1.740484; 1.740162; 1.739780; 1.739281; 1.738712; 1.737971; 1.736886; 1.735796; 1.734704; 1.733566; 1.732567; 1.731600; 1.730942; 1.730601; 1.730019; 1.729348; 1.728550; 1.727436; 1.726084; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3174.4; 13:30:49; (); (); (); (); (); (); (); (); (); 1.675076; 1.676418; 1.678297; 1.679871; 1.681418; 1.682754; 1.684063; 1.685758; 1.688167; 1.690601; 1.692961; 1.695747; 1.698500; 1.700484; 1.702693; 1.705210; 1.707414; 1.709483; 1.711620; 1.713752; 1.715625; 1.717482; 1.719366; 1.721208; 1.723392; 1.725837; 1.728390; 1.730662; 1.732872; 1.734659; 1.736335; 1.738747; 1.740910; 1.742873; 1.744905; 1.746590; 1.747765; 1.748506; 1.749017; 1.749222; 1.749038; 1.748300; 1.747180; 1.745715; 1.743783; 1.742100; 1.740679; 1.738958; 1.736920; 1.734896; 1.733147; 1.731563; 1.729994; 1.728773; 1.728002; 1.727278; 1.726512; 1.726034; 1.726232; 1.726892; 1.727724; 1.728478; 1.729191; 1.729861; 1.730639; 1.731806; 1.732899; 1.734084; 1.735531; 1.737122; 1.738646; 1.740275; 1.741839; 1.743063; 1.744002; 1.744680; 1.745133; 1.745375; 1.745471; 1.745298; 1.744908; 1.744419; 1.743559; 1.742212; 1.740705; 1.738961; 1.737053; 1.735074; 1.732490; 1.730253; 1.728373; 1.726362; 1.724603; 1.723180; 1.721728; 1.720122; 1.718912; 1.718110; 1.717349; 1.716812; 1.716253; 1.715492; 1.714798; 1.714316; 1.713977; 1.713644; 1.713289; 1.712883; 1.712582; 1.712479; 1.712414; 1.712292; 1.712021; 1.711536; 1.710950; 1.710755; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3177.7; 13:30:57; (); (); (); (); (); (); (); (); (); 1.652488; 1.652984; 1.655228; 1.656949; 1.658449; 1.659968; 1.661477; 1.662835; 1.664682; 1.666821; 1.669158; 1.672159; 1.675141; 1.678470; 1.681983; 1.685708; 1.689961; 1.692875; 1.695967; 1.699763; 1.703275; 1.706784; 1.710689; 1.714609; 1.718723; 1.722398; 1.725989; 1.729724; 1.732625; 1.735383; 1.737856; 1.740011; 1.742378; 1.744295; 1.746006; 1.747811; 1.749342; 1.750680; 1.751968; 1.752686; 1.752992; 1.753100; 1.753193; 1.753263; 1.753196; 1.753162; 1.753146; 1.752750; 1.751968; 1.750821; 1.749161; 1.747079; 1.745172; 1.743267; 1.741198; 1.739452; 1.737640; 1.735420; 1.733489; 1.731687; 1.729919; 1.728222; 1.726524; 1.725358; 1.724522; 1.723865; 1.723676; 1.723724; 1.723719; 1.723611; 1.723403; 1.723037; 1.722567; 1.722032; 1.721333; 1.720537; 1.719955; 1.719487; 1.718949; 1.718388; 1.717627; 1.716455; 1.715438; 1.714836; 1.714574; 1.714645; 1.714923; 1.715619; 1.716827; 1.718218; 1.719650; 1.721026; 1.722260; 1.723392; 1.724691; 1.726451; 1.728138; 1.729508; 1.730762; 1.731881; 1.732894; 1.733732; 1.734295; 1.734483; 1.734292; 1.733761; 1.733001; 1.732287; 1.731395; 1.730770; 1.730393; 1.729907; 1.729246; 1.728566; 1.727636; 1.726507; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3181.0; 13:31:06; (); (); (); (); (); (); (); (); (); 1.652488; 1.687985; 1.690540; 1.692592; 1.694108; 1.695254; 1.696442; 1.698036; 1.700779; 1.703962; 1.707553; 1.710838; 1.713398; 1.715463; 1.717286; 1.718715; 1.720156; 1.721403; 1.722520; 1.723395; 1.724045; 1.724962; 1.725461; 1.725409; 1.724958; 1.724156; 1.723215; 1.722374; 1.721906; 1.721676; 1.721375; 1.720880; 1.720290; 1.719475; 1.718764; 1.717994; 1.716911; 1.716040; 1.715440; 1.714980; 1.714635; 1.714167; 1.713472; 1.712588; 1.711596; 1.710636; 1.710114; 1.709839; 1.709875; 1.710067; 1.710302; 1.710895; 1.711472; 1.711862; 1.712203; 1.712692; 1.713327; 1.713913; 1.714812; 1.715648; 1.716283; 1.716802; 1.717131; 1.717185; 1.716988; 1.716650; 1.716097; 1.715726; 1.715693; 1.715798; 1.715984; 1.716235; 1.716493; 1.716931; 1.717590; 1.718174; 1.718963; 1.720105; 1.721154; 1.722681; 1.724950; 1.726751; 1.728159; 1.729435; 1.730329; 1.730968; 1.731308; 1.731384; 1.731113; 1.730484; 1.729766; 1.728681; 1.726947; 1.725191; 1.723202; 1.720610; 1.717859; 1.715841; 1.713328; 1.710106; 1.707826; 1.706137; 1.704633; 1.703124; 1.701986; 1.700980; 1.700096; 1.699552; 1.699089; 1.698612; 1.698324; 1.698136; 1.698066; 1.698462; 1.699083; 1.699147; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3184.3; 13:31:14; (); (); (); (); (); (); (); (); (); 1.658057; 1.658374; 1.661601; 1.665100; 1.668121; 1.670603; 1.672918; 1.674912; 1.676917; 1.679766; 1.682748; 1.686400; 1.690155; 1.693551; 1.697037; 1.700530; 1.704249; 1.705603; 1.706392; 1.707250; 1.708137; 1.709236; 1.710485; 1.711373; 1.712235; 1.713010; 1.713704; 1.714299; 1.714574; 1.714749; 1.715089; 1.715871; 1.716843; 1.717894; 1.719082; 1.720076; 1.721049; 1.722204; 1.723217; 1.724096; 1.724903; 1.725634; 1.726567; 1.727896; 1.729301; 1.730659; 1.731914; 1.732960; 1.733833; 1.734821; 1.735942; 1.736756; 1.737547; 1.738517; 1.739669; 1.741120; 1.742477; 1.743750; 1.744943; 1.745699; 1.746188; 1.746533; 1.746517; 1.746342; 1.745975; 1.745411; 1.744901; 1.744420; 1.743780; 1.742753; 1.741449; 1.739689; 1.737562; 1.735222; 1.732649; 1.730278; 1.728321; 1.726552; 1.724842; 1.722837; 1.720722; 1.719006; 1.717010; 1.714903; 1.713383; 1.712326; 1.711792; 1.711896; 1.712434; 1.713085; 1.713698; 1.714429; 1.715373; 1.716507; 1.718191; 1.720344; 1.722625; 1.725025; 1.727355; 1.729846; 1.732248; 1.734230; 1.736031; 1.737885; 1.739335; 1.740736; 1.742206; 1.743170; 1.743851; 1.744511; 1.744978; 1.745249; 1.745381; 1.745436; 1.745388; 1.745124; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3187.6; 13:31:23; (); (); (); (); (); (); (); (); (); 1.658057; 1.718746; 1.720440; 1.721478; 1.722614; 1.723642; 1.724332; 1.724906; 1.726530; 1.727809; 1.728762; 1.729742; 1.730455; 1.730932; 1.731086; 1.731108; 1.731181; 1.731351; 1.731449; 1.731445; 1.731351; 1.731279; 1.731496; 1.731762; 1.732082; 1.732605; 1.733458; 1.734405; 1.735543; 1.737018; 1.738327; 1.739471; 1.740350; 1.741256; 1.742151; 1.743049; 1.744057; 1.744940; 1.746017; 1.747279; 1.748352; 1.749074; 1.749569; 1.749879; 1.750198; 1.750417; 1.750646; 1.751089; 1.751619; 1.751943; 1.752036; 1.751901; 1.751595; 1.750940; 1.749816; 1.748332; 1.746982; 1.745528; 1.743694; 1.741464; 1.738754; 1.736321; 1.733810; 1.730896; 1.728159; 1.725982; 1.724035; 1.722165; 1.721029; 1.720404; 1.720135; 1.720215; 1.720662; 1.721488; 1.722976; 1.725071; 1.727330; 1.729481; 1.731761; 1.734347; 1.736818; 1.738765; 1.740411; 1.741533; 1.742067; 1.742228; 1.741939; 1.741220; 1.740127; 1.738498; 1.736329; 1.734181; 1.731707; 1.729081; 1.726451; 1.723446; 1.720860; 1.718275; 1.715507; 1.713011; 1.712062; 1.711675; 1.711464; 1.711507; 1.711793; 1.712298; 1.712931; 1.713776; 1.714625; 1.715192; 1.715839; 1.716699; 1.718107; 1.719739; 1.721830; 1.722397; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3190.9; 13:31:31; (); (); (); (); (); (); (); (); (); 1.676437; 1.676398; 1.676074; 1.676055; 1.676179; 1.676394; 1.676819; 1.677451; 1.678225; 1.678956; 1.679810; 1.681024; 1.682308; 1.683745; 1.685622; 1.687422; 1.689311; 1.691741; 1.694134; 1.696224; 1.697901; 1.699692; 1.701641; 1.703591; 1.705603; 1.707827; 1.710464; 1.712752; 1.715047; 1.717389; 1.719221; 1.720957; 1.722775; 1.724400; 1.725705; 1.727053; 1.728254; 1.729216; 1.730058; 1.730656; 1.730889; 1.730574; 1.729863; 1.728832; 1.728088; 1.727409; 1.726829; 1.726490; 1.726171; 1.725866; 1.725642; 1.725862; 1.726427; 1.726863; 1.727170; 1.727729; 1.728900; 1.730442; 1.731852; 1.733087; 1.734443; 1.735752; 1.736831; 1.738020; 1.739601; 1.740983; 1.742079; 1.743195; 1.744080; 1.744805; 1.745256; 1.745218; 1.745032; 1.744852; 1.744727; 1.744631; 1.744521; 1.744371; 1.743972; 1.743132; 1.741734; 1.740272; 1.738960; 1.737610; 1.736338; 1.735394; 1.734616; 1.733847; 1.732946; 1.731873; 1.730878; 1.730010; 1.729070; 1.728274; 1.727877; 1.728106; 1.728731; 1.729543; 1.730176; 1.730681; 1.731065; 1.731370; 1.731553; 1.731719; 1.731874; 1.731962; 1.731965; 1.731795; 1.731448; 1.731051; 1.730804; 1.730328; 1.729650; 1.728837; 1.727900; 1.727020; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
