Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-04-17; 13:29:55
File Name; D:\Mahlo\TR\180417132955FP 4576_257 GSM0_THICKNESS2.txt

3157.0; 13:30:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.651181; 0.650352; 0.649343; 0.647896; 0.645432; 0.644820; 0.644111; 0.644289; 0.644750; 0.644506; 0.643294; 0.640088; 0.637346; 0.635002; 0.633351; 0.631693; 0.630308; 0.630701; 0.632075; 0.633308; 0.632690; 0.631366; 0.628968; 0.626071; 0.624072; 0.623021; 0.624498; 0.625522; 0.626238; 0.627021; 0.626044; 0.625017; 0.621847; 0.618217; 0.615684; 0.612514; 0.610824; 0.609985; 0.609630; 0.609651; 0.609584; 0.607729; 0.605797; 0.605453; 0.605551; 0.605576; 0.607311; 0.610690; 0.614246; 0.617883; 0.622250; 0.625545; 0.627975; 0.629366; 0.629305; 0.631988; 0.635020; 0.638765; 0.641293; 0.642157; 0.641128; 0.639200; 0.637553; 0.636019; 0.634075; 0.632257; 0.631966; 0.632464; 0.633131; 0.634012; 0.632493; 0.630099; 0.626839; 0.625462; 0.626363; 0.627605; 0.628033; 0.628808; 0.629554; 0.630731; 0.633250; 0.634543; 0.635983; 0.637582; 0.637973; 0.636635; 0.637305; 0.639428; 0.640988; 0.641589; 0.642882; 0.644386; 0.645185; 0.645856; 0.646472; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3161.2; 13:30:15; (); (); (); (); (); (); (); (); (); (); 0.636631; 0.637140; 0.637641; 0.637596; 0.637086; 0.636034; 0.634372; 0.633344; 0.632223; 0.628716; 0.627071; 0.626695; 0.625804; 0.625855; 0.625411; 0.624812; 0.624048; 0.623212; 0.622405; 0.621702; 0.621372; 0.621298; 0.621678; 0.620144; 0.620235; 0.621128; 0.621908; 0.621746; 0.622976; 0.623964; 0.623950; 0.623524; 0.624448; 0.624190; 0.624519; 0.625407; 0.624712; 0.624004; 0.624258; 0.626009; 0.625320; 0.623726; 0.623262; 0.620500; 0.618309; 0.617721; 0.617899; 0.616200; 0.617005; 0.616478; 0.616276; 0.617855; 0.616852; 0.616253; 0.615995; 0.616665; 0.617392; 0.618684; 0.621954; 0.624748; 0.625859; 0.626249; 0.629386; 0.630661; 0.631965; 0.632750; 0.633001; 0.634387; 0.636126; 0.636291; 0.637913; 0.639266; 0.638489; 0.635659; 0.634093; 0.634515; 0.634750; 0.634667; 0.633485; 0.631572; 0.630950; 0.632072; 0.633050; 0.634263; 0.634983; 0.633850; 0.633440; 0.634397; 0.636069; 0.635973; 0.636686; 0.636823; 0.636506; 0.638119; 0.641715; 0.643120; 0.644456; 0.646715; 0.646727; 0.647464; 0.649415; 0.650208; 0.650778; 0.652246; 0.655357; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3164.5; 13:30:24; (); (); (); (); (); (); (); (); (); (); 0.631657; 0.634889; 0.637552; 0.637257; 0.635175; 0.632155; 0.629427; 0.627983; 0.628389; 0.629009; 0.630266; 0.629746; 0.628391; 0.627610; 0.626976; 0.625023; 0.622355; 0.620248; 0.619251; 0.619809; 0.621808; 0.624244; 0.625647; 0.624955; 0.623639; 0.622955; 0.622125; 0.620619; 0.620810; 0.622249; 0.623745; 0.624477; 0.623798; 0.623617; 0.624077; 0.623463; 0.621836; 0.621519; 0.622670; 0.624370; 0.625519; 0.626771; 0.627090; 0.626441; 0.624486; 0.622726; 0.622590; 0.623771; 0.624554; 0.624839; 0.625602; 0.627926; 0.627727; 0.626603; 0.625323; 0.624402; 0.624993; 0.626298; 0.627945; 0.630364; 0.632762; 0.633470; 0.634609; 0.635781; 0.635905; 0.634766; 0.634706; 0.635963; 0.637235; 0.638096; 0.638838; 0.637896; 0.637616; 0.637372; 0.637307; 0.637799; 0.636964; 0.636031; 0.635504; 0.636083; 0.637686; 0.637782; 0.638202; 0.639700; 0.641716; 0.641733; 0.640933; 0.640415; 0.640841; 0.640460; 0.639286; 0.639971; 0.639473; 0.639576; 0.639864; 0.640100; 0.639888; 0.639223; 0.639377; 0.640478; 0.641697; 0.642454; 0.643296; 0.644131; 0.644723; 0.645851; 0.647872; 0.647900; 0.647089; 0.647272; 0.647480; 0.648395; 0.649824; 0.648476; 0.647042; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3167.8; 13:30:32; (); (); (); (); (); (); (); (); (); (); 0.636588; 0.638263; 0.638547; 0.638045; 0.637268; 0.635485; 0.635787; 0.636012; 0.635672; 0.635674; 0.635688; 0.633798; 0.631478; 0.630358; 0.630100; 0.628073; 0.625330; 0.623256; 0.622425; 0.622437; 0.622462; 0.619631; 0.615843; 0.612893; 0.613708; 0.614311; 0.613766; 0.612530; 0.611514; 0.611576; 0.613247; 0.615993; 0.617024; 0.616505; 0.616360; 0.618378; 0.620799; 0.624204; 0.626144; 0.623454; 0.622237; 0.623315; 0.625687; 0.627289; 0.626079; 0.624407; 0.621113; 0.620406; 0.621357; 0.621670; 0.621678; 0.623433; 0.622602; 0.622150; 0.624498; 0.625360; 0.624456; 0.623638; 0.623683; 0.626381; 0.629618; 0.634043; 0.637544; 0.639693; 0.640796; 0.640806; 0.638071; 0.637191; 0.637898; 0.639139; 0.639292; 0.641152; 0.642466; 0.642462; 0.641297; 0.640026; 0.638385; 0.636793; 0.636036; 0.636642; 0.637475; 0.639042; 0.640010; 0.639735; 0.640303; 0.642907; 0.642692; 0.643270; 0.644899; 0.645186; 0.643705; 0.643573; 0.644150; 0.643449; 0.642091; 0.642885; 0.644379; 0.646988; 0.649730; 0.650333; 0.649019; 0.649237; 0.649394; 0.649837; 0.652215; 0.656015; 0.657395; 0.658970; 0.660856; 0.662257; 0.662231; 0.661967; 0.661096; 0.659455; 0.659129; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3171.1; 13:30:41; (); (); (); (); (); (); (); (); (); (); 0.658214; 0.654410; 0.654655; 0.654682; 0.652958; 0.651611; 0.649777; 0.647743; 0.646227; 0.644616; 0.642349; 0.638478; 0.634293; 0.630841; 0.628882; 0.629270; 0.629910; 0.628248; 0.626686; 0.625965; 0.623834; 0.623577; 0.623689; 0.623516; 0.622854; 0.621515; 0.619078; 0.618084; 0.618118; 0.618924; 0.619215; 0.618053; 0.617828; 0.617896; 0.617767; 0.618122; 0.618939; 0.619320; 0.619495; 0.619751; 0.620331; 0.622886; 0.626405; 0.627671; 0.626752; 0.625671; 0.623828; 0.622505; 0.621811; 0.622065; 0.624634; 0.624876; 0.625496; 0.625177; 0.625356; 0.626922; 0.626826; 0.626709; 0.627331; 0.628493; 0.629623; 0.632796; 0.634968; 0.637099; 0.638328; 0.637005; 0.637570; 0.637726; 0.638354; 0.638772; 0.638183; 0.637571; 0.637008; 0.637193; 0.637510; 0.637504; 0.638333; 0.638637; 0.638255; 0.638451; 0.639051; 0.638596; 0.639075; 0.640467; 0.641313; 0.641307; 0.642740; 0.642423; 0.641525; 0.641529; 0.643590; 0.644619; 0.644830; 0.644846; 0.646055; 0.648418; 0.647502; 0.646459; 0.645642; 0.646122; 0.647578; 0.646592; 0.647528; 0.648377; 0.647863; 0.647067; 0.646395; 0.647412; 0.648056; 0.646794; 0.644955; 0.646539; 0.647802; 0.648613; 0.647332; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3174.4; 13:30:49; (); (); (); (); (); (); (); (); (); 0.648679; 0.648007; 0.647488; 0.647046; 0.645726; 0.644357; 0.644344; 0.644701; 0.644459; 0.644153; 0.643003; 0.640538; 0.637681; 0.636365; 0.637089; 0.636427; 0.636661; 0.635961; 0.634654; 0.632969; 0.632508; 0.629796; 0.627285; 0.625473; 0.623267; 0.624031; 0.624635; 0.624349; 0.623420; 0.622308; 0.622865; 0.622296; 0.620332; 0.619081; 0.619742; 0.621665; 0.623391; 0.623753; 0.623613; 0.623307; 0.620380; 0.618975; 0.619371; 0.619045; 0.615850; 0.611606; 0.608589; 0.607236; 0.607274; 0.607814; 0.605888; 0.605655; 0.606018; 0.606525; 0.607364; 0.608419; 0.609512; 0.610636; 0.613160; 0.616484; 0.622257; 0.626733; 0.629868; 0.631324; 0.631510; 0.633925; 0.634336; 0.635267; 0.637829; 0.641470; 0.644362; 0.646288; 0.646707; 0.645973; 0.643994; 0.642274; 0.642396; 0.642730; 0.644472; 0.646310; 0.645869; 0.646026; 0.645107; 0.643476; 0.642640; 0.643257; 0.643828; 0.644158; 0.644664; 0.645735; 0.645574; 0.646307; 0.646646; 0.645304; 0.643836; 0.643243; 0.643096; 0.644147; 0.644204; 0.642721; 0.640885; 0.639522; 0.638838; 0.639711; 0.640732; 0.641306; 0.640328; 0.639443; 0.638845; 0.639018; 0.639373; 0.640150; 0.639926; 0.639800; 0.639876; 0.640072; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3177.7; 13:30:57; (); (); (); (); (); (); (); (); (); 0.641211; 0.643156; 0.645740; 0.647499; 0.647294; 0.645323; 0.643928; 0.642128; 0.640960; 0.641761; 0.641162; 0.640322; 0.639546; 0.638286; 0.636062; 0.633755; 0.630675; 0.628014; 0.625806; 0.625502; 0.625977; 0.625440; 0.624201; 0.623886; 0.622972; 0.621937; 0.620192; 0.619359; 0.619654; 0.620344; 0.621097; 0.621561; 0.621222; 0.619530; 0.616181; 0.614795; 0.616113; 0.618856; 0.621830; 0.624425; 0.627222; 0.628596; 0.628755; 0.628805; 0.628623; 0.628052; 0.628622; 0.630295; 0.632690; 0.635112; 0.635846; 0.635359; 0.634752; 0.634299; 0.633345; 0.632453; 0.635115; 0.638531; 0.640519; 0.642015; 0.644111; 0.645346; 0.645199; 0.644446; 0.644824; 0.645165; 0.646154; 0.647747; 0.649106; 0.650536; 0.649819; 0.646957; 0.643571; 0.641269; 0.640861; 0.642511; 0.644361; 0.646876; 0.649605; 0.651073; 0.651621; 0.650938; 0.649628; 0.648380; 0.647275; 0.648401; 0.649374; 0.649657; 0.649290; 0.649107; 0.648174; 0.645948; 0.644726; 0.643425; 0.641920; 0.641781; 0.641889; 0.642212; 0.643020; 0.644600; 0.644963; 0.646437; 0.648208; 0.650021; 0.650670; 0.649245; 0.649556; 0.648888; 0.648448; 0.650536; 0.651833; 0.652711; 0.653488; 0.653571; 0.653134; 0.652677; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3181.0; 13:31:06; (); (); (); (); (); (); (); (); (); 0.641211; 0.634299; 0.635735; 0.637820; 0.637393; 0.636038; 0.634605; 0.634070; 0.632570; 0.631477; 0.631753; 0.631905; 0.630861; 0.630416; 0.629875; 0.629433; 0.630046; 0.629798; 0.629040; 0.631130; 0.634298; 0.633505; 0.630620; 0.629717; 0.627282; 0.623384; 0.620754; 0.622425; 0.622437; 0.621062; 0.618491; 0.616889; 0.615135; 0.613896; 0.612098; 0.610588; 0.612865; 0.614753; 0.616419; 0.618319; 0.620314; 0.622852; 0.622724; 0.623489; 0.624872; 0.627001; 0.627787; 0.629143; 0.628640; 0.626585; 0.624262; 0.622982; 0.624459; 0.626848; 0.630363; 0.633543; 0.635256; 0.634729; 0.634033; 0.635453; 0.637840; 0.638777; 0.639509; 0.641458; 0.644224; 0.646448; 0.647229; 0.646635; 0.646753; 0.647303; 0.647785; 0.647803; 0.647943; 0.648913; 0.648332; 0.647672; 0.648694; 0.647805; 0.646923; 0.646602; 0.647727; 0.650176; 0.649460; 0.645184; 0.641434; 0.638634; 0.637902; 0.638306; 0.637759; 0.636822; 0.635534; 0.634164; 0.634725; 0.635231; 0.635121; 0.633324; 0.630817; 0.631594; 0.633487; 0.636164; 0.638473; 0.639565; 0.641371; 0.644686; 0.647742; 0.649799; 0.650305; 0.650128; 0.650309; 0.651436; 0.653104; 0.654953; 0.656323; 0.657252; 0.659317; 0.660172; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3184.3; 13:31:14; (); (); (); (); (); (); (); (); (); 0.639809; 0.639516; 0.639584; 0.638294; 0.638061; 0.638300; 0.637371; 0.634892; 0.633952; 0.632962; 0.631957; 0.631918; 0.631408; 0.631443; 0.632070; 0.632865; 0.632803; 0.631718; 0.632204; 0.631810; 0.631992; 0.633626; 0.635275; 0.634963; 0.633234; 0.630722; 0.627441; 0.625564; 0.625716; 0.625512; 0.623940; 0.623863; 0.625823; 0.626842; 0.626670; 0.624476; 0.621788; 0.622448; 0.624154; 0.626862; 0.629559; 0.630728; 0.631752; 0.629786; 0.627321; 0.625258; 0.623647; 0.621618; 0.620457; 0.621441; 0.624526; 0.626851; 0.626329; 0.625701; 0.623525; 0.620529; 0.619994; 0.620869; 0.623431; 0.628317; 0.634223; 0.638927; 0.644173; 0.646737; 0.647427; 0.647265; 0.646412; 0.645452; 0.644858; 0.647682; 0.650257; 0.650401; 0.650081; 0.649383; 0.648017; 0.645977; 0.643667; 0.641218; 0.638810; 0.636123; 0.634356; 0.634590; 0.636180; 0.637102; 0.637013; 0.637084; 0.639086; 0.639631; 0.639385; 0.638366; 0.638020; 0.637712; 0.637826; 0.638782; 0.639874; 0.639608; 0.638792; 0.638372; 0.638808; 0.638273; 0.638728; 0.639590; 0.641384; 0.643717; 0.643659; 0.642424; 0.641751; 0.640107; 0.638788; 0.639274; 0.640658; 0.641693; 0.642406; 0.642684; 0.643408; 0.641002; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3187.6; 13:31:23; (); (); (); (); (); (); (); (); (); 0.639809; 0.633412; 0.631957; 0.632637; 0.633391; 0.632923; 0.631758; 0.630777; 0.631267; 0.628892; 0.626813; 0.625089; 0.623430; 0.622477; 0.621983; 0.621407; 0.621657; 0.622303; 0.621940; 0.620499; 0.621675; 0.623005; 0.622537; 0.623866; 0.626506; 0.628546; 0.629854; 0.630661; 0.630678; 0.630290; 0.631060; 0.632361; 0.632904; 0.631769; 0.631639; 0.630879; 0.631296; 0.632293; 0.633276; 0.633210; 0.632948; 0.633201; 0.633349; 0.632198; 0.630302; 0.629548; 0.629330; 0.629395; 0.630956; 0.632350; 0.631035; 0.630270; 0.630702; 0.629641; 0.630056; 0.631313; 0.633249; 0.635917; 0.638771; 0.640989; 0.640765; 0.639409; 0.637876; 0.635399; 0.634614; 0.636658; 0.637557; 0.637465; 0.637891; 0.636850; 0.635019; 0.632365; 0.629554; 0.628304; 0.629170; 0.631244; 0.632335; 0.633093; 0.636897; 0.638593; 0.636888; 0.636591; 0.636249; 0.634603; 0.634757; 0.636461; 0.638323; 0.639312; 0.639069; 0.639153; 0.637891; 0.640204; 0.642143; 0.640690; 0.640630; 0.642416; 0.643261; 0.644226; 0.645168; 0.644115; 0.643348; 0.641590; 0.639505; 0.640006; 0.641001; 0.641539; 0.641756; 0.642182; 0.642939; 0.642398; 0.641807; 0.641675; 0.642107; 0.643743; 0.646433; 0.647617; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3190.9; 13:31:31; (); (); (); (); (); (); (); (); (); 0.654067; 0.655463; 0.656157; 0.654915; 0.653437; 0.653060; 0.652990; 0.652785; 0.650838; 0.649666; 0.646890; 0.643551; 0.640700; 0.638610; 0.636827; 0.636550; 0.634219; 0.631246; 0.629013; 0.627117; 0.626100; 0.625233; 0.623817; 0.622713; 0.622537; 0.623569; 0.624379; 0.624707; 0.623810; 0.622999; 0.622083; 0.622326; 0.622975; 0.623397; 0.624211; 0.623299; 0.622189; 0.621998; 0.622814; 0.622609; 0.622172; 0.622502; 0.623734; 0.626291; 0.627345; 0.627055; 0.626869; 0.626809; 0.626422; 0.627420; 0.628597; 0.629043; 0.629816; 0.631965; 0.634110; 0.636069; 0.637636; 0.637576; 0.636869; 0.637137; 0.639289; 0.639641; 0.640389; 0.642278; 0.642827; 0.642965; 0.643215; 0.643045; 0.641417; 0.640070; 0.638782; 0.637462; 0.636205; 0.635362; 0.635489; 0.634913; 0.636295; 0.637551; 0.638023; 0.639294; 0.640161; 0.640516; 0.641211; 0.642594; 0.643636; 0.645283; 0.646796; 0.648114; 0.648167; 0.646338; 0.646388; 0.646297; 0.646552; 0.645955; 0.641928; 0.640783; 0.640259; 0.638448; 0.636775; 0.636854; 0.634936; 0.634077; 0.635192; 0.637660; 0.639176; 0.640210; 0.640954; 0.640346; 0.639523; 0.642807; 0.643675; 0.644611; 0.646911; 0.648943; 0.649985; 0.652776; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3194.2; 13:31:39; (); (); (); (); (); (); (); (); (); 0.643509; 0.645329; 0.647589; 0.646690; 0.646581; 0.646750; 0.646720; 0.646344; 0.646350; 0.646548; 0.645590; 0.644965; 0.644781; 0.643884; 0.639962; 0.637398; 0.635912; 0.634694; 0.634076; 0.633291; 0.631293; 0.629545; 0.628334; 0.627308; 0.626222; 0.625896; 0.624060; 0.622039; 0.621465; 0.622271; 0.622263; 0.621126; 0.619665; 0.619085; 0.618890; 0.619660; 0.620124; 0.620000; 0.619649; 0.619752; 0.620017; 0.621054; 0.621952; 0.622619; 0.623781; 0.623669; 0.622840; 0.623746; 0.625434; 0.626141; 0.626358; 0.627190; 0.628998; 0.630499; 0.631252; 0.632219; 0.633101; 0.634262; 0.636586; 0.639739; 0.642815; 0.645137; 0.646693; 0.646765; 0.644206; 0.641782; 0.639571; 0.638185; 0.638355; 0.638691; 0.638518; 0.638332; 0.637417; 0.634009; 0.628689; 0.625754; 0.623865; 0.622995; 0.623780; 0.626562; 0.629959; 0.631216; 0.631181; 0.629795; 0.628275; 0.627473; 0.626086; 0.626898; 0.628604; 0.630319; 0.632242; 0.634818; 0.634558; 0.632874; 0.632264; 0.633741; 0.635585; 0.637809; 0.640549; 0.642781; 0.644598; 0.646252; 0.646431; 0.647261; 0.648259; 0.645846; 0.641646; 0.641066; 0.642123; 0.642584; 0.640674; 0.639294; 0.636931; 0.635216; 0.633944; 0.632028; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
